A
1000 Generated by WorldEditor

1      7 1 0 BIAR Akureyri
112  65.65470677 -018.07155863  65.65478681 -018.07156851
111  65.65470677 -018.07155863 1
115  65.65522423 -018.07165787
120 Linear Feature 12
111  65.65369347 -018.07389419 1
112  65.65363973 -018.07375836  65.65364275 -018.07366725
111  65.65363973 -018.07375836 1
115  65.65364497 -018.07359852
120 Linear Feature 12
111  65.65388666 -018.07393179 1
112  65.65383276 -018.07379642  65.65383577 -018.07370531
111  65.65383276 -018.07379642 1
115  65.65383800 -018.07363658
120 Linear Feature 12
111  65.65403007 -018.07396278 1
112  65.65397735 -018.07382785  65.65398037 -018.07373674
111  65.65397735 -018.07382785 1
115  65.65398259 -018.07366801
120 Linear Feature 9
111  65.65375494 -018.07390493 1
112  65.65367186 -018.07412717  65.65366648 -018.07429696
111  65.65367186 -018.07412717 1
115  65.65365810 -018.07456422
120 Linear Feature 8
111  65.65394114 -018.07394382 1
112  65.65385055 -018.07415761  65.65384497 -018.07433166
111  65.65385055 -018.07415761 1
115  65.65383665 -018.07459965
120 Linear Feature 7
111  65.65417534 -018.07399326 1
112  65.65408780 -018.07419989  65.65408499 -018.07434442
111  65.65408780 -018.07419989 1
115  65.65407376 -018.07464652
120 Linear Feature 2
111  65.65372721 -018.07137181 1
111  65.65428077 -018.07148273 1
112  65.65446128 -018.07200232  65.65444443 -018.07243433 1
111  65.65440351 -018.07382379 1
112  65.65435911 -018.07398779  65.65433161 -018.07402696 1
112  65.65427836 -018.07401060  65.65425317 -018.07400676
111  65.65427836 -018.07401060 1
111  65.65417534 -018.07399326 1
111  65.65403007 -018.07396278 1
111  65.65394114 -018.07394382 1
112  65.65388666 -018.07393179  65.65386650 -018.07392777
111  65.65388666 -018.07393179
112  65.65388666 -018.07393179  65.65380603 -018.07391573 1
111  65.65375494 -018.07390493 1
111  65.65369347 -018.07389419 1
115  65.65357799 -018.07387049
21  65.66464536 -018.07234187 2 175.4393 3.0 19  PAPI-4L
21  65.65241277 -018.07218703 2 355.4135 3.0 New Light Fixture 1
14  65.65435492 -018.07539948  35.00 0 Tower
1300  65.65358738 -018.07322230 331.26 misc props Parking 3
1300  65.65074889 -018.07449332  24.92 misc props Parking 2
1300  65.65353521 -018.07589256 175.96 misc props Parking 1
1300  65.65159967 -018.07453327  25.12 misc props Hangar
1300  65.65409518 -018.07474768 175.62 misc turboprops Gate 2
1300  65.65448917 -018.07484238 175.62 misc turboprops Gate 1
18  65.65439857 -018.07540807 1 New Airport Beacon 8
19  65.65141624 -018.06991119 0 New Windsock 3
19  65.65483082 -018.07075949 0 New Windsock 2
19  65.66424021 -018.07226686 1 WS
54 11820 TWR
55 11870 RADAR
99
