A
1000 Generated by WorldEditor

1     78 1 0 KNFG Camp Pendleton MCAS
111  33.31123867 -117.35003647
113  33.31123521 -117.35017864
110 2 0.00 61.4700 New Taxiway 82
111  33.31055952 -117.35114945
111  33.31120763 -117.35009095
111  33.31173239 -117.35058237
113  33.31104418 -117.35173080
110 2 0.00 61.4700 New Taxiway 80
111  33.31028842 -117.35152104
112  33.31032181 -117.35147454  33.31033290 -117.35145033
111  33.31032772 -117.35141395
113  33.31034815 -117.35148565
110 2 0.00 0.0000 New Taxiway 76
111  33.31044241 -117.35008094
111  33.31045407 -117.35027091
112  33.31040855 -117.35027290  33.31040689 -117.35027290
113  33.31040467 -117.35002382
110 2 0.00 61.4700 New Taxiway 75
111  33.31038191 -117.35032271
111  33.31036368 -117.35043849
111  33.31032918 -117.35042766
113  33.31032862 -117.35031673
110 2 0.00 0.0000 New Taxiway 74
111  33.31051128 -117.35027190
112  33.31047068 -117.35028412  33.31045249 -117.35029667
111  33.31044500 -117.35030658
114  33.31041071 -117.35024205  33.31041279 -117.35024205
110 2 0.00 61.4700 New Taxiway 73
111  33.31041608 -117.34992060
111  33.31041486 -117.35031586
111  33.31025123 -117.35032170
113  33.31026038 -117.34990744
110 1 0.00 0.0000 New Taxiway 72
111  33.30084059 -117.35823970
111  33.30085505 -117.35822860
112  33.30085013 -117.35824385  33.30084850 -117.35825536
113  33.30084971 -117.35826317
110 1 0.00 0.0000 New Taxiway 71
111  33.30385951 -117.35464999
111  33.30387517 -117.35466741
111  33.30083451 -117.35825284
111  33.30082807 -117.35822330
111  33.30378226 -117.35474566
113  33.30383094 -117.35467878
110 1 0.00 0.0000 New Taxiway 69
111  33.30421919 -117.35425483
111  33.30423966 -117.35424495
112  33.30422909 -117.35426211  33.30422368 -117.35427541
113  33.30422430 -117.35428657
110 1 0.00 0.0000 New Taxiway 70
111  33.30930260 -117.34826313
111  33.30931080 -117.34826901
112  33.30930361 -117.34826935  33.30929950 -117.34827012
113  33.30929802 -117.34827052
110 1 0.00 0.0000 New Taxiway 67
111  33.30423131 -117.35421453
112  33.30922774 -117.34825042  33.30923626 -117.34824504
111  33.30920176 -117.34830321
113  33.30421330 -117.35427547
110 1 0.00 0.0000 New Taxiway 67
111  33.30423003 -117.35421681
112  33.30922011 -117.34825841  33.30922863 -117.34825303
111  33.30920160 -117.34830226
113  33.30421330 -117.35427547
110 1 0.00 0.0000 New Taxiway 66
111  33.30527885 -117.35448628
111  33.30524859 -117.35444976
112  33.30527842 -117.35445350  33.30529875 -117.35444710
113  33.30530327 -117.35444195
110 1 0.00 0.0000 New Taxiway 65
111  33.30521893 -117.35454092
112  33.30522894 -117.35451620  33.30522919 -117.35450098
111  33.30522145 -117.35448599
113  33.30526853 -117.35451190
110 1 0.00 0.0000 New Taxiway 64
111  33.30525763 -117.35451160
111  33.30465555 -117.35408736
111  33.30466269 -117.35404748
113  33.30527904 -117.35447031
110 1 0.00 0.0000 New Taxiway 62
112  33.30447087 -117.35407997  33.30455782 -117.35395940
112  33.30471157 -117.35408348  33.30478553 -117.35413988
112  33.30473743 -117.35430435  33.30472849 -117.35431796
112  33.30464395 -117.35443107  33.30458625 -117.35445344
112  33.30452459 -117.35444100  33.30447989 -117.35443517
111  33.30442571 -117.35438187
114  33.30439002 -117.35420619  33.30438945 -117.35418063
112  33.30470805 -117.35429038  33.30472622 -117.35424389
112  33.30471633 -117.35417047  33.30471330 -117.35412277
112  33.30464538 -117.35408194  33.30461460 -117.35406322
112  33.30448986 -117.35410641  33.30445908 -117.35415531
112  33.30444327 -117.35420821  33.30443570 -117.35426436
112  33.30446346 -117.35435638  33.30449424 -117.35438536
112  33.30454154 -117.35439826  33.30457535 -117.35440128
114  33.30463658 -117.35438386  33.30467089 -117.35436213
110 1 0.00 0.0000 New Taxiway 61
111  33.30423387 -117.35435541
111  33.30422818 -117.35433081
112  33.30427131 -117.35430981  33.30428330 -117.35430474
112  33.30431869 -117.35428440  33.30432159 -117.35428103
111  33.30431773 -117.35432494
114  33.30427725 -117.35433447  33.30424920 -117.35434360
110 1 0.00 0.0000 New Taxiway 59
111  33.30423465 -117.35435304
112  33.30433880 -117.35425727  33.30437809 -117.35420726
111  33.30439047 -117.35419259
111  33.30442620 -117.35438187
114  33.30433083 -117.35432507  33.30429399 -117.35432145
110 2 0.00 0.0000 New Taxiway 54
111  33.31000134 -117.34823466
112  33.30996040 -117.34822312  33.30992392 -117.34821746
111  33.30990036 -117.34820994
113  33.31002162 -117.34817357
110 2 0.00 61.4700 New Taxiway 53
111  33.29925068 -117.36168191
111  33.29912736 -117.36154473
111  33.29922122 -117.36080097
112  33.29937758 -117.36110293  33.29951594 -117.36120017
113  33.29963599 -117.36113052
110 2 0.00 0.0000 New Taxiway 53
111  33.29925068 -117.36168191
111  33.29912736 -117.36154473
111  33.29922122 -117.36080097
112  33.29937758 -117.36110293  33.29951594 -117.36120017
113  33.29963633 -117.36113094
110 2 0.00 61.4700 New Taxiway 51
111  33.31015497 -117.34492552
111  33.30997828 -117.34461535
112  33.31011300 -117.34466343  33.31018720 -117.34466129
113  33.31024323 -117.34461751
110 1 0.00 0.0000 New Taxiway 48
111  33.31131582 -117.35020351
111  33.31138268 -117.35004102
111  33.31144511 -117.35014740
112  33.31138315 -117.35015345  33.31135513 -117.35020303
113  33.31141248 -117.35024290
110 2 0.00 0.0000 New Taxiway 45
111  33.31040855 -117.34911813
111  33.31053777 -117.34918814
112  33.31045182 -117.34933284  33.31041850 -117.34945051
113  33.31041323 -117.34954943
110 1 0.00 0.0000 New Taxiway 45
111  33.31040855 -117.34911813
111  33.31053777 -117.34918814
112  33.31046586 -117.34935044  33.31043254 -117.34946811
113  33.31043375 -117.34959755
110 1 0.00 0.0000 New Taxiway 44
111  33.31120526 -117.35015867
111  33.31110809 -117.35009080
112  33.31117274 -117.35007357  33.31121694 -117.35004862
113  33.31122778 -117.35002643
110 1 0.00 0.0000 New Taxiway 43
111  33.31182891 -117.35048812
111  33.31137163 -117.35008198
111  33.31209150 -117.34886742
113  33.31255509 -117.34929639
110 1 0.00 0.0000 New Taxiway 43
111  33.31182972 -117.35048812
111  33.31137163 -117.35008198
111  33.31209150 -117.34886742
113  33.31255509 -117.34929639
110 1 0.00 0.0000 New Taxiway 42
111  33.31120925 -117.35005582
111  33.31198099 -117.34876964
111  33.31211409 -117.34888728
113  33.31134528 -117.35018581
110 1 0.00 0.0000 New Taxiway 42
111  33.31120925 -117.35005582
111  33.31198099 -117.34876964
111  33.31211452 -117.34888702
113  33.31134528 -117.35018581
110 2 0.00 0.0000 New Taxiway 41
111  33.31041850 -117.35008780
111  33.31041952 -117.35001311
112  33.31043555 -117.35006029  33.31045133 -117.35007778
113  33.31048453 -117.35008313
110 1 0.00 0.0000 New Taxiway 41
111  33.31042503 -117.35008681
111  33.31043657 -117.35001659
112  33.31045346 -117.35004640  33.31046925 -117.35006389
113  33.31050477 -117.35006582
110 2 0.00 61.4700 New Taxiway 32
111  33.31032823 -117.35148915
111  33.31031532 -117.35061009
111  33.31041814 -117.34993581
113  33.31044737 -117.35133384
110 2 0.00 0.0000 New Taxiway 28
111  33.30503372 -117.35487103
111  33.30494514 -117.35492965
111  33.30487290 -117.35481698
112  33.30495636 -117.35483437  33.30500137 -117.35482414
113  33.30503116 -117.35476435
110 1 0.00 0.0000 New Taxiway 28
111  33.30503372 -117.35487103
111  33.30494514 -117.35492965
111  33.30487165 -117.35479298
112  33.30495699 -117.35481450  33.30500199 -117.35480427
113  33.30503116 -117.35476435
110 2 0.00 61.4700 New Taxiway 23
111  33.30419537 -117.35455651
111  33.30401799 -117.35426470
111  33.30422550 -117.35411880
112  33.30420931 -117.35433573  33.30422476 -117.35444583
113  33.30433070 -117.35449403
110 1 0.00 0.0000 New Taxiway 23
111  33.30422667 -117.35450874
111  33.30415393 -117.35427689
111  33.30423762 -117.35420889
112  33.30422811 -117.35432500  33.30424084 -117.35442316
113  33.30433876 -117.35447635
110 1 0.00 0.0000 New Taxiway 23
111  33.30422667 -117.35450874
111  33.30415393 -117.35427689
111  33.30423510 -117.35421154
112  33.30422811 -117.35432500  33.30424084 -117.35442316
113  33.30433876 -117.35447635
110 1 0.00 0.0000 New Taxiway 23
111  33.30422667 -117.35450874
111  33.30415393 -117.35427689
111  33.30423510 -117.35421154
112  33.30422811 -117.35432500  33.30424084 -117.35442316
113  33.30433876 -117.35447635
110 2 0.00 61.4700 New Taxiway 22
112  33.30414810 -117.35470080  33.30413332 -117.35469196
112  33.30391925 -117.35462713  33.30384739 -117.35462713
111  33.30378353 -117.35474677
111  33.30375515 -117.35447557
113  33.30411576 -117.35456371
110 1 0.00 0.0000 New Taxiway 22
112  33.30414210 -117.35472493  33.30412733 -117.35471609
112  33.30392419 -117.35465561  33.30385232 -117.35465561
111  33.30378342 -117.35474506
111  33.30375837 -117.35447935
113  33.30411471 -117.35456651
110 1 0.00 0.0000 New Taxiway 20
111  33.29971013 -117.36206708
111  33.29969448 -117.36169155
111  33.29994377 -117.36168672
112  33.29987401 -117.36188051  33.29986896 -117.36202179
114  33.29995867 -117.36210641  33.29995693 -117.36210858
110 1 0.00 0.0000 New Taxiway 30
111  33.29959625 -117.36129736
111  33.29921275 -117.36127030
111  33.29925941 -117.36075778
112  33.29941640 -117.36107397  33.29959103 -117.36117990
113  33.29969713 -117.36105771
110 2 0.00 0.0000 New Taxiway 17
111  33.29948100 -117.35978141
112  33.29948276 -117.35983703  33.29945853 -117.35984274
112  33.29941932 -117.35986546  33.29940145 -117.35988239
113  33.29942503 -117.35980721
110 2 0.00 61.4700 New Taxiway 15
112  33.30155369 -117.35888712  33.30156834 -117.35886964
112  33.30099919 -117.35955248  33.30103253 -117.35949705
112  33.30105369 -117.35936727  33.30106127 -117.35930823
112  33.30106002 -117.35919904  33.30105396 -117.35912072
112  33.30097971 -117.35899855  33.30095041 -117.35894071
112  33.30073621 -117.35855704  33.30071903 -117.35852692
112  33.30067771 -117.35848175  33.30065447 -117.35846006
112  33.30061001 -117.35846945  33.30059485 -117.35847608
112  33.30082969 -117.35821423  33.30081908 -117.35824134
112  33.30089618 -117.35843577  33.30091841 -117.35847855
111  33.30105757 -117.35874451
112  33.30114063 -117.35888397  33.30116791 -117.35891831
112  33.30121261 -117.35895132  33.30125182 -117.35897452
112  33.30133030 -117.35897951  33.30138284 -117.35898614
114  33.30143973 -117.35896997  33.30148570 -117.35895611
110 1 0.00 0.0000 New Taxiway 15
112  33.30153903 -117.35888643  33.30155367 -117.35886892
112  33.30098524 -117.35955320  33.30101855 -117.35949765
112  33.30103784 -117.35935003  33.30104541 -117.35929086
112  33.30104051 -117.35920414  33.30103446 -117.35912565
112  33.30096336 -117.35901567  33.30093409 -117.35895771
112  33.30072382 -117.35856811  33.30070666 -117.35853792
112  33.30067271 -117.35850290  33.30064950 -117.35848117
112  33.30061657 -117.35848334  33.30060143 -117.35848998
112  33.30084462 -117.35820992  33.30083403 -117.35823709
112  33.30090554 -117.35841729  33.30092774 -117.35846016
111  33.30106795 -117.35872669
112  33.30114601 -117.35885912  33.30117326 -117.35889353
112  33.30121669 -117.35893101  33.30125584 -117.35895425
112  33.30132812 -117.35896218  33.30138060 -117.35896882
114  33.30143375 -117.35895262  33.30147967 -117.35893873
110 2 0.00 0.0000 New Taxiway 25
112  33.30461325 -117.35525980  33.30461354 -117.35525162
112  33.30472110 -117.35509036  33.30471561 -117.35500853
112  33.30458336 -117.35495428  33.30457970 -117.35493163
111  33.30483662 -117.35495488
113  33.30482710 -117.35537629
110 1 0.00 0.0000 New Taxiway 25
112  33.30461325 -117.35525980  33.30461354 -117.35525162
112  33.30468367 -117.35510242  33.30467817 -117.35502059
112  33.30457760 -117.35497668  33.30457394 -117.35495403
111  33.30483662 -117.35495488
113  33.30482710 -117.35537629
110 2 0.35 61.4700 xxx
111  33.29930552 -117.35956773
111  33.31068608 -117.34614006
111  33.31084209 -117.34631955
111  33.30923001 -117.34824760
111  33.30922093 -117.34825815
111  33.30921749 -117.34826140
111  33.30378457 -117.35474785
111  33.30152210 -117.35741947
111  33.30049121 -117.35862983
113  33.29950852 -117.35977535
110 2 0.35 61.4700 xxx
111  33.30113833 -117.35420384
111  33.30962834 -117.34418656
111  33.31104587 -117.34590646
113  33.30255586 -117.35592374
110 1 0.35 44.6000 xxx
111  33.30113833 -117.35420443
111  33.30962834 -117.34418714
111  33.31104587 -117.34590704
113  33.30255586 -117.35592432
110 2 0.35 61.4700 xxx
111  33.29871683 -117.35938676
111  33.30274407 -117.35052373
111  33.30335137 -117.35091871
113  33.29932412 -117.35978174
110 4 0.00 0.0000 New Taxiway 93
111  33.30011638 -117.36377501
111  33.30035330 -117.36350910
111  33.30049102 -117.36365049
111  33.30058476 -117.36372811
113  33.30042391 -117.36397741
110 2 0.35 61.4700 xxx
111  33.30012445 -117.36306725
111  33.30236107 -117.36044617
112  33.30287978 -117.36141634  33.30289457 -117.36205711
114  33.30092339 -117.36378496  33.30049631 -117.36379694
110 1 0.35 44.6000 xxx
111  33.30006337 -117.36307272
111  33.30235436 -117.36036627
112  33.30294126 -117.36140461  33.30295694 -117.36207369
114  33.30091963 -117.36385111  33.30046669 -117.36386361
110 2 0.00 61.4700 New Taxiway 50
111  33.31100182 -117.34504500
111  33.31060219 -117.34420624
111  33.31073526 -117.34405268
113  33.31119580 -117.34467580
110 1 0.00 0.0000 New Taxiway 50
111  33.31113859 -117.34477373
111  33.31068492 -117.34411170
111  33.31076410 -117.34401885
113  33.31121685 -117.34462493
110 2 0.35 61.4700 xxx
111  33.31009804 -117.34717834
112  33.31103136 -117.34472239  33.31101481 -117.34428487
112  33.31140527 -117.34500777  33.31143783 -117.34520373
113  33.31038729 -117.34789602
112  33.31013071 -117.34780211  33.31018568 -117.34775826
112  33.31015264 -117.34721921  33.31011730 -117.34719102
112  33.30968741 -117.34778492  33.30969003 -117.34783660
113  33.30979913 -117.34784797
112  33.31006472 -117.34782023  33.31011970 -117.34777638
112  33.31008063 -117.34725350  33.31004529 -117.34722531
112  33.30968741 -117.34778492  33.30969003 -117.34783660
113  33.30979913 -117.34784797
112  33.31006472 -117.34782023  33.31011970 -117.34777638
112  33.31008580 -117.34723758  33.31004825 -117.34722000
112  33.30968741 -117.34778492  33.30969003 -117.34783660
113  33.30979913 -117.34784797
112  33.31006472 -117.34782023  33.31011970 -117.34777638
112  33.31008580 -117.34723758  33.31005046 -117.34720939
112  33.30968741 -117.34778492  33.30969003 -117.34783660
113  33.30979913 -117.34784797
112  33.31006472 -117.34782023  33.31011970 -117.34777638
112  33.31008580 -117.34723758  33.31005046 -117.34720939
112  33.30968741 -117.34778492  33.30969003 -117.34783660
113  33.30979913 -117.34784797
112  33.31006472 -117.34782023  33.31011970 -117.34777638
112  33.31007768 -117.34725703  33.31004234 -117.34722884
112  33.30968741 -117.34778492  33.30969003 -117.34783660
113  33.30979913 -117.34784797
110 2 0.35 67.2500 xxx
111  33.31007169 -117.34714785
112  33.31103182 -117.34475423  33.31101527 -117.34431670
112  33.31138512 -117.34505892  33.31141768 -117.34525487
113  33.31038637 -117.34789821
110 2 0.35 61.4700 xxx
111  33.30032323 -117.35609449
111  33.30168648 -117.35448609
111  33.30276696 -117.35579698
113  33.30140371 -117.35740537
110 2 0.35 44.6000 xxx
111  33.30032323 -117.35609449
111  33.30168648 -117.35448609
111  33.30276696 -117.35579698
113  33.30140371 -117.35740537
110 2 0.35 61.4700 xxx
111  33.29914915 -117.35886335
111  33.30111161 -117.35657054
111  33.30158305 -117.35714812
113  33.29962059 -117.35944093
110 2 0.35 61.4700 xxx
111  33.29914915 -117.35886335
111  33.30111161 -117.35657054
111  33.30158305 -117.35714812
113  33.29962059 -117.35944093
110 2 0.00 0.0000 New Taxiway 49
111  33.30948755 -117.34822218
112  33.30929784 -117.34822601  33.30920938 -117.34823469
111  33.30929784 -117.34822601
112  33.30929784 -117.34822601  33.30921339 -117.34823744
111  33.30917989 -117.34827657
113  33.30929201 -117.34810238
110 1 0.00 0.0000 New Taxiway 49
111  33.30947141 -117.34824614
112  33.30929481 -117.34827132  33.30920357 -117.34829348
111  33.30918415 -117.34831601
113  33.30924229 -117.34824099
110 2 0.35 61.4700 3
112  33.31018717 -117.34868072  33.31019327 -117.34867336
112  33.31015540 -117.34846339  33.31012322 -117.34836177
112  33.31000140 -117.34823467  33.30994240 -117.34820579
111  33.31047797 -117.34766269
112  33.31048287 -117.34792866  33.31053038 -117.34803891
114  33.31074292 -117.34803503  33.31074632 -117.34803095
110 2 0.35 133.7100 3
112  33.31018717 -117.34868072  33.31019327 -117.34867336
112  33.31015540 -117.34846339  33.31012322 -117.34836177
112  33.31000140 -117.34823467  33.30994240 -117.34820579
111  33.31047797 -117.34766269
112  33.31048287 -117.34792866  33.31053038 -117.34803891
114  33.31074292 -117.34803503  33.31074632 -117.34803095
110 2 0.35 61.4700 2
111  33.30903155 -117.34625030
111  33.31044418 -117.34625797
111  33.31043671 -117.34822719
113  33.30902409 -117.34821952
112  33.30974647 -117.34787661  33.30981999 -117.34788697
112  33.31010226 -117.34781125  33.31016175 -117.34772818
112  33.31008325 -117.34723330  33.30989522 -117.34702409
111  33.31008325 -117.34723330
112  33.31008325 -117.34723330  33.31001163 -117.34723365
114  33.30968063 -117.34774502  33.30967099 -117.34778120
110 1 0.35 67.2500 1
111  33.31011132 -117.34786586
112  33.31101787 -117.34474990  33.31099910 -117.34425463
112  33.31142708 -117.34500395  33.31146791 -117.34523042
111  33.31142708 -117.34500395
112  33.31142708 -117.34500395  33.31145429 -117.34523042
113  33.31033814 -117.34813640
110 1 0.35 359.7400 xxx
111  33.30905152 -117.34629359
111  33.31046414 -117.34630126
111  33.31045667 -117.34827048
113  33.30904405 -117.34826281
111  33.30980458 -117.34795388
111  33.31021655 -117.34788412
111  33.31019502 -117.34693663
113  33.30961013 -117.34780685
110 1 0.35 359.7400 xxx
111  33.30905152 -117.34629516
111  33.31046414 -117.34630283
111  33.31045667 -117.34827205
113  33.30904405 -117.34826437
111  33.30975573 -117.34788662
111  33.31019404 -117.34794207
111  33.31020807 -117.34705096
113  33.30962312 -117.34773470
110 1 0.35 359.7400 xxx
111  33.30905152 -117.34629829
111  33.31046414 -117.34630596
111  33.31045667 -117.34827518
113  33.30904405 -117.34826751
111  33.30996348 -117.34808321
111  33.31038880 -117.34735395
111  33.31005041 -117.34710494
113  33.30955560 -117.34774904
110 1 0.35 359.7400 xxx
111  33.30905152 -117.34629829
111  33.31046414 -117.34630596
111  33.31045667 -117.34827518
113  33.30904405 -117.34826751
111  33.30975752 -117.34792843
111  33.31018155 -117.34797937
111  33.31025626 -117.34700939
113  33.30957400 -117.34771241
110 1 0.35 359.7400 xxx
111  33.30905152 -117.34629741
111  33.31046414 -117.34630508
111  33.31045667 -117.34827429
113  33.30904405 -117.34826662
112  33.30983508 -117.34786427  33.30988687 -117.34786853
112  33.31006970 -117.34781903  33.31012511 -117.34778543
112  33.31017392 -117.34753755  33.31017660 -117.34747382
111  33.31017392 -117.34753755
112  33.31017392 -117.34753755  33.31017392 -117.34744569
112  33.31006415 -117.34727493  33.30999522 -117.34729138
111  33.31006415 -117.34727493
112  33.31006415 -117.34727493  33.31001228 -117.34731445
114  33.30969818 -117.34777899  33.30969485 -117.34785193
110 2 0.35 61.4700 xxx
111  33.30946411 -117.34496030
111  33.30819175 -117.34646478
111  33.30745594 -117.34557482
113  33.30873277 -117.34405430
110 1 0.00 0.0000 New Taxiway 36
111  33.31056077 -117.35111588
111  33.31120887 -117.35005501
111  33.31177561 -117.35057537
113  33.31108845 -117.35173686
110 1 0.00 0.0000 New Taxiway 36
111  33.31056077 -117.35111588
111  33.31120887 -117.35005501
111  33.31177561 -117.35057537
113  33.31108823 -117.35173695
110 2 0.00 61.4700 New Taxiway 37
111  33.31041984 -117.35008006
111  33.31117957 -117.35010557
111  33.31117563 -117.35027837
113  33.31043595 -117.35027149
110 1 0.00 0.0000 New Taxiway 37
111  33.31042053 -117.35006192
111  33.31042053 -117.35006192
111  33.31118129 -117.35009402
111  33.31117746 -117.35029810
111  33.31043544 -117.35029191
113  33.31043778 -117.35029122
110 2 0.35 61.4700 xxx
111  33.30929789 -117.35269277
111  33.31055816 -117.35114965
111  33.31104447 -117.35172998
113  33.30978815 -117.35327514
110 2 0.35 45.2300 xxx
111  33.30929789 -117.35269277
111  33.31055816 -117.35114947
111  33.31104447 -117.35172998
113  33.30978815 -117.35327514
110 2 0.35 45.2300 xxx
111  33.30929789 -117.35269277
111  33.31055823 -117.35114947
111  33.31104447 -117.35172998
113  33.30978815 -117.35327514
110 2 0.35 45.2300 xxx
111  33.30929789 -117.35269277
111  33.31055808 -117.35114912
111  33.31104447 -117.35172998
113  33.30978815 -117.35327514
110 2 0.35 45.2300 xxx
111  33.30929789 -117.35269277
111  33.31055808 -117.35114983
111  33.31104447 -117.35172998
113  33.30978815 -117.35327514
110 2 0.35 45.2300 xxx
111  33.30929789 -117.35269277
111  33.31055956 -117.35114849
111  33.31104447 -117.35172998
113  33.30978815 -117.35327514
110 2 0.00 61.4700 New Taxiway 81
111  33.31044731 -117.35133828
111  33.31044209 -117.35107015
112  33.31047542 -117.35115501  33.31050704 -117.35116215
114  33.31056141 -117.35114591  33.31057508 -117.35112887
110 1 0.35 45.2300 xxx
111  33.30924852 -117.35269369
111  33.31056020 -117.35111157
111  33.31108845 -117.35173683
113  33.30978794 -117.35333397
110 1 0.35 45.2300 xxx
111  33.30924855 -117.35269366
111  33.31056023 -117.35111154
111  33.31108841 -117.35173613
113  33.30978797 -117.35333393
110 2 0.35 61.4700 xxx
112  33.29905036 -117.36180537  33.29899756 -117.36172409
111  33.29903795 -117.35943569
111  33.29924338 -117.35944480
113  33.29920400 -117.36187985
110 2 0.00 61.4700 New Taxiway 52
111  33.29929088 -117.36007967
111  33.29927019 -117.36016816
111  33.29926852 -117.36024223
111  33.29921374 -117.36024122
111  33.29920920 -117.35961728
111  33.29943180 -117.35985528
114  33.29936100 -117.35994203  33.29932138 -117.35999791
110 1 0.00 0.0000 New Taxiway 35
111  33.31025738 -117.35147732
112  33.31029510 -117.35141044  33.31030950 -117.35136825
111  33.31030793 -117.35130633
111  33.31038719 -117.35137265
113  33.31035233 -117.35150101
110 1 0.35 88.7500 xxx
112  33.29901804 -117.36185636  33.29894991 -117.36176338
111  33.29901430 -117.35914242
111  33.29928853 -117.35914958
113  33.29923773 -117.36193505
110 2 0.35 61.4700 xxx
111  33.30728651 -117.34619425
111  33.30863850 -117.34460012
111  33.30912368 -117.34518922
113  33.30777169 -117.34678335
110 1 0.35 44.5800 xxx
111  33.30728651 -117.34619425
111  33.30863850 -117.34460012
111  33.30912368 -117.34518922
113  33.30777169 -117.34678335
110 2 0.35 61.3600 xxx
111  33.30233824 -117.35259766
111  33.30316126 -117.35079461
111  33.30390995 -117.35128381
113  33.30308694 -117.35308686
110 2 0.35 61.3600 xxx
111  33.30233824 -117.35259766
111  33.30316126 -117.35079461
111  33.30390995 -117.35128381
113  33.30308694 -117.35308686
110 2 0.35 61.4700 xxx
111  33.30965102 -117.34529366
111  33.31069809 -117.34409640
111  33.31142978 -117.34500895
113  33.31039010 -117.34621907
110 1 0.35 43.7000 xxx
111  33.30965102 -117.34529366
111  33.31069809 -117.34409640
111  33.31142777 -117.34500895
113  33.31039010 -117.34621907
110 2 0.00 61.4700 New Taxiway 27
111  33.30382241 -117.35450674
111  33.30394853 -117.35426740
111  33.30502977 -117.35490995
113  33.30491804 -117.35515962
110 1 0.00 0.0000 New Taxiway 27
111  33.30381521 -117.35453258
111  33.30395054 -117.35424490
111  33.30503178 -117.35488745
113  33.30491084 -117.35518546
110 1 0.35 153.6100 xxx
111  33.30490982 -117.35518083
111  33.30490982 -117.35518083
111  33.30361245 -117.35441063
111  33.30373437 -117.35411664
111  33.30373437 -117.35411664
111  33.30503174 -117.35488684
113  33.30503174 -117.35488684
110 1 0.35 134.6000 xxx
111  33.30211445 -117.36091134
111  33.30128819 -117.35990890
111  33.30163975 -117.35949412
113  33.30246600 -117.36049657
110 1 0.35 134.6000 xxx
111  33.30211445 -117.36091134
111  33.30128819 -117.35990890
111  33.30163975 -117.35949412
113  33.30246600 -117.36049657
110 2 0.35 61.4700 xxx
111  33.30015311 -117.35742382
111  33.30080089 -117.35624847
111  33.30121308 -117.35657365
113  33.30056531 -117.35774899
110 1 0.35 56.6000 xxx
111  33.30015311 -117.35742382
111  33.30080089 -117.35624847
111  33.30121308 -117.35657365
