A
1000 Generated by WorldEditor

1     39 1 0 KJFK John F Kennedy Int'l
111  40.64911734 -073.79476896 20
111  40.64896903 -073.79511708
111  40.64891296 -073.79507354 20
111  40.64900546 -073.79486056 20
111  40.64904651 -073.79476184 20
113  40.64912099 -073.79458886 20
110 15 0.00 0.0000 New Taxiway 2
111  40.64916057 -073.79449651 20
111  40.64924298 -073.79430825 20
111  40.64928498 -073.79421538 20
111  40.64936236 -073.79402636 20
111  40.64941176 -073.79406582 20
113  40.64921192 -073.79453413 20
110 15 0.00 0.0000 New Taxiway 2
111  40.64940333 -073.79393131 20
111  40.64947603 -073.79375821 20
111  40.64951939 -073.79365999 20
111  40.64957687 -073.79352544 20
111  40.64962722 -073.79356279 20
113  40.64945767 -073.79397074 20
110 15 0.00 0.0000 New Taxiway 2
111  40.64961838 -073.79342930 20
111  40.64970852 -073.79321050 20
111  40.64975430 -073.79310638 20
111  40.64981802 -073.79295313 20
111  40.64986830 -073.79298899 20
113  40.64967246 -073.79346860 20
110 1 0.00 0.0000 meh
111  40.64372820 -073.79685290
111  40.64368956 -073.79718256
111  40.64349433 -073.79715576
111  40.64345365 -073.79758727
111  40.64330926 -073.79756046
111  40.64331740 -073.79750686
111  40.64312826 -073.79747738
111  40.64316284 -073.79707803
111  40.64310793 -073.79706731
113  40.64313843 -073.79676713
110 15 0.00 0.0000 New Taxiway 45
111  40.64557843 -073.77259069 20
111  40.64557278 -073.77178806
111  40.64563893 -073.77178775 20
113  40.64564400 -073.77259066
110 15 0.00 0.0000 New Taxiway 44
111  40.64559285 -073.77361236 20
111  40.64558778 -073.77316082
111  40.64565206 -073.77316133 20
113  40.64565799 -073.77365270
110 15 0.00 0.0000 New Taxiway 44
111  40.64559568 -073.77410595 20
111  40.64559285 -073.77361236
111  40.64565799 -073.77365270 20
113  40.64566050 -073.77414602
110 15 0.00 0.0000 New Taxiway 44
111  40.64560238 -073.77467347 20
111  40.64559568 -073.77410595
111  40.64566050 -073.77414602 20
113  40.64566314 -073.77467063
110 15 0.00 0.0000 New Taxiway 43
111  40.64558778 -073.77316082 20
111  40.64558512 -073.77282852
111  40.64557686 -073.77265002 20
111  40.64557843 -073.77259069
111  40.64564400 -073.77259066 20
113  40.64565206 -073.77316133
110 1 0.00 0.0000 New Taxiway 39
111  40.65369471 -073.79477430 20
111  40.65348120 -073.79461179 20
111  40.65434125 -073.79257843 20
113  40.65455776 -073.79274490 20
110 1 0.00 0.0000 New Taxiway 38
111  40.65478057 -073.79324449 20
111  40.65487680 -073.79301459 20
111  40.65604074 -073.79387237 20
113  40.65594133 -073.79409871 20
110 1 0.00 0.0000 New Taxiway 37
111  40.65596451 -073.79326837 20
111  40.65602735 -073.79312013 20
111  40.65581896 -073.79297188 20
111  40.65581234 -073.79298932 20
111  40.65551794 -073.79278004 20
111  40.65546833 -073.79288468 20
111  40.65527978 -073.79274952 20
111  40.65546171 -073.79233531 20
111  40.65594135 -073.79267975 20
111  40.65591489 -073.79273643 20
111  40.65612527 -073.79288613 20
111  40.65615415 -073.79281928 20
111  40.65635152 -073.79295880 20
113  40.65615636 -073.79340354 20
110 1 0.00 0.0000 New Taxiway 36
111  40.66198164 -073.79234397 20
111  40.66185425 -073.79166517 20
111  40.66311104 -073.79126416 20
111  40.66313506 -073.79143300 20
111  40.66297896 -073.79148577 20
113  40.66307833 -073.79200101 20
110 1 0.00 0.0000 New Taxiway 35
111  40.66324713 -073.79292620 20
111  40.66297095 -073.79301062 20
111  40.66284688 -073.79229832 20
113  40.66311504 -073.79222445 20
110 1 0.00 0.0000 New Taxiway 34
111  40.66227661 -073.79471202 20
111  40.66227114 -073.79400927 20
111  40.66396065 -073.79398898 20
113  40.66396562 -073.79468682 20
110 1 0.00 0.0000 New Taxiway 33
111  40.64694137 -073.78358414 20
111  40.64723190 -073.78380410 20
111  40.64725057 -073.78376830 20
111  40.64744578 -073.78390925 20
111  40.64741013 -073.78398307 20
111  40.64752726 -073.78406137 20
111  40.64728452 -073.78462738 20
111  40.64734733 -073.78467213 20
111  40.64756290 -073.78418889 20
111  40.64765287 -073.78425154 20
111  40.64744748 -073.78473477 20
111  40.64751028 -073.78478175 20
111  40.64770549 -073.78432313 20
111  40.64780394 -073.78439919 20
111  40.64760364 -073.78486006 20
111  40.64766305 -073.78490704 20
111  40.64787863 -073.78442156 20
111  40.64796690 -073.78448868 20
111  40.64767494 -073.78518221 20
111  40.64755102 -073.78509272 20
111  40.64725057 -073.78579520 20
111  40.64684488 -073.78549542 20
111  40.64689580 -073.78536118 20
111  40.64660554 -073.78513523 20
111  40.64674473 -073.78481531 20
111  40.64703839 -073.78502113 20
111  40.64706385 -073.78498086 20
111  40.64705536 -073.78497415 20
111  40.64713854 -073.78477952 20
111  40.64689071 -073.78459607 20
111  40.64707573 -073.78416205 20
113  40.64679565 -073.78394729 20
110 1 0.00 0.0000 New Taxiway 32
111  40.64881051 -073.78272021 20
111  40.64874727 -073.78275270 20
111  40.64887256 -073.78344570 20
111  40.64884380 -073.78345382 20
111  40.64872057 -073.78276353 20
111  40.64860760 -073.78277165 20
111  40.64872467 -073.78340510 20
111  40.64869797 -073.78341592 20
111  40.64858295 -073.78277977 20
111  40.64848026 -073.78280413 20
111  40.64858706 -073.78344570 20
111  40.64852339 -073.78346736 20
111  40.64841248 -073.78282850 20
111  40.64824981 -073.78286856 20
111  40.64823543 -073.78279276 20
111  40.64839605 -073.78274728 20
111  40.64829951 -073.78216798 20
111  40.64836113 -073.78215986 20
111  40.64845972 -073.78272292 20
111  40.64855625 -073.78270397 20
111  40.64857268 -073.78267961 20
111  40.64850080 -073.78227626 20
111  40.64851723 -073.78228167 20
111  40.64858912 -073.78266337 20
111  40.64870003 -073.78262276 20
111  40.64863019 -073.78223295 20
111  40.64866100 -073.78222482 20
111  40.64872467 -073.78261193 20
113  40.64879094 -073.78260923 20
110 1 0.00 0.0000 New Taxiway 31
111  40.64822504 -073.78370268 20
111  40.64780683 -073.78383167 20
111  40.64730526 -073.78346839 20
111  40.64715615 -073.78265845 20
111  40.64753797 -073.78183957 20
111  40.64783846 -073.78175322 20
114  40.64794465 -073.78211055  40.64798306 -073.78233388 20
110 1 0.00 0.0000 New Taxiway 30
111  40.64370511 -073.78927535 20
111  40.64368044 -073.78925542 20
111  40.64364767 -073.78932855 20
111  40.64355621 -073.78925686 20
111  40.64358741 -073.78918459 20
111  40.64260276 -073.78842507 20
112  40.64230453 -073.78791741  40.64223494 -073.78757679 20
111  40.64205352 -073.78669576 20
111  40.64238903 -073.78658112 20
111  40.64255305 -073.78741303 20
111  40.64284383 -073.78747198 20
112  40.64303768 -073.78758662  40.64308987 -073.78767505 20
111  40.64307247 -073.78787156 20
111  40.64303519 -073.78824166 20
113  40.64387769 -073.78888690 20
110 1 0.00 0.0000 New Taxiway 29
111  40.64564048 -073.78970001 20
111  40.64595001 -073.78893476 20
111  40.64585964 -073.78887223 20
112  40.64578282 -073.78873228  40.64576926 -073.78863402 20
111  40.64576249 -073.78841368 20
112  40.64578734 -073.78829755  40.64581445 -073.78824395 20
111  40.64585060 -073.78821417 20
112  40.64605620 -073.78808018  40.64613527 -073.78802956 20
111  40.64628168 -073.78817120 20
111  40.64643715 -073.78777884 20
111  40.64689363 -073.78810581 20
111  40.64649008 -073.78906055 20
111  40.64653308 -073.78909106 20
111  40.64643715 -073.78932212 20
111  40.64639084 -073.78930032 20
113  40.64608982 -073.79003272 20
110 1 0.00 0.0000 New Taxiway 28
111  40.64541679 -073.77944836 20
111  40.64573490 -073.77909790 20
111  40.64580449 -073.77921253 20
111  40.64593620 -073.77907824 20
111  40.64609029 -073.77933372 20
111  40.64622449 -073.77920598 20
111  40.64651278 -073.77967764 20
111  40.64657048 -073.77960951
111  40.64661673 -073.77969613 20
111  40.64656249 -073.77974643 20
111  40.64704462 -073.78053253 20
111  40.64678119 -073.78080766 20
111  40.64647053 -073.78030980 20
111  40.64640840 -073.78037858 20
111  40.64609526 -073.77987089 20
111  40.64590390 -073.78007069 20
111  40.64578958 -073.77989054 20
113  40.64572496 -073.77995605 20
110 1 0.00 0.0000 New Taxiway 27
111  40.64464519 -073.78159265 20
111  40.64530313 -073.78177753 20
111  40.64531015 -073.78175720 20
111  40.64507447 -073.78157231 20
111  40.64546165 -073.78064787 20
111  40.64556687 -073.78072182 20
112  40.64561316 -073.78056282  40.64569172 -073.78051475 20
112  40.64577589 -073.78068670  40.64577169 -073.78078284 20
111  40.64569453 -073.78082351 20
111  40.64597510 -073.78102689 20
112  40.64600035 -073.78089377  40.64604805 -073.78082536 20
112  40.64617887 -073.78095652  40.64619119 -073.78108104 20
111  40.64610287 -073.78111894 20
111  40.64620967 -073.78119473 20
111  40.64581718 -073.78212326 20
111  40.64557150 -073.78195011 20
111  40.64552354 -073.78208194 20
111  40.64548426 -073.78205051 20
111  40.64546743 -073.78208933 20
111  40.64526963 -073.78193957 20
111  40.64528085 -073.78190445 20
111  40.64525560 -073.78187856 20
111  40.64490715 -073.78177533 20
112  40.64482910 -073.78218137  40.64478597 -073.78237627 20
111  40.64471819 -073.78254680 20
111  40.64466273 -073.78250349 20
112  40.64479007 -073.78206497  40.64482499 -073.78191880 20
111  40.64485169 -073.78176180 20
111  40.64467365 -073.78171889 20
112  40.64442666 -073.78268266  40.64426200 -073.78310392 20
111  40.64392682 -073.78349671 20
111  40.64404110 -073.78365629 20
112  40.64425160 -073.78337095  40.64435685 -073.78319261 20
111  40.64442601 -073.78306182 20
111  40.64448315 -073.78310938 20
112  40.64428467 -073.78343436  40.64414334 -073.78365233 20
111  40.64408320 -073.78371970 20
111  40.64430049 -073.78401420 20
111  40.64429502 -073.78402501 20
111  40.64451646 -073.78433846 20
111  40.64447818 -073.78439250 20
111  40.64425128 -073.78407905 20
111  40.64424035 -073.78408626 20
113  40.64382208 -073.78352421 20
110 1 0.00 0.0000 New Taxiway 54
111  40.64676402 -073.79408930 20
111  40.64687883 -073.79383173 20
111  40.64687349 -073.79382750 20
111  40.64691057 -073.79374807 20
111  40.64669632 -073.79359381 20
111  40.64673798 -073.79349969 20
111  40.64694628 -073.79364871 20
111  40.64698010 -073.79357637 20
111  40.64696810 -073.79356505 20
111  40.64716449 -073.79311274 20
111  40.64696215 -073.79296371 20
111  40.64700182 -073.79286697 20
111  40.64720191 -073.79301702 20
111  40.64745412 -073.79241989 20
111  40.64737080 -073.79235191 20
111  40.64734700 -073.79240158 20
111  40.64728352 -073.79235714 20
111  40.64726924 -073.79227295 20
111  40.64728511 -073.79223635 20
111  40.64747396 -073.79238067 20
111  40.64766638 -073.79193881 20
111  40.64765355 -073.79192852 20
111  40.64769416 -073.79183684 20
111  40.64694032 -073.79128779 20
111  40.64631940 -073.79152048 20
111  40.64638685 -073.79135315 20
111  40.64643843 -073.79132962 20
111  40.64654357 -073.79108909 20
111  40.64649993 -073.79105510 20
111  40.64666855 -073.79064985 20
111  40.64653167 -073.79055311 20
111  40.64643050 -073.79079364 20
111  40.64634123 -073.79072567 20
111  40.64723789 -073.78863143 20
111  40.64732517 -073.78870202 20
111  40.64722995 -073.78894256 20
111  40.64735692 -073.78903668 20
111  40.64737477 -073.78900269 20
111  40.64743825 -073.78905498 20
111  40.64716178 -073.78966989 20
111  40.64819757 -073.79042778 20
111  40.64838984 -073.78997597 20
111  40.64874158 -073.79023723 20
111  40.64888645 -073.78990882 20
111  40.64914523 -073.79010169 20
111  40.64911021 -073.79018603 20
111  40.64888297 -073.79001707 20
111  40.64878018 -073.79026664 20
111  40.64873870 -073.79028566 20
111  40.64856196 -073.79068498 20
111  40.64857278 -073.79069449 20
111  40.64851327 -073.79083235 20
111  40.64912643 -073.79129822 20
111  40.64905430 -073.79146223 20
111  40.64863866 -073.79114021 20
111  40.64862588 -073.79116548 20
111  40.64843099 -073.79102231 20
111  40.64837533 -073.79113487 20
111  40.64833190 -073.79124530 20
111  40.64851673 -073.79138134 20
111  40.64847832 -073.79146992 20
111  40.64829349 -073.79134021 20
111  40.64794393 -073.79213943 20
111  40.64793600 -073.79213420 20
111  40.64793401 -073.79214989 20
111  40.64812842 -073.79229369 20
111  40.64808875 -073.79238781 20
111  40.64789632 -073.79224401 20
111  40.64766844 -073.79277977 20
111  40.64785861 -073.79291806 20
111  40.64782582 -073.79301313 20
111  40.64762909 -073.79287917 20
111  40.64737333 -073.79346906 20
111  40.64756187 -073.79360951 20
111  40.64752580 -073.79370459 20
111  40.64733234 -073.79356414 20
111  40.64724212 -073.79376694 20
111  40.64722421 -073.79375660 20
111  40.64711671 -073.79400897 20
111  40.64710551 -073.79400455 20
111  40.64702489 -073.79420379 20
111  40.64724441 -073.79436336 20
111  40.64720378 -073.79446395 20
111  40.64711754 -073.79440233 20
111  40.64700209 -073.79466946 20
111  40.64695248 -073.79463448 20
111  40.64706827 -073.79436012 20
111  40.64693933 -073.79426595 20
113  40.64695618 -073.79422700 20
111  40.64731117 -073.78913418 20
111  40.64717200 -073.78903737 20
111  40.64657667 -073.79044867 20
113  40.64671197 -073.79055566 20
110 2 0.00 0.0000 New Taxiway 210
111  40.65257114 -073.78680771
111  40.65253426 -073.78678369
111  40.65278431 -073.78617269
111  40.65283510 -073.78619972
111  40.65307815 -073.78561928
111  40.65326893 -073.78576395
111  40.65302973 -073.78631049
111  40.65307810 -073.78634015
111  40.65280393 -073.78697115
111  40.65275930 -073.78694034
111  40.65249404 -073.78756728
113  40.65230195 -073.78742949
110 2 0.00 0.0000 New Taxiway 209
111  40.65200265 -073.78649251
111  40.65173654 -073.78715044
111  40.65154348 -073.78700373
111  40.65181307 -073.78639394
111  40.65176191 -073.78636776
111  40.65202517 -073.78575329
111  40.65207156 -073.78577814
111  40.65234528 -073.78512850
111  40.65253312 -073.78526605
111  40.65226593 -073.78588588
111  40.65231520 -073.78591791
113  40.65205189 -073.78651870
110 1 0.00 0.0000 New Taxiway 31
111  40.65221296 -073.81807810 20
111  40.65314838 -073.81734617 20
112  40.65329932 -073.81717916  40.65333788 -073.81712397 20
111  40.65345919 -073.81703339 21
111  40.65414637 -073.81649897
111  40.65419146 -073.81658954 20
111  40.65341852 -073.81719516 20
112  40.65330902 -073.81731119  40.65327252 -073.81735930 20
111  40.65321455 -073.81741874 20
113  40.65225620 -073.81817307 20
110 1 0.00 0.0000 New Taxiway 1
111  40.65323361 -073.78655472 20
112  40.65340165 -073.78614973  40.65352425 -073.78587626 20
112  40.65388890 -073.78591769  40.65402721 -073.78597570 20
112  40.65411523 -073.78624917  40.65412152 -073.78631547 20
112  40.65411209 -073.78672567  40.65409008 -073.78698257 20
111  40.65417181 -073.78710687 20
112  40.65484102 -073.78807516  40.65493214 -073.78819528 20
111  40.65507481 -073.78850571 20
112  40.65621503 -073.79097314  40.65680874 -073.79228961 20
112  40.65804967 -073.79239160  40.65824732 -073.79239628 20
112  40.65931653 -073.79128603  40.65958807 -073.79035780 20
111  40.65912783 -073.78948417 20
111  40.65874006 -073.78863316
111  40.65881365 -073.78857647 20
112  40.65926680 -073.78955309  40.65958838 -073.79025961 20
112  40.65947388 -073.79104328  40.65945791 -073.79123041 20
111  40.65958585 -073.79116496
111  40.65958381 -073.79123594 20
112  40.65945155 -073.79130444  40.65942084 -073.79132934 20
111  40.65928858 -073.79161888 20
112  40.65765042 -073.79247907  40.65652661 -073.79211443 20
111  40.65613232 -073.79103953 20
112  40.65503162 -073.78860028  40.65495159 -073.78842790 20
111  40.65483890 -073.78826579 20
112  40.65441914 -073.78766765  40.65429316 -073.78748989 20
112  40.65386286 -073.78713764  40.65368134 -073.78699871 20
111  40.65354951 -073.78689963 20
111  40.65325364 -073.78670866 20
111  40.65329353 -073.78661516 20
112  40.65349594 -073.78675504  40.65366623 -073.78687637 20
112  40.65396071 -073.78662996  40.65403150 -073.78650631 20
112  40.65385033 -073.78605740  40.65360640 -073.78591787 20
111  40.65345452 -073.78622726 20
113  40.65329787 -073.78660413
112  40.65398374 -073.78684798  40.65400873 -073.78686680 20
112  40.65402896 -073.78689738  40.65404264 -073.78691464 20
111  40.65404621 -073.78688562 20
112  40.65404918 -073.78673505  40.65405097 -073.78667780 20
111  40.65405818 -073.78653441 20
112  40.65399802 -073.78668172  40.65396232 -073.78674211 20
112  40.65390878 -073.78678681  40.65388676 -073.78680563 20
113  40.65391032 -073.78680950 20
111  40.65400134 -073.78702159 20
112  40.65400326 -073.78698875  40.65399368 -073.78697865 20
112  40.65393811 -073.78693444  40.65390936 -073.78691297 20
112  40.65386912 -073.78689782  40.65385187 -073.78688898 20
111  40.65384995 -073.78690287 20
114  40.65388636 -073.78704558  40.65394386 -073.78708853 20
111  40.65377135 -073.78687223 20
112  40.65376560 -073.78685960  40.65375506 -073.78686086 20
112  40.65367816 -073.78686579  40.65363663 -073.78686671 20
111  40.65354906 -073.78684444 20
112  40.65367362 -073.78692148  40.65370907 -073.78694800 20
111  40.65375602 -073.78698589 20
114  40.65377327 -073.78697200  40.65377005 -073.78693845 20
111  40.65399616 -073.78712838 20
112  40.65400172 -073.78717146  40.65402607 -073.78718522 20
111  40.65427801 -073.78739764 20
111  40.65405773 -073.78707525 20
114  40.65403071 -073.78710728  40.65401564 -073.78712103 20
110 1 0.00 0.0000 New Taxiway 61
111  40.64267686 -073.78377987 20
111  40.64265808 -073.78376593 20
111  40.64253852 -073.78404418 20
111  40.64248587 -073.78400076 20
111  40.64260454 -073.78371512 20
111  40.64209704 -073.78334862 20
111  40.64197856 -073.78362769 20
111  40.64192031 -073.78358362 20
111  40.64203466 -073.78330211 20
111  40.64156970 -073.78296511 20
111  40.64144907 -073.78324429 20
111  40.64139121 -073.78320034 20
111  40.64151282 -073.78291988 20
111  40.64093799 -073.78249704 20
111  40.64081932 -073.78278167 20
111  40.64075827 -073.78274411 20
111  40.64087482 -073.78246162 20
111  40.64041263 -073.78211205 20
111  40.64028937 -073.78239718 20
111  40.64023244 -073.78235569 20
111  40.64034966 -073.78206350 20
111  40.63979033 -073.78165920 20
111  40.63966775 -073.78194079 20
111  40.63961014 -073.78190019 20
111  40.63973071 -073.78161506 20
111  40.63958536 -073.78151089 20
111  40.63947349 -073.78149500 20
111  40.63946120 -073.78158036 20
111  40.63897259 -073.78150103 20
111  40.63897853 -073.78141345 20
111  40.63895954 -073.78141189 20
111  40.63893225 -073.78174342 20
111  40.63886167 -073.78173572 20
111  40.63888752 -073.78139961 20
111  40.63863253 -073.78135567 20
111  40.63862664 -073.78142158 20
111  40.63851288 -073.78140219 20
111  40.63851876 -073.78133886 20
111  40.63836184 -073.78131690 20
111  40.63833242 -073.78164129 20
111  40.63826573 -073.78163612 20
111  40.63829123 -073.78130527 20
111  40.63776357 -073.78122214 20
111  40.63773533 -073.78155226 20
111  40.63765649 -073.78153866 20
111  40.63768771 -073.78120849 20
111  40.63764341 -073.78120108 20
111  40.63763752 -073.78126031 20
111  40.63752478 -073.78124187 20
111  40.63752994 -073.78118069 20
111  40.63716796 -073.78112195 20
111  40.63713671 -073.78144714 20
111  40.63706156 -073.78144035 20
111  40.63709693 -073.78111118 20
111  40.63693703 -073.78108399 20
111  40.63669274 -073.78104642 20
111  40.63669643 -073.78099010 20
111  40.63587185 -073.78085007 20
111  40.63587027 -073.78082509 20
111  40.63515299 -073.78070253 20
111  40.63517401 -073.78052523 20
111  40.63589090 -073.78064435 20
111  40.63589090 -073.78061111 20
111  40.63672959 -073.78074637 20
111  40.63673493 -073.78068762 20
111  40.63675277 -073.78069232 20
111  40.63677951 -073.78036570 20
111  40.63685262 -073.78037393 20
111  40.63682231 -073.78070055 20
111  40.63737420 -073.78079102 20
111  40.63739916 -073.78046439 20
111  40.63746870 -073.78047497 20
111  40.63743928 -073.78079689 20
111  40.63797172 -073.78088488 20
111  40.63800107 -073.78056170 20
111  40.63806971 -073.78057337 20
111  40.63804092 -073.78089802 20
111  40.63868725 -073.78099995 20
111  40.63871961 -073.78068072 20
111  40.63878532 -073.78068719 20
111  40.63875394 -073.78101288 20
111  40.63901481 -073.78105553 20
111  40.63902266 -073.78096893 20
111  40.63916290 -073.78098961 20
111  40.63919233 -073.78066909 20
111  40.63926098 -073.78067555 20
111  40.63922843 -073.78099760 20
111  40.63951585 -073.78104816 20
111  40.63950672 -073.78113643 20
111  40.63961268 -073.78115007 20
111  40.63971742 -073.78122631 20
111  40.63972655 -073.78120866 20
111  40.63978519 -073.78089317 20
111  40.63984530 -073.78091253 20
111  40.63978745 -073.78122471 20
111  40.63977953 -073.78122310 20
111  40.63976005 -073.78126243 20
111  40.64023513 -073.78161198 20
111  40.64035894 -073.78132480 20
111  40.64041479 -073.78136828 20
111  40.64029604 -073.78165398 20
111  40.64076527 -073.78199178 20
111  40.64088786 -073.78171520 20
111  40.64094697 -073.78175609 20
111  40.64082669 -073.78203929 20
111  40.64154225 -073.78256384 20
111  40.64168342 -073.78222823 20
111  40.64172408 -073.78225593 20
111  40.64170197 -073.78231067 20
111  40.64172006 -073.78232391 20
111  40.64160311 -073.78260891 20
111  40.64205110 -073.78294047 20
111  40.64215492 -073.78268976 20
111  40.64210267 -073.78264827 20
111  40.64215753 -073.78252321 20
111  40.64222545 -073.78256901 20
111  40.64228547 -073.78242330 20
111  40.64231390 -073.78244412 20
111  40.64225388 -073.78258983 20
111  40.64229021 -073.78261897 20
111  40.64235654 -073.78247118 20
111  40.64238705 -073.78248881 20
111  40.64232723 -073.78264391 20
111  40.64236646 -073.78267105 20
111  40.64242824 -073.78252371 20
111  40.64246061 -073.78254827 20
111  40.64240078 -073.78269690 20
111  40.64243119 -073.78272146 20
111  40.64237823 -073.78284942 20
111  40.64223896 -073.78275119 20
111  40.64213206 -073.78299676 20
111  40.64241648 -073.78320227 20
111  40.64359150 -073.78045528 20
111  40.64355798 -073.78038656 20
111  40.64335135 -073.78054210 20
111  40.64331667 -073.78046860 20
111  40.64352517 -073.78030488 20
111  40.64318890 -073.77955730 20
111  40.64297966 -073.77971857 20
111  40.64294576 -073.77964089 20
111  40.64316043 -073.77947889 20
111  40.64286271 -073.77882624 20
111  40.64260164 -073.77902642 20
111  40.64259055 -073.77899492 20
111  40.64259833 -073.77898587 20
111  40.64258735 -073.77896296 20
111  40.64260470 -073.77895030 20
111  40.64262413 -073.77893530 20
111  40.64261810 -073.77891234 20
111  40.64282784 -073.77874657 20
111  40.64282490 -073.77874011 20
111  40.64304066 -073.77857467 20
111  40.64304949 -073.77859406 20
111  40.64306224 -073.77858243 20
111  40.64326917 -073.77829807 20
111  40.64329761 -073.77834073 20
111  40.64327491 -073.77837582 20
111  40.64328917 -073.77839518 20
111  40.64310965 -073.77863353 20
111  40.64310228 -073.77862294 20
111  40.64307549 -073.77864678 20
111  40.64337571 -073.77931683 20
111  40.64358498 -073.77914204 20
111  40.64362042 -073.77922057 20
111  40.64340738 -073.77938933 20
111  40.64361168 -073.77984007 20
111  40.64382552 -073.77967963 20
111  40.64385956 -073.77975013 20
111  40.64364720 -073.77991890 20
111  40.64396361 -073.78062311 20
111  40.64398087 -073.78059468 20
111  40.64386868 -073.78034587 20
111  40.64393880 -073.78029895 20
111  40.64400245 -073.78044397 20
111  40.64406394 -073.78029611 20
111  40.64456366 -073.78066420 20
111  40.64422660 -073.78145647 20
111  40.64440371 -073.78159371 20
111  40.64454629 -073.78126184 20
111  40.64458799 -073.78129847 20
111  40.64360911 -073.78358350 20
111  40.64356747 -073.78354755 20
111  40.64369814 -073.78324098 20
111  40.64352656 -073.78312001 20
111  40.64345693 -073.78327512 20
111  40.64336474 -073.78321308 20
111  40.64332845 -073.78329838 20
111  40.64307671 -073.78310844 20
111  40.64288684 -073.78354065 20
111  40.64291238 -073.78356056 20
111  40.64285016 -073.78370558 20
111  40.64290914 -073.78374300 20
111  40.64284453 -073.78389217 20
111  40.64274401 -073.78382335 20
111  40.64271138 -073.78410549 20
111  40.64281450 -073.78417946 20
111  40.64265394 -073.78455449 20
111  40.64247016 -073.78441792 20
111  40.64263441 -073.78404085 20
