A
1100 Generated by WorldEditor 1.6.0r1

1    641 0 0 KSLH CHEBOYGAN CO
111  45.65076336 -084.52324997
113  45.65086295 -084.52324900
110 1 0.00 0.0000 New Taxiway 6
111  45.65430317 -084.51156665
111  45.65440621 -084.51176041
111  45.65440519 -084.51204840
113  45.65430125 -084.51223835
110 1 0.00 0.0000 New Taxiway 5
111  45.65520423 -084.52007934
111  45.65517027 -084.52025469
111  45.65489912 -084.52015484
113  45.65480593 -084.51991772
130 Airport Boundary
111  45.64882668 -084.52618440
111  45.65271930 -084.52611090
111  45.65274403 -084.52857392
111  45.65596669 -084.52865659
111  45.65592941 -084.51183865
111  45.65468512 -084.51079714
113  45.64890199 -084.51067878
120 Linear Feature 25
111  45.65461787 -084.51961101 54
115  45.65457087 -084.51983688
120 Linear Feature 24
111  45.65376392 -084.52407067 54
115  45.65376636 -084.52391473
120 Linear Feature 23
112  45.65293598 -084.52399079  45.65306215 -084.52395449 1
115  45.65308590 -084.52373245
120 Linear Feature 22
111  45.65416028 -084.52416814 1
112  45.65398674 -084.52399413  45.65384281 -084.52399243
111  45.65398674 -084.52399413
112  45.65398674 -084.52399413  45.65416177 -084.52398182 1
111  45.65416874 -084.52376781 1
115  45.65417280 -084.52288637
120 Linear Feature 21
111  45.65149210 -084.52398620 1
111  45.65293598 -084.52399079 1
111  45.65324682 -084.52399178 1
115  45.65398674 -084.52399413
120 Linear Feature 20
111  45.65313819 -084.51965791 54
115  45.65303933 -084.51966297
120 Linear Feature 19
111  45.65359926 -084.51946480 54
115  45.65364919 -084.51924004
120 Linear Feature 18
112  45.65308986 -084.51948845  45.65313351 -084.51919223 1
111  45.65333399 -084.51925467 1
115  45.65387498 -084.51946232
120 Linear Feature 17
111  45.65241081 -084.51890553 1
111  45.65296821 -084.51911970
112  45.65296821 -084.51911970  45.65308733 -084.51918626 1
111  45.65309001 -084.51933025 1
111  45.65308986 -084.51948845 1
111  45.65308590 -084.52373245
112  45.65308590 -084.52373245  45.65310211 -084.52392706 1
115  45.65324682 -084.52399178
120 Linear Feature 16
111  45.65104205 -084.51885380 54
115  45.65097582 -084.51882541
120 Linear Feature 15
111  45.65104550 -084.51863675 1
111  45.65088710 -084.51949817 1
112  45.65087230 -084.51969479  45.65087145 -084.51979982
111  45.65087230 -084.51969479 1
115  45.65087473 -084.52113227
120 Linear Feature 14
111  45.65053420 -084.51818915 1
111  45.65092098 -084.51833845 1
112  45.65104550 -084.51863675  45.65104112 -084.51887720
111  45.65104550 -084.51863675
112  45.65104550 -084.51863675  45.65110981 -084.51844648 1
111  45.65127643 -084.51846739 1
115  45.65181868 -084.51868065
120 Linear Feature 26
111  45.65095043 -084.52354115 1
112  45.65107498 -084.52332480  45.65107701 -084.52312878 1
115  45.65094971 -084.52312733
21  45.65445456 -084.52497512 2 89.9100 4.00 09  PAPI-4L
21  45.65393008 -084.51298000 2 269.9200 4.00 27  PAPI-4L
14  45.65079086 -084.52400850  82.02 0 New Tower Viewpoint 2
1300  45.65034894 -084.52164173 -89.94 hangar props Hangar 10
1301 A none 
1300  45.65047835 -084.52164173 -89.94 hangar props Hangar 09
1301 A none 
1300  45.65060946 -084.52164173 -89.71 hangar props Hangar 08
1301 A none 
1300  45.65013883 -084.52194409  89.39 hangar props Hangar 07
1301 A none 
1300  45.65028516 -084.52194651  89.39 hangar props Hangar 06
1301 A none 
1300  45.65043470 -084.52194827  89.39 hangar props Hangar 05
1301 A none 
1300  45.65058378 -084.52195036  89.39 hangar props Hangar 04
1301 A none 
1300  45.65012267 -084.52267740  89.39 hangar turboprops|props Hangar 03
1301 A none 
1300  45.65030029 -084.52267886  89.39 hangar turboprops|props Hangar 02
1301 A none 
1300  45.65048198 -084.52266869  89.39 hangar turboprops|props Hangar 01
1301 A none 
18  45.65228088 -084.52016013 1 New Airport Beacon 1
19  45.65399379 -084.51284607 1 WS
19  45.65209914 -084.52132102 1 WS
50 11817 AWOS 3
51 12280 CTAF/UNICOM
99
