I
1050 Generated by WorldEditor 2.1.0r1

1     20 0 0 X13 Carrabelle-Thompson
120 Linear Feature 7
111  29.84326318 -084.69629366 3
111  29.84330904 -084.69632668 3
111  29.84343562 -084.69609764 3
115  29.84340635 -084.69607434
120 Linear Feature 6
111  29.84466019 -084.69573745 54
111  29.84467935 -084.69570390 54
115  29.84469910 -084.69566929
120 Linear Feature 5
111  29.84487892 -084.69585203 51
111  29.84467935 -084.69570390 57
111  29.84432332 -084.69543895 51
115  29.84417901 -084.69533009
120 Linear Feature 4
111  29.84468600 -084.69575896 53
115  29.84485859 -084.69588787
21  29.84328328 -084.69826784 2 235.4157 2.30 New Light Fixture 3
21  29.84069013 -084.70400356 2 55.9279 2.30 New Light Fixture 2
14  29.84350342 -084.69637746  10.00 0 Viewpoint
1300  29.84356289 -084.69625564 -213.14 hangar props Hangar 4-3
1301 A none 
1300  29.84362999 -084.69613747 -213.14 hangar props Hangar 4-2
1301 A none 
1300  29.84369566 -084.69602160 -213.14 hangar props Hangar 4-1
1301 A none 
1300  29.84328220 -084.69674723 -213.14 hangar props Hangar 3-3
1301 A none 
1300  29.84335123 -084.69662516 -213.14 hangar props Hangar 3-2
1301 A none 
1300  29.84342044 -084.69650311 -213.14 hangar props Hangar 3-1
1301 A none 
1300  29.84320931 -084.69634772 -32.74 hangar props Hangar 2-3
1301 A none 
1300  29.84314065 -084.69647049 -32.74 hangar props Hangar 2-2
1301 A none 
1300  29.84307199 -084.69659325 -32.74 hangar props Hangar 2-1
1301 A none 
1300  29.84347008 -084.69592503 -33.12 hangar props Hangar 1-2
1301 A none 
1300  29.84339676 -084.69605459 -33.12 hangar props Hangar 1-1
1301 A none 
1300  29.84353369 -084.69571835 -33.63 tie_down props GA Tie-Down 01
1301 A general_aviation 
1300  29.84359304 -084.69561494 -33.63 tie_down props GA Tie-Down 02
1301 A general_aviation 
1300  29.84365238 -084.69551323 -33.63 tie_down props GA Tie-Down 03
1301 A general_aviation 
1300  29.84371074 -084.69541266 -33.63 tie_down props GA Tie-Down 04
1301 A general_aviation 
1300  29.84377007 -084.69530946 -33.63 tie_down props GA Tie-Down 05
1301 A general_aviation 
1300  29.84382856 -084.69520721 -33.63 tie_down props GA Tie-Down 06
1301 A general_aviation 
1300  29.84402959 -084.69542679 -213.54 tie_down props GA Tie-Down 07
1301 A general_aviation 
1300  29.84397038 -084.69553031 -213.54 tie_down props GA Tie-Down 08
1301 A general_aviation 
1300  29.84391118 -084.69563213 -213.54 tie_down props GA Tie-Down 09
1301 A general_aviation 
1300  29.84385296 -084.69573281 -213.54 tie_down props GA Tie-Down 10
1301 A general_aviation 
1300  29.84407526 -084.69507600 -33.98 misc turboprops|props Refuelling Station
1301 A none 
18  29.84402507 -084.69613268 1 Beacon
19  29.84330463 -084.69824394 1 WS
51 12290 CTAF
99
