I
1050 Generated by WorldEditor

1    232 1 0 KNLC LEMOORE NAS
111  36.32949414 -119.95298518
113  36.32933072 -119.95344348
110 1 0.00 0.0000 New Taxiway 29
111  36.32934888 -119.95279360
111  36.32967270 -119.95188828
111  36.32985731 -119.95198219
113  36.32952743 -119.95288376
110 1 0.00 0.0000 New Taxiway 46
111  36.33215075 -119.95079136
111  36.33216109 -119.95075544
111  36.33207220 -119.95069642
111  36.33210114 -119.95064767
111  36.33221896 -119.95070925
113  36.33218382 -119.95080932
110 1 0.00 0.0000 New Taxiway 45
111  36.33197918 -119.95089913
111  36.33203499 -119.95077083
111  36.33215902 -119.95084781
113  36.33211354 -119.95097354
110 1 0.00 0.0000 New Taxiway 44
111  36.33179728 -119.95079649
111  36.33185929 -119.95063484
111  36.33190683 -119.95065280
111  36.33187376 -119.95076570
111  36.33190270 -119.95077853
113  36.33187583 -119.95083498
110 1 0.00 0.0000 New Taxiway 43
111  36.33115018 -119.95031199
111  36.33121219 -119.95016270
111  36.33126105 -119.95019303
113  36.33120843 -119.95034231
110 1 0.00 0.0000 New Taxiway 42
111  36.33128548 -119.95033765
111  36.33130427 -119.95027467
111  36.33137004 -119.95030499
111  36.33138695 -119.95027000
111  36.33143581 -119.95029333
113  36.33140011 -119.95039596
110 1 0.00 0.0000 New Taxiway 41
111  36.33159930 -119.95047760
111  36.33164816 -119.95050793
111  36.33160682 -119.95061989
111  36.33164440 -119.95064322
111  36.33168762 -119.95053358
111  36.33175339 -119.95057324
111  36.33169138 -119.95073419
113  36.33153729 -119.95065021
110 1 0.00 0.0000 New Taxiway 40
111  36.33144722 -119.95091650
111  36.33151771 -119.95075562
111  36.33159956 -119.95080360
113  36.33154044 -119.95096166
110 1 0.00 0.0000 New Taxiway 39
111  36.33119427 -119.95166105
111  36.33126261 -119.95147213
111  36.33134026 -119.95151454
113  36.33127037 -119.95170153
110 1 0.00 0.0000 New Taxiway 38
111  36.33088522 -119.95142201
111  36.33094268 -119.95127357
111  36.33099704 -119.95130249
113  36.33093958 -119.95145285
110 1 0.00 0.0000 New Taxiway 37
111  36.33088522 -119.95167454
111  36.33094579 -119.95152418
111  36.33099704 -119.95155695
113  36.33093647 -119.95170153
110 1 0.00 0.0000 New Taxiway 36
111  36.33073924 -119.95173816
111  36.33076253 -119.95168033
111  36.33091939 -119.95176515
113  36.33089299 -119.95182491
110 1 0.00 0.0000 New Taxiway 79
111  36.32507462 -119.94533440
111  36.32505005 -119.94539998
111  36.32464708 -119.94516820
111  36.32518765 -119.94366772
111  36.32540880 -119.94379581
111  36.32503531 -119.94485407
111  36.32526874 -119.94498521
113  36.32513605 -119.94536949
110 1 0.00 0.0000 New Taxiway 80
111  36.32533728 -119.94453475
111  36.32539820 -119.94437596
111  36.32565204 -119.94450955
113  36.32559112 -119.94466834
110 1 0.00 0.0000 New Taxiway 80
111  36.32525808 -119.94475655
111  36.32531900 -119.94459776
111  36.32557284 -119.94473135
113  36.32551192 -119.94489014
110 1 0.00 0.0000 New Taxiway 81
111  36.32506167 -119.94281866
111  36.32513367 -119.94261932
111  36.32523336 -119.94267889
113  36.32516690 -119.94286907
110 2 0.00 0.0000 MAIN
112  36.31723462 -119.95128480  36.31770107 -119.95133803
112  36.31984452 -119.95152940  36.32027876 -119.95157339
111  36.32059377 -119.95175318
111  36.32552325 -119.95445742
112  36.32578586 -119.95435364  36.32585074 -119.95419260
112  36.32641082 -119.95264121  36.32642585 -119.95258757
111  36.32639575 -119.95257532
111  36.32605621 -119.95239185
111  36.32613756 -119.95216678
111  36.32647169 -119.95235669
112  36.32651326 -119.95234416  36.32652413 -119.95232295
112  36.32663209 -119.95202946  36.32664606 -119.95198512
111  36.32661831 -119.95197827
111  36.32635732 -119.95181386
111  36.32649366 -119.95143357
111  36.32612849 -119.95123178
111  36.32597245 -119.95114521
111  36.32604088 -119.95095254
111  36.32599804 -119.95092317
111  36.32605772 -119.95077564
111  36.32617731 -119.95043252
111  36.32648993 -119.94955860
111  36.32665417 -119.94966481
111  36.32687350 -119.94906793
111  36.32726197 -119.94927028
112  36.32754452 -119.94932935  36.32770141 -119.94926725
111  36.32774920 -119.94907575
111  36.32771778 -119.94905713
111  36.32779338 -119.94883733
111  36.32782329 -119.94885365
111  36.32803610 -119.94824168
112  36.32800524 -119.94800245  36.32796979 -119.94791996
111  36.32729297 -119.94703808
112  36.32720334 -119.94697142  36.32715574 -119.94695778
111  36.32712130 -119.94699068
111  36.32698778 -119.94735986
111  36.32670141 -119.94717729
111  36.32630123 -119.94694869
111  36.32622164 -119.94692047
111  36.32541218 -119.94647738
111  36.32534364 -119.94640434
111  36.32499538 -119.94623667
111  36.32551192 -119.94489014
111  36.32557284 -119.94473135
111  36.32559112 -119.94466834
111  36.32565204 -119.94450955
111  36.32573099 -119.94427029
111  36.32582611 -119.94432324
111  36.32592427 -119.94402807
111  36.32575350 -119.94389479
111  36.32589384 -119.94352464
111  36.32583690 -119.94339230
111  36.32555571 -119.94319723
111  36.32553401 -119.94326508
111  36.32532834 -119.94316111
111  36.32520067 -119.94320144
111  36.32490035 -119.94303363
111  36.32498459 -119.94277554
111  36.32506167 -119.94281866
111  36.32516690 -119.94286907
111  36.32523336 -119.94267889
111  36.32527073 -119.94259791
111  36.32573866 -119.94290936
111  36.32568725 -119.94302269
111  36.32580335 -119.94308308
111  36.32790103 -119.94424405
111  36.32929609 -119.94407150
111  36.32986473 -119.94243431
111  36.32965111 -119.94231833
111  36.32973817 -119.94213535
111  36.36434436 -119.96121282
111  36.36422664 -119.96159889
111  36.36410307 -119.96152418
112  36.36387961 -119.96213513  36.36369794 -119.96258633
111  36.36328315 -119.96247790
111  36.36282544 -119.96225158
111  36.36289226 -119.96208717
111  36.34504682 -119.95226056
112  36.34483038 -119.95247120  36.34474050 -119.95268611
111  36.34460905 -119.95311488
112  36.34427550 -119.95324641  36.34407243 -119.95311415
111  36.34415554 -119.95286291
112  36.34438037 -119.95222438  36.34444362 -119.95198880
111  36.34438712 -119.95188446
112  36.33727703 -119.94797472  36.33722036 -119.94794029
111  36.33727703 -119.94797472
112  36.33727703 -119.94797472  36.33710492 -119.94787016
111  36.33699822 -119.94807626
112  36.33493277 -119.95372763  36.33486429 -119.95404765
111  36.33507244 -119.95419167
111  36.33612296 -119.95480889
111  36.33733581 -119.95547573
111  36.33746443 -119.95510814
111  36.33778096 -119.95529652
111  36.33758939 -119.95584825
111  36.33748434 -119.95580166
111  36.33725762 -119.95643030
111  36.33759988 -119.95709892
111  36.33782827 -119.95722840
112  36.33691604 -119.95973461  36.33684613 -119.95993711
111  36.33699431 -119.96008027
111  36.33716159 -119.96018040
111  36.33726065 -119.96013976
111  36.33742203 -119.95971198
112  36.33760995 -119.95961249  36.33772818 -119.95966895
111  36.33765478 -119.95984441
111  36.33750965 -119.96026935
112  36.33755226 -119.96038445  36.33763426 -119.96043747
111  36.33767767 -119.96039446
111  36.33785685 -119.95992393
112  36.33801764 -119.95983639  36.33812043 -119.95989894
111  36.33808872 -119.96003109
112  36.33795571 -119.96045164  36.33791540 -119.96055172
111  36.33799391 -119.96061950
111  36.33786423 -119.96098780
111  36.33779105 -119.96094874
112  36.33749141 -119.96110850  36.33731806 -119.96101091
111  36.33738887 -119.96072668
111  36.33687797 -119.96044869
112  36.33672953 -119.96046970  36.33666612 -119.96051209
111  36.33660383 -119.96063632
111  36.33688821 -119.96081955
111  36.33642736 -119.96214158
111  36.31658292 -119.95121628
113  36.31662282 -119.95115134
111  36.33041967 -119.94311102
112  36.33049220 -119.94325694  36.33060225 -119.94325694
111  36.33118002 -119.94320416
112  36.33121754 -119.94305514  36.33114500 -119.94298994
112  36.33079734 -119.94279435  36.33061476 -119.94269500
113  36.33051721 -119.94284712
111  36.33207886 -119.94349672
111  36.33136765 -119.94358688
111  36.33137673 -119.94380476
111  36.33103777 -119.94386487
111  36.33131923 -119.94403016
111  36.33124962 -119.94421424
111  36.33332913 -119.94538066
111  36.33427957 -119.94526889
112  36.33437962 -119.94498635  36.33434960 -119.94481559
113  36.33422704 -119.94468519
111  36.32927547 -119.94633426
111  36.32976731 -119.94627926
111  36.32983378 -119.94609226
111  36.33219588 -119.94737926
111  36.33233284 -119.94732426
111  36.33230061 -119.94718926
111  36.33205892 -119.94698425
111  36.33226839 -119.94641424
111  36.33276385 -119.94668925
111  36.33244966 -119.94760427
112  36.33255842 -119.94757927  36.33262045 -119.94752977
111  36.33263495 -119.94747927
112  36.33314250 -119.94590922  36.33318238 -119.94575522
111  36.33303776 -119.94562921
111  36.33067037 -119.94435423
111  36.33059725 -119.94454178
111  36.32997825 -119.94420903
111  36.32983203 -119.94461438
111  36.32966143 -119.94455993
111  36.32935437 -119.94547348
111  36.32942748 -119.94550978
111  36.32937387 -119.94576993
113  36.32945672 -119.94581833
112  36.33291560 -119.94762769  36.33286252 -119.94781071
111  36.33299882 -119.94786324
111  36.33529932 -119.94912095
112  36.33542945 -119.94906459  36.33545161 -119.94899309
111  36.33548090 -119.94890681
111  36.33525660 -119.94874158
111  36.33517201 -119.94866658
111  36.33537342 -119.94808154
111  36.33591319 -119.94838656
111  36.33553051 -119.94945163
111  36.33584471 -119.94994666
111  36.33600584 -119.94952664
111  36.33614682 -119.94944163
111  36.33668659 -119.94795152
112  36.33656575 -119.94758650  36.33637079 -119.94746549
112  36.33371394 -119.94602559  36.33351342 -119.94593774
113  36.33345074 -119.94617080
111  36.33434408 -119.94591731
111  36.33689080 -119.94733475
112  36.33701731 -119.94735128  36.33714138 -119.94736228
111  36.33838555 -119.94718597
112  36.33846212 -119.94709919  36.33847098 -119.94704968
111  36.33841551 -119.94695868
111  36.33633742 -119.94582045
111  36.33616823 -119.94584045
111  36.33600711 -119.94573544
111  36.33600308 -119.94564543
111  36.33570903 -119.94549042
111  36.33430723 -119.94567545
114  36.33423070 -119.94577045  36.33425084 -119.94587046
111  36.33784554 -119.94764240
112  36.33775399 -119.94771059  36.33774667 -119.94778332
111  36.33783089 -119.94784242
111  36.34488145 -119.95172764
111  36.34522261 -119.95073025
113  36.33926177 -119.94745249
111  36.34495813 -119.95176512
111  36.34825023 -119.95357004
112  36.34852121 -119.95349729  36.34859079 -119.95335180
112  36.34871896 -119.95292443  36.34877389 -119.95274712
111  36.34864938 -119.95264255
113  36.34531905 -119.95079399
111  36.34924361 -119.95295129
112  36.34906202 -119.95304274  36.34901771 -119.95317277
111  36.34906202 -119.95304274
112  36.34906202 -119.95304274  36.34898549 -119.95323779
112  36.34883807 -119.95365394  36.34879779 -119.95378897
111  36.34893794 -119.95395454
111  36.35581445 -119.95773938
112  36.35605354 -119.95764543  36.35610188 -119.95750538
112  36.35626236 -119.95702914  36.35630667 -119.95687910
113  36.35618367 -119.95678864
112  36.35636152 -119.95781397  36.35631757 -119.95795038
111  36.35647157 -119.95809751
111  36.35894222 -119.95946062
111  36.35904677 -119.95936496
111  36.35924761 -119.95867144
111  36.35889750 -119.95824926
111  36.35681385 -119.95710340
114  36.35654287 -119.95726255  36.35646963 -119.95745352
111  36.35943381 -119.95872951
111  36.35926170 -119.95907510
111  36.35910058 -119.95954801
111  36.36304856 -119.96171868
112  36.36330112 -119.96160313  36.36337769 -119.96144604
112  36.36350052 -119.96102540  36.36354379 -119.96086830
111  36.36341633 -119.96075578
113  36.35988017 -119.95882116
111  36.32730763 -119.94616576
112  36.32726768 -119.94635584  36.32727767 -119.94647154
111  36.32736423 -119.94659137
111  36.32797344 -119.94743845
112  36.32816320 -119.94746738  36.32824642 -119.94742605
111  36.32830635 -119.94733928
111  36.32910532 -119.94517818
111  36.32891889 -119.94506248
111  36.32901543 -119.94474844
111  36.32875577 -119.94476084
111  36.32872581 -119.94456663
112  36.32791352 -119.94467406  36.32784028 -119.94470299
111  36.32780699 -119.94477736
111  36.32747408 -119.94570296
111  36.32797344 -119.94598808
112  36.32802005 -119.94627319  36.32796013 -119.94643435
113  36.32781365 -119.94641369
112  36.32782162 -119.94985455  36.32776714 -119.95001984
111  36.32789153 -119.95017272
111  36.32823365 -119.95035672
111  36.32819915 -119.95044970
111  36.33023739 -119.95155967
111  36.33037032 -119.95117968 53 102
111  36.33069686 -119.95135118 53 102
111  36.33058681 -119.95167903
111  36.33057457 -119.95172665
112  36.33087115 -119.95188324  36.33104579 -119.95195634
111  36.33087115 -119.95188324
112  36.33087115 -119.95188324  36.33104579 -119.95195634
111  36.33119427 -119.95166105
111  36.33127037 -119.95170153
111  36.33134734 -119.95184393
111  36.33138320 -119.95209685
111  36.33141355 -119.95211084
111  36.33174022 -119.95235751
111  36.33168422 -119.95226934
111  36.33169051 -119.95224291
111  36.33175030 -119.95209659
111  36.33180323 -119.95212473
111  36.33185434 -119.95203044
111  36.33213293 -119.95218252
111  36.33216432 -119.95220317
111  36.33213178 -119.95229444
111  36.33215571 -119.95230717
111  36.33206254 -119.95256820
111  36.33408713 -119.95367953
111  36.33444701 -119.95381112
112  36.33463377 -119.95365202  36.33469429 -119.95351541
112  36.33503658 -119.95254288  36.33506954 -119.95241105
111  36.33496700 -119.95231105
111  36.33466672 -119.95216104
111  36.33458314 -119.95237093
111  36.33427224 -119.95220396
111  36.33437432 -119.95188059
111  36.33235067 -119.95077511 53 102
111  36.33111752 -119.95008281
111  36.32909346 -119.94896299
111  36.32895697 -119.94932663
111  36.32862903 -119.94913801
111  36.32876583 -119.94879639
111  36.32846975 -119.94864487
114  36.32824637 -119.94874033  36.32814347 -119.94891688
111  36.32933072 -119.95344348
111  36.32949414 -119.95298518
111  36.32931256 -119.95288752
113  36.32915216 -119.95333079
111  36.32952743 -119.95288376
111  36.32985731 -119.95198219
111  36.32967270 -119.95188828
113  36.32934888 -119.95279360
111  36.32910374 -119.95266212
111  36.32943362 -119.95173802
111  36.32925808 -119.95164786
113  36.32893426 -119.95256445
111  36.32907045 -119.95275228
111  36.32889491 -119.95265837
111  36.32873451 -119.95310539
113  36.32891005 -119.95321058
111  36.32906727 -119.95640668
112  36.32932727 -119.95630668  36.32939373 -119.95615269
111  36.32996078 -119.95459307
112  36.32993149 -119.95440216  36.32987832 -119.95431966
111  36.32965684 -119.95398398
111  36.32920276 -119.95521124
111  36.32912586 -119.95525215
111  36.32865347 -119.95499306
111  36.32885121 -119.95442943
111  36.32897572 -119.95446580
111  36.32901966 -119.95443852
111  36.32922107 -119.95453852
111  36.32927600 -119.95437489
112  36.32924304 -119.95425216  36.32917658 -119.95419716
112  36.32680559 -119.95294596  36.32672892 -119.95291668
111  36.32657854 -119.95308232
112  36.32608214 -119.95449187  36.32604675 -119.95465291
113  36.32619038 -119.95482768
112  36.31791941 -119.95182623  36.31786988 -119.95182623
111  36.31789927 -119.95187123
111  36.32339537 -119.95490579
112  36.32355139 -119.95491945  36.32363118 -119.95489896
111  36.32508720 -119.95470333
112  36.32510130 -119.95464955  36.32506499 -119.95461950
111  36.32034083 -119.95202620
114  36.31979006 -119.95189312  36.31952199 -119.95187316
111  36.32434581 -119.95520213
112  36.32425227 -119.95528067  36.32424193 -119.95536533
111  36.32434306 -119.95541385
111  36.32697868 -119.95688983
111  36.32715845 -119.95692702
111  36.32850479 -119.95673430
112  36.32859283 -119.95663527  36.32859283 -119.95654803
111  36.32852405 -119.95651574
112  36.32588558 -119.95506038  36.32576107 -119.95498766
113  36.32563246 -119.95501940
111  36.32796090 -119.95719469
112  36.32787011 -119.95730397  36.32787313 -119.95738286
111  36.32796090 -119.95742691
111  36.33052325 -119.95885125
112  36.33074610 -119.95887857  36.33089467 -119.95886832
111  36.33205571 -119.95871122
112  36.33214100 -119.95858828  36.33214650 -119.95849607
111  36.33205846 -119.95847558
111  36.32951303 -119.95706879
114  36.32927092 -119.95703233  36.32902923 -119.95705960
111  36.33149287 -119.95914738
112  36.33140533 -119.95923121  36.33139782 -119.95930572
111  36.33145285 -119.95935850
111  36.33161793 -119.95945164
111  36.33202061 -119.95949510
112  36.33213567 -119.95952305  36.33218409 -119.95955310
111  36.33222321 -119.95958514
111  36.33261089 -119.96000117
111  36.33460166 -119.96107973
111  36.33472816 -119.96108800
111  36.33499116 -119.96124503
111  36.33565697 -119.96130288
112  36.33585005 -119.96115825  36.33594009 -119.96096575
111  36.33596990 -119.96084417
112  36.33587003 -119.96056729  36.33575748 -119.96047725
111  36.33304421 -119.95900815
114  36.33286132 -119.95896782  36.33275127 -119.95898645
112  36.33325101 -119.95842944  36.33318776 -119.95862780
111  36.33336420 -119.95877243
111  36.33618850 -119.96033234
112  36.33638158 -119.96025795  36.33644483 -119.96010918
111  36.33704406 -119.95847681
111  36.33669451 -119.95796850
111  36.33626840 -119.95916695
111  36.33575572 -119.95889007
111  36.33593216 -119.95830738
111  36.33621180 -119.95845615
112  36.33626174 -119.95838176  36.33627638 -119.95832721
111  36.33620514 -119.95824539
111  36.33407830 -119.95705572
112  36.33391850 -119.95706399  36.33387190 -119.95707638
111  36.33383195 -119.95711771
111  36.33377868 -119.95726234
113  36.33368214 -119.95723342
111  36.32983434 -119.95651782
112  36.32995752 -119.95688559  36.33015160 -119.95701287
111  36.33271745 -119.95840688
112  36.33295672 -119.95830238  36.33306658 -119.95810237
112  36.33350621 -119.95673909  36.33352818 -119.95666636
111  36.33348957 -119.95654073
111  36.33314667 -119.95747465
111  36.33260737 -119.95720192
111  36.33284373 -119.95661098
111  36.33316998 -119.95677215
111  36.33343630 -119.95602982
112  36.33340967 -119.95592087  36.33336730 -119.95589044
111  36.33340967 -119.95592087
112  36.33340967 -119.95592087  36.33334309 -119.95587541
111  36.33230732 -119.95528282
111  36.33209850 -119.95586866
111  36.33225284 -119.95604167
112  36.33227403 -119.95628585  36.33222175 -119.95640538
111  36.33211060 -119.95641358
111  36.33180796 -119.95625580
112  36.33176256 -119.95593272  36.33182584 -119.95580636
111  36.33202889 -119.95584256
111  36.33224679 -119.95526404
111  36.33116061 -119.95468065
111  36.33050878 -119.95478974
114  36.33042822 -119.95488519  36.33038062 -119.95497610
110 1 0.00 0.0000 New Taxiway 78
111  36.32484239 -119.94648058
111  36.32493822 -119.94620916
111  36.32499538 -119.94623667
111  36.32534364 -119.94640434
113  36.32524536 -119.94669712
110 2 0.00 0.0000 New Taxiway 177
111  36.33857599 -119.94616071
111  36.33861805 -119.94604758
111  36.33880733 -119.94608239
112  36.33957148 -119.94415910  36.33963521 -119.94397210
111  36.33955746 -119.94389802
111  36.33646583 -119.94219233
111  36.33149604 -119.94061727
111  36.33124111 -119.94065683
111  36.33112639 -119.94102864
111  36.33121544 -119.94131401
111  36.33152059 -119.94229190
111  36.33114232 -119.94211360
111  36.33109444 -119.94176293
111  36.33068744 -119.94157274
111  36.33062519 -119.94181642
111  36.33037620 -119.94168566
111  36.33056209 -119.94116783
111  36.33078799 -119.94053856
111  36.33156369 -119.94014034
111  36.33631554 -119.94157441
111  36.33657411 -119.94158629
111  36.33668902 -119.94134854
111  36.33540098 -119.94068877
111  36.33559730 -119.93997551
111  36.34057127 -119.94270048
112  36.33981908 -119.94481145  36.33977273 -119.94494810
111  36.33981908 -119.94481145
112  36.33981908 -119.94481145  36.33975535 -119.94497687
111  36.33982627 -119.94515980
111  36.34020073 -119.94650245
111  36.34033316 -119.94688091
111  36.34070991 -119.94732526
113  36.34069370 -119.94737224
110 1 0.00 0.0000 New Taxiway 192
111  36.32696315 -119.94795990
111  36.32713321 -119.94805327
111  36.32727711 -119.94765951
111  36.32737523 -119.94772852
111  36.32732290 -119.94791119
111  36.32744064 -119.94797208
111  36.32735233 -119.94819940
111  36.32724768 -119.94815069
111  36.32718881 -119.94830494
113  36.32689120 -119.94813445
110 1 0.00 0.0000 New Taxiway 191
111  36.32646907 -119.94905712
111  36.32633728 -119.94898226
111  36.32649141 -119.94853033
111  36.32658522 -119.94857746
111  36.32659416 -119.94854697
111  36.32679743 -119.94867451
111  36.32678179 -119.94872441
111  36.32687561 -119.94877709
111  36.32666117 -119.94937319
111  36.32654948 -119.94932606
111  36.32652938 -119.94939537
113  36.32638642 -119.94932052
130 Airport Boundary 201
111  36.33488075 -119.96681573
111  36.29888210 -119.94767512
111  36.29737693 -119.94036123
111  36.30791312 -119.93787140
111  36.32898550 -119.93444787
111  36.34478978 -119.94082808
111  36.36899793 -119.95872377
113  36.36912336 -119.96619327
120 Linear Feature 176
111  36.33691712 -119.94754918 51 101
111  36.33852061 -119.94733412 51 101
115  36.33907822 -119.94725934
120 Linear Feature 175
111  36.33338986 -119.94560996 51 101
115  36.33554270 -119.94531039
120 Linear Feature 142
111  36.33520827 -119.95220432 51 101
111  36.33448691 -119.95179925 51 101
112  36.33445999 -119.95164388  36.33448456 -119.95155238 51 101
111  36.33440057 -119.95149112 51 101
111  36.33418608 -119.95137316 51 101
111  36.33390372 -119.95121788 51 101
111  36.33375665 -119.95113595 51 101
111  36.33348682 -119.95098563 51 101
111  36.33331753 -119.95089487 51 101
111  36.33305061 -119.95074778 51 101
111  36.33288403 -119.95065599 51 101
111  36.33262333 -119.95051234 51 101
111  36.33249594 -119.95044214 51 101
111  36.33196537 -119.95014978 51 101
111  36.33174257 -119.95002956 51 101
111  36.33147802 -119.94988409 51 101
111  36.33121951 -119.94974195 51 101
111  36.33104802 -119.94964766 51 101
111  36.33079197 -119.94950687 51 101
111  36.33062286 -119.94941388 51 101
111  36.33036732 -119.94927337 51 101
111  36.33020337 -119.94918322 51 101
111  36.32994165 -119.94903931 51 101
111  36.32976493 -119.94894215 51 101
111  36.32951830 -119.94880653 51 101
112  36.32930226 -119.94868786  36.32929662 -119.94868481
111  36.32930226 -119.94868786
112  36.32930226 -119.94868786  36.32924276 -119.94865567 51 101
111  36.32916296 -119.94868246 51 101
112  36.32904543 -119.94872028  36.32893406 -119.94876005 51 101
111  36.32887132 -119.94872568 51 101
115  36.32826625 -119.94837988
120 Linear Feature 141
111  36.33527550 -119.95241557 51 101
112  36.33520827 -119.95220432  36.33511367 -119.95212715
111  36.33520827 -119.95220432
112  36.33520827 -119.95220432  36.33528395 -119.95223451 51 101
115  36.33537731 -119.95213244
120 Linear Feature 68
111  36.33470575 -119.95655288 20
112  36.33465955 -119.95657541  36.33464824 -119.95661196 20
115  36.33467715 -119.95662938
120 Linear Feature 68
111  36.33556378 -119.95702314 20
112  36.33551758 -119.95704567  36.33550627 -119.95708222 20
115  36.33553518 -119.95709964
120 Linear Feature 68
111  36.33404311 -119.94918160 20
112  36.33408927 -119.94915896  36.33410053 -119.94912239 20
115  36.33407159 -119.94910504
120 Linear Feature 68
111  36.33391686 -119.95085728 20
112  36.33387060 -119.95087961  36.33385918 -119.95091610 20
115  36.33388805 -119.95093365
