I
1050 Generated by WorldEditor 2.1.0r1

1   2647 0 0 CED5 Taber
1300  49.82596274 -112.17866676 155.98 tie_down props Tie-Down 4
1301 A general_aviation 
1300  49.82601643 -112.17848065 155.98 tie_down props Tie-Down 5
1301 A general_aviation 
1300  49.82607013 -112.17829360 155.98 tie_down props Tie-Down 6
1301 A general_aviation 
1300  49.82612383 -112.17810843 155.98 tie_down props Tie-Down 7
1301 A general_aviation 
1300  49.82636784 -112.17723369 155.96 tie_down props Tie-Down 8
1301 A general_aviation 
1300  49.82642079 -112.17704739 155.96 tie_down props Tie-Down 9
1301 A general_aviation 
1300  49.82647437 -112.17686333 155.96 tie_down props Tie-Down 10
1301 A general_aviation 
1300  49.82652800 -112.17667760 155.96 tie_down props Tie-Down 11
1301 A general_aviation 
1300  49.82658309 -112.17649065 155.96 tie_down props Tie-Down 12
1301 A general_aviation 
1300  49.82663724 -112.17630304 155.96 tie_down props Tie-Down 13
1301 A general_aviation 
1300  49.82669170 -112.17611308 155.96 tie_down props Tie-Down 14
1301 A general_aviation 
1300  49.82674759 -112.17592315 155.96 tie_down props Tie-Down 15
1301 A general_aviation 
1300  49.82680276 -112.17573236 155.96 tie_down props Tie-Down 16
1301 A general_aviation 
1300  49.82685893 -112.17554420 155.96 tie_down props Tie-Down 17
1301 A general_aviation 
1300  49.82691279 -112.17535835 155.96 tie_down props Tie-Down 18
1301 A general_aviation 
1300  49.82696666 -112.17517115 155.96 tie_down props Tie-Down 19
1301 A general_aviation 
1300  49.82702139 -112.17498395 155.96 tie_down props Tie-Down 20
1301 A general_aviation 
1300  49.82707526 -112.17479675 155.96 tie_down props Tie-Down 21
1301 A general_aviation 
1300  49.82629384 -112.17576756 -24.62 tie_down props Tie-Down 22
1301 A general_aviation 
19  49.82765270 -112.18136581 1 WS-LIT-1
19  49.82422054 -112.18835156 1 WS-LIT-2
51 12280 Taber Traffic
99
