A
1050 Generated by WorldEditor 1.6.0r1

1    959 0 0 KLVN Airlake Airport
110 2 0.25 0.0000 New Taxiway 181
111  44.62731108 -093.22191835
111  44.62728442 -093.22193888
111  44.62722623 -093.22198215
111  44.62718457 -093.22201287
111  44.62710520 -093.22178634
111  44.62714432 -093.22175735
111  44.62719888 -093.22171783
113  44.62723135 -093.22169470
110 2 0.25 0.0000 New Taxiway 180
111  44.62697299 -093.22188495
111  44.62700407 -093.22186223
111  44.62706033 -093.22182376
111  44.62708254 -093.22180738
111  44.62716056 -093.22202090
111  44.62714210 -093.22203561
111  44.62708546 -093.22207936
113  44.62705321 -093.22210202
110 2 0.25 0.0000 New Taxiway 179
111  44.62703052 -093.22212189
111  44.62700189 -093.22214253
111  44.62694562 -093.22218162
111  44.62690843 -093.22220885
111  44.62682935 -093.22198208
111  44.62686030 -093.22195984
111  44.62691624 -093.22192382
113  44.62694688 -093.22190362
110 2 0.25 0.0000 New Taxiway 199
111  44.62772018 -093.22198969
111  44.62775698 -093.22196285
111  44.62781095 -093.22192363
111  44.62783892 -093.22190308
111  44.62790471 -093.22209580
111  44.62789376 -093.22210282
111  44.62787063 -093.22211997
113  44.62778555 -093.22217548
110 2 0.25 0.0000 New Taxiway 198
111  44.62758665 -093.22208589
111  44.62762399 -093.22206038
111  44.62767246 -093.22202697
111  44.62771069 -093.22200114
111  44.62777577 -093.22218663
111  44.62775652 -093.22220025
113  44.62765376 -093.22226811
110 2 0.25 0.0000 New Taxiway 197
111  44.62744690 -093.22219450
111  44.62757706 -093.22210494
111  44.62764134 -093.22228708
113  44.62751117 -093.22237739
110 2 0.25 0.0000 New Taxiway 196
111  44.62730647 -093.22228708
111  44.62733795 -093.22226429
111  44.62739269 -093.22222482
111  44.62741961 -093.22220516
111  44.62748525 -093.22239105
111  44.62740020 -093.22245608
111  44.62737811 -093.22247354
113  44.62737398 -093.22247681
110 2 0.25 0.0000 New Taxiway 195
111  44.62716550 -093.22239485
111  44.62719126 -093.22237631
111  44.62725769 -093.22232851
111  44.62727731 -093.22231440
111  44.62734417 -093.22249578
111  44.62733026 -093.22250510
111  44.62731137 -093.22251776
113  44.62722935 -093.22257273
110 2 0.25 0.0000 New Taxiway 194
111  44.62702606 -093.22248943
111  44.62705334 -093.22246723
111  44.62710855 -093.22242572
111  44.62713689 -093.22240383
111  44.62720527 -093.22259431
113  44.62709152 -093.22266974
110 2 0.25 0.0000 New Taxiway 193
111  44.62822690 -093.22162402
111  44.62834688 -093.22153370
111  44.62836552 -093.22151967
111  44.62843139 -093.22170465
113  44.62829126 -093.22180679
110 2 0.25 0.0000 New Taxiway 211
111  44.62840331 -093.22210664
111  44.62841953 -093.22209488
111  44.62853954 -093.22200791
111  44.62855724 -093.22199508
111  44.62862431 -093.22217279
113  44.62847088 -093.22228510
110 2 0.25 0.0000 New Taxiway 210
111  44.62822508 -093.22223034
111  44.62826565 -093.22220089
111  44.62831665 -093.22216386
111  44.62835470 -093.22213624
111  44.62842157 -093.22231428
113  44.62829151 -093.22241324
110 2 0.25 0.0000 New Taxiway 209
111  44.62758884 -093.22269674
111  44.62761390 -093.22267862
111  44.62766405 -093.22264236
111  44.62774267 -093.22258551
111  44.62779013 -093.22255119
111  44.62781050 -093.22253646
111  44.62787596 -093.22273044
111  44.62779740 -093.22278941
111  44.62775127 -093.22282320
113  44.62765560 -093.22289527
110 2 0.25 0.0000 New Taxiway 208
111  44.62756514 -093.22294869
111  44.62749798 -093.22276149
111  44.62751872 -093.22274725
111  44.62754949 -093.22272612
111  44.62756838 -093.22271314
113  44.62763234 -093.22289862
110 2 0.25 0.0000 New Taxiway 207
111  44.62736329 -093.22285534
111  44.62738220 -093.22284197
111  44.62745585 -093.22279217
111  44.62747588 -093.22277850
111  44.62753852 -093.22295821
111  44.62751656 -093.22297402
113  44.62742862 -093.22303716
110 2 0.25 0.0000 New Taxiway 206
111  44.62726547 -093.22315953
111  44.62720095 -093.22297560
111  44.62723107 -093.22295563
111  44.62725556 -093.22293937
111  44.62727869 -093.22292403
111  44.62730388 -093.22290732
111  44.62732886 -093.22289075
113  44.62739374 -093.22306678
110 2 0.25 0.0000 New Taxiway 226
111  44.62873093 -093.22244356
111  44.62879155 -093.22261117
111  44.62878268 -093.22261715
111  44.62875125 -093.22264240
111  44.62862435 -093.22273482
111  44.62856277 -093.22256129
113  44.62857631 -093.22255181
110 2 0.25 0.0000 New Taxiway 225
111  44.62854272 -093.22258767
111  44.62859643 -093.22273397
111  44.62849627 -093.22280320
113  44.62844365 -093.22265865
110 2 0.25 0.0000 New Taxiway 224
111  44.62828724 -093.22277311
111  44.62842452 -093.22267417
111  44.62847901 -093.22282317
111  44.62844984 -093.22284352
113  44.62834182 -093.22292107
110 2 0.25 0.0000 New Taxiway 223
111  44.62815249 -093.22286458
111  44.62815581 -093.22286220
111  44.62825561 -093.22279081
111  44.62825811 -093.22278902
111  44.62831281 -093.22294279
113  44.62820941 -093.22301963
110 2 0.25 0.0000 New Taxiway 222
111  44.62764250 -093.22324128
111  44.62765738 -093.22323093
111  44.62776715 -093.22315460
111  44.62778862 -093.22313967
111  44.62784353 -093.22328629
111  44.62782275 -093.22330160
113  44.62769724 -093.22339509
110 2 0.25 0.0000 New Taxiway 221
111  44.62750859 -093.22333056
111  44.62753445 -093.22331257
111  44.62762674 -093.22324834
111  44.62768188 -093.22339749
113  44.62756410 -093.22348234
110 2 0.25 0.0000 New Taxiway 220
111  44.62754637 -093.22349935
111  44.62752659 -093.22351462
111  44.62742517 -093.22359287
111  44.62737116 -093.22344393
113  44.62749359 -093.22335691
110 2 0.25 0.0000 New Taxiway 245
111  44.62876627 -093.22294463
111  44.62888334 -093.22285705
111  44.62893843 -093.22300789
111  44.62891924 -093.22302161
113  44.62882028 -093.22308953
110 2 0.25 0.0000 New Taxiway 244
111  44.62864082 -093.22303157
111  44.62874423 -093.22295555
111  44.62879970 -093.22311083
113  44.62869493 -093.22318234
110 2 0.25 0.0000 New Taxiway 243
111  44.62850646 -093.22313129
111  44.62862443 -093.22304225
111  44.62868244 -093.22319656
111  44.62866044 -093.22321195
113  44.62856081 -093.22328164
110 2 0.25 0.0000 New Taxiway 242
111  44.62837083 -093.22323208
111  44.62848814 -093.22314644
111  44.62854189 -093.22329896
113  44.62842769 -093.22338604
110 2 0.25 0.0000 New Taxiway 241
111  44.62825014 -093.22331943
111  44.62834896 -093.22324847
111  44.62840429 -093.22340784
113  44.62830716 -093.22347245
110 2 0.25 0.0000 New Taxiway 240
111  44.62812932 -093.22341127
111  44.62822653 -093.22333793
111  44.62827977 -093.22348014
113  44.62818272 -093.22355793
110 2 0.25 0.0000 New Taxiway 239
111  44.62767799 -093.22392184
111  44.62757172 -093.22400546
111  44.62751986 -093.22386191
113  44.62762874 -093.22378139
110 2 0.25 0.0000 New Taxiway 238
111  44.62782589 -093.22380953
111  44.62772537 -093.22387991
111  44.62767482 -093.22373693
113  44.62777528 -093.22366772
110 2 0.25 0.0000 New Taxiway 262
111  44.62893757 -093.22332701
111  44.62894870 -093.22331919
111  44.62902071 -093.22327071
111  44.62903911 -093.22325795
111  44.62909300 -093.22340984
113  44.62899201 -093.22348428
110 2 0.25 0.0000 New Taxiway 261
111  44.62891651 -093.22334523
111  44.62896886 -093.22349755
111  44.62886007 -093.22357582
111  44.62880719 -093.22342264
111  44.62882626 -093.22340913
113  44.62889772 -093.22335891
110 2 0.25 0.0000 New Taxiway 260
111  44.62868932 -093.22350549
111  44.62878570 -093.22343983
111  44.62883987 -093.22359349
113  44.62874499 -093.22366592
110 2 0.25 0.0000 New Taxiway 259
111  44.62852909 -093.22361863
111  44.62866653 -093.22352293
111  44.62872478 -093.22368567
113  44.62859132 -093.22378271
110 2 0.25 0.0000 New Taxiway 258
111  44.62838482 -093.22373010
111  44.62841400 -093.22370851
111  44.62851437 -093.22363023
111  44.62857181 -093.22378275
113  44.62843906 -093.22388924
110 2 0.25 0.0000 New Taxiway 257
111  44.62824277 -093.22383104
111  44.62826240 -093.22381494
111  44.62833652 -093.22375945
111  44.62835673 -093.22374452
111  44.62840697 -093.22390010
113  44.62829354 -093.22397827
110 2 0.25 0.0000 New Taxiway 256
111  44.62827486 -093.22399694
111  44.62815052 -093.22408679
111  44.62809781 -093.22394078
111  44.62812751 -093.22391911
111  44.62819731 -093.22386754
113  44.62822225 -093.22385001
110 2 0.25 0.0000 New Taxiway 276
111  44.62908038 -093.22374507
111  44.62918516 -093.22367298
111  44.62923755 -093.22382324
113  44.62913709 -093.22390065
110 2 0.25 0.0000 New Taxiway 275
111  44.62896317 -093.22383918
111  44.62906201 -093.22377012
111  44.62911170 -093.22391280
113  44.62901988 -093.22398641
110 2 0.25 0.0000 New Taxiway 274
111  44.62883949 -093.22391735
111  44.62885592 -093.22390581
111  44.62892596 -093.22385563
111  44.62893833 -093.22384677
111  44.62899302 -093.22399297
113  44.62889728 -093.22406610
110 2 0.25 0.0000 New Taxiway 273
111  44.62871563 -093.22400736
111  44.62882023 -093.22393481
111  44.62887440 -093.22408146
113  44.62876935 -093.22416263
110 2 0.25 0.0000 New Taxiway 272
111  44.62858078 -093.22410556
111  44.62860712 -093.22408676
111  44.62867839 -093.22403636
111  44.62869960 -093.22402132
111  44.62875208 -093.22417235
113  44.62863533 -093.22426038
110 2 0.25 0.0000 New Taxiway 271
111  44.62833557 -093.22428239
111  44.62835477 -093.22426803
111  44.62853723 -093.22413201
111  44.62856188 -093.22411315
111  44.62861589 -093.22427556
111  44.62853045 -093.22433901
111  44.62848421 -093.22437319
113  44.62839336 -093.22444025
110 2 0.25 0.0000 New Taxiway 270
111  44.62821243 -093.22437650
111  44.62823911 -093.22435556
111  44.62828718 -093.22431817
111  44.62831343 -093.22429757
111  44.62836960 -093.22445543
113  44.62827076 -093.22452980
110 2 0.25 0.0000 New Taxiway 269
111  44.62824076 -093.22453710
111  44.62812666 -093.22462117
111  44.62807351 -093.22447819
111  44.62811148 -093.22444923
111  44.62816010 -093.22441215
113  44.62818693 -093.22439168
110 2 0.25 0.0000 New Taxiway 300
111  44.62917331 -093.22420325
111  44.62919250 -093.22418868
111  44.62933510 -093.22408036
111  44.62939154 -093.22423874
113  44.62923051 -093.22435881
110 2 0.25 0.0000 New Taxiway 299
111  44.62905629 -093.22428020
111  44.62908844 -093.22425651
111  44.62912774 -093.22422754
111  44.62915225 -093.22420949
111  44.62921069 -093.22436540
113  44.62911443 -093.22443963
110 2 0.25 0.0000 New Taxiway 298
111  44.62890720 -093.22439175
111  44.62893907 -093.22436662
111  44.62899260 -093.22432560
111  44.62903535 -093.22429250
111  44.62909385 -093.22444760
113  44.62896331 -093.22454681
110 2 0.25 0.0000 New Taxiway 297
111  44.62877987 -093.22448542
111  44.62889259 -093.22439964
111  44.62890084 -093.22442361
111  44.62894759 -093.22455526
113  44.62883667 -093.22463570
110 2 0.25 0.0000 New Taxiway 296
111  44.62866090 -093.22457577
111  44.62869042 -093.22455331
111  44.62874010 -093.22451552
111  44.62877019 -093.22449357
111  44.62882327 -093.22463753
113  44.62871358 -093.22472310
110 2 0.25 0.0000 New Taxiway 295
111  44.62853715 -093.22466066
111  44.62864579 -093.22458184
111  44.62870233 -093.22473500
113  44.62859085 -093.22480930
110 2 0.25 0.0000 New Taxiway 294
111  44.62842148 -093.22474486
111  44.62844666 -093.22472465
111  44.62849519 -093.22468876
111  44.62851900 -093.22467064
111  44.62857489 -093.22482216
113  44.62847930 -093.22489506
110 2 0.25 0.0000 New Taxiway 293
111  44.62830021 -093.22483007
111  44.62832776 -093.22481046
111  44.62837790 -093.22477478
111  44.62839772 -093.22476067
111  44.62844997 -093.22490980
113  44.62835553 -093.22498115
110 2 0.25 0.0000 New Taxiway 292
111  44.62817956 -093.22492581
111  44.62821842 -093.22489656
111  44.62823131 -093.22488686
111  44.62824284 -093.22487818
111  44.62828051 -093.22484983
111  44.62833346 -093.22500070
113  44.62823275 -093.22507209
110 2 0.25 0.0000 New Taxiway 291
111  44.62820894 -093.22508128
111  44.62810704 -093.22516224
111  44.62805052 -093.22501108
111  44.62808246 -093.22498842
111  44.62810702 -093.22497088
111  44.62812949 -093.22495483
113  44.62815643 -093.22493503
110 2 0.25 0.0000 New Taxiway 329
111  44.62937230 -093.22456951
111  44.62940118 -093.22454857
111  44.62945224 -093.22451410
111  44.62947720 -093.22449537
111  44.62953306 -093.22465432
113  44.62943161 -093.22472879
110 2 0.25 0.0000 New Taxiway 328
111  44.62925078 -093.22465678
111  44.62926803 -093.22464403
111  44.62934013 -093.22459699
111  44.62935772 -093.22458393
111  44.62941207 -093.22474014
113  44.62931056 -093.22481817
110 2 0.25 0.0000 New Taxiway 327
111  44.62913318 -093.22475249
111  44.62915394 -093.22473735
111  44.62921567 -093.22469018
111  44.62923395 -093.22467524
111  44.62928769 -093.22482609
113  44.62918608 -093.22489980
110 2 0.25 0.0000 New Taxiway 326
111  44.62899963 -093.22484120
111  44.62903187 -093.22481673
111  44.62908056 -093.22478018
111  44.62911035 -093.22475772
111  44.62916328 -093.22491557
113  44.62905688 -093.22499678
110 2 0.25 0.0000 New Taxiway 325
111  44.62887541 -093.22492924
111  44.62890526 -093.22490837
111  44.62895128 -093.22487620
111  44.62898073 -093.22485562
111  44.62903690 -093.22500740
113  44.62892942 -093.22509240
110 2 0.25 0.0000 New Taxiway 324
111  44.62848947 -093.22521219
111  44.62853400 -093.22517912
111  44.62858372 -093.22514278
111  44.62875952 -093.22501895
111  44.62880859 -093.22498030
111  44.62885641 -093.22494604
111  44.62890955 -093.22511074
111  44.62879195 -093.22519886
111  44.62869831 -093.22526865
113  44.62854854 -093.22536942
110 2 0.25 0.0000 New Taxiway 323
111  44.62837913 -093.22529959
111  44.62840666 -093.22528042
111  44.62843681 -093.22525908
111  44.62847040 -093.22523547
111  44.62851822 -093.22538216
113  44.62843008 -093.22544760
110 2 0.25 0.0000 New Taxiway 322
111  44.62840983 -093.22546866
111  44.62830439 -093.22554661
111  44.62824797 -093.22539188
111  44.62827751 -093.22537021
111  44.62832757 -093.22533178
113  44.62835476 -093.22531187
110 2 0.25 0.0000 New Taxiway 321
111  44.62823338 -093.22540016
111  44.62829036 -093.22555524
111  44.62818114 -093.22563823
111  44.62812985 -093.22550704
113  44.62812105 -093.22547925
110 2 0.25 0.0000 New Taxiway 333
111  44.62841457 -093.22583545
111  44.62849518 -093.22577406
111  44.62851896 -093.22575596
111  44.62858866 -093.22594349
113  44.62848364 -093.22601991
110 2 0.25 0.0000 New Taxiway 332
111  44.62846307 -093.22603321
111  44.62835649 -093.22611270
111  44.62828866 -093.22592604
111  44.62832459 -093.22589985
113  44.62839587 -093.22584787
110 2 0.25 0.0000 New Taxiway 339
111  44.62944888 -093.22507435
111  44.62946658 -093.22506205
111  44.62953420 -093.22501508
111  44.62963704 -093.22494363
111  44.62965654 -093.22493009
111  44.62972187 -093.22512243
113  44.62952043 -093.22527543
110 2 0.25 0.0000 New Taxiway 338
111  44.62930762 -093.22519173
111  44.62942226 -093.22510693
111  44.62949080 -093.22529828
111  44.62941493 -093.22535117
111  44.62938460 -093.22537095
113  44.62937591 -093.22537740
110 2 0.25 0.0000 New Taxiway 337
111  44.62917200 -093.22529183
111  44.62929099 -093.22520549
111  44.62935477 -093.22538253
113  44.62923499 -093.22547215
110 2 0.25 0.0000 New Taxiway 336
111  44.62901800 -093.22538800
111  44.62904524 -093.22536814
111  44.62908794 -093.22533700
111  44.62914089 -093.22529839
111  44.62920798 -093.22549185
111  44.62918967 -093.22550509
111  44.62914508 -093.22553732
113  44.62908255 -093.22558252
110 2 0.25 0.0000 New Taxiway 335
111  44.62887490 -093.22549401
111  44.62890049 -093.22547545
111  44.62896868 -093.22542635
111  44.62899545 -093.22540658
111  44.62906389 -093.22560001
113  44.62894256 -093.22568962
110 2 0.25 0.0000 New Taxiway 334
111  44.62854591 -093.22573443
111  44.62863646 -093.22566775
111  44.62868365 -093.22563300
111  44.62877269 -093.22556744
111  44.62881626 -093.22553535
111  44.62885312 -093.22550821
111  44.62892078 -093.22570383
111  44.62883461 -093.22576662
111  44.62878791 -093.22580270
111  44.62869815 -093.22586949
111  44.62865182 -093.22590397
113  44.62861824 -093.22592896
110 1 0.00 0.0000 New Taxiway 2
111  44.62837055 -093.22679763
111  44.62844459 -093.22682463
111  44.62860263 -093.22671748
112  44.62860628 -093.22669689  44.62860511 -093.22668635
111  44.62860628 -093.22669689
111  44.62858077 -093.22660377
111  44.62867410 -093.22653991
111  44.62870508 -093.22661614
112  44.62870508 -093.22661614  44.62871329 -093.22662795
111  44.62872827 -093.22662606
111  44.62902407 -093.22641185
111  44.62898460 -093.22630940
111  44.62901978 -093.22628378
111  44.62905602 -093.22638896
111  44.62918193 -093.22628750
111  44.62914363 -093.22618649
111  44.62918962 -093.22615157
111  44.62922730 -093.22625633
111  44.62938060 -093.22614696
111  44.62934340 -093.22603751
111  44.62936596 -093.22602104
111  44.62940705 -093.22612648
111  44.62947499 -093.22607661
111  44.62944010 -093.22597090
111  44.62949403 -093.22593108
111  44.62953097 -093.22603131
111  44.62976131 -093.22586243
111  44.62972042 -093.22574995
111  44.62986351 -093.22564704
111  44.62989881 -093.22576586
111  44.62997563 -093.22571156
111  44.62999791 -093.22560339
111  44.62988083 -093.22529824
111  44.62981114 -093.22527376
111  44.62974105 -093.22532614
111  44.62978148 -093.22544666
111  44.62963582 -093.22554685
111  44.62959520 -093.22543146
111  44.62952713 -093.22548042
111  44.62956481 -093.22557720
111  44.62958912 -093.22556240
111  44.62959547 -093.22557722
111  44.62947404 -093.22566893
111  44.62946717 -093.22565292
111  44.62949188 -093.22563185
111  44.62945623 -093.22553507
111  44.62936993 -093.22559656
111  44.62940883 -093.22570188
111  44.62943780 -093.22568138
111  44.62944227 -093.22569285
111  44.62932306 -093.22577832
111  44.62931834 -093.22576241
111  44.62934688 -093.22574235
111  44.62931038 -093.22563869
111  44.62922846 -093.22570344
111  44.62926450 -093.22580709
111  44.62929530 -093.22578643
111  44.62929816 -093.22579592
111  44.62919108 -093.22587085
111  44.62918928 -093.22586197
111  44.62920919 -093.22584939
111  44.62916929 -093.22574216
111  44.62906917 -093.22581299
111  44.62910516 -093.22591669
111  44.62915093 -093.22588719
111  44.62915581 -093.22589980
111  44.62901714 -093.22600270
111  44.62901120 -093.22598890
111  44.62905496 -093.22595306
111  44.62901613 -093.22585115
111  44.62892565 -093.22592120
111  44.62896859 -093.22603557
111  44.62886486 -093.22610985
111  44.62885775 -093.22609271
111  44.62886486 -093.22608615
111  44.62882791 -093.22598637
111  44.62879053 -093.22601171
111  44.62883576 -093.22613281
111  44.62864672 -093.22627194
111  44.62860011 -093.22615651
111  44.62827847 -093.22638379
111  44.62825659 -093.22649037
111  44.62817881 -093.22628123
111  44.62825006 -093.22631994
111  44.62868814 -093.22600430
111  44.62865182 -093.22590397
111  44.62869815 -093.22586949
111  44.62873318 -093.22597078
111  44.62882423 -093.22590278
111  44.62878791 -093.22580270
111  44.62883461 -093.22576662
111  44.62887431 -093.22586923
111  44.62917899 -093.22563872
111  44.62914508 -093.22553732
111  44.62918967 -093.22550509
111  44.62922552 -093.22560494
111  44.62941830 -093.22546888
111  44.62938460 -093.22537095
111  44.62941493 -093.22535117
111  44.62944838 -093.22544666
111  44.62978837 -093.22519559
112  44.62979958 -093.22507497  44.62978743 -093.22503170
111  44.62979958 -093.22507497
111  44.62970713 -093.22482443
111  44.62963589 -093.22479406
111  44.62959269 -093.22482738
111  44.62959246 -093.22484227
111  44.62962406 -093.22493313
111  44.62963704 -093.22494363
111  44.62946658 -093.22506205
111  44.62946742 -093.22504409
111  44.62943591 -093.22495499
111  44.62942813 -093.22495021
111  44.62938029 -093.22498095
111  44.62942226 -093.22510693
111  44.62930762 -093.22519173
111  44.62929099 -093.22520549
111  44.62917200 -093.22529183
111  44.62912837 -093.22516616
111  44.62905982 -093.22521725
112  44.62905595 -093.22524890  44.62905923 -093.22526274
111  44.62905595 -093.22524890
111  44.62908794 -093.22533700
111  44.62904524 -093.22536814
111  44.62902204 -093.22531011
112  44.62902204 -093.22531011  44.62900765 -093.22528196
111  44.62899098 -093.22526866
111  44.62892849 -093.22531311
111  44.62896868 -093.22542635
111  44.62890049 -093.22547545
111  44.62885916 -093.22536305
111  44.62877784 -093.22541665
111  44.62881626 -093.22553535
111  44.62877269 -093.22556744
111  44.62872937 -093.22545391
111  44.62863854 -093.22550701
111  44.62868365 -093.22563300
111  44.62863646 -093.22566775
111  44.62859079 -093.22554750
111  44.62845602 -093.22565325
111  44.62849518 -093.22577406
111  44.62841457 -093.22583545
111  44.62839587 -093.22584787
111  44.62832459 -093.22589985
111  44.62827822 -093.22578129
111  44.62810016 -093.22591231
111  44.62807974 -093.22601546
111  44.62799993 -093.22580356
111  44.62807566 -093.22583755
111  44.62873375 -093.22536536
111  44.62869831 -093.22526865
111  44.62879195 -093.22519886
111  44.62882664 -093.22529427
111  44.62961443 -093.22472135
111  44.62963310 -093.22462133
111  44.62954724 -093.22439617
111  44.62947519 -093.22436583
111  44.62941608 -093.22441143
111  44.62945224 -093.22451410
111  44.62940118 -093.22454857
111  44.62936589 -093.22444720
111  44.62930198 -093.22448680
111  44.62934013 -093.22459699
111  44.62926803 -093.22464403
111  44.62923256 -093.22454911
111  44.62918005 -093.22458108
111  44.62917655 -093.22461633
111  44.62919230 -093.22466962
111  44.62921567 -093.22469018
111  44.62915394 -093.22473735
111  44.62915380 -093.22469749
111  44.62913571 -093.22464830
111  44.62911296 -093.22463601
111  44.62904627 -093.22468104
111  44.62908056 -093.22478018
111  44.62903187 -093.22481673
111  44.62899511 -093.22471552
111  44.62891706 -093.22477487
111  44.62895128 -093.22487620
111  44.62890526 -093.22490837
111  44.62887084 -093.22481144
111  44.62877399 -093.22488850
111  44.62880859 -093.22498030
111  44.62875952 -093.22501895
111  44.62872139 -093.22492138
111  44.62855203 -093.22503672
112  44.62855203 -093.22503672  44.62855015 -093.22505550
111  44.62858372 -093.22514278
111  44.62853400 -093.22517912
111  44.62849499 -093.22508015
111  44.62839980 -093.22515102
111  44.62843681 -093.22525908
111  44.62840666 -093.22528042
