I
1050 Generated by WorldEditor 2.3.0r2

1   3663 0 0 CFN7 Sundre
111  51.77866736 -114.68447237
111  51.77863285 -114.68465065
113  51.77847724 -114.68463014
110 5 0.00 0.0000 New Taxiway 127
111  51.77841061 -114.68422399
111  51.77846052 -114.68425009
111  51.77841143 -114.68450420
113  51.77836171 -114.68447703
110 1 0.00 0.0000 New Taxiway 126
111  51.77823233 -114.68440961
111  51.77814434 -114.68437376
111  51.77808642 -114.68434358
111  51.77806275 -114.68433124
111  51.77802116 -114.68430957
112  51.77802116 -114.68430957  51.77802548 -114.68427931
111  51.77802020 -114.68424901
111  51.77798580 -114.68421982
112  51.77798580 -114.68421982  51.77796465 -114.68416151
112  51.77804944 -114.68403080  51.77811538 -114.68405761
111  51.77804944 -114.68403080
111  51.77841061 -114.68422399
113  51.77836171 -114.68447703
110 3 0.00 0.0000 New Taxiway 125
111  51.77807580 -114.68483224
111  51.77812274 -114.68480702
111  51.77826928 -114.68488339
111  51.77833075 -114.68492181
111  51.77825805 -114.68529814
111  51.77820422 -114.68527600
111  51.77807366 -114.68521018
111  51.77798450 -114.68516391
111  51.77785393 -114.68509809
113  51.77791060 -114.68474615
110 5 0.00 0.0000 New Taxiway 124
111  51.77833075 -114.68492181
111  51.77826928 -114.68488339
111  51.77830856 -114.68469323
113  51.77836884 -114.68472466
110 2 0.00 0.0000 New Taxiway 122
111  51.77896954 -114.68557050
111  51.77900420 -114.68539149
111  51.77914845 -114.68546401
113  51.77911378 -114.68564303
110 2 0.00 169.6916 New Taxiway 122
111  51.77798017 -114.68447479
111  51.77801496 -114.68430634
111  51.77802116 -114.68430957
111  51.77814434 -114.68437376
113  51.77810954 -114.68454221
110 2 0.00 169.6916 New Taxiway 122
111  51.77819754 -114.68457806
111  51.77823233 -114.68440961
111  51.77836171 -114.68447703
113  51.77832691 -114.68464548
110 2 0.00 169.6916 New Taxiway 122
111  51.77812274 -114.68480702
111  51.77816202 -114.68461686
111  51.77830856 -114.68469323
113  51.77826928 -114.68488339
110 2 0.00 169.6916 New Taxiway 122
111  51.77791060 -114.68474615
111  51.77794988 -114.68455599
111  51.77811508 -114.68464208
113  51.77807580 -114.68483224
110 2 0.00 169.6916 New Taxiway 122
111  51.77782122 -114.68526701
111  51.77785393 -114.68509809
111  51.77798450 -114.68516391
113  51.77795179 -114.68533284
110 2 0.00 169.6916 New Taxiway 122
111  51.77804095 -114.68537910
111  51.77807366 -114.68521018
111  51.77820422 -114.68527600
113  51.77817151 -114.68544492
110 2 0.00 0.0000 New Taxiway 122
111  51.77846547 -114.68551508
111  51.77850243 -114.68532415
111  51.77863300 -114.68538998
113  51.77859603 -114.68558090
110 1 0.00 0.0000 New Taxiway 122
111  51.77835600 -114.68524559
111  51.77850243 -114.68532415
111  51.77846547 -114.68551508
111  51.77831913 -114.68543600
111  51.77829933 -114.68553673
111  51.77821916 -114.68549942
111  51.77825805 -114.68529814
111  51.77833075 -114.68492181
111  51.77836884 -114.68472466
111  51.77841143 -114.68450420
111  51.77846052 -114.68425009
111  51.77848533 -114.68412170
111  51.77836832 -114.68407335
111  51.77840433 -114.68388735
111  51.77852139 -114.68393504
111  51.77853133 -114.68388355
111  51.77847105 -114.68383041
111  51.77851385 -114.68360939
111  51.77858259 -114.68361825
111  51.77874974 -114.68275305
112  51.77871190 -114.68258349  51.77866930 -114.68252789
111  51.77871190 -114.68258349
111  51.77863967 -114.68251121
111  51.77794269 -114.68214766
112  51.77769503 -114.68237182  51.77765323 -114.68252464
111  51.77769503 -114.68237182
111  51.77719600 -114.68499958
111  51.77706467 -114.68493954
111  51.77758944 -114.68225161
112  51.77758944 -114.68225161  51.77761382 -114.68209075
111  51.77752876 -114.68194741
111  51.77726074 -114.68181359
111  51.77729472 -114.68158716
111  51.77782471 -114.68188316
111  51.77801043 -114.68173356
111  51.77803538 -114.68160470
111  51.77846491 -114.68181666
111  51.77863690 -114.68166995
111  51.77863992 -114.68165464
111  51.77875418 -114.68107690
111  51.77864927 -114.68078085
111  51.77906030 -114.68099553
111  51.77888187 -114.68114031
111  51.77876692 -114.68172303
111  51.77867094 -114.68220959
111  51.77876140 -114.68238506
111  51.77907441 -114.68268805
111  51.77916298 -114.68276033
111  51.77950695 -114.68285484
112  51.77950695 -114.68285484  51.77961892 -114.68287227
111  51.77968410 -114.68277840
111  51.78000313 -114.68189441
112  51.78000313 -114.68189441  51.78005114 -114.68156662
111  51.77991886 -114.68141628
111  51.78031872 -114.68163589
112  51.78018368 -114.68177065  51.78013280 -114.68187837
111  51.78018368 -114.68177065
111  51.77980352 -114.68285344
111  51.77956701 -114.68331578
111  51.77926882 -114.68318087
111  51.77909462 -114.68310206
111  51.77904940 -114.68308161
111  51.77889214 -114.68293550
112  51.77880477 -114.68296737  51.77878279 -114.68302300
111  51.77880477 -114.68296737
111  51.77871897 -114.68340298
111  51.77886069 -114.68347396
111  51.77884680 -114.68354570
111  51.77883945 -114.68358366
111  51.77883211 -114.68362156
111  51.77882614 -114.68365238
111  51.77868374 -114.68358178
111  51.77863714 -114.68381839
111  51.77847724 -114.68463014
111  51.77846048 -114.68471520
111  51.77858821 -114.68478759
111  51.77859918 -114.68473213
111  51.77861581 -114.68473863
111  51.77858371 -114.68490440
111  51.77856769 -114.68489140
111  51.77857530 -114.68485311
111  51.77844758 -114.68478072
111  51.77842080 -114.68491664
111  51.77856675 -114.68499202
111  51.77851687 -114.68524959
113  51.77837019 -114.68517360
110 2 0.00 0.0000 New Taxiway 122
111  51.77851581 -114.68525506
111  51.77851687 -114.68524959
111  51.77856675 -114.68499202
111  51.77856801 -114.68498552
111  51.77868753 -114.68504577
113  51.77863534 -114.68531532
110 2 0.00 0.0000 New Taxiway 122
111  51.77858371 -114.68490440
111  51.77861581 -114.68473863
111  51.77861708 -114.68473207
111  51.77869813 -114.68477293
113  51.77866476 -114.68494526
110 2 0.00 0.0000 New Taxiway 122
111  51.77863285 -114.68465065
111  51.77866736 -114.68447237
111  51.77875042 -114.68451424
113  51.77871590 -114.68469252
110 2 0.00 0.0000 New Taxiway 122
111  51.77868304 -114.68439142
111  51.77872424 -114.68417864
111  51.77883139 -114.68423267
113  51.77879019 -114.68444544
110 2 0.00 0.0000 New Taxiway 122
111  51.77873895 -114.68410268
111  51.77877666 -114.68390790
111  51.77888861 -114.68396434
113  51.77885090 -114.68415911
110 2 0.00 0.0000 New Taxiway 122
111  51.77830903 -114.68375345
111  51.77835618 -114.68350993
111  51.77851696 -114.68359334
111  51.77851385 -114.68360939
111  51.77847105 -114.68383041
113  51.77846980 -114.68383685
110 2 0.00 0.0000 New Taxiway 122
111  51.77824782 -114.68403818
111  51.77829497 -114.68379466
111  51.77841096 -114.68385313
111  51.77840433 -114.68388735
111  51.77836832 -114.68407335
113  51.77836381 -114.68409665
110 2 0.00 0.0000 New Taxiway 122
111  51.77881457 -114.68371215
111  51.77882614 -114.68365238
111  51.77883211 -114.68362156
111  51.77883945 -114.68358366
111  51.77884680 -114.68354570
111  51.77886069 -114.68347396
111  51.77886172 -114.68346863
111  51.77897770 -114.68352710
113  51.77893055 -114.68377062
120 Linear Feature 134
111  51.77863992 -114.68165464 4
115  51.77876692 -114.68172303
120 Linear Feature 133
111  51.77833981 -114.68047779 1
111  51.77866029 -114.68064267 1
112  51.77881605 -114.68108425  51.77880057 -114.68136639
111  51.77881605 -114.68108425 1
115  51.77865323 -114.68190159
120 Linear Feature 130
111  51.77884680 -114.68354570 1
115  51.77879142 -114.68351777
120 Linear Feature 130
111  51.77883945 -114.68358366 1
115  51.77878407 -114.68355573
120 Linear Feature 130
111  51.77883211 -114.68362156 1
115  51.77877673 -114.68359363
120 Linear Feature 129
111  51.77808642 -114.68434358 1
115  51.77810490 -114.68425630
120 Linear Feature 129
111  51.77806275 -114.68433124 1
115  51.77808123 -114.68424397
1300  51.77847612 -114.68370985 -17.22 hangar props Hangar 17
1301 A none 
1300  51.77837389 -114.68396213 -17.22 hangar props Hangar 16
1301 A none 
1300  51.77808059 -114.68435914  72.07 hangar props Hangar 15
1301 A none 
1300  51.77829518 -114.68446307  72.07 hangar props Hangar 14
1301 A none 
1300  51.77799597 -114.68477415 -107.79 hangar props Hangar 13
1301 A none 
1300  51.77826859 -114.68477838 -18.85 hangar props Hangar 12
1301 A none 
1300  51.77791598 -114.68514912  72.57 hangar props Hangar 11
1301 A none 
1300  51.77813853 -114.68526876  72.57 hangar props Hangar 10
1301 A none 
1300  51.77910262 -114.68326195  71.91 hangar props Hangar 9
1301 A none 
1300  51.77885042 -114.68358969 -197.26 hangar props Hangar 8
1301 A none 
1300  51.77877270 -114.68401526 -197.26 hangar props Hangar 7
1301 A none 
1300  51.77871424 -114.68428896 -197.26 hangar props Hangar 6
1301 A none 
1300  51.77865636 -114.68456722 -197.26 hangar props Hangar 5
1301 A none 
1300  51.77860773 -114.68482456 -197.26 hangar props Hangar 4
1301 A none 
1300  51.77855219 -114.68512433 -197.26 hangar props Hangar 3
1301 A none 
1300  51.77849315 -114.68542239 -197.26 hangar props Hangar 2
1301 A none 
1300  51.77900479 -114.68548784 -197.50 hangar props Hangar 1
1301 A none 
19  51.77738403 -114.68113200 1 New Windsock 104
51 12320 Sundre Traffic
99
