I
1050 Generated by WorldEditor 2.2.0r2

1    820 0 0 KHCO Hallock Muni
111  48.75291170 -096.93982915 51
111  48.75288747 -096.93979907 51
115  48.75286234 -096.93976798
120 Linear Feature 13
111  48.75300766 -096.93994559 51
111  48.75298343 -096.93991551 51
115  48.75295830 -096.93988442
120 Linear Feature 13
111  48.75272428 -096.93958942 51
111  48.75270005 -096.93955934 51
115  48.75267492 -096.93952825
120 Linear Feature 13
111  48.75263035 -096.93946813 51
111  48.75260612 -096.93943805 51
115  48.75258099 -096.93940696
120 Linear Feature 13
111  48.75253579 -096.93934780 51
111  48.75251156 -096.93931773 51
115  48.75248643 -096.93928664
120 Linear Feature 12
111  48.75268645 -096.93899333 51
115  48.75265741 -096.93904860
120 Linear Feature 12
111  48.75278165 -096.93911606 51
115  48.75275261 -096.93917134
120 Linear Feature 11
111  48.75267959 -096.93907757 51
111  48.75265741 -096.93904860 51
115  48.75263203 -096.93901546
120 Linear Feature 11
111  48.75277479 -096.93920030 51
111  48.75275261 -096.93917134 51
115  48.75272722 -096.93913819
120 Linear Feature 10
112  48.75307320 -096.93936162  48.75297592 -096.93960707 51
116  48.75282072 -096.93915189  48.75290754 -096.93888655
120 Linear Feature 9
111  48.75342176 -096.93982849 51
112  48.75343377 -096.93982079  48.75344156 -096.93981773
111  48.75343377 -096.93982079
112  48.75343377 -096.93982079  48.75344662 -096.93981573 1
112  48.75349841 -096.93984614  48.75352766 -096.93987735
111  48.75349841 -096.93984614 1
115  48.75374927 -096.94016366
120 Linear Feature 8
111  48.75147292 -096.94136617 51
111  48.75188509 -096.94188985
112  48.75188509 -096.94188985  48.75197919 -096.94202159 51
112  48.75227252 -096.94185701  48.75238570 -096.94166639
111  48.75227252 -096.94185701 51
111  48.75316423 -096.94025900 51
111  48.75342176 -096.93982849 51
111  48.75342963 -096.93981533 1
111  48.75358845 -096.93953229
112  48.75358845 -096.93953229  48.75364240 -096.93944766 1
111  48.75370339 -096.93951247 1
115  48.75388674 -096.93974161
21  48.75587901 -096.94664443 5 140.7054 3.00 VASI (Tri-Color) 13
21  48.74956624 -096.93932108 5 320.3241 3.00 VASI (Tri-Color) 31
14  48.75277701 -096.93893968  82.02 0 New Tower Viewpoint 1
1300  48.75370788 -096.93991631 229.69 hangar props GA T Hangar 05
1301 A none 
1300  48.75380757 -096.94004506 229.69 hangar props GA T Hangar 04
1301 A none 
1300  48.75392023 -096.93998690  48.45 hangar props GA T Hangar 03
1301 A none 
1300  48.75382529 -096.93986015  48.45 hangar props GA T Hangar 02
1301 A none 
1300  48.75372850 -096.93972979  48.45 hangar props GA T Hangar 01
1301 A none 
1300  48.75392161 -096.93946469 228.87 hangar props GA Hangar 02
1301 A none 
1300  48.75323713 -096.93951946 231.75 hangar turboprops|props GA Hangar 01
1301 A none 
1300  48.75275261 -096.93917134 231.22 tie_down props GA Tie Down 08
1301 A general_aviation 
1300  48.75265741 -096.93904860 231.22 tie_down props GA Tie Down 07
1301 A general_aviation 
1300  48.75251156 -096.93931773  49.37 tie_down props GA Tie Down 06
1301 A general_aviation 
1300  48.75260612 -096.93943805  49.37 tie_down props GA Tie Down 05
1301 A general_aviation 
1300  48.75270005 -096.93955934  49.37 tie_down props GA Tie Down 04
1301 A general_aviation 
1300  48.75279425 -096.93967848  49.37 tie_down props GA Tie Down 03
1301 A general_aviation 
1300  48.75288747 -096.93979907  49.37 tie_down props GA Tie Down 02
1301 A general_aviation 
1300  48.75298343 -096.93991551  49.37 tie_down props GA Tie Down 01
1301 A general_aviation 
18  48.75301837 -096.93821152 1 New Airport Beacon 1
19  48.75316011 -096.94161029 1 New Windsock 1
50 12647 AWOS-3
51 12280 HALLOCK MUN UNICOM
55 13215 Minneapolis Approach
56 13215 Minneapolis Departure
99
