I
1050 Generated by WorldEditor 2.2.0r2

1    533 0 0 KRBG Roseburg Rgnl
110 2 0.00 0.0000 New Taxiway 69
111  43.24120454 -123.35840073
111  43.24120158 -123.35871079
111  43.24097866 -123.35870809
113  43.24097915 -123.35840005
110 2 0.00 0.0000 New Taxiway 68
111  43.24124794 -123.35871012
111  43.24124843 -123.35840073
111  43.24147234 -123.35839937
113  43.24146987 -123.35871012
110 2 0.00 0.0000 New Taxiway 67
111  43.24145498 -123.35762800
111  43.24063277 -123.35762519
111  43.24063379 -123.35743568
113  43.24145396 -123.35743287
110 2 0.00 0.0000 New Taxiway 66
111  43.24134045 -123.35811231
111  43.24024518 -123.35811091
111  43.24024620 -123.35791438
113  43.24134045 -123.35791718
110 2 0.00 0.0000 New Taxiway 1
111  43.24167725 -123.35960961
111  43.24167722 -123.35959928
111  43.24167603 -123.35914001
111  43.24195334 -123.35913978
111  43.24195409 -123.35958437
113  43.24195404 -123.35960789
110 1 0.00 0.0000 New Taxiway 4
111  43.24512922 -123.35611251
111  43.24512992 -123.35688254
111  43.24479956 -123.35689147
112  43.24461233 -123.35693076  43.24458287 -123.35697119
111  43.24446593 -123.35723826
112  43.24442527 -123.35728569  43.24441054 -123.35728737
111  43.24442527 -123.35728569
111  43.24424733 -123.35729242
111  43.24407552 -123.35729410
112  43.24403012 -123.35724188  43.24401293 -123.35719303
111  43.24403012 -123.35724188
111  43.24392335 -123.35697065
112  43.24387285 -123.35689957  43.24385812 -123.35689115
111  43.24387285 -123.35689957
112  43.24374859 -123.35688104  43.24366146 -123.35688609
111  43.24374859 -123.35688104
111  43.24329380 -123.35688978
112  43.24316863 -123.35706835  43.24316740 -123.35726377
111  43.24316863 -123.35706835
111  43.24316641 -123.35838137
112  43.24310727 -123.35846492  43.24303609 -123.35846323
111  43.24310727 -123.35846492
111  43.24170986 -123.35845117
111  43.24171497 -123.35867429
112  43.24184996 -123.35880019  43.24199477 -123.35880356
111  43.24184996 -123.35880019
111  43.24202263 -123.35880188
111  43.24201858 -123.35958554
111  43.24195409 -123.35958437
111  43.24195334 -123.35913978
111  43.24167612 -123.35914004
111  43.24167722 -123.35959928
111  43.24097073 -123.35959022
111  43.24096212 -123.35958994
111  43.24096396 -123.35913541
111  43.24074121 -123.35913482
111  43.24069112 -123.35913468
111  43.24041120 -123.35913394
111  43.24035944 -123.35913380
111  43.24013745 -123.35913321
111  43.24012670 -123.35913318
111  43.23989693 -123.35914381
111  43.23989698 -123.35774395
111  43.24056035 -123.35773653
111  43.24055707 -123.35717492
112  43.24063617 -123.35708561  43.24072208 -123.35708730
111  43.24143680 -123.35711241
112  43.24143680 -123.35711241  43.24155423 -123.35711241
112  43.24143721 -123.35687990  43.24132622 -123.35687301
111  43.24143721 -123.35687990
111  43.23899490 -123.35687044
112  43.23886739 -123.35705529  43.23886384 -123.35724771
111  43.23886702 -123.35762431
111  43.23893006 -123.35762207
111  43.23894831 -123.35941833
111  43.23883909 -123.35949077
111  43.23847131 -123.35953457
111  43.23780107 -123.35911004
111  43.23780253 -123.35882282
111  43.23765082 -123.35881914
111  43.23765143 -123.35912608
111  43.23669202 -123.35910268
111  43.23668403 -123.35874730
111  43.23658842 -123.35875465
112  43.23651952 -123.35864055  43.23651952 -123.35851759
111  43.23651972 -123.35823299
111  43.23655824 -123.35823144
111  43.23655805 -123.35804606
111  43.23669512 -123.35804689
111  43.23669492 -123.35785344
111  43.23622786 -123.35785034
112  43.23619027 -123.35783520  43.23616450 -123.35783520
111  43.23553819 -123.35782906
111  43.23553744 -123.35785614
111  43.23396223 -123.35786696
111  43.23394341 -123.35768423
111  43.23394241 -123.35687690
111  43.23324187 -123.35686812
112  43.23311056 -123.35700961  43.23303824 -123.35717299
111  43.23311056 -123.35700961
112  43.23298048 -123.35726731  43.23293998 -123.35726563
111  43.23298048 -123.35726731
111  43.23263687 -123.35726563
112  43.23259701 -123.35721373  43.23257615 -123.35715983
111  43.23259701 -123.35721373
111  43.23244788 -123.35685128
112  43.23243745 -123.35675785  43.23243622 -123.35668037
111  43.23243745 -123.35675785
111  43.23243731 -123.35564074
111  43.24662440 -123.35565702
113  43.24662565 -123.35610539
111  43.24479781 -123.35653989
111  43.24479579 -123.35625176
112  43.24467209 -123.35609901  43.24457694 -123.35607246
111  43.24467209 -123.35609901
111  43.24180557 -123.35610794
112  43.24173497 -123.35619146  43.24171426 -123.35625645
111  43.24173497 -123.35619146
112  43.24172179 -123.35636276  43.24172179 -123.35640582
111  43.24172179 -123.35636276
112  43.24178596 -123.35664104  43.24186702 -123.35672891
111  43.24178596 -123.35664104
111  43.24186111 -123.35666929
111  43.24471360 -123.35666968
114  43.24476994 -123.35663342  43.24479460 -123.35658603
111  43.23591020 -123.35650749
111  43.23591194 -123.35634859
112  43.23578456 -123.35609370  43.23566525 -123.35609272
111  43.23578456 -123.35609370
111  43.23565184 -123.35609430
111  43.23306812 -123.35609489
111  43.23291695 -123.35610164
112  43.23278229 -123.35628066  43.23278474 -123.35643225
111  43.23278229 -123.35628066
111  43.23278772 -123.35653049
112  43.23293886 -123.35666152  43.23307386 -123.35666152
111  43.23293886 -123.35666152
111  43.23305245 -123.35666183
111  43.23575398 -123.35665364
112  43.23588498 -123.35658165  43.23591396 -123.35650679
113  43.23588498 -123.35658165
111  43.23871247 -123.35651624
111  43.23871967 -123.35633210
112  43.23856617 -123.35608326  43.23842129 -123.35606377
111  43.23856617 -123.35608326
111  43.23618934 -123.35610542
112  43.23607427 -123.35634673  43.23607539 -123.35653590
111  43.23607427 -123.35634673
112  43.23609555 -123.35658117  43.23611578 -123.35661570
111  43.23609555 -123.35658117
112  43.23619987 -123.35665821  43.23625807 -123.35666092
111  43.23619987 -123.35665821
111  43.23860547 -123.35665353
114  43.23860547 -123.35665353  43.23869733 -123.35662623
111  43.24157171 -123.35638874
112  43.24153343 -123.35615643  43.24150999 -123.35609306
111  43.24140492 -123.35609170
111  43.23898209 -123.35609604
111  43.23891159 -123.35616455
112  43.23887184 -123.35636578  43.23886938 -123.35649440
112  43.23890274 -123.35658964  43.23891359 -123.35660859
111  43.23896734 -123.35664694
112  43.23896734 -123.35664694  43.23899348 -123.35666589
111  43.23921930 -123.35666445
111  43.24143940 -123.35666452
114  43.24143940 -123.35666452  43.24157762 -123.35665964
112  43.23764878 -123.35691515  43.23764807 -123.35688006
111  43.23762321 -123.35687323
111  43.23684522 -123.35687388
112  43.23684556 -123.35695482  43.23684698 -123.35699186
111  43.23691090 -123.35700873
111  43.23753219 -123.35700694
113  43.23763883 -123.35694927
112  43.23789018 -123.35691144  43.23789068 -123.35694393
111  43.23800559 -123.35701028
111  43.23856140 -123.35701298
111  43.23865461 -123.35695070
112  43.23866596 -123.35691482  43.23866448 -123.35688368
112  43.23863636 -123.35687827  43.23862453 -123.35687759
113  43.23792618 -123.35687962
112  43.24290301 -123.35687872  43.24281968 -123.35687612
111  43.24290301 -123.35687872
111  43.24182452 -123.35688462
112  43.24182452 -123.35688462  43.24174941 -123.35688679
112  43.24182025 -123.35704941  43.24189888 -123.35706170
111  43.24182025 -123.35704941
111  43.24292277 -123.35704575
114  43.24292277 -123.35704575  43.24300515 -123.35704835
111  43.23645894 -123.35730223
111  43.23645936 -123.35715026
111  43.23633339 -123.35715311
113  43.23633345 -123.35730170
120 Linear Feature 11
111  43.23674041 -123.35587794 51
115  43.23616535 -123.35587520
120 Linear Feature 10
111  43.23581830 -123.35587855 51
115  43.23525148 -123.35587579
120 Linear Feature 9
111  43.23317301 -123.35587119 51
111  43.23274448 -123.35587012 51
116  43.23261311 -123.35604275  43.23261040 -123.35616167
120 Linear Feature 8
111  43.23858175 -123.35588003 51
115  43.23802716 -123.35587904
120 Linear Feature 7
111  43.23955916 -123.35588180 51
115  43.23898987 -123.35588359
120 Linear Feature 6
111  43.24143870 -123.35588576 51
115  43.24087621 -123.35588229
120 Linear Feature 5
111  43.24183421 -123.35588630 51
115  43.24241381 -123.35588490
120 Linear Feature 4
111  43.24496396 -123.35604675 51
112  43.24481104 -123.35588967  43.24470817 -123.35588907 51
115  43.24460237 -123.35588957
120 Linear Feature 4
111  43.24295876 -123.35716944 51
112  43.24309885 -123.35697793  43.24310721 -123.35679957 51
116  43.24325131 -123.35677475  43.24327183 -123.35677475
120 Linear Feature 3
111  43.23879181 -123.35613354 51
116  43.23858468 -123.35588249  43.23841124 -123.35588781
120 Linear Feature 2
111  43.23541929 -123.35695630 51
116  43.23557529 -123.35676218  43.23572013 -123.35676068
120 Linear Feature 1
111  43.23398441 -123.35681680 8
115  43.23681584 -123.35682587
120 Linear Feature 65
111  43.24283735 -123.35744612 1
115  43.24283730 -123.35735560
120 Linear Feature 64
111  43.24278269 -123.35744643 1
111  43.24283735 -123.35744612 1
115  43.24288834 -123.35744582
120 Linear Feature 63
111  43.24265222 -123.35744585 1
115  43.24265222 -123.35735688
120 Linear Feature 62
111  43.24259847 -123.35744555 1
111  43.24265222 -123.35744585 1
115  43.24270590 -123.35744616
120 Linear Feature 61
111  43.24246273 -123.35744711 1
115  43.24246367 -123.35735426
120 Linear Feature 60
111  43.24251989 -123.35744765 1
111  43.24246273 -123.35744711 1
115  43.24241083 -123.35744661
120 Linear Feature 59
111  43.24227854 -123.35744411 1
115  43.24227927 -123.35735440
120 Linear Feature 58
111  43.24233255 -123.35744400 1
111  43.24227854 -123.35744411 1
115  43.24222514 -123.35744423
120 Linear Feature 57
111  43.24208978 -123.35744458 1
115  43.24209011 -123.35735680
120 Linear Feature 56
111  43.24214522 -123.35744521 1
111  43.24208978 -123.35744458 1
115  43.24203868 -123.35744400
120 Linear Feature 55
111  43.24190520 -123.35744279 1
115  43.24190517 -123.35735444
120 Linear Feature 54
111  43.24185202 -123.35744262 1
111  43.24190520 -123.35744279 1
115  43.24195077 -123.35744296
120 Linear Feature 53
111  43.24187800 -123.35832956 1
115  43.24187842 -123.35839938
120 Linear Feature 52
111  43.24191083 -123.35832928 1
111  43.24187800 -123.35832956 1
115  43.24184317 -123.35832985
120 Linear Feature 51
111  43.24200209 -123.35833103 1
115  43.24200227 -123.35839817
120 Linear Feature 50
111  43.24203235 -123.35833096 1
111  43.24200209 -123.35833103 1
115  43.24197120 -123.35833111
120 Linear Feature 49
111  43.24224667 -123.35833344 1
115  43.24224659 -123.35839834
120 Linear Feature 48
111  43.24212449 -123.35833190 1
115  43.24212477 -123.35839509
120 Linear Feature 47
111  43.24215898 -123.35833172 1
111  43.24212449 -123.35833190 1
115  43.24209591 -123.35833205
120 Linear Feature 46
111  43.24228081 -123.35833354 1
111  43.24224667 -123.35833344 1
115  43.24221372 -123.35833333
120 Linear Feature 45
111  43.24237083 -123.35833340 1
116  43.24237106 -123.35839700  43.24237106 -123.35840046
120 Linear Feature 44
111  43.24240757 -123.35833354 1
111  43.24237083 -123.35833340 1
115  43.24233829 -123.35833326
120 Linear Feature 43
111  43.24249308 -123.35833296 1
115  43.24249327 -123.35839392
120 Linear Feature 42
111  43.24252521 -123.35833294 1
111  43.24249308 -123.35833296 1
115  43.24246141 -123.35833299
120 Linear Feature 41
111  43.24261623 -123.35833386 1
115  43.24261661 -123.35839792
120 Linear Feature 40
111  43.24265261 -123.35833354 1
111  43.24261623 -123.35833386 1
115  43.24258616 -123.35833412
120 Linear Feature 39
111  43.24273981 -123.35833367 1
115  43.24273953 -123.35839633
120 Linear Feature 38
111  43.24277568 -123.35833367 1
111  43.24273981 -123.35833367 1
115  43.24270653 -123.35833366
120 Linear Feature 37
111  43.24285986 -123.35833338 1
115  43.24285965 -123.35839784
120 Linear Feature 36
111  43.24289721 -123.35833354 1
111  43.24285986 -123.35833338 1
115  43.24283159 -123.35833326
120 Linear Feature 35
111  43.24193823 -123.35797598 1
115  43.24193794 -123.35791157
120 Linear Feature 34
111  43.24197334 -123.35797548 1
112  43.24193823 -123.35797598  43.24192033 -123.35797627
111  43.24193823 -123.35797598
112  43.24193823 -123.35797598  43.24191921 -123.35797629 1
116  43.24189871 -123.35797711  43.24189800 -123.35797751
120 Linear Feature 33
111  43.24206252 -123.35797516 1
115  43.24206262 -123.35791007
120 Linear Feature 32
111  43.24209451 -123.35797486 1
111  43.24206252 -123.35797516 1
115  43.24202895 -123.35797548
120 Linear Feature 31
111  43.24218620 -123.35797576 1
115  43.24218594 -123.35790998
120 Linear Feature 30
111  43.24221824 -123.35797568 1
112  43.24218620 -123.35797576  43.24217017 -123.35797578
111  43.24218620 -123.35797576
112  43.24218620 -123.35797576  43.24217008 -123.35797578 1
116  43.24215401 -123.35797568  43.24215409 -123.35797558
120 Linear Feature 28
111  43.24230983 -123.35797604 1
115  43.24230967 -123.35790969
120 Linear Feature 27
111  43.24234293 -123.35797568 1
111  43.24230983 -123.35797604 1
115  43.24227395 -123.35797644
120 Linear Feature 26
112  43.24243174 -123.35797488  43.24243174 -123.35797467 1
115  43.24243228 -123.35791047
120 Linear Feature 25
111  43.24246588 -123.35797527 1
111  43.24243174 -123.35797488 1
115  43.24239556 -123.35797446
120 Linear Feature 24
111  43.24255571 -123.35797627 1
115  43.24255602 -123.35791266
120 Linear Feature 23
111  43.24258882 -123.35797650 1
111  43.24255571 -123.35797627 1
115  43.24252192 -123.35797604
120 Linear Feature 22
111  43.24267980 -123.35797621 1
115  43.24268009 -123.35791220
120 Linear Feature 21
111  43.24271252 -123.35797589 1
111  43.24267980 -123.35797621 1
115  43.24264365 -123.35797657
120 Linear Feature 20
111  43.24280297 -123.35797570 1
115  43.24280287 -123.35791138
120 Linear Feature 19
111  43.24283427 -123.35797609 1
111  43.24280297 -123.35797570 1
115  43.24276931 -123.35797527
120 Linear Feature 18
111  43.24286511 -123.35790950 1
115  43.24286480 -123.35784475
120 Linear Feature 17
111  43.24274069 -123.35791335 1
115  43.24274070 -123.35784639
120 Linear Feature 16
111  43.24261729 -123.35791381 1
115  43.24261722 -123.35784647
120 Linear Feature 15
111  43.24249611 -123.35791164 1
115  43.24249637 -123.35784576
120 Linear Feature 14
111  43.24237157 -123.35791194 1
115  43.24237224 -123.35784652
120 Linear Feature 13
111  43.24224667 -123.35791126 1
115  43.24224692 -123.35784723
120 Linear Feature 12
111  43.24212527 -123.35790746 1
115  43.24212550 -123.35784554
120 Linear Feature 11
111  43.24200042 -123.35790946 1
115  43.24200031 -123.35784419
120 Linear Feature 10
111  43.24187595 -123.35791031 1
115  43.24187616 -123.35784473
120 Linear Feature 9
111  43.24191119 -123.35784501 1
111  43.24187616 -123.35784473 1
115  43.24184401 -123.35784447
120 Linear Feature 8
111  43.24203312 -123.35784437 1
111  43.24200031 -123.35784419 1
115  43.24196438 -123.35784400
120 Linear Feature 7
112  43.24215741 -123.35784569  43.24215699 -123.35784569 1
112  43.24212550 -123.35784554  43.24210950 -123.35784546
111  43.24212550 -123.35784554
112  43.24212550 -123.35784554  43.24210816 -123.35784546 1
115  43.24209022 -123.35784537
120 Linear Feature 6
111  43.24228304 -123.35784691 1
111  43.24224692 -123.35784723 1
115  43.24221424 -123.35784752
120 Linear Feature 5
111  43.24240423 -123.35784691 1
111  43.24237224 -123.35784652 1
115  43.24233574 -123.35784607
120 Linear Feature 4
111  43.24252875 -123.35784597 1
112  43.24249637 -123.35784576  43.24247983 -123.35784568
111  43.24249637 -123.35784576
112  43.24249637 -123.35784576  43.24247842 -123.35784568 1
116  43.24245948 -123.35784590  43.24245929 -123.35784616
120 Linear Feature 3
111  43.24265220 -123.35784622 1
111  43.24261722 -123.35784647 1
115  43.24258405 -123.35784671
120 Linear Feature 2
111  43.24277440 -123.35784646 1
111  43.24274070 -123.35784639 1
115  43.24270701 -123.35784631
120 Linear Feature 1
111  43.24289786 -123.35784426 1
111  43.24286480 -123.35784475 1
115  43.24283238 -123.35784524
120 Linear Feature 26
111  43.23690886 -123.35729136 1
115  43.23690902 -123.35732149
120 Linear Feature 25
111  43.23696883 -123.35744930 1
115  43.23696875 -123.35741364
120 Linear Feature 24
111  43.23698742 -123.35744942 1
111  43.23696883 -123.35744930 1
115  43.23694818 -123.35744917
120 Linear Feature 23
111  43.23692757 -123.35729113 1
111  43.23690886 -123.35729136 1
115  43.23689110 -123.35729158
120 Linear Feature 22
111  43.23703569 -123.35733146 1
115  43.23703566 -123.35729688
120 Linear Feature 21
111  43.23705569 -123.35729704 1
111  43.23703566 -123.35729688 1
115  43.23701866 -123.35729674
120 Linear Feature 20
111  43.23709863 -123.35745348 1
115  43.23709873 -123.35740960
120 Linear Feature 16
111  43.23728785 -123.35728602 1
115  43.23728760 -123.35735141
120 Linear Feature 19
111  43.23712333 -123.35745343 1
111  43.23709863 -123.35745348 1
115  43.23707674 -123.35745351
120 Linear Feature 18
111  43.23715922 -123.35729305 1
115  43.23715937 -123.35733767
120 Linear Feature 17
111  43.23718535 -123.35729296 1
111  43.23715922 -123.35729305 1
115  43.23713330 -123.35729314
120 Linear Feature 15
111  43.23731998 -123.35728595 1
115  43.23725521 -123.35728595
120 Linear Feature 14
111  43.23744676 -123.35728568 1
111  43.23741340 -123.35728555 1
115  43.23738121 -123.35728542
120 Linear Feature 13
111  43.23741319 -123.35734900 1
115  43.23741340 -123.35728555
120 Linear Feature 12
111  43.23635357 -123.35749751 1
115  43.23631424 -123.35759760
120 Linear Feature 11
111  43.23646718 -123.35749658 1
115  43.23642750 -123.35759713
120 Linear Feature 10
111  43.23658113 -123.35749658 1
115  43.23654179 -123.35759620
120 Linear Feature 9
111  43.23459429 -123.35745925 1
115  43.23447135 -123.35745726
120 Linear Feature 8
111  43.23447117 -123.35715708 1
115  43.23459442 -123.35715685
120 Linear Feature 24
111  43.23887759 -123.35660748 54
115  43.23871729 -123.35660519
120 Linear Feature 26
111  43.23608053 -123.35660350 54
115  43.23590759 -123.35660333
120 Linear Feature 25
111  43.24172695 -123.35661224 54
115  43.24156773 -123.35661190
120 Linear Feature 7
111  43.23447095 -123.35689550 1
111  43.23447172 -123.35775718 1
111  43.23459414 -123.35775857 1
113  43.23459414 -123.35689372 1
120 Linear Feature 6
111  43.23455276 -123.35700583 1
115  43.23447978 -123.35700661
120 Linear Feature 5
111  43.23455281 -123.35704584 1
111  43.23455276 -123.35700583 1
115  43.23455270 -123.35696704
120 Linear Feature 4
111  43.23455298 -123.35730659 1
115  43.23449066 -123.35730666
120 Linear Feature 3
111  43.23455298 -123.35736735 1
111  43.23455298 -123.35730659 1
115  43.23455298 -123.35724415
120 Linear Feature 2
111  43.23454597 -123.35760806 1
115  43.23448770 -123.35760784
120 Linear Feature 1
111  43.23454592 -123.35766835 1
111  43.23454597 -123.35760806 1
115  43.23454604 -123.35754558
120 Linear Feature 2
111  43.24148794 -123.35891980 51
115  43.24180764 -123.35892611
120 Linear Feature 1
111  43.24163885 -123.35872601 51
112  43.24180764 -123.35892611  43.24195934 -123.35894285
111  43.24180764 -123.35892611 51
115  43.24200328 -123.35892707
120 Linear Feature 41
111  43.23722523 -123.35745141 1
115  43.23722522 -123.35740082
120 Linear Feature 40
111  43.23724616 -123.35745116 1
111  43.23722523 -123.35745141 1
115  43.23720646 -123.35745159
120 Linear Feature 39
111  43.23734972 -123.35745033 1
115  43.23734967 -123.35740080
120 Linear Feature 38
111  43.23737204 -123.35745022 1
115  43.23732854 -123.35745039
120 Linear Feature 35
111  43.23747643 -123.35745212 1
115  43.23747632 -123.35739774
120 Linear Feature 34
111  43.23750310 -123.35745202 1
111  43.23747643 -123.35745212 1
115  43.23745093 -123.35745222
120 Linear Feature 33
111  43.23754045 -123.35728633 1
115  43.23754069 -123.35735136
120 Linear Feature 32
111  43.23757197 -123.35728646 1
111  43.23754045 -123.35728633 1
115  43.23750575 -123.35728618
120 Linear Feature 31
111  43.23760264 -123.35745147 1
115  43.23760310 -123.35738370
120 Linear Feature 30
111  43.23763683 -123.35745131 1
111  43.23760264 -123.35745149 1
115  43.23756839 -123.35745167
120 Linear Feature 29
111  43.23821522 -123.35745112 1
115  43.23821504 -123.35739157
120 Linear Feature 28
111  43.23818937 -123.35745124 1
111  43.23821522 -123.35745112 1
115  43.23824247 -123.35745099
120 Linear Feature 27
111  43.23808896 -123.35745461 1
115  43.23808891 -123.35738809
120 Linear Feature 26
111  43.23805903 -123.35745519 1
111  43.23808896 -123.35745461 1
115  43.23812276 -123.35745396
120 Linear Feature 25
111  43.23796278 -123.35745298 1
115  43.23796300 -123.35738376
120 Linear Feature 24
111  43.23799606 -123.35745293 1
111  43.23796278 -123.35745298 1
115  43.23792993 -123.35745303
120 Linear Feature 23
111  43.23802552 -123.35728733 1
115  43.23802552 -123.35735383
120 Linear Feature 22
111  43.23805878 -123.35728740 1
111  43.23802552 -123.35728733 1
115  43.23799384 -123.35728728
120 Linear Feature 21
111  43.23815243 -123.35728664 1
115  43.23815213 -123.35735641
120 Linear Feature 20
111  43.23818581 -123.35728664 1
111  43.23815243 -123.35728664 1
115  43.23811919 -123.35728664
120 Linear Feature 19
111  43.23556782 -123.35705142 1
115  43.23562903 -123.35705142
120 Linear Feature 18
112  43.23556782 -123.35711109  43.23556782 -123.35711121 1
112  43.23556782 -123.35705142  43.23556782 -123.35702150
111  43.23556782 -123.35705142
112  43.23556782 -123.35705142  43.23556782 -123.35702147 1
115  43.23556782 -123.35699149
120 Linear Feature 17
111  43.23556807 -123.35725407 1
115  43.23563556 -123.35725413
120 Linear Feature 16
111  43.23556807 -123.35732859 1
111  43.23556807 -123.35725407 1
115  43.23556807 -123.35718000
120 Linear Feature 15
111  43.23570831 -123.35695102 1
115  43.23562967 -123.35695050
120 Linear Feature 14
111  43.23570831 -123.35701201 1
111  43.23570831 -123.35695102 1
115  43.23570831 -123.35689723
120 Linear Feature 13
111  43.23570795 -123.35715512 1
115  43.23563925 -123.35715497
120 Linear Feature 12
111  43.23570831 -123.35722721 1
111  43.23570795 -123.35715512 1
115  43.23570757 -123.35707759
120 Linear Feature 11
111  43.23570813 -123.35735680 1
115  43.23563944 -123.35735680
120 Linear Feature 10
111  43.23570851 -123.35742264 1
111  43.23570813 -123.35735680 1
115  43.23570776 -123.35729414
120 Linear Feature 9
111  43.24468125 -123.35684190 8
115  43.24386341 -123.35683871
120 Linear Feature 8
111  43.24452460 -123.35702447 2
115  43.24399546 -123.35702467
120 Linear Feature 7
111  43.23828396 -123.35763575 51
116  43.23838730 -123.35748079  43.23838640 -123.35734883
120 Linear Feature 6
111  43.23667106 -123.35722868 51
116  43.23678292 -123.35710185  43.23687850 -123.35710292
120 Linear Feature 5
112  43.23667178 -123.35695229  43.23667073 -123.35694653 51
116  43.23681889 -123.35676397  43.23694683 -123.35676471
120 Linear Feature 4
111  43.23590479 -123.35701558 51
116  43.23570692 -123.35676224  43.23554148 -123.35676101
120 Linear Feature 3
111  43.23598942 -123.35612453 51
116  43.23581830 -123.35587855  43.23568355 -123.35586022
120 Linear Feature 2
111  43.23578816 -123.35676239 51
116  43.23599030 -123.35649760  43.23598940 -123.35624980
120 Linear Feature 1
111  43.23617276 -123.35676304 51
112  43.23599030 -123.35649760  43.23598918 -123.35628239
111  43.23599030 -123.35649760 51
111  43.23598942 -123.35612453 51
116  43.23616535 -123.35587520  43.23628752 -123.35586745
120 Linear Feature 33
111  43.23528689 -123.35743086 1
115  43.23523896 -123.35743046
120 Linear Feature 39
111  43.23528709 -123.35714014 1
111  43.23528709 -123.35709257 1
115  43.23528709 -123.35704525
120 Linear Feature 38
111  43.23528709 -123.35709257 1
115  43.23524590 -123.35709243
120 Linear Feature 37
111  43.23519304 -123.35721713 1
111  43.23519304 -123.35717647 1
115  43.23519304 -123.35713132
120 Linear Feature 36
111  43.23524294 -123.35717695 1
115  43.23519304 -123.35717647
120 Linear Feature 35
111  43.23528691 -123.35726157 1
115  43.23524158 -123.35726117
120 Linear Feature 34
111  43.23528691 -123.35730320 1
111  43.23528691 -123.35726157 1
115  43.23528691 -123.35721739
120 Linear Feature 31
111  43.23528662 -123.35760063 1
115  43.23523938 -123.35760080
120 Linear Feature 30
111  43.23528672 -123.35764644 1
111  43.23528662 -123.35760063 1
115  43.23528653 -123.35755311
120 Linear Feature 29
111  43.23523823 -123.35734807 1
