I
1100 Generated by WorldEditor 1.6.1r1

1     20 1 0 EGAE Londonderry Eglinton
112  55.04070491 -007.15283343  55.04085309 -007.15265056
111  55.04070491 -007.15283343
111  55.04476035 -007.14821911
112  55.04476035 -007.14821911  55.04485482 -007.14811071
111  55.04493006 -007.14780427
111  55.04466672 -007.14931025
112  55.04453669 -007.14893781  55.04443562 -007.14888593
111  55.04427422 -007.14906983
113  55.04101912 -007.15274053
110 1 0.00 350.0000 New Taxiway 17
111  55.04080591 -007.15819084
112  55.04089365 -007.15843840  55.04097986 -007.15861478
111  55.04110800 -007.15864270
111  55.04258724 -007.15923172
112  55.04278286 -007.15922551  55.04288095 -007.15920994
111  55.04296658 -007.15909479
111  55.04278543 -007.16014705
112  55.04269669 -007.15978561  55.04261048 -007.15966110
111  55.04239623 -007.15954790
113  55.04072572 -007.15887146
110 2 0.00 350.0000 New Apron
111  55.04012519 -007.15569935
111  55.04070418 -007.15590085
111  55.04072040 -007.15578635
111  55.04074287 -007.15558776
111  55.04109813 -007.15572135
111  55.04080927 -007.15807831
111  55.04081917 -007.15808200
111  55.04080591 -007.15819084
111  55.04072572 -007.15887146
113  55.03977210 -007.15849289
110 2 0.00 47.0000 West Apron
111  55.03951742 -007.16640568
111  55.03938018 -007.16665913
111  55.03954096 -007.16694492
111  55.03945011 -007.16709826
111  55.03929308 -007.16681999
111  55.03899733 -007.16736618
112  55.03899733 -007.16736618  55.03889449 -007.16754319
111  55.03880452 -007.16763641
111  55.03829128 -007.16807598
111  55.03823886 -007.16789363
111  55.03774346 -007.16832408
111  55.03749249 -007.16850681
111  55.03736915 -007.16802866
112  55.03730516 -007.16766785  55.03733338 -007.16748245
111  55.03741374 -007.16745319
111  55.03783362 -007.16712719
112  55.03797640 -007.16708563  55.03804975 -007.16707547
111  55.03797640 -007.16708563
111  55.03844741 -007.16700009
112  55.03844741 -007.16700009  55.03848637 -007.16698344
111  55.03849063 -007.16683114
111  55.03857629 -007.16674771
112  55.03857629 -007.16674771  55.03854020 -007.16695088
111  55.03860459 -007.16686249
111  55.03909064 -007.16597082
111  55.03923438 -007.16610678
112  55.03933929 -007.16598533  55.03937526 -007.16587910
111  55.03930956 -007.16574800
111  55.03956880 -007.16599204
112  55.03942664 -007.16608403  55.03939482 -007.16616370
113  55.03943224 -007.16631572
111  55.03760685 -007.16787618
111  55.03817126 -007.16738082
112  55.03818952 -007.16727364  55.03817956 -007.16720701
111  55.03814304 -007.16719832
112  55.03791893 -007.16723018  55.03784589 -007.16725915
111  55.03750559 -007.16752566
112  55.03739271 -007.16783562  55.03742923 -007.16804419
111  55.03739271 -007.16783562
114  55.03739271 -007.16783562  55.03747239 -007.16807895
110 1 0.00 0.0000 New Taxiway 32
111  55.03977210 -007.15849289
111  55.03958494 -007.15841864
112  55.03969729 -007.15815166  55.03971642 -007.15798479
111  55.03962319 -007.15792639
111  55.03943196 -007.15783045
111  55.03948455 -007.15730065
111  55.03963992 -007.15735489
112  55.03983355 -007.15715465  55.03985506 -007.15697110
111  55.04003912 -007.15549017
111  55.04029012 -007.15555692
111  55.04028295 -007.15562366
111  55.04072040 -007.15578635
111  55.04070418 -007.15590085
113  55.04012519 -007.15569935
110 1 0.00 0.0000 New Taxiway 31
111  55.04096966 -007.17062720
111  55.04092950 -007.17059716
112  55.04090655 -007.17031182  55.04085635 -007.17019501
111  55.04077460 -007.17012660
112  55.04055659 -007.16980622  55.04051357 -007.16962266
111  55.04055659 -007.16980622
112  55.04055659 -007.16980622  55.04049683 -007.16962683
111  55.04050496 -007.16937070
111  55.04044759 -007.16717808
112  55.04024679 -007.16658738  55.04008186 -007.16640799
111  55.04024679 -007.16658738
112  55.04024679 -007.16658738  55.04024201 -007.16658738
111  55.03956880 -007.16599204
111  55.03930509 -007.16574020
112  55.03918784 -007.16562487  55.03918584 -007.16562419
111  55.03918784 -007.16562487
112  55.03918784 -007.16562487  55.03913804 -007.16557900
111  55.03908624 -007.16567006
111  55.03870178 -007.16634794
111  55.03859621 -007.16665733
111  55.03857629 -007.16674771
111  55.03849063 -007.16683114
112  55.03846872 -007.16664342  55.03843220 -007.16655941
111  55.03830607 -007.16658378
111  55.03824793 -007.16645846
111  55.03841294 -007.16646613
112  55.03858425 -007.16636532  55.03862243 -007.16629580
111  55.03897071 -007.16567354
112  55.03899859 -007.16553102  55.03899660 -007.16544411
111  55.03894083 -007.16539892
111  55.03900899 -007.16520247
111  55.04027352 -007.16636634
112  55.04070141 -007.16643726  55.04090460 -007.16639972
111  55.04070141 -007.16643726
112  55.04070141 -007.16643726  55.04071097 -007.16642892
112  55.04156913 -007.16631212  55.04156913 -007.16630795
111  55.04156913 -007.16631212
112  55.04156913 -007.16631212  55.04165519 -007.16625788
111  55.04176276 -007.16603678
111  55.04161933 -007.16680856
112  55.04148308 -007.16657494  55.04140658 -007.16655825
111  55.04148308 -007.16657494
112  55.04148308 -007.16657494  55.04139463 -007.16657494
111  55.04076117 -007.16665837
112  55.04062013 -007.16680021  55.04056994 -007.16692119
111  55.04056516 -007.16705052
111  55.04064165 -007.16953686
112  55.04083766 -007.16991649  55.04103607 -007.17008753
111  55.04083766 -007.16991649
112  55.04083766 -007.16991649  55.04093806 -007.17002496
113  55.04109822 -007.16987895
130 Airport Boundary 16
111  55.04398867 -007.14864925
111  55.04363973 -007.14747921
111  55.04438765 -007.14413995
111  55.04522634 -007.14567962
111  55.04808328 -007.16225711
111  55.04654343 -007.16609564
111  55.04572952 -007.17146910
111  55.04256931 -007.17202239
111  55.04166511 -007.17658949
111  55.04062724 -007.18229524
111  55.03772877 -007.18106528
111  55.03821712 -007.17546335
111  55.03829371 -007.17201986
111  55.03865891 -007.16965997
111  55.03861434 -007.16919156
111  55.03717656 -007.16934280
111  55.03569421 -007.16902562
113  55.03650021 -007.15734258
120 Linear Feature 58
111  55.03866658 -007.16633167 51
112  55.03856903 -007.16659946  55.03854413 -007.16667767 51
115  55.03852255 -007.16679644
120 Linear Feature 52
111  55.04171723 -007.16737422 51
111  55.04180042 -007.16687360 51
112  55.04160691 -007.16643835  55.04137743 -007.16633823
111  55.04160691 -007.16643835
112  55.04160691 -007.16643835  55.04190093 -007.16639664 51
111  55.04195532 -007.16601755 51
115  55.04203564 -007.16552194
120 Linear Feature 51
111  55.04105985 -007.17117239 51
111  55.04115546 -007.17059668 51
112  55.04098062 -007.17010112  55.04078221 -007.16996763
111  55.04098062 -007.17010112
112  55.04098062 -007.17010112  55.04122205 -007.17016370 51
111  55.04129889 -007.16979988 51
115  55.04144471 -007.16892798
120 Linear Feature 50
111  55.04085469 -007.16663616 54
115  55.04084513 -007.16641923
120 Linear Feature 49
111  55.04046983 -007.16812547 54
115  55.04060131 -007.16812130
120 Linear Feature 48
111  55.04098062 -007.17010112 51
111  55.04074875 -007.16997597 51
112  55.04057425 -007.16950040  55.04056229 -007.16917083
111  55.04057425 -007.16950040
112  55.04057425 -007.16950040  55.04057425 -007.16948371 51
111  55.04053839 -007.16812374 57
111  55.04052166 -007.16763566 51
112  55.04050731 -007.16702659  55.04050731 -007.16702242
111  55.04050731 -007.16702659
112  55.04050731 -007.16702659  55.04048580 -007.16666365 51
111  55.04028740 -007.16648845 51
112  55.04055751 -007.16656354  55.04068421 -007.16654268
111  55.04055751 -007.16656354
112  55.04055751 -007.16656354  55.04057186 -007.16656354 57
111  55.04085154 -007.16652182 51
115  55.04160691 -007.16643835
120 Linear Feature 44
111  55.04060549 -007.15625348 51
115  55.04016525 -007.15612138
120 Linear Feature 43
111  55.04051983 -007.15693138 51
115  55.04009155 -007.15679232
120 Linear Feature 42
111  55.04043417 -007.15758146 51
115  55.03999394 -007.15743893
120 Linear Feature 41
111  55.04035051 -007.15823155 51
115  55.03991226 -007.15808206
120 Linear Feature 46
111  55.04209957 -007.15941956 54
115  55.04214439 -007.15906901
120 Linear Feature 45
111  55.04099393 -007.15602056 51
111  55.04070907 -007.15814116 51
112  55.04076286 -007.15854790  55.04082137 -007.15871010 51
111  55.04094612 -007.15876344 51
111  55.04166285 -007.15905410 57
111  55.04212659 -007.15923766 51
115  55.04264054 -007.15944208
120 Linear Feature 47
111  55.04278078 -007.16124955 51
111  55.04294716 -007.16025330 51
112  55.04264054 -007.15944208  55.04231353 -007.15926185
111  55.04264054 -007.15944208
112  55.04264054 -007.15944208  55.04306221 -007.15957224 51
111  55.04317951 -007.15896669 51
115  55.04329138 -007.15831087
120 Linear Feature 39
111  55.04019259 -007.15504452 20
112  55.03983707 -007.15798498  55.03983153 -007.15802360 20
115  55.03984745 -007.15810021
120 Linear Feature 40
111  55.03990347 -007.15827709 22
112  55.03981770 -007.15810569  55.03979833 -007.15798015 22
111  55.03981632 -007.15778460 22
115  55.04014555 -007.15503487
120 Linear Feature 38
111  55.03990416 -007.15836080 20
111  55.03981655 -007.15826222 20
112  55.03977966 -007.15803891  55.03977551 -007.15794235 20
111  55.03977159 -007.15783572 20
115  55.04010543 -007.15501555
120 Linear Feature 37
111  55.04038834 -007.15794765 20
115  55.03988491 -007.15779538
120 Linear Feature 37
111  55.04047364 -007.15729784 20
115  55.03996502 -007.15714349
120 Linear Feature 37
111  55.04056010 -007.15664198 20
115  55.04004585 -007.15648578
120 Linear Feature 36
111  55.04039730 -007.15787907 20
115  55.03989432 -007.15771882
120 Linear Feature 36
111  55.04048260 -007.15722925 20
115  55.03997442 -007.15706706
120 Linear Feature 36
111  55.04056906 -007.15657340 20
115  55.04005569 -007.15640971
120 Linear Feature 35
111  55.04030641 -007.15850903 20
111  55.03990243 -007.15836302 20
111  55.03991916 -007.15812524 20
111  55.03984745 -007.15810021 20
111  55.03988491 -007.15779538 20
111  55.03989432 -007.15771882 20
111  55.03996502 -007.15714349 20
111  55.03997442 -007.15706706 20
111  55.04004585 -007.15648578 20
111  55.04005569 -007.15640971 20
111  55.04012713 -007.15581831 20
115  55.04064824 -007.15596849
120 Linear Feature 34
111  55.04028729 -007.15866756 20
115  55.03976378 -007.15847566
120 Linear Feature 33
111  55.04029446 -007.15867590 20
111  55.04056010 -007.15664198 20
111  55.04056906 -007.15657340 20
115  55.04070800 -007.15550961
120 Linear Feature 55
111  55.04028740 -007.16648845 51
111  55.04007046 -007.16631102 51
115  55.03962385 -007.16590437
120 Linear Feature 54
111  55.03930983 -007.16617234 51
112  55.03942603 -007.16595506  55.03942742 -007.16595024
111  55.03942603 -007.16595506
112  55.03942603 -007.16595506  55.03950350 -007.16582953 51
111  55.03962385 -007.16590437 51
111  55.03924482 -007.16554708 51
112  55.03904838 -007.16563158  55.03893771 -007.16581505
111  55.03904838 -007.16563158
112  55.03904838 -007.16563158  55.03904700 -007.16562917 51
111  55.03880491 -007.16606371 51
111  55.03866658 -007.16633167 51
112  55.03861954 -007.16642341  55.03858496 -007.16650066 51
111  55.03851441 -007.16649825 51
115  55.03827408 -007.16650968
120 Linear Feature 53
111  55.03926142 -007.16610474 20
115  55.03946615 -007.16645962
120 Linear Feature 59
111  55.03859061 -007.16686597 20
111  55.03871013 -007.16706295 20
111  55.03881637 -007.16686886 20
115  55.03870515 -007.16666898
21  55.04180801 -007.16949589 2 73.0700 3.00 08  PAPI-4L
21  55.04396407 -007.15243318 2 253.9521 3.00 26  PAPI-4L
14  55.03984284 -007.15581657 104.99 0 ATC Tower
1300  55.04016525 -007.15612138 167.47 gate jets|turboprops Main Apron Stand 4
1301 C airline 
1300  55.04009155 -007.15679232 168.11 gate jets|turboprops Main Apron Stand 3
1301 C airline 
1300  55.03999394 -007.15743893 168.69 gate jets|turboprops Main Apron Stand 2
1301 C airline 
1300  55.03991226 -007.15808206 169.32 gate jets|turboprops Main Apron Stand 1
1301 C airline 
1300  55.03805032 -007.16775988  25.91 hangar jets|turboprops|props West Hangar
1301 B none 
1300  55.03904986 -007.16703681 138.68 tie_down props|helos West Apron 3
1301 A general_aviation 
1300  55.03915695 -007.16682167 138.68 tie_down props|helos West Apron 2
1301 A general_aviation 
1300  55.03936664 -007.16679954 137.67 hangar props Hangar
1301 A none 
1300  55.03934385 -007.16644471 138.68 tie_down props|helos West Apron 1
1301 A general_aviation 
19  55.04352777 -007.15122542 1 WS
19  55.04029885 -007.16989915 1 WS
54 13415 TWR
55 12362 APP
99
