I
1050 Generated by WorldEditor 2.0.0r4

1     14 0 0 L52 Oceano County
112  35.10273130 -120.62385289  35.10274798 -120.62378874
111  35.10273018 -120.62372812
111  35.10200540 -120.62236568
112  35.10200540 -120.62236568  35.10197781 -120.62232326
112  35.10191252 -120.62231381  35.10188412 -120.62231402
111  35.10191252 -120.62231381
112  35.10191252 -120.62231381  35.10188774 -120.62231399
111  35.10186943 -120.62232169
111  35.10177146 -120.62238645
112  35.10177146 -120.62238645  35.10170048 -120.62246099
111  35.10173547 -120.62257586
111  35.10159979 -120.62261839
112  35.10159979 -120.62261839  35.10155480 -120.62254874
111  35.10148182 -120.62258051
111  35.10138271 -120.62264809
112  35.10138271 -120.62264809  35.10136175 -120.62267175
112  35.10134214 -120.62272113  35.10133502 -120.62274526
111  35.10134214 -120.62272113
112  35.10134214 -120.62272113  35.10132352 -120.62278428
113  35.10134175 -120.62283987
130 Airport Boundary 1
111  35.10284292 -120.62626870
111  35.10209941 -120.62491858
111  35.10175801 -120.62524661
111  35.10025307 -120.62243729
111  35.10010313 -120.62203280
111  35.09934641 -120.62076115
111  35.09903719 -120.61951812
111  35.09910258 -120.61944381
111  35.09877869 -120.61851840
111  35.09882158 -120.61807974
111  35.09935009 -120.61770772
111  35.10009723 -120.61771179
111  35.10010705 -120.61894917
111  35.10096357 -120.62023798
111  35.10191784 -120.62209192
111  35.10225056 -120.62183053
111  35.10368558 -120.62435259
111  35.10417001 -120.62425884
111  35.10462109 -120.62513173
111  35.10400137 -120.62564953
111  35.10451979 -120.62659291
113  35.10416763 -120.62726850
120 Linear Feature 35
111  35.10185207 -120.62219805 4
115  35.10191252 -120.62231381
120 Linear Feature 34
111  35.10273130 -120.62385289 4
115  35.10279518 -120.62397275
120 Linear Feature 33
111  35.10347721 -120.62524951 4
115  35.10352738 -120.62534467
120 Linear Feature 30
111  35.10352233 -120.62484681 1
115  35.10355992 -120.62481542
120 Linear Feature 30
111  35.10213198 -120.62224043 1
115  35.10209445 -120.62227192
120 Linear Feature 30
111  35.10223296 -120.62243228 1
115  35.10219542 -120.62246377
120 Linear Feature 30
111  35.10233493 -120.62261924 1
115  35.10229740 -120.62265074
120 Linear Feature 30
111  35.10243690 -120.62280987 1
115  35.10239937 -120.62284137
120 Linear Feature 30
111  35.10253488 -120.62299806 1
115  35.10249735 -120.62302956
120 Linear Feature 30
111  35.10263416 -120.62318221 1
115  35.10259663 -120.62321371
120 Linear Feature 30
111  35.10273733 -120.62338017 1
115  35.10269980 -120.62341167
120 Linear Feature 30
111  35.10283931 -120.62356934 1
115  35.10280177 -120.62360083
120 Linear Feature 30
111  35.10308117 -120.62402756 1
115  35.10304363 -120.62405906
120 Linear Feature 30
111  35.10345557 -120.62472077 1
115  35.10349316 -120.62468938
120 Linear Feature 30
111  35.10314815 -120.62415343 1
115  35.10311062 -120.62418492
120 Linear Feature 30
111  35.10338481 -120.62459472 1
115  35.10342240 -120.62456332
120 Linear Feature 30
111  35.10321913 -120.62427929 1
115  35.10318160 -120.62431079
120 Linear Feature 30
111  35.10332005 -120.62446868 1
115  35.10335764 -120.62443729
120 Linear Feature 30
111  35.10328412 -120.62440516 1
115  35.10324658 -120.62443666
120 Linear Feature 30
111  35.10325362 -120.62434121 1
115  35.10329121 -120.62430982
120 Linear Feature 30
111  35.10335077 -120.62453245 1
115  35.10331323 -120.62456395
120 Linear Feature 30
111  35.10318789 -120.62421545 1
115  35.10322548 -120.62418405
120 Linear Feature 30
111  35.10341672 -120.62465805 1
115  35.10337919 -120.62468954
120 Linear Feature 30
111  35.10214641 -120.62236947 1
115  35.10218400 -120.62233807
120 Linear Feature 30
111  35.10224839 -120.62255643 1
115  35.10228598 -120.62252504
120 Linear Feature 30
111  35.10235036 -120.62274707 1
115  35.10238795 -120.62271567
120 Linear Feature 30
111  35.10244834 -120.62293525 1
115  35.10248593 -120.62290386
120 Linear Feature 30
111  35.10254762 -120.62311940 1
115  35.10258521 -120.62308800
120 Linear Feature 30
111  35.10265079 -120.62331736 1
115  35.10268838 -120.62328597
120 Linear Feature 30
111  35.10275277 -120.62350653 1
115  35.10279036 -120.62347513
120 Linear Feature 30
111  35.10305433 -120.62396560 1
115  35.10309192 -120.62393420
120 Linear Feature 30
111  35.10355072 -120.62490754 1
115  35.10351318 -120.62493904
120 Linear Feature 30
111  35.10311921 -120.62408776 1
115  35.10315680 -120.62405636
120 Linear Feature 30
111  35.10348563 -120.62478555 1
115  35.10344809 -120.62481705
120 Linear Feature 30
111  35.10338648 -120.62397558 1
115  35.10334962 -120.62400824
120 Linear Feature 30
111  35.10345747 -120.62410022 1
115  35.10342060 -120.62413288
120 Linear Feature 30
111  35.10361143 -120.62437762 1
115  35.10357457 -120.62441028
120 Linear Feature 29
111  35.10354318 -120.62478406 1
111  35.10355992 -120.62481542 1
115  35.10357724 -120.62484786
120 Linear Feature 29
111  35.10211124 -120.62230323 1
111  35.10209445 -120.62227192 1
115  35.10207707 -120.62223953
120 Linear Feature 29
111  35.10221221 -120.62249508 1
111  35.10219542 -120.62246377 1
115  35.10217805 -120.62243138
120 Linear Feature 29
111  35.10231419 -120.62268205 1
111  35.10229740 -120.62265074 1
115  35.10228002 -120.62261834
120 Linear Feature 29
111  35.10241616 -120.62287268 1
111  35.10239937 -120.62284137 1
115  35.10238200 -120.62280898
120 Linear Feature 29
111  35.10251414 -120.62306087 1
111  35.10249735 -120.62302956 1
115  35.10247997 -120.62299716
120 Linear Feature 29
111  35.10261342 -120.62324502 1
111  35.10259663 -120.62321371 1
115  35.10257925 -120.62318131
120 Linear Feature 29
111  35.10271659 -120.62344298 1
111  35.10269980 -120.62341167 1
115  35.10268243 -120.62337928
120 Linear Feature 29
111  35.10281857 -120.62363214 1
111  35.10280177 -120.62360083 1
115  35.10278440 -120.62356844
120 Linear Feature 29
111  35.10306043 -120.62409037 1
111  35.10304363 -120.62405906 1
115  35.10302626 -120.62402666
120 Linear Feature 29
111  35.10347642 -120.62465802 1
111  35.10349316 -120.62468938 1
115  35.10351048 -120.62472181
120 Linear Feature 29
111  35.10312741 -120.62421623 1
111  35.10311062 -120.62418492 1
115  35.10309324 -120.62415253
120 Linear Feature 29
111  35.10340566 -120.62453197 1
111  35.10342240 -120.62456332 1
115  35.10343972 -120.62459576
120 Linear Feature 29
111  35.10319839 -120.62434210 1
111  35.10318160 -120.62431079 1
115  35.10316422 -120.62427840
120 Linear Feature 29
111  35.10334090 -120.62440593 1
111  35.10335764 -120.62443729 1
115  35.10337495 -120.62446972
120 Linear Feature 29
111  35.10326338 -120.62446797 1
111  35.10324658 -120.62443666 1
115  35.10322921 -120.62440426
120 Linear Feature 29
111  35.10327447 -120.62427846 1
111  35.10329121 -120.62430982 1
115  35.10330853 -120.62434226
120 Linear Feature 29
111  35.10333003 -120.62459526 1
111  35.10331323 -120.62456395 1
115  35.10329586 -120.62453155
120 Linear Feature 29
111  35.10320874 -120.62415269 1
111  35.10322548 -120.62418405 1
115  35.10324279 -120.62421649
120 Linear Feature 29
111  35.10339598 -120.62472085 1
111  35.10337919 -120.62468954 1
115  35.10336181 -120.62465715
120 Linear Feature 29
111  35.10216726 -120.62230672 1
111  35.10218400 -120.62233807 1
115  35.10220132 -120.62237051
120 Linear Feature 29
111  35.10226924 -120.62249368 1
111  35.10228598 -120.62252504 1
115  35.10230329 -120.62255748
120 Linear Feature 29
111  35.10237121 -120.62268431 1
111  35.10238795 -120.62271567 1
115  35.10240527 -120.62274811
120 Linear Feature 29
111  35.10246919 -120.62287250 1
111  35.10248593 -120.62290386 1
115  35.10250324 -120.62293630
120 Linear Feature 29
111  35.10256847 -120.62305665 1
111  35.10258521 -120.62308800 1
115  35.10260252 -120.62312044
120 Linear Feature 29
111  35.10267164 -120.62325461 1
111  35.10268838 -120.62328597 1
115  35.10270570 -120.62331841
120 Linear Feature 29
111  35.10277362 -120.62344378 1
111  35.10279036 -120.62347513 1
115  35.10280767 -120.62350757
120 Linear Feature 29
111  35.10307518 -120.62390285 1
111  35.10309192 -120.62393420 1
115  35.10310924 -120.62396664
120 Linear Feature 29
111  35.10352998 -120.62497035 1
111  35.10351318 -120.62493904 1
115  35.10349581 -120.62490664
120 Linear Feature 29
111  35.10314006 -120.62402501 1
111  35.10315680 -120.62405636 1
115  35.10317411 -120.62408880
120 Linear Feature 29
111  35.10346489 -120.62484836 1
111  35.10344809 -120.62481705 1
115  35.10343072 -120.62478465
120 Linear Feature 29
111  35.10336706 -120.62403901 1
111  35.10334962 -120.62400824 1
115  35.10333157 -120.62397640
120 Linear Feature 29
111  35.10343805 -120.62416366 1
111  35.10342060 -120.62413288 1
115  35.10340256 -120.62410104
120 Linear Feature 29
111  35.10359201 -120.62444105 1
111  35.10357457 -120.62441028 1
115  35.10355652 -120.62437844
120 Linear Feature 28
112  35.10174137 -120.62234729  35.10159740 -120.62242472 1
111  35.10151976 -120.62229218 1
115  35.10121019 -120.62171529
120 Linear Feature 27
112  35.10272832 -120.62393947  35.10283029 -120.62383683 1
111  35.10277054 -120.62369513 1
111  35.10204180 -120.62232640
112  35.10204180 -120.62232640  35.10195016 -120.62219809 1
115  35.10184400 -120.62226696
120 Linear Feature 26
112  35.10288854 -120.62381211  35.10298921 -120.62369755 1
111  35.10292281 -120.62354067 1
111  35.10219460 -120.62217326
112  35.10219460 -120.62217326  35.10211729 -120.62206483 1
111  35.10202767 -120.62212320 1
111  35.10184400 -120.62226696 1
111  35.10174137 -120.62234729
112  35.10174137 -120.62234729  35.10162640 -120.62247560 1
111  35.10169537 -120.62262033 1
115  35.10200156 -120.62319552
120 Linear Feature 24
112  35.10262373 -120.62402261  35.10249210 -120.62409492 1
111  35.10241586 -120.62397063 1
115  35.10210787 -120.62339723
120 Linear Feature 25
112  35.10349970 -120.62529895  35.10356705 -120.62520221 1
111  35.10352272 -120.62510609 1
111  35.10292886 -120.62399452
112  35.10292886 -120.62399452  35.10284488 -120.62386695 1
115  35.10272832 -120.62393947
120 Linear Feature 23
112  35.10325819 -120.62541742  35.10330984 -120.62542862 1
111  35.10336816 -120.62539909 1
111  35.10349970 -120.62529895 1
111  35.10355627 -120.62525589
112  35.10355627 -120.62525589  35.10370523 -120.62515420 1
112  35.10386498 -120.62522663  35.10397276 -120.62512673
111  35.10386498 -120.62522663
112  35.10386498 -120.62522663  35.10394568 -120.62514540 1
111  35.10389112 -120.62503851 1
111  35.10379414 -120.62486621
112  35.10379414 -120.62486621  35.10374915 -120.62478881 1
111  35.10370117 -120.62474400 1
111  35.10361119 -120.62465113
112  35.10361119 -120.62465113  35.10357972 -120.62461928 1
111  35.10355020 -120.62457414 1
111  35.10313350 -120.62382567
112  35.10313350 -120.62382567  35.10305685 -120.62370143 1
111  35.10293938 -120.62377170 1
111  35.10288854 -120.62381211 1
111  35.10272832 -120.62393947 1
111  35.10262373 -120.62402261
112  35.10262373 -120.62402261  35.10250676 -120.62414237 1
111  35.10258041 -120.62428433 1
115  35.10288273 -120.62484936
120 Linear Feature 22
111  35.10293546 -120.62576200 4
115  35.10293777 -120.62568727
120 Linear Feature 21
111  35.10223978 -120.62440874 4
115  35.10217375 -120.62429138
120 Linear Feature 20
111  35.10134214 -120.62272113 4
115  35.10127681 -120.62260112
120 Linear Feature 19
111  35.09969583 -120.61963443 4
115  35.09953988 -120.61934621
120 Linear Feature 18
112  35.10145537 -120.62255095  35.10155396 -120.62244912 1
111  35.10150469 -120.62231248 1
115  35.10119042 -120.62172716
120 Linear Feature 17
112  35.10117279 -120.62259133  35.10124707 -120.62270249 1
115  35.10134801 -120.62263564
120 Linear Feature 16
112  35.10131831 -120.62286438  35.10125235 -120.62272182 1
111  35.10134801 -120.62263564 1
111  35.10145537 -120.62255095
112  35.10145537 -120.62255095  35.10158589 -120.62247882 1
111  35.10166393 -120.62260998 1
115  35.10198303 -120.62320587
120 Linear Feature 15
112  35.10235227 -120.62423723  35.10245400 -120.62412939 1
111  35.10239553 -120.62398495 1
115  35.10208975 -120.62341235
120 Linear Feature 14
112  35.10207159 -120.62427780  35.10214407 -120.62438676 1
115  35.10224629 -120.62431910
120 Linear Feature 13
112  35.10220643 -120.62453082  35.10215561 -120.62441677 1
111  35.10224629 -120.62431910 1
111  35.10235227 -120.62423723
112  35.10235227 -120.62423723  35.10248973 -120.62416697 1
111  35.10256648 -120.62430134 1
115  35.10286196 -120.62486087
120 Linear Feature 12
112  35.10316592 -120.62555471  35.10315721 -120.62559138 1
111  35.10311315 -120.62562854 1
111  35.10302804 -120.62569423
112  35.10302804 -120.62569423  35.10288057 -120.62578588 1
111  35.10280015 -120.62564484 1
111  35.10220643 -120.62453082 1
111  35.10207159 -120.62427780 1
111  35.10131831 -120.62286438 1
111  35.10117279 -120.62259133 1
111  35.09958166 -120.61960580
112  35.09958166 -120.61960580  35.09951015 -120.61943948 1
111  35.09962977 -120.61933905 1
111  35.09971725 -120.61927341
112  35.09971725 -120.61927341  35.09975751 -120.61924965 1
115  35.09980022 -120.61925508
14  35.10404393 -120.62517223  82.02 0 New Tower Viewpoint 1
1300  35.10223058 -120.62202174 213.82 hangar props Hangar 16
1301 A none 
1300  35.10229680 -120.62215196 213.82 hangar props Hangar 15
1301 A none 
1300  35.10236591 -120.62228569 213.82 hangar props Hangar 14
1301 A none 
1300  35.10243933 -120.62240359 213.82 hangar props Hangar 13
1301 A none 
1300  35.10249691 -120.62251797 213.82 hangar props Hangar 12
1301 A none 
1300  35.10256458 -120.62264466 213.82 hangar props Hangar 11
1301 A none 
1300  35.10262504 -120.62275904 213.82 hangar props Hangar 10
1301 A none 
1300  35.10268623 -120.62287489 213.82 hangar props Hangar 09
1301 A none 
1300  35.10274981 -120.62299513 213.82 hangar props Hangar 08
1301 A none 
1300  35.10281219 -120.62311538 213.82 hangar props Hangar 07
1301 A none 
1300  35.10287458 -120.62322976 213.82 hangar props Hangar 06
1301 A none 
1300  35.10295856 -120.62337786 213.82 hangar props Hangar 05
1301 A none 
1300  35.10304134 -120.62353770 213.82 hangar props Hangar 04
1301 A none 
1300  35.10316491 -120.62364475 213.82 hangar props Hangar 03
1301 A none 
1300  35.10321529 -120.62374740 213.82 hangar props Hangar 02
1301 A none 
1300  35.10327408 -120.62385445 213.82 hangar props Hangar 01
1301 A none 
1300  35.10209445 -120.62227192 213.82 tie_down props GA Tie-Down 34
1301 A general_aviation 
1300  35.10219542 -120.62246377  33.82 tie_down props GA Tie-Down 33
1301 A general_aviation 
1300  35.10218400 -120.62233807 213.82 tie_down props GA Tie-Down 32
1301 A general_aviation 
1300  35.10228598 -120.62252504  33.82 tie_down props GA Tie-Down 31
1301 A general_aviation 
1300  35.10229740 -120.62265074 213.82 tie_down props GA Tie-Down 30
1301 A general_aviation 
1300  35.10238795 -120.62271567  33.82 tie_down props GA Tie-Down 29
1301 A general_aviation 
1300  35.10239937 -120.62284137 213.82 tie_down props GA Tie-Down 28
1301 A general_aviation 
1300  35.10248593 -120.62290386  33.82 tie_down props GA Tie-Down 27
1301 A general_aviation 
1300  35.10250123 -120.62302935 213.82 tie_down props GA Tie-Down 26
1301 A general_aviation 
1300  35.10258521 -120.62308800  33.82 tie_down props GA Tie-Down 25
1301 A general_aviation 
1300  35.10259663 -120.62321371 213.82 tie_down props GA Tie-Down 24
1301 A general_aviation 
1300  35.10268838 -120.62328597  33.82 tie_down props GA Tie-Down 23
1301 A general_aviation 
1300  35.10269980 -120.62341167 213.82 tie_down props GA Tie-Down 22
1301 A general_aviation 
1300  35.10279036 -120.62347513  33.82 tie_down props GA Tie-Down 21
1301 A general_aviation 
1300  35.10280177 -120.62360083 213.82 tie_down props GA Tie-Down 20
1301 A general_aviation 
1300  35.10309192 -120.62393420  33.82 tie_down props GA Tie-Down 19
1301 A general_aviation 
1300  35.10304363 -120.62405906 213.82 tie_down props GA Tie-Down 18
1301 A general_aviation 
1300  35.10315680 -120.62405636  33.82 tie_down props GA Tie-Down 17
1301 A general_aviation 
1300  35.10311062 -120.62418492 213.82 tie_down props GA Tie-Down 16
1301 A general_aviation 
1300  35.10322548 -120.62418405  33.82 tie_down props GA Tie-Down 15
1301 A general_aviation 
1300  35.10318160 -120.62431079 213.82 tie_down props GA Tie-Down 14
1301 A general_aviation 
1300  35.10329121 -120.62430982  33.82 tie_down props GA Tie-Down 13
1301 A general_aviation 
1300  35.10324658 -120.62443666 213.82 tie_down props GA Tie-Down 12
1301 A general_aviation 
1300  35.10335764 -120.62443729  33.82 tie_down props GA Tie-Down 11
1301 A general_aviation 
1300  35.10331323 -120.62456395 213.82 tie_down props GA Tie-Down 10
1301 A general_aviation 
1300  35.10342240 -120.62456332  33.82 tie_down props GA Tie-Down 09
1301 A general_aviation 
1300  35.10337919 -120.62468954 213.82 tie_down props GA Tie-Down 08
1301 A general_aviation 
1300  35.10349316 -120.62468938  33.82 tie_down props GA Tie-Down 07
1301 A general_aviation 
1300  35.10344809 -120.62481705 213.82 tie_down props GA Tie-Down 06
1301 A general_aviation 
1300  35.10355992 -120.62481542  33.82 tie_down props GA Tie-Down 05
1301 A general_aviation 
1300  35.10351318 -120.62493904 213.82 tie_down props GA Tie-Down 04
1301 A general_aviation 
1300  35.10334962 -120.62400824 213.82 tie_down props GA Tie-Down 03
1301 A general_aviation 
1300  35.10342060 -120.62413288 213.82 tie_down props GA Tie-Down 02
1301 A general_aviation 
1300  35.10357457 -120.62441028 213.82 tie_down props GA Tie-Down 01
1301 A general_aviation 
1300  35.10373752 -120.62464246 262.39 tie_down props Biplane Rides Pismo Beach
1301 A general_aviation 
18  35.10084979 -120.62318386 1 BCN
19  35.10165389 -120.62431072 1 WS
51 12270 CTAF
50 11837 AWOS-3P
99
