I
1050 Generated by WorldEditor 2.1.0r1

1    936 0 0 KRAW Warsaw Muni
111  38.34607273 -093.34368181 51
115  38.34603611 -093.34284676
120 Linear Feature 11
112  38.34680364 -093.34364167  38.34679094 -093.34371724 51
115  38.34673789 -093.34374254
120 Linear Feature 10
111  38.34687882 -093.34373598 51
111  38.34673789 -093.34374254 51
111  38.34651051 -093.34375792
112  38.34651051 -093.34375792  38.34645069 -093.34373093 51
111  38.34643883 -093.34366092 51
115  38.34640363 -093.34282278
120 Linear Feature 9
111  38.34845829 -093.34534044 51
111  38.34788862 -093.34537885
112  38.34788862 -093.34537885  38.34771166 -093.34535915 51
115  38.34769028 -093.34516050
120 Linear Feature 8
111  38.34695336 -093.34544143 51
111  38.34751042 -093.34540525
112  38.34751042 -093.34540525  38.34767017 -093.34537689 51
111  38.34769028 -093.34516050 51
111  38.34764907 -093.34421795
112  38.34764907 -093.34421795  38.34763016 -093.34412259 51
111  38.34755543 -093.34410540 51
111  38.34707633 -093.34413374
112  38.34707633 -093.34413374  38.34697107 -093.34412804 51
111  38.34696172 -093.34399921 51
111  38.34695522 -093.34383547
112  38.34695522 -093.34383547  38.34694274 -093.34374969 51
111  38.34687882 -093.34373598
112  38.34687882 -093.34373598  38.34682120 -093.34371289 51
111  38.34680364 -093.34364167 51
115  38.34676684 -093.34279909
21  38.35119291 -093.34475662 2 182.8700 3.00 PAPI-4L-18
21  38.34440097 -093.34603659 2 3.0500 3.00 PAPI-4L-36
14  38.34717603 -093.34344583  26.25 0 Tower
1300  38.34750397 -093.34425585  92.45 tie_down props GA Tie-Down 1
1301 A general_aviation 
1300  38.34737904 -093.34426335  92.45 tie_down props GA Tie-Down 2
1301 A general_aviation 
1300  38.34725728 -093.34427038  92.45 tie_down props GA Tie-Down 3
1301 A general_aviation 
1300  38.34713374 -093.34427919  92.45 tie_down props GA Tie-Down 4
1301 A general_aviation 
1300  38.34700532 -093.34428800  92.45 tie_down props GA Tie-Down 5
1301 A general_aviation 
1300  38.34748656 -093.34384179  92.45 tie_down props GA Tie-Down 6
1301 A general_aviation 
1300  38.34743043 -093.34396372 -86.51 tie_down props GA Tie-Down 7
1301 A general_aviation 
1300  38.34736490 -093.34385044  92.45 tie_down props GA Tie-Down 8
1301 A general_aviation 
1300  38.34730630 -093.34397171 -86.51 tie_down props GA Tie-Down 9
1301 A general_aviation 
1300  38.34724796 -093.34385716  92.45 tie_down props GA Tie-Down 10
1301 A general_aviation 
1300  38.34718267 -093.34397944 -86.51 tie_down props GA Tie-Down 11
1301 A general_aviation 
1300  38.34711988 -093.34386326  92.45 tie_down props GA Tie-Down 12
1301 A general_aviation 
1300  38.34740030 -093.34346598 -87.49 hangar props GA Hangar 1
1301 A none 
1300  38.34666307 -093.34353468   2.79 hangar props GA Hangar 2-1
1301 A none 
1300  38.34656315 -093.34346007 -176.80 hangar props GA Hangar 2-2
1301 A none 
1300  38.34665722 -093.34337321   2.79 hangar props GA Hangar 2-3
1301 A none 
1300  38.34655613 -093.34329890 -176.80 hangar props GA Hangar 2-4
1301 A none 
1300  38.34665020 -093.34321264   2.79 hangar props GA Hangar 2-5
1301 A none 
1300  38.34654931 -093.34313786 -176.80 hangar props GA Hangar 2-6
1301 A none 
1300  38.34664376 -093.34305013   2.79 hangar props GA Hangar 2-7
1301 A none 
1300  38.34654296 -093.34297619 -176.80 hangar props GA Hangar 2-8
1301 A none 
1300  38.34663733 -093.34288925   2.79 hangar props GA Hangar 2-9
1301 A none 
1300  38.34630131 -093.34356512   2.79 hangar props GA Hangar 3-1
1301 A none 
1300  38.34620139 -093.34349051 -176.80 hangar props GA Hangar 3-2
1301 A none 
1300  38.34629546 -093.34340365   2.79 hangar props GA Hangar 3-3
1301 A none 
1300  38.34619437 -093.34332934 -176.80 hangar props GA Hangar 3-4
1301 A none 
1300  38.34628844 -093.34324308   2.79 hangar props GA Hangar 3-5
1301 A none 
1300  38.34618754 -093.34316830 -176.80 hangar props GA Hangar 3-6
1301 A none 
1300  38.34628200 -093.34308056   2.79 hangar props GA Hangar 3-7
1301 A none 
1300  38.34618120 -093.34300663 -176.80 hangar props GA Hangar 3-8
1301 A none 
1300  38.34627556 -093.34291969   2.79 hangar props GA Hangar 3-9
1301 A none 
18  38.34767977 -093.34338273 1 BCN
19  38.34951844 -093.34682480 1 WS
51 12290 CTAF
55 12745 Whiteman Approach
56 12592 Whiteman Departure
99
