I
1050 Generated by WorldEditor 2.2.0r2

1   5871 0 0 M45 Alpine County
111  38.73054685 -119.76810480 1
111  38.73051791 -119.76810705 1
115  38.73048525 -119.76810930
120 Linear Feature 57
111  38.73042357 -119.76811573 1
111  38.73039462 -119.76811798 1
115  38.73036196 -119.76812023
120 Linear Feature 57
111  38.73030137 -119.76812770 1
111  38.73027243 -119.76812995 1
115  38.73023977 -119.76813221
120 Linear Feature 57
111  38.73017804 -119.76813877 1
111  38.73014909 -119.76814102 1
115  38.73011643 -119.76814327
120 Linear Feature 57
111  38.73005618 -119.76815077 1
111  38.73002724 -119.76815302 1
115  38.72999458 -119.76815527
120 Linear Feature 57
111  38.72993168 -119.76816185 1
111  38.72990274 -119.76816410 1
115  38.72987008 -119.76816635
120 Linear Feature 56
111  38.73101206 -119.76809450 1
115  38.73101173 -119.76805974
120 Linear Feature 56
111  38.73088926 -119.76810589 1
115  38.73088817 -119.76807227
120 Linear Feature 56
111  38.73076585 -119.76811733 1
115  38.73076461 -119.76808424
120 Linear Feature 56
111  38.73064333 -119.76812869 1
115  38.73064214 -119.76809563
120 Linear Feature 56
111  38.73051946 -119.76814018 1
115  38.73051791 -119.76810705
120 Linear Feature 56
111  38.73039623 -119.76815160 1
115  38.73039462 -119.76811798
120 Linear Feature 56
111  38.73027388 -119.76816295 1
115  38.73027243 -119.76812995
120 Linear Feature 56
111  38.73015054 -119.76817466 1
115  38.73014909 -119.76814102
120 Linear Feature 56
111  38.73002863 -119.76818600 1
115  38.73002724 -119.76815302
120 Linear Feature 56
111  38.72990425 -119.76819757 1
115  38.72990274 -119.76816410
120 Linear Feature 55
111  38.72982936 -119.76803858 1
115  38.73101171 -119.76793241
120 Linear Feature 53
112  38.73051648 -119.76791070  38.73049425 -119.76788620 1
115  38.73048815 -119.76782716
120 Linear Feature 54
111  38.73110020 -119.76737384 1
111  38.73054800 -119.76741823
112  38.73054800 -119.76741823  38.73045969 -119.76744588 1
115  38.73046956 -119.76754643
120 Linear Feature 52
111  38.72982267 -119.76747961 1
111  38.73038188 -119.76743403
112  38.73038188 -119.76743403  38.73046011 -119.76743654 1
111  38.73046956 -119.76754643 1
111  38.73048815 -119.76782716 1
116  38.73046936 -119.76791697  38.73044759 -119.76795343
14  38.73033852 -119.76773590   9.84 0 New Tower Viewpoint 20
1300  38.72990274 -119.76816410  91.26 tie_down props GA 10
1301 A general_aviation 
1300  38.73002724 -119.76815302  91.26 tie_down props GA 09
1301 A general_aviation 
1300  38.73014909 -119.76814102  91.26 tie_down props GA 08
1301 A general_aviation 
1300  38.73027243 -119.76812995  91.26 tie_down props GA 07
1301 A general_aviation 
1300  38.73039462 -119.76811798  91.26 tie_down props GA 06
1301 A general_aviation 
1300  38.73051791 -119.76810705  91.26 tie_down props GA 05
1301 A general_aviation 
1300  38.73064214 -119.76809563  91.26 tie_down props GA 04
1301 A general_aviation 
1300  38.73076461 -119.76808424  91.26 tie_down props GA 03
1301 A general_aviation 
1300  38.73088817 -119.76807227  91.26 tie_down props GA 02
1301 A general_aviation 
1300  38.73101173 -119.76805974  91.26 tie_down props GA 01
1301 A general_aviation 
51 12290 Alpine County Unicom
99
