I
1050 Generated by WorldEditor

1    664 0 0 6Y8 Welke
111  45.71986230 -085.52297961
111  45.71991644 -085.52305402
112  45.72030593 -085.52305953  45.72033107 -085.52305853
113  45.72036165 -085.52298715
110 4 0.00 0.0000 New Taxiway 2
111  45.72005777 -085.51566360
112  45.71981888 -085.51582746  45.71978350 -085.51588203
111  45.71976775 -085.51602348
111  45.71979659 -085.51602612
111  45.71979053 -085.51618976
111  45.71976585 -085.51618727
111  45.71976351 -085.51645411
111  45.71981413 -085.51645010
111  45.71986503 -085.51645653
111  45.71986353 -085.51654873
111  45.71976308 -085.51654913
111  45.71975251 -085.51744487
112  45.71980199 -085.51766774  45.71982893 -085.51774492
112  45.72006177 -085.51825852  45.72007698 -085.51830814
111  45.72009767 -085.51846460
111  45.72006549 -085.51845807
112  45.72003050 -085.51826275  45.72001107 -085.51821797
111  45.71974301 -085.51763239
112  45.71972322 -085.51806180  45.71969278 -085.51821590
111  45.71972322 -085.51806180
112  45.71972322 -085.51806180  45.71962774 -085.51829538
111  45.71943134 -085.51826283
111  45.71942199 -085.51794129
111  45.71954875 -085.51794643
111  45.71954767 -085.51818142
112  45.71967129 -085.51806375  45.71972368 -085.51794393
111  45.71967129 -085.51806375
112  45.71967129 -085.51806375  45.71970339 -085.51799035
111  45.71973414 -085.51612536
111  45.71963710 -085.51611542
111  45.71964193 -085.51602822
111  45.71973597 -085.51603383
111  45.71974490 -085.51521395
112  45.71949473 -085.51506525  45.71931052 -085.51505557
111  45.71949473 -085.51506525
111  45.71929809 -085.51508486
111  45.71929809 -085.51475972
111  45.71929859 -085.51470228
111  45.71879402 -085.51469397
111  45.71879254 -085.51450543
111  45.71896466 -085.51450316
111  45.71896003 -085.51436463
111  45.71889743 -085.51436368
111  45.71888843 -085.51395292
111  45.71908011 -085.51395233
111  45.71908593 -085.51449698
111  45.71915934 -085.51449876
111  45.71916397 -085.51435401
111  45.71930568 -085.51437012
111  45.71930479 -085.51450449
111  45.71946199 -085.51474656
112  45.71970748 -085.51501027  45.71980818 -085.51511552
111  45.72023521 -085.51508414
111  45.72023719 -085.51539253
112  45.72023719 -085.51539253  45.72012749 -085.51536589
113  45.72006502 -085.51536785
111  45.71998535 -085.51535277
111  45.71985127 -085.51535076
111  45.71984429 -085.51553580
113  45.71998186 -085.51553680
110 1 0.00 0.0000 New Taxiway 1
111  45.72046168 -085.51588152
112  45.72030229 -085.51567397  45.72024268 -085.51563853
111  45.72005777 -085.51566360
111  45.72006502 -085.51536785
112  45.72023719 -085.51539253  45.72034689 -085.51541917
113  45.72053865 -085.51577426
110 2 0.00 0.0000 New Taxiway 35
111  45.72133193 -085.51632823
111  45.72121317 -085.51632646
111  45.72121688 -085.51615458
113  45.72133323 -085.51615831
110 2 0.00 0.0000 New Taxiway 34
111  45.72135172 -085.51659403
111  45.72121317 -085.51659580
111  45.72121891 -085.51641120
113  45.72135296 -085.51641683
110 2 0.00 0.0000 New Taxiway 33
111  45.72138760 -085.51788048
111  45.72123296 -085.51787694
111  45.72123173 -085.51769088
113  45.72138389 -085.51768911
110 4 0.00 0.0000 New Taxiway 32
111  45.72118972 -085.51577562
111  45.72115731 -085.51615532
111  45.72121688 -085.51615458
111  45.72121317 -085.51632646
111  45.72113600 -085.51632085
111  45.72113298 -085.51640478
111  45.72121891 -085.51641120
111  45.72121317 -085.51659580
111  45.72113644 -085.51660023
111  45.72113708 -085.51698202
111  45.72111237 -085.51769526
111  45.72123173 -085.51769088
111  45.72123296 -085.51787694
111  45.72108728 -085.51788290
111  45.72097622 -085.51862911
111  45.72093020 -085.51861969
111  45.72107212 -085.51763281
111  45.72109676 -085.51701524
111  45.72109827 -085.51632306
113  45.72114447 -085.51575138
110 1 0.00 0.0000 New Taxiway 36
111  45.72040169 -085.52512635
111  45.72050007 -085.52532340
111  45.72049876 -085.52554597
113  45.72040103 -085.52554512
130 Airport Boundary
111  45.71690481 -085.51758905
111  45.71684486 -085.51866506
111  45.71911899 -085.51914240
111  45.71910668 -085.52602206
111  45.72062683 -085.52603490
111  45.72063134 -085.52069658
111  45.72675560 -085.52088738
111  45.72668814 -085.51590063
111  45.72490575 -085.51589967
111  45.72490377 -085.51785610
111  45.72361715 -085.51786691
111  45.72366075 -085.51868989
111  45.72140119 -085.51813977
111  45.72144462 -085.51585805
111  45.72102072 -085.51564916
111  45.71850930 -085.51329820
111  45.71857050 -085.51517035
111  45.71942743 -085.51518807
113  45.71934493 -085.51817130
14  45.72086498 -085.51822027  82.02 0 New Tower Viewpoint 3
1300  45.72384742 -085.51814049 184.51 hangar props Hangar 22
1301 A none 
1300  45.72121575 -085.51624541 181.00 hangar props Hangar 21
1301 A none 
1300  45.72123155 -085.51650634 181.00 hangar props Hangar 20
1301 A none 
1300  45.72125989 -085.51778880 181.00 hangar props Hangar 19
1301 A none 
1300  45.71923702 -085.51434190 268.00 hangar props Hangar 18
1301 A none 
1300  45.71879067 -085.51417831   0.00 hangar props Hangar 17
1301 A none 
1300  45.71876932 -085.51460038   0.00 hangar props Hangar 16
1301 A none 
1300  45.71922906 -085.51491865   0.00 hangar props Hangar 15
1301 A none 
1300  45.71996624 -085.51544658   0.00 hangar props Hangar 14
1301 A none 
1300  45.71949071 -085.51791938 270.00 hangar props Hangar 13
1301 A none 
1300  45.71966926 -085.51993262   0.00 hangar props Hangar 12
1301 A none 
1300  45.71964748 -085.52021330   0.00 hangar props Hangar 11
1301 A none 
1300  45.71965701 -085.52071227   0.00 hangar props Hangar 10
1301 A none 
1300  45.71966109 -085.52098515   0.00 hangar props Hangar 09
1301 A none 
1300  45.71969737 -085.52143703   0.00 hangar props Hangar 08
1301 A none 
1300  45.71969464 -085.52176838   0.00 hangar props Hangar 07
1301 A none 
1300  45.71961657 -085.52215977   0.00 hangar props Hangar 06
1301 A none 
1300  45.71968677 -085.52260371   0.00 hangar props Hangar 05
1301 A none 
1300  45.71969085 -085.52303641   0.00 hangar props Hangar 04
1301 A none 
1300  45.71969766 -085.52333852   0.00 hangar props Hangar 03
1301 A none 
1300  45.71966636 -085.52373224   0.00 hangar props Hangar 02
1301 A none 
1300  45.71968949 -085.52413571   0.00 hangar props Hangar 01
1301 A none 
18  45.72086498 -085.51822027 1 New Airport Beacon 2
19  45.72086498 -085.51822027 0 New Windsock 1
50 11807 AWOS
51 12280 CTAF/UNICOM
99
