I
1050 Generated by WorldEditor 2.2.0r2

1   3703 0 0 2E5 Dell City Muni
111  31.94745288 -105.18446374
112  31.94745288 -105.18446374  31.94746522 -105.18438073
112  31.94751707 -105.18421422  31.94754767 -105.18413132
111  31.94751707 -105.18421422
112  31.94751707 -105.18421422  31.94751959 -105.18421049
112  31.94753798 -105.18420774  31.94755026 -105.18420723
111  31.94753798 -105.18420774
113  31.94753908 -105.18512073
110 1 0.00 0.0000 New Taxiway 1
111  31.94755065 -105.19933429
111  31.94729125 -105.19933410
111  31.94668331 -105.19933366
111  31.94668597 -105.19851186
111  31.94699620 -105.19851495
111  31.94707691 -105.19851576
111  31.94718853 -105.19851687
111  31.94719225 -105.19911053
112  31.94719225 -105.19911053  31.94721104 -105.19916699
112  31.94728328 -105.19918713  31.94733487 -105.19919017
111  31.94728328 -105.19918713
111  31.94729297 -105.19918714
111  31.94744168 -105.19918732
112  31.94744168 -105.19918732  31.94748811 -105.19916951
112  31.94750111 -105.19909163  31.94750296 -105.19904298
111  31.94750111 -105.19909163
111  31.94750058 -105.19898406
111  31.94753985 -105.19879643
113  31.94754941 -105.19867635
130 Airport Boundary
111  31.94817985 -105.20108658
111  31.94662595 -105.20106651
111  31.94660323 -105.18380355
113  31.94816849 -105.18380355
120 Linear Feature 10
111  31.94728240 -105.19159322 4
115  31.94728615 -105.19150733
120 Linear Feature 9
111  31.94729125 -105.19933410 4
115  31.94729297 -105.19918714
120 Linear Feature 8
111  31.94749325 -105.19156586 1
111  31.94753662 -105.19156329
112  31.94753662 -105.19156329  31.94757469 -105.19155945 1
112  31.94761071 -105.19144893  31.94761827 -105.19137929
111  31.94761071 -105.19144893 1
115  31.94761086 -105.19069014
120 Linear Feature 7
111  31.94729818 -105.19155172 1
111  31.94749325 -105.19156586 1
111  31.94752256 -105.19156798
112  31.94752256 -105.19156798  31.94757652 -105.19157603 1
112  31.94760700 -105.19168933  31.94760935 -105.19173106
111  31.94760700 -105.19168933 1
111  31.94761277 -105.19182190 1
115  31.94761341 -105.19244482
120 Linear Feature 6
111  31.94717407 -105.19926079 1
111  31.94737976 -105.19925993 1
111  31.94745022 -105.19925638
112  31.94745022 -105.19925638  31.94755720 -105.19922803 1
112  31.94761271 -105.19896056  31.94762730 -105.19884203
111  31.94761271 -105.19896056 1
111  31.94761566 -105.19888814 1
115  31.94761743 -105.19827053
14  31.94666008 -105.19121100  82.02 0 Tower Viewpoint
1300  31.94668728 -105.19140016   0.00 tie_down props GA Ramp 06
1301 A general_aviation 
1300  31.94668806 -105.19158382   0.00 tie_down props GA Ramp 05
1301 A general_aviation 
1300  31.94668830 -105.19176212   0.00 tie_down props GA Ramp 04
1301 A general_aviation 
1300  31.94672993 -105.19208211  90.00 tie_down props GA Ramp 03
1301 A general_aviation 
1300  31.94683559 -105.19208213  90.00 tie_down props GA Ramp 02
1301 A general_aviation 
1300  31.94694201 -105.19208340  90.00 tie_down props GA Ramp 01
1301 A general_aviation 
18  31.94666008 -105.19121100 1 Airport Beacon
19  31.94794235 -105.19132511 1 Windsock 1
51 12290 Dell City Unicom
99
