I
1050 Generated by WorldEditor 1.6.1r1

1   1789 0 0 CYQZ QUESNEL
111  53.02806957 -122.50773552
111  53.02799195 -122.50766382
113  53.02791241 -122.50788689
110 1 0.00 0.0000 New Taxiway 3
111  53.02564570 -122.50946912
111  53.02509651 -122.50893747
111  53.02539659 -122.50881290
111  53.02549417 -122.50853356
111  53.02585341 -122.50750526
111  53.02584089 -122.50714265
111  53.02612863 -122.50742534
111  53.02567510 -122.50870705
113  53.02558697 -122.50895688
110 2 0.00 0.0000 New Taxiway 4
111  53.02586932 -122.50638442
111  53.02598387 -122.50608128
112  53.02596250 -122.50601666  53.02593038 -122.50597982
111  53.02596250 -122.50601666
111  53.02597742 -122.50597520
111  53.02617193 -122.50616335
111  53.02619809 -122.50618962
111  53.02633075 -122.50632283
111  53.02619326 -122.50669888
111  53.02624742 -122.50675291
111  53.02633715 -122.50684243
111  53.02626179 -122.50705312
111  53.02630660 -122.50709479
111  53.02627326 -122.50719018
111  53.02622890 -122.50714504
111  53.02612863 -122.50742534
111  53.02584089 -122.50714265
113  53.02565408 -122.50696926
111  53.02631092 -122.50633179
111  53.02614954 -122.50617118
111  53.02610009 -122.50619030
111  53.02598726 -122.50649452
113  53.02618276 -122.50668827
111  53.02607249 -122.50618074
112  53.02607249 -122.50618074  53.02608629 -122.50614441
111  53.02606866 -122.50612182
111  53.02604719 -122.50609853
112  53.02600464 -122.50611956  53.02598854 -122.50616162
111  53.02600464 -122.50611956
111  53.02589545 -122.50640725
113  53.02596560 -122.50647495
110 1 0.00 0.0000 New Taxiway 12
111  53.01968167 -122.50364758
112  53.01986433 -122.50343075  53.01999849 -122.50337340
111  53.01986433 -122.50343075
112  53.01986433 -122.50343075  53.01992010 -122.50341345
112  53.02001094 -122.50344615  53.02010179 -122.50347885
111  53.02001094 -122.50344615
111  53.02007956 -122.50339035
111  53.02011365 -122.50329176
111  53.02070443 -122.50158328
112  53.02070443 -122.50158328  53.02077439 -122.50137299
111  53.02074248 -122.50118573
111  53.02081842 -122.50095421
111  53.02103678 -122.50116539
111  53.02094503 -122.50143125
111  53.02081473 -122.50152308
111  53.02066435 -122.50194193
111  53.02112818 -122.50191121
111  53.02130044 -122.50142260
111  53.02145845 -122.50156989
111  53.02136247 -122.50185343
111  53.02127032 -122.50177345
111  53.02117559 -122.50205511
111  53.02060560 -122.50209906
111  53.02016724 -122.50334533
111  53.02013384 -122.50344030
111  53.02012785 -122.50358049
111  53.02038468 -122.50434197
111  53.01968343 -122.50365406
111  53.01940706 -122.50443507
111  53.01928588 -122.50432103
113  53.01956658 -122.50353044
110 2 0.00 0.0000 New Taxiway 28
111  53.02596050 -122.50588052
111  53.02588090 -122.50580817
111  53.02592826 -122.50567440
113  53.02600743 -122.50574469
130 Airport Boundary 1
111  53.01967616 -122.51220783
111  53.02010057 -122.51100917
111  53.01311226 -122.50394067
111  53.01305870 -122.49831805
111  53.01450498 -122.49594851
111  53.01508596 -122.49577729
111  53.01571227 -122.49638693
111  53.01576584 -122.49634583
111  53.01888503 -122.49861301
111  53.02118776 -122.50022421
111  53.02269580 -122.50132880
111  53.02376203 -122.50226090
111  53.02566012 -122.50408854
111  53.02542405 -122.50477439
111  53.02533582 -122.50469510
111  53.02527399 -122.50488143
111  53.02521404 -122.50505928
111  53.02578411 -122.50562282
111  53.02586174 -122.50540158
111  53.02592022 -122.50545729
111  53.02598371 -122.50551777
111  53.02606054 -122.50559097
111  53.02630107 -122.50582601
111  53.02621808 -122.50604239
111  53.02624562 -122.50606923
111  53.02645185 -122.50627024
111  53.02668163 -122.50649420
111  53.02683039 -122.50608604
111  53.02707222 -122.50632695
111  53.02705029 -122.50638405
111  53.02792302 -122.50721660
111  53.02823063 -122.50751005
111  53.02828786 -122.50733163
111  53.02867416 -122.50767657
111  53.02883329 -122.50718932
111  53.03410911 -122.51238592
113  53.03421758 -122.52248237
120 Linear Feature 31
111  53.02472845 -122.50906574 1
111  53.02504307 -122.50936858 1
116  53.02539496 -122.50917816  53.02553157 -122.50881108
120 Linear Feature 30
111  53.02594693 -122.51025188 1
111  53.02547223 -122.50979073
112  53.02547223 -122.50979073  53.02525696 -122.50957507 1
111  53.02539496 -122.50917816 1
115  53.02603867 -122.50733534
120 Linear Feature 29
111  53.02549417 -122.50853356 4
115  53.02567510 -122.50870705
120 Linear Feature 26
111  53.02586986 -122.50695681 20
115  53.02577404 -122.50686254
120 Linear Feature 25
111  53.02586255 -122.50682470 20
115  53.02577563 -122.50698513
120 Linear Feature 24
111  53.02581317 -122.50701611 20
115  53.02582461 -122.50678797
120 Linear Feature 23
111  53.02591299 -122.50684528 20
115  53.02572772 -122.50696876
120 Linear Feature 22
111  53.02585389 -122.50705639 20
115  53.02578522 -122.50676827
120 Linear Feature 18
111  53.02011365 -122.50329176 4
115  53.02016724 -122.50334533
120 Linear Feature 17
111  53.02712210 -122.51011891 4
115  53.02717629 -122.51017098
120 Linear Feature 27
111  53.02511874 -122.50579996 20
111  53.02562038 -122.50630658 20
115  53.02577501 -122.50629274
120 Linear Feature 36
111  53.02622890 -122.50714504 20
115  53.02624742 -122.50675291
21  53.03063165 -122.51383709 2 149.3400 3.00 13  PAPI-4L
21  53.02145114 -122.50691419 2 329.6500 3.00 31  PAPI-4L
14  53.02612387 -122.50594078  29.53 0 New Tower Viewpoint 1
1300  53.02128321 -122.50165002 185.52 gate jets|turboprops South Ramp 01
1301 A cargo 
1300  53.02083016 -122.50123380 185.52 gate jets|turboprops South Ramp 02
1301 A cargo 
1300  53.02801380 -122.50819290 150.34 gate jets|turboprops Cargo
1301 A cargo 
1300  53.02584188 -122.50658030 148.53 gate jets|turboprops Gate 01
1301 A airline 
1300  53.02617009 -122.50686045  93.69 gate jets|turboprops Gate 02
1301 A airline 
1300  53.02444998 -122.50517560  58.39 tie_down props GA 06
1301 A general_aviation 
1300  53.02443161 -122.50559514  58.39 tie_down props GA 11
1301 A general_aviation 
1300  53.02455619 -122.50528314  58.39 tie_down props GA 05
1301 A general_aviation 
1300  53.02442271 -122.50602846  58.39 tie_down props GA 15
1301 A general_aviation 
1300  53.02453862 -122.50570268  58.39 tie_down props GA 10
1301 A general_aviation 
1300  53.02466320 -122.50539068  58.39 tie_down props GA 04
1301 A general_aviation 
1300  53.02452972 -122.50613866  58.39 tie_down props GA 14
1301 A general_aviation 
1300  53.02464563 -122.50581288  58.39 tie_down props GA 09
1301 A general_aviation 
1300  53.02477021 -122.50550088  58.39 tie_down props GA 03
1301 A general_aviation 
1300  53.02463593 -122.50624620  58.39 tie_down props GA 13
1301 A general_aviation 
1300  53.02475184 -122.50592042  58.39 tie_down props GA 08
1301 A general_aviation 
1300  53.02487642 -122.50560842  58.39 tie_down props GA 02
1301 A general_aviation 
1300  53.02442475 -122.50645239  58.39 tie_down props GA 18
1301 A general_aviation 
1300  53.02453239 -122.50656022  58.39 tie_down props GA 17
1301 A general_aviation 
1300  53.02463726 -122.50666576  58.39 tie_down props GA 16
1301 A general_aviation 
1300  53.02474214 -122.50635374  58.39 tie_down props GA 12
1301 A general_aviation 
1300  53.02485805 -122.50602797  58.39 tie_down props GA 07
1301 A general_aviation 
1300  53.02498263 -122.50571596  58.39 tie_down props GA 01
1301 A general_aviation 
18  53.02704210 -122.50823130 1 New Airport Beacon 1
19  53.02549653 -122.50771682 1 WS
19  53.02029241 -122.50639522 1 WS
50 12440 AWOS
54 12220 WILLIAMS LAKE RDO
99
