I
1050 Generated by WorldEditor 2.0.0r4

1    867 0 0 K12Y Le Sueur Muni
113  44.44004298 -093.91287478
110 2 0.00 0.0000 New Taxiway 19
111  44.44004086 -093.91296397
111  44.44003230 -093.91297498
111  44.44002443 -093.91296435
113  44.44003322 -093.91295352
110 2 0.00 0.0000 New Taxiway 19
111  44.44008081 -093.91292478
111  44.44007225 -093.91293580
111  44.44006438 -093.91292517
113  44.44007316 -093.91291433
110 2 0.00 0.0000 New Taxiway 19
111  44.44007136 -093.91300491
111  44.44006280 -093.91301592
111  44.44005494 -093.91300529
113  44.44006372 -093.91299446
110 2 0.00 0.0000 New Taxiway 19
111  44.44012765 -093.91299118
111  44.44011909 -093.91300219
111  44.44011122 -093.91299156
113  44.44012001 -093.91298072
110 2 0.00 0.0000 New Taxiway 19
111  44.44010448 -093.91305102
111  44.44009592 -093.91306204
111  44.44008805 -093.91305141
113  44.44009684 -093.91304057
110 2 0.00 0.0000 New Taxiway 19
111  44.44016105 -093.91303840
111  44.44015249 -093.91304941
111  44.44014463 -093.91303878
113  44.44015341 -093.91302794
110 2 0.00 0.0000 New Taxiway 19
111  44.44015130 -093.91311713
111  44.44014274 -093.91312815
111  44.44013487 -093.91311752
113  44.44014366 -093.91310668
110 2 0.00 0.0000 New Taxiway 19
111  44.44019358 -093.91308507
111  44.44018502 -093.91309608
111  44.44017716 -093.91308546
113  44.44018594 -093.91307462
110 2 0.00 0.0000 New Taxiway 19
111  44.44018398 -093.91316395
111  44.44017542 -093.91317496
111  44.44016755 -093.91316433
113  44.44017634 -093.91315350
110 2 0.00 0.0000 New Taxiway 19
111  44.44024036 -093.91315000
111  44.44023180 -093.91316101
111  44.44022393 -093.91315039
113  44.44023272 -093.91313955
110 2 0.00 0.0000 New Taxiway 19
111  44.44021660 -093.91321010
111  44.44020804 -093.91322111
111  44.44020017 -093.91321049
113  44.44020896 -093.91319965
110 2 0.00 0.0000 New Taxiway 19
111  44.44027306 -093.91319682
111  44.44026450 -093.91320783
111  44.44025664 -093.91319720
113  44.44026542 -093.91318637
110 2 0.00 0.0000 New Taxiway 19
111  44.44026421 -093.91327533
111  44.44025565 -093.91328634
111  44.44024778 -093.91327572
113  44.44025657 -093.91326488
110 2 0.00 0.0000 New Taxiway 19
111  44.44030637 -093.91324269
111  44.44029782 -093.91325370
111  44.44028995 -093.91324308
113  44.44029873 -093.91323224
110 2 0.00 0.0000 New Taxiway 19
111  44.44029685 -093.91332109
111  44.44028829 -093.91333211
111  44.44028042 -093.91332148
113  44.44028921 -093.91331064
110 2 0.00 0.0000 New Taxiway 19
111  44.44035282 -093.91330775
111  44.44034426 -093.91331876
111  44.44033640 -093.91330813
113  44.44034518 -093.91329730
110 2 0.00 0.0000 New Taxiway 19
111  44.44032995 -093.91336707
111  44.44032139 -093.91337808
111  44.44031353 -093.91336745
113  44.44032231 -093.91335662
110 2 0.00 0.0000 New Taxiway 19
111  44.44038588 -093.91335383
111  44.44037732 -093.91336484
111  44.44036945 -093.91335421
113  44.44037824 -093.91334338
110 2 0.00 0.0000 New Taxiway 19
111  44.44037628 -093.91343254
111  44.44036772 -093.91344355
111  44.44035986 -093.91343292
113  44.44036864 -093.91342208
110 2 0.00 0.0000 New Taxiway 19
111  44.44041887 -093.91339953
111  44.44041031 -093.91341054
111  44.44040244 -093.91339992
113  44.44041123 -093.91338908
110 2 0.00 0.0000 New Taxiway 19
111  44.44040969 -093.91347842
111  44.44040113 -093.91348943
111  44.44039326 -093.91347880
113  44.44040205 -093.91346797
110 2 0.00 0.0000 New Taxiway 19
111  44.44046588 -093.91346424
111  44.44045732 -093.91347526
111  44.44044946 -093.91346463
113  44.44045824 -093.91345379
110 2 0.00 0.0000 New Taxiway 18
111  44.44033592 -093.91361130
111  44.44032932 -093.91360269
111  44.44033558 -093.91359481
113  44.44034230 -093.91360301
110 2 0.00 0.0000 New Taxiway 17
111  44.44040667 -093.91397052
111  44.44039937 -093.91396127
111  44.44040563 -093.91395217
113  44.44041304 -093.91396135
110 2 0.00 0.0000 New Taxiway 16
111  44.43908124 -093.91194149
111  44.43907430 -093.91193328
111  44.43908160 -093.91192328
113  44.43908822 -093.91193177
110 2 0.00 0.0000 New Taxiway 15
111  44.43902793 -093.91202055
111  44.43902020 -093.91203004
111  44.43901310 -093.91202083
113  44.43902095 -093.91201144
110 2 0.00 0.0000 New Taxiway 14
111  44.43967047 -093.91275224
111  44.43966372 -093.91274353
111  44.43967050 -093.91273543
113  44.43967713 -093.91274376
110 2 0.00 0.0000 New Taxiway 13
111  44.43960700 -093.91283452
111  44.43960089 -093.91282687
111  44.43960782 -093.91281856
113  44.43961390 -093.91282621
110 2 0.00 0.0000 New Taxiway 12
111  44.44019728 -093.91239655
111  44.44015789 -093.91245209
111  44.44011848 -093.91240038
113  44.44015699 -093.91234520
110 2 0.00 0.0000 New Taxiway 11
111  44.43931811 -093.91134640
111  44.43940578 -093.91137703
111  44.43941204 -093.91134801
111  44.43943748 -093.91135985
111  44.43943164 -093.91138607
111  44.43946123 -093.91139641
111  44.43943105 -093.91158475
111  44.43940886 -093.91163902
111  44.43939761 -093.91163070
111  44.43936572 -093.91182180
111  44.43930718 -093.91180213
112  44.43930718 -093.91180213  44.43932344 -093.91171133
111  44.43927284 -093.91169867
111  44.43927397 -093.91169106
111  44.43917675 -093.91165882
112  44.43917675 -093.91165882  44.43918437 -093.91163943
112  44.43919880 -093.91159610  44.43920576 -093.91157373
111  44.43919880 -093.91159610
111  44.43924327 -093.91161021
111  44.43924394 -093.91160267
112  44.43930484 -093.91154398  44.43931685 -093.91147212
111  44.43930484 -093.91154398
113  44.43928673 -093.91153813
110 2 0.00 0.0000 New Taxiway 10
111  44.43904501 -093.91071816
111  44.43900749 -093.91072113
111  44.43900513 -093.91065797
111  44.43897172 -093.91066069
111  44.43896933 -093.91061781
111  44.43900354 -093.91061557
111  44.43900142 -093.91055902
111  44.43903787 -093.91055522
111  44.43904076 -093.91062112
113  44.43904264 -093.91066411
110 2 0.00 0.0000 New Taxiway 9
111  44.43900684 -093.91077850
111  44.43904526 -093.91077681
111  44.43904725 -093.91083068
111  44.43904904 -093.91087911
111  44.43905084 -093.91092780
111  44.43901213 -093.91092975
111  44.43901072 -093.91088957
111  44.43896414 -093.91089205
111  44.43896166 -093.91082903
113  44.43900858 -093.91082835
110 2 0.00 0.0000 New Taxiway 8
111  44.43885585 -093.91100401
111  44.43886557 -093.91099059
111  44.43903888 -093.91098766
111  44.43904003 -093.91108608
111  44.43912383 -093.91108234
111  44.43912450 -093.91114755
111  44.43904079 -093.91115147
111  44.43904184 -093.91124167
111  44.43885940 -093.91124622
111  44.43885813 -093.91115937
111  44.43879915 -093.91115902
112  44.43879915 -093.91115902  44.43880216 -093.91113659
112  44.43880551 -093.91108526  44.43880682 -093.91105807
111  44.43880551 -093.91108526
113  44.43885705 -093.91108559
110 2 0.00 0.0000 New Taxiway 7
111  44.43886037 -093.91058546
111  44.43896234 -093.91057427
111  44.43897201 -093.91077114
111  44.43887000 -093.91078321
111  44.43886764 -093.91073485
113  44.43886538 -093.91068829
110 2 0.00 0.0000 New Taxiway 6
111  44.43885822 -093.91023049
111  44.43899118 -093.91022776
111  44.43899426 -093.91047219
111  44.43885740 -093.91047508
111  44.43885779 -093.91035934
113  44.43885797 -093.91030501
110 2 0.00 0.0000 New Taxiway 5
111  44.43885041 -093.90991177
111  44.43896601 -093.90990984
111  44.43896858 -093.91006478
111  44.43885367 -093.91006838
111  44.43885257 -093.91001549
111  44.43880435 -093.91001449
111  44.43880383 -093.90996311
113  44.43885149 -093.90996344
110 2 0.00 0.0000 New Taxiway 4
111  44.43884449 -093.90965945
111  44.43899102 -093.90965743
111  44.43899185 -093.90986151
111  44.43884576 -093.90986482
111  44.43884531 -093.90979168
111  44.43880212 -093.90979210
111  44.43880127 -093.90973354
113  44.43884495 -093.90973363
110 2 0.00 0.0000 New Taxiway 3
111  44.43863716 -093.90960976
111  44.43863782 -093.90966373
111  44.43869161 -093.90966351
111  44.43869177 -093.90970903
111  44.43863838 -093.90970857
111  44.43863901 -093.90976029
111  44.43859385 -093.90976109
111  44.43859341 -093.90971886
111  44.43855274 -093.90971912
111  44.43855310 -093.90965880
111  44.43859278 -093.90965820
113  44.43859228 -093.90960956
110 2 0.00 0.0000 New Taxiway 2
111  44.43863908 -093.90997730
111  44.43860030 -093.90997754
111  44.43859979 -093.90992933
111  44.43856035 -093.90992950
111  44.43856020 -093.90987862
111  44.43859925 -093.90987829
111  44.43859871 -093.90982832
111  44.43863679 -093.90982952
111  44.43863755 -093.90987896
111  44.43869353 -093.90987960
111  44.43869381 -093.90992758
113  44.43863832 -093.90992842
110 2 0.00 0.0000 New Taxiway 1
111  44.43864571 -093.91022196
111  44.43854212 -093.91022339
111  44.43854055 -093.91005141
111  44.43864363 -093.91005285
111  44.43864434 -093.91011052
113  44.43864490 -093.91015606
110 2 0.00 0.0000 New Taxiway 2
111  44.43864311 -093.91046200
111  44.43859858 -093.91046155
111  44.43859858 -093.91041165
111  44.43855800 -093.91041212
111  44.43855795 -093.91034430
111  44.43859858 -093.91034327
111  44.43859858 -093.91028943
111  44.43864174 -093.91029005
111  44.43864223 -093.91035134
113  44.43864261 -093.91039858
110 2 0.00 0.0000 New Taxiway 1
111  44.43865008 -093.91075787
111  44.43851210 -093.91076247
111  44.43850997 -093.91052880
111  44.43864758 -093.91052709
111  44.43864823 -093.91058729
111  44.43869727 -093.91058649
111  44.43869760 -093.91065522
113  44.43864899 -093.91065741
110 1 0.00 0.0000 New Taxiway 22
111  44.44352303 -093.91931579 102
111  44.44377932 -093.91926695 102
111  44.44392804 -093.91947422 102
113  44.44388383 -093.91981663
110 1 0.00 0.0000 New Taxiway 21
111  44.43805978 -093.91169800 102
111  44.43822100 -093.91147013 102
111  44.43849287 -093.91108582 102
111  44.43860143 -093.91123678
112  44.43860143 -093.91123678  44.43866884 -093.91130792
112  44.43870032 -093.91098972  44.43870146 -093.91085058
111  44.43870032 -093.91098972
111  44.43869760 -093.91065522
111  44.43869727 -093.91058649
111  44.43869637 -093.91039765
111  44.43864261 -093.91039858
111  44.43864223 -093.91035134
111  44.43869624 -093.91034910
111  44.43869548 -093.91015580
111  44.43864490 -093.91015606
111  44.43864434 -093.91011052
111  44.43869561 -093.91010901
111  44.43869381 -093.90992758
111  44.43869353 -093.90987960
111  44.43869177 -093.90970903
111  44.43869161 -093.90966351
111  44.43869238 -093.90956613
111  44.43880057 -093.90956431
111  44.43880127 -093.90973354
111  44.43880212 -093.90979210
111  44.43880383 -093.90996311
111  44.43880435 -093.91001449
111  44.43880723 -093.91030224
111  44.43885797 -093.91030501
111  44.43885779 -093.91035934
111  44.43880736 -093.91035993
111  44.43880747 -093.91069017
111  44.43886538 -093.91068829
111  44.43886764 -093.91073485
111  44.43880736 -093.91073558
111  44.43880759 -093.91097727
112  44.43880759 -093.91097727  44.43880758 -093.91101864
112  44.43880551 -093.91108526  44.43880399 -093.91111655
111  44.43880551 -093.91108526
112  44.43880551 -093.91108526  44.43880419 -093.91111245
112  44.43879915 -093.91115902  44.43879614 -093.91118145
111  44.43879915 -093.91115902
112  44.43879915 -093.91115902  44.43879065 -093.91122232
112  44.43874426 -093.91133747  44.43871419 -093.91140303
111  44.43874426 -093.91133747
112  44.43874426 -093.91133747  44.43871940 -093.91139042
111  44.43874170 -093.91143824
111  44.43894815 -093.91172744
112  44.43894815 -093.91172744  44.43896887 -093.91175143
111  44.43899872 -093.91172350
112  44.43899872 -093.91172350  44.43909989 -093.91161169
112  44.43912995 -093.91132060  44.43912812 -093.91119472
111  44.43912995 -093.91132060
111  44.43912450 -093.91114755
111  44.43912383 -093.91108234
111  44.43912040 -093.91087165
111  44.43904904 -093.91087911
111  44.43904725 -093.91083068
111  44.43911964 -093.91082504
111  44.43911690 -093.91065632
111  44.43904264 -093.91066411
111  44.43904076 -093.91062112
111  44.43911611 -093.91060771
111  44.43911528 -093.91055674
111  44.43922798 -093.91056024
111  44.43923821 -093.91133754
112  44.43923821 -093.91133754  44.43923865 -093.91143557
112  44.43919880 -093.91159610  44.43917617 -093.91166886
111  44.43919880 -093.91159610
112  44.43919880 -093.91159610  44.43919184 -093.91161847
112  44.43917675 -093.91165882  44.43916912 -093.91167822
111  44.43917675 -093.91165882
112  44.43917675 -093.91165882  44.43914926 -093.91172349
111  44.43909117 -093.91181848
112  44.43909117 -093.91181848  44.43905822 -093.91187647
111  44.43908821 -093.91192133
111  44.43966745 -093.91272748
112  44.43966745 -093.91272748  44.43969912 -093.91276628
111  44.43974247 -093.91275450
111  44.43997427 -093.91242516
111  44.44003412 -093.91234012
111  44.44007245 -093.91239848
111  44.44014178 -093.91230107
111  44.44022664 -093.91241488
111  44.44017568 -093.91249011
111  44.44022638 -093.91255967
111  44.44030700 -093.91267076
111  44.44028781 -093.91269715
111  44.44045744 -093.91293209
111  44.44076996 -093.91249243
111  44.44096315 -093.91276246
111  44.44098967 -093.91280027
111  44.44108299 -093.91293025
111  44.44110969 -093.91296745
111  44.44114463 -093.91301611
112  44.44114463 -093.91301611  44.44116330 -093.91303387
111  44.44119832 -093.91302223
111  44.44151445 -093.91283258
112  44.44151445 -093.91283258  44.44158219 -093.91276116
111  44.44153133 -093.91267812
111  44.44143905 -093.91254998
111  44.44136226 -093.91244335
111  44.44107820 -093.91204779
111  44.44098968 -093.91192509
111  44.44090402 -093.91180278
111  44.44087594 -093.91176589
111  44.44060870 -093.91139700
111  44.44069261 -093.91129154
111  44.44075125 -093.91137305
111  44.44078006 -093.91141310
111  44.44097738 -093.91168522
111  44.44106074 -093.91180018
111  44.44111646 -093.91187703
111  44.44114713 -093.91191911
111  44.44146986 -093.91237397
111  44.44156706 -093.91250919
111  44.44158978 -093.91254018
111  44.44167606 -093.91266199
112  44.44167606 -093.91266199  44.44167925 -093.91266636
112  44.44168919 -093.91267378  44.44169354 -093.91267660
111  44.44168919 -093.91267378
112  44.44168919 -093.91267378  44.44172223 -093.91269450
111  44.44179250 -093.91267094
111  44.44183011 -093.91280800
111  44.44080640 -093.91342576
111  44.44052898 -093.91380825
112  44.44052898 -093.91380825  44.44049621 -093.91385800
111  44.44051923 -093.91391228
111  44.44057508 -093.91398615
111  44.44049101 -093.91409724
111  44.43980390 -093.91314012
112  44.43980390 -093.91314012  44.43971621 -093.91302294 102
111  44.43962450 -093.91313444 102
111  44.43952405 -093.91327386 102
111  44.43944451 -093.91338428
112  44.43944451 -093.91338428  44.43937814 -093.91351860
111  44.43945606 -093.91364619
111  44.43918303 -093.91326478 102
112  44.43937131 -093.91326760  44.43946858 -093.91315315
111  44.43937131 -093.91326760 102
111  44.43944600 -093.91316672 102
111  44.43953809 -093.91303923
112  44.43953809 -093.91303923  44.43962486 -093.91290207 102
111  44.43955015 -093.91278377
111  44.43856948 -093.91142167
112  44.43856948 -093.91142167  44.43848738 -093.91133155 102
111  44.43840216 -093.91143560 102
111  44.43829901 -093.91157786 102
111  44.43822142 -093.91168620
112  44.43822142 -093.91168620  44.43815634 -093.91179985 102
113  44.43821719 -093.91191826
130 Airport Boundary 20
111  44.44383535 -093.92123658
111  44.44249072 -093.91927238
111  44.44249846 -093.91914243
111  44.44198815 -093.91856846
111  44.43745298 -093.91208056
111  44.43736272 -093.91129745
111  44.43759577 -093.91085487
111  44.43847941 -093.91084320
111  44.43848613 -093.90926087
111  44.43947302 -093.90927778
111  44.43947570 -093.91016892
111  44.43973880 -093.91106758
111  44.44016040 -093.91155962
111  44.44060337 -093.91095745
111  44.44102981 -093.91095892
111  44.44206599 -093.91240704
111  44.44212632 -093.91419060
111  44.44073908 -093.91406256
111  44.44068719 -093.91413087
111  44.44497285 -093.92012682
111  44.44459799 -093.92067715
113  44.44442789 -093.92117532
120 Runway Hold 31
111  44.43822100 -093.91147013 54
115  44.43829901 -093.91157786
120 Runway Hold 13
111  44.43944600 -093.91316672 54
115  44.43952405 -093.91327386
120 Linear Feature 43
111  44.43998471 -093.91289846 1
111  44.44000823 -093.91293134 1
115  44.44003319 -093.91296624
120 Linear Feature 43
111  44.44009600 -093.91305119 1
111  44.44011952 -093.91308407 1
115  44.44014448 -093.91311897
120 Linear Feature 43
111  44.44020852 -093.91321026 1
111  44.44023203 -093.91324315 1
115  44.44025699 -093.91327804
120 Linear Feature 43
111  44.44032086 -093.91336701 1
111  44.44034438 -093.91339989 1
115  44.44036934 -093.91343479
120 Linear Feature 43
111  44.44011891 -093.91299177 1
111  44.44009567 -093.91295973 1
115  44.44007101 -093.91292573
120 Linear Feature 43
111  44.44023226 -093.91314987 1
111  44.44020902 -093.91311782 1
115  44.44018436 -093.91308382
120 Linear Feature 43
111  44.44034487 -093.91330822 1
111  44.44032163 -093.91327618 1
115  44.44029696 -093.91324217
120 Linear Feature 43
111  44.44045812 -093.91346537 1
111  44.44043488 -093.91343333 1
115  44.44041022 -093.91339932
120 Linear Feature 42
111  44.44004280 -093.91288412 1
115  44.44000823 -093.91293134
120 Linear Feature 42
111  44.44015409 -093.91303686 1
115  44.44011952 -093.91308407
120 Linear Feature 42
111  44.44026661 -093.91319593 1
115  44.44023203 -093.91324315
120 Linear Feature 42
111  44.44037895 -093.91335268 1
115  44.44034438 -093.91339989
120 Linear Feature 42
111  44.44006151 -093.91300574 1
115  44.44009567 -093.91295973
120 Linear Feature 42
111  44.44017486 -093.91316383 1
115  44.44020902 -093.91311782
120 Linear Feature 42
111  44.44028746 -093.91332218 1
115  44.44032163 -093.91327618
120 Linear Feature 42
111  44.44040072 -093.91347933 1
115  44.44043488 -093.91343333
120 Linear Feature 41
112  44.44004208 -093.91261303  44.43996117 -093.91253499 1
115  44.43997427 -093.91242516
120 Linear Feature 40
111  44.44022638 -093.91255967 1
116  44.44005686 -093.91262338  44.43995047 -093.91257233
120 Linear Feature 39
112  44.43938782 -093.91335198  44.43927558 -093.91354982 1
111  44.43939519 -093.91373791 1
115  44.43977041 -093.91425898
120 Linear Feature 36
112  44.44058786 -093.91335565  44.44065899 -093.91346274 1
115  44.44060769 -093.91358466
120 Linear Feature 35
111  44.43873627 -093.91281524 1
111  44.43912006 -093.91334985
112  44.43912006 -093.91334985  44.43925129 -093.91350924 1
111  44.43938782 -093.91335198 1
111  44.43958607 -093.91307947 1
111  44.43978486 -093.91279948 1
111  44.43989403 -093.91264571
112  44.43989403 -093.91264571  44.43995109 -093.91257736 1
112  44.44004208 -093.91261303  44.44007724 -093.91263471
111  44.44004208 -093.91261303
112  44.44004208 -093.91261303  44.44004753 -093.91261639 1
112  44.44005686 -093.91262338  44.44006125 -093.91262683
111  44.44005686 -093.91262338
112  44.44005686 -093.91262338  44.44007093 -093.91263445 1
111  44.44007915 -093.91264456 1
111  44.44058786 -093.91335565
112  44.44058786 -093.91335565  44.44062876 -093.91340836 1
116  44.44077504 -093.91337074  44.44085674 -093.91330543
120 Linear Feature 38
111  44.43984180 -093.91308279 1
112  44.43958607 -093.91307947  44.43944337 -093.91321457
111  44.43958607 -093.91307947
112  44.43958607 -093.91307947  44.43967735 -093.91290506 1
115  44.43959683 -093.91274004
120 Linear Feature 37
111  44.43963231 -093.91278968 1
112  44.43978486 -093.91279948  44.43986068 -093.91272546
111  44.43978486 -093.91279948
112  44.43978486 -093.91279948  44.43973448 -093.91291017 1
115  44.43978757 -093.91300692
120 Linear Feature 34
111  44.43812107 -093.91179926 1
112  44.43817195 -093.91164783  44.43821661 -093.91157000
111  44.43817195 -093.91164783 1
111  44.43837013 -093.91136940
112  44.43837013 -093.91136940  44.43850741 -093.91124139 1
111  44.43861715 -093.91137519 1
111  44.43959683 -093.91274004 1
111  44.43963231 -093.91278968 1
111  44.43978757 -093.91300692 1
111  44.43984180 -093.91308279 1
111  44.44031628 -093.91374668
112  44.44031628 -093.91374668  44.44040548 -093.91385626 1
111  44.44049715 -093.91373881 1
111  44.44060769 -093.91358466 1
111  44.44072115 -093.91342645
112  44.44072115 -093.91342645  44.44073834 -093.91340496 1
112  44.44077504 -093.91337074  44.44079263 -093.91335535
111  44.44077504 -093.91337074
112  44.44077504 -093.91337074  44.44080766 -093.91334219 1
111  44.44083500 -093.91332545 1
115  44.44153830 -093.91289787
21  44.43950701 -093.91455210 2 315.1400 2.75 PAPI-L 31
21  44.44282695 -093.91790583 2 135.1400 2.75 PAPI-L 13
14  44.44057678 -093.91255952  82.02 0 New Tower Viewpoint 12
1300  44.44110904 -093.91293229 226.32 misc helos Helicopter Ramp 03
1301 A none 
1300  44.44098909 -093.91276334 226.32 misc helos Helicopter Ramp 02
1301 A none 
1300  44.44074406 -093.91277977  46.88 misc helos Helicopter Ramp 01
1301 A none 
1300  44.44034438 -093.91339989 225.17 tie_down props GA Tie Down 08
1301 A general_aviation 
1300  44.44023203 -093.91324315 225.17 tie_down props GA Tie Down 07
1301 A general_aviation 
1300  44.44011952 -093.91308407 225.17 tie_down props GA Tie Down 06
1301 A general_aviation 
1300  44.44000823 -093.91293134 225.17 tie_down props GA Tie Down 05
1301 A general_aviation 
1300  44.44009567 -093.91295973  44.88 tie_down props GA Tie Down 04
1301 A general_aviation 
1300  44.44020902 -093.91311782  44.88 tie_down props GA Tie Down 03
1301 A general_aviation 
1300  44.44032163 -093.91327618  44.88 tie_down props GA Tie Down 02
1301 A general_aviation 
1300  44.44043488 -093.91343333  44.88 tie_down props GA Tie Down 01
1301 A general_aviation 
1300  44.44168772 -093.91254614 226.46 hangar props GA Hangar 22
1301 A none 
1300  44.44156787 -093.91237927 226.46 hangar props GA Hangar 21
1301 A none 
1300  44.44118226 -093.91182935 226.46 hangar props GA Hangar 20
1301 A none 
1300  44.44107881 -093.91166423 226.52 hangar props GA Hangar 19
1301 A none 
1300  44.44081973 -093.91131817 226.52 hangar props GA Hangar 18
1301 A none 
1300  44.44083005 -093.91187192  46.41 hangar props GA Hangar 17
1301 A none 
1300  44.44098644 -093.91204769  46.41 hangar props GA Hangar 16
1301 A none 
1300  44.44136034 -093.91256915  46.41 hangar props GA Hangar 15
1301 A none 
1300  44.44043353 -093.91272678 225.57 hangar turboprops|props GA Hangar 14
1301 B none 
1300  44.43936524 -093.91153238 257.25 hangar props GA Hangar 13
1301 A none 
1300  44.43902136 -093.91063790   2.97 hangar props GA Hangar 12
1301 A none 
1300  44.43902750 -093.91085666   2.97 hangar props GA Hangar 11
1301 A none 
1300  44.43890163 -093.91112103 180.00 hangar props GA Hangar 10
1301 A none 
1300  44.43889010 -093.91070752 184.24 hangar props GA Hangar 09
1301 A none 
1300  44.43888041 -093.91033213 180.00 hangar props GA Hangar 08
1301 A none 
1300  44.43887683 -093.90999072 180.00 hangar props GA Hangar 07
1301 A none 
1300  44.43887120 -093.90976192 180.00 hangar props GA Hangar 06
1301 A none 
1300  44.43861767 -093.90968541   0.00 hangar props GA Hangar 05
1301 A none 
1300  44.43861635 -093.90990309   0.00 hangar props GA Hangar 04
1301 A none 
1300  44.43862104 -093.91013321   0.00 hangar props GA Hangar 03
1301 A none 
1300  44.43862232 -093.91037647   0.00 hangar props GA Hangar 02
1301 A none 
1300  44.43862647 -093.91062593   0.00 hangar props GA Hangar 01
1301 A none 
18  44.44025765 -093.91171274 1 New Airport Beacon 13
19  44.43972736 -093.91252339 1 New Windsock 10
51 12290 Le Sueur Unicom
99
