I
1050 Generated by WorldEditor 2.1.0r1

1   2168 0 0 CEB5 Fairview
111  56.07760457 -118.43930273
111  56.07767581 -118.43909265
111  56.07782286 -118.43865900
111  56.07790161 -118.43842676
111  56.07794476 -118.43829953
111  56.07801308 -118.43809805
111  56.07807379 -118.43791902
111  56.07813419 -118.43774089
111  56.07828497 -118.43729626
111  56.07846282 -118.43748642
111  56.07779784 -118.43948774
111  56.07776559 -118.43958480
111  56.07794692 -118.43978500
111  56.07772301 -118.44044084
111  56.07772722 -118.44060090
111  56.07799309 -118.44046260
111  56.07802882 -118.44036727
113  56.07808934 -118.44034106
111  56.07868805 -118.44057234
111  56.07868961 -118.44056774
111  56.07858475 -118.44045943
111  56.07813448 -118.44066121
111  56.07776698 -118.44082591
112  56.07776698 -118.44082591  56.07774872 -118.44084514
111  56.07773403 -118.44088325
111  56.07740204 -118.44185210
111  56.07731062 -118.44211889
111  56.07727153 -118.44223297
112  56.07727153 -118.44223297  56.07727018 -118.44224761
111  56.07727580 -118.44225921
111  56.07771665 -118.44269997
112  56.07771665 -118.44269997  56.07798688 -118.44285665
111  56.07813618 -118.44248138
111  56.07832534 -118.44192449
111  56.07838013 -118.44156442
113  56.07869073 -118.44057526
130 Airport Boundary 
111  56.07603854 -118.44258382
111  56.07821765 -118.43597142
111  56.07908248 -118.43683796
111  56.07935683 -118.43665235
111  56.08244707 -118.42754599
111  56.08238347 -118.42747532
111  56.08244681 -118.42729284
111  56.08250836 -118.42736216
111  56.08382594 -118.42348615
111  56.08497909 -118.42472107
111  56.07841534 -118.44402120
113  56.07677885 -118.44400992
120 HS
111  56.07813448 -118.44066121 4
115  56.07808934 -118.44034106
120 Linear Feature 15
111  56.07772869 -118.44072016 1
111  56.07883401 -118.44022576
112  56.07883401 -118.44022576  56.07891593 -118.44015415 1
111  56.07897243 -118.44004326 1
115  56.07915881 -118.43949596
120 Linear Feature 14
111  56.07731062 -118.44211889 1
111  56.07725663 -118.44205912 1
111  56.07734834 -118.44179236 1
115  56.07740204 -118.44185210
120 Linear Feature 13
111  56.07710762 -118.44217420 1
111  56.07714123 -118.44207384 1
111  56.07698858 -118.44190830 1
115  56.07695385 -118.44200863
120 Linear Feature 12
111  56.07690984 -118.44142175 1
111  56.07703198 -118.44155137 1
111  56.07724723 -118.44091846 1
115  56.07712347 -118.44078788
14  56.07696384 -118.44083058  15.00 0 Tower
1300  56.07716047 -118.44057415 -31.33 hangar props Hangar 1
1301 A none 
1300  56.07728152 -118.44020735 -31.33 hangar props Hangar 2
1301 A none 
1300  56.07740308 -118.43985129 -31.33 hangar props Hangar 3
1301 A none 
1300  56.07752799 -118.43950295 -31.33 hangar props Hangar 4
1301 A none 
1300  56.07763077 -118.43918477 -31.33 hangar props Hangar 5
1301 A none 
1300  56.07784131 -118.43851834 -31.33 hangar turboprops|props Hangar 6
1301 A none 
1300  56.07796892 -118.43818648 -31.33 hangar props Hangar 7
1301 A none 
1300  56.07809414 -118.43781794 -31.33 hangar props Hangar 8
1301 A none 
1300  56.07739744 -118.44164048 147.83 tie_down props Tie-Down 1
1301 A general_aviation 
1300  56.07746766 -118.44143913 147.83 tie_down props Tie-Down 2
1301 A general_aviation 
1300  56.07753658 -118.44124046 147.83 tie_down props Tie-Down 3
1301 A general_aviation 
1300  56.07760610 -118.44104179 147.83 tie_down props Tie-Down 4
1301 A general_aviation 
1300  56.07771132 -118.44024723 148.50 tie_down props Tie-Down 5
1301 A general_aviation 
1300  56.07778141 -118.44004402 148.50 tie_down props Tie-Down 6
1301 A general_aviation 
1300  56.07785195 -118.43984031 148.50 tie_down props Tie-Down 7
1301 A general_aviation 
1300  56.07788604 -118.43944722  58.42 tie_down props Grass Apron 1
1301 A general_aviation 
1300  56.07799466 -118.43956580  58.42 tie_down props Grass Apron 2
1301 A general_aviation 
1300  56.07809001 -118.43946999 148.29 tie_down props Grass Apron 3
1301 A general_aviation 
1300  56.07815951 -118.43926938 148.29 tie_down props Grass Apron 4
1301 A general_aviation 
1300  56.07822819 -118.43907026 148.29 tie_down props Grass Apron 5
1301 A general_aviation 
1300  56.07829800 -118.43886896 148.29 tie_down props Grass Apron 6
1301 A general_aviation 
1300  56.07836692 -118.43866760 148.29 tie_down props Grass Apron 7
1301 A general_aviation 
1300  56.07843734 -118.43846445 148.29 tie_down props Grass Apron 8
1301 A general_aviation 
1300  56.07850726 -118.43826309 148.29 tie_down props Grass Apron 9
1301 A general_aviation 
1300  56.07857789 -118.43805947 148.29 tie_down props Grass Apron 10
1301 A general_aviation 
1300  56.07864858 -118.43785451 148.29 tie_down props Grass Apron 11
1301 A general_aviation 
1300  56.07871664 -118.43765058 148.29 tie_down props Grass Apron 12
1301 A general_aviation 
1300  56.07878676 -118.43744761 148.29 tie_down props Grass Apron 13
1301 A general_aviation 
1300  56.07885430 -118.43724807 148.29 tie_down props Grass Apron 14
1301 A general_aviation 
1300  56.07890225 -118.43704224 -178.17 tie_down props Grass Apron 15
1301 A general_aviation 
1300  56.07885576 -118.43689555 -121.16 tie_down props Grass Apron 16
1301 A general_aviation 
1300  56.07874141 -118.43677183 -121.16 tie_down props Grass Apron 17
1301 A general_aviation 
1300  56.07862562 -118.43664941 -121.16 tie_down props Grass Apron 18
1301 A general_aviation 
1300  56.07853006 -118.43680492 -31.42 tie_down props Grass Apron 19
1301 A general_aviation 
1300  56.07846174 -118.43700596 -31.42 tie_down props Grass Apron 20
1301 A general_aviation 
1300  56.07839198 -118.43721215 -31.42 tie_down props Grass Apron 21
1301 A general_aviation 
19  56.07874951 -118.43818516 1 WS-1
19  56.08249690 -118.42747680 0 WS-2
51 12280 Fairview Traffic
99
