I
1050 Generated by WorldEditor 1.6.1r1

1    147 1 0 FACT Cape Town International Airport
111 -33.96124996  018.59482707
113 -33.96093047  018.59476172
110 2 0.00 0.0000 New Taxiway 27
111 -33.97317120  018.59973690
111 -33.97072735  018.59896547
111 -33.97063379  018.59939018
111 -33.96903246  018.59890173
111 -33.96912227  018.59847679
111 -33.96811523  018.59813667
111 -33.96807042  018.59831374
111 -33.96590322  018.59783837
111 -33.96590800  018.59782037
112 -33.96619500  018.59750639 -33.96625631  018.59723833
111 -33.96634795  018.59682541
111 -33.96969989  018.59789179
111 -33.96969603  018.59790995
112 -33.97316253  018.59898955 -33.97325941  018.59902096
114 -33.97331626  018.59926753 -33.97328521  018.59941409
110 2 0.00 0.0000 New Taxiway 26
111 -33.96568459  018.59855032
111 -33.96888328  018.59957853
111 -33.96897121  018.59917833
111 -33.97017880  018.59954039
111 -33.97016888  018.59958037
111 -33.97024964  018.59960255
111 -33.97023825  018.59963969
111 -33.97028318  018.59965267
111 -33.97027195  018.59969028
111 -33.97031594  018.59970326
111 -33.97030430  018.59974533
111 -33.97034829  018.59975779
111 -33.97032776  018.59983662
111 -33.97036909  018.59984852
111 -33.97035731  018.59990828
111 -33.96988526  018.59981762
112 -33.96975742  018.60041300 -33.96972388  018.60055732
112 -33.96953549  018.60057128 -33.96945916  018.60054843
112 -33.96569850  018.59935187 -33.96560432  018.59932009
114 -33.96556468  018.59909502 -33.96559056  018.59897102
110 2 0.00 0.0000 New Taxiway 28
111 -33.97477199  018.60201943
111 -33.97119778  018.60088531
111 -33.97136124  018.60014071
113 -33.97492532  018.60128066
110 2 0.00 0.0000 New Taxiway 5
112 -33.97410669  018.59952944 -33.97411933  018.59950118
112 -33.97419951  018.59949464 -33.97425593  018.59951547
112 -33.97515191  018.59982783 -33.97531148  018.59990833
111 -33.97597582  018.60029014
111 -33.97579324  018.60080590
111 -33.97500857  018.60035494
111 -33.97396570  018.60001336
111 -33.97402658  018.59975625
113 -33.97406402  018.59967423
110 2 0.00 0.0000 New Taxiway 8
111 -33.97814481  018.60116057
111 -33.97817580  018.60116999
111 -33.97819115  018.60109390
111 -33.97814902  018.60108040
111 -33.97823506  018.60064018
111 -33.97874796  018.60078680
112 -33.97876761  018.60076641 -33.97878579  018.60076994
111 -33.97878256  018.60079789
111 -33.97877462  018.60084042
111 -33.97876230  018.60083751
111 -33.97866431  018.60130622
111 -33.97876057  018.60133187
112 -33.97871436  018.60141791 -33.97867424  018.60143965
111 -33.97864081  018.60141264
111 -33.97860773  018.60155565
111 -33.97851813  018.60152355
111 -33.97850879  018.60155957
113 -33.97808676  018.60142932
111 -33.97867120  018.60085625
111 -33.97829817  018.60075233
111 -33.97828709  018.60078959
111 -33.97826515  018.60078330
111 -33.97822078  018.60099201
111 -33.97827012  018.60100723
111 -33.97823182  018.60118350
113 -33.97857841  018.60129824
110 2 0.00 0.0000 New Taxiway 14
111 -33.96306082  018.61201223
111 -33.96304687  018.61206477
111 -33.96329757  018.61214620
111 -33.96331009  018.61208934
111 -33.96370918  018.61220983
111 -33.96353047  018.61299969
111 -33.96249205  018.61267556
113 -33.96266502  018.61189024
110 2 0.00 0.0000 New Taxiway 14
111 -33.96146938  018.61149230
111 -33.96145615  018.61154699
111 -33.96170372  018.61163310
111 -33.96171899  018.61157505
111 -33.96211330  018.61170605
111 -33.96193519  018.61249793
111 -33.96089375  018.61215967
113 -33.96108276  018.61135616
110 1 0.00 0.0000 New Taxiway 1
111 -33.98807227  018.60782730
111 -33.98797365  018.60786899 102
112 -33.98795853  018.60793915 -33.98794880  018.60798429
111 -33.98795853  018.60793915
112 -33.98795853  018.60793915 -33.98793496  018.60804853 102
112 -33.98782288  018.60855810 -33.98776334  018.60883397
111 -33.98782288  018.60855810
112 -33.98782288  018.60855810 -33.98777958  018.60875874
112 -33.98766175  018.60919309 -33.98761310  018.60941806
111 -33.98766175  018.60919309
112 -33.98766175  018.60919309 -33.98758676  018.60953991 102
112 -33.98745300  018.61017337 -33.98740010  018.61041595
111 -33.98745300  018.61017337
112 -33.98745300  018.61017337 -33.98742291  018.61031135 102
112 -33.98738758  018.61047092 -33.98737535  018.61052528
111 -33.98738758  018.61047092
112 -33.98738758  018.61047092 -33.98731280  018.61080327 102
112 -33.98652971  018.61105937 -33.98610886  018.61094466
111 -33.98652971  018.61105937
112 -33.98652971  018.61105937 -33.98644456  018.61103616 102
112 -33.98492288  018.61053153 -33.98430361  018.61034208
111 -33.98492288  018.61053153
112 -33.98492288  018.61053153 -33.98464397  018.61044620 102
112 -33.97953069  018.60882834 -33.97948318  018.60881304
111 -33.97953069  018.60882834
112 -33.97953069  018.60882834 -33.97937758  018.60877903 102
112 -33.97898687  018.60878493 -33.97873170  018.60881890 102
112 -33.97326875  018.60936526 -33.97321126  018.60937196 102
112 -33.97301531  018.60946873 -33.97294370  018.60955433 102
111 -33.97241242  018.61025600
111 -33.97211346  018.61061869 102
112 -33.97150840  018.61134647 -33.97120699  018.61171291
111 -33.97150840  018.61134647
112 -33.97150840  018.61134647 -33.97126508  018.61164228 102
112 -33.97096907  018.61200371 -33.97090943  018.61207745
111 -33.97096907  018.61200371
112 -33.97096907  018.61200371 -33.97083555  018.61216878 102
112 -33.97042170  018.61220362 -33.97022041  018.61214032
111 -33.97042170  018.61220362
112 -33.97042170  018.61220362 -33.97033338  018.61217585 102
112 -33.96517933  018.61051575 -33.96461354  018.61034266
111 -33.96517933  018.61051575
112 -33.96517933  018.61051575 -33.96502864  018.61046965 102
111 -33.96494002  018.61044263
111 -33.96490197  018.61059793
111 -33.96482304  018.61057256
111 -33.96441672  018.61240844
111 -33.96438197  018.61243059
111 -33.96370918  018.61220983
111 -33.96331009  018.61208934
111 -33.96329757  018.61214620
111 -33.96304687  018.61206477
111 -33.96306082  018.61201223
111 -33.96266502  018.61189024
111 -33.96249205  018.61267556
111 -33.96353047  018.61299969
111 -33.96345332  018.61336141
111 -33.96272465  018.61313287
111 -33.96265672  018.61343882
111 -33.95987196  018.61254962
112 -33.96065256  018.60904161 -33.96105677  018.60717021
111 -33.96065256  018.60904161
112 -33.96065256  018.60904161 -33.96077584  018.60847083 102
112 -33.96102587  018.60731317 -33.96114848  018.60674545
111 -33.96102587  018.60731317
112 -33.96102587  018.60731317 -33.96141314  018.60552003 102
112 -33.96176279  018.60391784 -33.96177224  018.60387270
111 -33.96176279  018.60391784
112 -33.96176279  018.60391784 -33.96178505  018.60381156 102
112 -33.96166933  018.60347128 -33.96156993  018.60333820
111 -33.96166933  018.60347128
112 -33.96166933  018.60347128 -33.96163895  018.60343061 102
112 -33.96118833  018.60286268 -33.96091971  018.60254262
111 -33.96118833  018.60286268
112 -33.96118833  018.60286268 -33.96057791  018.60213536 102
111 -33.95963360  018.60101822 102
111 -33.95964365  018.60097158 102
111 -33.95977398  018.60036697
111 -33.95990880  018.59974152
111 -33.95992891  018.59972557 102
111 -33.96022571  018.59947487
112 -33.96034420  018.59923988 -33.96043993  018.59912308
111 -33.96148266  018.59786869
111 -33.96152959  018.59728681
111 -33.96153547  018.59728566 102
111 -33.96197838  018.59719869 102
111 -33.96203001  018.59681887 102
111 -33.96187136  018.59678911
111 -33.96196458  018.59612826
112 -33.96187203  018.59614723 -33.96182009  018.59614309
111 -33.96168469  018.59611743
111 -33.96169328  018.59606781
112 -33.96178227  018.59603537 -33.96182047  018.59600487
112 -33.96184219  018.59595138 -33.96184269  018.59592536
111 -33.96184219  018.59590741
111 -33.96189190  018.59581698
112 -33.96195986  018.59576088 -33.96197703  018.59569679
111 -33.96198818  018.59563080
112 -33.96203540  018.59558274 -33.96204313  018.59556413
111 -33.96205215  018.59551865
111 -33.96188468  018.59548737
111 -33.96176415  018.59597377
111 -33.96152307  018.59594028
111 -33.96156603  018.59567008
112 -33.96075004  018.59548852 -33.96070011  018.59547327
111 -33.96070966  018.59541931
111 -33.96087442  018.59422342
111 -33.96100869  018.59425289
111 -33.96093047  018.59476172
111 -33.96124996  018.59482707
111 -33.96121661  018.59505068
111 -33.96271682  018.59535664
111 -33.96282150  018.59463913
111 -33.96294742  018.59466606
111 -33.96278369  018.59577897
111 -33.96273054  018.59576630
111 -33.96260362  018.59665811
112 -33.96264045  018.59675379 -33.96268799  018.59676762
111 -33.96373072  018.59697311
111 -33.96374210  018.59689099
111 -33.96369114  018.59687699
111 -33.96370138  018.59681986
111 -33.96364403  018.59680391
111 -33.96365441  018.59674314
111 -33.96360116  018.59673171
111 -33.96361010  018.59666689
111 -33.96355558  018.59665734
111 -33.96356382  018.59659428
111 -33.96329937  018.59653720
111 -33.96343929  018.59556285
111 -33.96324577  018.59552218
111 -33.96327977  018.59530510
111 -33.96446485  018.59554703
111 -33.96461226  018.59452338
111 -33.96493112  018.59458670
111 -33.96488502  018.59493585
111 -33.96478148  018.59491601
112 -33.96475114  018.59498417 -33.96474471  018.59504404
111 -33.96474292  018.59507032
111 -33.96489314  018.59510032
111 -33.96459124  018.59713845
111 -33.96419138  018.59703459
111 -33.96407075  018.59689915
111 -33.96401846  018.59688528
111 -33.96401273  018.59694234
111 -33.96395795  018.59694002
111 -33.96394732  018.59701546
111 -33.96453976  018.59714580
111 -33.96487184  018.59722743
111 -33.96491606  018.59720290
111 -33.96519449  018.59726984
111 -33.96522557  018.59730409
112 -33.96570787  018.59739327 -33.96584558  018.59741265
111 -33.96585412  018.59731661
111 -33.96596786  018.59680461
112 -33.96587455  018.59661145 -33.96576380  018.59657889
111 -33.96567991  018.59655545
111 -33.96573629  018.59632362
111 -33.96749913  018.59689076
111 -33.96748783  018.59694839
111 -33.96847558  018.59726936
111 -33.96848482  018.59722963
111 -33.96892919  018.59737428
111 -33.96891309  018.59744356
111 -33.96949090  018.59763102
111 -33.96950474  018.59755956
111 -33.96978075  018.59764556
111 -33.96971888  018.59788862
111 -33.97147418  018.59843507
111 -33.97153012  018.59819301
111 -33.97160250  018.59821585
111 -33.97159027  018.59827415
111 -33.97210238  018.59843244
111 -33.97211634  018.59836044
111 -33.97307634  018.59867154
111 -33.97309936  018.59855173
111 -33.97346434  018.59857460
111 -33.97347774  018.59909940
111 -33.97342363  018.59910903
112 -33.97354645  018.59924370 -33.97363101  018.59926541
111 -33.97367807  018.59927073
112 -33.97381665  018.59883256 -33.97381923  018.59881912
112 -33.97378145  018.59878397 -33.97374754  018.59878345
111 -33.97359025  018.59878729
111 -33.97359054  018.59861960
111 -33.97351647  018.59862037
111 -33.97351908  018.59878929
111 -33.97347994  018.59879000
111 -33.97348056  018.59811149
111 -33.97359153  018.59810905
111 -33.97359100  018.59781458
111 -33.97349140  018.59781380
111 -33.97348612  018.59742641
111 -33.97382506  018.59741021
111 -33.97381630  018.59662885
111 -33.97475864  018.59663470
111 -33.97475917  018.59705827
111 -33.97483754  018.59705483
111 -33.97483964  018.59730644
111 -33.97478159  018.59730539
111 -33.97478167  018.59724660
111 -33.97439186  018.59724753
111 -33.97439847  018.59807221
111 -33.97435282  018.59807186
111 -33.97435415  018.59824433
111 -33.97484452  018.59824810
111 -33.97489297  018.59824847
111 -33.97489814  018.59894237
112 -33.97413759  018.59894892 -33.97407062  018.59895202
112 -33.97393534  018.59911023 -33.97390937  018.59922635
111 -33.97388969  018.59932143
111 -33.97404985  018.59935252
111 -33.97409974  018.59915304
111 -33.97550082  018.59910537
111 -33.97552390  018.59862346
111 -33.97610482  018.59886323
111 -33.97600397  018.59919310
111 -33.97657471  018.59943213
111 -33.97655123  018.59952369
111 -33.97687612  018.59965985
111 -33.97700276  018.59924769
111 -33.97714651  018.59931350
111 -33.97716416  018.59925347
111 -33.97722700  018.59928114
111 -33.97707203  018.59977439
111 -33.97715198  018.59980888
111 -33.97741558  018.59991722
111 -33.97757553  018.59998369
111 -33.97752608  018.60005129
111 -33.97747991  018.60022793
112 -33.97751534  018.60034162 -33.97757466  018.60036747
112 -33.97767894  018.60040750 -33.97771078  018.60041655
112 -33.97777732  018.60035710 -33.97779485  018.60029894
112 -33.97830484  018.59857402 -33.97832710  018.59849988
112 -33.97819951  018.59831675 -33.97809566  018.59826762
111 -33.97753098  018.59802492
111 -33.97743024  018.59836559
111 -33.97694668  018.59815511
111 -33.97693028  018.59821255
111 -33.97670830  018.59811465
111 -33.97682051  018.59771289
112 -33.97676059  018.59768776 -33.97676029  018.59768776
112 -33.97665272  018.59805467 -33.97664676  018.59807657
112 -33.97666912  018.59812360 -33.97668462  018.59812575
111 -33.97670830  018.59811465
111 -33.97661567  018.59843147
111 -33.97648950  018.59837233
111 -33.97656069  018.59814866
111 -33.97648417  018.59811101
111 -33.97647593  018.59813702
111 -33.97639228  018.59809998
111 -33.97642213  018.59800208
111 -33.97650564  018.59803919
111 -33.97649889  018.59805945
111 -33.97657752  018.59809506
111 -33.97664219  018.59789670
111 -33.97656550  018.59785552
111 -33.97655619  018.59788519
111 -33.97647228  018.59784998
111 -33.97650314  018.59774692
111 -33.97658531  018.59778661
111 -33.97657786  018.59780845
111 -33.97665934  018.59784182
111 -33.97671280  018.59765930
111 -33.97640360  018.59751468
112 -33.97633349  018.59757240 -33.97631274  018.59765382
111 -33.97620717  018.59801619
111 -33.97604389  018.59795338
111 -33.97595736  018.59792010
111 -33.97611360  018.59740244
111 -33.97603919  018.59737056
111 -33.97609235  018.59718953
111 -33.97620225  018.59723916
111 -33.97621255  018.59720710
111 -33.97609435  018.59715076
111 -33.97618068  018.59686247
112 -33.97622175  018.59684184 -33.97623297  018.59681643
111 -33.97623297  018.59681643
111 -33.97671646  018.59702147
111 -33.97661078  018.59737481
111 -33.97642302  018.59729832
111 -33.97641474  018.59733197
111 -33.97665612  018.59743340
111 -33.97673583  018.59714804
111 -33.97703814  018.59728858
111 -33.97704637  018.59726317
111 -33.97715254  018.59730601
111 -33.97721273  018.59733204
112 -33.97723941  018.59727167 -33.97725530  018.59724686
111 -33.97730509  018.59721170
111 -33.97761663  018.59735165
111 -33.97770518  018.59707380
111 -33.97774268  018.59710893
111 -33.97805364  018.59724678
111 -33.97812861  018.59700861
111 -33.97828327  018.59708590
111 -33.97810030  018.59769214
111 -33.97825223  018.59776084
111 -33.97819512  018.59793936
111 -33.97798759  018.59785980
111 -33.97795152  018.59796187
112 -33.97797180  018.59802642 -33.97801079  018.59804021
112 -33.97835917  018.59817065 -33.97837742  018.59817496
112 -33.97843807  018.59812631 -33.97845595  018.59806420
112 -33.97893002  018.59645300 -33.97896608  018.59632583
112 -33.97877504  018.59603689 -33.97861431  018.59595873
111 -33.97847517  018.59590946
112 -33.97835360  018.59600479 -33.97833464  018.59607501
111 -33.97831210  018.59615858
111 -33.97779140  018.59592176
112 -33.97783733  018.59576441 -33.97785307  018.59570669
111 -33.97779484  018.59562261
111 -33.97748605  018.59548813
111 -33.97743978  018.59564378
111 -33.97748190  018.59580920
111 -33.97725543  018.59570620
111 -33.97736911  018.59561210
111 -33.97741548  018.59545288
111 -33.97699341  018.59527222
111 -33.97693098  018.59547727
111 -33.97700567  018.59550800
111 -33.97692582  018.59578302
111 -33.97671023  018.59568853
111 -33.97672201  018.59564083
111 -33.97674047  018.59564644
111 -33.97687117  018.59521510
111 -33.97669320  018.59513443
111 -33.97674781  018.59495415
111 -33.97702777  018.59507717
111 -33.97708674  018.59487371
111 -33.97730408  018.59496427
111 -33.97727256  018.59507987
111 -33.97721982  018.59505939
111 -33.97719570  018.59515336
111 -33.97777827  018.59540427
111 -33.97787045  018.59508433
111 -33.97837976  018.59530396
111 -33.97828853  018.59561954
111 -33.97838683  018.59566079
111 -33.97849590  018.59530015
111 -33.97893179  018.59547929
111 -33.97901529  018.59520516
111 -33.97945258  018.59541263
112 -33.97937996  018.59555130 -33.97936327  018.59560415
111 -33.97908325  018.59650809
112 -33.97914254  018.59660830 -33.97921408  018.59663760
111 -33.97930165  018.59667598
111 -33.97938588  018.59639409
111 -33.98000056  018.59666092
111 -33.97977949  018.59739307
111 -33.97916117  018.59713178
111 -33.97923391  018.59689309
112 -33.97912410  018.59687033 -33.97909019  018.59687033
112 -33.97897738  018.59699869 -33.97892546  018.59711259
111 -33.97884139  018.59733061
111 -33.97860338  018.59813761
112 -33.97861682  018.59816663 -33.97863814  018.59816987
112 -33.97877819  018.59818590 -33.97880996  018.59818952
112 -33.97886062  018.59813524 -33.97887865  018.59809027
111 -33.97895428  018.59785303
111 -33.97986755  018.59824162
111 -33.97985938  018.59827547
111 -33.97995353  018.59832059
111 -33.98001677  018.59861012
111 -33.97989005  018.59903568
111 -33.97979267  018.59899207
111 -33.97972720  018.59920085
111 -33.97921204  018.59898095
111 -33.97913379  018.59924018
111 -33.97859593  018.59900972
111 -33.97872076  018.59858946
112 -33.97862422  018.59856701 -33.97857958  018.59856288
112 -33.97849890  018.59865267 -33.97845975  018.59874262
111 -33.97837659  018.59895306
111 -33.97834911  018.59897064
112 -33.97782920  018.60076570 -33.97763810  018.60142667
111 -33.97782920  018.60076570
112 -33.97782920  018.60076570 -33.97778901  018.60090471
112 -33.97773124  018.60110500 -33.97770757  018.60118720
111 -33.97773124  018.60110500
112 -33.97773124  018.60110500 -33.97771030  018.60117773
112 -33.97769592  018.60122858 -33.97769432  018.60123478
111 -33.97769592  018.60122858
112 -33.97769592  018.60122858 -33.97768390  018.60127510
112 -33.97773542  018.60136298 -33.97778049  018.60137694
112 -33.97788774  018.60125619 -33.97790835  018.60116190
111 -33.97803327  018.60058502
111 -33.97823506  018.60064018
111 -33.97814902  018.60108040
111 -33.97813939  018.60112196
111 -33.97811068  018.60111565
111 -33.97804409  018.60141615
111 -33.97808676  018.60142932
111 -33.97850879  018.60155957
111 -33.97850583  018.60157591
111 -33.97858310  018.60160176
112 -33.97857416  018.60166336 -33.97857237  018.60167586
112 -33.97859455  018.60170773 -33.97861887  018.60171893
111 -33.97881710  018.60183227
111 -33.97879598  018.60191230
112 -33.97850945  018.60179242 -33.97848369  018.60178156
112 -33.97843948  018.60186221 -33.97842531  018.60192424
111 -33.97843948  018.60186221
112 -33.97843948  018.60186221 -33.97843865  018.60186581
112 -33.97843667  018.60187467 -33.97843563  018.60187935
111 -33.97843667  018.60187467
112 -33.97843667  018.60187467 -33.97841975  018.60195051
112 -33.97837152  018.60218467 -33.97836714  018.60221145
111 -33.97837152  018.60218467
112 -33.97837152  018.60218467 -33.97836687  018.60221310
112 -33.97842662  018.60231391 -33.97849709  018.60234407
111 -33.97842662  018.60231391
112 -33.97842662  018.60231391 -33.97847413  018.60233424 102
112 -33.98173947  018.60372206 -33.98259614  018.60408616
111 -33.98173947  018.60372206
