A
1050 Generated by WorldEditor 1.6.1r1

1    850 0 0 KASW WARSAW MUNI
111  41.27928943 -085.84418515
111  41.27937533 -085.84423002
111  41.27934290 -085.84436241
113  41.27933136 -085.84440953
110 2 0.00 0.0000 New Taxiway 26
111  41.27981898 -085.84561053
111  41.27965480 -085.84560836
111  41.27965133 -085.84526071
113  41.27981905 -085.84526006
110 2 0.00 0.0000 New Taxiway 25
111  41.27999933 -085.84504976
111  41.27992925 -085.84504899
111  41.27965059 -085.84504591
111  41.27965252 -085.84459981
111  41.27980184 -085.84459981
111  41.27980184 -085.84468057
113  41.28000222 -085.84468313
110 2 0.00 0.0000 New Taxiway 24
111  41.27993393 -085.84430839
111  41.27965768 -085.84430839
111  41.27965756 -085.84415456
111  41.27965744 -085.84401046
111  41.27993393 -085.84401046
113  41.27993393 -085.84414951
110 2 0.00 0.0000 New Taxiway 23
111  41.28011571 -085.84363946
111  41.28011667 -085.84379842
111  41.27976793 -085.84379329
113  41.27976793 -085.84363689
110 2 0.00 0.0000 New Taxiway 17
111  41.28247514 -085.84410194
111  41.28245665 -085.84410184
111  41.28219076 -085.84410047
111  41.28217573 -085.84410040
111  41.28217457 -085.84394656
111  41.28227401 -085.84394808
111  41.28234105 -085.84394911
113  41.28247630 -085.84395118
110 2 0.00 0.0000 New Taxiway 12
111  41.28315833 -085.84470020
111  41.28308800 -085.84470148
111  41.28308704 -085.84474892
111  41.28304080 -085.84474892
111  41.28304176 -085.84469251
111  41.28301190 -085.84469251
111  41.28301768 -085.84449893
111  41.28305814 -085.84449929
111  41.28312076 -085.84449984
111  41.28316315 -085.84450021
111  41.28315990 -085.84463481
113  41.28315895 -085.84467455
110 2 0.00 0.0000 New Taxiway 11
111  41.28341844 -085.84411536
111  41.28338182 -085.84411501
111  41.28331537 -085.84411437
111  41.28328453 -085.84411408
111  41.28328549 -085.84390768
111  41.28332788 -085.84390808
113  41.28341940 -085.84390896
110 2 0.00 0.0000 New Taxiway 13
111  41.28294157 -085.84477712
111  41.28290113 -085.84477674
111  41.28283657 -085.84477614
111  41.28280477 -085.84477584
111  41.28280574 -085.84448227
111  41.28282214 -085.84448314
111  41.28293583 -085.84448924
113  41.28294928 -085.84448996
110 2 0.00 0.0000 New Taxiway 14
111  41.28276046 -085.84477071
111  41.28273246 -085.84476918
111  41.28266509 -085.84476551
111  41.28264293 -085.84476430
111  41.28264753 -085.84446895
113  41.28276531 -085.84447386
110 2 0.00 0.0000 New Taxiway 15
111  41.28312462 -085.84414830
111  41.28309330 -085.84414853
111  41.28300339 -085.84414920
111  41.28298011 -085.84414937
111  41.28298011 -085.84395600
113  41.28312462 -085.84395600
110 2 0.00 0.0000 New Taxiway 16
111  41.28287135 -085.84411330
111  41.28283474 -085.84411298
111  41.28277984 -085.84411249
111  41.28271528 -085.84411192
111  41.28266036 -085.84411143
111  41.28258234 -085.84411074
111  41.28258330 -085.84395562
111  41.28262666 -085.84395620
113  41.28287231 -085.84395946
110 2 0.00 0.0000 New Taxiway 18
111  41.28193943 -085.84409615
111  41.28190572 -085.84409586
111  41.28185194 -085.84409538
111  41.28181821 -085.84409509
111  41.28181741 -085.84394445
113  41.28193943 -085.84394552
110 2 0.00 0.0000 New Taxiway 20
111  41.28040448 -085.84512985
111  41.28029696 -085.84512678
111  41.28029745 -085.84503448
111  41.28029776 -085.84497602
111  41.28029812 -085.84490833
113  41.28040563 -085.84490987
110 2 0.00 0.0000 New Taxiway 19
111  41.28044841 -085.84539444
111  41.28031287 -085.84539634
111  41.28031171 -085.84516713
113  41.28044841 -085.84516677
110 2 0.00 0.0000 New Taxiway 21
111  41.28044147 -085.84486988
111  41.28031546 -085.84486988
111  41.28031600 -085.84472066
111  41.28031606 -085.84470374
111  41.28031661 -085.84455298
111  41.28031668 -085.84453298
111  41.28031721 -085.84438838
111  41.28031724 -085.84437761
111  41.28031777 -085.84423148
111  41.28041141 -085.84423301
111  41.28041026 -085.84478681
113  41.28044147 -085.84478527
110 2 0.00 0.0000 New Taxiway 22
111  41.28040332 -085.84416533
111  41.28031893 -085.84416379
111  41.28031938 -085.84410534
111  41.28031978 -085.84405304
111  41.28032009 -085.84401303
113  41.28040332 -085.84401303
110 2 0.00 0.0000 New Taxiway 35
111  41.27822954 -085.84481905
111  41.27819202 -085.84481821
111  41.27815348 -085.84481735
111  41.27811490 -085.84481649
111  41.27811490 -085.84468317
113  41.27822762 -085.84468317
110 2 0.00 0.0000 New Taxiway 34
111  41.27861046 -085.84481572
111  41.27858270 -085.84481596
111  41.27853878 -085.84481634
111  41.27841739 -085.84481738
111  41.27837924 -085.84481771
111  41.27825324 -085.84481880
111  41.27825209 -085.84469112
111  41.27829370 -085.84469112
111  41.27833532 -085.84469112
111  41.27846133 -085.84469112
111  41.27849948 -085.84469112
113  41.27861277 -085.84469112
110 2 0.00 0.0000 New Taxiway 33
111  41.27851581 -085.84442838
111  41.27840408 -085.84442509
111  41.27835788 -085.84442373
111  41.27824419 -085.84442038
111  41.27820661 -085.84441927
111  41.27808426 -085.84441567
111  41.27805053 -085.84441468
111  41.27793588 -085.84441130
111  41.27789638 -085.84441142
111  41.27777595 -085.84440659
111  41.27777595 -085.84428481
111  41.27781737 -085.84428624
111  41.27786360 -085.84428784
111  41.27797544 -085.84429171
111  41.27801777 -085.84429318
111  41.27813241 -085.84429715
111  41.27817383 -085.84429858
111  41.27828654 -085.84430248
111  41.27832988 -085.84430398
111  41.27844255 -085.84430788
111  41.27848883 -085.84430948
113  41.27851678 -085.84431045
110 2 0.00 0.0000 New Taxiway 39
111  41.27808808 -085.84518637
111  41.27797007 -085.84518744
111  41.27797087 -085.84505818
111  41.27801022 -085.84505747
111  41.27804553 -085.84505682
113  41.27808808 -085.84505605
110 2 0.00 0.0000 New Taxiway 40
111  41.27814267 -085.84520133
111  41.27814348 -085.84504536
111  41.27830645 -085.84504643
113  41.27830645 -085.84520026
110 2 0.00 0.0000 New Taxiway 41
111  41.27835783 -085.84516607
111  41.27835702 -085.84504429
111  41.27839554 -085.84504377
111  41.27843649 -085.84504320
111  41.27851277 -085.84504216
111  41.27851357 -085.84512975
111  41.27847182 -085.84513082
113  41.27847182 -085.84516501
110 2 0.00 0.0000 New Taxiway 43
111  41.27827270 -085.84554483
111  41.27827751 -085.84538716
111  41.27829094 -085.84538804
111  41.27841367 -085.84539606
113  41.27840949 -085.84555509
110 2 0.00 0.0000 New Taxiway 42
111  41.27861883 -085.84575173
111  41.27861964 -085.84572182
111  41.27851527 -085.84572075
111  41.27851607 -085.84553274
111  41.27864212 -085.84553060
111  41.27864292 -085.84570686
111  41.27865496 -085.84570686
111  41.27867021 -085.84572289
111  41.27866941 -085.84575280
111  41.27865897 -085.84576989
113  41.27862927 -085.84576989
110 2 0.00 0.0000 New Taxiway 46
111  41.27736582 -085.83925634
111  41.27714583 -085.83924978
111  41.27715159 -085.83902067
111  41.27727058 -085.83902557
113  41.27737121 -085.83902836
110 2 0.00 0.0000 New Taxiway 45
111  41.27677432 -085.84058283
111  41.27649410 -085.84057545
111  41.27649410 -085.84056648
111  41.27643918 -085.84056519
111  41.27644593 -085.84024345
111  41.27649864 -085.84024345
111  41.27649851 -085.84027116
111  41.27664571 -085.84027019
113  41.27677874 -085.84026932
110 2 0.00 0.0000 New Taxiway 44
111  41.27743508 -085.84059104
111  41.27721015 -085.84058088
111  41.27721157 -085.84042009
111  41.27713216 -085.84042067
111  41.27713640 -085.84028015
111  41.27733399 -085.84028663
113  41.27743627 -085.84028999
110 2 0.00 0.0000 New Taxiway 47
111  41.27671851 -085.83924144
111  41.27637558 -085.83923036
111  41.27637582 -085.83921795
111  41.27639064 -085.83844574
111  41.27639103 -085.83842575
111  41.27642918 -085.83842575
111  41.27642802 -085.83834730
111  41.27644767 -085.83834576
111  41.27644767 -085.83835499
111  41.27662917 -085.83836114
111  41.27662802 -085.83843190
113  41.27673437 -085.83843805
110 1 0.00 0.0000 New Taxiway 1
111  41.27722543 -085.84020656
111  41.27723376 -085.83992045
112  41.27718659 -085.83978570  41.27714331 -085.83976133
111  41.27718659 -085.83978570
111  41.27678013 -085.83978016
111  41.27677874 -085.84026932
111  41.27664571 -085.84027019
111  41.27649851 -085.84027116
111  41.27649864 -085.84024345
111  41.27649990 -085.83996844
112  41.27638754 -085.83976540  41.27628266 -085.83974989
111  41.27638754 -085.83976540
111  41.27625020 -085.83976170
111  41.27624049 -085.84025455
111  41.27610889 -085.84025455
111  41.27596720 -085.84025455
111  41.27596763 -085.84023105
111  41.27597275 -085.83995183
112  41.27585483 -085.83974879  41.27572332 -085.83971999
111  41.27585483 -085.83974879
111  41.27538317 -085.83973218
111  41.27537762 -085.84010688
111  41.27542340 -085.84015857
111  41.27549554 -085.84015857
111  41.27549437 -085.84041328
111  41.27544180 -085.84041251
111  41.27536952 -085.84041144
111  41.27537230 -085.84022685
111  41.27498942 -085.84022316
111  41.27498272 -085.84059372
111  41.27498248 -085.84060709
111  41.27495751 -085.84060709
111  41.27497000 -085.83990568
112  41.27484653 -085.83972366  41.27473960 -085.83971469
111  41.27484653 -085.83972366
111  41.27395942 -085.83969963 102
112  41.27380469 -085.84012986  41.27394452 -085.84050198
111  41.27380469 -085.84012986 102
111  41.27683148 -085.84610675 102
112  41.27692737 -085.84618915  41.27698424 -085.84618546
111  41.27692737 -085.84618915 102
111  41.27734088 -085.84619713
112  41.27741634 -085.84609346  41.27741773 -085.84599932
111  41.27741634 -085.84609346
111  41.27741679 -085.84586753
111  41.27753864 -085.84586753
111  41.27754064 -085.84521098
111  41.27807934 -085.84524154
111  41.27807379 -085.84556835
111  41.27844141 -085.84557912
111  41.27843332 -085.84590985
111  41.27869690 -085.84592369
111  41.27871308 -085.84542375
111  41.27845066 -085.84540837
111  41.27845297 -085.84532992
112  41.27845297 -085.84532992  41.27841636 -085.84533120
111  41.27841367 -085.84539606
111  41.27829094 -085.84538804
112  41.27827032 -085.84532530  41.27825876 -085.84532402
111  41.27827032 -085.84532530
111  41.27811194 -085.84531915
111  41.27811078 -085.84525147
111  41.27828419 -085.84525454
112  41.27830500 -085.84521763  41.27830500 -085.84519199
111  41.27830500 -085.84521763
111  41.27844835 -085.84521916
112  41.27852696 -085.84517455  41.27854623 -085.84513225
111  41.27852696 -085.84517455
111  41.27864256 -085.84497150
112  41.27863100 -085.84496073  41.27862233 -085.84496073
111  41.27863100 -085.84496073
111  41.27843448 -085.84496535
111  41.27843649 -085.84504320
111  41.27839554 -085.84504377
111  41.27839401 -085.84496689
111  41.27830500 -085.84496689
111  41.27830645 -085.84504643
111  41.27814348 -085.84504536
111  41.27814431 -085.84496996
111  41.27804605 -085.84497150
111  41.27804553 -085.84505682
111  41.27801022 -085.84505747
111  41.27800790 -085.84497304
111  41.27788305 -085.84497458
111  41.27788420 -085.84505611
111  41.27777017 -085.84505728
111  41.27776975 -085.84497458
111  41.27764721 -085.84497765
111  41.27764837 -085.84490536
111  41.27781368 -085.84490228
111  41.27781146 -085.84481593
111  41.27785189 -085.84481714
111  41.27785183 -085.84490228
111  41.27798131 -085.84490074
111  41.27798295 -085.84481694
111  41.27802340 -085.84481739
111  41.27802177 -085.84489920
111  41.27815240 -085.84489613
111  41.27815348 -085.84481735
111  41.27819202 -085.84481821
111  41.27819286 -085.84489459
111  41.27837667 -085.84489151
111  41.27837924 -085.84481771
111  41.27841739 -085.84481738
111  41.27841713 -085.84488997
111  41.27853852 -085.84488536
111  41.27853878 -085.84481634
111  41.27858270 -085.84481596
112  41.27859632 -085.84488690  41.27861366 -085.84489151
111  41.27859632 -085.84488690
112  41.27872464 -085.84484536  41.27876626 -085.84480383
111  41.27872464 -085.84484536
111  41.27877782 -085.84474691
112  41.27870268 -085.84460847  41.27862753 -085.84456694
111  41.27870268 -085.84460847
111  41.27850153 -085.84460232
111  41.27849948 -085.84469112
111  41.27846133 -085.84469112
111  41.27846222 -085.84462231
111  41.27845066 -085.84460232
111  41.27833506 -085.84459924
111  41.27833532 -085.84469112
111  41.27829370 -085.84469112
111  41.27829459 -085.84459924
111  41.27763796 -085.84458540
111  41.27763681 -085.84451617
111  41.27786917 -085.84452079
112  41.27786917 -085.84452079  41.27789005 -085.84452079
111  41.27789461 -085.84447618
111  41.27789638 -085.84441142
111  41.27793588 -085.84441130
111  41.27793507 -085.84447464
111  41.27795241 -085.84452233
111  41.27802986 -085.84452387
111  41.27804951 -085.84449618
111  41.27805053 -085.84441468
111  41.27808426 -085.84441567
111  41.27808420 -085.84449925
111  41.27810616 -085.84452387
111  41.27818593 -085.84452540
111  41.27820442 -085.84449772
111  41.27820661 -085.84441927
111  41.27824419 -085.84442038
111  41.27824488 -085.84449925
111  41.27826223 -085.84452540
111  41.27833390 -085.84452694
111  41.27835818 -085.84450079
111  41.27835788 -085.84442373
111  41.27840408 -085.84442509
111  41.27840442 -085.84449925
111  41.27843216 -085.84452848
111  41.27852580 -085.84453002
111  41.27852580 -085.84443157
111  41.27863912 -085.84443219
111  41.27863909 -085.84453156
111  41.27884583 -085.84455771
111  41.27884872 -085.84430902
111  41.27872100 -085.84431107
111  41.27860928 -085.84431082
111  41.27860981 -085.84420390
111  41.27848746 -085.84420262
111  41.27848883 -085.84430948
111  41.27844255 -085.84430788
111  41.27844218 -085.84420006
111  41.27833043 -085.84420006
111  41.27832988 -085.84430398
111  41.27828654 -085.84430248
111  41.27828901 -085.84419878
111  41.27817340 -085.84419878
111  41.27817383 -085.84429858
111  41.27813241 -085.84429715
111  41.27813583 -085.84419493
111  41.27801541 -085.84419365
111  41.27801777 -085.84429318
111  41.27797544 -085.84429171
111  41.27797591 -085.84421288
111  41.27796724 -085.84419237
111  41.27787187 -085.84419108
111  41.27785935 -085.84420903
111  41.27786360 -085.84428784
111  41.27781737 -085.84428624
111  41.27782081 -085.84421031
111  41.27781118 -085.84419108
111  41.27775916 -085.84419108
111  41.27776012 -085.84408084
111  41.27780443 -085.84408084
111  41.27780535 -085.84394065
111  41.27784811 -085.84394101
111  41.27784586 -085.84408212
111  41.27791715 -085.84408341
111  41.27791748 -085.84394160
111  41.27795794 -085.84394195
111  41.27795738 -085.84408441
111  41.27802963 -085.84408530
111  41.27802964 -085.84394256
111  41.27807007 -085.84394291
111  41.27807044 -085.84408619
111  41.27814470 -085.84408797
111  41.27814523 -085.84394355
111  41.27818338 -085.84394387
111  41.27818417 -085.84400875
111  41.27828720 -085.84400697
111  41.27828653 -085.84395444
111  41.27827449 -085.84394465
111  41.27827650 -085.84374792
111  41.27820306 -085.84374691
111  41.27820224 -085.84365534
111  41.27813534 -085.84365445
111  41.27813598 -085.84374600
111  41.27809208 -085.84374540
111  41.27808984 -085.84365088
111  41.27802161 -085.84365088
111  41.27802153 -085.84374444
111  41.27797761 -085.84374384
111  41.27797745 -085.84365088
111  41.27790788 -085.84364999
111  41.27790708 -085.84374288
111  41.27786318 -085.84374228
111  41.27786439 -085.84354139
111  41.27906106 -085.84356351
112  41.27906106 -085.84356351  41.27919424 -085.84356351
111  41.27928456 -085.84368914
112  41.27940498 -085.84372247  41.27945076 -085.84366894
111  41.27940498 -085.84372247
111  41.27950301 -085.84359203
111  41.27969953 -085.84359331
111  41.27976793 -085.84363689
111  41.27976793 -085.84379329
111  41.28011667 -085.84379842
111  41.28011571 -085.84363946
111  41.28040953 -085.84364202
111  41.28041724 -085.84366894
111  41.28048905 -085.84368209
112  41.28160046 -085.84370314  41.28176587 -085.84370633
111  41.28351307 -085.84380037
111  41.28351192 -085.84384037
111  41.28334198 -085.84383576
111  41.28332811 -085.84386806
111  41.28332788 -085.84390808
111  41.28328549 -085.84390768
111  41.28328534 -085.84386191
111  41.28327840 -085.84382960
111  41.28262871 -085.84379268
111  41.28262666 -085.84395620
111  41.28258330 -085.84395562
111  41.28258824 -085.84393396
111  41.28259056 -085.84379422
111  41.28232698 -085.84377884
111  41.28231311 -085.84381576
111  41.28231195 -085.84392191
111  41.28234201 -085.84392191
111  41.28234105 -085.84394911
111  41.28227401 -085.84394808
111  41.28227611 -085.84380499
111  41.28226224 -085.84377269
111  41.28170850 -085.84374654
112  41.28162893 -085.84382935  41.28162893 -085.84392037
111  41.28162893 -085.84382935
111  41.28162838 -085.84421926
111  41.28185150 -085.84422849
111  41.28185194 -085.84409538
111  41.28190572 -085.84409586
111  41.28190583 -085.84422849
111  41.28219360 -085.84423410
111  41.28219076 -085.84410047
111  41.28245665 -085.84410184
111  41.28245949 -085.84423794
111  41.28266083 -085.84424307
111  41.28266036 -085.84411143
111  41.28271528 -085.84411192
111  41.28271478 -085.84424307
111  41.28277933 -085.84424435
111  41.28277984 -085.84411249
111  41.28283474 -085.84411298
111  41.28283424 -085.84424948
111  41.28302499 -085.84424948
111  41.28302595 -085.84418026
111  41.28300339 -085.84414920
111  41.28309330 -085.84414853
111  41.28306930 -085.84418410
111  41.28306834 -085.84424948
111  41.28331400 -085.84425333
111  41.28331537 -085.84411437
111  41.28338182 -085.84411501
111  41.28338047 -085.84425589
111  41.28339107 -085.84425718
111  41.28337333 -085.84603225 102
112  41.28353813 -085.84632246  41.28372291 -085.84632467
111  41.28353813 -085.84632246 102
111  41.28393481 -085.84632865 102
111  41.28408835 -085.84633105 102
112  41.28440477 -085.84675213  41.28442308 -085.84714202
111  41.28440477 -085.84675213 102
111  41.28440477 -085.84716364
111  41.28415918 -085.84715878 102
111  41.28416492 -085.84686455 102
111  41.28429807 -085.84686312 102
112  41.28409662 -085.84647730  41.28386856 -085.84643078
111  41.28409662 -085.84647730 102
111  41.28393136 -085.84647367 102
111  41.28337317 -085.84646139 102
111  41.28337218 -085.84656176 102
111  41.28336641 -085.84714752
111  41.28310536 -085.84714383 102
112  41.28326271 -085.84693905  41.28326133 -085.84676367
111  41.28326271 -085.84693905 102
111  41.28326292 -085.84677711 102
112  41.28317802 -085.84655664  41.28310803 -085.84646232
111  41.28317802 -085.84655664
112  41.28317802 -085.84655664  41.28313789 -085.84650256 102
112  41.28299574 -085.84645559  41.28291182 -085.84645223
111  41.28299574 -085.84645559 102
111  41.28031456 -085.84639887
112  41.28031456 -085.84639887  41.28025756 -085.84641419 102
112  41.28020601 -085.84649946  41.28018723 -085.84654360
111  41.28020601 -085.84649946
112  41.28020601 -085.84649946  41.28017726 -085.84656704 102
111  41.28018128 -085.84664171 102
111  41.28017934 -085.84688401
112  41.28017934 -085.84688401  41.28018073 -085.84703169 102
111  41.28030520 -085.84709060
111  41.27994348 -085.84708416 102
112  41.28007722 -085.84687226  41.28007583 -085.84671351
111  41.28007722 -085.84687226 102
111  41.28007888 -085.84660998 102
112  41.28005658 -085.84649638  41.28003482 -085.84644044
111  41.28005658 -085.84649638
112  41.28005658 -085.84649638  41.28003747 -085.84644724 102
112  41.27993605 -085.84639322  41.27987014 -085.84638701
111  41.27993605 -085.84639322 102
111  41.27808923 -085.84635409 102
112  41.27797853 -085.84645803  41.27794727 -085.84654824
111  41.27797853 -085.84645803
112  41.27797853 -085.84645803  41.27797003 -085.84648256 102
112  41.27796628 -085.84654983  41.27796747 -085.84658692
111  41.27796628 -085.84654983 102
111  41.27797152 -085.84686104
112  41.27797152 -085.84686104  41.27797152 -085.84699025 102
111  41.27807751 -085.84704930
111  41.27773187 -085.84704316 102
112  41.27785931 -085.84685668  41.27786070 -085.84671639
111  41.27785931 -085.84685668 102
111  41.27785977 -085.84654027 102
112  41.27784290 -085.84645496  41.27782727 -085.84641053
111  41.27784290 -085.84645496
112  41.27784290 -085.84645496  41.27782591 -085.84640665 102
112  41.27772397 -085.84634550  41.27765604 -085.84633684
111  41.27772397 -085.84634550 102
111  41.27485966 -085.84628521
112  41.27485966 -085.84628521  41.27478854 -085.84628747 102
112  41.27473946 -085.84639318  41.27472437 -085.84644455
111  41.27473946 -085.84639318
112  41.27473946 -085.84639318  41.27472488 -085.84644281 102
111  41.27472802 -085.84648954 102
111  41.27472810 -085.84682301
112  41.27472810 -085.84682301  41.27472810 -085.84692269 102
111  41.27484078 -085.84698794
111  41.27450276 -085.84698174 102
112  41.27461783 -085.84682024  41.27461949 -085.84671392
111  41.27461783 -085.84682024 102
111  41.27462084 -085.84649149 102
112  41.27461040 -085.84639780  41.27459803 -085.84634898
111  41.27461040 -085.84639780
112  41.27461040 -085.84639780  41.27459722 -085.84634577 102
112  41.27450254 -085.84627785  41.27443727 -085.84626642
111  41.27450254 -085.84627785 102
111  41.27310067 -085.84624705 102
111  41.27254692 -085.84623488
111  41.27228493 -085.84622912 102
111  41.27204305 -085.84623147
112  41.27191144 -085.84641582  41.27189946 -085.84659389
111  41.27191144 -085.84641582
111  41.27190729 -085.84673637
112  41.27190729 -085.84673637  41.27190546 -085.84689164
111  41.27201185 -085.84693029
111  41.27169723 -085.84692556
112  41.27180230 -085.84673467  41.27180524 -085.84658576
111  41.27180230 -085.84673467
111  41.27180262 -085.84642848
112  41.27165570 -085.84622845  41.27149589 -085.84621782
111  41.27165570 -085.84622845 102
111  41.27109407 -085.84621720 102
112  41.27089276 -085.84650503  41.27087878 -085.84678144
111  41.27089276 -085.84650503 102
111  41.27089021 -085.84673515
112  41.27089021 -085.84673515  41.27089021 -085.84689197 102
111  41.27110869 -085.84691128
111  41.27077484 -085.84690608 102
111  41.27079824 -085.84607116 102
111  41.27215918 -085.84609113
112  41.27215918 -085.84609113  41.27225107 -085.84608847 102
111  41.27229105 -085.84592169
111  41.27254814 -085.84592586 102
112  41.27269400 -085.84610621  41.27281985 -085.84612216
111  41.27269400 -085.84610621 102
111  41.27310069 -085.84611408 102
111  41.27643224 -085.84617858
112  41.27643224 -085.84617858  41.27657873 -085.84618301 102
112  41.27659001 -085.84590002  41.27653174 -085.84578041
111  41.27659001 -085.84590002 102
111  41.27364382 -085.84006120 102
112  41.27344313 -085.83993512  41.27331128 -085.83993193
111  41.27344313 -085.83993512 102
111  41.27321092 -085.83992846 102
111  41.27277378 -085.83991593
112  41.27277378 -085.83991593  41.27268029 -085.83991593 102
111  41.27264119 -085.84007558
111  41.27264489 -085.83960223 102
112  41.27278032 -085.83977279  41.27287861 -085.83978874
111  41.27278032 -085.83977279 102
111  41.27321027 -085.83978419 102
111  41.27344377 -085.83979039 102
112  41.27356161 -085.83962552  41.27356108 -085.83946677
111  41.27356161 -085.83962552 102
111  41.27364634 -085.83423642
112  41.27364634 -085.83423642  41.27362836 -085.83407960 102
111  41.27349568 -085.83407664 102
111  41.27330017 -085.83407184 102
111  41.27286427 -085.83406115
112  41.27286427 -085.83406115  41.27277038 -085.83406381 102
111  41.27273491 -085.83420400
111  41.27273990 -085.83375619 102
112  41.27287168 -085.83391328  41.27296756 -085.83392125
111  41.27287168 -085.83391328 102
111  41.27329884 -085.83392665 102
111  41.27349454 -085.83393277 102
112  41.27365169 -085.83379959  41.27367366 -085.83366138
111  41.27365169 -085.83379959 102
111  41.27373342 -085.82847296 102
112  41.27354545 -085.82822347  41.27336649 -085.82819209
111  41.27354545 -085.82822347 102
111  41.27339142 -085.82821809 102
111  41.27297738 -085.82820363
112  41.27297738 -085.82820363  41.27285392 -085.82821101 102
111  41.27282377 -085.82833955
111  41.27282982 -085.82789073 102
112  41.27298035 -085.82806558  41.27312878 -085.82808588
111  41.27298035 -085.82806558
112  41.27298035 -085.82806558  41.27307181 -085.82807632 102
112  41.27339477 -085.82804544  41.27353224 -085.82803186
111  41.27339477 -085.82804544
112  41.27339477 -085.82804544  41.27346998 -085.82803801 102
111  41.27354836 -085.82803170 102
112  41.27369065 -085.82786565  41.27370314 -085.82771429
111  41.27369065 -085.82786565 102
111  41.27370321 -085.82771863 102
111  41.27374095 -085.82727177 102
111  41.27374438 -085.82701012 102
111  41.27376633 -085.82533882 102
111  41.27374062 -085.82490065 102
112  41.27361104 -085.82467162  41.27347287 -085.82464283
111  41.27361104 -085.82467162 102
112  41.27327763 -085.82462968  41.27313946 -085.82460088
111  41.27327763 -085.82462968 102
111  41.27303724 -085.82465306
112  41.27303724 -085.82465306  41.27290407 -085.82467299 102
111  41.27288223 -085.82483560
111  41.27288561 -085.82441305 102
111  41.27391315 -085.82445168 102
111  41.27387198 -085.82701387 102
111  41.27386057 -085.82772404 102
111  41.27367404 -085.83933459 102
112  41.27381132 -085.83954344  41.27395948 -085.83954344
111  41.27381132 -085.83954344 102
111  41.27396734 -085.83954828
111  41.27584177 -085.83960635
112  41.27596395 -085.83943700  41.27596117 -085.83931518
111  41.27596395 -085.83943700
