I
1050 Generated by WorldEditor 2.1.0r1

1   1386 0 0 KMKN Comanche Co City Rgnl
1301 A general_aviation 
1300  31.91456422 -098.59987660  88.90 tie_down props Tie-Down 04
1301 A general_aviation 
1300  31.91450154 -098.59998362 -88.92 tie_down props Tie-Down 03
1301 A general_aviation 
1300  31.91444018 -098.59987185  90.00 tie_down props Tie-Down 02
1301 A general_aviation 
1300  31.91429485 -098.60039545 270.00 hangar props Hangar 2-06
1301 A none 
1300  31.91437120 -098.60026829  90.00 hangar props Hangar 2-05
1301 A none 
1300  31.91443344 -098.60039384 270.00 hangar props Hangar 2-04
1301 A none 
1300  31.91451154 -098.60026622  90.00 hangar props Hangar 2-03
1301 A none 
1300  31.91458695 -098.60039798 267.72 hangar props Hangar 2-02
1301 A none 
1300  31.91466424 -098.60027443  90.00 hangar props Hangar 2-01
1301 A none 
1300  31.91492260 -098.60023929 -180.00 hangar props Hangar 1-02
1301 A none 
1300  31.91492042 -098.60036243 -180.00 hangar props Hangar 1-01
1301 A none 
1300  31.91432161 -098.59997873 268.03 tie_down props Tie-Down 01
1301 A general_aviation 
18  31.91442557 -098.60066982 1 BCN
19  31.92028823 -098.60017862 0 New Windsock 1
50 11857 AWOS 3
51 12307 Comanche Unicom
99
