I
1050 Generated by WorldEditor 2.2.0r2

1     26 1 0 MUBA Baracoa/Gustavo Rizo
112  20.35852804 -074.50434394  20.35862399 -074.50436021 1
112  20.35858539 -074.50416798  20.35849425 -074.50412372
111  20.35858539 -074.50416798 1
111  20.35844267 -074.50409785
112  20.35844267 -074.50409785  20.35838120 -074.50406150 1
115  20.35838840 -074.50399645
120 Linear Feature 21
111  20.35882835 -074.50300992 1
112  20.35902876 -074.50293180  20.35915769 -074.50297901
111  20.35902876 -074.50293180 1
115  20.35933130 -074.50308199
120 Linear Feature 20
112  20.35875907 -074.50279810  20.35887645 -074.50289970 1
111  20.35882835 -074.50300992 1
111  20.35851399 -074.50371482 1
111  20.35842386 -074.50391694 1
111  20.35838840 -074.50399645 1
111  20.35833036 -074.50412658
112  20.35833036 -074.50412658  20.35826221 -074.50421068 1
111  20.35817930 -074.50417687 1
111  20.35806284 -074.50411836
111  20.35804320 -074.50410849
112  20.35804320 -074.50410849  20.35794432 -074.50405076 1
112  20.35811825 -074.50394314  20.35822650 -074.50398947
111  20.35811825 -074.50394314 1
111  20.35828914 -074.50402352
112  20.35828914 -074.50402352  20.35834537 -074.50404490 1
115  20.35838840 -074.50399645
120 Linear Feature 19
111  20.35858785 -074.50447410 3
111  20.35790370 -074.50413261 3
115  20.35798360 -074.50395503
14  20.35791945 -074.50449624  82.02 0 Tower Viewpoint
1300  20.35822900 -074.50374302 155.91 tie_down turboprops|props Ramp GA 4
1301 A general_aviation 
1300  20.35806284 -074.50411836 154.66 gate jets|turboprops Remote Stand 3
1301 B airline 
1300  20.35868297 -074.50395338 -24.66 tie_down turboprops|props Ramp GA 2
1301 A general_aviation 
1300  20.35850281 -074.50433646 -24.66 gate jets|turboprops Remote Stand 1
1301 B airline 
19  20.35925354 -074.50403282 0 WS
54 12250 Baracoa Tower
55 12040 Santiago Approach
55 11940 Santiago Approach
99
