I
1050 Generated by WorldEditor 2.2.0r2

1   2730 0 0 63F Stanton Muni
111  32.17113266 -101.82013086 1
115  32.17114086 -101.82009654
120 Linear Feature 11
111  32.17110067 -101.82026922 1
115  32.17105631 -101.82025512
120 Linear Feature 10
111  32.17109310 -101.82030135 1
111  32.17110067 -101.82026922 1
115  32.17110815 -101.82023743
120 Linear Feature 9
111  32.17106850 -101.82040974 1
115  32.17102356 -101.82039509
120 Linear Feature 8
111  32.17106070 -101.82044235 1
111  32.17106850 -101.82040974 1
115  32.17107757 -101.82037179
120 Linear Feature 7
112  32.17085553 -101.82136950  32.17082220 -101.82147159 1
112  32.17061677 -101.82152726  32.17049127 -101.82149906
111  32.17061677 -101.82152726 1
115  32.17008418 -101.82135757
120 Linear Feature 6
111  32.17103133 -101.82059986 1
111  32.17085553 -101.82136950
112  32.17085553 -101.82136950  32.17083702 -101.82147743 1
112  32.17099854 -101.82164953  32.17111746 -101.82169425
111  32.17099854 -101.82164953 1
115  32.17153121 -101.82181875
14  32.17139525 -101.81968971  82.02 0 Tower Viewpoint
1300  32.17088247 -101.82005427 344.16 tie_down props GA Ramp 08
1301 A general_aviation 
1300  32.17085172 -101.82018906 344.16 tie_down props GA Ramp 07
1301 A general_aviation 
1300  32.17082266 -101.82032148 344.16 tie_down props GA Ramp 06
1301 A general_aviation 
1300  32.17099372 -101.82031013 164.16 tie_down props GA Ramp 05
1301 A general_aviation 
1300  32.17102621 -101.82017050 164.16 tie_down props GA Ramp 04
1301 A general_aviation 
1300  32.17113266 -101.82013086 344.16 tie_down props GA Ramp 03
1301 A general_aviation 
1300  32.17110067 -101.82026922 344.16 tie_down props GA Ramp 02
1301 A general_aviation 
1300  32.17106850 -101.82040974 344.16 tie_down props GA Ramp 01
1301 A general_aviation 
1300  32.17139786 -101.81845780 344.16 hangar props Hangar 11
1301 A none 
1300  32.17135373 -101.81864512 344.16 hangar props Hangar 10
1301 A none 
1300  32.17130795 -101.81883674 344.16 hangar props Hangar 09
1301 A none 
1300  32.17126422 -101.81902634 344.16 hangar props Hangar 08
1301 A none 
1300  32.17122088 -101.81920761 344.16 hangar props Hangar 07
1301 A none 
1300  32.17138582 -101.81835785 164.16 hangar props Hangar 06
1301 A none 
1300  32.17134263 -101.81853724 164.16 hangar props Hangar 05
1301 A none 
1300  32.17129656 -101.81873118 164.16 hangar props Hangar 04
1301 A none 
1300  32.17125190 -101.81892366 164.16 hangar props Hangar 03
1301 A none 
1300  32.17120734 -101.81910732 164.16 hangar props Hangar 02
1301 A none 
1300  32.17102851 -101.81980349 254.62 hangar props Hangar 01
1301 A none 
18  32.17205097 -101.82317646 1 Airport Beacon
19  32.17146518 -101.82079717 0 Windsock 2
19  32.17277267 -101.82317909 1 Windsock 1
51 12290 Stanton Unicom
99
