A
1050 Generated by WorldEditor 1.6.0r1

1     57 0 0 1N2 Spadro Airport
1300  40.82401685 -072.74939057  86.62 hangar props Hangar 07
1301 A none 
1300  40.82605944 -072.74969922  84.89 hangar props Hangar 08
1301 A none 
1300  40.82619670 -072.74972107  85.33 hangar props Hangar 09
1301 A none 
1300  40.82685003 -072.74981496  85.14 hangar props Hangar 10
1301 A none 
1300  40.82704118 -072.74983706  85.74 hangar props Hangar 11
1301 A none 
1300  40.82719465 -072.74986340  85.09 hangar props Hangar 12
1301 A none 
1300  40.82738657 -072.74992384  87.96 hangar props Hangar 13
1301 A none 
1300  40.82759620 -072.74990670  87.38 hangar props Hangar 14
1301 A none 
1300  40.82782051 -072.74993496  87.21 hangar props Hangar 15
1301 A none 
19  40.82143273 -072.75014549 1 WS
19  40.82921551 -072.74976732 1 WS
51 12300 CTAF/UNICOM
99
