A
1000 Generated by WorldEditor

1     19 1 0 KPBI Palm Beach Intl
110 2 0.25 2.7900 xxx
111  26.68438903 -080.07888293
111  26.68603286 -080.07879327
111  26.68611297 -080.08063307
113  26.68446914 -080.08072273
110 2 0.25 0.0000 xxx
111  26.68811696 -080.09353948
111  26.69003704 -080.09353948
111  26.69003704 -080.09507452
113  26.68811696 -080.09507452
110 2 0.25 130.0000 xxx
111  26.68541179 -080.09236544
111  26.68417758 -080.09071923
111  26.68522821 -080.08973256
113  26.68646242 -080.09137877
110 1 0.25 330.0000 xxx
111  26.67965034 -080.08467445
111  26.68226338 -080.08636287
111  26.68215366 -080.08657555
113  26.67954062 -080.08488713
110 1 0.25 77.8000 xxx
111  26.68060993 -080.08103331
111  26.68118959 -080.07803279
111  26.68140407 -080.07808469
113  26.68082441 -080.08108521
110 1 0.25 85.0000 xxx
111  26.67933982 -080.10609972
111  26.67957888 -080.10304158
111  26.67968818 -080.10305228
113  26.67944912 -080.10611042
110 1 0.25 2.7900 xxx
111  26.68020441 -080.09918766
111  26.68267291 -080.09905303
111  26.68267959 -080.09920634
113  26.68021109 -080.09934097
110 1 0.25 92.7900 xxx
111  26.67933642 -080.09832594
111  26.67922961 -080.09587300
111  26.67950358 -080.09585806
113  26.67961039 -080.09831100
110 1 0.25 350.0000 xxx
111  26.68355904 -080.09663050
111  26.68569307 -080.09705164
111  26.68565496 -080.09729350
113  26.68352093 -080.09687236
110 1 0.35 179.8000 xxx
111  26.68453823 -080.10829681
111  26.68248101 -080.10828878
111  26.68248177 -080.10804319
113  26.68453899 -080.10805122
110 1 0.25 92.7900 xxx
111  26.67956074 -080.09850764
111  26.67946728 -080.09636131
111  26.67974126 -080.09634636
113  26.67983472 -080.09849269
110 1 0.25 20.0000 xxx
111  26.68114333 -080.10559910
111  26.68294762 -080.10486412
111  26.68302267 -080.10509490
113  26.68121838 -080.10582988
110 1 0.25 2.0000 xxx
111  26.68037071 -080.09336678
111  26.68228963 -080.09329178
111  26.68229729 -080.09353722
113  26.68037837 -080.09361222
110 1 0.25 128.0000 xxx
111  26.67910816 -080.09268674
111  26.67787538 -080.09092085
111  26.67796184 -080.09084526
113  26.67919462 -080.09261115
110 1 0.35 182.7900 xxx
111  26.68202382 -080.09660316
111  26.68003752 -080.09671149
111  26.68003218 -080.09658884
113  26.68201848 -080.09648051
110 1 0.25 100.0000 xxx
111  26.67966380 -080.10073627
111  26.67937801 -080.09892236
111  26.67975620 -080.09884773
113  26.68004199 -080.10066164
110 1 0.25 99.0000 xxx
111  26.67964400 -080.10818781
111  26.67934363 -080.10606540
111  26.67945200 -080.10604619
113  26.67975237 -080.10816860
110 1 0.25 0.0000 xxx
111  26.68229296 -080.08786650
111  26.68402104 -080.08786650
111  26.68402104 -080.08817350
113  26.68229296 -080.08817350
110 1 0.25 2.8000 xxx
111  26.68235539 -080.08643168
111  26.68399921 -080.08634170
111  26.68401261 -080.08664832
113  26.68236879 -080.08673830
110 2 0.25 70.0000 xxx
111  26.67933468 -080.07793091
111  26.67989757 -080.07620010
111  26.68015532 -080.07630509
113  26.67959243 -080.07803590
110 1 0.25 0.0000 xxx
111  26.67963997 -080.10809260
111  26.68117603 -080.10809260
111  26.68117603 -080.10821540
113  26.67963997 -080.10821540
110 1 0.35 53.3400 xxx
111  26.67955041 -080.09390623
111  26.68020551 -080.09292119
111  26.68064559 -080.09328777
113  26.67999049 -080.09427281
110 1 0.35 92.7900 xxx
111  26.67950516 -080.10187560
111  26.67944908 -080.10058780
111  26.67991484 -080.10056240
113  26.67997092 -080.10185020
110 1 0.25 2.8000 xxx
111  26.68135871 -080.07780284
111  26.68272857 -080.07772786
111  26.68273929 -080.07797316
113  26.68136943 -080.07804814
110 1 0.25 1.9000 xxx
111  26.68580399 -080.09710871
111  26.68717473 -080.09705782
111  26.68718201 -080.09730329
113  26.68581127 -080.09735418
110 1 0.25 45.3400 xxx
111  26.67900970 -080.09209136
111  26.67997372 -080.09099959
111  26.68011030 -080.09115064
113  26.67914628 -080.09224241
110 1 0.25 0.0000 xxx
111  26.68600655 -080.09719700
111  26.68702145 -080.09719700
111  26.68702145 -080.09781100
113  26.68600655 -080.09781100
110 1 0.35 182.7900 xxx
111  26.68097679 -080.10309726
111  26.67959322 -080.10317272
111  26.67958521 -080.10298874
113  26.68096878 -080.10291328
110 1 0.25 150.0000 xxx
111  26.67979189 -080.09923355
111  26.67907924 -080.09877308
111  26.67942211 -080.09810845
113  26.68013476 -080.09856892
110 1 0.25 135.0000 xxx
111  26.67983715 -080.09358809
111  26.67906131 -080.09271981
111  26.67933285 -080.09241591
113  26.68010869 -080.09328419
110 1 0.25 2.8000 xxx
111  26.68311314 -080.08089506
111  26.68377067 -080.08085907
111  26.68381086 -080.08177894
113  26.68315333 -080.08181493
110 1 0.25 350.0000 xxx
111  26.68350468 -080.09272895
111  26.68466895 -080.09295872
111  26.68462132 -080.09326105
113  26.68345705 -080.09303128
110 1 0.25 92.0000 xxx
111  26.69190341 -080.10362231
111  26.69186129 -080.10227226
111  26.69208059 -080.10226369
113  26.69212271 -080.10361374
110 2 0.25 70.0000 xxx
111  26.67950183 -080.07780313
111  26.67979266 -080.07690888
111  26.68030817 -080.07711887
113  26.68001734 -080.07801312
110 1 0.25 0.0000 xxx
111  26.68383118 -080.10451301
111  26.68465682 -080.10451301
111  26.68465682 -080.10512699
113  26.68383118 -080.10512699
110 1 0.25 45.3400 xxx
111  26.68888784 -080.10063985
111  26.68965905 -080.09976636
111  26.68985416 -080.09998215
113  26.68908295 -080.10085564
110 2 0.25 100.0000 xxx
111  26.68009620 -080.07740629
111  26.67990567 -080.07619701
111  26.68017580 -080.07614371
113  26.68036633 -080.07735299
110 1 0.25 150.0000 xxx
111  26.67970030 -080.09566542
111  26.67901140 -080.09522029
111  26.67928570 -080.09468858
113  26.67997460 -080.09513371
110 1 0.35 225.3400 xxx
111  26.68425765 -080.09101159
111  26.68348643 -080.09188504
111  26.68333035 -080.09171241
113  26.68410157 -080.09083896
110 1 0.25 350.0000 xxx
111  26.68204072 -080.07862995
111  26.68304291 -080.07882772
111  26.68299528 -080.07913005
113  26.68199309 -080.07893228
110 1 0.25 90.0000 xxx
111  26.69174700 -080.10339703
111  26.69174700 -080.10216897
111  26.69193900 -080.10216897
113  26.69193900 -080.10339703
110 1 0.35 222.8000 xxx
111  26.68341237 -080.09241550
111  26.68270796 -080.09314554
111  26.68249363 -080.09288650
113  26.68319804 -080.09215646
110 1 0.25 57.0000 xxx
111  26.67924287 -080.09478843
111  26.67969105 -080.09401606
111  26.68005913 -080.09428357
113  26.67961095 -080.09505594
110 1 0.25 170.0000 xxx
111  26.68440026 -080.09349872
111  26.68345210 -080.09331161
111  26.68349974 -080.09300928
113  26.68444790 -080.09319639
110 1 0.25 12.8000 xxx
111  26.68202952 -080.07894834
111  26.68296571 -080.07871030
111  26.68302648 -080.07900966
113  26.68209029 -080.07924770
110 1 0.25 93.0000 xxx
111  26.67957793 -080.10307134
111  26.67952050 -080.10184509
111  26.67963007 -080.10183866
113  26.67968750 -080.10306491
110 1 0.25 70.0000 xxx
111  26.67788141 -080.09022339
111  26.67820038 -080.08924261
111  26.67840659 -080.08932661
113  26.67808762 -080.09030739
110 1 0.25 2.8000 xxx
111  26.68217322 -080.08181917
111  26.68308006 -080.08176953
111  26.68309078 -080.08201483
113  26.68218394 -080.08206447
110 1 0.25 350.0000 xxx
111  26.68259565 -080.09202349
111  26.68340874 -080.09218395
111  26.68335635 -080.09251651
113  26.68254326 -080.09235605
110 2 0.25 86.0000 xxx
111  26.68003648 -080.07822265
111  26.68009389 -080.07730394
111  26.68036752 -080.07732535
113  26.68031011 -080.07824406
110 1 0.25 2.0000 xxx
111  26.68298102 -080.10386667
111  26.68380341 -080.10383453
111  26.68381298 -080.10414133
113  26.68299059 -080.10417347
110 1 0.25 0.0000 xxx
111  26.68306255 -080.10476550
111  26.68388545 -080.10476550
111  26.68388545 -080.10507250
113  26.68306255 -080.10507250
110 1 0.25 2.0000 xxx
111  26.68287102 -080.10073867
111  26.68369341 -080.10070653
111  26.68370298 -080.10101333
113  26.68288059 -080.10104547
110 1 0.25 90.0000 xxx
111  26.68379728 -080.10817403
111  26.68379728 -080.10724997
111  26.68401672 -080.10724997
113  26.68401672 -080.10817403
110 1 0.25 53.0000 xxx
111  26.67987933 -080.09241007
111  26.68040923 -080.09162308
111  26.68054067 -080.09173393
113  26.68001077 -080.09252092
110 1 0.25 84.0000 xxx
111  26.68369187 -080.10820313
111  26.68377789 -080.10728720
111  26.68399613 -080.10731287
113  26.68391011 -080.10822880
110 2 0.25 0.0000 xxx
111  26.67933355 -080.07788825
111  26.68015645 -080.07788825
111  26.68015645 -080.07804175
113  26.67933355 -080.07804175
110 1 0.25 96.0000 xxx
111  26.67907686 -080.09273908
111  26.67901378 -080.09206742
111  26.67934114 -080.09202892
113  26.67940422 -080.09270058
110 1 0.25 92.7900 xxx
111  26.68116123 -080.10840392
111  26.68112118 -080.10748405
111  26.68123077 -080.10747808
113  26.68127082 -080.10839795
110 1 0.25 2.0000 xxx
111  26.68112089 -080.10739171
111  26.68194328 -080.10735957
111  26.68194711 -080.10748229
113  26.68112472 -080.10751443
110 1 0.25 0.0000 xxx
111  26.68330833 -080.10732880
111  26.68385967 -080.10732880
111  26.68385967 -080.10769720
113  26.68330833 -080.10769720
110 1 0.25 51.3000 xxx
111  26.68686831 -080.09664858
111  26.68724562 -080.09612147
111  26.68745969 -080.09631342
113  26.68708238 -080.09684053
110 1 0.35 182.7900 xxx
111  26.68112938 -080.10582278
111  26.68037596 -080.10586387
111  26.68037062 -080.10574122
113  26.68112404 -080.10570013
110 1 0.25 45.3400 xxx
111  26.68406492 -080.09346977
111  26.68445246 -080.09303086
111  26.68466708 -080.09326823
113  26.68427954 -080.09370714
110 2 0.25 72.8000 xxx
111  26.67879677 -080.08599032
111  26.67895900 -080.08540382
111  26.67924723 -080.08550368
113  26.67908500 -080.08609018
110 1 0.25 60.0000 xxx
111  26.68223039 -080.08705144
111  26.68250606 -080.08651706
111  26.68274361 -080.08667056
113  26.68246794 -080.08720494
110 1 0.25 0.0000 xxx
111  26.67984633 -080.09052951
111  26.68039767 -080.09052951
111  26.68039767 -080.09083649
113  26.67984633 -080.09083649
110 1 0.25 150.0000 xxx
111  26.68260616 -080.08670519
111  26.68212869 -080.08639667
111  26.68226584 -080.08613081
113  26.68274331 -080.08643933
110 1 0.25 100.0000 xxx
111  26.68030380 -080.09137249
111  26.68020807 -080.09076482
111  26.68047820 -080.09071151
113  26.68057393 -080.09131918
110 1 0.25 132.0000 xxx
111  26.68296528 -080.07839826
111  26.68255965 -080.07789407
111  26.68272272 -080.07772974
113  26.68312835 -080.07823393
110 1 0.35 225.3400 xxx
111  26.69213476 -080.10362272
111  26.69192268 -080.10386293
111  26.69158124 -080.10348528
113  26.69179332 -080.10324507
110 1 0.25 100.0000 xxx
111  26.68688282 -080.09726417
111  26.68678708 -080.09665647
111  26.68700318 -080.09661383
113  26.68709892 -080.09722153
110 1 0.25 0.0000 xxx
111  26.69126933 -080.10325519
111  26.69182067 -080.10325519
111  26.69182067 -080.10350081
113  26.69126933 -080.10350081
110 1 0.25 0.0000 xxx
111  26.68262962 -080.09226146
111  26.68301638 -080.09226146
111  26.68301638 -080.09266054
113  26.68262962 -080.09266054
110 1 0.25 100.0000 xxx
111  26.67859532 -080.08934948
111  26.67849958 -080.08874183
111  26.67868868 -080.08870452
113  26.67878442 -080.08931217
110 1 0.25 0.0000 xxx
111  26.67821348 -080.08940021
111  26.67868252 -080.08940021
111  26.67868252 -080.08964579
113  26.67821348 -080.08964579
110 1 0.25 0.0000 xxx
111  26.68645128 -080.09773150
111  26.68686272 -080.09773150
111  26.68686272 -080.09803850
113  26.68645128 -080.09803850
110 1 0.25 340.0000 xxx
111  26.68179903 -080.08682909
111  26.68221402 -080.08699813
111  26.68213897 -080.08722891
113  26.68172398 -080.08705987
110 1 0.25 2.7900 xxx
111  26.68017967 -080.09663284
111  26.68045364 -080.09661789
111  26.68047233 -080.09704716
113  26.68019836 -080.09706211
110 1 0.25 85.0000 xxx
111  26.67787544 -080.09095246
111  26.67792326 -080.09034084
111  26.67803256 -080.09035154
113  26.67798474 -080.09096316
110 1 0.25 114.0000 xxx
111  26.67801529 -080.09057223
111  26.67787025 -080.09020766
111  26.67807071 -080.09010777
113  26.67821575 -080.09047234
110 2 0.25 0.0000 xxx
111  26.67979148 -080.07675051
111  26.68006852 -080.07675051
111  26.68006852 -080.07705749
113  26.67979148 -080.07705749
110 1 0.25 92.9000 xxx
111  26.68065121 -080.10621625
111  26.68063303 -080.10581462
111  26.68082479 -080.10580375
113  26.68084297 -080.10620538
110 1 0.25 2.7900 xxx
111  26.68036997 -080.10153924
111  26.68064668 -080.10152414
111  26.68066003 -080.10183076
113  26.68038332 -080.10184586
110 2 0.25 0.0000 xxx
111  26.67951248 -080.07762851
111  26.67978952 -080.07762851
111  26.67978952 -080.07793549
113  26.67951248 -080.07793549
110 1 0.25 54.3000 xxx
111  26.68118006 -080.07806171
111  26.68135773 -080.07778498
111  26.68153594 -080.07792829
113  26.68135827 -080.07820502
110 1 0.25 2.9000 xxx
111  26.68078946 -080.10610455
111  26.68117299 -080.10608281
111  26.68117854 -080.10620545
113  26.68079501 -080.10622719
110 1 0.25 2.7900 xxx
111  26.68068897 -080.10163822
111  26.68096569 -080.10162313
111  26.68097103 -080.10174578
113  26.68069431 -080.10176087
130 Airport Boundary
111  26.67795372 -080.09065247
111  26.67954826 -080.10711670
111  26.68040848 -080.10815430
111  26.68320847 -080.10837555
111  26.69183350 -080.10401917
111  26.69199181 -080.10294342
111  26.68525124 -080.07975769
111  26.68284416 -080.07806396
111  26.68013573 -080.07677460
111  26.67992973 -080.07690430
111  26.67974472 -080.07711792
113  26.67965126 -080.07778168
21  26.68331823 -080.10162610 2 92.7900 3.0 10L PAPI-4L
21  26.68140194 -080.10426066 2 92.7900 3.0 10R PAPI-4L
21  26.69083675 -080.10228444 2 135.3300 3.0 14  PAPI-4L
21  26.68054820 -080.09848934 2 272.7900 3.0 28L PAPI-4L
21  26.68173147 -080.08379310 2 272.8000 3.0 28R PAPI-4L
21  26.68013946 -080.09172178 2 315.3400 3.0 32  PAPI-4L
14  26.67948000 -080.09986900  30.00 0 Tower
1300  26.68688476 -080.08898805   1.09 gate heavy Custom Start-up Location 9
1300  26.68689623 -080.08962943   1.09 gate heavy Custom Start-up Location 8
1300  26.68688476 -080.09037343   1.09 gate heavy Custom Start-up Location 7
1300  26.68688476 -080.09113027   1.09 gate heavy Custom Start-up Location 6
1300  26.68690769 -080.09186144   1.09 gate heavy Custom Start-up Location 5
1300  26.68722861 -080.09250283  45.69 gate heavy Custom Start-up Location 4
1300  26.68762977 -080.09291331  45.69 gate heavy Custom Start-up Location 3
1300  26.68801946 -080.09332380  45.69 gate heavy Custom Start-up Location 2
1300  26.68844354 -080.09375994  45.69 gate heavy Custom Start-up Location 1
1300  26.68534627 -080.08742248  48.47 gate heavy West Remote Ramp
1300  26.68802651 -080.09544622 309.29 gate heavy East Remote Ramp
18  26.68805900 -080.08898500 1 BCN
19  26.69138200 -080.10250700 1 WS
19  26.68104700 -080.09728500 1 WS
19  26.68356100 -080.10662200 1 WS
19  26.67863700 -080.09023100 1 WS
19  26.68145100 -080.10499100 1 WS
19  26.68255900 -080.07991400 1 WS
50 11997 ASOS
50 12375 ATIS
51 12295 UNICOM
52 12160 CLNC DEL
53 12190 GND
54 11875 TWR
54 11910 TWR
55 12520 APP
55 12500 APP
55 12460 APP
56 12735 DEP
56 12830 DEP
99
