I
1050 Generated by WorldEditor

1   7522 0 0 KANK HARRIET ALEXANDER FLD
120 Linear Feature 32
111  38.53613147 -106.05135710 51
115  38.53607722 -106.05133430
120 Linear Feature 32
111  38.53616833 -106.05121341 51
115  38.53611408 -106.05119061
120 Linear Feature 32
111  38.53620430 -106.05108006 51
115  38.53615005 -106.05105726
120 Linear Feature 32
111  38.53623757 -106.05094212 51
115  38.53618332 -106.05091932
120 Linear Feature 32
111  38.53627624 -106.05079958 51
115  38.53622199 -106.05077678
120 Linear Feature 32
111  38.53630167 -106.05089214 51
115  38.53624742 -106.05086934
120 Linear Feature 32
111  38.53626576 -106.05102984 51
115  38.53621151 -106.05100704
120 Linear Feature 32
111  38.53622507 -106.05116755 51
115  38.53617082 -106.05114475
120 Linear Feature 32
111  38.53618751 -106.05130835 51
115  38.53613326 -106.05128555
120 Linear Feature 32
111  38.53614995 -106.05144722 51
115  38.53609570 -106.05142442
120 Linear Feature 32
111  38.53611087 -106.05158413 51
115  38.53605662 -106.05156133
120 Linear Feature 32
111  38.53607381 -106.05172170 51
115  38.53601956 -106.05169890
120 Linear Feature 37
111  38.53599023 -106.05164484 51
111  38.53600875 -106.05158056
111  38.53603329 -106.05150165 51
111  38.53604937 -106.05144225
111  38.53606897 -106.05136274 51
111  38.53608589 -106.05130439
111  38.53610361 -106.05122674 51
111  38.53612345 -106.05115832
111  38.53613993 -106.05109228 51
111  38.53616023 -106.05102208
111  38.53617328 -106.05095481 51
111  38.53619225 -106.05088777
111  38.53621459 -106.05080305 51
115  38.53622908 -106.05075157
120 Linear Feature 37
111  38.53606527 -106.05175153 51
111  38.53608379 -106.05168726
111  38.53610326 -106.05161268 51
111  38.53611934 -106.05155328
111  38.53614176 -106.05147547 51
111  38.53615869 -106.05141712
111  38.53617788 -106.05134158 51
111  38.53619772 -106.05127315
111  38.53621496 -106.05120252 51
111  38.53623527 -106.05113232
111  38.53625646 -106.05106272 51
111  38.53627542 -106.05099567
111  38.53629256 -106.05092241 51
115  38.53631069 -106.05086215
120 Linear Feature 37
111  38.53634052 -106.05180121 51
111  38.53635904 -106.05173693
111  38.53638504 -106.05165666 51
111  38.53640112 -106.05159726
111  38.53641592 -106.05151550 51
111  38.53643285 -106.05145715
111  38.53645692 -106.05138327 51
111  38.53647676 -106.05131484
111  38.53649651 -106.05124792 51
111  38.53651681 -106.05117772
111  38.53653526 -106.05110482 51
111  38.53655423 -106.05103778
111  38.53657195 -106.05096770 51
115  38.53659119 -106.05090549
120 Linear Feature 37
111  38.53622996 -106.05183091 51
111  38.53624848 -106.05176664
111  38.53626913 -106.05168588 51
111  38.53628522 -106.05162648
111  38.53630702 -106.05154894 51
111  38.53632395 -106.05149059
111  38.53634577 -106.05141413 51
111  38.53636562 -106.05134570
111  38.53638249 -106.05127868 51
111  38.53640279 -106.05120848
111  38.53642286 -106.05113660 51
111  38.53644183 -106.05106956
111  38.53646187 -106.05098922 51
115  38.53647538 -106.05093999
120 Linear Feature 32
111  38.53629420 -106.05181810 51
115  38.53623995 -106.05179530
120 Linear Feature 32
111  38.53634957 -106.05176973 51
115  38.53629532 -106.05174693
120 Linear Feature 32
111  38.53639317 -106.05162683 51
115  38.53633892 -106.05160403
120 Linear Feature 32
111  38.53642444 -106.05148622 51
115  38.53637019 -106.05146342
120 Linear Feature 32
111  38.53646687 -106.05134918 51
115  38.53641262 -106.05132638
120 Linear Feature 32
111  38.53654448 -106.05107223 51
115  38.53649023 -106.05104943
120 Linear Feature 32
111  38.53650707 -106.05121142 51
115  38.53645282 -106.05118862
120 Linear Feature 32
111  38.53658189 -106.05093590 51
115  38.53652764 -106.05091310
120 Linear Feature 32
111  38.53652295 -106.05098723 51
115  38.53646870 -106.05096443
120 Linear Feature 32
111  38.53648654 -106.05112689 51
115  38.53643229 -106.05110409
120 Linear Feature 32
111  38.53644715 -106.05126559 51
115  38.53639290 -106.05124279
120 Linear Feature 32
111  38.53640925 -106.05140525 51
115  38.53635500 -106.05138245
120 Linear Feature 32
111  38.53636987 -106.05154205 51
115  38.53631562 -106.05151925
120 Linear Feature 32
111  38.53633122 -106.05167981 51
115  38.53627698 -106.05165701
120 Linear Feature 29
111  38.53580641 -106.05551889 54
115  38.53587195 -106.05543273
120 Linear Feature 28
111  38.53705343 -106.05094971 54
115  38.53708821 -106.05082252
120 Linear Feature 26
111  38.53780492 -106.04826041 54
115  38.53782267 -106.04813929
120 Linear Feature 23
111  38.53439123 -106.06063281 54
115  38.53445481 -106.06039704
120 Linear Feature 17
111  38.53810551 -106.04923074 51
111  38.53829421 -106.04853682 51
116  38.53817339 -106.04829399  38.53801649 -106.04823435
120 Linear Feature 16
111  38.53783483 -106.05020979 51
111  38.53765525 -106.05084607 51
116  38.53738896 -106.05102819  38.53718372 -106.05096587
120 Linear Feature 15
111  38.53616668 -106.05171813 51
116  38.53597793 -106.05183885  38.53582423 -106.05176324
120 Linear Feature 14
111  38.53643023 -106.05077945 51
112  38.53634092 -106.05057080  38.53622885 -106.05052907 51
115  38.53616193 -106.05067753
120 Linear Feature 13
111  38.53690486 -106.05081259 51
116  38.53676562 -106.05090390  38.53670795 -106.05101240
120 Linear Feature 12
111  38.53690486 -106.05081259 51
116  38.53684092 -106.05062620  38.53685368 -106.05050541
120 Linear Feature 11
111  38.53684092 -106.05062620 51
116  38.53667807 -106.05071708  38.53656247 -106.05068985
120 Linear Feature 10
111  38.53676562 -106.05090390 51
116  38.53667807 -106.05071708  38.53658134 -106.05067674
120 Linear Feature 9
111  38.53623124 -106.05195104 51
112  38.53616668 -106.05171813  38.53622062 -106.05152622 51
111  38.53643023 -106.05077945 51
116  38.53658242 -106.05067214  38.53671368 -106.05068061
120 Linear Feature 8
111  38.53649099 -106.05189938 51
116  38.53631325 -106.05198712  38.53618737 -106.05193769
120 Linear Feature 7
111  38.53625462 -106.05035204 51
112  38.53634092 -106.05057080  38.53644155 -106.05061229 51
111  38.53658242 -106.05067214 51
111  38.53667807 -106.05071708 51
111  38.53690486 -106.05081259 51
111  38.53738896 -106.05102819 51
112  38.53751403 -106.05134965  38.53745874 -106.05154657 51
115  38.53733104 -106.05201782
120 Linear Feature 6
111  38.53763606 -106.04814967 51
116  38.53748842 -106.04827029  38.53743050 -106.04841470
120 Linear Feature 5
111  38.53639884 -106.05221837 51
111  38.53649099 -106.05189938 51
111  38.53676562 -106.05090390 51
111  38.53684092 -106.05062620 51
111  38.53748842 -106.04827029 51
116  38.53740391 -106.04808869  38.53729675 -106.04806277
120 Linear Feature 4
111  38.53604958 -106.05666406 51
111  38.53623389 -106.05600094 51
116  38.53611852 -106.05572681  38.53596449 -106.05563761
120 Linear Feature 3
111  38.53577502 -106.05541482 51
112  38.53563307 -106.05519952  38.53560773 -106.05510129 51
115  38.53562364 -106.05502616
120 Linear Feature 2
111  38.53652796 -106.05493074 51
111  38.53634496 -106.05559890 51
112  38.53623964 -106.05571672  38.53615802 -106.05575374 51
111  38.53611852 -106.05572681 51
112  38.53602831 -106.05566938  38.53600067 -106.05564347 51
111  38.53577502 -106.05541482 51
112  38.53564042 -106.05536359  38.53557094 -106.05538763 51
115  38.53551353 -106.05548211
120 Linear Feature 1
111  38.53857394 -106.04751541 51
111  38.53839492 -106.04817589 51
112  38.53817339 -106.04829399  38.53800336 -106.04825009 51
111  38.53763606 -106.04814967 51
111  38.53740391 -106.04808869 51
111  38.53690157 -106.04795941 51
112  38.53671928 -106.04811303  38.53666696 -106.04830741 51
111  38.53646002 -106.04905258 51
112  38.53647076 -106.04921455  38.53649589 -106.04929717 51
112  38.53648512 -106.04951444  38.53644802 -106.04964908 51
111  38.53625462 -106.05035204 51
111  38.53616193 -106.05067753 51
111  38.53590312 -106.05164628 51
112  38.53597793 -106.05183885  38.53608257 -106.05188693 51
111  38.53623124 -106.05195104 51
111  38.53631325 -106.05198712 51
112  38.53637857 -106.05208960  38.53640560 -106.05217204 51
111  38.53639884 -106.05221837 51
111  38.53562364 -106.05502616 51
111  38.53551353 -106.05548211 51
111  38.53424422 -106.06008178 51
112  38.53422624 -106.06025421  38.53423523 -106.06033583 51
111  38.53428648 -106.06037376 51
111  38.53435925 -106.06041417 51
111  38.53476437 -106.06059084 51
112  38.53499778 -106.06046203  38.53504753 -106.06028459 51
115  38.53518102 -106.05979856
21  38.54115788 -106.03719115 2 249.1800 3.00 New Light Fixture 4
21  38.53546095 -106.05956777 2 68.0300 3.50 New Light Fixture 3
14  38.53582237 -106.05049402  16.40 0 New Tower Viewpoint 6
1300  38.53639119 -106.05005206 207.92 tie_down turboprops|props GA RAMP 01
1301 A general_aviation 
1300  38.53630505 -106.05033063 207.92 tie_down turboprops|props GA RAMP 02
1301 A general_aviation 
1300  38.53594169 -106.05126644 -18.46 tie_down turboprops|props GA RAMP 03
1301 A general_aviation 
1300  38.53590393 -106.05139864 -18.46 tie_down turboprops|props GA RAMP 04
1301 A general_aviation 
1300  38.53586616 -106.05154348 -18.46 tie_down turboprops|props GA RAMP 05
1301 A general_aviation 
1300  38.53582660 -106.05168142 -18.29 tie_down turboprops|props GA RAMP 06
1301 A general_aviation 
1300  38.53635416 -106.05091217 -18.46 tie_down turboprops|props GA RAMP 07A
1301 A general_aviation 
1300  38.53616693 -106.05075185 160.86 tie_down turboprops|props GA RAMP 07B
1301 A general_aviation 
1300  38.53631825 -106.05104987 -18.46 tie_down turboprops|props GA RAMP 08A
1301 A general_aviation 
1300  38.53612826 -106.05089439 160.86 tie_down turboprops|props GA RAMP 08B
1301 A general_aviation 
1300  38.53627756 -106.05118758 -18.46 tie_down turboprops|props GA RAMP 09A
1301 A general_aviation 
1300  38.53609499 -106.05103233 160.86 tie_down turboprops|props GA RAMP 09B
1301 A general_aviation 
1300  38.53624000 -106.05132838 -18.46 tie_down turboprops|props GA RAMP 10A
1301 A general_aviation 
1300  38.53605902 -106.05116568 160.86 tie_down turboprops|props GA RAMP 10B
1301 A general_aviation 
1300  38.53620244 -106.05146725 -18.46 tie_down turboprops|props GA RAMP 11A
1301 A general_aviation 
1300  38.53602216 -106.05130937 160.86 tie_down turboprops|props GA RAMP 11B
1301 A general_aviation 
1300  38.53616336 -106.05160416 -18.46 tie_down turboprops|props GA RAMP 12A
1301 A general_aviation 
1300  38.53598619 -106.05144732 160.86 tie_down turboprops|props GA RAMP 12B
1301 A general_aviation 
1300  38.53612630 -106.05174173 -18.46 tie_down turboprops|props GA RAMP 13A
1301 A general_aviation 
1300  38.53594483 -106.05158641 160.86 tie_down turboprops|props GA RAMP 13B
1301 A general_aviation 
1300  38.53663403 -106.05095989 -18.46 tie_down turboprops|props GA RAMP 14A
1301 A general_aviation 
1300  38.53641656 -106.05093910 160.86 tie_down turboprops|props GA RAMP 14B
1301 A general_aviation 
1300  38.53659662 -106.05109622 -18.46 tie_down turboprops|props GA RAMP 15A
1301 A general_aviation 
1300  38.53638015 -106.05107876 160.86 tie_down turboprops|props GA RAMP 15B
1301 A general_aviation 
1300  38.53655921 -106.05123541 -18.46 tie_down turboprops|props GA RAMP 16A
1301 A general_aviation 
1300  38.53634076 -106.05121746 160.86 tie_down turboprops|props GA RAMP 16B
1301 A general_aviation 
1300  38.53651901 -106.05137317 -18.46 tie_down turboprops|props GA RAMP 17A
1301 A general_aviation 
1300  38.53630286 -106.05135712 160.86 tie_down turboprops|props GA RAMP 17B
1301 A general_aviation 
1300  38.53647658 -106.05151021 -18.46 tie_down turboprops|props GA RAMP 18A
1301 A general_aviation 
1300  38.53626348 -106.05149392 160.86 tie_down turboprops|props GA RAMP 18B
1301 A general_aviation 
1300  38.53644531 -106.05165082 -18.46 tie_down turboprops|props GA RAMP 19A
1301 A general_aviation 
1300  38.53622484 -106.05163168 160.86 tie_down turboprops|props GA RAMP 19B
1301 A general_aviation 
1300  38.53640171 -106.05179372 -18.46 tie_down turboprops|props GA RAMP 20A
1301 A general_aviation 
1300  38.53618781 -106.05176997 160.86 tie_down turboprops|props GA RAMP 20B
1301 A general_aviation 
18  38.53877012 -106.04939105 1 BCN
50 13385 AWOS 3
51 12270 CTAF/UNICOM
99
