I
1050 Generated by WorldEditor 2.2.0r2

1   1105 0 0 53K Osage City Muni
111  38.63700928 -095.80220553 54
115  38.63675154 -095.80220607
120 Linear Feature 13
111  38.63672150 -095.80231760 1
115  38.63672150 -095.80225633
120 Linear Feature 13
111  38.63659527 -095.80232122 1
115  38.63659527 -095.80225995
120 Linear Feature 13
111  38.63647356 -095.80232050 1
115  38.63647356 -095.80225923
120 Linear Feature 13
111  38.63634732 -095.80232194 1
115  38.63634732 -095.80226068
120 Linear Feature 13
111  38.63622610 -095.80232216 1
115  38.63622610 -095.80227321
120 Linear Feature 12
111  38.63675823 -095.80231760 1
111  38.63672150 -095.80231760 1
115  38.63668910 -095.80231760
120 Linear Feature 12
111  38.63663199 -095.80232122 1
111  38.63659527 -095.80232122 1
115  38.63656287 -095.80232122
120 Linear Feature 12
111  38.63651028 -095.80232050 1
111  38.63647356 -095.80232050 1
115  38.63644116 -095.80232050
120 Linear Feature 12
111  38.63638405 -095.80232194 1
111  38.63634732 -095.80232194 1
115  38.63631492 -095.80232194
120 Linear Feature 12
111  38.63626282 -095.80232216 1
111  38.63622610 -095.80232216 1
115  38.63619370 -095.80232216
120 Linear Feature 11
111  38.63620397 -095.80251376 51
116  38.63616536 -095.80256363  38.63615522 -095.80259614
120 Linear Feature 10
111  38.63616498 -095.80247097 51
111  38.63616536 -095.80256363 51
111  38.63616622 -095.80277582
112  38.63616622 -095.80277582  38.63616147 -095.80282626 51
111  38.63612343 -095.80283757 51
115  38.63554084 -095.80284192
120 Linear Feature 9
112  38.63677989 -095.80250790  38.63686059 -095.80249956 51
115  38.63687787 -095.80239811
120 Linear Feature 8
111  38.63687646 -095.80262487 51
112  38.63677989 -095.80250790  38.63670346 -095.80249935
111  38.63677989 -095.80250790 51
111  38.63620397 -095.80251376 51
112  38.63616498 -095.80247097  38.63614787 -095.80243931
111  38.63616498 -095.80247097 51
111  38.63616481 -095.80244029 51
112  38.63612240 -095.80239356  38.63608509 -095.80238450
111  38.63612240 -095.80239356 51
115  38.63553971 -095.80239693
120 Linear Feature 7
111  38.63639801 -095.80180017 51
111  38.63678395 -095.80179861
112  38.63678395 -095.80179861  38.63686839 -095.80181129 51
111  38.63688082 -095.80191999 51
111  38.63687787 -095.80239811 51
111  38.63687646 -095.80262487 51
115  38.63687632 -095.80264771
14  38.63634744 -095.80313680  82.02 0 New Tower Viewpoint 1
1300  38.63672150 -095.80231760 -90.00 tie_down turboprops|props GA 05
1301 A general_aviation 
1300  38.63659527 -095.80232122 -90.00 tie_down turboprops|props GA 04
1301 A general_aviation 
1300  38.63647356 -095.80232050 -90.00 tie_down turboprops|props GA 03
1301 A general_aviation 
1300  38.63634732 -095.80232194 -90.00 tie_down turboprops|props GA 02
1301 A general_aviation 
1300  38.63622610 -095.80232216 -90.00 tie_down turboprops|props GA 01
1301 A general_aviation 
1300  38.63562518 -095.80254849  90.23 hangar turboprops|props Hangar 03 - 05
1301 A none 
1300  38.63571712 -095.80268457 -90.01 hangar turboprops|props Hangar 03 - 04
1301 A none 
1300  38.63580192 -095.80254924  90.23 hangar turboprops|props Hangar 03 - 03
1301 A none 
1300  38.63588682 -095.80268693 -90.01 hangar turboprops|props Hangar 03 - 02
1301 A none 
1300  38.63597162 -095.80255159  90.23 hangar turboprops|props Hangar 03 - 01
1301 A none 
1300  38.63655128 -095.80299793  90.23 hangar turboprops|props Hangar 02
1301 A none 
1300  38.63687897 -095.80294992  90.23 hangar turboprops|props Hangar 01
1301 A none 
18  38.63634744 -095.80313680 1 New Airport Beacon 2
19  38.63635165 -095.80307802 1 New Windsock 3
51 12290 CTAF
99
