A
1100 Generated by WorldEditor 1.6.0r1

1   1019 1 0 9C8 Evart Municipal Airport
111  43.90000869 -085.27736640
111  43.90018827 -085.27735838
112  43.90018827 -085.27735838  43.90029147 -085.27736377
111  43.90030798 -085.27752562
111  43.90034081 -085.27752450
111  43.90033308 -085.27825789
111  43.90003851 -085.27829134
112  43.89992845 -085.27835566  43.89990238 -085.27839830
111  43.89992845 -085.27835566
112  43.89992845 -085.27835566  43.89990238 -085.27839830 3
111  43.89898918 -085.28011578 3
111  43.89863160 -085.27974825 3
112  43.89842712 -085.27977306  43.89833772 -085.27990177
111  43.89842712 -085.27977306 3
111  43.89545577 -085.28530415 3
112  43.89542761 -085.28563351  43.89551426 -085.28575466
111  43.89542761 -085.28563351
112  43.89542761 -085.28563351  43.89544377 -085.28565056 3
111  43.89546783 -085.28561490
111  43.89556887 -085.28542391
111  43.89563813 -085.28529299
111  43.89571575 -085.28537517
111  43.89583592 -085.28550242
111  43.89592106 -085.28559257
111  43.89568435 -085.28602689 3
111  43.89553573 -085.28629957
112  43.89553573 -085.28629957  43.89548768 -085.28639429 3
111  43.89554020 -085.28645619 3
111  43.89599655 -085.28692915
111  43.89598017 -085.28696342
111  43.89596660 -085.28699179 3
111  43.89549438 -085.28651511 3
112  43.89542846 -085.28650426  43.89540338 -085.28653645
111  43.89542846 -085.28650426 3
111  43.89530654 -085.28673082
112  43.89530654 -085.28673082  43.89528539 -085.28678603 3
111  43.89531414 -085.28682084 3
111  43.89578007 -085.28730130
111  43.89576243 -085.28733348
111  43.89574692 -085.28736177 3
111  43.89516409 -085.28677168 3
111  43.89548189 -085.28617437
112  43.89548189 -085.28617437  43.89557578 -085.28597946 3
111  43.89545472 -085.28584697 3
111  43.89513711 -085.28552686 3
111  43.89488757 -085.28527535
112  43.89488757 -085.28527535  43.89479035 -085.28521643 3
113  43.89471297 -085.28528732
130 Airport Boundary 1
111  43.89003614 -085.29474153
111  43.89000636 -085.29114709
111  43.89238842 -085.28676766
111  43.89365389 -085.28176849
111  43.89500869 -085.28145863
111  43.89765873 -085.27637683
111  43.90057676 -085.27633507
111  43.90053209 -085.28935035
111  43.89430896 -085.28937097
113  43.89195667 -085.29372976
120 Linear Feature 17
111  43.89568054 -085.28543633 1
115  43.89571575 -085.28537517
120 Linear Feature 17
111  43.89580399 -085.28555967 1
115  43.89583592 -085.28550242
120 Linear Feature 16
111  43.89570232 -085.28546018 1
111  43.89568054 -085.28543633 1
115  43.89565918 -085.28541294
120 Linear Feature 16
111  43.89582576 -085.28558352 1
111  43.89580399 -085.28555967 1
115  43.89578262 -085.28553628
120 Linear Feature 15
111  43.89560951 -085.28546982 1
115  43.89556887 -085.28542391
120 Linear Feature 15
111  43.89899432 -085.27926557 1
115  43.89895257 -085.27921834
120 Linear Feature 15
111  43.89892135 -085.27940450 1
115  43.89887885 -085.27935589
120 Linear Feature 15
111  43.89884775 -085.27954083 1
115  43.89880524 -085.27949324
120 Linear Feature 14
111  43.89559113 -085.28550467 1
111  43.89560951 -085.28546982 1
115  43.89562993 -085.28543108
120 Linear Feature 14
111  43.89897595 -085.27930043 1
111  43.89899432 -085.27926557 1
115  43.89901475 -085.27922684
120 Linear Feature 14
111  43.89890297 -085.27943936 1
111  43.89892135 -085.27940450 1
115  43.89894177 -085.27936577
120 Linear Feature 14
111  43.89882938 -085.27957568 1
111  43.89884775 -085.27954083 1
115  43.89886817 -085.27950209
120 Linear Feature 13
111  43.89865713 -085.27960092 9
111  43.89891345 -085.27987779
112  43.89891345 -085.27987779  43.89896708 -085.27992586 9
111  43.89899949 -085.27987158 9
115  43.89926705 -085.27936960
120 Linear Feature 12
111  43.89843623 -085.27937009 54
115  43.89835638 -085.27951701
120 Linear Feature 11
111  43.89839969 -085.27970784 1
116  43.89860279 -085.27962704  43.89872630 -085.27967550
120 Linear Feature 10
112  43.89801973 -085.27911717  43.89807716 -085.27910856 1
111  43.89814314 -085.27915307 1
111  43.89837506 -085.27939221 1
111  43.89860279 -085.27962704 1
111  43.89890410 -085.27993774 1
112  43.89902255 -085.27992689  43.89906997 -085.27985434
111  43.89902255 -085.27992689 1
115  43.90005060 -085.27801891
120 Linear Feature 9
112  43.89488780 -085.28517900  43.89477233 -085.28503298 1
111  43.89484426 -085.28483250 1
115  43.89518118 -085.28420770
120 Linear Feature 8
111  43.89521351 -085.28537094 54
115  43.89513711 -085.28552686
120 Linear Feature 5
112  43.89548046 -085.28629146  43.89544543 -085.28640812 1
111  43.89550724 -085.28647196 1
115  43.89598017 -085.28696342
120 Linear Feature 6
112  43.89513868 -085.28543722  43.89526262 -085.28551798 1
111  43.89534113 -085.28540067 1
111  43.89839969 -085.27970784
112  43.89839969 -085.27970784  43.89846242 -085.27953913 1
115  43.89837506 -085.27939221
120 Linear Feature 7
111  43.89538901 -085.28569488 1
116  43.89534113 -085.28540067  43.89539825 -085.28524363
120 Linear Feature 4
111  43.89430209 -085.28583547 1
111  43.89463034 -085.28522142
112  43.89463034 -085.28522142  43.89473836 -085.28507023 1
111  43.89488780 -085.28517900 1
111  43.89513868 -085.28543722 1
111  43.89538901 -085.28569488 1
111  43.89550586 -085.28581513
112  43.89550586 -085.28581513  43.89562877 -085.28596115 1
111  43.89554543 -085.28616942 1
111  43.89548046 -085.28629146 1
111  43.89526824 -085.28669008
112  43.89526824 -085.28669008  43.89523332 -085.28677407 1
111  43.89528872 -085.28684712 1
115  43.89576243 -085.28733348
21  43.89637096 -085.28132530 1 234.6800 3.00 24 PAPI 2L
21  43.89275126 -085.28932614 1 55.9700 3.00 06 PAPI 2L
14  43.89607295 -085.28550884  82.02 0 New Tower Viewpoint 1
1300  43.89899432 -085.27926557 323.02 tie_down props GA 06
1301 A general_aviation 
1300  43.89892135 -085.27940450 323.02 tie_down props GA 05
1301 A general_aviation 
1300  43.89884775 -085.27954083 323.02 tie_down props GA 04
1301 A general_aviation 
1300  43.89560951 -085.28546982 323.02 tie_down props GA 03
1301 A general_aviation 
1300  43.89568054 -085.28543633 232.31 tie_down props GA 02
1301 A general_aviation 
1300  43.89580399 -085.28555967 232.31 tie_down props GA 01
1301 A general_aviation 
19  43.89853667 -085.28043503 1 WS
51 12290 CTAF
99
