I
1000 Generated by WorldEditor

1     23 1 0 KNRS IMPERIAL BEACH
111  32.56753726 -117.11079208 20
113  32.56777524 -117.11070916 20
110 2 0.25 105.0000 New Taxiway 5
111  32.56480299 -117.10695494
111  32.56512128 -117.10684995
111  32.56495456 -117.10612255
111  32.56493384 -117.10163717
111  32.56641298 -117.10162351
111  32.56641726 -117.10195593
111  32.56684592 -117.10194620
111  32.56682846 -117.10470546
111  32.56631694 -117.10469017
111  32.56632131 -117.10508431
111  32.56666300 -117.10657740
111  32.56700468 -117.10647852
111  32.56723441 -117.10753225
111  32.56692134 -117.10762553
111  32.56743804 -117.10995910
111  32.56780473 -117.10985034
111  32.56789553 -117.11028112
111  32.56822011 -117.11017183
111  32.56860522 -117.11174899
111  32.56818227 -117.11189744
111  32.56857596 -117.11365357
111  32.56755472 -117.11399345
111  32.56895480 -117.12011424
111  32.56895480 -117.12243797
113  32.56838899 -117.12261593
111  32.56825485 -117.12007320
112  32.56825485 -117.12007320  32.56828672 -117.12021184
111  32.56839886 -117.12016235
111  32.56877454 -117.12002862
112  32.56877454 -117.12002862  32.56882234 -117.12000972
111  32.56879959 -117.11994690
111  32.56826282 -117.11758753
112  32.56817421 -117.11753171  32.56811048 -117.11755061
111  32.56817421 -117.11753171
111  32.56776647 -117.11765867
112  32.56773175 -117.11775300  32.56774769 -117.11783492
113  32.56773175 -117.11775300
111  32.56759926 -117.11724060
112  32.56759926 -117.11724060  32.56762817 -117.11735498
111  32.56769339 -117.11731415
111  32.56807861 -117.11719212
112  32.56807861 -117.11719212  32.56815251 -117.11716543
111  32.56813483 -117.11708477
111  32.56743206 -117.11403145
113  32.56689169 -117.11420877
111  32.56676515 -117.10468178
111  32.56676515 -117.10458542
111  32.56681992 -117.10458542
111  32.56682181 -117.10443975
111  32.56652906 -117.10444647
113  32.56653284 -117.10467954
111  32.56642181 -117.10434316
111  32.56631020 -117.10434112
111  32.56631192 -117.10467117
113  32.56642181 -117.10467321
111  32.56598325 -117.10423291
111  32.56543485 -117.10424164
111  32.56544221 -117.10444690
113  32.56598693 -117.10444690
111  32.56672500 -117.10203808
111  32.56647740 -117.10204602
111  32.56648410 -117.10249067
113  32.56672835 -117.10249067
111  32.56714947 -117.10888254
111  32.56710170 -117.10867375
111  32.56693328 -117.10873042
111  32.56698342 -117.10895598
113  32.56715450 -117.10889746
111  32.56740317 -117.11070468
111  32.56735784 -117.11052091
111  32.56709720 -117.11060831
113  32.56713875 -117.11078984
111  32.56720108 -117.11096240
111  32.56706320 -117.11100722
111  32.56714064 -117.11138596
113  32.56728985 -117.11133890
111  32.56777524 -117.11070916
111  32.56753726 -117.11079208
111  32.56757290 -117.11094866
113  32.56781490 -117.11087724
111  32.56783190 -117.11096913
111  32.56764303 -117.11102739
111  32.56772613 -117.11136131
113  32.56792067 -117.11129856
111  32.56808121 -117.11082794
111  32.56789989 -117.11088397
111  32.56798111 -117.11122237
113  32.56816620 -117.11116186
111  32.56787729 -117.11030750
111  32.56779215 -117.10990676
111  32.56752537 -117.10998421
113  32.56761477 -117.11039168
130 Airport Boundary 12
111  32.56957514 -117.12234499
111  32.55997772 -117.12593530
111  32.55688666 -117.11316392
111  32.55898339 -117.11234330
111  32.55796745 -117.10665023
111  32.56084235 -117.10536800
111  32.55984803 -117.09821329
111  32.56693801 -117.09675158
111  32.56808365 -117.10013636
111  32.57005069 -117.10962503
111  32.56931575 -117.11175364
111  32.56966160 -117.11362579
111  32.56868889 -117.11431822
111  32.56948868 -117.11798558
113  32.56868889 -117.11826769
120 Linear Feature 28
111  32.56749622 -117.12290516 3
115  32.56391725 -117.10726357
120 Linear Feature 27
111  32.56480661 -117.10695706 3
115  32.56839276 -117.12261582
120 Linear Feature 29
111  32.56555991 -117.10670588 3
111  32.56717033 -117.11374345 3
111  32.56676547 -117.11387447 3
113  32.56514972 -117.10684343 3
120 Linear Feature 14
111  32.56688119 -117.11011575 1
111  32.56687507 -117.11015571 1
111  32.56686435 -117.11017387 1
115  32.56639754 -117.11032278
120 Linear Feature 13
111  32.56625214 -117.10736260 1
111  32.56671229 -117.10937661 1
111  32.56672363 -117.10942626 1
111  32.56678724 -117.10970467 1
111  32.56680619 -117.10978761 1
115  32.56687660 -117.11009578
120 Linear Feature 16
111  32.56682358 -117.10973141 1
111  32.56681178 -117.10973141 1
111  32.56679879 -117.10972160 1
115  32.56678724 -117.10970467
120 Linear Feature 17
111  32.56672363 -117.10942626 1
115  32.56622422 -117.10960342
120 Linear Feature 15
111  32.56715278 -117.10962650 1
111  32.56682441 -117.10973216 1
111  32.56681449 -117.10974167 1
111  32.56680784 -117.10975955 1
115  32.56680619 -117.10978761
120 Linear Feature 35
111  32.56222640 -117.11749397 1
111  32.56220175 -117.11751134 1
111  32.56217743 -117.11753626 1
111  32.56215643 -117.11756905 1
111  32.56214316 -117.11761234 1
111  32.56213653 -117.11765563 1
115  32.56213874 -117.11767793
120 Linear Feature 36
111  32.56329368 -117.11715353 1
111  32.56326404 -117.11716995 1
111  32.56323972 -117.11719487 1
111  32.56321871 -117.11723029 1
111  32.56320545 -117.11725783 1
111  32.56319660 -117.11729719 1
115  32.56319992 -117.11733523
120 Linear Feature 37
111  32.56435424 -117.11681524 1
111  32.56432490 -117.11683837 1
111  32.56430205 -117.11686222 1
111  32.56428378 -117.11688608 1
111  32.56427099 -117.11692727 1
111  32.56426642 -117.11696955 1
111  32.56426916 -117.11700966 1
115  32.56427282 -117.11701725
120 Linear Feature 38
111  32.56541979 -117.11647535
111  32.56539208 -117.11649574
112  32.56536800 -117.11652038  32.56536717 -117.11652235
111  32.56534557 -117.11655290
112  32.56533311 -117.11658345  32.56533228 -117.11658641
112  32.56532397 -117.11661302  32.56532397 -117.11661499
111  32.56532564 -117.11664653
115  32.56533062 -117.11667610
120 Linear Feature 34
111  32.56597045 -117.11629970 1
111  32.56541979 -117.11647535 1
111  32.56435424 -117.11681524 1
111  32.56329368 -117.11715353 1
111  32.56222640 -117.11749397 1
111  32.56118758 -117.11782533 1
111  32.56115110 -117.11783832 1
111  32.56112556 -117.11786285 1
111  32.56110367 -117.11789748 1
111  32.56109029 -117.11792633 1
112  32.56108178 -117.11796385  32.56108178 -117.11796673 1
111  32.56107692 -117.11799271 1
115  32.56108300 -117.11801868
120 Linear Feature 28
111  32.56615404 -117.10928728 1
111  32.56602909 -117.10932947 1
111  32.56598868 -117.10932747 1
112  32.56596175 -117.10930350  32.56596006 -117.10930150 1
111  32.56594323 -117.10927753 1
111  32.56593313 -117.10925156 1
111  32.56592808 -117.10922759 1
115  32.56592134 -117.10920162
120 Linear Feature 19
111  32.56674913 -117.10940075 1
111  32.56673476 -117.10939752 1
111  32.56672403 -117.10939054 1
111  32.56671559 -117.10938284 1
115  32.56671229 -117.10937661
120 Linear Feature 18
111  32.56708433 -117.10929868 1
111  32.56674913 -117.10940075 1
115  32.56672363 -117.10942626
120 Linear Feature 30
111  32.56238293 -117.11810994 1
111  32.56233971 -117.11812115 1
111  32.56230440 -117.11811068 1
112  32.56226908 -117.11808623  32.56226614 -117.11808449 1
112  32.56224554 -117.11806354  32.56224112 -117.11805481 1
111  32.56222788 -117.11802687 1
115  32.56221317 -117.11799545
120 Linear Feature 31
111  32.56343384 -117.11777617 1
111  32.56339680 -117.11777888 1
111  32.56335707 -117.11777015 1
111  32.56332175 -117.11774920 1
112  32.56329821 -117.11772476  32.56329821 -117.11772301 1
111  32.56328350 -117.11770380 1
115  32.56327172 -117.11765492
120 Linear Feature 32
111  32.56449739 -117.11743839 1
111  32.56444815 -117.11744393 1
111  32.56441604 -117.11743282 1
111  32.56438929 -117.11741060 1
111  32.56435585 -117.11737251 1
115  32.56434381 -117.11733282
120 Linear Feature 33
111  32.56554971 -117.11710417 1
111  32.56550582 -117.11709862 1
111  32.56546836 -117.11708433 1
112  32.56543091 -117.11705576  32.56542823 -117.11705100 1
112  32.56540817 -117.11701767  32.56540817 -117.11701608 1
115  32.56540282 -117.11699386
120 Linear Feature 29
111  32.56611689 -117.11692357 1
111  32.56554971 -117.11710417 1
111  32.56449739 -117.11743839 1
111  32.56343384 -117.11777617 1
111  32.56238293 -117.11810994 1
111  32.56134061 -117.11844098 1
111  32.56130614 -117.11845120 1
111  32.56125228 -117.11845376 1
111  32.56121350 -117.11843075 1
111  32.56118765 -117.11840263 1
111  32.56117472 -117.11837196 1
115  32.56116611 -117.11833873
120 Linear Feature 27
111  32.56624944 -117.10735963 1
111  32.56624527 -117.10733156 1
111  32.56622857 -117.10730845 1
111  32.56620492 -117.10729194 1
112  32.56617988 -117.10729359  32.56617849 -117.10729359 1
115  32.56572767 -117.10744053
120 Linear Feature 26
111  32.56637808 -117.10792322 1
111  32.56634509 -117.10790737 1
115  32.56636629 -117.10785891
120 Linear Feature 25
111  32.56637808 -117.10792322
115  32.56636629 -117.10785891
120 Linear Feature 24
111  32.56634603 -117.10790641 1
115  32.56587112 -117.10805650
120 Linear Feature 23
111  32.56663125 -117.10913037 1
111  32.56664065 -117.10911862 1
111  32.56664694 -117.10910557 1
115  32.56664772 -117.10909066
120 Linear Feature 22
111  32.56663201 -117.10912980 1
111  32.56665008 -117.10913540 1
111  32.56665872 -117.10914565 1
115  32.56666186 -117.10915497
120 Linear Feature 21
111  32.56666186 -117.10915497
115  32.56664772 -117.10909066
120 Linear Feature 20
111  32.56663125 -117.10913037 1
115  32.56615404 -117.10928728
14  32.56740905 -117.10975207  85.30 0 New Tower Viewpoint 9
15  32.56430848 -117.11717191 285.65 helipad 4
15  32.56856785 -117.12125533 191.62 Ramp West
15  32.56715278 -117.10962650 191.62 Ramp East 2
15  32.56708433 -117.10929868 191.62 Ramp East 1
18  32.56704108 -117.10881066 1 New Airport Beacon 10
19  32.56710035 -117.11432252 0 New Windsock 11
19  32.56179878 -117.11932281 0 New Windsock 12
19  32.56413415 -117.11156757 0 New Windsock 13
54 12065 TWR
99
