I
1050 Generated by WorldEditor 2.1.0r1

1     21 0 0 PAOH Hoonah
112  58.09781751 -135.41335756  58.09785400 -135.41328780 1
112  58.09790862 -135.41307279  58.09793137 -135.41295038
111  58.09790862 -135.41307279 1
111  58.09817554 -135.41066129 1
116  58.09789275 -135.40976521  58.09752671 -135.40960865
120 Taxi Line 1
111  58.09808329 -135.41309725 1
111  58.09820861 -135.41315223 1
111  58.09833692 -135.41320852 1
111  58.09846471 -135.41326458 1
111  58.09860056 -135.41332418 1
111  58.09862130 -135.41315493 1
111  58.09848609 -135.41309561 1
111  58.09835851 -135.41303964 1
111  58.09822986 -135.41298320 1
113  58.09810403 -135.41292800 1
120 Taxi Line 1
111  58.09820967 -135.41201827 1
111  58.09833500 -135.41207325 1
111  58.09846330 -135.41212953 1
111  58.09859109 -135.41218560 1
111  58.09872695 -135.41224519 1
111  58.09874768 -135.41207594 1
111  58.09861247 -135.41201663 1
111  58.09848489 -135.41196065 1
111  58.09835624 -135.41190422 1
113  58.09823041 -135.41184902 1
120 Linear Feature 8
112  58.09831999 -135.40992884  58.09830719 -135.40995906 1
111  58.09826397 -135.40993729 1
111  58.09789275 -135.40976521 1
115  58.09715797 -135.40946691
120 Linear Feature 8
111  58.09715797 -135.40946691 7
115  58.09672860 -135.40929258
120 Linear Feature 8
111  58.09672860 -135.40929258 1
115  58.09636919 -135.40914666
120 Linear Feature 7
112  58.09797414 -135.41333328  58.09789478 -135.41327178 1
115  58.09790862 -135.41307279
120 Linear Feature 6
112  58.09797414 -135.41333328  58.09789478 -135.41330324 1
115  58.09781751 -135.41335756
120 Linear Feature 5
111  58.09859109 -135.41218560 1
115  58.09861247 -135.41201663
120 Linear Feature 4
111  58.09846471 -135.41326458 1
115  58.09848609 -135.41309561
120 Linear Feature 3
111  58.09820861 -135.41315223 1
115  58.09822986 -135.41298320
120 Linear Feature 3
111  58.09833500 -135.41207325 1
115  58.09835624 -135.41190422
120 Linear Feature 2
111  58.09833692 -135.41320852 1
115  58.09835851 -135.41303964
120 Linear Feature 2
111  58.09846330 -135.41212953 1
115  58.09848489 -135.41196065
120 Linear Feature 11
112  58.09636931 -135.40914675  58.09620375 -135.40904150 1
111  58.09623845 -135.40872481 1
115  58.09634941 -135.40774547
120 Linear Feature 10
112  58.09633186 -135.40880039  58.09632533 -135.40904148 3
111  58.09644216 -135.40908687 3
111  58.09673805 -135.40920891 3
111  58.09820912 -135.40981568 3
112  58.09831839 -135.40972986  58.09833203 -135.40960194
111  58.09831839 -135.40972986 3
111  58.09832922 -135.40963277 3
115  58.09833690 -135.40963610
120 Linear Feature 9
111  58.09787570 -135.41351241 3
111  58.09780861 -135.41348246
112  58.09780861 -135.41348246  58.09764971 -135.41371929 3
111  58.09744591 -135.41363437 3
111  58.09628276 -135.41316284 3
111  58.09597918 -135.41303977
112  58.09597918 -135.41303977  58.09586469 -135.41299408 3
115  58.09583433 -135.41318544
120 Linear Feature 12
112  58.09589712 -135.41262434  58.09590665 -135.41283485 3
111  58.09599582 -135.41287282 3
111  58.09630179 -135.41299637 3
111  58.09744524 -135.41345810
112  58.09744524 -135.41345810  58.09780186 -135.41360512 3
111  58.09786447 -135.41301326 3
111  58.09812774 -135.41070401
112  58.09812774 -135.41070401  58.09821143 -135.40998527 3
111  58.09787855 -135.40984993 3
111  58.09671954 -135.40937278 3
111  58.09642315 -135.40925076
112  58.09642315 -135.40925076  58.09630263 -135.40920166 3
115  58.09626696 -135.40938082
120 Linear Feature 2
111  58.09837701 -135.41154609 1
111  58.09835754 -135.41153712 1
115  58.09833883 -135.41152850
120 Linear Feature 2
111  58.09849148 -135.41159564 1
111  58.09847200 -135.41158667 1
115  58.09845330 -135.41157806
120 Linear Feature 2
111  58.09870248 -135.41026698 1
111  58.09868299 -135.41025800 1
115  58.09866430 -135.41024940
120 Linear Feature 2
111  58.09858901 -135.41021766 1
111  58.09856952 -135.41020868 1
115  58.09855083 -135.41020008
120 Linear Feature 2
111  58.09893092 -135.41036771 1
111  58.09891143 -135.41035873 1
115  58.09889274 -135.41035013
120 Linear Feature 2
111  58.09876721 -135.41083427 1
111  58.09874772 -135.41082529 1
115  58.09872903 -135.41081668
120 Linear Feature 2
111  58.09864774 -135.41078102 1
111  58.09862825 -135.41077204 1
115  58.09860956 -135.41076344
120 Linear Feature 2
111  58.09881614 -135.41031744 1
111  58.09879665 -135.41030847 1
115  58.09877796 -135.41029986
120 Linear Feature 2
111  58.09852836 -135.41072922 1
111  58.09850887 -135.41072024 1
115  58.09849018 -135.41071163
120 Linear Feature 2
111  58.09888688 -135.41088688 1
111  58.09886739 -135.41087790 1
115  58.09884870 -135.41086930
120 Linear Feature 2
111  58.09845469 -135.41140754 1
111  58.09843520 -135.41139856 1
115  58.09841651 -135.41138995
120 Linear Feature 2
111  58.09856830 -135.41145678 1
111  58.09854880 -135.41144781 1
115  58.09853012 -135.41143920
120 Linear Feature 2
111  58.09868198 -135.41150717 1
111  58.09866248 -135.41149819 1
115  58.09864380 -135.41148959
120 Linear Feature 2
111  58.09860459 -135.41164516 1
111  58.09858511 -135.41163619 1
115  58.09856641 -135.41162758
120 Linear Feature 2
111  58.09851128 -135.41035642 1
111  58.09849180 -135.41034745 1
115  58.09847310 -135.41033884
120 Linear Feature 2
111  58.09862564 -135.41040574 1
111  58.09860616 -135.41039677 1
115  58.09858746 -135.41038815
120 Linear Feature 2
111  58.09873876 -135.41045534 1
111  58.09871928 -135.41044637 1
115  58.09870058 -135.41043775
120 Linear Feature 2
111  58.09885359 -135.41050619 1
111  58.09883412 -135.41049722 1
115  58.09881541 -135.41048861
120 Linear Feature 2
111  58.09871943 -135.41169607 1
111  58.09869995 -135.41168710 1
115  58.09868125 -135.41167849
120 Linear Feature 3
111  58.09835754 -135.41153712 1
115  58.09836430 -135.41148485
120 Linear Feature 3
111  58.09847200 -135.41158667 1
115  58.09847877 -135.41153440
120 Linear Feature 3
111  58.09867622 -135.41031028 1
115  58.09868299 -135.41025800
120 Linear Feature 3
111  58.09856275 -135.41026095 1
115  58.09856952 -135.41020868
120 Linear Feature 3
111  58.09890466 -135.41041101 1
115  58.09891143 -135.41035873
120 Linear Feature 3
111  58.09874096 -135.41087756 1
115  58.09874772 -135.41082529
120 Linear Feature 3
111  58.09862148 -135.41082431 1
115  58.09862825 -135.41077204
120 Linear Feature 3
111  58.09878989 -135.41036074 1
115  58.09879665 -135.41030847
120 Linear Feature 3
111  58.09850210 -135.41077251 1
115  58.09850887 -135.41072024
120 Linear Feature 3
111  58.09886063 -135.41093018 1
115  58.09886739 -135.41087790
120 Linear Feature 3
111  58.09842843 -135.41145083 1
115  58.09843520 -135.41139856
120 Linear Feature 3
111  58.09854204 -135.41150008 1
115  58.09854880 -135.41144781
120 Linear Feature 3
111  58.09865572 -135.41155047 1
115  58.09866248 -135.41149819
120 Linear Feature 3
111  58.09858511 -135.41163619 1
115  58.09859188 -135.41158392
120 Linear Feature 3
111  58.09849180 -135.41034745 1
115  58.09849857 -135.41029518
120 Linear Feature 3
111  58.09860616 -135.41039677 1
115  58.09861293 -135.41034450
120 Linear Feature 3
111  58.09871928 -135.41044637 1
115  58.09872605 -135.41039409
120 Linear Feature 3
111  58.09883412 -135.41049722 1
115  58.09884088 -135.41044495
120 Linear Feature 3
111  58.09869995 -135.41168710 1
115  58.09870672 -135.41163483
21  58.09586102 -135.41489777 2 77.8200 3.00 05  PAPI-4L
21  58.09635187 -135.40461612 2 257.8200 3.00 23  PAPI-4L
14  58.09894576 -135.41334389  32.81 0 Tower
1300  58.09853557 -135.41326907 257.00 tie_down turboprops|props Ramp 1
1301 A general_aviation 
1300  58.09840399 -135.41321136 257.00 tie_down turboprops|props Ramp 2
1301 A general_aviation 
1300  58.09827671 -135.41315553 257.00 tie_down turboprops|props Ramp 3
1301 A general_aviation 
1300  58.09814901 -135.41309933 257.00 tie_down turboprops|props Ramp 4
1301 A general_aviation 
1300  58.09866243 -135.41218718 257.00 tie_down turboprops|props Ramp 5
1301 A general_aviation 
1300  58.09853085 -135.41212947 257.00 tie_down turboprops|props Ramp 6
1301 A general_aviation 
1300  58.09840358 -135.41207364 257.00 tie_down turboprops|props Ramp 7
1301 A general_aviation 
1300  58.09827588 -135.41201743 257.00 tie_down turboprops|props Ramp 8
1301 A general_aviation 
1300  58.09869995 -135.41168710 257.00 tie_down props GA Tie-Down 1
1301 A general_aviation 
1300  58.09866248 -135.41149819  77.00 tie_down props GA Tie-Down 2
1301 A general_aviation 
1300  58.09858511 -135.41163619 257.00 tie_down props GA Tie-Down 3
1301 A general_aviation 
1300  58.09854880 -135.41144781  77.00 tie_down props GA Tie-Down 4
1301 A general_aviation 
1300  58.09847200 -135.41158667 257.00 tie_down props GA Tie-Down 5
1301 A general_aviation 
1300  58.09843520 -135.41139856  77.00 tie_down props GA Tie-Down 6
1301 A general_aviation 
1300  58.09835754 -135.41153712 257.00 tie_down props GA Tie-Down 7
1301 A general_aviation 
1300  58.09886739 -135.41087790  77.00 tie_down props GA Tie-Down 8
1301 A general_aviation 
1300  58.09874772 -135.41082529  77.00 tie_down props GA Tie-Down 9
1301 A general_aviation 
1300  58.09862825 -135.41077204  77.00 tie_down props GA Tie-Down 10
1301 A general_aviation 
1300  58.09850887 -135.41072024  77.00 tie_down props GA Tie-Down 11
1301 A general_aviation 
1300  58.09891143 -135.41035873  77.00 tie_down props GA Tie-Down 12
1301 A general_aviation 
1300  58.09883412 -135.41049722 257.00 tie_down props GA Tie-Down 13
1301 A general_aviation 
1300  58.09879665 -135.41030847  77.00 tie_down props GA Tie-Down 14
1301 A general_aviation 
1300  58.09871928 -135.41044637 257.00 tie_down props GA Tie-Down 15
1301 A general_aviation 
1300  58.09868299 -135.41025800  77.00 tie_down props GA Tie-Down 16
1301 A general_aviation 
1300  58.09860616 -135.41039677 257.00 tie_down props GA Tie-Down 17
1301 A general_aviation 
1300  58.09856952 -135.41020868  77.00 tie_down props GA Tie-Down 18
1301 A general_aviation 
1300  58.09849180 -135.41034745 257.00 tie_down props GA Tie-Down 19
1301 A general_aviation 
1300  58.09897532 -135.41290222 167.00 hangar turboprops|props Hangar 1
1301 A none 
1300  58.09906977 -135.41190309 167.00 misc props Hangar 2
1301 A none 
1300  58.09912255 -135.41145140 167.00 misc props Hangar 3
1301 A none 
18  58.09894576 -135.41334389 1 Beacon
19  58.09644920 -135.41405475 1 Windsock 1
51 12270 CTAF
50 13205 AWOS-3P
99
