I
1050 Generated by WorldEditor 2.2.0r2

1    227 1 0 KLSF Lawson AAF
111  32.34144636 -084.98763901
111  32.34150910 -084.98763429
111  32.34151655 -084.98777307
113  32.34148345 -084.98777556
110 2 0.00 0.0000 New Taxiway 27
111  32.34167060 -084.98776492
111  32.34166299 -084.98762327
111  32.34172921 -084.98761828
111  32.34173682 -084.98775993
113  32.34170371 -084.98776243
110 2 0.00 0.0000 New Taxiway 27
111  32.34023726 -084.98745809
111  32.34035920 -084.98744845
111  32.34036147 -084.98748872
111  32.34036366 -084.98752741
111  32.34024172 -084.98753705
113  32.34023955 -084.98749881
110 2 0.00 0.0000 New Taxiway 27a
111  32.33877361 -084.98699024
111  32.33884374 -084.98687293
111  32.33887101 -084.98689577
111  32.33889835 -084.98691866
111  32.33882821 -084.98703597
113  32.33880088 -084.98701308
110 2 0.00 0.0000 New Taxiway 27a
111  32.33896427 -084.98714795
111  32.33903440 -084.98703064
111  32.33906194 -084.98705370
111  32.33908900 -084.98707637
111  32.33901887 -084.98719368
113  32.33899180 -084.98717101
110 2 0.00 0.0000 New Taxiway 27a
111  32.33838920 -084.98667276
111  32.33846258 -084.98655222
111  32.33849033 -084.98657589
111  32.33851820 -084.98659966
111  32.33844482 -084.98672019
113  32.33841695 -084.98669642
110 2 0.00 0.0000 New Taxiway 27a
111  32.33915469 -084.98730719
111  32.33922482 -084.98718988
111  32.33925235 -084.98721293
111  32.33927943 -084.98723561
111  32.33920930 -084.98735292
113  32.33918221 -084.98733025
110 2 0.00 0.0000 New Taxiway 27
111  32.33934640 -084.98746614
111  32.33941636 -084.98735045
111  32.33944380 -084.98737370
111  32.33946962 -084.98739556
111  32.33939966 -084.98751126
113  32.33937384 -084.98748939
110 2 0.00 0.0000 New Taxiway 27
111  32.33858309 -084.98682949
111  32.33865287 -084.98671400
111  32.33867913 -084.98673622
111  32.33870561 -084.98675864
111  32.33863583 -084.98687413
113  32.33860934 -084.98685172
110 2 0.00 0.0000 New Taxiway 27
111  32.33820216 -084.98651240
111  32.33827254 -084.98639561
111  32.33829939 -084.98641827
111  32.33832656 -084.98644121
111  32.33825618 -084.98655800
113  32.33822901 -084.98653507
110 2 0.00 0.0000 New Taxiway 27
111  32.33732254 -084.98678294
111  32.33739293 -084.98666528
111  32.33742028 -084.98668820
111  32.33744761 -084.98671111
111  32.33737722 -084.98682877
113  32.33734989 -084.98680586
110 2 0.00 0.0000 New Taxiway 27
111  32.33751414 -084.98694326
111  32.33758512 -084.98682630
111  32.33761153 -084.98684875
111  32.33763795 -084.98687121
111  32.33756697 -084.98698817
113  32.33754055 -084.98696573
110 2 0.00 0.0000 New Taxiway 27
111  32.33770483 -084.98710172
111  32.33777494 -084.98698562
111  32.33780178 -084.98700833
111  32.33782862 -084.98703103
111  32.33775851 -084.98714712
113  32.33773167 -084.98712442
110 2 0.00 0.0000 New Taxiway 27
111  32.33789599 -084.98726068
111  32.33796547 -084.98714443
111  32.33799235 -084.98716694
111  32.33801928 -084.98718948
111  32.33794980 -084.98730573
113  32.33792287 -084.98728318
110 2 0.00 0.0000 New Taxiway 27
111  32.33808581 -084.98741899
111  32.33815510 -084.98730232
111  32.33818297 -084.98732550
111  32.33821078 -084.98734864
111  32.33814150 -084.98746531
113  32.33811368 -084.98744218
110 2 0.00 0.0000 New Taxiway 27
111  32.33827606 -084.98757843
111  32.33834535 -084.98746175
111  32.33837320 -084.98748493
111  32.33840103 -084.98750808
111  32.33833175 -084.98762475
113  32.33830392 -084.98760160
110 2 0.00 0.0000 New Taxiway 27
111  32.33846773 -084.98773715
111  32.33853703 -084.98762231
111  32.33856382 -084.98764495
111  32.33859058 -084.98766757
111  32.33852128 -084.98778241
113  32.33849452 -084.98775979
110 2 0.00 0.0000 New Taxiway 27
111  32.33865818 -084.98789571
111  32.33872748 -084.98778087
111  32.33875425 -084.98780350
111  32.33878102 -084.98782613
111  32.33871172 -084.98794097
113  32.33868495 -084.98791834
110 2 0.00 0.0000 New Taxiway 27
111  32.33884885 -084.98805547
111  32.33891787 -084.98793920
111  32.33894506 -084.98796182
111  32.33897226 -084.98798444
111  32.33890323 -084.98810070
113  32.33887604 -084.98807808
110 2 0.00 0.0000 New Taxiway 27
111  32.33903905 -084.98821560
111  32.33910908 -084.98809838
111  32.33913653 -084.98812137
111  32.33916400 -084.98814435
111  32.33909398 -084.98826156
113  32.33906651 -084.98823858
110 2 0.00 0.0000 New Taxiway 27
111  32.33922951 -084.98837314
111  32.33929954 -084.98825593
111  32.33932702 -084.98827893
111  32.33935447 -084.98830190
111  32.33928444 -084.98841911
113  32.33925698 -084.98839615
110 2 0.00 0.0000 New Taxiway 27
111  32.33942066 -084.98853294
111  32.33949069 -084.98841573
111  32.33951816 -084.98843872
111  32.33954562 -084.98846170
111  32.33947559 -084.98857891
113  32.33944813 -084.98855594
110 2 0.00 0.0000 New Taxiway 27
111  32.33961182 -084.98869027
111  32.33968082 -084.98857391
111  32.33970820 -084.98859665
111  32.33973553 -084.98861935
111  32.33966653 -084.98873571
113  32.33963919 -084.98871302
110 2 0.00 0.0000 New Taxiway 27
111  32.33980098 -084.98884994
111  32.33987218 -084.98873282
111  32.33990008 -084.98875659
111  32.33992795 -084.98878032
111  32.33985675 -084.98889744
113  32.33982888 -084.98887370
110 2 0.00 0.0000 New Taxiway 27
111  32.33999344 -084.98900948
111  32.34006245 -084.98889312
111  32.34008982 -084.98891587
111  32.34011715 -084.98893857
111  32.34004815 -084.98905493
113  32.34002082 -084.98903223
110 1 0.00 0.0000 New Taxiway 26
111  32.34785636 -084.99371216
111  32.34780350 -084.99357137
111  32.34681985 -084.99396020
112  32.34681985 -084.99396020  32.34669659 -084.99404384
111  32.34682083 -084.99414345
111  32.34686632 -084.99414423
111  32.34688778 -084.99421891
111  32.34643954 -084.99445435
111  32.34641172 -084.99437917
112  32.34641172 -084.99437917  32.34646487 -084.99433395
111  32.34645298 -084.99424998
111  32.34642961 -084.99417326
112  32.34642961 -084.99417326  32.34639294 -084.99415769
111  32.34632504 -084.99416129
111  32.34587388 -084.99433231
111  32.34557317 -084.99445536
111  32.34388893 -084.99533680
112  32.34368707 -084.99551783  32.34361877 -084.99561848
111  32.34368707 -084.99551783
111  32.34353127 -084.99577699
111  32.34317948 -084.99636217
111  32.34312020 -084.99631134
111  32.34367959 -084.99538317
111  32.34375528 -084.99525969
112  32.34382402 -084.99519322  32.34386437 -084.99516605
111  32.34382402 -084.99519322
111  32.34550059 -084.99432670
111  32.34556245 -084.99429560
111  32.34558510 -084.99435525
111  32.34610592 -084.99408532
111  32.34612866 -084.99414063
111  32.34631666 -084.99404079
111  32.34633746 -084.99410091
111  32.34723898 -084.99363484
111  32.34725926 -084.99368819
111  32.34782656 -084.99339683
111  32.34784718 -084.99345056
111  32.34837629 -084.99318172
111  32.34839731 -084.99323597
111  32.34938555 -084.99272150
111  32.34905371 -084.99182807
111  32.34904491 -084.99178670
112  32.34904491 -084.99178670  32.34903603 -084.99163913
112  32.34921816 -084.99144357  32.34934157 -084.99135794
111  32.34921816 -084.99144357
111  32.34927059 -084.99157182
112  32.34927059 -084.99157182  32.34915531 -084.99165505
111  32.34918391 -084.99179063
113  32.34949162 -084.99283914
110 1 0.00 0.0000 New Taxiway 25
111  32.34706277 -084.99127774
111  32.34699823 -084.99106808
111  32.34704804 -084.99103920
111  32.34704553 -084.99102813
111  32.34707753 -084.99099955
111  32.34746514 -084.99086072
111  32.34748907 -084.99095389
111  32.34758210 -084.99088285
111  32.34856462 -084.99049075
111  32.34857699 -084.99053147
111  32.34940202 -084.99023173
112  32.34940202 -084.99023173  32.34943756 -084.99022426
111  32.34947354 -084.99023913
111  32.35003026 -084.99057513
111  32.34996502 -084.99071861
111  32.34995751 -084.99071398
111  32.34948027 -084.99042002
111  32.34944841 -084.99040221
111  32.34940908 -084.99038268
112  32.34930010 -084.99039535  32.34923147 -084.99041083
113  32.34930010 -084.99039535
110 2 0.00 0.0000 New Taxiway 24
111  32.34608844 -084.99129279
111  32.34614308 -084.99148209
112  32.34614308 -084.99148209  32.34618726 -084.99158393
111  32.34626220 -084.99158039
111  32.34626881 -084.99160284
111  32.34583933 -084.99177215
111  32.34583417 -084.99175250
112  32.34583417 -084.99175250  32.34590559 -084.99168959
111  32.34588319 -084.99157907
111  32.34583002 -084.99139487
111  32.34582657 -084.99139624
111  32.34573869 -084.99109179
111  32.34600586 -084.99098625
113  32.34609373 -084.99129070
110 2 0.00 0.0000 New Taxiway 23
111  32.34234713 -084.99292077
111  32.34233143 -084.99251806
111  32.34267856 -084.99249692
113  32.34269426 -084.99289963
110 2 0.00 0.0000 New Taxiway 23
111  32.34184054 -084.99295301
111  32.34182484 -084.99255030
111  32.34217320 -084.99252909
113  32.34218890 -084.99293180
110 2 0.00 0.0000 New Taxiway 19
111  32.34240733 -084.98962137
111  32.34239208 -084.98928814
111  32.34201800 -084.98931074
111  32.34202415 -084.98940053
111  32.34164900 -084.98936549
111  32.34156844 -084.98930423
112  32.34153271 -084.98928442  32.34151264 -084.98927541
111  32.34153271 -084.98928442
111  32.34143741 -084.98927242
111  32.34158046 -084.98878916
111  32.34159337 -084.98907906
112  32.34159337 -084.98907906  32.34160334 -084.98912034
112  32.34166246 -084.98907998  32.34167396 -084.98903579
111  32.34166246 -084.98907998
111  32.34163400 -084.98854013
111  32.34165912 -084.98853881
111  32.34188510 -084.98779107
111  32.34186044 -084.98734637
111  32.34272253 -084.98787759
111  32.34277570 -084.98790681
111  32.34280311 -084.98835598
111  32.34281049 -084.98835541
111  32.34283909 -084.98887282
111  32.34282921 -084.98887358
111  32.34286487 -084.98952096
111  32.34247350 -084.98955172
112  32.34247350 -084.98955172  32.34244074 -084.98957493
111  32.34243667 -084.98961907
111  32.34242267 -084.98962018
111  32.34245214 -084.99015337
111  32.34204857 -084.99018462
113  32.34201910 -084.98965142
111  32.34247667 -084.98890088
111  32.34244807 -084.98838347
111  32.34231204 -084.98839347
113  32.34234063 -084.98891088
112  32.34199002 -084.98903690  32.34201194 -084.98896660
111  32.34199002 -084.98903690
111  32.34198538 -084.98893839
111  32.34197831 -084.98893893
111  32.34194972 -084.98842153
111  32.34196095 -084.98842066
111  32.34195610 -084.98834482
112  32.34195610 -084.98834482  32.34194271 -084.98825819
112  32.34181540 -084.98831692  32.34178239 -084.98837637
111  32.34181540 -084.98831692
111  32.34182164 -084.98843071
111  32.34189563 -084.98842581
111  32.34190987 -084.98868308
111  32.34185010 -084.98868912
111  32.34186729 -084.98903759
114  32.34186729 -084.98903759  32.34189360 -084.98910789
110 1 0.00 0.0000 New Taxiway 18
111  32.34191305 -084.99530464
112  32.34192904 -084.99524336  32.34195461 -084.99522626
111  32.34192904 -084.99524336
111  32.34242295 -084.99498810
111  32.34309045 -084.99554688
111  32.34313033 -084.99558398
112  32.34315761 -084.99582591  32.34309399 -084.99597239
111  32.34315761 -084.99582591
112  32.34315761 -084.99582591  32.34308081 -084.99597821
112  32.34275445 -084.99598481  32.34257750 -084.99590995
111  32.34275445 -084.99598481
111  32.34268698 -084.99594647
111  32.34267973 -084.99596016
113  32.34191317 -084.99532451
110 1 0.00 0.0000 New Taxiway 17
111  32.33666242 -084.98691185
112  32.33666242 -084.98691185  32.33664249 -084.98689841
111  32.33662116 -084.98689994
111  32.33619768 -084.98705744
111  32.33611371 -084.98700658
111  32.33600053 -084.98704748
111  32.33597270 -084.98706264
111  32.33594891 -084.98708079
112  32.33594891 -084.98708079  32.33587916 -084.98715279 102
112  32.33590198 -084.98730932  32.33592925 -084.98741972
111  32.33590198 -084.98730932
111  32.33534606 -084.98684843
111  32.33536322 -084.98685004
112  32.33536322 -084.98685004  32.33556405 -084.98696017 102
112  32.33581833 -084.98693303  32.33591293 -084.98692117
111  32.33581833 -084.98693303
111  32.33580713 -084.98685261
112  32.33580713 -084.98685261  32.33589044 -084.98683751
111  32.33596941 -084.98680968
111  32.33860206 -084.98578738
112  32.33860206 -084.98578738  32.33868258 -084.98574539
111  32.33873641 -084.98569275
111  32.33891046 -084.98569372
112  32.33891046 -084.98569372  32.33906314 -084.98571886
112  32.33916746 -084.98578999  32.33924610 -084.98586744
111  32.33916746 -084.98578999
112  32.33916746 -084.98578999  32.33939982 -084.98610982
111  32.33962680 -084.98660010
111  32.33972802 -084.98685296
112  32.33972802 -084.98685296  32.33979162 -084.98697786
112  32.33994691 -084.98704952  32.34007220 -084.98709669
111  32.33994691 -084.98704952
111  32.34054828 -084.98700165
111  32.34061059 -084.98701179
111  32.34124323 -084.98717727
111  32.34128124 -084.98713268
112  32.34128124 -084.98713268  32.34129700 -084.98712267
111  32.34131964 -084.98711952
111  32.34148395 -084.98711047
111  32.34151038 -084.98711431
111  32.34150016 -084.98719445
111  32.34163300 -084.98722734
111  32.34164539 -084.98713546
111  32.34169457 -084.98714643
111  32.34167060 -084.98728772
111  32.34168642 -084.98729608
111  32.34182891 -084.98733547
111  32.34184527 -084.98734008
111  32.34186044 -084.98734637
111  32.34188510 -084.98779107
111  32.34165912 -084.98853881
111  32.34163400 -084.98854013
111  32.34166246 -084.98907998
112  32.34166246 -084.98907998  32.34165097 -084.98912417
112  32.34159337 -084.98907906  32.34158341 -084.98903777
111  32.34159337 -084.98907906
111  32.34158046 -084.98878916
111  32.34143741 -084.98927242
111  32.34153271 -084.98928442
112  32.34153271 -084.98928442  32.34155278 -084.98929343
111  32.34156844 -084.98930423
111  32.34164900 -084.98936549
111  32.34202415 -084.98940053
111  32.34201800 -084.98931074
111  32.34239208 -084.98928814
111  32.34240733 -084.98962137
111  32.34201910 -084.98965142
111  32.34201547 -084.98960619
111  32.34202282 -084.98958783
112  32.34202282 -084.98958783  32.34198615 -084.98950008
112  32.34187191 -084.98958002  32.34184281 -084.98965142
111  32.34187191 -084.98958002
111  32.34187191 -084.98960932
111  32.34173870 -084.98961570
111  32.34173456 -084.98955741
111  32.34169994 -084.98950013
111  32.34147528 -084.98946483
112  32.34147528 -084.98946483  32.34147461 -084.98942551
112  32.34139743 -084.98944371  32.34136587 -084.98948342
111  32.34139743 -084.98944371
111  32.34138283 -084.98957923
111  32.34137061 -084.98957942
111  32.34155591 -084.99290303
111  32.34143687 -084.99298650
111  32.34165676 -084.99316806
111  32.34167681 -084.99305052
111  32.34184443 -084.99304335
111  32.34184054 -084.99295301
111  32.34218100 -084.99293228
111  32.34218226 -084.99297112
111  32.34235654 -084.99296008
111  32.34235488 -084.99292017
111  32.34269426 -084.99289963
111  32.34305686 -084.99288514
111  32.34350955 -084.99270641
111  32.34350730 -084.99269149
111  32.34583933 -084.99177215
111  32.34626881 -084.99160284
111  32.34637533 -084.99156085
111  32.34641701 -084.99166787
111  32.34578281 -084.99199479
111  32.34576117 -084.99193765
111  32.34518921 -084.99223220
111  32.34516628 -084.99217367
111  32.34464942 -084.99244172
111  32.34462718 -084.99238533
111  32.34402813 -084.99269846
111  32.34341989 -084.99301398
111  32.34336560 -084.99303685
111  32.34362340 -084.99372735
111  32.34361316 -084.99373278
112  32.34347115 -084.99413924  32.34323802 -084.99428273
111  32.34347115 -084.99413924
111  32.34347535 -084.99415385
111  32.34344014 -084.99417213
111  32.34301553 -084.99439254
112  32.34301553 -084.99439254  32.34293513 -084.99442915
112  32.34268972 -084.99436995  32.34255782 -084.99428402
111  32.34268972 -084.99436995
111  32.34257231 -084.99427197
111  32.34165932 -084.99351001
111  32.34118386 -084.99311344
111  32.34120901 -084.99306892
111  32.34103185 -084.99291992
111  32.34102986 -084.99284893
111  32.34088667 -084.99277174
111  32.34087259 -084.99252657
111  32.34086546 -084.99252457
111  32.34086510 -084.99258153
112  32.34083469 -084.99267359  32.34080948 -084.99269956
111  32.34083469 -084.99267359
112  32.34083469 -084.99267359  32.34077897 -084.99272148
111  32.34070539 -084.99270906
111  32.34054548 -084.99257574 102
111  32.34058591 -084.99259889
112  32.34058591 -084.99259889  32.34082080 -084.99266737 102
111  32.34086509 -084.99240680
111  32.34085653 -084.99214867
111  32.34083991 -084.99185365
111  32.34083105 -084.99184349 102
111  32.34078889 -084.99173570
112  32.34078889 -084.99173570  32.34075733 -084.99166768 102
111  32.34070593 -084.99161108 102
111  32.33999644 -084.99101686 102
111  32.33974776 -084.99080858
112  32.33974776 -084.99080858  32.33966427 -084.99076358 102
112  32.33950867 -084.99091480  32.33945622 -084.99105198
111  32.33950867 -084.99091480
111  32.33945412 -084.99043287
112  32.33940126 -084.99027763  32.33935955 -084.99019418
111  32.33940126 -084.99027763
112  32.33940126 -084.99027763  32.33936777 -084.99021571
112  32.33929232 -084.99013950  32.33923534 -084.99008480
111  32.33929232 -084.99013950
111  32.33880815 -084.98973618
112  32.33880815 -084.98973618  32.33898379 -084.98973958 102
111  32.33897769 -084.98957593
111  32.33910469 -084.98967219
111  32.33933055 -084.98929640
113  32.33938777 -084.98918182
111  32.34058190 -084.99121178
112  32.34058190 -084.99121178  32.34074171 -084.99130961 102
111  32.34079592 -084.99109726
111  32.34078471 -084.99089189
112  32.34078471 -084.99089189  32.34077109 -084.99085296
111  32.34073312 -084.99081723
111  32.34045754 -084.99059569
111  32.34059892 -084.99036346
111  32.34064139 -084.99040186
111  32.34066217 -084.99039861
111  32.34067191 -084.99025429
112  32.34067191 -084.99025429  32.34066128 -084.99023738
111  32.34063560 -084.99021170
111  32.33965046 -084.98939895
112  32.33955173 -084.98948248  32.33949326 -084.98956977
111  32.33955173 -084.98948248
111  32.33932599 -084.98985919
111  32.33943663 -084.98995734
112  32.33943663 -084.98995734  32.33944237 -084.99016591 102
112  32.33960989 -084.99040136  32.33974249 -084.99053792
111  32.33960989 -084.99040136 102
113  32.34011386 -084.99082106 102
110 1 0.00 0.0000 New Taxiway 16
111  32.33358876 -084.98798696
112  32.33358876 -084.98798696  32.33350515 -084.98802455 102
112  32.33344022 -084.98818335  32.33344424 -084.98829516
111  32.33344022 -084.98818335 102
111  32.33344758 -084.98826336
111  32.33297237 -084.98786772 102
111  32.33310625 -084.98791608
112  32.33310625 -084.98791608  32.33321244 -084.98793173 102
112  32.33337358 -084.98790449  32.33347882 -084.98787550
111  32.33337358 -084.98790449 102
111  32.33362405 -084.98780401 102
111  32.33509405 -084.98723405
112  32.33509405 -084.98723405  32.33518538 -084.98719025 102
111  32.33517831 -084.98707287 102
111  32.33516771 -084.98699658
111  32.33559107 -084.98734936
112  32.33559107 -084.98734936  32.33543540 -084.98727762 102
111  32.33529652 -084.98732147 102
113  32.33366791 -084.98795611 102
110 2 0.00 0.0000 New Taxiway 15
111  32.33678400 -084.98371692
111  32.33671926 -084.98360794
111  32.33681133 -084.98353131
111  32.33687608 -084.98364029
113  32.33682991 -084.98367871
110 2 0.00 0.0000 New Taxiway 15
111  32.33644769 -084.98399608
111  32.33638294 -084.98388710
111  32.33647502 -084.98381047
111  32.33653976 -084.98391945
113  32.33649350 -084.98395795
110 2 0.00 0.0000 New Taxiway 15
111  32.33611093 -084.98427739
111  32.33604619 -084.98416842
111  32.33613827 -084.98409179
111  32.33620301 -084.98420077
113  32.33615710 -084.98423897
110 2 0.00 0.0000 New Taxiway 15
111  32.33577380 -084.98455527
111  32.33570906 -084.98444630
111  32.33580113 -084.98436967
111  32.33586588 -084.98447865
113  32.33581926 -084.98451744
110 2 0.00 0.0000 New Taxiway 15
111  32.33543470 -084.98483521
111  32.33536996 -084.98472623
111  32.33546203 -084.98464961
111  32.33552678 -084.98475858
113  32.33548075 -084.98479689
110 2 0.00 0.0000 New Taxiway 15
111  32.33509881 -084.98511528
111  32.33503407 -084.98500631
111  32.33512614 -084.98492969
111  32.33519088 -084.98503866
113  32.33514457 -084.98507720
110 2 0.00 0.0000 New Taxiway 15
111  32.33579562 -084.98584181
111  32.33573088 -084.98573284
111  32.33577577 -084.98569548
111  32.33582296 -084.98565621
113  32.33588770 -084.98576519
110 2 0.00 0.0000 New Taxiway 15
111  32.33613112 -084.98556326
111  32.33606637 -084.98545428
111  32.33611311 -084.98541539
111  32.33615845 -084.98537766
113  32.33622319 -084.98548663
110 2 0.00 0.0000 New Taxiway 15
111  32.33646715 -084.98528550
111  32.33640241 -084.98517653
111  32.33644907 -084.98513769
111  32.33649448 -084.98509990
113  32.33655923 -084.98520888
110 2 0.00 0.0000 New Taxiway 15
111  32.33680476 -084.98500563
111  32.33674002 -084.98489666
111  32.33678572 -084.98485862
111  32.33683209 -084.98482003
113  32.33689684 -084.98492901
110 2 0.00 0.0000 New Taxiway 15
111  32.33714288 -084.98472504
111  32.33707813 -084.98461606
111  32.33712228 -084.98457933
111  32.33717021 -084.98453944
113  32.33723495 -084.98464841
110 2 0.00 0.0000 New Taxiway 15
111  32.33747867 -084.98444570
111  32.33741392 -084.98433672
111  32.33745894 -084.98429926
111  32.33750600 -084.98426010
113  32.33757074 -084.98436907
110 2 0.00 0.0000 New Taxiway 13
111  32.33837855 -084.98385481
111  32.33831475 -084.98374768
111  32.33840561 -084.98367187
111  32.33846941 -084.98377900
113  32.33840190 -084.98383532
110 2 0.00 0.0000 New Taxiway 13
111  32.33800064 -084.98422009
111  32.33793550 -084.98411072
111  32.33802734 -084.98403410
113  32.33809248 -084.98414347
110 2 0.00 0.0000 New Taxiway 13
111  32.33800054 -084.98347495
111  32.33784171 -084.98320827
111  32.33801406 -084.98306447
113  32.33817290 -084.98333116
110 2 0.00 0.0000 New Taxiway 13
111  32.33830190 -084.98334065
111  32.33805001 -084.98291772
111  32.33810388 -084.98287318
111  32.33819656 -084.98279655
111  32.33828724 -084.98272158
111  32.33834573 -084.98267322
111  32.33859762 -084.98309614
111  32.33854069 -084.98314321
111  32.33845023 -084.98321801
113  32.33835862 -084.98329375
110 2 0.00 0.0000 New Taxiway 10
111  32.33776699 -084.98184360
111  32.33780607 -084.98181116
111  32.33785749 -084.98189432
111  32.33758641 -084.98211402
111  32.33753830 -084.98203467
111  32.33727085 -084.98159353
112  32.33727085 -084.98159353  32.33722660 -084.98153691
112  32.33717268 -084.98167030  32.33720098 -084.98175446
111  32.33717268 -084.98167030
111  32.33742046 -084.98207470
111  32.33724803 -084.98221755
111  32.33675050 -084.98139027
111  32.33728218 -084.98094644
111  32.33759892 -084.98147201
113  32.33756104 -084.98150391
110 1 0.00 0.0000 New Taxiway 9
111  32.33485289 -084.98500503
111  32.33686833 -084.98333184
111  32.33714765 -084.98378810
111  32.33744206 -084.98354237
112  32.33744206 -084.98354237  32.33746891 -084.98351125
111  32.33745207 -084.98345826
111  32.33691047 -084.98253994
111  32.33673774 -084.98223858
111  32.33636424 -084.98161709
111  32.33729528 -084.98083451
111  32.33786078 -084.98176572
111  32.33793428 -084.98170877
111  32.33899588 -084.98348638
111  32.33797948 -084.98432887
111  32.33768388 -084.98383488
112  32.33768388 -084.98383488  32.33764595 -084.98378312
111  32.33759414 -084.98381339
111  32.33747405 -084.98391107
111  32.33775433 -084.98436909
111  32.33572976 -084.98605046
111  32.33545285 -084.98558597
111  32.33479839 -084.98613782
111  32.33472747 -084.98619762
112  32.33472747 -084.98619762  32.33469997 -084.98623064 102
111  32.33469580 -084.98626566 102
111  32.33470391 -084.98631358
111  32.33437573 -084.98604024
112  32.33437573 -084.98604024  32.33442994 -084.98604118 102
111  32.33445885 -084.98602736
111  32.33463650 -084.98588029
113  32.33512771 -084.98547155
111  32.33780607 -084.98181116
111  32.33759892 -084.98147201
111  32.33756104 -084.98150391
113  32.33776699 -084.98184360
111  32.33753830 -084.98203467
111  32.33727085 -084.98159353
112  32.33727085 -084.98159353  32.33722660 -084.98153691
112  32.33717268 -084.98167030  32.33720098 -084.98175446
111  32.33717268 -084.98167030
111  32.33742046 -084.98207470
113  32.33744298 -084.98211274
111  32.33865684 -084.98304696
111  32.33840409 -084.98262497
111  32.33834573 -084.98267322
111  32.33828724 -084.98272158
111  32.33819656 -084.98279655
111  32.33810388 -084.98287318
111  32.33805001 -084.98291772
111  32.33796763 -084.98298583
111  32.33801406 -084.98306447
111  32.33817290 -084.98333116
111  32.33821983 -084.98340854
111  32.33830190 -084.98334065
111  32.33835862 -084.98329375
111  32.33845023 -084.98321801
111  32.33854069 -084.98314321
113  32.33859762 -084.98309614
110 1 0.00 0.0000 New Taxiway 8
111  32.32828204 -084.98370667 102
111  32.32835417 -084.98358742 102
111  32.32881036 -084.98283333
112  32.32881036 -084.98283333  32.32900975 -084.98254731 102
112  32.32947958 -084.98237255  32.32976160 -084.98231369
111  32.32947958 -084.98237255 102
111  32.32959466 -084.98235260
111  32.32996637 -084.98266234 102
111  32.32993342 -084.98265646 102
111  32.32975802 -084.98260915
112  32.32975802 -084.98260915  32.32941999 -084.98255484 102
112  32.32897788 -084.98296612  32.32878202 -084.98323118
111  32.32897788 -084.98296612 102
111  32.32857863 -084.98363311 102
112  32.32853608 -084.98373795  32.32851887 -084.98378731
111  32.32853608 -084.98373795
112  32.32853608 -084.98373795  32.32850692 -084.98389457 102
112  32.32857327 -084.98409496  32.32863291 -084.98421912
111  32.32857327 -084.98409496 102
111  32.32864097 -084.98420929 102
111  32.32867692 -084.98426362
111  32.32867453 -084.98427653
111  32.32805235 -084.98375973 102
111  32.32816044 -084.98378909 102
