I
1050 Generated by WorldEditor 2.2.0r2

1   1060 1 0 KFBL Faribault Muni-Liz Wall Strohfus Field
111  44.32715557 -093.30536823
111  44.32707709 -093.30522159
111  44.32706179 -093.30519425
113  44.32717954 -093.30507489
110 2 0.00 0.0000 New Taxiway 34
111  44.32740352 -093.30509345
111  44.32729259 -093.30520432
111  44.32722890 -093.30508536
111  44.32722069 -093.30509232
111  44.32720216 -093.30505807
111  44.32723616 -093.30502512
111  44.32720099 -093.30495810
111  44.32725646 -093.30490003
111  44.32729374 -093.30497239
113  44.32732434 -093.30494401
110 2 0.00 0.0000 New Taxiway 33
111  44.32754329 -093.30495192
111  44.32741914 -093.30507402
111  44.32735704 -093.30495228
111  44.32734496 -093.30496338
111  44.32732657 -093.30492755
111  44.32737739 -093.30487986
111  44.32733959 -093.30481001
111  44.32738174 -093.30476760
111  44.32742135 -093.30483822
113  44.32746332 -093.30479847
110 2 0.00 0.0000 New Taxiway 32
111  44.32757176 -093.30495332
111  44.32747800 -093.30477356
111  44.32751165 -093.30474109
111  44.32747603 -093.30467637
111  44.32747390 -093.30467255
111  44.32752973 -093.30461544
111  44.32756683 -093.30468785
111  44.32760414 -093.30465186
113  44.32769681 -093.30482568
110 2 0.00 0.0000 New Taxiway 31
111  44.32770483 -093.30479145
111  44.32761832 -093.30462533
111  44.32764822 -093.30459740
111  44.32761137 -093.30452686
111  44.32766519 -093.30446913
111  44.32770618 -093.30454359
111  44.32773696 -093.30451453
113  44.32781800 -093.30467353
110 2 0.00 0.0000 New Taxiway 30
111  44.32715989 -093.30475674
111  44.32705822 -093.30457173
111  44.32753576 -093.30406118
113  44.32764139 -093.30425347
110 2 0.00 0.0000 New Taxiway 29
111  44.32701520 -093.30478725
111  44.32698457 -093.30482080
111  44.32698060 -093.30481432
111  44.32695452 -093.30484361
111  44.32691122 -093.30476358
111  44.32693858 -093.30473527
111  44.32696237 -093.30470971
111  44.32699981 -093.30466931
111  44.32702256 -093.30471131
113  44.32699060 -093.30474592
110 2 0.00 0.0000 New Taxiway 28
111  44.32671295 -093.30454642
111  44.32661326 -093.30464910
111  44.32658251 -093.30459224
111  44.32655489 -093.30454047
111  44.32652378 -093.30448216
111  44.32650579 -093.30444871
113  44.32660499 -093.30435360
110 2 0.00 0.0000 New Taxiway 27
111  44.32684218 -093.30440350
111  44.32683902 -093.30440689
111  44.32675679 -093.30449517
111  44.32672860 -093.30444697
111  44.32675411 -093.30442052
111  44.32673064 -093.30438123
113  44.32679193 -093.30432039
110 2 0.00 0.0000 New Taxiway 26
111  44.32694372 -093.30413812
111  44.32668008 -093.30441724
111  44.32663062 -093.30432557
113  44.32689706 -093.30404732
110 2 0.00 0.0000 New Taxiway 25
111  44.32701192 -093.30426091
111  44.32698873 -093.30428514
111  44.32701843 -093.30434106
111  44.32697544 -093.30438686
111  44.32694335 -093.30433257
111  44.32687741 -093.30440148
111  44.32681399 -093.30429340
113  44.32694961 -093.30415088
110 2 0.00 0.0000 New Taxiway 24
111  44.32711959 -093.30411656
111  44.32709028 -093.30414781
111  44.32705044 -093.30419029
111  44.32702557 -093.30421682
111  44.32693026 -093.30402608
111  44.32696014 -093.30399806
111  44.32697590 -093.30398329
111  44.32698955 -093.30397048
113  44.32702454 -093.30393767
110 2 0.00 0.0000 New Taxiway 23
111  44.32726254 -093.30397605
111  44.32724208 -093.30399813
111  44.32718465 -093.30406007
111  44.32717366 -093.30407193
111  44.32711620 -093.30397679
113  44.32720554 -093.30388446
110 2 0.00 0.0000 New Taxiway 22
111  44.32738336 -093.30385976
111  44.32735246 -093.30389254
111  44.32730913 -093.30393851
111  44.32728172 -093.30396759
111  44.32728544 -093.30397428
111  44.32727469 -093.30398623
111  44.32725553 -093.30395588
111  44.32726854 -093.30394194
111  44.32718969 -093.30379971
111  44.32717665 -093.30381345
111  44.32715859 -093.30378126
111  44.32717224 -093.30376641
111  44.32726393 -093.30366659
113  44.32727327 -093.30365643
110 2 0.00 0.0000 New Taxiway 21
111  44.32679949 -093.30379952
111  44.32673441 -093.30368918
111  44.32695542 -093.30345790
113  44.32702299 -093.30357175
110 2 0.00 0.0000 New Taxiway 20
111  44.32663084 -093.30397003
111  44.32656601 -093.30385689
111  44.32670621 -093.30371272
111  44.32677225 -093.30382632
111  44.32673567 -093.30386355
113  44.32669923 -093.30390070
110 2 0.00 0.0000 New Taxiway 19
111  44.32651022 -093.30410199
111  44.32645197 -093.30399592
111  44.32655672 -093.30389168
111  44.32661561 -093.30399345
111  44.32657508 -093.30403520
113  44.32654515 -093.30406602
110 2 0.00 0.0000 New Taxiway 18
111  44.32634518 -093.30427871
111  44.32628061 -093.30416106
111  44.32638101 -093.30405857
111  44.32644575 -093.30417774
111  44.32641975 -093.30420384
113  44.32636935 -093.30425445
110 2 0.00 0.0000 New Taxiway 17
111  44.32619556 -093.30442421
111  44.32613453 -093.30431243
111  44.32622900 -093.30422006
113  44.32629089 -093.30433351
110 2 0.00 0.0000 New Taxiway 16
111  44.32655906 -093.30371839
111  44.32648230 -093.30356634
111  44.32648949 -093.30356296
111  44.32659675 -093.30345738
113  44.32667359 -093.30360396
110 2 0.00 0.0000 New Taxiway 15
111  44.32647047 -093.30354411
111  44.32639378 -093.30340048
111  44.32640401 -093.30339079
111  44.32639841 -093.30338098
111  44.32650089 -093.30327200
111  44.32657997 -093.30342016
111  44.32648039 -093.30351862
113  44.32648613 -093.30352829
110 2 0.00 0.0000 New Taxiway 14
111  44.32628153 -093.30379640
111  44.32601399 -093.30328726
111  44.32600106 -093.30326264
111  44.32607540 -093.30319067
111  44.32613779 -093.30331024
113  44.32635450 -093.30372560
110 2 0.00 0.0000 New Taxiway 13
111  44.32577603 -093.30362520
111  44.32589855 -093.30350195
111  44.32612768 -093.30394677
113  44.32600791 -093.30406841
110 2 0.00 0.0000 New Taxiway 12
111  44.32566110 -093.30340112
111  44.32567386 -093.30338847
111  44.32566432 -093.30337112
111  44.32578364 -093.30325452
111  44.32587940 -093.30343711
113  44.32574798 -093.30357075
110 2 0.00 0.0000 New Taxiway 11
111  44.32558358 -093.30374676
111  44.32546585 -093.30386465
111  44.32538166 -093.30370488
111  44.32549918 -093.30358903
111  44.32552189 -093.30363149
111  44.32557886 -093.30357887
111  44.32561861 -093.30365598
113  44.32556323 -093.30370878
110 2 0.00 0.0000 New Taxiway 10
111  44.32568285 -093.30393177
111  44.32556322 -093.30405168
111  44.32547779 -093.30389016
111  44.32559773 -093.30377102
111  44.32562172 -093.30381632
111  44.32567706 -093.30376447
111  44.32571690 -093.30384213
113  44.32566258 -093.30389348
110 2 0.00 0.0000 New Taxiway 9
111  44.32577853 -093.30412283
111  44.32565887 -093.30423971
111  44.32557241 -093.30407688
111  44.32569265 -093.30395700
111  44.32571488 -093.30400049
111  44.32577141 -093.30394638
111  44.32581122 -093.30402253
113  44.32575458 -093.30407659
110 2 0.00 0.0000 New Taxiway 8
111  44.32599730 -093.30442639
111  44.32580999 -093.30454866
111  44.32567618 -093.30429011
111  44.32580532 -093.30416293
111  44.32590687 -093.30436011
113  44.32594476 -093.30432013
110 1 0.00 252.8200 New Taxiway 6
111  44.32732882 -093.30720115
112  44.32732882 -093.30720115  44.32742676 -093.30707127
112  44.32736249 -093.30680782  44.32729711 -093.30666630
111  44.32736249 -093.30680782
111  44.32689813 -093.30595267
111  44.32687837 -093.30591629
111  44.32657188 -093.30535187
111  44.32662051 -093.30530556
112  44.32662051 -093.30530556  44.32667122 -093.30525363
111  44.32664017 -093.30517496
111  44.32661746 -093.30512935
111  44.32653805 -093.30498427
111  44.32636305 -093.30476457
112  44.32632013 -093.30475069  44.32629400 -093.30475286
111  44.32632013 -093.30475069
111  44.32599905 -093.30481679
111  44.32521476 -093.30514904
111  44.32493209 -093.30527135 102
111  44.32484627 -093.30531036
112  44.32484627 -093.30531036  44.32473925 -093.30540742 102
111  44.32478502 -093.30557042
111  44.32458921 -093.30521077
112  44.32458921 -093.30521077  44.32463004 -093.30525468 102
112  44.32474630 -093.30523777  44.32484702 -093.30520145
111  44.32474630 -093.30523777 102
111  44.32490917 -093.30516696
111  44.32597739 -093.30471351
112  44.32597739 -093.30471351  44.32599473 -093.30470459
112  44.32600026 -093.30467428  44.32600183 -093.30465261
111  44.32600026 -093.30467428
111  44.32600295 -093.30453952
111  44.32600809 -093.30449427
112  44.32599730 -093.30442639  44.32598576 -093.30439545
111  44.32599730 -093.30442639
111  44.32594476 -093.30432013
112  44.32594476 -093.30432013  44.32595430 -093.30431075
111  44.32595063 -093.30429998
111  44.32581122 -093.30402253
111  44.32577141 -093.30394638
111  44.32571690 -093.30384213
111  44.32567706 -093.30376447
111  44.32561861 -093.30365598
111  44.32557886 -093.30357887
111  44.32554416 -093.30351123
111  44.32557419 -093.30348295
111  44.32566110 -093.30340112
111  44.32574798 -093.30357075
111  44.32577603 -093.30362520
111  44.32600791 -093.30406841
111  44.32612768 -093.30394677
111  44.32589855 -093.30350195
111  44.32594544 -093.30345780
111  44.32590867 -093.30338776
111  44.32593888 -093.30335893
111  44.32601399 -093.30328726
111  44.32628153 -093.30379640
111  44.32635450 -093.30372560
111  44.32613779 -093.30331024
111  44.32621010 -093.30324022
111  44.32623847 -093.30321276
111  44.32635470 -093.30343765
111  44.32639378 -093.30340048
111  44.32647047 -093.30354411
111  44.32648230 -093.30356634
111  44.32655906 -093.30371839
111  44.32651050 -093.30377400
112  44.32651050 -093.30377400  44.32650305 -093.30378401
111  44.32649095 -093.30381330
112  44.32646361 -093.30385854  44.32644879 -093.30387568
111  44.32646361 -093.30385854
111  44.32619987 -093.30413052
111  44.32607952 -093.30428104
112  44.32607952 -093.30428104  44.32607417 -093.30428840
112  44.32606820 -093.30432704  44.32606775 -093.30434987
111  44.32606820 -093.30432704
111  44.32606855 -093.30435862
112  44.32606855 -093.30435862  44.32606981 -093.30440103
112  44.32608505 -093.30447053  44.32609678 -093.30451121
111  44.32608505 -093.30447053
111  44.32611742 -093.30456616
112  44.32611742 -093.30456616  44.32612689 -093.30459045
111  44.32614576 -093.30458508
112  44.32614576 -093.30458508  44.32617388 -093.30457540
111  44.32618884 -093.30455996
112  44.32623389 -093.30449693  44.32625593 -093.30448429
111  44.32623389 -093.30449693
111  44.32619556 -093.30442421
111  44.32629089 -093.30433351
111  44.32632614 -093.30440173
111  44.32640741 -093.30431683
111  44.32636935 -093.30425445
111  44.32641975 -093.30420384
111  44.32645491 -093.30426932
111  44.32658317 -093.30413461
111  44.32654515 -093.30406602
111  44.32657508 -093.30403520
111  44.32661443 -093.30410424
111  44.32673906 -093.30396934
111  44.32669923 -093.30390070
111  44.32673567 -093.30386355
111  44.32677463 -093.30393101
111  44.32683687 -093.30386516
111  44.32679949 -093.30379952
111  44.32702299 -093.30357175
112  44.32702299 -093.30357175  44.32703825 -093.30362341
111  44.32705668 -093.30364253
111  44.32709840 -093.30360068
111  44.32714577 -093.30356523
111  44.32718626 -093.30352606
112  44.32718626 -093.30352606  44.32724240 -093.30348067
111  44.32727331 -093.30351438
111  44.32751240 -093.30382958
112  44.32751240 -093.30382958  44.32759072 -093.30394042
112  44.32771434 -093.30413949  44.32778605 -093.30425684
111  44.32771434 -093.30413949
111  44.32785325 -093.30436743
111  44.32780833 -093.30441725
111  44.32778473 -093.30438325
111  44.32773775 -093.30438978
111  44.32766654 -093.30446464
112  44.32766519 -093.30446913  44.32766582 -093.30447058
111  44.32766519 -093.30446913
111  44.32761137 -093.30452686
111  44.32752973 -093.30461544
111  44.32747390 -093.30467255
111  44.32747603 -093.30467637
111  44.32738174 -093.30476760
111  44.32733959 -093.30481001
111  44.32725646 -093.30490003
111  44.32720099 -093.30495810
111  44.32697482 -093.30518994
111  44.32687163 -093.30532824
112  44.32702817 -093.30539309  44.32711727 -093.30536647
111  44.32702817 -093.30539309
111  44.32698420 -093.30530741
111  44.32707709 -093.30522159
111  44.32715557 -093.30536823
112  44.32730211 -093.30531562  44.32734264 -093.30528627
111  44.32730211 -093.30531562
111  44.32732427 -093.30529845
111  44.32732774 -093.30530368
111  44.32731546 -093.30531674
111  44.32741683 -093.30550193
111  44.32741428 -093.30552033
111  44.32744076 -093.30556787
111  44.32742757 -093.30558092
111  44.32746663 -093.30565081
112  44.32746663 -093.30565081  44.32747324 -093.30566005
111  44.32748115 -093.30565349
111  44.32750152 -093.30563200
111  44.32761490 -093.30584077
111  44.32760782 -093.30584827
111  44.32764382 -093.30591297
111  44.32762399 -093.30593188
111  44.32764401 -093.30596945
111  44.32766236 -093.30594976
111  44.32782930 -093.30624686
111  44.32794569 -093.30612335
111  44.32797614 -093.30617782
112  44.32798708 -093.30617704  44.32799259 -093.30617210
111  44.32798708 -093.30617704
111  44.32809961 -093.30605435
112  44.32812737 -093.30595569  44.32815873 -093.30591232
111  44.32812737 -093.30595569
111  44.32818942 -093.30588995
111  44.32831784 -093.30612216
111  44.32845133 -093.30597884
111  44.32848292 -093.30594493
111  44.32850116 -093.30597509
111  44.32865453 -093.30581267
111  44.32851351 -093.30555097
112  44.32851351 -093.30555097  44.32853760 -093.30552700
112  44.32852468 -093.30548774  44.32851264 -093.30546523
111  44.32852468 -093.30548774
111  44.32856658 -093.30544295
111  44.32864854 -093.30554645
111  44.32886537 -093.30586625
111  44.32955332 -093.30683138
112  44.32955332 -093.30683138  44.32961695 -093.30692130
111  44.32969907 -093.30702638
111  44.33077177 -093.30829972
111  44.33074000 -093.30835830
111  44.33065806 -093.30826315
111  44.33052044 -093.30840727
111  44.33037447 -093.30856014
111  44.33005284 -093.30890293
111  44.32987723 -093.30908517
111  44.32952760 -093.30945521
111  44.32930762 -093.30968565
111  44.32853853 -093.31049579
112  44.32853853 -093.31049579  44.32847230 -093.31057166
111  44.32851164 -093.31065194
111  44.33085260 -093.31496829
111  44.33161706 -093.31637814
111  44.33184817 -093.31680430 102
111  44.33188189 -093.31686647 102
111  44.33213572 -093.31682131 102
111  44.33233997 -093.31719541 102
111  44.33189743 -093.31765790 102
111  44.33154776 -093.31802790
111  44.33149995 -093.31793972
111  44.33140671 -093.31776773 102
111  44.33147407 -093.31781551 102
112  44.33160009 -093.31779906  44.33166648 -093.31774034
111  44.33160009 -093.31779906 102
111  44.33183718 -093.31754796 102
111  44.33190174 -093.31747438
112  44.33190174 -093.31747438  44.33198001 -093.31736674 102
112  44.33189275 -093.31710719  44.33181937 -093.31694827
111  44.33189275 -093.31710719 102
111  44.33176978 -093.31688209
111  44.33153779 -093.31645744
111  44.33077555 -093.31504883
111  44.32920933 -093.31216140
112  44.32920933 -093.31216140  44.32918943 -093.31212892 102
111  44.32910623 -093.31207136
112  44.32910623 -093.31207136  44.32906549 -093.31205097 102
112  44.32897427 -093.31210828  44.32892691 -093.31215257
111  44.32897427 -093.31210828 102
111  44.32891742 -093.31216880 102
111  44.32867668 -093.31241364
112  44.32867668 -093.31241364  44.32858222 -093.31253219 102
111  44.32866493 -093.31271638
111  44.32841231 -093.31225329
112  44.32841231 -093.31225329  44.32846694 -093.31227312 102
112  44.32862487 -093.31229704  44.32874075 -093.31219030
111  44.32862487 -093.31229704 102
111  44.32885482 -093.31205668 102
111  44.32889403 -093.31201506
112  44.32889403 -093.31201506  44.32897214 -093.31189877 102
112  44.32897073 -093.31181492  44.32896771 -093.31174883
111  44.32897073 -093.31181492 102
112  44.32893619 -093.31165836  44.32890878 -093.31157715
111  44.32893619 -093.31165836
111  44.32704210 -093.30817228 102
111  44.32695931 -093.30801990
112  44.32695931 -093.30801990  44.32686986 -093.30790346 102
112  44.32673385 -093.30796502  44.32663173 -093.30802375
111  44.32673385 -093.30796502 102
111  44.32667154 -093.30802968 102
111  44.32641703 -093.30830137
112  44.32641703 -093.30830137  44.32634501 -093.30839880 102
111  44.32639277 -093.30853186
111  44.32619844 -093.30817429 102
112  44.32636619 -093.30820637  44.32646257 -093.30813647
111  44.32636619 -093.30820637 102
113  44.32662173 -093.30794155 102
111  44.32846201 -093.31043484
111  44.32926000 -093.30959939
111  44.32947956 -093.30936801
111  44.32978761 -093.30903996
111  44.32972229 -093.30892297
111  44.32991944 -093.30871449
111  44.32990977 -093.30869741
111  44.33023670 -093.30835785
111  44.33024661 -093.30837582
111  44.33013950 -093.30848747
111  44.33020243 -093.30859747
111  44.33049730 -093.30829746
112  44.33049730 -093.30829746  44.33055609 -093.30822586
111  44.33054320 -093.30812489
111  44.32966895 -093.30708641
112  44.32966895 -093.30708641  44.32962428 -093.30703206
112  44.32955295 -093.30693526  44.32951450 -093.30688237
111  44.32955295 -093.30693526
111  44.32948142 -093.30683597
112  44.32940887 -093.30683909  44.32936392 -093.30687663
111  44.32940887 -093.30683909
111  44.32757990 -093.30877006
112  44.32757990 -093.30877006  44.32752595 -093.30882909
111  44.32757908 -093.30893267
111  44.32836546 -093.31038168
114  44.32836546 -093.31038168  44.32841062 -093.31046386
111  44.32754321 -093.30870248
111  44.32826340 -093.30795471
111  44.32819600 -093.30781852
111  44.32829839 -093.30771020
111  44.32839524 -093.30760774
111  44.32849319 -093.30750412
111  44.32859262 -093.30739895
111  44.32869180 -093.30729402
111  44.32876058 -093.30722127
111  44.32883265 -093.30735135
111  44.32937803 -093.30677202
112  44.32938347 -093.30670009  44.32937951 -093.30665407
111  44.32938347 -093.30670009
111  44.32914105 -093.30635795
112  44.32908388 -093.30634269  44.32905506 -093.30636046
111  44.32908388 -093.30634269
111  44.32857511 -093.30688222
111  44.32864773 -093.30701484
111  44.32853041 -093.30713626
111  44.32842704 -093.30724324
111  44.32832806 -093.30734568
111  44.32822920 -093.30744799
111  44.32813332 -093.30754722
111  44.32808032 -093.30760230
111  44.32800952 -093.30747551
111  44.32730381 -093.30822150
112  44.32730381 -093.30822150  44.32723655 -093.30829917
111  44.32728381 -093.30839073
111  44.32743374 -093.30866333
114  44.32743374 -093.30866333  44.32749070 -093.30875035
111  44.32715565 -093.30815417
112  44.32726903 -093.30815850  44.32733758 -093.30809253
111  44.32726903 -093.30815850
111  44.32789146 -093.30750458
112  44.32789146 -093.30750458  44.32791929 -093.30747536
112  44.32790183 -093.30741725  44.32788544 -093.30738249
111  44.32790183 -093.30741725
111  44.32770306 -093.30705484
112  44.32770306 -093.30705484  44.32767889 -093.30701491
112  44.32760847 -093.30704340  44.32757405 -093.30707274
111  44.32760847 -093.30704340
111  44.32737820 -093.30729030 102
111  44.32706477 -093.30761986 102
111  44.32701000 -093.30774021
112  44.32701000 -093.30774021  44.32699560 -093.30778746 102
112  44.32706043 -093.30797828  44.32712031 -093.30811761
111  44.32706043 -093.30797828 102
113  44.32711701 -093.30808278
111  44.32664422 -093.30493174
111  44.32676807 -093.30515526
111  44.32676445 -093.30515816
111  44.32679046 -093.30520512
112  44.32695695 -093.30508653  44.32703370 -093.30501160
111  44.32695695 -093.30508653
111  44.32720200 -093.30483122
111  44.32715989 -093.30475674
111  44.32764139 -093.30425347
111  44.32766989 -093.30430447
111  44.32769033 -093.30422590
111  44.32759229 -093.30406284
111  44.32754347 -093.30399233
112  44.32754347 -093.30399233  44.32752914 -093.30397310
112  44.32751378 -093.30401753  44.32752605 -093.30404627
111  44.32751378 -093.30401753
111  44.32753576 -093.30406118
111  44.32705822 -093.30457173
111  44.32701798 -093.30450018
111  44.32690992 -093.30461151
111  44.32696237 -093.30470971
111  44.32693858 -093.30473527
111  44.32688647 -093.30463561
113  44.32672975 -093.30479629
111  44.32650452 -093.30466825
111  44.32657393 -093.30479275
112  44.32670235 -093.30470896  44.32675449 -093.30465491
111  44.32670235 -093.30470896
111  44.32681084 -093.30459025
111  44.32675679 -093.30449517
111  44.32683902 -093.30440689
111  44.32689104 -093.30450152
111  44.32698301 -093.30440829
112  44.32697544 -093.30438686  44.32696648 -093.30437106
111  44.32697544 -093.30438686
111  44.32701843 -093.30434106
111  44.32702792 -093.30435918
111  44.32710567 -093.30428274
111  44.32705044 -093.30419029
111  44.32709028 -093.30414781
111  44.32714246 -093.30424004
111  44.32723318 -093.30414473
111  44.32718465 -093.30406007
111  44.32724208 -093.30399813
111  44.32728575 -093.30408636
111  44.32735375 -093.30401609
111  44.32730913 -093.30393851
111  44.32735246 -093.30389254
111  44.32739623 -093.30397056
111  44.32742231 -093.30394295
112  44.32742231 -093.30394295  44.32742869 -093.30393793
111  44.32743472 -093.30394318
111  44.32746563 -093.30390806
111  44.32746599 -093.30387496
111  44.32728731 -093.30363437
112  44.32728731 -093.30363437  44.32726393 -093.30360751
111  44.32724719 -093.30363850
111  44.32726393 -093.30366659
111  44.32717224 -093.30376641
111  44.32714793 -093.30372120
111  44.32696010 -093.30390348
111  44.32698955 -093.30397048
111  44.32697590 -093.30398329
111  44.32696014 -093.30399806
111  44.32692763 -093.30393509
111  44.32687172 -093.30399504
111  44.32689706 -093.30404732
111  44.32663062 -093.30432557
111  44.32659122 -093.30425234
111  44.32647736 -093.30437088
111  44.32640282 -093.30448731
112  44.32640282 -093.30448731  44.32641647 -093.30452751
111  44.32644088 -093.30455321
112  44.32646287 -093.30454468  44.32647847 -093.30453015
111  44.32646287 -093.30454468
111  44.32652378 -093.30448216
111  44.32655489 -093.30454047
113  44.32658251 -093.30459224
111  44.32903151 -093.30629423
112  44.32903151 -093.30629423  44.32906129 -093.30625424
111  44.32903934 -093.30621426
111  44.32892227 -093.30605708
111  44.32886522 -093.30599586
112  44.32884870 -093.30599778  44.32883989 -093.30600268
111  44.32884870 -093.30599778
111  44.32884006 -093.30600676
111  44.32884498 -093.30601594
111  44.32865934 -093.30620345
111  44.32862654 -093.30624136
111  44.32812586 -093.30677402
111  44.32821551 -093.30693339
111  44.32826164 -093.30688478
111  44.32834990 -093.30679177
111  44.32843921 -093.30669765
111  44.32852933 -093.30660268
111  44.32861978 -093.30650736
111  44.32871895 -093.30640285
113  44.32879997 -093.30654435
130 Airport Boundary 2
111  44.32337333 -093.30477066
111  44.32255593 -093.30363571
111  44.32260251 -093.30312316
111  44.32392905 -093.30311324
111  44.32485064 -093.30364034
111  44.32519047 -093.30317632
111  44.32629376 -093.30315120
111  44.32662931 -093.30317794
111  44.32724463 -093.30341080
111  44.32787917 -093.30436452
111  44.32861020 -093.30537107
111  44.32969427 -093.30692260
111  44.33082997 -093.30830592
111  44.33101727 -093.30862533
111  44.32954481 -093.31016366
111  44.32918809 -093.31017329
111  44.32882173 -093.31038701
111  44.32873359 -093.31078555
111  44.33113593 -093.31521688
111  44.33126127 -093.31527464
111  44.33125025 -093.31503011
111  44.33097204 -093.31452566
111  44.33097479 -093.31436007
111  44.33112629 -093.31437740
111  44.33159182 -093.31477596
111  44.33179841 -093.31478751
111  44.33223914 -093.31454683
111  44.33259310 -093.31448522
111  44.33311647 -093.31480485
111  44.33400620 -093.31459498
111  44.33428992 -093.31464311
111  44.33467280 -093.31462771
111  44.33475820 -093.31475480
111  44.33477748 -093.31498393
111  44.33467143 -093.31518226
111  44.33422858 -093.31529852
111  44.33399131 -093.31542181
111  44.33359928 -093.31553983
111  44.33333980 -093.31593725
111  44.33331996 -093.31616599
111  44.33315139 -093.31642478
111  44.33271437 -093.31652715
111  44.33250180 -093.31669946
111  44.33264143 -093.31705380
111  44.33269894 -093.31749465
111  44.33258788 -093.31783568
111  44.33246954 -093.31804640
111  44.33250856 -093.31863367
111  44.33262219 -093.31884707
111  44.33275780 -093.31877547
111  44.33296307 -093.31910862
111  44.33291257 -093.31937016
111  44.33247464 -093.31973580
111  44.33220028 -093.32006621
111  44.33194310 -093.31994895
111  44.33156113 -093.31920338
111  44.33088998 -093.31808148
111  44.33006848 -093.31644366
111  44.32785271 -093.31702775
