A
1050 Generated by WorldEditor 1.6.0r1

1    408 0 0 KMLT Millinocket Municipal Airport
111  45.64902100 -068.67389201
111  45.64847183 -068.67437744
111  45.64865991 -068.68969300
113  45.64174140 -068.68109122
120 Linear Feature 69
111  45.64729715 -068.69044027 4
115  45.64722236 -068.69034613
120 Linear Feature 64
111  45.64864644 -068.69211761 4
115  45.64857936 -068.69203539
120 Linear Feature 56
111  45.64865575 -068.67499405 4
115  45.64872359 -068.67489594
120 Linear Feature 55
111  45.64871925 -068.67457020 4
115  45.64864973 -068.67447019
120 Linear Feature 54
111  45.64915914 -068.67501868 1
111  45.64881858 -068.67502362 1
112  45.64862528 -068.67473395  45.64862068 -068.67448213 1
111  45.64882203 -068.67443440 1
115  45.64914994 -068.67443440
120 Linear Feature 63
112  45.64884641 -068.69169255  45.64894229 -068.69151973 1
111  45.64883317 -068.69132469 1
115  45.64839596 -068.69078978
120 Linear Feature 62
111  45.64913242 -068.69170100 1
111  45.64908699 -068.69164736 1
112  45.64884641 -068.69169255  45.64873806 -068.69184616
111  45.64884641 -068.69169255 1
111  45.64849545 -068.69226439 1
112  45.64827892 -068.69228040  45.64817044 -068.69216015
111  45.64827892 -068.69228040 1
111  45.64728138 -068.69105095 1
111  45.64719312 -068.69079340 1
111  45.64717742 -068.69074775
112  45.64717742 -068.69074775  45.64713777 -068.69059774 1
111  45.64722462 -068.69045105 1
111  45.64750459 -068.68999104
112  45.64750459 -068.68999104  45.64762060 -068.68986075 1
111  45.64774045 -068.68997294 1
115  45.64818342 -068.69052100
120 Linear Feature 68
111  45.64697084 -068.69051741 1
116  45.64722462 -068.69045105  45.64732782 -068.69027723
120 Linear Feature 67
111  45.64719312 -068.69079340 1
111  45.64697084 -068.69051741 1
115  45.64621547 -068.68957954
120 Linear Feature 66
111  45.64728359 -068.69159018 1
115  45.64724176 -068.69153695
120 Linear Feature 65
111  45.64725224 -068.69164206 1
111  45.64728359 -068.69159018 1
115  45.64731605 -068.69153650
120 Linear Feature 70
112  45.64750459 -068.68999104  45.64758881 -068.68980737 1
111  45.64747366 -068.68963807 1
115  45.64703778 -068.68909530
21  45.64960792 -068.67743791 1 270.3600 3.00 29  VASI
14  45.64725333 -068.69132651  82.02 0 New Tower Viewpoint 12
1300  45.64728359 -068.69159018 319.00 hangar props GA 01
1301 A none 
1300  45.64729094 -068.69180872  49.25 hangar turboprops|props Hangar 04
1301 A none 
1300  45.64697339 -068.69084296  49.25 hangar turboprops|props Hangar 03
1301 A none 
1300  45.64654755 -068.69032764  49.25 hangar props Hangar 02
1301 A none 
1300  45.64628177 -068.69002198  49.25 hangar turboprops|props Hangar 01
1301 A none 
18  45.64717938 -068.69171213 1 New Airport Beacon 11
19  45.64866609 -068.68991533 1 WS
19  45.64890059 -068.69256911 1 WS
50 13522 ASOS
51 12280 CTAF/UNICOM
99
