I
1050 Generated by WorldEditor 1.7.1r2

1   1075 0 0 KRRT Warroad International Memorial Airport
112  48.93479700 -095.33977463  48.93472433 -095.33986648
111  48.93479700 -095.33977463 102
111  48.93404543 -095.34107324 102
112  48.93404979 -095.34129915  48.93409890 -095.34141855
111  48.93404979 -095.34129915 102
111  48.93911266 -095.34806818 102
112  48.93927369 -095.34803374  48.93936224 -095.34793152
111  48.93927369 -095.34803374 102
111  48.94001370 -095.34676040
112  48.94001370 -095.34676040  48.94006552 -095.34664476 102
111  48.94001528 -095.34651397
111  48.93999542 -095.34647132
111  48.94028297 -095.34682950
111  48.94025160 -095.34683010 102
112  48.94010676 -095.34685153  48.94005300 -095.34691843
111  48.94010676 -095.34685153 102
111  48.93935044 -095.34815312 102
112  48.93935243 -095.34838399  48.93940176 -095.34852178
111  48.93935243 -095.34838399 102
111  48.94229198 -095.35233010
111  48.94272081 -095.35290577 102
111  48.94478081 -095.35567115 102
111  48.94501666 -095.35565100 102
111  48.94573843 -095.35439639
112  48.94573843 -095.35439639  48.94577057 -095.35429704 102
112  48.94573071 -095.35416866  48.94571114 -095.35412177
111  48.94573071 -095.35416866
113  48.94570777 -095.35412522
110 3 0.00 0.0000 New Taxiway 4
111  48.94724840 -095.34661577
112  48.94726556 -095.34685963  48.94723676 -095.34699722
111  48.94726556 -095.34685963
111  48.93984237 -095.35671715
112  48.93984237 -095.35671715  48.93970017 -095.35688193
112  48.93951944 -095.35610579  48.93965893 -095.35588671
111  48.93951944 -095.35610579
111  48.94685438 -095.34613422
112  48.94699423 -095.34617580  48.94705580 -095.34628466
113  48.94699423 -095.34617580
130 Airport Boundary 3
111  48.93064594 -095.34484726
111  48.93068750 -095.33266461
111  48.93860275 -095.33783567
111  48.93845078 -095.34029351
111  48.94231896 -095.34602269
111  48.94273451 -095.34501052
111  48.94466979 -095.34723353
111  48.94503785 -095.34667320
111  48.94589270 -095.34696240
111  48.94811293 -095.34392577
111  48.94876594 -095.34434150
111  48.94874219 -095.34605864
111  48.94782798 -095.34739620
111  48.94778049 -095.35233072
111  48.95163917 -095.35773512
111  48.95072496 -095.35965122
111  48.95124737 -095.36057312
111  48.95095055 -095.36126003
111  48.95034503 -095.36032005
111  48.94918149 -095.36256153
111  48.94533467 -095.35778944
111  48.94107231 -095.35775383
111  48.93867399 -095.36080833
111  48.93703553 -095.35797089
111  48.93777561 -095.35292235
111  48.93790151 -095.34950297
111  48.93400758 -095.34422847
113  48.93326434 -095.34526549
120 Linear Feature 12
111  48.93293904 -095.34012881 1
115  48.93290807 -095.34018378
120 Linear Feature 11
111  48.93288249 -095.34014895 1
111  48.93290807 -095.34018378 1
115  48.93293179 -095.34021608
120 Linear Feature 12
111  48.93284735 -095.34000617 1
115  48.93281637 -095.34006115
120 Linear Feature 11
111  48.93279079 -095.34002632 1
111  48.93281637 -095.34006115 1
115  48.93284010 -095.34009345
120 Linear Feature 12
111  48.93275477 -095.33988220 1
115  48.93272380 -095.33993718
120 Linear Feature 11
111  48.93269822 -095.33990235 1
111  48.93272380 -095.33993718 1
115  48.93274752 -095.33996948
120 Linear Feature 12
111  48.93266249 -095.33975868 1
115  48.93263152 -095.33981365
120 Linear Feature 11
111  48.93260594 -095.33977882 1
111  48.93263152 -095.33981365 1
115  48.93265524 -095.33984596
120 Linear Feature 10
111  48.93250578 -095.33980217 1
111  48.93252562 -095.33976873 1
115  48.93255043 -095.33972691
120 Linear Feature 9
111  48.93249038 -095.33972240 1
115  48.93252562 -095.33976873
120 Linear Feature 10
111  48.93242376 -095.33994219 1
111  48.93244360 -095.33990875 1
115  48.93246840 -095.33986694
120 Linear Feature 9
111  48.93240836 -095.33986242 1
115  48.93244360 -095.33990875
21  48.94467411 -095.35174916 2 138.6700 3.00 13  PAPI-4L
21  48.93621590 -095.34187179 2 318.6800 3.00 31  PAPI-4L
14  48.93254839 -095.34066986  82.02 0 New Tower Viewpoint 6
1300  48.93314228 -095.34109280 140.04 tie_down jets|turboprops|props GA 01
1301 B general_aviation 
1300  48.93170619 -095.33948527  48.57 hangar props Hangar 13
1301 A none 
1300  48.93189718 -095.33975380  48.57 hangar props Hangar 12
1301 A none 
1300  48.93202664 -095.33991757  48.57 hangar props Hangar 11
1301 A none 
1300  48.93216310 -095.34011064  48.57 hangar props Hangar 10
1301 A none 
1300  48.93229957 -095.34026404  48.57 hangar props Hangar 09
1301 A none 
1300  48.93241051 -095.34040274  48.69 hangar props Hangar 08
1301 A none 
1300  48.93310091 -095.34155187  48.90 hangar jets|turboprops|props Hangar 07
1301 B none 
1300  48.93352798 -095.34235908 137.56 hangar props Hangar 06
1301 A none 
1300  48.93258317 -095.34292827 228.00 hangar props Hangar 05
1301 A none 
1300  48.93256556 -095.34268416  49.37 hangar props Hangar 04
1301 A none 
1300  48.93240093 -095.34268046 228.00 hangar props Hangar 03
1301 A none 
1300  48.93238210 -095.34243912  48.09 hangar props Hangar 02
1301 A none 
1300  48.93221808 -095.34243450 228.00 hangar props Hangar 01
1301 A none 
1300  48.93290807 -095.34018378 228.22 tie_down props GA Tie-Down 06
1301 A general_aviation 
1300  48.93281637 -095.34006115 228.22 tie_down props GA Tie-Down 05
1301 A general_aviation 
1300  48.93272380 -095.33993718 228.03 tie_down props GA Tie-Down 04
1301 A general_aviation 
1300  48.93263152 -095.33981365 228.22 tie_down props GA Tie-Down 03
1301 A general_aviation 
1300  48.93252562 -095.33976873 -40.74 tie_down props GA Tie-Down 02
1301 A general_aviation 
1300  48.93244360 -095.33990875 317.23 tie_down props GA Tie-Down 01
1301 A general_aviation 
18  48.93190270 -095.34074766 1 New Airport Beacon 6
19  48.93372840 -095.34043048 0 New Windsock 7
50 11992 WX AWOS-3
51 12305 Warroad UNICOM
99
