I
1050 Generated by WorldEditor 1.6.0r1

1    338 1 0 MM01 Cuauhtemoc
111  22.74675119 -099.01670124
112  22.74677432 -099.01678195  22.74680148 -099.01681794
111  22.74685479 -099.01682230
112  22.74693022 -099.01687247  22.74699962 -099.01689973
113  22.74706097 -099.01690192
130 Airport Boundary 2
111  22.74696519 -099.01745995
111  22.74050842 -099.01863613
111  22.73140500 -099.02004727
111  22.73135395 -099.01946117
111  22.73125051 -099.01822404
111  22.73391308 -099.01762940
111  22.73413495 -099.01892065
111  22.73449534 -099.01861782
111  22.74961789 -099.01597394
111  22.74981081 -099.01616617
111  22.74978300 -099.01648090
113  22.74956830 -099.01694280
14  22.74849843 -099.01629815  82.02 0 New Tower Viewpoint 3
1300  22.74610485 -099.01694828 -68.05 tie_down props Stand 05
1301 A general_aviation 
1300  22.74653825 -099.01689719 -46.10 tie_down props Stand 04
1301 A general_aviation 
1300  22.74672014 -099.01685888 -46.10 tie_down props Stand 03
1301 A general_aviation 
1300  22.74916016 -099.01626232 -80.13 hangar props Hangar 01
1301 A none 
1300  22.74871931 -099.01639425 -46.10 tie_down props Stand 02
1301 A general_aviation 
1300  22.74880222 -099.01682333  97.87 tie_down props Stand 01
1301 A general_aviation 
18  22.73192293 -099.01866153 1 New Airport Beacon 1
54 12880 Cuauhtemoc Tower
99
