I
1050 Generated by WorldEditor 2.1.0r1

1    420 1 0 GMMI Essaouira/Mogador International Airport
111  31.40423406 -009.68750545 20
111  31.40410245 -009.68744497 20
115  31.40402342 -009.68741010
120 Linear Feature 17
111  31.40325349 -009.68690619 51
116  31.40341193 -009.68682192  31.40350911 -009.68684853
120 Linear Feature 16
111  31.40303177 -009.68757237 51
111  31.40325349 -009.68690619 51
116  31.40319614 -009.68672641  31.40310630 -009.68666459
120 Linear Feature 15
111  31.40357289 -009.68717861 51
111  31.40342697 -009.68725546 51
115  31.40327265 -009.68733728
120 Linear Feature 13
111  31.40397900 -009.68738936 20
111  31.40387334 -009.68733551 20
111  31.40362172 -009.68719975 20
111  31.40357289 -009.68717861 20
115  31.40350446 -009.68714899
120 Linear Feature 20
111  31.40393235 -009.68763181 20
111  31.40379501 -009.68803707 20
111  31.40329826 -009.68780170 20
115  31.40342931 -009.68738569
120 Linear Feature 19
111  31.40376944 -009.68713676 51
116  31.40392295 -009.68706181  31.40401412 -009.68709155
120 Linear Feature 18
111  31.40371359 -009.68695989 51
112  31.40376944 -009.68713676  31.40375107 -009.68725219
111  31.40376944 -009.68713676 51
115  31.40354985 -009.68780684
120 Linear Feature 13
111  31.40345997 -009.68712926 20
111  31.40327362 -009.68705085 20
111  31.40320093 -009.68701979 20
115  31.40307464 -009.68696023
120 Linear Feature 22
111  31.40341476 -009.68737780 20
111  31.40327942 -009.68778991 20
111  31.40323767 -009.68777231 20
115  31.40321162 -009.68784313
120 Linear Feature 21
111  31.40351421 -009.68716959 20
115  31.40338049 -009.68756878
120 Linear Feature 25
111  31.40348137 -009.68733849 51
115  31.40351760 -009.68741799
120 Linear Feature 12
111  31.40357073 -009.68728898 20
111  31.40348137 -009.68733849 20
111  31.40347242 -009.68734345 20
111  31.40346337 -009.68746214 20
111  31.40345665 -009.68752632 20
111  31.40338049 -009.68756878 20
111  31.40313205 -009.68770732 20
111  31.40295341 -009.68723472 20
111  31.40327362 -009.68705085 20
111  31.40338904 -009.68716354 20
112  31.40345877 -009.68712926  31.40345997 -009.68712926 20
111  31.40350446 -009.68714899 20
113  31.40351421 -009.68716959 20
120 Linear Feature 26
111  31.38970638 -009.67871154 51
111  31.38917111 -009.67848512 51
112  31.38895343 -009.67847044  31.38882642 -009.67848765
111  31.38895343 -009.67847044 51
111  31.38869017 -009.67850898 51
111  31.38840365 -009.67855904
112  31.38840365 -009.67855904  31.38809603 -009.67829069 51
116  31.38868960 -009.67819737  31.38888819 -009.67856073
120 Linear Feature 24
111  31.40399874 -009.68759800 51
115  31.40403701 -009.68768145
120 Linear Feature 11
111  31.40409055 -009.68755449 20
111  31.40402342 -009.68741010 20
111  31.40397900 -009.68738936 20
111  31.40390586 -009.68742145 20
111  31.40378062 -009.68728646 20
111  31.40346337 -009.68746214 20
111  31.40363618 -009.68795136 20
111  31.40396080 -009.68778890 20
111  31.40399126 -009.68760155 20
113  31.40399874 -009.68759800 20
120 Linear Feature 23
111  31.40380349 -009.68806588 20
115  31.40395079 -009.68763719
120 Linear Feature 10
111  31.40521265 -009.68793949 20
111  31.40423319 -009.68750304 20
112  31.40406497 -009.68760563  31.40401014 -009.68771888
111  31.40406497 -009.68760563 20
111  31.40403701 -009.68768145 20
111  31.40389112 -009.68810475 20
111  31.40380349 -009.68806588 20
111  31.40323017 -009.68779678 20
115  31.40288247 -009.68763951
120 Linear Feature 9
111  31.40484870 -009.68717859 22
111  31.40444896 -009.68701899 22
115  31.40427391 -009.68693898
120 Linear Feature 8
111  31.40564609 -009.68626589 51
112  31.40551888 -009.68590848  31.40533473 -009.68578167
111  31.40551888 -009.68590848 51
115  31.40523024 -009.68576711
120 Linear Feature 6
111  31.40085029 -009.68468518 54
115  31.40063205 -009.68474441
120 Linear Feature 5
111  31.40056510 -009.68392748 51
112  31.40075550 -009.68374061  31.40100992 -009.68377997
111  31.40075550 -009.68374061 51
115  31.40125822 -009.68396999
120 Linear Feature 7
111  31.40554098 -009.68692467 54
116  31.40533809 -009.68683239  31.40533642 -009.68683239
120 Linear Feature 4
111  31.40584070 -009.68609253 51
112  31.40564609 -009.68626589  31.40558085 -009.68640478
111  31.40564609 -009.68626589 51
111  31.40534978 -009.68716353
112  31.40534978 -009.68716353  31.40530555 -009.68729085 51
112  31.40482798 -009.68745643  31.40452010 -009.68737315
111  31.40482798 -009.68745643 51
111  31.40431290 -009.68725041 51
111  31.40392295 -009.68706181 51
111  31.40371359 -009.68695989 51
111  31.40341193 -009.68682192 51
111  31.40319614 -009.68672641 51
111  31.40120652 -009.68581747
112  31.40120652 -009.68581747  31.40114674 -009.68578577 51
112  31.40089626 -009.68544360  31.40082053 -009.68518602
111  31.40089626 -009.68544360 51
111  31.40057593 -009.68395053 51
112  31.40056510 -009.68392748  31.40055794 -009.68391278
111  31.40056510 -009.68392748
112  31.40056510 -009.68392748  31.40052439 -009.68384397 51
112  31.40013678 -009.68343127  31.39990270 -009.68330691
111  31.40013678 -009.68343127 51
115  31.39959794 -009.68318614
120 Linear Feature 3
111  31.40859518 -009.68724515 51
111  31.40903907 -009.68745195 51
111  31.40912323 -009.68748914 51
112  31.40933829 -009.68750446  31.40944932 -009.68748427
111  31.40933829 -009.68750446 51
111  31.40989931 -009.68739898
112  31.40989931 -009.68739898  31.41018936 -009.68764034 51
116  31.40961424 -009.68774665  31.40938788 -009.68741739
14  31.40331134 -009.68821807  82.02 0 New Tower Viewpoint 2
1300  31.40394842 -009.68751214  21.17 gate jets|turboprops|props Gate 1
1301 C airline 
1300  31.40342697 -009.68725546  25.11 gate jets|turboprops|props Gate 2
1301 C airline 
18  31.40331134 -009.68821807 1 New Airport Beacon 3
54 11825 Essaouria Tower
55 11980 Essaouria Approach
99
