I
1050 Generated by WorldEditor 2.1.0r1

1   1072 0 0 D42 Springfield Municipal
111  44.22924948 -094.99434132
111  44.22924116 -094.99432819
111  44.22924983 -094.99431721
111  44.22925803 -094.99433041
113  44.22925378 -094.99433583
110 2 0.00 0.0000 New Taxiway 10
111  44.22933266 -094.99446793
111  44.22932435 -094.99445481
111  44.22933301 -094.99444382
111  44.22934121 -094.99445703
113  44.22933696 -094.99446245
110 2 0.00 0.0000 New Taxiway 10
111  44.22941532 -094.99459553
111  44.22940701 -094.99458240
111  44.22941567 -094.99457142
111  44.22942388 -094.99458462
113  44.22941962 -094.99459004
110 2 0.00 0.0000 New Taxiway 10
111  44.22913020 -094.99415416
111  44.22912189 -094.99414082
111  44.22912622 -094.99413532
111  44.22913055 -094.99412984
113  44.22913876 -094.99414304
110 2 0.00 0.0000 New Taxiway 10
111  44.22921206 -094.99428201
111  44.22920374 -094.99426868
111  44.22920808 -094.99426318
111  44.22921241 -094.99425769
113  44.22922061 -094.99427090
110 2 0.00 0.0000 New Taxiway 10
111  44.22929369 -094.99440925
111  44.22928537 -094.99439591
111  44.22928971 -094.99439041
111  44.22929404 -094.99438493
113  44.22930224 -094.99439813
110 2 0.00 0.0000 New Taxiway 10
111  44.22937687 -094.99453586
111  44.22936856 -094.99452252
111  44.22937289 -094.99451703
111  44.22937722 -094.99451154
113  44.22938543 -094.99452474
110 2 0.00 0.0000 New Taxiway 10
111  44.22945953 -094.99466345
111  44.22945122 -094.99465012
111  44.22945556 -094.99464462
111  44.22945988 -094.99463913
113  44.22946809 -094.99465234
110 2 0.00 0.0000 New Taxiway 12
111  44.23003638 -094.99446356
111  44.23014622 -094.99432567
111  44.23041471 -094.99474177
113  44.23030298 -094.99488261
110 2 0.00 0.0000 New Taxiway 11
111  44.22963189 -094.99414924
111  44.22973839 -094.99401762
111  44.22980830 -094.99412814
113  44.22970122 -094.99425886
110 1 0.00 0.0000 New Taxiway 1
111  44.23395893 -095.00321244
112  44.23395893 -095.00321244  44.23402793 -095.00330719
112  44.23424632 -095.00322896  44.23439260 -095.00311263
111  44.23424632 -095.00322896
111  44.23427997 -095.00319075
111  44.23435896 -095.00310105
111  44.23451956 -095.00334500
111  44.23444310 -095.00344216
113  44.23425655 -095.00367918
110 1 0.00 0.0000 New Taxiway 3
111  44.22969908 -094.99435585
111  44.22969639 -094.99439337
111  44.22975237 -094.99446948
112  44.22982829 -094.99446817  44.22986885 -094.99444276
111  44.22982829 -094.99446817
111  44.23015174 -094.99406453
111  44.23051104 -094.99461988
111  44.23041471 -094.99474177
111  44.23014622 -094.99432567
111  44.23003638 -094.99446356
111  44.23030298 -094.99488261
111  44.23020197 -094.99500586
111  44.22992764 -094.99458486
112  44.22984141 -094.99458089  44.22980308 -094.99461507
111  44.22984141 -094.99458089
111  44.22951668 -094.99498202
111  44.22868256 -094.99368752
112  44.22865807 -094.99369347  44.22864423 -094.99370647
111  44.22865807 -094.99369347
111  44.22837506 -094.99404768
111  44.22828485 -094.99416057
112  44.22827637 -094.99441287  44.22834536 -094.99455089
111  44.22827637 -094.99441287
111  44.22801810 -094.99402833
111  44.22820950 -094.99379241
111  44.22840744 -094.99380549
111  44.22890977 -094.99317526
111  44.22913321 -094.99352549
111  44.22924269 -094.99369711
111  44.22956797 -094.99419340
111  44.22959911 -094.99418771
111  44.22963189 -094.99414924
111  44.22970122 -094.99425886
113  44.22973396 -094.99430920
130 Airport Boundary 13
111  44.22950443 -094.99798798
111  44.22710067 -094.99798403
111  44.22705985 -094.99412219
111  44.22816822 -094.99266156
111  44.22867375 -094.99273442
111  44.22880666 -094.99284041
111  44.22906061 -094.99320474
111  44.22959699 -094.99337366
111  44.22995537 -094.99335710
111  44.23059144 -094.99468529
111  44.23020695 -094.99513575
111  44.22989367 -094.99468860
111  44.22963259 -094.99500988
111  44.22952817 -094.99534772
111  44.23470830 -095.00314106
111  44.23457953 -095.00327973
111  44.23468480 -095.00359076
111  44.23543716 -095.00474019
111  44.23486518 -095.00550869
111  44.23395195 -095.00410125
113  44.23369648 -095.00437039
120 Linear Feature 2
111  44.23427997 -095.00319075 54
115  44.23444310 -095.00344216
120 Linear Feature 5
111  44.22820950 -094.99379241 54
115  44.22837506 -094.99404768
120 Linear Feature 4
111  44.22864380 -094.99361098 51
115  44.22815934 -094.99421657
120 Linear Feature 7
111  44.22912622 -094.99413532 51
111  44.22910794 -094.99410754 51
115  44.22909029 -094.99408075
120 Linear Feature 7
111  44.22920808 -094.99426318 51
111  44.22918979 -094.99423540 51
115  44.22917215 -094.99420860
120 Linear Feature 7
111  44.22928971 -094.99439041 51
111  44.22927142 -094.99436263 51
115  44.22925378 -094.99433583
120 Linear Feature 7
111  44.22937289 -094.99451703 51
111  44.22935461 -094.99448924 51
115  44.22933696 -094.99446245
120 Linear Feature 7
111  44.22945556 -094.99464462 51
111  44.22943727 -094.99461684 51
115  44.22941962 -094.99459004
120 Linear Feature 7
111  44.22904274 -094.99400885 51
111  44.22900128 -094.99394481 51
115  44.22896169 -094.99388311
120 Linear Feature 8
111  44.22914081 -094.99406812 51
115  44.22910794 -094.99410754
120 Linear Feature 8
111  44.22922266 -094.99419597 51
115  44.22918979 -094.99423540
120 Linear Feature 8
111  44.22930429 -094.99432321 51
115  44.22927142 -094.99436263
120 Linear Feature 8
111  44.22938748 -094.99444982 51
115  44.22935461 -094.99448924
120 Linear Feature 8
111  44.22947014 -094.99457742 51
115  44.22943727 -094.99461684
120 Linear Feature 8
111  44.22906100 -094.99387325 51
115  44.22900128 -094.99394481
120 Linear Feature 7
111  44.22891491 -094.99380887 51
111  44.22887346 -094.99374483 51
115  44.22883386 -094.99368313
120 Linear Feature 8
111  44.22893318 -094.99367327 51
115  44.22887346 -094.99374483
120 Linear Feature 6
112  44.22924269 -094.99369711  44.22915407 -094.99377837 1
116  44.22913321 -094.99352549  44.22920018 -094.99342720
21  44.23372248 -095.00258557 1 132.0200 3.00 13  VASI
21  44.22842476 -094.99531261 1 312.0300 3.00 31  VASI
14  44.22933693 -094.99372054  82.02 0 New Tower Viewpoint 3
1300  44.23020434 -094.99470164 220.96 hangar props Hangar 5
1301 A none 
1300  44.23008208 -094.99450373 220.99 hangar props Hangar 4
1301 A none 
1300  44.23023865 -094.99448324  40.89 hangar props Hangar 3
1301 A none 
1300  44.23036377 -094.99468566  40.89 hangar props Hangar 2
1301 A none 
1300  44.22967218 -094.99419266 220.46 hangar props Hangar 1
1301 A none 
1300  44.22887346 -094.99374483 -138.94 tie_down turboprops|props General Aviation 7
1301 B general_aviation 
1300  44.22900128 -094.99394481 -138.94 tie_down turboprops|props General Aviation 6
1301 B general_aviation 
1300  44.22910794 -094.99410754 -138.94 tie_down props General Aviation 5
1301 A general_aviation 
1300  44.22918979 -094.99423540 -138.94 tie_down props General Aviation 4
1301 A general_aviation 
1300  44.22927142 -094.99436263 -138.94 tie_down props General Aviation 3
1301 A general_aviation 
1300  44.22935461 -094.99448924 -138.94 tie_down props General Aviation 2
1301 A general_aviation 
1300  44.22943727 -094.99461684 -138.94 tie_down props General Aviation 1
1301 A general_aviation 
18  44.22757930 -094.99789820 1 New Airport Beacon 1
19  44.22827789 -094.99702825 1 New Windsock 2
51 12280 CTAF
99
