A
1100 Generated by WorldEditor 1.6.0r1

1    665 0 0 KOGM Ontonagon County - Schuster Field
111  46.84896009 -089.37034937
111  46.84920318 -089.36919082
111  46.85055950 -089.36976649
111  46.85106278 -089.36715988
111  46.85076566 -089.36702410
111  46.85106986 -089.36547338
111  46.84961244 -089.36479489
111  46.84888874 -089.36802950
111  46.84127490 -089.36473616
113  46.84122080 -089.36441008
120 Linear Feature 2
111  46.84100217 -089.36464714 54
115  46.84116315 -089.36471742
120 Linear Feature 18
111  46.84998819 -089.36667781 1
115  46.85000642 -089.36660431
120 Linear Feature 18
111  46.85010958 -089.36673402 1
115  46.85012799 -089.36666034
120 Linear Feature 18
111  46.85022827 -089.36678628 1
115  46.85024583 -089.36671464
120 Linear Feature 18
111  46.85034831 -089.36683953 1
115  46.85036559 -089.36676983
120 Linear Feature 18
111  46.85046902 -089.36689179 1
115  46.85048529 -089.36682500
120 Linear Feature 17
111  46.85001723 -089.36669237 1
111  46.84998819 -089.36667781 1
115  46.84995934 -089.36666336
120 Linear Feature 17
111  46.85013862 -089.36674857 1
111  46.85010958 -089.36673402 1
115  46.85008073 -089.36671956
120 Linear Feature 17
111  46.85025731 -089.36680083 1
111  46.85022827 -089.36678628 1
115  46.85019942 -089.36677183
120 Linear Feature 17
111  46.85037735 -089.36685408 1
111  46.85034831 -089.36683953 1
115  46.85031946 -089.36682507
120 Linear Feature 17
111  46.85049806 -089.36690634 1
111  46.85046902 -089.36689179 1
115  46.85044017 -089.36687733
120 Linear Feature 16
111  46.84961528 -089.36685222 1
111  46.84955457 -089.36681994 1
112  46.84947125 -089.36657619  46.84948669 -089.36639306
111  46.84947125 -089.36657619 1
115  46.84963766 -089.36579921
120 Linear Feature 15
111  46.85008819 -089.36862126 54
115  46.85019718 -089.36867312
120 Linear Feature 14
112  46.84992671 -089.36892022  46.85008128 -089.36887763 1
111  46.85013954 -089.36865281 1
115  46.85026174 -089.36805881
21  46.84218321 -089.36607020 2 344.3494 3.50 35 PAPI-2L
21  46.84909376 -089.36830418 2 163.0094 3.50 17 PAPI-2L
14  46.85069586 -089.36707464  49.21 0 Tower
1300  46.84941490 -089.36703874  72.78 hangar props Hangar 08
1301 A none 
1300  46.84956057 -089.36709988  72.78 hangar props Hangar 07
1301 A none 
1300  46.84970489 -089.36715805  72.78 hangar props Hangar 06
1301 A none 
1300  46.84980537 -089.36670151 251.66 hangar props Hangar 05
1301 A none 
1300  46.84965854 -089.36663255 251.66 hangar props Hangar 04
1301 A none 
1300  46.84939786 -089.36634298 -17.80 hangar props Hangar 03
1301 A none 
1300  46.84952151 -089.36577640 -17.80 hangar props Hangar 02
1301 A none 
1300  46.84975466 -089.36596218 163.24 hangar turboprops|props Hangar 01
1301 A none 
1300  46.84998819 -089.36667781 -109.29 tie_down props GA 05
1301 A general_aviation 
1300  46.85010958 -089.36673402 -109.29 tie_down props GA 04
1301 A general_aviation 
1300  46.85022827 -089.36678628 -109.29 tie_down props GA 03
1301 A general_aviation 
1300  46.85034831 -089.36683953 -109.29 tie_down props GA 02
1301 A general_aviation 
1300  46.85046902 -089.36689179 -109.29 tie_down props GA 01
1301 A general_aviation 
18  46.85069586 -089.36707464 1 BCN
19  46.84882857 -089.36971246 1 Windsock
51 12290 CTAF
99
