I
1050 Generated by WorldEditor

1   2882 0 0 KSGU St George Rgnl
111  37.03936586 -113.50245760
113  37.03903865 -113.50263624
110 2 0.00 0.0000 New Taxiway 79
111  37.03893308 -113.50246975
111  37.03897288 -113.50244583
111  37.03903865 -113.50263624
111  37.03936586 -113.50245760
111  37.03929932 -113.50225991
111  37.03929018 -113.50226512
111  37.03928395 -113.50224223
111  37.03929101 -113.50223910
111  37.03918202 -113.50191958
111  37.03917352 -113.50192456
111  37.03916642 -113.50190111
111  37.03917381 -113.50189706
111  37.03906643 -113.50157765
111  37.03893938 -113.50164511
111  37.03892497 -113.50159954
111  37.03905195 -113.50152946
111  37.03899677 -113.50136742
111  37.03898236 -113.50137687
111  37.03897378 -113.50134549
111  37.03898270 -113.50134033
111  37.03891956 -113.50116234
111  37.03895799 -113.50114342
111  37.03895935 -113.50114873
111  37.03942047 -113.50250868
113  37.03901754 -113.50272325
110 1 0.00 0.0000 New Taxiway 78
111  37.03839460 -113.50175695
111  37.03824173 -113.50183727
111  37.03815827 -113.50158107
113  37.03830787 -113.50150290
110 2 0.00 0.0000 New Taxiway 77
111  37.03844298 -113.50178721
111  37.03841203 -113.50180395
111  37.03840988 -113.50179858
111  37.03839460 -113.50175695
111  37.03830787 -113.50150290
111  37.03830007 -113.50148062
111  37.03833407 -113.50146225
113  37.03833983 -113.50148013
110 1 0.00 0.0000 New Taxiway 76
111  37.03828439 -113.50186549
111  37.03840988 -113.50179858
111  37.03841203 -113.50180395
111  37.03850614 -113.50208584
113  37.03838006 -113.50215441
110 1 0.00 0.0000 New Taxiway 75
111  37.03860204 -113.50236262
111  37.03859424 -113.50236731
111  37.03845254 -113.50244337
111  37.03836043 -113.50218988
111  37.03851521 -113.50210901
113  37.03851874 -113.50211913
110 1 0.00 0.0000 New Taxiway 74
111  37.03868035 -113.50258736
111  37.03867380 -113.50259088
111  37.03852563 -113.50266941
111  37.03845765 -113.50247415
111  37.03860391 -113.50239663
113  37.03861140 -113.50239116
110 1 0.00 0.0000 New Taxiway 73
111  37.03861717 -113.50285127
111  37.03856597 -113.50269364
111  37.03868503 -113.50263270
111  37.03869254 -113.50262809
113  37.03874461 -113.50278546
110 2 0.00 0.0000 New Taxiway 72
111  37.03860018 -113.50293966
111  37.03857880 -113.50287587
111  37.03861717 -113.50285127
111  37.03874461 -113.50278546
111  37.03869254 -113.50262809
111  37.03868503 -113.50263270
111  37.03867380 -113.50259088
111  37.03868035 -113.50258736
111  37.03861140 -113.50239116
111  37.03860391 -113.50239663
111  37.03859424 -113.50236731
111  37.03860204 -113.50236262
111  37.03851874 -113.50211913
111  37.03851521 -113.50210901
111  37.03850614 -113.50208584
111  37.03841203 -113.50180395
111  37.03844263 -113.50178741
111  37.03855189 -113.50210164
113  37.03880204 -113.50283262
110 1 0.00 0.0000 New Taxiway 71
111  37.03820851 -113.50235643
111  37.03820714 -113.50234899
111  37.03835970 -113.50227060
111  37.03842593 -113.50246459
113  37.03827200 -113.50254241
110 2 0.00 0.0000 New Taxiway 70
111  37.03817201 -113.50237660
111  37.03820851 -113.50235643
111  37.03827200 -113.50254241
111  37.03828296 -113.50257446
113  37.03824368 -113.50259443
110 1 0.00 0.0000 New Taxiway 69
111  37.03702751 -113.50235674
111  37.03696729 -113.50217778
111  37.03705657 -113.50212784
113  37.03711928 -113.50230732
110 2 0.00 0.0000 New Taxiway 68
111  37.03716739 -113.50232791
111  37.03704163 -113.50239367
111  37.03702751 -113.50235674
111  37.03711928 -113.50230732
111  37.03705657 -113.50212784
111  37.03709312 -113.50210755
113  37.03710379 -113.50213451
110 1 0.00 0.0000 New Taxiway 67
111  37.03735582 -113.50300105
111  37.03735136 -113.50300362
111  37.03725196 -113.50305379
111  37.03715518 -113.50276617
113  37.03725895 -113.50271147
110 1 0.00 0.0000 New Taxiway 66
111  37.03743441 -113.50324223
111  37.03727015 -113.50333238
111  37.03719945 -113.50311398
111  37.03735857 -113.50303200
113  37.03736474 -113.50302942
110 2 0.00 0.0000 New Taxiway 65
111  37.03747336 -113.50323589
111  37.03743750 -113.50325169
111  37.03743441 -113.50324223
111  37.03736474 -113.50302942
111  37.03735857 -113.50303200
111  37.03735136 -113.50300362
111  37.03735582 -113.50300105
111  37.03725895 -113.50271147
111  37.03727191 -113.50270496
111  37.03727781 -113.50271928
113  37.03729462 -113.50270843
110 1 0.00 0.0000 New Taxiway 64
111  37.03790682 -113.50300031
111  37.03805716 -113.50292068
111  37.03812459 -113.50311594
113  37.03797425 -113.50319695
110 2 0.00 0.0000 New Taxiway 63
111  37.03798004 -113.50326805
111  37.03789079 -113.50300862
111  37.03790682 -113.50300031
111  37.03797425 -113.50319695
111  37.03812459 -113.50311594
111  37.03805716 -113.50292068
111  37.03809224 -113.50290106
113  37.03818041 -113.50316135
110 2 0.00 0.0000 New Taxiway 62
111  37.03828753 -113.50347124
111  37.03830754 -113.50346036
111  37.03832528 -113.50351286
113  37.03830679 -113.50352326
110 2 0.00 0.0000 New Taxiway 60
111  37.03798582 -113.50362459
111  37.03806159 -113.50386030
111  37.03755210 -113.50412916
111  37.03746108 -113.50386658
111  37.03753730 -113.50382644
111  37.03753487 -113.50382036
111  37.03772323 -113.50372184
111  37.03772944 -113.50373969
111  37.03774228 -113.50373265
111  37.03773827 -113.50372160
111  37.03794851 -113.50362007
113  37.03795372 -113.50363665
110 2 0.00 0.0000 New Taxiway 59
111  37.03838102 -113.50379498
111  37.03812750 -113.50393077
111  37.03801390 -113.50359845
111  37.03826226 -113.50346023
111  37.03829275 -113.50354467
111  37.03832324 -113.50352909
111  37.03840389 -113.50376482
113  37.03837580 -113.50378191
110 2 0.00 0.0000 New Taxiway 58
111  37.03829823 -113.50466463
111  37.03823268 -113.50447607
111  37.03830147 -113.50443654
111  37.03825534 -113.50429968
111  37.03832008 -113.50426623
111  37.03820192 -113.50392794
111  37.03837620 -113.50382514
111  37.03838583 -113.50382212
111  37.03842114 -113.50391913
111  37.03844361 -113.50391561
111  37.03850941 -113.50410410
111  37.03848935 -113.50411466
111  37.03849734 -113.50414581
111  37.03850318 -113.50416043
113  37.03861590 -113.50449502
110 2 0.00 0.0000 New Taxiway 57
111  37.03805877 -113.50486817
111  37.03804528 -113.50483073
111  37.03803599 -113.50482990
111  37.03794302 -113.50455339
111  37.03795160 -113.50454909
111  37.03794645 -113.50453705
111  37.03801303 -113.50450180
111  37.03803739 -113.50457359
111  37.03804529 -113.50456586
111  37.03804735 -113.50457058
111  37.03818838 -113.50449501
111  37.03825514 -113.50469312
111  37.03811178 -113.50476916
111  37.03811042 -113.50478646
113  37.03812475 -113.50483328
110 1 0.00 0.0000 New Taxiway 56
111  37.03655203 -113.50269544
111  37.03675232 -113.50259460
111  37.03683968 -113.50285373
113  37.03664219 -113.50296355
110 2 0.00 0.0000 New Taxiway 55
111  37.03651176 -113.50271809
111  37.03655203 -113.50269544
111  37.03664219 -113.50296355
113  37.03660094 -113.50298970
110 2 0.00 0.0000 New Taxiway 50
111  37.03505916 -113.50492077
111  37.03488484 -113.50501264
111  37.03482297 -113.50483525
111  37.03477688 -113.50486022
111  37.03474615 -113.50477023
111  37.03479556 -113.50474370
111  37.03479058 -113.50473225
111  37.03497089 -113.50463885
111  37.03498439 -113.50467449
111  37.03500445 -113.50467267
111  37.03506864 -113.50486183
111  37.03505478 -113.50488056
113  37.03505989 -113.50489427
110 2 0.00 0.0000 New Taxiway 49
111  37.03501814 -113.50535721
111  37.03499364 -113.50537021
111  37.03499530 -113.50537229
111  37.03493259 -113.50540870
111  37.03482255 -113.50509659
111  37.03488941 -113.50505810
111  37.03488484 -113.50504925
111  37.03506974 -113.50495047
111  37.03507557 -113.50494773
111  37.03518463 -113.50526666
111  37.03518427 -113.50528311
111  37.03527910 -113.50523291
111  37.03539290 -113.50558102
113  37.03513649 -113.50571846
110 2 0.00 0.0000 New Taxiway 48
111  37.03439962 -113.50385321
111  37.03431227 -113.50358824
111  37.03456197 -113.50345250
113  37.03465061 -113.50371942
110 2 0.00 0.0000 New Taxiway 47
111  37.03455056 -113.50429376
111  37.03452483 -113.50422322
111  37.03448988 -113.50411983
111  37.03461901 -113.50405415
113  37.03467727 -113.50422991
110 1 0.00 0.0000 New Taxiway 46
111  37.03267953 -113.50810746
111  37.03268670 -113.50813489
111  37.03267727 -113.50813914
111  37.03266627 -113.50814393
111  37.03267875 -113.50818145
111  37.03261479 -113.50821584
111  37.03260917 -113.50819473
111  37.03250903 -113.50825492
111  37.03248220 -113.50818887
111  37.03246504 -113.50819864
111  37.03239921 -113.50801183
111  37.03241668 -113.50800128
111  37.03240264 -113.50795243
111  37.03246940 -113.50791921
111  37.03247346 -113.50793015
111  37.03248977 -113.50792045
111  37.03259686 -113.50786297
111  37.03260478 -113.50788473
111  37.03285318 -113.50774712
111  37.03286187 -113.50777218
111  37.03287206 -113.50776698
111  37.03292793 -113.50792681
111  37.03292604 -113.50794478
111  37.03292038 -113.50794668
113  37.03292944 -113.50797268
110 1 0.00 0.0000 New Taxiway 45
111  37.03305925 -113.50770991
111  37.03308639 -113.50769506
111  37.03324601 -113.50761238
111  37.03327140 -113.50768881
113  37.03308671 -113.50778807
110 2 0.00 0.0000 New Taxiway 44
111  37.03304102 -113.50771177
111  37.03305832 -113.50770053
111  37.03304864 -113.50767356
111  37.03307423 -113.50765832
111  37.03308639 -113.50769506
111  37.03305925 -113.50770991
111  37.03308671 -113.50778807
111  37.03327140 -113.50768881
111  37.03327827 -113.50771069
113  37.03307858 -113.50781631
110 2 0.00 0.0000 New Taxiway 43
111  37.03270961 -113.50822986 20
111  37.03267727 -113.50813914
111  37.03268670 -113.50813489
111  37.03267953 -113.50810746
111  37.03292944 -113.50797268
111  37.03292038 -113.50794668
111  37.03292604 -113.50794478
111  37.03292793 -113.50792681
111  37.03287206 -113.50776698
111  37.03286187 -113.50777218
111  37.03285318 -113.50774712
111  37.03260478 -113.50788473
111  37.03259686 -113.50786297
111  37.03248977 -113.50792045
111  37.03246401 -113.50784818
111  37.03278058 -113.50768015
112  37.03283107 -113.50768198  37.03285595 -113.50769806
111  37.03285874 -113.50772272
111  37.03295972 -113.50801220
112  37.03295341 -113.50808031  37.03293933 -113.50811315
113  37.03292137 -113.50811862
110 1 0.00 0.0000 New Taxiway 42
111  37.03045691 -113.50912103
111  37.03039288 -113.50894165
111  37.03039905 -113.50893778
111  37.03039082 -113.50891027
111  37.03045328 -113.50887631
111  37.03044882 -113.50886212
111  37.03067600 -113.50874175
111  37.03069419 -113.50879248
111  37.03070243 -113.50878775
111  37.03066468 -113.50867598
111  37.03080607 -113.50859774
111  37.03084554 -113.50871338
111  37.03087025 -113.50869790
111  37.03085721 -113.50866394
111  37.03103978 -113.50856421
111  37.03110739 -113.50875938
111  37.03109057 -113.50876970
111  37.03112395 -113.50885011
111  37.03112501 -113.50885421
111  37.03112906 -113.50886675
111  37.03113418 -113.50888330
111  37.03113311 -113.50889024
111  37.03113524 -113.50889585
111  37.03114666 -113.50892745
111  37.03099579 -113.50900864
111  37.03099948 -113.50902569
111  37.03096006 -113.50904523
111  37.03100714 -113.50918592
111  37.03085568 -113.50926444
111  37.03086079 -113.50928078
111  37.03061340 -113.50941637
111  37.03059590 -113.50937940
111  37.03061718 -113.50936607
111  37.03056192 -113.50920701
111  37.03066351 -113.50915242
111  37.03062953 -113.50905784
111  37.03062130 -113.50906171
111  37.03062576 -113.50907590
111  37.03061546 -113.50908277
111  37.03060894 -113.50906601
111  37.03047716 -113.50914167
113  37.03046755 -113.50911416
110 2 0.00 0.0000 New Taxiway 41
111  37.03056450 -113.51075415
111  37.03054996 -113.51070711
111  37.03053540 -113.51066561
111  37.03052220 -113.51062801
111  37.03018860 -113.50965002
111  37.03050395 -113.50948095
111  37.03039303 -113.50915474
111  37.03045691 -113.50912103
111  37.03046755 -113.50911416
111  37.03047716 -113.50914167
111  37.03060894 -113.50906601
111  37.03061546 -113.50908277
111  37.03062576 -113.50907590
111  37.03062130 -113.50906171
111  37.03062953 -113.50905784
111  37.03066351 -113.50915242
111  37.03056192 -113.50920701
111  37.03061718 -113.50936607
111  37.03059590 -113.50937940
111  37.03061340 -113.50941637
111  37.03086079 -113.50928078
111  37.03085568 -113.50926444
111  37.03100714 -113.50918592
111  37.03096006 -113.50904523
111  37.03099948 -113.50902569
111  37.03099579 -113.50900864
111  37.03114666 -113.50892745
111  37.03113524 -113.50889585
111  37.03113311 -113.50889024
111  37.03113418 -113.50888330
111  37.03112906 -113.50886675
111  37.03112501 -113.50885421
111  37.03112395 -113.50885011
111  37.03113565 -113.50884422
111  37.03115151 -113.50888705
111  37.03124860 -113.50883629
111  37.03134570 -113.50912326
111  37.03121731 -113.50918860
111  37.03152772 -113.51009313
111  37.03154078 -113.51013097
111  37.03155425 -113.51016998
113  37.03157149 -113.51021774
110 1 0.00 0.0000 New Taxiway 38
111  37.02196723 -113.51317179
111  37.02188578 -113.51321433
111  37.02187830 -113.51318937
113  37.02196043 -113.51314763
110 1 0.00 0.0000 New Taxiway 38
111  37.02198567 -113.51322804
111  37.02190446 -113.51326998
111  37.02189699 -113.51324502
113  37.02197858 -113.51320554
110 1 0.00 0.0000 New Taxiway 37
111  37.02199897 -113.51349703
111  37.02205105 -113.51346926
111  37.02206085 -113.51349735
113  37.02200928 -113.51352448
110 1 0.00 0.0000 New Taxiway 37
111  37.02202472 -113.51355743
111  37.02207804 -113.51352865
111  37.02208854 -113.51355778
113  37.02203635 -113.51358656
110 1 0.00 0.0000 New Taxiway 37
111  37.02204060 -113.51360112
111  37.02209194 -113.51357412
111  37.02210272 -113.51360467
113  37.02205252 -113.51363132
110 2 0.00 0.0000 New Taxiway 33
111  37.02219415 -113.51368243
111  37.02217606 -113.51369183
111  37.02217297 -113.51368851
111  37.02215396 -113.51363063
111  37.02213486 -113.51361442
111  37.02204239 -113.51366167
111  37.02198521 -113.51349486
111  37.02205771 -113.51345847
111  37.02205034 -113.51343893
111  37.02208182 -113.51342330
111  37.02201375 -113.51321762
111  37.02198567 -113.51322804
111  37.02197858 -113.51320554
111  37.02200637 -113.51319334
111  37.02199408 -113.51316078
111  37.02196723 -113.51317179
111  37.02196043 -113.51314763
111  37.02199959 -113.51312797
111  37.02216844 -113.51361832
111  37.02223176 -113.51360618
111  37.02227370 -113.51359956
111  37.02227453 -113.51362140
111  37.02223970 -113.51362456
113  37.02217429 -113.51363323
111  37.02206085 -113.51349735
111  37.02205105 -113.51346926
111  37.02199897 -113.51349703
113  37.02200928 -113.51352448
111  37.02210272 -113.51360467
111  37.02209194 -113.51357412
111  37.02204060 -113.51360112
113  37.02205252 -113.51363132
111  37.02208854 -113.51355778
111  37.02207804 -113.51352865
111  37.02202472 -113.51355743
113  37.02203635 -113.51358656
110 1 0.00 0.0000 New Taxiway 32
111  37.04068213 -113.51107076
111  37.04062796 -113.51091774
111  37.04093582 -113.51075294
113  37.04098777 -113.51090181
110 1 0.00 0.0000 New Taxiway 32
111  37.04035642 -113.51124505
111  37.04030352 -113.51109084
111  37.04061248 -113.51092604
113  37.04066665 -113.51107699
110 2 0.00 0.0000 New Taxiway 29
111  37.04036433 -113.51132058
111  37.04026688 -113.51103939
111  37.04095191 -113.51067679
113  37.04104995 -113.51095909
111  37.04098777 -113.51090181
111  37.04093582 -113.51075294
111  37.04062796 -113.51091774
113  37.04068213 -113.51107076
111  37.04066665 -113.51107699
111  37.04061248 -113.51092604
111  37.04030352 -113.51109084
113  37.04035642 -113.51124505
110 1 0.00 0.0000 New Taxiway 28
111  37.04128290 -113.51132743
111  37.04126351 -113.51127110
111  37.04134075 -113.51122729
111  37.04145039 -113.51116929
111  37.04145214 -113.51117317
111  37.04151064 -113.51114114
111  37.04150928 -113.51113774
111  37.04156352 -113.51110910
111  37.04156604 -113.51111347
111  37.04162203 -113.51108168
111  37.04162048 -113.51107803
111  37.04167317 -113.51104770
111  37.04167530 -113.51105304
111  37.04173419 -113.51102246
111  37.04173342 -113.51101785
111  37.04178439 -113.51099056
111  37.04189640 -113.51093055
111  37.04189816 -113.51093320
111  37.04195892 -113.51090054
111  37.04195698 -113.51089657
111  37.04200720 -113.51087092
111  37.04200985 -113.51087688
111  37.04207466 -113.51084047
111  37.04207360 -113.51083496
111  37.04211993 -113.51081298
111  37.04212217 -113.51081839
111  37.04218220 -113.51078289
111  37.04218028 -113.51077928
111  37.04223168 -113.51075241
111  37.04223439 -113.51075799
111  37.04229561 -113.51072450
111  37.04229347 -113.51072013
111  37.04234176 -113.51069280
111  37.04234476 -113.51069832
111  37.04240481 -113.51066544
111  37.04240323 -113.51066125
111  37.04245350 -113.51063333
111  37.04256452 -113.51057673
111  37.04256607 -113.51058280
111  37.04262922 -113.51054785
111  37.04262728 -113.51054397
111  37.04267494 -113.51051897
111  37.04267558 -113.51052109
111  37.04278671 -113.51046003
111  37.04278800 -113.51046424
111  37.04284859 -113.51043290
111  37.04284678 -113.51042806
111  37.04289834 -113.51040201
111  37.04290074 -113.51040631
111  37.04292735 -113.51039015
111  37.04294607 -113.51044736
111  37.04291821 -113.51046230
111  37.04293626 -113.51051334
111  37.04288701 -113.51054080
111  37.04286638 -113.51048879
111  37.04280708 -113.51052012
111  37.04282719 -113.51057149
111  37.04277201 -113.51060670
111  37.04275087 -113.51055049
111  37.04269595 -113.51058021
111  37.04271271 -113.51062963
111  37.04266140 -113.51065967
111  37.04264438 -113.51060767
111  37.04258611 -113.51063706
111  37.04260596 -113.51069262
111  37.04254932 -113.51072586
111  37.04253068 -113.51066549
111  37.04247292 -113.51069553
111  37.04249251 -113.51074948
111  37.04243811 -113.51077668
111  37.04241903 -113.51072493
111  37.04236127 -113.51075400
111  37.04238010 -113.51080633
111  37.04232466 -113.51083896
111  37.04230687 -113.51078210
111  37.04225169 -113.51081182
111  37.04227000 -113.51086222
111  37.04221946 -113.51089064
111  37.04220115 -113.51084057
111  37.04213901 -113.51087223
111  37.04215552 -113.51092391
111  37.04210446 -113.51095105
111  37.04208642 -113.51089969
111  37.04202660 -113.51093005
111  37.04204490 -113.51098368
111  37.04199230 -113.51101113
111  37.04197451 -113.51095751
111  37.04191598 -113.51098884
111  37.04193455 -113.51104214
111  37.04188246 -113.51107089
111  37.04186467 -113.51101565
111  37.04180480 -113.51104664
111  37.04182334 -113.51109832
111  37.04176991 -113.51112678
111  37.04175403 -113.51107845
111  37.04169475 -113.51110581
111  37.04171234 -113.51116089
111  37.04165845 -113.51119074
111  37.04164313 -113.51113850
111  37.04158272 -113.51116835
111  37.04160002 -113.51121952
111  37.04154820 -113.51124921
111  37.04153073 -113.51119608
111  37.04146979 -113.51122572
111  37.04148790 -113.51127617
111  37.04143761 -113.51130581
111  37.04142077 -113.51125455
111  37.04136026 -113.51128712
111  37.04137794 -113.51133571
111  37.04132680 -113.51136107
113  37.04131061 -113.51131221
110 2 0.00 0.0000 New Taxiway 24
111  37.04121937 -113.51118505
111  37.04290136 -113.51029970
111  37.04293313 -113.51039536
111  37.04297506 -113.51051811
113  37.04129898 -113.51140321
111  37.04294607 -113.51044736
111  37.04292735 -113.51039015
111  37.04290074 -113.51040631
111  37.04289834 -113.51040201
111  37.04284678 -113.51042806
111  37.04284859 -113.51043290
111  37.04278800 -113.51046424
111  37.04278671 -113.51046003
111  37.04267558 -113.51052109
111  37.04267494 -113.51051897
111  37.04262728 -113.51054397
111  37.04262922 -113.51054785
111  37.04256607 -113.51058280
111  37.04256452 -113.51057673
111  37.04245350 -113.51063333
111  37.04240323 -113.51066125
111  37.04240481 -113.51066544
111  37.04234476 -113.51069832
111  37.04234176 -113.51069280
111  37.04229347 -113.51072013
111  37.04229561 -113.51072450
111  37.04223439 -113.51075799
111  37.04223168 -113.51075241
111  37.04218028 -113.51077928
111  37.04218220 -113.51078289
111  37.04212217 -113.51081839
111  37.04211993 -113.51081298
111  37.04207360 -113.51083496
111  37.04207466 -113.51084047
111  37.04200985 -113.51087688
111  37.04200720 -113.51087092
111  37.04195698 -113.51089657
111  37.04195892 -113.51090054
111  37.04189816 -113.51093320
111  37.04189640 -113.51093055
111  37.04178439 -113.51099056
111  37.04173342 -113.51101785
111  37.04173419 -113.51102246
111  37.04167530 -113.51105304
111  37.04167317 -113.51104770
111  37.04162048 -113.51107803
111  37.04162203 -113.51108168
111  37.04156604 -113.51111347
111  37.04156352 -113.51110910
111  37.04150928 -113.51113774
111  37.04151064 -113.51114114
111  37.04145214 -113.51117317
111  37.04145039 -113.51116929
111  37.04134075 -113.51122729
111  37.04126351 -113.51127110
111  37.04128290 -113.51132743
111  37.04131061 -113.51131221
111  37.04132680 -113.51136107
111  37.04137794 -113.51133571
111  37.04136026 -113.51128712
111  37.04142077 -113.51125455
111  37.04143761 -113.51130581
111  37.04148790 -113.51127617
111  37.04146979 -113.51122572
111  37.04153073 -113.51119608
111  37.04154820 -113.51124921
111  37.04160002 -113.51121952
111  37.04158272 -113.51116835
111  37.04164313 -113.51113850
111  37.04165845 -113.51119074
111  37.04171234 -113.51116089
111  37.04169475 -113.51110581
111  37.04175403 -113.51107845
111  37.04176991 -113.51112678
111  37.04182334 -113.51109832
111  37.04180480 -113.51104664
111  37.04186467 -113.51101565
111  37.04188246 -113.51107089
111  37.04193455 -113.51104214
111  37.04191598 -113.51098884
111  37.04197451 -113.51095751
111  37.04199230 -113.51101113
111  37.04204490 -113.51098368
111  37.04202660 -113.51093005
111  37.04208642 -113.51089969
111  37.04210446 -113.51095105
111  37.04215552 -113.51092391
111  37.04213901 -113.51087223
111  37.04220115 -113.51084057
111  37.04221946 -113.51089064
111  37.04227000 -113.51086222
111  37.04225169 -113.51081182
111  37.04230687 -113.51078210
111  37.04232466 -113.51083896
111  37.04238010 -113.51080633
111  37.04236127 -113.51075400
111  37.04241903 -113.51072493
111  37.04243811 -113.51077668
111  37.04249251 -113.51074948
111  37.04247292 -113.51069553
111  37.04253068 -113.51066549
111  37.04254932 -113.51072586
111  37.04260596 -113.51069262
111  37.04258611 -113.51063706
111  37.04264438 -113.51060767
111  37.04266140 -113.51065967
111  37.04271271 -113.51062963
111  37.04269595 -113.51058021
111  37.04275087 -113.51055049
111  37.04277201 -113.51060670
111  37.04282719 -113.51057149
111  37.04280708 -113.51052012
111  37.04286638 -113.51048879
111  37.04288701 -113.51054080
111  37.04293626 -113.51051334
113  37.04291821 -113.51046230
110 1 0.00 0.0000 New Taxiway 23
111  37.04214752 -113.51008259
111  37.04272044 -113.50978047
111  37.04279003 -113.50997715
113  37.04221468 -113.51028129
110 2 0.00 0.0000 New Taxiway 21
111  37.04222163 -113.51033827
111  37.04212198 -113.51005672
111  37.04274134 -113.50972923
113  37.04284068 -113.51001487
111  37.04279003 -113.50997715
111  37.04272044 -113.50978047
111  37.04214752 -113.51008259
113  37.04221468 -113.51028129
110 2 0.00 0.0000 New Taxiway 18
111  37.05037420 -113.50121386
111  37.05035705 -113.50117645
111  37.05039823 -113.50115065
111  37.05041367 -113.50119279
111  37.05039789 -113.50119881
111  37.05040269 -113.50121042
111  37.05039102 -113.50121773
113  37.05038622 -113.50120698
110 2 0.00 0.0000 New Taxiway 16
