I
1130 Generated by WorldEditor 2.2.0r2

1    412 0 0 F53 Franklin Co
112  33.21397941 -095.23355076  33.21395816 -095.23357345 51
116  33.21390853 -095.23354869  33.21388521 -095.23352723
120 Linear Feature 4
111  33.21442387 -095.23416377 51
111  33.21399174 -095.23367863
112  33.21399174 -095.23367863  33.21395377 -095.23364015 51
116  33.21387627 -095.23368040  33.21384118 -095.23371370
120 Linear Feature 5
112  33.21399174 -095.23367863  33.21395645 -095.23362387 51
116  33.21398528 -095.23354338  33.21400881 -095.23350318
120 Linear Feature 3
112  33.21321783 -095.23450798  33.21314770 -095.23460921 51
112  33.21323251 -095.23484706  33.21331452 -095.23494687
111  33.21323251 -095.23484706 51
115  33.21363172 -095.23529702
120 Linear Feature 1
111  33.21172237 -095.23263642 51
111  33.21156582 -095.23283291
112  33.21156582 -095.23283291  33.21156277 -095.23283726 51
116  33.21155334 -095.23285805  33.21155181 -095.23286277
21  33.21808989 -095.23994434 2 136.6200 3.00 13  2-light PAPI on left
21  33.21290876 -095.23490340 2 316.6200 3.00 31  2-light PAPI on left
14  33.21508933 -095.23388736  82.02 0 Tower Viewpoint
1300  33.21435728 -095.23427287  46.50 tie_down props GA Ramp 09
1301 A general_aviation 
1300  33.21426666 -095.23416878  46.50 tie_down props GA Ramp 08
1301 A general_aviation 
1300  33.21417750 -095.23406978  46.50 tie_down props GA Ramp 07
1301 A general_aviation 
1300  33.21408740 -095.23396854  46.50 tie_down props GA Ramp 06
1301 A general_aviation 
1300  33.21399793 -095.23386718  46.50 tie_down props GA Ramp 05
1301 A general_aviation 
1300  33.21419653 -095.23372463 226.50 tie_down props GA Ramp 04
1301 A general_aviation 
1300  33.21428643 -095.23382664 226.50 tie_down props GA Ramp 03
1301 A general_aviation 
1300  33.21437648 -095.23392878 226.50 tie_down props GA Ramp 02
1301 A general_aviation 
1300  33.21446605 -095.23402976 226.50 tie_down props GA Ramp 01
1301 A general_aviation 
1300  33.21381234 -095.23186037 136.50 hangar props Hangar 17
1301 A none 
1300  33.21358471 -095.23214485 136.50 hangar props Hangar 16
1301 A none 
1300  33.21353696 -095.23262910 316.50 hangar props Hangar 15
1301 A none 
1300  33.21375908 -095.23236023 316.50 hangar props Hangar 14
1301 A none 
1300  33.21387613 -095.23220400 316.50 hangar props Hangar 13
1301 A none 
1300  33.21399683 -095.23206734 316.50 hangar props Hangar 12
1301 A none 
1300  33.21424321 -095.23234468 136.50 hangar props Hangar 11
1301 A none 
1300  33.21413647 -095.23249602 136.50 hangar props Hangar 10
1301 A none 
1300  33.21402259 -095.23263855 136.50 hangar props Hangar 09
1301 A none 
1300  33.21391047 -095.23277914 136.50 hangar props Hangar 08
1301 A none 
1300  33.21379668 -095.23292125 136.50 hangar props Hangar 07
1301 A none 
1300  33.21397325 -095.23312071 316.50 hangar props Hangar 06
1301 A none 
1300  33.21408598 -095.23297989 316.50 hangar props Hangar 05
1301 A none 
1300  33.21442743 -095.23316909 226.50 hangar props Hangar 04
1301 A none 
1300  33.21460416 -095.23337124 226.50 hangar props Hangar 03
1301 A none 
1300  33.21541462 -095.23424936 226.50 hangar props Hangar 02
1301 A none 
1300  33.21619481 -095.23518175 226.50 hangar props Hangar 01
1301 A none 
18  33.21551310 -095.23369635 1 Airport Beacon
19  33.21493839 -095.23837452 1 Windsock 1
1051 123000 Franklin Unicom
99
