A
1050 Generated by WorldEditor 2.0.0r4

1   4316 0 0 KPGA Page Muni
111  36.92838293 -111.45231712
111  36.92842763 -111.45232443
111  36.92841872 -111.45239131
111  36.92837419 -111.45238153
111  36.92836801 -111.45242837
113  36.92831686 -111.45241693
110 2 0.00 0.0000 New Taxiway 14
111  36.92836206 -111.45209264
111  36.92841244 -111.45210132
111  36.92840617 -111.45214192
111  36.92845123 -111.45215105
111  36.92844086 -111.45221974
111  36.92839634 -111.45221042
111  36.92839124 -111.45224680
113  36.92834155 -111.45223581
110 2 0.00 0.0000 New Taxiway 14
111  36.92838603 -111.45191363
111  36.92843640 -111.45192413
111  36.92842941 -111.45197064
111  36.92847410 -111.45198022
111  36.92846483 -111.45204664
111  36.92841958 -111.45203914
111  36.92841339 -111.45208371
113  36.92836334 -111.45207271
110 2 0.00 0.0000 New Taxiway 14
111  36.92841323 -111.45175438
111  36.92846034 -111.45176261
111  36.92845516 -111.45180093
111  36.92849985 -111.45180824
111  36.92849095 -111.45187512
111  36.92844533 -111.45186943
111  36.92843914 -111.45191400
113  36.92838909 -111.45190437
110 2 0.00 0.0000 New Taxiway 14
111  36.92843564 -111.45157343
111  36.92848530 -111.45158257
111  36.92847903 -111.45163044
111  36.92852372 -111.45163775
111  36.92851336 -111.45170645
111  36.92846920 -111.45169894
111  36.92846301 -111.45174351
113  36.92841296 -111.45173388
110 2 0.00 0.0000 New Taxiway 13
111  36.92846112 -111.45138595
111  36.92851652 -111.45139746
111  36.92851034 -111.45143995
111  36.92856385 -111.45145155
111  36.92855161 -111.45152835
111  36.92849944 -111.45151549
111  36.92849385 -111.45155379
113  36.92843815 -111.45154162
110 2 0.00 0.0000 New Taxiway 12
111  36.92846652 -111.45135140
111  36.92848742 -111.45119150
111  36.92853655 -111.45120067
111  36.92853007 -111.45124804
111  36.92857296 -111.45125758
111  36.92856339 -111.45132313
111  36.92852165 -111.45131465
113  36.92851474 -111.45136163
110 2 0.00 0.0000 New Taxiway 11
111  36.92865552 -111.45130745
111  36.92859858 -111.45129381
111  36.92860585 -111.45124834
111  36.92855436 -111.45123584
111  36.92856890 -111.45115324
111  36.92861827 -111.45116309
111  36.92862312 -111.45112292
113  36.92868188 -111.45113581
110 2 0.00 0.0000 New Taxiway 10
111  36.92854467 -111.45117332
111  36.92849257 -111.45116119
111  36.92851287 -111.45101797
111  36.92856163 -111.45103161
111  36.92855799 -111.45106344
111  36.92860403 -111.45107556
111  36.92859495 -111.45114528
113  36.92855042 -111.45113353
110 2 0.00 0.0000 New Taxiway 1
111  36.92509248 -111.45305007
111  36.92506231 -111.45325385
111  36.92492669 -111.45322535
113  36.92495655 -111.45302085
110 2 0.00 0.0000 New Taxiway 1
111  36.92526527 -111.45308723
111  36.92523365 -111.45328886
111  36.92509749 -111.45326188
113  36.92512787 -111.45305769
110 2 0.00 0.0000 New Taxiway 1
111  36.92543320 -111.45312334
111  36.92540090 -111.45332629
111  36.92526398 -111.45329789
113  36.92529715 -111.45309409
110 2 0.00 0.0000 New Taxiway 1
111  36.92577331 -111.45319627
111  36.92574698 -111.45340006
111  36.92560681 -111.45336990
111  36.92562951 -111.45321548
111  36.92560284 -111.45320999
111  36.92558155 -111.45336490
111  36.92544275 -111.45333552
113  36.92547291 -111.45313188
110 2 0.00 0.0000 New Taxiway 1
111  36.92594885 -111.45327446
111  36.92592566 -111.45343890
111  36.92577833 -111.45340915
111  36.92580909 -111.45320396
111  36.92594563 -111.45323329
113  36.92594101 -111.45327274
110 2 0.00 0.0000 New Taxiway 1
111  36.92613889 -111.45331607
111  36.92611436 -111.45347878
111  36.92596827 -111.45344801
113  36.92599286 -111.45328409
110 2 0.00 0.0000 New Taxiway 1
111  36.92632867 -111.45335754
111  36.92630601 -111.45352180
111  36.92616000 -111.45349119
113  36.92618354 -111.45332584
110 2 0.00 0.0000 New Taxiway 1
111  36.92651897 -111.45339914
111  36.92649593 -111.45356186
111  36.92634795 -111.45353090
113  36.92637443 -111.45336753
110 2 0.00 0.0000 New Taxiway 1
111  36.92670859 -111.45344062
111  36.92668282 -111.45360552
111  36.92653681 -111.45357238
113  36.92656291 -111.45340875
110 2 0.00 0.0000 New Taxiway 1
111  36.92691563 -111.45348590
111  36.92689267 -111.45364797
111  36.92674953 -111.45361854
113  36.92677001 -111.45345405
110 2 0.00 0.0000 New Taxiway 1
111  36.92716220 -111.45353982
111  36.92713838 -111.45370126
111  36.92693608 -111.45365890
113  36.92696121 -111.45349586
110 2 0.00 0.0000 New Taxiway 1
111  36.92740662 -111.45358213
111  36.92740587 -111.45358749
111  36.92738244 -111.45375588
111  36.92717902 -111.45371134
111  36.92720365 -111.45354889
111  36.92721317 -111.45355097
111  36.92721848 -111.45349349
111  36.92739173 -111.45353311
113  36.92738652 -111.45357952
110 2 0.00 0.0000 New Taxiway 1
111  36.92762057 -111.45363444
111  36.92759806 -111.45380285
111  36.92742163 -111.45376552
113  36.92744644 -111.45359671
110 2 0.00 0.0000 New Taxiway 1
111  36.92786499 -111.45368709
111  36.92786126 -111.45371694
111  36.92784314 -111.45385705
111  36.92766447 -111.45381820
113  36.92769010 -111.45364919
110 2 0.00 0.0000 New Taxiway 1
111  36.92810191 -111.45370541
111  36.92809890 -111.45372501
111  36.92807257 -111.45390567
111  36.92788156 -111.45386470
111  36.92790184 -111.45372485
113  36.92790972 -111.45366904
110 2 0.00 0.0000 New Taxiway 2
111  36.92672950 -111.45226720
111  36.92675234 -111.45211104
111  36.92706492 -111.45217806
113  36.92704344 -111.45233247
110 2 0.00 0.0000 New Taxiway 2
111  36.92743601 -111.45241801
111  36.92745974 -111.45226376
111  36.92777177 -111.45233036
113  36.92775072 -111.45248491
110 2 0.00 0.0000 New Taxiway 2
111  36.92708405 -111.45234337
111  36.92710711 -111.45218664
111  36.92741783 -111.45225406
113  36.92739831 -111.45240779
110 2 0.00 0.0000 New Taxiway 2
111  36.92637387 -111.45219065
111  36.92639563 -111.45203449
111  36.92654467 -111.45206552
111  36.92654694 -111.45205061
111  36.92668236 -111.45207948
111  36.92668031 -111.45209699
111  36.92670944 -111.45210198
111  36.92668577 -111.45225811
111  36.92653897 -111.45222636
111  36.92653746 -111.45224004
111  36.92639933 -111.45221152
113  36.92640070 -111.45219626
110 2 0.00 0.0000 New Taxiway 2
111  36.92615044 -111.45213980
111  36.92617220 -111.45198705
111  36.92637030 -111.45196952
113  36.92633734 -111.45220027
110 2 0.00 0.0000 New Taxiway 2
111  36.92606722 -111.45267217
111  36.92609564 -111.45246386
111  36.92627359 -111.45249949
113  36.92624445 -111.45271075
110 2 0.00 0.0000 New Taxiway 2
111  36.92629285 -111.45272128
111  36.92632285 -111.45250972
111  36.92646300 -111.45253246
113  36.92642989 -111.45275111
110 2 0.00 0.0000 New Taxiway 2
111  36.92648398 -111.45276289
111  36.92651239 -111.45255876
111  36.92664995 -111.45255518
111  36.92667426 -111.45259626
111  36.92664073 -111.45258987
113  36.92661126 -111.45279059
110 2 0.00 0.0000 New Taxiway 2
111  36.92667014 -111.45280341
111  36.92669548 -111.45263167
111  36.92668463 -111.45262934
111  36.92668977 -111.45260034
111  36.92670675 -111.45256223
111  36.92684655 -111.45259091
111  36.92684683 -111.45263228
113  36.92681432 -111.45283480
110 2 0.00 0.0000 New Taxiway 2
111  36.92686910 -111.45284672
111  36.92689787 -111.45264447
111  36.92690624 -111.45260685
111  36.92703400 -111.45263318
111  36.92703440 -111.45267203
113  36.92700343 -111.45287596
110 2 0.00 0.0000 New Taxiway 2
111  36.92706106 -111.45288851
111  36.92708850 -111.45268601
111  36.92725630 -111.45271870
113  36.92722630 -111.45292455
110 2 0.00 0.0000 New Taxiway 2
111  36.92727834 -111.45293588
111  36.92731487 -111.45267479
111  36.92749512 -111.45271448
111  36.92748757 -111.45275920
111  36.92750165 -111.45276266
113  36.92747198 -111.45297803
110 2 0.00 0.0000 New Taxiway 2
111  36.92751510 -111.45298742
111  36.92754366 -111.45278643
111  36.92756345 -111.45270112
111  36.92772819 -111.45273589
111  36.92775741 -111.45283218
111  36.92774367 -111.45293061
111  36.92771119 -111.45292325
111  36.92769638 -111.45302648
113  36.92764741 -111.45301622
110 2 0.00 0.0000 New Taxiway 2
111  36.92748367 -111.45321515
111  36.92750643 -111.45305074
111  36.92763929 -111.45307966
111  36.92768729 -111.45309073
111  36.92764559 -111.45337830
111  36.92745070 -111.45333607
113  36.92746876 -111.45321183
110 2 0.00 0.0000 New Taxiway 2
111  36.92723938 -111.45320374
111  36.92726987 -111.45299924
111  36.92745243 -111.45303899
113  36.92742027 -111.45324197
110 2 0.00 0.0000 New Taxiway 2
111  36.92702064 -111.45315599
111  36.92705093 -111.45295158
111  36.92721585 -111.45298748
113  36.92718466 -111.45319048
110 2 0.00 0.0000 New Taxiway 2
111  36.92682540 -111.45311227
111  36.92685426 -111.45292800
111  36.92685749 -111.45290947
111  36.92699697 -111.45293983
113  36.92696600 -111.45314281
110 2 0.00 0.0000 New Taxiway 2
111  36.92663741 -111.45307207
111  36.92666180 -111.45290029
111  36.92679736 -111.45292987
113  36.92677223 -111.45309932
110 2 0.00 0.0000 New Taxiway 2
111  36.92644629 -111.45303073
111  36.92647094 -111.45286027
111  36.92660651 -111.45288755
113  36.92658006 -111.45305831
110 2 0.00 0.0000 New Taxiway 2
111  36.92625668 -111.45298919
111  36.92628247 -111.45281753
111  36.92641878 -111.45284386
113  36.92639214 -111.45301815
110 2 0.00 0.0000 New Taxiway 2
111  36.92604023 -111.45294392
111  36.92606426 -111.45277537
111  36.92622865 -111.45280713
113  36.92620420 -111.45297616
110 2 0.00 0.0000 New Taxiway 20
111  36.92764180 -111.45343618
111  36.92601015 -111.45307907
111  36.92601277 -111.45305778
113  36.92764448 -111.45341640
110 2 0.00 0.0000 New Taxiway 19
111  36.92792095 -111.45247154
111  36.92788560 -111.45246522
111  36.92789034 -111.45242179
113  36.92792600 -111.45242889
110 2 0.00 0.0000 New Taxiway 17
111  36.92813315 -111.45097857
111  36.92809347 -111.45096979
111  36.92809948 -111.45092757
113  36.92813972 -111.45093678
111  36.92812640 -111.45094786
111  36.92811083 -111.45094429
111  36.92810777 -111.45095910
113  36.92812355 -111.45096184
110 1 0.00 0.0000 New Taxiway 16
111  36.92826214 -111.45058825
111  36.92824952 -111.45058035
111  36.92825425 -111.45056719
113  36.92826688 -111.45057443
110 2 0.00 0.0000 New Taxiway 15
111  36.92828345 -111.45056963
111  36.92826767 -111.45060635
111  36.92823295 -111.45058502
113  36.92824873 -111.45055028
110 2 0.00 0.0000 New Taxiway 14
111  36.92607255 -111.44997190
111  36.92601759 -111.44995983
111  36.92596120 -111.44994745
111  36.92597108 -111.44987857
111  36.92598029 -111.44981440
111  36.92601276 -111.44982078
111  36.92603545 -111.44982524
111  36.92605581 -111.44982924
111  36.92609028 -111.44983601
113  36.92608140 -111.44990410
110 2 0.00 0.0000 New Taxiway 13
111  36.92624931 -111.45001105
111  36.92619296 -111.44999925
111  36.92613705 -111.44998755
111  36.92614669 -111.44991783
111  36.92615599 -111.44985062
111  36.92618999 -111.44985797
111  36.92621165 -111.44986265
111  36.92623158 -111.44986696
111  36.92626772 -111.44987478
113  36.92625813 -111.44994576
110 2 0.00 0.0000 New Taxiway 12
111  36.92642464 -111.45004817
111  36.92636852 -111.45003731
111  36.92631441 -111.45002685
111  36.92632380 -111.44995542
111  36.92633222 -111.44989134
111  36.92636669 -111.44989822
111  36.92638760 -111.44990240
111  36.92640805 -111.44990649
111  36.92644130 -111.44991313
113  36.92643304 -111.44998008
110 2 0.00 0.0000 New Taxiway 11
111  36.92661073 -111.45002088
111  36.92655217 -111.45000876
111  36.92649789 -111.44999752
111  36.92650808 -111.44992767
111  36.92651762 -111.44986228
111  36.92655333 -111.44986959
111  36.92657343 -111.44987370
111  36.92659370 -111.44987784
111  36.92662862 -111.44988499
113  36.92661963 -111.44995323
110 2 0.00 0.0000 New Taxiway 10
111  36.92678580 -111.45005790
111  36.92673085 -111.45004596
111  36.92667748 -111.45003437
111  36.92668592 -111.44996578
111  36.92669392 -111.44990069
111  36.92672725 -111.44990742
111  36.92674876 -111.44991177
111  36.92677001 -111.44991606
111  36.92680370 -111.44992286
113  36.92679509 -111.44998783
110 2 0.00 0.0000 New Taxiway 9
111  36.92696224 -111.45009618
111  36.92690633 -111.45008394
111  36.92685199 -111.45007205
111  36.92686209 -111.45000311
111  36.92687172 -111.44993742
111  36.92690516 -111.44994421
111  36.92692580 -111.44994840
111  36.92694610 -111.44995252
111  36.92698110 -111.44995963
113  36.92697138 -111.45003002
110 2 0.00 0.0000 New Taxiway 8
111  36.92462882 -111.45159967
111  36.92458336 -111.45159067
111  36.92458943 -111.45153192
113  36.92463526 -111.45154092
110 2 0.00 0.0000 New Taxiway 7
111  36.92462957 -111.45180767
111  36.92458526 -111.45179962
111  36.92459056 -111.45174181
113  36.92463526 -111.45175224
110 2 0.00 0.0000 New Taxiway 3
111  36.92500718 -111.45271962
111  36.92507525 -111.45224966
111  36.92525965 -111.45226689
111  36.92527684 -111.45226849
111  36.92527357 -111.45228978
111  36.92546665 -111.45231107
111  36.92546010 -111.45233399
111  36.92562872 -111.45233883
111  36.92565973 -111.45233972
111  36.92564826 -111.45241888
111  36.92558381 -111.45286372
111  36.92539334 -111.45280231
111  36.92539072 -111.45282278
111  36.92520550 -111.45276219
113  36.92520288 -111.45278266
110 1 0.00 0.0000 Main Taxiway
111  36.91693166 -111.44637576 102
112  36.91679296 -111.44646546  36.91676986 -111.44656345
111  36.91679296 -111.44646546 102
111  36.91675200 -111.44675668 102
111  36.91674039 -111.44683922
112  36.91674039 -111.44683922  36.91672744 -111.44701305 102
111  36.91686164 -111.44705760 102
111  36.91697796 -111.44709571 102
111  36.92129691 -111.44803182
112  36.92129691 -111.44803182  36.92135445 -111.44799081 102
112  36.92132662 -111.44785698  36.92129035 -111.44778325
111  36.92132662 -111.44785698 102
111  36.92124863 -111.44773378 102
111  36.92105672 -111.44738348
112  36.92105672 -111.44738348  36.92098601 -111.44725756 102
111  36.92087832 -111.44723121
111  36.92144808 -111.44735378
112  36.92144808 -111.44735378  36.92140589 -111.44735830 102
112  36.92137215 -111.44748645  36.92139565 -111.44755957
111  36.92137215 -111.44748645 102
111  36.92154547 -111.44779586 102
111  36.92170130 -111.44806821
112  36.92170130 -111.44806821  36.92173874 -111.44812501 102
111  36.92179199 -111.44813932 102
111  36.92247277 -111.44828954
112  36.92247277 -111.44828954  36.92253354 -111.44829708 102
111  36.92256233 -111.44828064 102
111  36.92280430 -111.44807155 102
111  36.92304215 -111.44786471
112  36.92304215 -111.44786471  36.92311748 -111.44778836 102
112  36.92300958 -111.44769126  36.92292937 -111.44764196
111  36.92300958 -111.44769126
111  36.92359157 -111.44781885 102
112  36.92338594 -111.44787606  36.92328048 -111.44795521
111  36.92338594 -111.44787606 102
111  36.92309542 -111.44813411 102
111  36.92295028 -111.44825643
112  36.92295028 -111.44825643  36.92291111 -111.44831234 102
112  36.92298644 -111.44839840  36.92303566 -111.44841976
111  36.92298644 -111.44839840 102
111  36.92572525 -111.44899641
111  36.92609165 -111.44908473 102
111  36.92610286 -111.44907883 102
111  36.92924147 -111.44976134 102
111  36.92928994 -111.44977188
112  36.92928994 -111.44977188  36.92946661 -111.44977422 102
111  36.92950338 -111.44956246
111  36.92953128 -111.44932120
112  36.92953128 -111.44932120  36.92952218 -111.44922123
112  36.92933212 -111.44906429  36.92915396 -111.44900689
111  36.92933212 -111.44906429
111  36.92940775 -111.44856222
112  36.92940775 -111.44856222  36.92959866 -111.44857217
111  36.92963974 -111.44834219
111  36.92983435 -111.44841679
112  36.92983435 -111.44841679  36.92982581 -111.44862725
111  36.92998849 -111.44868859
111  36.92999198 -111.44920690
112  36.92999198 -111.44920690  36.92977623 -111.44919735
112  36.92972338 -111.44940218  36.92969987 -111.44952658
111  36.92972338 -111.44940218
111  36.92970007 -111.44961220
112  36.92970007 -111.44961220  36.92968127 -111.44985104 102
111  36.92988422 -111.44989928 102
111  36.92993851 -111.44991098 102
111  36.93231368 -111.45042305
112  36.93231368 -111.45042305  36.93253790 -111.45045722 102
112  36.93259642 -111.45026787  36.93262595 -111.45014573
111  36.93259642 -111.45026787 102
111  36.93260508 -111.45019905 102
111  36.93264162 -111.44994483
112  36.93264162 -111.44994483  36.93265124 -111.44980871 102
111  36.93254218 -111.44976022
111  36.93278499 -111.44981367 102
111  36.93273036 -111.45022522 102
111  36.93272779 -111.45024460
112  36.93272779 -111.45024460  36.93271942 -111.45030272 102
111  36.93270686 -111.45035612
112  36.93270686 -111.45035612  36.93270508 -111.45036635
111  36.93271858 -111.45040848
111  36.93273407 -111.45045507
112  36.93273407 -111.45045507  36.93264338 -111.45063106
112  36.93226492 -111.45062942  36.93197804 -111.45057336
111  36.93226492 -111.45062942
111  36.93221345 -111.45054774 102
111  36.93210999 -111.45053067 102
111  36.93208001 -111.45055598 102
111  36.93197277 -111.45064651 102
111  36.93190309 -111.45070533
112  36.93190309 -111.45070533  36.93186996 -111.45072860 102
112  36.93174941 -111.45071601  36.93163491 -111.45070156
111  36.93174941 -111.45071601 102
111  36.93156058 -111.45067518
112  36.93156058 -111.45067518  36.93145972 -111.45065498 102
111  36.93140139 -111.45057403 102
111  36.93136105 -111.45051480 102
111  36.93126422 -111.45037258 102
111  36.93125123 -111.45035351
112  36.93125123 -111.45035351  36.93123306 -111.45033048 102
112  36.93119749 -111.45032021  36.93116697 -111.45031476
111  36.93119749 -111.45032021 102
111  36.92992056 -111.45004495 102
111  36.92986615 -111.45003457
112  36.92986615 -111.45003457  36.92966981 -111.45000140 102
111  36.92962970 -111.45023841
111  36.92943322 -111.45018482
112  36.92943322 -111.45018482  36.92944207 -111.44995752
111  36.92928876 -111.44990748 102
111  36.92922271 -111.44989303 102
111  36.92867054 -111.44977199
112  36.92867054 -111.44977199  36.92856990 -111.44975767 102
112  36.92849442 -111.44996331  36.92847634 -111.45009599
111  36.92849442 -111.44996331
111  36.92841524 -111.45058257
112  36.92841524 -111.45058257  36.92843874 -111.45066399
111  36.92849740 -111.45069992
111  36.92889688 -111.45078297
111  36.92855472 -111.45321375
111  36.92816003 -111.45313373
112  36.92816003 -111.45313373  36.92813048 -111.45313122
111  36.92811148 -111.45315205
111  36.92802904 -111.45329707
111  36.92800579 -111.45346630
111  36.92823309 -111.45352699
111  36.92820195 -111.45373029
111  36.92812481 -111.45371370
111  36.92812240 -111.45372953
111  36.92809890 -111.45372501
111  36.92810191 -111.45370541
111  36.92790972 -111.45366904
111  36.92790184 -111.45372485
111  36.92786126 -111.45371694
111  36.92786499 -111.45368709
111  36.92769010 -111.45364951
111  36.92762057 -111.45363444
111  36.92744644 -111.45359671
111  36.92740587 -111.45358749
111  36.92740662 -111.45358213
111  36.92738652 -111.45357952
111  36.92739173 -111.45353311
111  36.92721848 -111.45349349
111  36.92721317 -111.45355097
111  36.92720365 -111.45354889
111  36.92716220 -111.45353982
111  36.92696121 -111.45349586
111  36.92691563 -111.45348590
111  36.92677001 -111.45345405
111  36.92670859 -111.45344062
111  36.92656291 -111.45340875
111  36.92651897 -111.45339914
111  36.92637443 -111.45336753
111  36.92632867 -111.45335754
111  36.92618354 -111.45332584
111  36.92613889 -111.45331607
111  36.92599286 -111.45328409
111  36.92594885 -111.45327446
111  36.92594101 -111.45327274
111  36.92594563 -111.45323329
111  36.92580909 -111.45320396
111  36.92577331 -111.45319627
111  36.92547291 -111.45313188
111  36.92543320 -111.45312334
111  36.92529715 -111.45309409
111  36.92526527 -111.45308723
111  36.92512787 -111.45305769
111  36.92509248 -111.45305007
111  36.92495655 -111.45302085
111  36.92490640 -111.45301006
111  36.92497366 -111.45210002
111  36.92465691 -111.45202855
111  36.92465836 -111.45201883
111  36.92466654 -111.45196428
111  36.92467209 -111.45192724
111  36.92451155 -111.45189377
111  36.92451925 -111.45183783
111  36.92453397 -111.45173094
111  36.92449058 -111.45171918
111  36.92452329 -111.45149460
111  36.92451589 -111.45144327
111  36.92463160 -111.45069245
111  36.92459833 -111.45065536
111  36.92460912 -111.45058038
111  36.92461403 -111.45054622
111  36.92463693 -111.45038712
111  36.92465040 -111.45029351
111  36.92453614 -111.45026909
111  36.92454482 -111.45019401
111  36.92437664 -111.45015912
111  36.92435947 -111.45015556
111  36.92411742 -111.45010535
111  36.92401039 -111.44986111
111  36.92384045 -111.44982855
111  36.92386431 -111.44942238
111  36.92383249 -111.44934911
111  36.92378393 -111.44933900
111  36.92359501 -111.44929968
111  36.92347616 -111.44927494
111  36.92338051 -111.44925503
111  36.92335664 -111.44939705
111  36.92315500 -111.44934461
111  36.92317874 -111.44918628
111  36.92316662 -111.44918358
111  36.92309410 -111.44916741
111  36.92257417 -111.44905149
111  36.92256087 -111.44915698
111  36.92255103 -111.44915462
111  36.92254684 -111.44918410
111  36.92255609 -111.44918537
111  36.92253440 -111.44932739
111  36.92228707 -111.44927221
111  36.92158652 -111.44911937
111  36.92164788 -111.44866628
111  36.92165417 -111.44861979
111  36.92165990 -111.44857749
112  36.92165990 -111.44857749  36.92166203 -111.44854390
112  36.92165437 -111.44848309  36.92164895 -111.44845379
111  36.92165437 -111.44848309
112  36.92165437 -111.44848309  36.92163592 -111.44838319 102
112  36.92153801 -111.44826409  36.92149519 -111.44821937
111  36.92153801 -111.44826409
112  36.92153801 -111.44826409  36.92150730 -111.44823201 102
111  36.92148291 -111.44821521 102
111  36.91786340 -111.44743174 102
111  36.91782747 -111.44745699 102
111  36.91778730 -111.44748521 102
111  36.91771285 -111.44755040 102
111  36.91770052 -111.44756119
112  36.91770052 -111.44756119  36.91761687 -111.44762879 102
112  36.91749311 -111.44762545  36.91740188 -111.44761499
111  36.91749311 -111.44762545 102
111  36.91721879 -111.44756884
112  36.91721879 -111.44756884  36.91716154 -111.44755648 102
112  36.91713008 -111.44751633  36.91710770 -111.44748652
111  36.91713008 -111.44751633 102
111  36.91707093 -111.44741297 102
111  36.91699987 -111.44728881 102
111  36.91699673 -111.44728332
112  36.91699673 -111.44728332  36.91696975 -111.44724419 102
111  36.91693772 -111.44723556 102
111  36.91684486 -111.44721385 102
111  36.91682490 -111.44720083
112  36.91682490 -111.44720083  36.91665050 -111.44715621 102
112  36.91661384 -111.44684953  36.91662228 -111.44670028
111  36.91661384 -111.44684953 102
111  36.91662500 -111.44673099 102
113  36.91668700 -111.44632261
112  36.92275503 -111.44856207  36.92274038 -111.44862751
111  36.92275503 -111.44856207
111  36.92290472 -111.44862539
111  36.92339613 -111.44874917
111  36.92397399 -111.44888043
111  36.92402722 -111.44904942
111  36.92397349 -111.44937922
111  36.92391356 -111.44936823
111  36.92389589 -111.44972950
111  36.92390276 -111.44977237
111  36.92399592 -111.44979310
111  36.92412013 -111.44896587 102
112  36.92401366 -111.44876359  36.92391025 -111.44872559
111  36.92401366 -111.44876359 102
113  36.92281558 -111.44849921 102
111  36.92481441 -111.44906529 102
112  36.92465371 -111.44889881  36.92452021 -111.44886635
111  36.92465371 -111.44889881 102
111  36.92438969 -111.44884361
112  36.92438969 -111.44884361  36.92426815 -111.44882665 102
113  36.92423624 -111.44893566
111  36.92572792 -111.44925794
111  36.92561442 -111.45007525
112  36.92573696 -111.44991694  36.92576408 -111.44976743
111  36.92573696 -111.44991694
111  36.92581279 -111.44934213
112  36.92581279 -111.44934213  36.92581731 -111.44921648 102
112  36.92568372 -111.44912414  36.92557726 -111.44908896
111  36.92568372 -111.44912414 102
111  36.92506405 -111.44899110 102
112  36.92491519 -111.44908760  36.92486146 -111.44919879
113  36.92491519 -111.44908760
112  36.92612059 -111.44946542  36.92618638 -111.44947861
111  36.92612059 -111.44946542
111  36.92683535 -111.44954316
111  36.92716429 -111.44961478
111  36.92708343 -111.45020971
111  36.92711959 -111.45021724
111  36.92711371 -111.45026438
111  36.92711290 -111.45027085
111  36.92707942 -111.45026499
