I
1050 Generated by WorldEditor 2.3.0r2

1    779 0 0 1C1 Paxton
111  40.45270781 -088.12885272
111  40.45279535 -088.12885424
111  40.45283755 -088.12885497
111  40.45292756 -088.12885652
113  40.45292611 -088.12900091
110 2 0.00 0.0000 New Taxiway 29
111  40.45349572 -088.12903779
111  40.45349391 -088.12885017
111  40.45363968 -088.12885096
113  40.45363968 -088.12903383
110 2 0.00 0.0000 New Taxiway 28
111  40.45313366 -088.12904083
111  40.45313621 -088.12885688
111  40.45320028 -088.12885587
111  40.45329027 -088.12885445
111  40.45335312 -088.12885388
113  40.45335485 -088.12903741
110 3 0.00 0.0000 Grass
111  40.45161378 -088.12782772
111  40.45335463 -088.12783933
111  40.45357697 -088.12807243
111  40.45376462 -088.12908161
113  40.45160134 -088.12907347
130 Airport Boundary 38
111  40.45484581 -088.12710897
111  40.45487159 -088.12937033
111  40.44403744 -088.12941261
113  40.44410189 -088.12705832
14  40.45313028 -088.12820591  82.02 0 New Tower Viewpoint 16
1300  40.45256214 -088.12860140 270.04 tie_down props Apron 09
1301 A general_aviation 
1300  40.45268864 -088.12860520 270.04 tie_down props Apron 08
1301 A general_aviation 
1300  40.45281008 -088.12859570 270.04 tie_down props Apron 07
1301 A general_aviation 
1300  40.45293731 -088.12860330 270.04 tie_down props Apron 06
1301 A general_aviation 
1300  40.45305585 -088.12860330 270.04 tie_down props Apron 05
1301 A general_aviation 
1300  40.45318091 -088.12860140 270.04 tie_down props Apron 04
1301 A general_aviation 
1300  40.45330524 -088.12861185 270.04 tie_down props Apron 03
1301 A general_aviation 
1300  40.45343246 -088.12860425 270.04 tie_down props Apron 02
1301 A general_aviation 
1300  40.45394336 -088.12835773 270.04 tie_down props Apron 01
1301 A general_aviation 
1300  40.45409625 -088.12888761  89.74 hangar props Hangar 08
1301 A none 
1300  40.45356563 -088.12887186  89.74 hangar props Hangar 07
1301 A none 
1300  40.45324187 -088.12887186  89.74 hangar props Hangar 06
1301 A none 
1300  40.45281611 -088.12886331  89.74 hangar props Hangar 05
1301 A none 
1300  40.45261009 -088.12886046  89.74 hangar props Hangar 04
1301 A none 
1300  40.45246408 -088.12886426  89.74 hangar props Hangar 03
1301 A none 
1300  40.45231734 -088.12887946  89.74 hangar props Hangar 02
1301 A none 
1300  40.45217999 -088.12884526  89.63 hangar props Hangar 01
1301 A none 
18  40.44898339 -088.12711222 1 BCN
51 12280 CTAF/UNICOM
55 12135 CHAMPAIGN APP/DEP
99
