A
1000 Generated by WorldEditor

1     15 1 0 EGAC George Best - Belfast City
110 2 0.00 90.0000 New Taxiway 22
111  54.61459445 -005.87154863 20
111  54.61456947 -005.87149574 20
111  54.61462457 -005.87141812
111  54.61464068 -005.87139543 20
111  54.61466567 -005.87144832 20
111  54.61464694 -005.87147470
113  54.61463083 -005.87149739 20
110 2 0.00 90.0000 New Taxiway 22
111  54.61451831 -005.87172359 20
111  54.61457797 -005.87159978 20
111  54.61457911 -005.87159740 20
111  54.61463453 -005.87150533
111  54.61464851 -005.87153534 20
111  54.61464796 -005.87153626 20
111  54.61463816 -005.87155255 20
111  54.61459452 -005.87162504 20
113  54.61453996 -005.87173828
110 2 0.00 90.0000 New Taxiway 22
111  54.61453079 -005.87178126 20
111  54.61452661 -005.87177842 20
111  54.61452728 -005.87178453 20
111  54.61449786 -005.87176457 20
111  54.61450175 -005.87176155 20
111  54.61449587 -005.87175756 20
111  54.61450563 -005.87171498 20
111  54.61451831 -005.87172359
111  54.61453996 -005.87173828 20
113  54.61454054 -005.87173867 20
110 2 0.00 12.0000 New Taxiway 22
111  54.61507727 -005.87082029
111  54.61509935 -005.87079334
111  54.61511570 -005.87083405 20
111  54.61513061 -005.87087118 20
113  54.61510841 -005.87089779
110 2 0.00 12.0000 New Taxiway 22
111  54.61509935 -005.87079334
111  54.61521238 -005.87066354 20
111  54.61522721 -005.87070045 20
113  54.61511570 -005.87083405
110 2 0.00 12.0000 New Taxiway 22
111  54.61491539 -005.87117425 20
111  54.61487320 -005.87106921
111  54.61507727 -005.87082029
111  54.61510841 -005.87089779 20
113  54.61512067 -005.87092833 20
110 2 0.00 12.0000 New Taxiway 7
111  54.61056145 -005.87685936
111  54.61077466 -005.87640291
111  54.61081306 -005.87645640
113  54.61059985 -005.87691285
110 2 0.00 12.0000 New Taxiway 7
111  54.61079900 -005.87656341
111  54.61055337 -005.87622132
111  54.61113366 -005.87497901
113  54.61137929 -005.87532110
110 2 0.00 12.0000 New Taxiway 7
111  54.61034824 -005.87731581
111  54.61016774 -005.87706443
111  54.61059416 -005.87615153
111  54.61077466 -005.87640291
113  54.61056145 -005.87685936
110 1 0.00 12.0000 New Taxiway 7
111  54.61284599 -005.87481924
111  54.61281834 -005.87485124
111  54.61275679 -005.87469263
113  54.61278445 -005.87466063
110 1 0.00 12.0000 New Taxiway 7
111  54.61281531 -005.87485476
111  54.61278765 -005.87488676
111  54.61272611 -005.87472815
113  54.61275376 -005.87469615
110 1 0.00 12.0000 New Taxiway 7
111  54.61269827 -005.87502714
111  54.61267061 -005.87505914
111  54.61260907 -005.87490053
113  54.61263672 -005.87486853
110 1 0.00 12.0000 New Taxiway 7
111  54.61266580 -005.87506422
111  54.61263814 -005.87509622
111  54.61257660 -005.87493761
113  54.61260426 -005.87490561
110 1 0.00 12.0000 New Taxiway 7
111  54.61257239 -005.87520668
111  54.61254474 -005.87523868
111  54.61248319 -005.87508007
113  54.61251085 -005.87504807
110 1 0.00 12.0000 New Taxiway 7
111  54.61253797 -005.87524631
111  54.61251031 -005.87527831
111  54.61244877 -005.87511970
113  54.61247642 -005.87508770
110 1 0.00 12.0000 New Taxiway 7
111  54.61248519 -005.87531962
111  54.61245753 -005.87535162
111  54.61239599 -005.87519301
113  54.61242364 -005.87516101
110 1 0.00 12.0000 New Taxiway 3
111  54.61134227 -005.88002042
112  54.61143374 -005.87975009  54.61153525 -005.87963047
112  54.61169809 -005.87959445  54.61175680 -005.87953853
113  54.61169809 -005.87959445
110 1 0.00 12.0000 New Taxiway 1
111  54.61899300 -005.87424224
112  54.61865878 -005.87424224  54.61849563 -005.87395640
111  54.61865878 -005.87366503
114  54.61899300 -005.87366503  54.61915733 -005.87395437
110 2 0.00 12.0000 New Taxiway 1
111  54.61167108 -005.88273292
112  54.61137209 -005.88273292  54.61122613 -005.88247721
111  54.61137209 -005.88221655
114  54.61167108 -005.88221655  54.61181809 -005.88247539
110 1 0.00 0.0000 New Taxiway 6
111  54.61859766 -005.87134989
112  54.61838799 -005.87110027  54.61831504 -005.87093795
111  54.61823929 -005.87076110
111  54.61810322 -005.87055518
112  54.61812567 -005.87039044  54.61812988 -005.87038317
112  54.61824350 -005.87018694  54.61826805 -005.87010626
111  54.61821404 -005.86998102
112  54.61799100 -005.86967578  54.61786827 -005.86958279
112  54.61775253 -005.86952315  54.61770423 -005.86949580
111  54.61775253 -005.86952315
112  54.61775253 -005.86952315  54.61768460 -005.86950608
111  54.61751126 -005.86978237
111  54.61747759 -005.86976057
112  54.61776235 -005.86944079  54.61790935 -005.86942768
111  54.61776235 -005.86944079
112  54.61776235 -005.86944079  54.61784391 -005.86949549
112  54.61799594 -005.86961145  54.61806483 -005.86966752
111  54.61812427 -005.86975087
112  54.61824210 -005.86994953  54.61827852 -005.87002747
112  54.61829260 -005.87020632  54.61827914 -005.87031846
112  54.61824350 -005.87042920  54.61826567 -005.87050989
111  54.61833889 -005.87067874
112  54.61849039 -005.87101064  54.61856894 -005.87118264
113  54.61873587 -005.87120202
110 2 0.00 0.0000 New Taxiway 19
111  54.61200789 -005.88193101
111  54.61199673 -005.88185783
111  54.61190174 -005.88123458
112  54.61217900 -005.88144769  54.61240619 -005.88144389
111  54.61217900 -005.88144769
111  54.61246714 -005.88144131
111  54.61246853 -005.88152371
111  54.61251171 -005.88152789
111  54.61249122 -005.88158504
111  54.61261720 -005.88158504
111  54.61261860 -005.88165844
111  54.61218563 -005.88166805
114  54.61218563 -005.88166805  54.61200402 -005.88167567
110 1 0.00 0.0000 New Taxiway 3
111  54.62287554 -005.86731792
112  54.62310906 -005.86792968  54.62322269 -005.86819135
111  54.62329207 -005.86841301
112  54.62332596 -005.86856910  54.62328681 -005.86865500
112  54.62322430 -005.86850666  54.62322710 -005.86844125
111  54.62325593 -005.86841692
112  54.62307722 -005.86795392  54.62298604 -005.86775524
113  54.62280526 -005.86738561
110 2 0.00 0.0000 New Taxiway 20
111  54.61343482 -005.88164031
111  54.61343485 -005.88157718
111  54.61348742 -005.88157736
111  54.61348849 -005.88141866
111  54.61470413 -005.88139170
112  54.61470413 -005.88139170  54.61485613 -005.88138899
112  54.61496470 -005.88160634  54.61499134 -005.88161852
113  54.61496470 -005.88160634
110 2 0.00 0.0000 New Taxiway 2
112  54.62413323 -005.86427876  54.62416905 -005.86423039
111  54.62413323 -005.86427876
112  54.62413323 -005.86427876  54.62416905 -005.86423039 102
112  54.62437680 -005.86395029  54.62441436 -005.86380716
111  54.62438095 -005.86368790
111  54.62449576 -005.86355049
111  54.62466114 -005.86396275
111  54.62442879 -005.86424027
111  54.62440665 -005.86418744
111  54.62410041 -005.86455322
111  54.62412244 -005.86460618
111  54.62399839 -005.86475435
112  54.62399839 -005.86475435  54.62400132 -005.86471762 102
112  54.62401337 -005.86461432  54.62402141 -005.86455999
111  54.62401337 -005.86461432
112  54.62401337 -005.86461432  54.62402141 -005.86455999 102
114  54.62405246 -005.86444207  54.62407146 -005.86438386 102
110 2 0.00 0.0000 New Taxiway 1
112  54.62473890 -005.86555892  54.62469298 -005.86561348 3 102
112  54.62460281 -005.86566969  54.62455870 -005.86569117 3 102
112  54.62447856 -005.86570094  54.62444054 -005.86570248 3 102
112  54.62437898 -005.86569211  54.62435132 -005.86568687
111  54.62437898 -005.86569211
111  54.62459944 -005.86542256
111  54.62461965 -005.86547090
111  54.62472407 -005.86534227
111  54.62470392 -005.86529385
111  54.62492118 -005.86502811
112  54.62492118 -005.86502811  54.62491628 -005.86507065 3 102
112  54.62489800 -005.86518608  54.62488630 -005.86524653 3 102
114  54.62484411 -005.86537692  54.62481874 -005.86544138 3 102
110 2 0.00 90.0000 New Taxiway 29
111  54.61195783 -005.87452596
111  54.61201123 -005.87460432
111  54.61195836 -005.87474177
111  54.61214308 -005.87499149
111  54.61172989 -005.87587600
111  54.61163632 -005.87574485
111  54.61130576 -005.87645833
111  54.61138605 -005.87656271
111  54.61148502 -005.87634501
111  54.61150081 -005.87636600
111  54.61138597 -005.87661886
111  54.61141088 -005.87665244
111  54.61134648 -005.87679408
111  54.61137504 -005.87683395
111  54.61119031 -005.87723266
111  54.61116358 -005.87725259
111  54.61114231 -005.87722426
111  54.61107481 -005.87736815
111  54.61104570 -005.87732919
111  54.61094604 -005.87753693
111  54.61089743 -005.87759674
111  54.61085065 -005.87753693
111  54.61074964 -005.87774649
111  54.61069097 -005.87767295
111  54.61062714 -005.87712845
111  54.61047055 -005.87743588
111  54.61042627 -005.87738228
111  54.61065225 -005.87689590
111  54.61070397 -005.87695834
111  54.61148053 -005.87528157
111  54.61119526 -005.87485975
113  54.61159367 -005.87399769
110 1 0.00 90.0000 New Taxiway 16
111  54.61557099 -005.88166552
112  54.61546684 -005.88159519  54.61538896 -005.88159702
111  54.61546684 -005.88159519
111  54.61496470 -005.88160634
111  54.61343482 -005.88164031
111  54.61261860 -005.88165844
111  54.61218563 -005.88166805
112  54.61218563 -005.88166805  54.61200402 -005.88167567
111  54.61200789 -005.88193101
111  54.61207894 -005.88260575
111  54.61196483 -005.88270241
111  54.61194796 -005.88259107
111  54.61186795 -005.88206299
111  54.61184914 -005.88191278
111  54.61182489 -005.88171911
112  54.61174200 -005.88168565  54.61167353 -005.88172937
111  54.61174200 -005.88168565
111  54.61089268 -005.88223585
111  54.61078454 -005.88230682
112  54.61078454 -005.88230682  54.61074079 -005.88233515
111  54.61072582 -005.88226187
111  54.61045693 -005.88096690
112  54.61045693 -005.88096690  54.61025835 -005.88000626
111  54.61016872 -005.87913248
111  54.61022082 -005.87913923
112  54.61043183 -005.88058987  54.61049645 -005.88090010
111  54.61043183 -005.88058987
111  54.61074454 -005.88213051
112  54.61083281 -005.88218998  54.61090026 -005.88214592
111  54.61083281 -005.88218998
111  54.61172520 -005.88160633
112  54.61172520 -005.88160633  54.61180530 -005.88155402
111  54.61180271 -005.88152827
111  54.61174888 -005.88112305
112  54.61174888 -005.88112305  54.61171433 -005.88086279
111  54.61158515 -005.88084847
111  54.61203176 -005.88031406
111  54.61184253 -005.88073270
111  54.61190174 -005.88123458
112  54.61217900 -005.88144769  54.61240619 -005.88144389
111  54.61217900 -005.88144769
112  54.61246714 -005.88144131  54.61269433 -005.88143750
111  54.61246714 -005.88144131
112  54.61348849 -005.88141866  54.61371568 -005.88141485
111  54.61348849 -005.88141866
111  54.61470413 -005.88139170
111  54.61538234 -005.88137666
112  54.61538234 -005.88137666  54.61542457 -005.88137568
113  54.61544426 -005.88131543
110 2 0.00 0.0000 New Taxiway 28
111  54.61269606 -005.87442709
111  54.61256089 -005.87469950
111  54.61238496 -005.87446472
111  54.61245501 -005.87433157
113  54.61255531 -005.87429694
110 2 0.00 90.0000 New Taxiway 27
111  54.61289760 -005.87487762
111  54.61241672 -005.87545311
111  54.61233446 -005.87523997
111  54.61248925 -005.87504487
111  54.61247146 -005.87500800
111  54.61240474 -005.87506331
111  54.61231933 -005.87506484
111  54.61230866 -005.87483595
111  54.61229086 -005.87480061
111  54.61233801 -005.87470076
111  54.61235136 -005.87471919
111  54.61238694 -005.87470844
111  54.61244655 -005.87489586
111  54.61265028 -005.87462549
111  54.61269836 -005.87473577
113  54.61278539 -005.87463149
111  54.61284599 -005.87481924
111  54.61278445 -005.87466063
111  54.61275679 -005.87469263
113  54.61281834 -005.87485124
111  54.61278765 -005.87488676
111  54.61281531 -005.87485476
111  54.61275376 -005.87469615
113  54.61272611 -005.87472815
111  54.61269827 -005.87502714
111  54.61263672 -005.87486853
111  54.61260907 -005.87490053
113  54.61267061 -005.87505914
111  54.61266580 -005.87506422
111  54.61260426 -005.87490561
111  54.61257660 -005.87493761
113  54.61263814 -005.87509622
111  54.61254474 -005.87523868
111  54.61257239 -005.87520668
111  54.61251085 -005.87504807
113  54.61248319 -005.87508007
111  54.61253797 -005.87524631
111  54.61247642 -005.87508770
111  54.61244877 -005.87511970
113  54.61251031 -005.87527831
111  54.61248519 -005.87531962
111  54.61242364 -005.87516101
111  54.61239599 -005.87519301
113  54.61245753 -005.87535162
110 2 0.00 0.0000 New Taxiway 25
111  54.61381255 -005.87333841
111  54.61379213 -005.87328771
111  54.61367268 -005.87299110
112  54.61367268 -005.87299110  54.61360888 -005.87282999
111  54.61367602 -005.87273371
111  54.61376157 -005.87262406
111  54.61404476 -005.87206012
111  54.61590593 -005.86983331
111  54.61626386 -005.86962259
111  54.61635074 -005.86953112
111  54.61641365 -005.86941258
112  54.61641365 -005.86941258  54.61647724 -005.86932382
112  54.61660465 -005.86942955  54.61663601 -005.86950477
111  54.61660465 -005.86942955
111  54.61675905 -005.86981232 20
111  54.61654032 -005.87007407 20
111  54.61652013 -005.87009824 20
111  54.61649949 -005.87012293 20
111  54.61633308 -005.87032208 20
111  54.61632240 -005.87033485 20
111  54.61631168 -005.87034768 20
111  54.61630081 -005.87036070 20
111  54.61629032 -005.87037325 20
111  54.61627782 -005.87038821 20
111  54.61627184 -005.87039536 20
111  54.61625736 -005.87041269 20
111  54.61623670 -005.87043741 20
111  54.61601398 -005.87070395 20
111  54.61598888 -005.87073398 20
111  54.61596384 -005.87076395 20
111  54.61594505 -005.87078644 20
111  54.61588420 -005.87085925 20
111  54.61568959 -005.87109214 20
111  54.61566386 -005.87112293 20
111  54.61563834 -005.87115348 20
111  54.61554260 -005.87126805 20
111  54.61548073 -005.87134209 20
111  54.61544318 -005.87138702 20
111  54.61542888 -005.87140414 20
111  54.61541474 -005.87142106 20
111  54.61540012 -005.87143856 20
111  54.61538676 -005.87145455 20
111  54.61536483 -005.87148079 20
111  54.61528838 -005.87157228 20
111  54.61508087 -005.87182060 20
111  54.61507016 -005.87183342 20
111  54.61505853 -005.87184734 20
111  54.61504715 -005.87186095 20
111  54.61503585 -005.87187448 20
111  54.61502417 -005.87188846 20
111  54.61501322 -005.87190156 20
111  54.61500200 -005.87191499 20
111  54.61499008 -005.87192925 20
111  54.61496513 -005.87195911 20
111  54.61494046 -005.87198863 20
111  54.61463306 -005.87235650 20
111  54.61460787 -005.87238665 20
111  54.61458250 -005.87241700 20
111  54.61435741 -005.87268637 20
111  54.61433699 -005.87271080 20
111  54.61431689 -005.87273486 20
111  54.61408380 -005.87301380 20
111  54.61406240 -005.87303941 20
111  54.61404118 -005.87306480 20
113  54.61384053 -005.87330493
110 1 0.00 90.0000 New Taxiway 22
111  54.61093068 -005.87772495
112  54.61093068 -005.87772495  54.61069988 -005.87802172
111  54.61072536 -005.87865968
111  54.61042276 -005.87895359
112  54.61028407 -005.87902979  54.61024282 -005.87905632
111  54.61022082 -005.87913923
111  54.61016872 -005.87913248
111  54.61013119 -005.87911415
111  54.61004766 -005.87923661
111  54.61038021 -005.88003940
111  54.61028565 -005.88015098
111  54.60942828 -005.87846920
111  54.60945422 -005.87803762
111  54.61030212 -005.87620971
112  54.61075373 -005.87530429  54.61082478 -005.87518979
112  54.61111938 -005.87469470  54.61114465 -005.87466538
111  54.61119434 -005.87462463
111  54.61152873 -005.87390349
111  54.61159367 -005.87399769
111  54.61195783 -005.87452596
111  54.61215203 -005.87471918
111  54.61225586 -005.87471011
111  54.61238496 -005.87446472
111  54.61245501 -005.87433157
111  54.61255531 -005.87429694
111  54.61269606 -005.87442709
111  54.61274627 -005.87447353
111  54.61277714 -005.87450886
111  54.61278539 -005.87463149
111  54.61247146 -005.87500800
111  54.61248925 -005.87504487
111  54.61233446 -005.87523997
111  54.61241672 -005.87545311
111  54.61322676 -005.87448374
112  54.61359879 -005.87403853  54.61372336 -005.87388961
111  54.61375674 -005.87357798
111  54.61382837 -005.87361832
112  54.61363909 -005.87413536  54.61349744 -005.87430250
111  54.61323298 -005.87461543
111  54.61245028 -005.87555209
111  54.61209165 -005.87598125
112  54.61233373 -005.87604590  54.61243557 -005.87592257
113  54.61233373 -005.87604590
110 1 0.00 0.0000 New Taxiway 22
111  54.61124062 -005.88027540 102
111  54.61085684 -005.87932005
111  54.61085684 -005.87932005
112  54.61085684 -005.87932005  54.61072817 -005.87900046 102
111  54.61072536 -005.87865968
112  54.61093068 -005.87772495  54.61116148 -005.87742817
111  54.61093068 -005.87772495
111  54.61233373 -005.87604590
112  54.61233373 -005.87604590  54.61223190 -005.87616924 102
111  54.61209165 -005.87598125
111  54.61245028 -005.87555209
111  54.61241672 -005.87545311
111  54.61289760 -005.87487762
111  54.61278539 -005.87463149
111  54.61274627 -005.87447353
111  54.61315144 -005.87398867
111  54.61304440 -005.87372178
112  54.61308543 -005.87346563  54.61315466 -005.87336764
111  54.61308543 -005.87346563
112  54.61308543 -005.87346563  54.61327437 -005.87321025
112  54.61392503 -005.87194651  54.61401782 -005.87181329
111  54.61404252 -005.87177827
111  54.61395512 -005.87155312
111  54.61392412 -005.87158877
111  54.61379740 -005.87126250
111  54.61430902 -005.87066489
111  54.61493375 -005.86991190
111  54.61546612 -005.86927666
111  54.61555635 -005.86949779
111  54.61549678 -005.86956879
111  54.61562286 -005.86988302 20
112  54.61583348 -005.86965043  54.61593897 -005.86953332 20
112  54.61648969 -005.86925207  54.61656455 -005.86917934
111  54.61671990 -005.86901833
111  54.61676156 -005.86906740
111  54.61697595 -005.86960192 102
111  54.61709358 -005.86989521
112  54.61709358 -005.86989521  54.61737230 -005.86957959 102
112  54.61773332 -005.87002912  54.61785841 -005.87030445
111  54.61773332 -005.87002912 102
111  54.61781862 -005.87024174 102
111  54.61825387 -005.87132672
112  54.61825387 -005.87132672  54.61834418 -005.87155183 102
111  54.61863316 -005.87142858
111  54.61806996 -005.87210242 102
112  54.61810155 -005.87149055  54.61800280 -005.87124805
111  54.61810155 -005.87149055 102
111  54.61767131 -005.87041803 102
111  54.61765219 -005.87037038
112  54.61765219 -005.87037038  54.61751934 -005.87003746 102
112  54.61714889 -005.87020779  54.61705380 -005.87032476
111  54.61714889 -005.87020779 102
111  54.61435313 -005.87355344 102
112  54.61419380 -005.87383469  54.61414033 -005.87395127 102
112  54.61402904 -005.87428252  54.61397022 -005.87444411 102
111  54.61392338 -005.87452662 102
111  54.61280610 -005.87586365 102
112  54.61270735 -005.87667322  54.61285374 -005.87708242
111  54.61270735 -005.87667322 102
111  54.61304500 -005.87751491
112  54.61304500 -005.87751491  54.61312740 -005.87771680 102
111  54.61347093 -005.87761090
111  54.61283463 -005.87836975 102
112  54.61290581 -005.87767994  54.61281463 -005.87745277
111  54.61290581 -005.87767994 102
111  54.61257463 -005.87685432
112  54.61257463 -005.87685432  54.61236230 -005.87647888 102
111  54.61211039 -005.87667241 102
111  54.61101850 -005.87797904
112  54.61101850 -005.87797904  54.61088803 -005.87813641 102
112  54.61100146 -005.87919577  54.61116436 -005.87959587
111  54.61100146 -005.87919577 102
111  54.61125234 -005.87982116
112  54.61125234 -005.87982116  54.61130850 -005.87996227 102
113  54.61151497 -005.87994670
112  54.61233373 -005.87604590  54.61243771 -005.87592564
111  54.61233373 -005.87604590 102
111  54.61350065 -005.87465014
111  54.61347231 -005.87458258
111  54.61330242 -005.87478737
111  54.61323298 -005.87461543 20
111  54.61245028 -005.87555209 20
113  54.61209165 -005.87598125
111  54.61306992 -005.87467143
111  54.61296973 -005.87442982
111  54.61278539 -005.87463149
113  54.61289760 -005.87487762 20
110 2 0.00 0.0000 New Taxiway 18
111  54.61164350 -005.88223522
112  54.61176742 -005.88220704  54.61182125 -005.88216987
111  54.61186795 -005.88206299
111  54.61194796 -005.88259107
112  54.61182768 -005.88250970  54.61174372 -005.88251342
113  54.61168441 -005.88261255
110 1 0.00 0.0000 New Taxiway 17
111  54.61560471 -005.88203196
111  54.61576379 -005.88187729
111  54.61579721 -005.88197540
113  54.61564949 -005.88216009
110 1 0.00 0.0000 New Taxiway 15
111  54.62231050 -005.86682115
111  54.62213928 -005.86638599
111  54.62218194 -005.86633899
113  54.62235036 -005.86677209
110 1 0.00 0.0000 New Taxiway 15
111  54.61418973 -005.87841592
111  54.61402327 -005.87799756
111  54.61406433 -005.87795233
113  54.61422646 -005.87836923
110 2 0.00 0.0000 New Taxiway 14
111  54.61484923 -005.87960351
111  54.61430777 -005.88020394
111  54.61424857 -005.88005708
113  54.61478639 -005.87946172
110 2 0.00 0.0000 New Taxiway 13
111  54.61574198 -005.88214782
111  54.61571641 -005.88207643
111  54.61579721 -005.88197540
111  54.61576379 -005.88187729
111  54.61567574 -005.88196290
111  54.61466829 -005.87915022
111  54.61436421 -005.87830127
111  54.61481372 -005.87777035
111  54.61513366 -005.87866356
113  54.61612552 -005.88143266
110 1 0.00 0.0000 New Taxiway 12
111  54.61644017 -005.88082078
111  54.61469568 -005.87744078
111  54.61481372 -005.87777035
111  54.61436421 -005.87830127
111  54.61327738 -005.87528879
111  54.61388875 -005.87445950
111  54.61506728 -005.87674304
111  54.61550400 -005.87758925
111  54.61680516 -005.88011041
113  54.61677936 -005.88021432
110 2 0.00 0.0000 New Taxiway 11
111  54.61714031 -005.87420086
111  54.61712802 -005.87450653
111  54.61749362 -005.87541786
111  54.61764952 -005.87580648
111  54.61798255 -005.87540794
111  54.61836717 -005.87636694
111  54.61789661 -005.87693006
111  54.61735601 -005.87558245
111  54.61698418 -005.87465558
113  54.61681987 -005.87458432
110 1 0.00 0.0000 New Taxiway 10
111  54.61921441 -005.87400541
112  54.61913545 -005.87396072  54.61907291 -005.87395520
111  54.61904903 -005.87401695
111  54.61901305 -005.87376065
112  54.61911271 -005.87374932  54.61915791 -005.87371699
113  54.61917013 -005.87367023
110 2 0.00 0.0000 New Taxiway 9
111  54.61428944 -005.88031126
112  54.61415731 -005.88031126  54.61409281 -005.88019826
111  54.61415731 -005.88008307
114  54.61428944 -005.88008307  54.61435441 -005.88019746
110 1 0.00 0.0000 New Taxiway 8
112  54.61900407 -005.87218746  54.61901558 -005.87229540
111  54.61900407 -005.87218746
112  54.61900407 -005.87218746  54.61901701 -005.87229641
112  54.61914865 -005.87267786  54.61919022 -005.87283039
111  54.61921898 -005.87316376
111  54.61933100 -005.87411081
112  54.61933100 -005.87411081  54.61934254 -005.87420841
112  54.61945474 -005.87420440  54.61951125 -005.87418866
111  54.61945474 -005.87420440
111  54.61961495 -005.87415806
111  54.62000747 -005.87396010
111  54.62001268 -005.87401634
111  54.61965532 -005.87419630
112  54.61963733 -005.87423847  54.61963110 -005.87427109
111  54.61963969 -005.87428853
111  54.61982074 -005.87449774
111  54.61984289 -005.87457198
111  54.61976083 -005.87465746
111  54.61972045 -005.87455173
111  54.61971524 -005.87445725
111  54.61961885 -005.87434702
112  54.61957872 -005.87430596  54.61956843 -005.87429708
111  54.61956154 -005.87429978
111  54.61947297 -005.87432453
111  54.61940654 -005.87446850
112  54.61947583 -005.87487297  54.61949602 -005.87500359
111  54.61947583 -005.87487297
112  54.61947583 -005.87487297  54.61949546 -005.87500359
111  54.61947105 -005.87504589
111  54.61836717 -005.87636694
111  54.61789661 -005.87693006
111  54.61551170 -005.87978414
111  54.61549214 -005.87974006
111  54.61935740 -005.87511441
112  54.61935740 -005.87511441  54.61938278 -005.87508361
