A
1000 Generated by WorldEditor

1    620 1 0 KMDW Chicago Midway Intl
111  41.79123860 -087.75041510 53 102
112  41.79119456 -087.74979044  41.79118553 -087.74975008
111  41.79119456 -087.74979044
112  41.79119456 -087.74979044  41.79112233 -087.74938679 53 102
111  41.79084405 -087.74956044
111  41.79146365 -087.74876612 53 102
111  41.79145453 -087.74962963
111  41.79143422 -087.75122918 53 102
111  41.79141809 -087.75322655
111  41.79138164 -087.75556063 53 102
112  41.79138164 -087.75601903  41.79138465 -087.75605133
111  41.79138164 -087.75601903
112  41.79138164 -087.75601903  41.79138465 -087.75617646 53 102
113  41.79144785 -087.75632581
112  41.79109918 -087.75149126  41.79099895 -087.75150348 53 102
111  41.79097161 -087.75162568 53 102
111  41.79096250 -087.75316544 53 102
112  41.79108095 -087.75329987  41.79118118 -087.75328765
111  41.79108095 -087.75329987
112  41.79108095 -087.75329987  41.79119029 -087.75328765 53 102
111  41.79121763 -087.75316544 53 102
113  41.79122674 -087.75161346 53 102
110 2 0.25 89.0000 New Taxiway 4
111  41.79077169 -087.75954707 53 102
112  41.79107290 -087.75960215  41.79115505 -087.75951034
111  41.79107290 -087.75960215
112  41.79107290 -087.75960215  41.79114821 -087.75951952 53 102
111  41.79112767 -087.75934507 53 102
112  41.79103867 -087.75871156  41.79094283 -087.75850956
111  41.79103867 -087.75871156
112  41.79103867 -087.75871156  41.79092914 -087.75840857 53 102
111  41.79068269 -087.75824330 53 102
112  41.79003919 -087.75798622  41.79002320 -087.75798622
111  41.79003919 -087.75798622
112  41.79003919 -087.75798622  41.78979393 -087.75800053 53 102
111  41.78992966 -087.75837184
111  41.78875218 -087.75671919 53 102
112  41.78992966 -087.75771078  41.79055347 -087.75803256
111  41.78992966 -087.75771078
112  41.78992966 -087.75771078  41.78997231 -087.75772508 53 102
112  41.79047133 -087.75793626  41.79053900 -087.75795462
111  41.79047133 -087.75793626
112  41.79047133 -087.75793626  41.79068295 -087.75800467 53 102
112  41.79108659 -087.75776587  41.79122351 -087.75763733
111  41.79108659 -087.75776587
112  41.79108659 -087.75776587  41.79116874 -087.75768324 53 102
111  41.79116190 -087.75759142 53 102
111  41.79108659 -087.75659065
111  41.79152472 -087.75722417 53 102
112  41.79134673 -087.75747206  41.79136042 -087.75771996
111  41.79134673 -087.75747206
112  41.79134673 -087.75747206  41.79136042 -087.75765569 53 102
111  41.79147680 -087.75860138 53 102
111  41.79153841 -087.75875746 53 102
111  41.79177802 -087.75928999 53 102
112  41.79192178 -087.75936344  41.79201762 -087.75932671 53 102
111  41.79202446 -087.75917063 53 102
112  41.79204675 -087.75810798  41.79204675 -087.75806500
111  41.79204675 -087.75810798
112  41.79204675 -087.75810798  41.79204675 -087.75797903 53 102
111  41.79198091 -087.75784048
111  41.79217507 -087.75811476
111  41.79223668 -087.75803213 53 102
111  41.79219561 -087.76023567 53 102
113  41.79171640 -087.76088755
110 2 0.25 89.0000 New Taxiway 1
111  41.78496596 -087.74799876 51 102
112  41.78479003 -087.74793390  41.78472277 -087.74793390
111  41.78479003 -087.74793390
112  41.78479003 -087.74793390  41.78476270 -087.74793390 51 102
112  41.78289760 -087.74790101  41.78284083 -087.74790732
111  41.78289760 -087.74790101
112  41.78289760 -087.74790101  41.78268541 -087.74795459 51 102
111  41.78282339 -087.74837744
111  41.78163395 -087.74671893 53 102
112  41.78194087 -087.74663023  41.78199554 -087.74643474
111  41.78194087 -087.74663023
112  41.78194087 -087.74663023  41.78199554 -087.74649583 53 102
111  41.78197731 -087.74622701 53 102
111  41.78189531 -087.74576269 53 102
111  41.78183153 -087.74555496 53 102
111  41.78155817 -087.74506621 53 102
111  41.78109347 -087.74454079 53 102
111  41.78096591 -087.74445526 53 102
112  41.78049210 -087.74440641  41.78036454 -087.74441862
111  41.78049210 -087.74440641
112  41.78049210 -087.74440641  41.78024608 -087.74441862 53 102
111  41.78032809 -087.74490737
111  41.77938958 -087.74358776 53 102
112  41.77979050 -087.74302570  41.77984517 -087.74292796
111  41.77979050 -087.74302570
112  41.77979050 -087.74302570  41.77989984 -087.74287908 53 102
111  41.78003651 -087.74287908 53 102
111  41.78259691 -087.74298905 53 102
111  41.78259691 -087.74341670 53 102
111  41.78271536 -087.74355110 53 102
111  41.78293404 -087.74358776
111  41.78348600 -087.74446360 53 102
112  41.78327137 -087.74449177  41.78318138 -087.74461601
111  41.78327137 -087.74449177
112  41.78327137 -087.74449177  41.78317747 -087.74463627 53 102
111  41.78327852 -087.74483811
111  41.78274456 -087.74408997
111  41.78245205 -087.74446999 53 102
112  41.78226436 -087.74461288  41.78220437 -087.74470065 53 102
111  41.78220511 -087.74488293 53 102
111  41.78227800 -087.74548164 53 102
111  41.78237823 -087.74570158 51 102
111  41.78290671 -087.74663019 51 102
111  41.78360771 -087.74743662 51 102
111  41.78376321 -087.74753437 51 102
112  41.78423702 -087.74757102  41.78437369 -087.74757102
111  41.78423702 -087.74757102
112  41.78423702 -087.74757102  41.78448304 -087.74757102 51 102
113  41.78433725 -087.74709450
112  41.78312539 -087.74727778  41.78308894 -087.74721668 51 102
111  41.78256046 -087.74645913 51 102
112  41.78225978 -087.74638582  41.78215043 -087.74645913 53 102
111  41.78217777 -087.74663019 53 102
112  41.78225066 -087.74708228  41.78227800 -087.74719225
111  41.78225066 -087.74708228
112  41.78225066 -087.74708228  41.78231445 -087.74729000 53 102
111  41.78257869 -087.74752215 51 102
114  41.78303427 -087.74757102  41.78310717 -087.74749771 51 102
112  41.78191353 -087.74499290  41.78198642 -087.74489515 53 102
111  41.78193175 -087.74482184 53 102
111  41.78184064 -087.74455303 53 102
112  41.78166751 -087.74449194  41.78159462 -087.74452859 53 102
112  41.78157640 -087.74471187  41.78159462 -087.74478518 53 102
113  41.78179508 -087.74499290 53 102
110 2 0.25 43.7000 New Taxiway 9
111  41.79156401 -087.74323651 53 102
112  41.79145821 -087.74287760  41.79129944 -087.74278640
111  41.79145821 -087.74287760
112  41.79145821 -087.74287760  41.79125284 -087.74276074 53 102
111  41.79112215 -087.74293602 51 102
112  41.79091055 -087.74317811  41.79086076 -087.74325323 51 102
111  41.79092300 -087.74337843 51 102
112  41.79109103 -087.74363718  41.79110020 -087.74364845
111  41.79109103 -087.74363718
112  41.79109103 -087.74363718  41.79113384 -087.74368537 51 102
111  41.79120566 -087.74368623
111  41.79077638 -087.74422753 51 102
112  41.79071762 -087.74363718  41.79058693 -087.74352032
111  41.79071762 -087.74363718
112  41.79071762 -087.74363718  41.79062427 -087.74356205 51 102
111  41.79051847 -087.74359544 51 102
111  41.79025086 -087.74399608 51 102
112  41.79029443 -087.74443010  41.79040023 -087.74467216
111  41.79029443 -087.74443010
112  41.79029443 -087.74443010  41.79035666 -087.74455530 51 102
111  41.79047491 -087.74460538
111  41.79019485 -087.74494759 51 102
112  41.79009528 -087.74456365  41.78991480 -087.74445514
111  41.79009528 -087.74456365
112  41.79009528 -087.74456365  41.78995836 -087.74448018 51 102
111  41.78967209 -087.74463042 51 102
111  41.78754990 -087.74735136 51 102
112  41.78766192 -087.74773529  41.78791085 -087.74781041
111  41.78766192 -087.74773529
112  41.78766192 -087.74773529  41.78778016 -087.74777702 51 102
111  41.78803532 -087.74771025
111  41.78760127 -087.74825739 51 102
112  41.78756402 -087.74804940  41.78747067 -087.74804106
111  41.78756402 -087.74804940
112  41.78756402 -087.74804940  41.78750179 -087.74804106 51 102
111  41.78697330 -087.74803576 51 102
112  41.78669729 -087.74826106  41.78659054 -087.74827324
111  41.78669729 -087.74826106
112  41.78669729 -087.74826106  41.78651992 -087.74825552 51 102
111  41.78634878 -087.74840294 51 102
112  41.78623053 -087.74856152  41.78619325 -087.74864209
111  41.78623053 -087.74856152
112  41.78623053 -087.74856152  41.78616207 -087.74870340 51 102
111  41.78629276 -087.74907063
111  41.78517877 -087.74750991 53 102
112  41.78544015 -087.74750991  41.78552106 -087.74736803 53 102
111  41.78545260 -087.74720945 53 102
111  41.78348600 -087.74446360
111  41.78293404 -087.74358776 51 102
111  41.78318105 -087.74358728 51 102
112  41.78339887 -087.74347878  41.78346733 -087.74337863 51 102
111  41.78352334 -087.74327848 51 102
111  41.78332419 -087.74295299 51 102
111  41.78316238 -087.74283614 51 102
111  41.78297568 -087.74281111 51 102
111  41.78291967 -087.74272765
111  41.78306903 -087.74261080
111  41.78407722 -087.74190975
111  41.78448175 -087.74175950
111  41.78629712 -087.74175112
111  41.78565484 -087.74261799
111  41.78558219 -087.74253140
111  41.78481159 -087.74349548
111  41.78496095 -087.74370413
111  41.78632388 -087.74196812
111  41.78722091 -087.74198897
111  41.78721417 -087.74187728
111  41.78760957 -087.74188770
111  41.78825937 -087.74273596
111  41.78826559 -087.74349549
111  41.78842118 -087.74349549
111  41.78844607 -087.74243549
111  41.78881050 -087.74193064
111  41.78959954 -087.74195528
111  41.78960167 -087.74185954
111  41.79132752 -087.74190127
111  41.79160936 -087.74185954 51 102
111  41.79160757 -087.74256067 53 102
111  41.79170092 -087.74261910 53 102
113  41.79185029 -087.74286115
112  41.78604580 -087.74830893  41.78610191 -087.74815217
111  41.78604580 -087.74830893
112  41.78604580 -087.74830893  41.78607386 -087.74822742 51 102
111  41.78607346 -087.74808985 51 102
111  41.78595874 -087.74796677 51 102
112  41.78573750 -087.74796457  41.78568139 -087.74802101 51 102
111  41.78570829 -087.74810743 51 102
111  41.78573634 -087.74821539 51 102
113  41.78587053 -087.74840162 51 102
111  41.78656980 -087.74595765
111  41.78838386 -087.74365413
111  41.78820727 -087.74358443
113  41.78643727 -087.74576880
110 1 0.25 90.0000 Twy K section
111  41.78178852 -087.75801915 1 102
112  41.78182889 -087.75670579  41.78182786 -087.75667659
111  41.78182889 -087.75670579
112  41.78182889 -087.75670579  41.78182520 -087.75651154 1 102
111  41.78164603 -087.75653279
111  41.78202846 -087.75605576 1 102
112  41.78195479 -087.75651244  41.78195096 -087.75665599
111  41.78195479 -087.75651244
112  41.78195479 -087.75651244  41.78195670 -087.75652782 1 102
113  41.78192734 -087.75803499
110 1 0.25 90.0000 Twy K section
111  41.78184541 -087.75373694 1 102
112  41.78188668 -087.75345747  41.78188668 -087.75331794
111  41.78188668 -087.75345747
112  41.78188668 -087.75345747  41.78188668 -087.75344465 1 102
112  41.78191656 -087.75143277  41.78191274 -087.75141482
111  41.78191656 -087.75143277
112  41.78191656 -087.75143277  41.78191847 -087.75136612 1 102
111  41.78189323 -087.75128604
111  41.78212453 -087.75160467 1 102
112  41.78202847 -087.75174608  41.78202464 -087.75188964
111  41.78202847 -087.75174608
112  41.78202847 -087.75174608  41.78203038 -087.75176146 1 102
112  41.78202126 -087.75310177  41.78202126 -087.75311972
111  41.78202126 -087.75310177
112  41.78202126 -087.75310177  41.78202273 -087.75333982 1 102
113  41.78220532 -087.75328365
110 1 0.25 90.0000 Twy K section
111  41.78186868 -087.75104159 1 102
