A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       52 1 0 EDHF Hungriger Wolf
100   29.87   2   0 0.00 0 1 0 03   53.99248645  009.57679250    0.00    0.00 0  0 0 0 21   53.99651355  009.58020799    0.00    0.00 2  0 0 0
100   29.87   3   0 0.00 0 1 0 02   53.98801341  009.57300352    0.00    0.00 0  0 0 0 20   53.99204018  009.57641886    0.00    0.00 0  0 0 0
100   29.87   3   0 0.00 0 1 1 09   53.99127735  009.56725849    0.00    0.00 0  0 0 0 27   53.99122175  009.57809557    0.00    0.00 0  0 0 0
102 H    53.99319287  009.57526506  25.99   49.99   49.99   2 0   0 0.00 1
110   2 0.00  23.50 Apron W
113  53.98952291  009.57868830 
110   2 0.00   0.00 Apron NE N
111  53.99733318  009.57048718 
111  53.99734067  009.57068076 
111  53.99737133  009.57088857 
111  53.99735227  009.57103214 
111  53.99726788  009.57121044 
111  53.99737133  009.57134706 
111  53.99742776  009.57123603 
111  53.99812052  009.57111553 
112  53.99812052  009.57111553  53.99813633  009.57111237 
112  53.99815857  009.57121108  53.99816229  009.57127908 
111  53.99815857  009.57121108 
111  53.99816949  009.57140800 
111  53.99824916  009.57139600 
111  53.99816582  009.56972244 
111  53.99729257  009.56987655 
111  53.99729257  009.56992586 
111  53.99669108  009.57004297 
113  53.99654977  009.57064385 
110   2 0.00 353.50 Apron NE S
111  53.99551056  009.57029098 
111  53.99536836  009.57088017 
111  53.99634565  009.57068468 
113  53.99612145  009.57015344 
110   2 0.00  70.50 Apron Mid
111  53.99525350  009.57233075 
111  53.99500442  009.57281393 
111  53.99545210  009.57497886 
113  53.99583228  009.57509073 
110   2 0.00  26.50 Small pad
111  53.99227813  009.57991289 
112  53.99215116  009.58035953  53.99215116  009.58036111 
111  53.99211491  009.58036744 
111  53.99207493  009.58050660 
111  53.99215395  009.58057460 
111  53.99219393  009.58044334 
111  53.99218184  009.58037534 
113  53.99230971  009.57994053 
110   2 0.00  26.50 Helipad 2
111  53.99288606  009.57890421 
111  53.99279277  009.57921540 
111  53.99280743  009.57929334 
111  53.99299190  009.57945302 
111  53.99303143  009.57943622 
111  53.99312201  009.57912245 
111  53.99310554  009.57905241 
113  53.99292766  009.57889272 
110   2 0.00  26.50 Apron S
111  53.98948397  009.57720709 
111  53.98946572  009.57655520 
111  53.98840768  009.57567085 
113  53.98809295  009.57603713 
110   2 0.00  72.00 Apron N
112  53.99629551  009.57626974  53.99626197  009.57631902 
111  53.99629551  009.57626974 
111  53.99655666  009.57668336 
111  53.99725693  009.57628628 
111  53.99731032  009.57584742 
111  53.99783253  009.57555470 
112  53.99783253  009.57555470  53.99787077  009.57553450 
112  53.99795454  009.57563650  53.99797170  009.57572501 
111  53.99795454  009.57563650 
111  53.99798165  009.57578679 
111  53.99805799  009.57574480 
111  53.99775715  009.57414154 
111  53.99721979  009.57442269 
111  53.99723040  009.57448135 
111  53.99668112  009.57476343 
111  53.99690343  009.57589705 
113  53.99637196  009.57619754 
110   3 0.00   0.00 Grass Apron SE
111  53.98974821  009.58019528 
111  53.98771174  009.57946433 
111  53.98769991  009.57975222 
111  53.98811550  009.58094960 
111  53.98876380  009.58117916 
111  53.98898042  009.58112590 
111  53.98919501  009.58118403 
111  53.98920491  009.58109247 
111  53.98927008  009.58110535 
111  53.98930563  009.58090273 
111  53.98933093  009.58091594 
111  53.98929893  009.58130162 
111  53.98934103  009.58156876 
111  53.98944969  009.58159911 
112  53.98944969  009.58159911  53.98951770  009.58070459 
112  53.99011238  009.58046355  53.99034893  009.58052359 
111  53.99011238  009.58046355 
113  53.99012651  009.58036747 
110   3 0.00   0.00 New Taxiway 7
112  53.98947987  009.57740059  53.98944149  009.57736650 
111  53.98947987  009.57740059 
111  53.98879991  009.57683890 
112  53.98879991  009.57683890  53.98869916  009.57682597 
112  53.98861380  009.57707173  53.98860385  009.57724525 
111  53.98861380  009.57707173 
111  53.98857241  009.57821077 
111  53.98933764  009.57848426 
111  53.98941995  009.57840608 
111  53.98946042  009.57830438 
111  53.98952446  009.57781248 
114  53.98952446  009.57781248  53.98956118  009.57752324 
110   1 0.00   0.00 Main Taxiway
111  53.98803653  009.57620852 
111  53.98947991  009.57740034 
112  53.98947991  009.57740034  53.98954499  009.57745410 
112  53.98952483  009.57781290  53.98949973  009.57800739 
111  53.98952483  009.57781290 
111  53.98946045  009.57830440 
111  53.98942002  009.57840627 
111  53.98933739  009.57848472 
111  53.98953980  009.57855652 
111  53.98962515  009.57788166 
112  53.98962515  009.57788166  53.98964315  009.57776663 
112  53.98983173  009.57770682  53.98990601  009.57777153 
111  53.98983173  009.57770682 
111  53.99225289  009.57975096 
112  53.99225289  009.57975096  53.99229119  009.57978366 
112  53.99227815  009.57991285  53.99226885  009.57994592 
111  53.99227815  009.57991285 
111  53.99230979  009.57994043 
112  53.99230979  009.57994043  53.99231908  009.57990737 
112  53.99241160  009.57987831  53.99244203  009.57989987 
111  53.99241160  009.57987831 
111  53.99499891  009.58207375 
112  53.99499891  009.58207375  53.99550661  009.58248571 
112  53.99649328  009.58114656  53.99680256  009.58046161 
111  53.99649328  009.58114656 
111  53.99659951  009.58088938 
111  53.99688100  009.57995968 
112  53.99688100  009.57995968  53.99690462  009.57988201 
112  53.99689897  009.57960054  53.99687129  009.57945153 
111  53.99689897  009.57960054 
111  53.99624615  009.57651347 
112  53.99624615  009.57651347  53.99622070  009.57637593 
112  53.99637193  009.57619763  53.99646027  009.57614669 
111  53.99637193  009.57619763 
111  53.99690346  009.57589708 
111  53.99686753  009.57571115 
111  53.99633749  009.57601934 
112  53.99633749  009.57601934  53.99624765  009.57606519 
112  53.99610840  009.57588180  53.99607247  009.57571369 
111  53.99610840  009.57588180 
111  53.99516062  009.57136845 
112  53.99516062  009.57136845  53.99514630  009.57129191 
112  53.99528939  009.57108828  53.99537120  009.57107088 
111  53.99528939  009.57108828 
111  53.99734067  009.57068076 
111  53.99733318  009.57048718 
111  53.99521901  009.57090997 
112  53.99521901  009.57090997  53.99515524  009.57091675 
112  53.99502886  009.57073678  53.99499498  009.57057745 
111  53.99502886  009.57073678 
112  53.99502886  009.57073678  53.99495911  009.57035710 
112  53.99465753  009.56954990  53.99441639  009.56919395 
111  53.99465753  009.56954990 
112  53.99465753  009.56954990  53.99459034  009.56947272 
112  53.99461711  009.56921880  53.99463358  009.56914239 
111  53.99461711  009.56921880 
111  53.99472192  009.56878073 
111  53.99462908  009.56871196 
111  53.99451978  009.56914239 
112  53.99451978  009.56914239  53.99448235  009.56926464 
112  53.99434460  009.56927483  53.99427423  009.56923153 
111  53.99434460  009.56927483 
111  53.99338184  009.56864064 
112  53.99338184  009.56864064  53.99286378  009.56827899 
112  53.99211065  009.57013562  53.99207022  009.57121548 
111  53.99211065  009.57013562 
111  53.99207920  009.57899842 
112  53.99207920  009.57899842  53.99207805  009.57916731 
112  53.99186509  009.57920980  53.99179120  009.57914401 
111  53.99186509  009.57920980 
113  53.98809295  009.57603713 
111  53.99657378  009.58000248 
111  53.99645332  009.58041350 
112  53.99651781  009.58074370  53.99646188  009.58096524 
111  53.99651781  009.58074370 
112  53.99651781  009.58074370  53.99628286  009.58152028 
112  53.99505539  009.58190525  53.99454478  009.58150322 
111  53.99505539  009.58190525 
111  53.99229480  009.57956879 
112  53.99229480  009.57956879  53.99223142  009.57951703 
112  53.99219244  009.57929708  53.99219074  009.57917200 
111  53.99219244  009.57929708 
111  53.99219019  009.57902536 
112  53.99219019  009.57902536  53.99219610  009.57890748 
112  53.99239830  009.57880340  53.99250226  009.57888391 
111  53.99239830  009.57880340 
111  53.99278640  009.57912678 
111  53.99280215  009.57918418 
111  53.99287302  009.57894882 
111  53.99283252  009.57895265 
111  53.99230943  009.57851446 
112  53.99230943  009.57851446  53.99224266  009.57845696 
112  53.99219469  009.57815090  53.99219553  009.57797551 
111  53.99219469  009.57815090 
111  53.99219356  009.57723434 
112  53.99219356  009.57723434  53.99219499  009.57712460 
112  53.99242626  009.57699803  53.99256891  009.57711753 
111  53.99242626  009.57699803 
111  53.99254668  009.57658701 
111  53.99229030  009.57636563 
112  53.99229030  009.57636563  53.99223718  009.57631815 
112  53.99220031  009.57612070  53.99220104  009.57602242 
111  53.99220031  009.57612070 
111  53.99220105  009.57493243 
112  53.99220105  009.57493243  53.99220405  009.57475415 
112  53.99242192  009.57471622  53.99250427  009.57477989 
111  53.99242192  009.57471622 
111  53.99285883  009.57508019 
112  53.99285883  009.57508019  53.99290811  009.57512131 
112  53.99291294  009.57536885  53.99289806  009.57542736 
111  53.99291294  009.57536885 
111  53.99306357  009.57484299 
112  53.99306357  009.57484299  53.99303939  009.57491732 
112  53.99291024  009.57490632  53.99286189  009.57486837 
111  53.99291024  009.57490632 
111  53.99233755  009.57444259 
112  53.99233755  009.57444259  53.99225071  009.57436619 
112  53.99220368  009.57413452  53.99220219  009.57399444 
111  53.99220368  009.57413452 
111  53.99221718  009.57015832 
112  53.99221718  009.57015832  53.99222766  009.56948595 
112  53.99335224  009.56879974  53.99400506  009.56910791 
111  53.99335224  009.56879974 
111  53.99430281  009.56943885 
112  53.99430281  009.56943885  53.99460525  009.56967728 
112  53.99486415  009.57047409  53.99497903  009.57104955 
111  53.99486415  009.57047409 
111  53.99679117  009.57966334 
112  53.99679454  009.57983365  53.99677461  009.57989837 
111  53.99679454  009.57983365 
111  53.99676754  009.57992934 
114  53.99676754  009.57992934  53.99671138  009.58010809 
110   3 0.00   0.00 grass taxiway
111  53.99071267  009.57845054 
112  53.99071267  009.57845054  53.99074131  009.57848024   1 
112  53.99070414  009.57856910  53.99066992  009.57861544 
111  53.99070414  009.57856910   1 
111  53.98964182  009.58006502 
111  53.98976040  009.58011264   1 
111  53.99081449  009.57865594 
112  53.99081449  009.57865594  53.99084104  009.57861911   1 
112  53.99091518  009.57862156  53.99094592  009.57863819 
113  53.99091518  009.57862156 
110   2 0.00   0.00 Old Shelters Mid E
112  53.99565098  009.57622303  53.99553184  009.57611044 
111  53.99565098  009.57622303 
112  53.99548550  009.57591003  53.99539416  009.57563080 
111  53.99548550  009.57591003 
112  53.99548550  009.57591003  53.99542196  009.57568484 
111  53.99537034  009.57550018 
112  53.99537034  009.57550018  53.99533989  009.57537858 
111  53.99537166  009.57527049 
111  53.99540211  009.57513763 
111  53.99535710  009.57510386 
111  53.99531474  009.57527049 
112  53.99525914  009.57530202  53.99523266  009.57529751 
112  53.99514000  009.57513088  53.99510558  009.57509034 
111  53.99500630  009.57501378 
112  53.99498247  009.57491695  53.99499041  009.57484489 
111  53.99498247  009.57491695 
111  53.99503145  009.57464448 
111  53.99507778  009.57465799 
111  53.99512146  009.57439002 
111  53.99497850  009.57433372 
111  53.99493878  009.57460620 
111  53.99497850  009.57462421 
111  53.99493216  009.57490794 
112  53.99493216  009.57490794  53.99492290  009.57498901 
112  53.99475742  009.57493947  53.99470315  009.57493496 
112  53.99455886  009.57487191  53.99453635  009.57484489 
111  53.99448340  009.57474131 
111  53.99451120  009.57468276 
111  53.99439736  009.57450262 
111  53.99429940  009.57467601 
111  53.99441721  009.57486516 
111  53.99445163  009.57480661 
111  53.99449399  009.57488768 
112  53.99449796  009.57495523  53.99448737  009.57498676 
112  53.99435102  009.57529075  53.99430866  009.57534479 
111  53.99428351  009.57532678 
111  53.99395654  009.57530876 
111  53.99395521  009.57522545 
111  53.99379504  009.57521644 
111  53.99378974  009.57545513 
111  53.99394595  009.57546639 
111  53.99395257  009.57539433 
111  53.99425836  009.57541235 
112  53.99425836  009.57541235  53.99428748  009.57542136 
112  53.99433838  009.57551439  53.99437280  009.57559095 
112  53.99435243  009.57568173  53.99434184  009.57573352 
111  53.99435243  009.57568173 
111  53.99430553  009.57585218 
111  53.99434817  009.57588845 
111  53.99437853  009.57579503 
112  53.99443771  009.57576152  53.99448536  009.57578629 
111  53.99443771  009.57576152 
112  53.99460187  009.57591746  53.99464291  009.57594448 
111  53.99469354  009.57595373 
111  53.99467649  009.57610605 
111  53.99471486  009.57612055 
112  53.99480441  009.57597911  53.99485603  009.57595434 
111  53.99480441  009.57597911 
111  53.99506664  009.57604077 
112  53.99510075  009.57617132  53.99507030  009.57628617 
111  53.99510075  009.57617132 
111  53.99508796  009.57626199 
111  53.99503679  009.57624023 
111  53.99500268  009.57650497 
111  53.99514126  009.57655212 
111  53.99517750  009.57630551 
111  53.99513699  009.57628738 
112  53.99530542  009.57610242  53.99545765  009.57614971 
111  53.99530542  009.57610242 
112  53.99530542  009.57610242  53.99538220  009.57610692 
112  53.99562948  009.57629826  53.99556329  009.57624871 
111  53.99601749  009.57660652 
113  53.99601110  009.57651948 
112  53.99540740  009.57584247  53.99541667  009.57595056 
112  53.99533062  009.57601811  53.99530812  009.57602037 
112  53.99493878  009.57591228  53.99485671  009.57585373 
111  53.99493878  009.57591228 
112  53.99493878  009.57591228  53.99490966  009.57586949 
111  53.99486068  009.57557675 
111  53.99489907  009.57554522 
111  53.99484744  009.57529526 
111  53.99471506  009.57537183 
111  53.99476537  009.57562854 
111  53.99481435  009.57560602 
111  53.99485671  009.57581995 
112  53.99479979  009.57589201  53.99472301  009.57590101 
111  53.99479979  009.57589201 
112  53.99464226  009.57584021  53.99457871  009.57581770 
111  53.99446619  009.57568484 
112  53.99441059  009.57533805  53.99447149  009.57515115 
111  53.99441059  009.57533805 
112  53.99447016  009.57516916  53.99450855  009.57509260 
112  53.99465549  009.57501153  53.99476140  009.57499802 
111  53.99465549  009.57501153 
112  53.99465549  009.57501153  53.99472301  009.57501379 
112  53.99520619  009.57532679  53.99539019  009.57566457 
111  53.99520619  009.57532679 
114  53.99520619  009.57532679  53.99529223  009.57546641 
110   1 0.00   0.00 Old Shelters Mid W
111  53.99482657  009.57065885 
111  53.99452188  009.57037588 
111  53.99448729  009.57023860 
111  53.99449717  009.56980435 
111  53.99444282  009.56980715 
111  53.99443294  009.57007891 
111  53.99436212  009.57017136 
111  53.99412330  009.56991080 
111  53.99408048  009.56975952 
111  53.99408212  009.56950177 
111  53.99402612  009.56950177 
111  53.99402942  009.56971750 
111  53.99394872  009.56978753 
111  53.99370496  009.56967827 
111  53.99363908  009.56952139 
111  53.99363084  009.56926924 
111  53.99357814  009.56926364 
111  53.99358637  009.56956901 
111  53.99353531  009.56963345 
111  53.99336732  009.56960823 
111  53.99327509  009.56952979 
111  53.99321415  009.56931967 
111  53.99325203  009.56928605 
111  53.99317956  009.56905072 
111  53.99305768  009.56915718 
111  53.99312850  009.56940092 
111  53.99317462  009.56936450 
111  53.99322073  009.56954380 
111  53.99315321  009.56965586 
111  53.99289627  009.56969788 
111  53.99288968  009.56962504 
111  53.99272992  009.56966146 
111  53.99273816  009.56990240 
111  53.99290121  009.56987719 
111  53.99289957  009.56979034 
111  53.99314497  009.56975111 
111  53.99325532  009.56989960 
111  53.99319438  009.57020497 
111  53.99315321  009.57018816 
111  53.99310874  009.57043470 
111  53.99323885  009.57050194 
111  53.99328991  009.57024979 
111  53.99324544  009.57022458 
111  53.99333108  009.56979314 
111  53.99338873  009.56971750 
111  53.99355508  009.56972870 
111  53.99362919  009.56974551 
111  53.99372637  009.56978193 
111  53.99376260  009.56987999 
111  53.99373296  009.57000326 
111  53.99368684  009.56996684 
111  53.99361931  009.57021058 
111  53.99375107  009.57031985 
111  53.99381695  009.57006770 
111  53.99377743  009.57003408 
111  53.99381531  009.56990240 
111  53.99387460  009.56983236 
111  53.99400142  009.56992202 
111  53.99411342  009.57001727 
111  53.99425012  009.57016856 
111  53.99424847  009.57029743 
111  53.99418753  009.57044592 
111  53.99414965  009.57040390 
111  53.99405742  009.57062803 
111  53.99417436  009.57076531 
111  53.99426824  009.57054678 
111  53.99423365  009.57049915 
111  53.99428965  009.57033946 
111  53.99437529  009.57030864 
111  53.99469481  009.57065604 
113  53.99484963  009.57078772 
110   3 0.00   0.00 taxiway to 09-27 from E
111  53.99108677  009.57809356 
111  53.99108418  009.57844736 
112  53.99108418  009.57844736  53.99108389  009.57853881 
112  53.99098455  009.57846920  53.99098122  009.57846654 
111  53.99098455  009.57846920 
111  53.99140379  009.57882196 
112  53.99140379  009.57882196  53.99139537  009.57881432 
112  53.99135654  009.57869955  53.99135564  009.57862419 
111  53.99135654  009.57869955 
113  53.99135671  009.57809754 
110   3 0.00   0.00 small grass patch between runways
111  53.99208939  009.57620403 
111  53.99197059  009.57661614 
113  53.99208731  009.57671391 
110   3 0.00   0.00 Taxiway to 09-27 from N
111  53.99210985  009.57036700 
111  53.99147403  009.57016171 
112  53.99147403  009.57016171  53.99140696  009.57012547 
111  53.99138531  009.56997556 
111  53.99138160  009.57057765 
112  53.99146881  009.57037427  53.99153352  009.57039575 
111  53.99146881  009.57037427 
111  53.99204967  009.57055497 
112  53.99204967  009.57055497  53.99210244  009.57056969 
113  53.99210818  009.57083599 
110   1 0.00   0.00 Street
111  53.99066386  009.58061745 
111  53.99067434  009.58053813 
111  53.98976093  009.58011258 
111  53.98776864  009.57937182 
112  53.98776864  009.57937182  53.98771754  009.57935084 
112  53.98770377  009.57925474  53.98770025  009.57919181 
111  53.98770377  009.57925474 
111  53.98801446  009.57018724 
112  53.98801446  009.57018724  53.98802247  009.56995840 
111  53.98808950  009.56986815 
111  53.98991873  009.56749887 
112  53.98991873  009.56749887  53.99026356  009.56706077 
112  53.99148061  009.56653355  53.99222843  009.56646289 
111  53.99148061  009.56653355 
111  53.99368271  009.56640986 
112  53.99368271  009.56640986  53.99384007  009.56640548 
112  53.99425845  009.56656064  53.99447646  009.56668157 
111  53.99425845  009.56656064 
111  53.99539468  009.56737922 
112  53.99539468  009.56737922  53.99573385  009.56773199 
111  53.99592234  009.56828477 
112  53.99648283  009.57065443  53.99678712  009.57241500 
111  53.99648283  009.57065443 
111  53.99653045  009.57064714 
112  53.99653045  009.57064714  53.99633664  009.56955585 
112  53.99607196  009.56855028  53.99594405  009.56815135 
112  53.99541578  009.56728744  53.99515026  009.56706985 
111  53.99541578  009.56728744 
111  53.99428053  009.56649221 
112  53.99428053  009.56649221  53.99414639  009.56639129 
112  53.99356334  009.56632647  53.99321209  009.56635008 
111  53.99356334  009.56632647 
111  53.99148061  009.56644175 
112  53.99148061  009.56644175  53.99112596  009.56645473 
112  53.98988119  009.56742430  53.98934120  009.56822438 
111  53.98988119  009.56742430 
111  53.98734140  009.57068171 
111  53.98734140  009.57079738 
111  53.98787844  009.57011933 
112  53.98787844  009.57011933  53.98790247  009.57009754 
112  53.98796052  009.57019511  53.98795892  009.57027956 
111  53.98796052  009.57019511 
111  53.98764392  009.57922510 
112  53.98764392  009.57922510  53.98764269  009.57927532 
112  53.98761109  009.57930886  53.98759060  009.57929915 
111  53.98761109  009.57930886 
111  53.98735547  009.57921313 
111  53.98735547  009.57933678 
113  53.98974753  009.58019831 
110   1 0.00   0.00 Street2
111  53.98934053  009.58156890 
111  53.98929964  009.58130048 
111  53.98933048  009.58091614 
111  53.98930538  009.58090272 
111  53.98926951  009.58110526 
111  53.98920423  009.58109305 
111  53.98919418  009.58118456 
111  53.98898041  009.58112600 
111  53.98876305  009.58117968 
111  53.98811504  009.58094829 
111  53.98769893  009.57975150 
111  53.98771077  009.57946669 
111  53.98766679  009.57945230 
111  53.98765495  009.57976876 
111  53.98808798  009.58102020 
111  53.98858021  009.58118994 
111  53.98864110  009.58122446 
111  53.98864110  009.58126186 
111  53.98869184  009.58127337 
111  53.98869692  009.58121583 
111  53.98879503  009.58123597 
111  53.98885423  009.58139995 
111  53.98889641  009.58140519 
111  53.98891203  009.58130628 
111  53.98898842  009.58129446 
111  53.98914032  009.58134614 
111  53.98914553  009.58130332 
111  53.98924535  009.58127823 
111  53.98923493  009.58143324 
113  53.98923493  009.58153806 
130 Airport Boundary
111  53.99885940  009.56545344 
111  53.99425768  009.56485913 
111  53.99428538  009.56137507 
111  53.99196067  009.56124090 
111  53.99191333  009.56272532 
111  53.99032335  009.56459080 
111  53.98785004  009.56445073 
111  53.98732005  009.58188595 
111  53.98953817  009.58242005 
111  53.98993076  009.58145200 
111  53.99065705  009.58111819 
111  53.99810432  009.58452625 
113  53.99890362  009.58071762 
120 Hold 27 S
111  53.99074346  009.57826727   4 
115  53.99069406  009.57843462 
120 Hold 27 N
111  53.99165152  009.57924282   4 
115  53.99170270  009.57907484 
120 Hold 03 E
111  53.99208545  009.57730789   4 
115  53.99219297  009.57730821 
120 Hold 03 W
111  53.99219925  009.57576513   4 
115  53.99209091  009.57576462 
120 Hold 21 E
111  53.99645758  009.58091924   4 
115  53.99654546  009.58101684 
120 Hold 21 W
111  53.99689918  009.57960741   4 
115  53.99679321  009.57966993 
120 Linear Feature 8
111  53.99299029  009.57509746   1 
111  53.99244652  009.57463519 
112  53.99244652  009.57463519  53.99230776  009.57453752   1 
112  53.99214612  009.57493542  53.99214293  009.57516603 
111  53.99214612  009.57493542   1 
111  53.99214459  009.57619563 
112  53.99214459  009.57619563  53.99214459  009.57636024   1 
112  53.99239679  009.57671068  53.99246186  009.57675892 
111  53.99239679  009.57671068 
112  53.99239679  009.57671068  53.99232171  009.57666810   1 
112  53.99214134  009.57711272  53.99213466  009.57741640 
111  53.99214134  009.57711272   1 
111  53.99213672  009.57823511 
112  53.99213672  009.57823511  53.99213672  009.57851232   1 
112  53.99242265  009.57871514  53.99251610  009.57878686 
111  53.99242265  009.57871514 
112  53.99242265  009.57871514  53.99232920  009.57864342   1 
112  53.99213444  009.57902904  53.99213216  009.57928686 
111  53.99213444  009.57902904 
112  53.99213444  009.57902904  53.99213444  009.57915116   1 
112  53.99184959  009.57929888  53.99172195  009.57918838 
111  53.99184959  009.57929888   1 
111  53.98984853  009.57760977   1 
111  53.98950164  009.57732257   1 
115  53.98806752  009.57611773 
120 Linear Feature 9
111  53.99283664  009.57906548   1 
115  53.99242265  009.57871514 
120 Linear Feature 10
111  53.99213672  009.57823511   1 
111  53.99213421  009.57903005 
112  53.99213421  009.57903005  53.99213344  009.57940475   1 
112  53.99226545  009.57965507  53.99238921  009.57976232 
111  53.99226545  009.57965507   1 
111  53.99487594  009.58187019   1 
112  53.99587734  009.58187707  53.99636273  009.58136101 
111  53.99587734  009.58187707 
112  53.99587734  009.58187707  53.99599110  009.58175580   1 
112  53.99656378  009.58079867  53.99682013  009.58006584 
111  53.99656378  009.58079867 
112  53.99656378  009.58079867  53.99667451  009.58044515   1 
111  53.99661829  009.58028350   1 
112  53.99678384  009.58007401  53.99684148  009.57988306 
111  53.99678384  009.58007401   1 
115  53.99682220  009.57994350 
120 Linear Feature 11
112  53.98984853  009.57760977  53.98977845  009.57755469   1 
112  53.98957637  009.57783766  53.98954931  009.57804811 
111  53.98957637  009.57783766   1 
115  53.98931951  009.57994477 
120 Linear Feature 12
112  53.98950164  009.57732257  53.98960072  009.57741053   1 
116  53.98957637  009.57783766  53.98954303  009.57805798 
120 Linear Feature 13
111  53.99226545  009.57965507   1 
115  53.99184959  009.57929888 
120 Linear Feature 14
111  53.99678384  009.58007401   1 
115  53.99656378  009.58079867 
120 Linear Feature 18
111  53.99216147  009.57026388   1 
111  53.99214812  009.57416065 
112  53.99214812  009.57416065  53.99214926  009.57441847   1 
116  53.99244652  009.57463519  53.99251821  009.57468775 
120 Linear Feature 20
111  53.99214459  009.57619563   1 
115  53.99214134  009.57711272 
120 Linear Feature 19
111  53.99214612  009.57493542   1 
115  53.99214812  009.57416065 
120 Linear Feature 4
111  53.99218249  009.57033073   1 
115  53.99214061  009.57026727 
120 Linear Feature 3
111  53.99218417  009.57027376   1 
115  53.99213917  009.57033359 
120 Linear Feature 2
111  53.99681177  009.57989693   1 
115  53.99683278  009.57999163 
120 Linear Feature 1
111  53.99685589  009.57993266   1 
115  53.99679392  009.57995589 
14   53.98894765  009.58133125   82 0 New Tower Viewpoint 1
15   53.98929997  009.57671834 114.45 Concrete Ramp
15   53.98923448  009.58098131 283.07 Gass Ramp
15   53.99318323  009.57523506 203.42 Helipad
18   53.99388283  009.57285769 1 BCN
19   53.99054180  009.57305253 0 New Windsock 7
19   53.99620148  009.58070420 0 New Windsock 8
20   53.99205785  009.57576646  90.00  0 2 {@R}03-21
20   53.99138645  009.57873098 209.54  0 2 {@R}09-27
20   53.99147846  009.57011518 192.47  0 2 {@R}09-27
