I
1050 Generated by WorldEditor 2.1.0r1

1   4497 1 0 KPVU Provo Muni
111  40.22088454 -111.71916888
113  40.22083755 -111.71887347
110 2 0.00 0.0000 H16
111  40.22115270 -111.71741347
111  40.22124123 -111.71739091
111  40.22126418 -111.71753429
113  40.22117708 -111.71756024
110 2 0.00 0.0000 H15
111  40.22118768 -111.71762404
111  40.22122856 -111.71761171
111  40.22123608 -111.71765483
111  40.22127464 -111.71764448
111  40.22128443 -111.71770435
111  40.22124567 -111.71771322
111  40.22125056 -111.71775412
113  40.22121151 -111.71776747
110 2 0.00 0.0000 H14
111  40.22122115 -111.71782550
111  40.22133067 -111.71779657
111  40.22135559 -111.71795658
113  40.22124802 -111.71798726
110 2 0.00 0.0000 H13
111  40.22128167 -111.71818977
111  40.22125761 -111.71804497
111  40.22133696 -111.71802323
111  40.22135217 -111.71812132
111  40.22131667 -111.71813103
113  40.22132370 -111.71817803
110 2 0.00 0.0000 H12
111  40.22128688 -111.71822118
111  40.22132644 -111.71821065
111  40.22133424 -111.71825536
111  40.22137136 -111.71824464
111  40.22138013 -111.71829573
111  40.22134367 -111.71830659
111  40.22135115 -111.71835129
113  40.22131056 -111.71836369
110 2 0.00 0.0000 H12
111  40.22131587 -111.71839568
111  40.22135640 -111.71838411
111  40.22136420 -111.71842881
111  40.22140158 -111.71841775
111  40.22141036 -111.71846883
111  40.22137362 -111.71848076
111  40.22138110 -111.71852546
113  40.22133952 -111.71853800
110 2 0.00 0.0000 H11
111  40.22134505 -111.71857132
111  40.22138317 -111.71856073
111  40.22139179 -111.71860522
111  40.22142869 -111.71859483
111  40.22143749 -111.71864407
111  40.22140024 -111.71865739
111  40.22140817 -111.71870030
113  40.22136865 -111.71871337
110 2 0.00 0.0000 H10
111  40.22137401 -111.71874561
111  40.22141655 -111.71873552
111  40.22142450 -111.71877779
111  40.22146125 -111.71876901
111  40.22146845 -111.71882105
111  40.22143244 -111.71883113
111  40.22143964 -111.71887666
113  40.22139785 -111.71888914
110 2 0.00 0.0000 H09
111  40.22146720 -111.71904788
111  40.22142603 -111.71905875
111  40.22140306 -111.71892045
111  40.22144456 -111.71890821
111  40.22145172 -111.71895348
111  40.22148867 -111.71894373
111  40.22149671 -111.71899407
113  40.22146095 -111.71900539
110 2 0.00 0.0000 H08
111  40.22158903 -111.71860768
111  40.22145326 -111.71864511
111  40.22142248 -111.71846188
113  40.22155909 -111.71842498
110 2 0.00 0.0000 H07
111  40.22162728 -111.71884099
111  40.22149293 -111.71887803
111  40.22145931 -111.71868322
113  40.22159539 -111.71864645
110 2 0.00 0.0000 H06
111  40.22151690 -111.71903476
111  40.22149503 -111.71889169
111  40.22162962 -111.71885530
113  40.22165314 -111.71899878
110 2 0.00 0.0000 H05
111  40.22198507 -111.71735953
111  40.22196490 -111.71724433
111  40.22253263 -111.71708772
113  40.22254928 -111.71720459
110 2 0.00 0.0000 H04
111  40.22230693 -111.71838582
111  40.22220859 -111.71841212
111  40.22208252 -111.71761926
113  40.22217862 -111.71759195
110 2 0.00 0.0000 H03
111  40.22264987 -111.71875208
111  40.22255358 -111.71877906
111  40.22235586 -111.71755514
113  40.22245419 -111.71752657
110 2 0.00 0.0000 H02
111  40.22292059 -111.71867923
111  40.22282328 -111.71870621
111  40.22266294 -111.71769781
113  40.22276056 -111.71766867
110 2 0.00 0.0000 H01
111  40.22328429 -111.71858031
111  40.22313168 -111.71862239
111  40.22293335 -111.71736641
113  40.22308495 -111.71732379
110 1 0.00 0.0000 Pad
111  40.20866567 -111.72548791
111  40.20777061 -111.72571272
111  40.20769331 -111.72519431
113  40.20858239 -111.72496099
110 1 0.00 0.0000 Blastpadd
111  40.23028742 -111.73229039
111  40.23043951 -111.73242208
111  40.23027453 -111.73273527
113  40.23012372 -111.73260864
110 2 0.00 0.0000 Concrete14
111  40.21881305 -111.71913747
111  40.21880296 -111.71912804
111  40.21877944 -111.71917550
111  40.21863060 -111.71904519
111  40.21873010 -111.71884685
111  40.21877869 -111.71875045
111  40.21894028 -111.71889440
113  40.21890636 -111.71896148
110 2 0.00 0.0000 Concrete13
111  40.22043695 -111.71881607
111  40.22025982 -111.71886905
111  40.22025614 -111.71887627
111  40.22024082 -111.71888189
111  40.22023285 -111.71887868
111  40.22019791 -111.71888992
111  40.22017646 -111.71888109
111  40.22015930 -111.71888270
111  40.22013662 -111.71875025
113  40.22041121 -111.71867560
110 2 0.00 0.0000 Concrete12
111  40.22024021 -111.71933864
111  40.22020466 -111.71912753
111  40.22040631 -111.71907294
111  40.22039405 -111.71900551
111  40.22043266 -111.71899428
113  40.22047863 -111.71927282
110 2 0.00 0.0000 Concrete11
111  40.22088239 -111.71703976
111  40.22105580 -111.71699314
111  40.22131714 -111.71692288
111  40.22136858 -111.71723941
111  40.22110862 -111.71731123
111  40.22099671 -111.71734215
113  40.22093531 -111.71735911
110 2 0.00 0.0000 Concrete10
111  40.22096818 -111.71776979
111  40.22069624 -111.71784047
111  40.22065242 -111.71755209
111  40.22070298 -111.71753958
111  40.22069062 -111.71744468
111  40.22068103 -111.71743811
111  40.22067740 -111.71741093
111  40.22071631 -111.71740006
111  40.22081125 -111.71739259
111  40.22085017 -111.71738240
111  40.22085612 -111.71740872
111  40.22087023 -111.71740596
111  40.22087654 -111.71744057
111  40.22086792 -111.71744338
111  40.22087548 -111.71747971
111  40.22094466 -111.71746508
111  40.22095259 -111.71750141
111  40.22097709 -111.71749858
111  40.22101384 -111.71772082
113  40.22096303 -111.71773640
110 2 0.00 0.0000 Concrete9
111  40.21600708 -111.71656386
111  40.21608203 -111.71641677
111  40.21616006 -111.71626364
111  40.21611126 -111.71622238
111  40.21632483 -111.71581356
111  40.21670913 -111.71615478
111  40.21633952 -111.71685846
113  40.21614496 -111.71668605
110 2 0.00 0.0000 Concrete8
111  40.21698339 -111.71600290
111  40.21650455 -111.71557690
111  40.21676529 -111.71507847
111  40.21709472 -111.71536553
111  40.21710391 -111.71534764
111  40.21714736 -111.71538634
111  40.21716127 -111.71536227
111  40.21729933 -111.71532781
113  40.21732325 -111.71535033
110 2 0.00 0.0000 Concrete7
111  40.21783768 -111.71503603
111  40.21789682 -111.71508835
111  40.21790461 -111.71507204
111  40.21791724 -111.71508083
111  40.21790723 -111.71510003
111  40.21819798 -111.71535825
111  40.21796492 -111.71580193
111  40.21774180 -111.71560713
111  40.21773537 -111.71561930
111  40.21766957 -111.71555890
111  40.21765420 -111.71558840
111  40.21773429 -111.71566145
111  40.21772929 -111.71567643
111  40.21786868 -111.71580378
111  40.21771525 -111.71610119
111  40.21754044 -111.71594933
111  40.21753373 -111.71595583
111  40.21747314 -111.71590348
111  40.21745998 -111.71593275
111  40.21750915 -111.71597730
111  40.21750766 -111.71600136
111  40.21768660 -111.71616051
111  40.21752206 -111.71647223
111  40.21729679 -111.71627400
111  40.21727422 -111.71631448
111  40.21730521 -111.71634297
111  40.21729508 -111.71635780
111  40.21749395 -111.71653295
111  40.21729302 -111.71691843
111  40.21699476 -111.71665377
113  40.21752323 -111.71563952
110 2 0.00 0.0000 Concrete6
111  40.21929529 -111.71584874
111  40.21918691 -111.71574997
111  40.21918840 -111.71574373
111  40.21915234 -111.71571212
111  40.21916366 -111.71568792
111  40.21892015 -111.71547156
111  40.21907289 -111.71517965
111  40.21912851 -111.71522941
111  40.21920736 -111.71507370
111  40.21957586 -111.71540138
111  40.21956066 -111.71543405
113  40.21952756 -111.71540415
110 2 0.00 0.0000 Concrete5
111  40.21863613 -111.71773364
111  40.21857199 -111.71767655
111  40.21886360 -111.71712028
111  40.21899573 -111.71723800
111  40.21920558 -111.71742497
111  40.21890845 -111.71798777
111  40.21864013 -111.71774306
111  40.21864694 -111.71773034
113  40.21864153 -111.71772326
110 2 0.00 0.0000 Concrete4
111  40.21864353 -111.71869511
111  40.21855890 -111.71861718
111  40.21854739 -111.71863848
111  40.21852037 -111.71861521
111  40.21844031 -111.71876627
111  40.21838033 -111.71871306
111  40.21821228 -111.71856399
111  40.21829133 -111.71840815
111  40.21828185 -111.71839664
111  40.21829787 -111.71836846
111  40.21822762 -111.71830004
111  40.21844203 -111.71789971
111  40.21851940 -111.71796858
111  40.21851940 -111.71796858
113  40.21886395 -111.71827350
110 2 0.00 0.0000 Concrete3
111  40.21974753 -111.71917814
111  40.21974068 -111.71914110
111  40.21977859 -111.71912986
111  40.21971387 -111.71872059
111  40.22004712 -111.71863242
111  40.22011062 -111.71903757
111  40.22014673 -111.71902697
111  40.22015520 -111.71906463
111  40.22009365 -111.71908075
111  40.22010866 -111.71917827
111  40.21981990 -111.71925731
113  40.21980339 -111.71916356
110 2 0.00 0.0000 Concrete2
111  40.22175693 -111.71835802
111  40.22158226 -111.71840841
111  40.22156982 -111.71834909
111  40.22141366 -111.71839937
111  40.22137836 -111.71818380
111  40.22153690 -111.71813708
111  40.22140787 -111.71736501
112  40.22140787 -111.71736501  40.22137390 -111.71715321
111  40.22150640 -111.71709136
111  40.22153245 -111.71708246
111  40.22153018 -111.71706763
111  40.22154205 -111.71706271
111  40.22154023 -111.71704840
111  40.22174184 -111.71699058
111  40.22174853 -111.71702361
111  40.22176832 -111.71701958
111  40.22180161 -111.71720474
111  40.22182150 -111.71720077
111  40.22182928 -111.71725627
111  40.22158542 -111.71733316
111  40.22159811 -111.71740051
111  40.22161896 -111.71739619
111  40.22162121 -111.71740393
111  40.22180153 -111.71735339
111  40.22185367 -111.71764455
111  40.22164650 -111.71770149
111  40.22165461 -111.71775340
111  40.22167802 -111.71774710
111  40.22168013 -111.71775733
111  40.22184874 -111.71771478
111  40.22189203 -111.71796357
111  40.22170082 -111.71801847
111  40.22170875 -111.71806235
111  40.22172928 -111.71805810
111  40.22173180 -111.71806990
111  40.22190340 -111.71802942
111  40.22194276 -111.71828173
113  40.22175365 -111.71833498
110 2 0.00 0.0000 Concrete1
111  40.22910013 -111.72803624
111  40.22954696 -111.72718493
111  40.22973662 -111.72737125
111  40.22976201 -111.72738772
111  40.23010989 -111.72672248
111  40.23024553 -111.72684392
111  40.23024615 -111.72685273
111  40.23070413 -111.72725670
111  40.23037618 -111.72789259
111  40.23066711 -111.72815375
111  40.23116486 -111.72720970
111  40.23196888 -111.72792260
111  40.23196085 -111.72873072
111  40.23200048 -111.72873146
111  40.23200105 -111.72874927
111  40.23204635 -111.72874852
111  40.23204578 -111.72885830
111  40.23236461 -111.72886491
111  40.23234994 -111.72997739
111  40.23203482 -111.72998278
111  40.23203313 -111.73006214
111  40.23201614 -111.73006214
111  40.23201557 -111.73007698
111  40.23198952 -111.73007846
111  40.23180992 -111.73008127
111  40.23180897 -111.73002372
111  40.23180220 -111.73002404
111  40.23174243 -111.72994833
111  40.23174282 -111.72993957
111  40.23123212 -111.72993067
111  40.23098847 -111.72971515
111  40.23092026 -111.72965482
111  40.23084986 -111.72959255
111  40.22923914 -111.72815989
113  40.22917094 -111.72809922
110 2 0.00 0.0000 Concrete Apron
111  40.21959363 -111.71898862
111  40.21965379 -111.71897303
111  40.21971363 -111.71933271
111  40.21973703 -111.71932749
111  40.21974379 -111.71936878
111  40.21972002 -111.71937631
111  40.21981933 -111.72000583
111  40.21927281 -111.72015269
111  40.21855754 -111.71951625
111  40.21832428 -111.71930871
111  40.21847922 -111.71901257
111  40.21890878 -111.71939504
111  40.21915985 -111.71891269
111  40.21932439 -111.71906271
111  40.21946290 -111.71902360
111  40.21947165 -111.71893728
111  40.21948864 -111.71893931
111  40.21948041 -111.71901888
111  40.21949379 -111.71902078
111  40.21955146 -111.71902899
111  40.21955095 -111.71905462
111  40.21957824 -111.71906069
113  40.21958600 -111.71899086
110 1 0.00 0.0000 Asphalt5
111  40.21915985 -111.71891269
111  40.21918687 -111.71887279
111  40.21914435 -111.71881247
111  40.21915439 -111.71879236
111  40.21911600 -111.71875524
111  40.21917211 -111.71872198
111  40.21918687 -111.71877998
111  40.21928077 -111.71874441
111  40.21928018 -111.71877534
111  40.21935577 -111.71877380
111  40.21935813 -111.71873822
111  40.21943372 -111.71876529
111  40.21943667 -111.71873281
111  40.21947210 -111.71875887
111  40.21945857 -111.71890173
111  40.21950819 -111.71891301
111  40.21949379 -111.71902078
111  40.21948041 -111.71901888
111  40.21948864 -111.71893931
111  40.21947165 -111.71893728
111  40.21946290 -111.71902360
113  40.21932439 -111.71906271
110 1 0.00 0.0000 Asphalt4
111  40.21608203 -111.71641677
112  40.21607606 -111.71640139  40.21607116 -111.71639638
111  40.21607606 -111.71640139
111  40.21589345 -111.71623657
111  40.21587736 -111.71620652
111  40.21586931 -111.71620457
111  40.21576025 -111.71611092
111  40.21583117 -111.71597513
111  40.21588510 -111.71602508
112  40.21588510 -111.71602508  40.21589545 -111.71603131
111  40.21590537 -111.71601610
111  40.21595453 -111.71605902
112  40.21596049 -111.71609492  40.21597436 -111.71610847
111  40.21596049 -111.71609492
111  40.21611126 -111.71622238
113  40.21616006 -111.71626364
110 1 0.00 0.0000 Asphalt3
111  40.23012023 -111.73205278
111  40.23014047 -111.73205509 53 102
112  40.23029859 -111.73197490  40.23034972 -111.73188436
111  40.23029859 -111.73197490 53 102
111  40.23055883 -111.73147515 53 102
111  40.23062418 -111.73134966 53 102
111  40.23073403 -111.73108548 53 102
111  40.23083926 -111.73080260 53 102
112  40.23080385 -111.73057525  40.23072721 -111.73046845
111  40.23080385 -111.73057525 53 102
111  40.23047294 -111.73019788 53 102
111  40.22792606 -111.72793704 53 102
111  40.22692538 -111.72704875
112  40.22692538 -111.72704875  40.22680881 -111.72697254 53 102
111  40.22679090 -111.72712292 53 102
111  40.22685064 -111.72812720 53 102
111  40.22690540 -111.72904757
112  40.22690540 -111.72904757  40.22691163 -111.72913212 53 102
111  40.22691908 -111.72916091 53 102
111  40.22694710 -111.72922356
111  40.22695800 -111.72924792
111  40.22664420 -111.72896839
111  40.22666044 -111.72896955 53 102
112  40.22675558 -111.72884619  40.22675793 -111.72872255
111  40.22675558 -111.72884619 53 102
111  40.22671328 -111.72814148 53 102
111  40.22667232 -111.72745903 53 102
111  40.22657757 -111.72688992 53 102
112  40.22653680 -111.72680092  40.22650754 -111.72676446
111  40.22653680 -111.72680092 53 102
111  40.22618346 -111.72639421 53 102
111  40.22386266 -111.72433689 53 102
111  40.22370275 -111.72421286 53 102
111  40.22337913 -111.72400391
112  40.22337913 -111.72400391  40.22329181 -111.72395422 53 102
111  40.22322908 -111.72403061 53 102
111  40.22291943 -111.72448800 53 102
111  40.22276595 -111.72478405 53 102
111  40.22257991 -111.72514290
112  40.22257991 -111.72514290  40.22255246 -111.72520857 53 102
111  40.22256481 -111.72527577 53 102
111  40.22259311 -111.72536305
111  40.22260067 -111.72538639
111  40.22228766 -111.72510560
111  40.22230826 -111.72511052 53 102
112  40.22247044 -111.72502733  40.22252692 -111.72492189
111  40.22247044 -111.72502733 53 102
111  40.22264853 -111.72467937 53 102
111  40.22280910 -111.72436565 53 102
111  40.22301276 -111.72383773 53 102
112  40.22296732 -111.72363257  40.22288850 -111.72353379
111  40.22296732 -111.72363257 53 102
111  40.22260529 -111.72322463 53 102
111  40.22204635 -111.72272730 53 102
111  40.22136940 -111.72212497
112  40.22136940 -111.72212497  40.22130672 -111.72207583 53 102
111  40.22124402 -111.72207061
111  40.22121832 -111.72207222
111  40.22181779 -111.72190938
111  40.22178065 -111.72194965 53 102
112  40.22178539 -111.72227315  40.22192341 -111.72243543
111  40.22178539 -111.72227315 53 102
111  40.22212554 -111.72257501 53 102
111  40.22647864 -111.72643807
112  40.22647864 -111.72643807  40.22660230 -111.72649724 53 102
111  40.22660594 -111.72632276 53 102
111  40.22629928 -111.72118903 53 102
111  40.22629277 -111.72107997
111  40.22621395 -111.72105149
111  40.22620715 -111.72108086
111  40.22607601 -111.72100254
111  40.22612018 -111.72088418
112  40.22612018 -111.72088418  40.22612443 -111.72078282
111  40.22605087 -111.72075335
111  40.22640760 -111.72066079
111  40.22640786 -111.72066680 53 102
111  40.22643773 -111.72117127 53 102
111  40.22664500 -111.72468224 102
111  40.22693582 -111.72486113 102
111  40.22696639 -111.72542804 102
111  40.22670479 -111.72566211 53 102
111  40.22671566 -111.72588727 53 102
111  40.22681827 -111.72658679 53 102
112  40.22686175 -111.72668379  40.22689793 -111.72672994
111  40.22686175 -111.72668379 53 102
111  40.22717683 -111.72705118 53 102
111  40.22800441 -111.72778546 53 102
111  40.22817780 -111.72793931 53 102
111  40.22862403 -111.72829984 53 102
111  40.22883413 -111.72839725 53 102
111  40.22900453 -111.72820325 53 102
111  40.22910013 -111.72803624 5
111  40.22917094 -111.72809922 5
111  40.22923914 -111.72815989 53 102
111  40.22915754 -111.72833961 53 102
111  40.22908165 -111.72861670 53 102
111  40.22922850 -111.72883996 53 102
111  40.22956295 -111.72916414 53 102
111  40.22998935 -111.72954469 53 102
111  40.23037116 -111.72985255 53 102
111  40.23058480 -111.72995081 53 102
111  40.23075684 -111.72975749 53 102
111  40.23084986 -111.72959255 5
111  40.23092026 -111.72965482 5
111  40.23098847 -111.72971515 53 102
111  40.23090100 -111.72989281 53 102
111  40.23083431 -111.73016868 53 102
111  40.23098189 -111.73039511 53 102
111  40.23103734 -111.73060551
112  40.23103734 -111.73060551  40.23105718 -111.73074836 53 102
112  40.23098791 -111.73095480  40.23094799 -111.73104555
111  40.23098791 -111.73095480 53 102
111  40.23066745 -111.73157206 53 102
111  40.23035043 -111.73218267
113  40.23032543 -111.73223084
110 1 0.00 0.0000 Asphalt2
111  40.21080223 -111.71491296
111  40.21080395 -111.71490980 53 102
111  40.21115313 -111.71426891 53 102
111  40.21132832 -111.71393354
112  40.21132832 -111.71393354  40.21145584 -111.71371859 53 102
112  40.21178000 -111.71383162  40.21191340 -111.71393824
111  40.21178000 -111.71383162 53 102
111  40.21556024 -111.71718153
111  40.21562907 -111.71706255
111  40.21566862 -111.71698480
111  40.21586230 -111.71660410
111  40.21593685 -111.71666504
112  40.21593685 -111.71666504  40.21594254 -111.71666787
111  40.21594938 -111.71665711
111  40.21600044 -111.71656306
111  40.21600511 -111.71656739
111  40.21600708 -111.71656386
111  40.21614496 -111.71668605
111  40.21633952 -111.71685846
111  40.21629543 -111.71695085
112  40.21629543 -111.71695085  40.21628894 -111.71697067
111  40.21629906 -111.71698482
111  40.21639660 -111.71706296
112  40.21639660 -111.71706296  40.21642182 -111.71706909
111  40.21644207 -111.71704232
111  40.21698339 -111.71600290
111  40.21732325 -111.71535033
111  40.21760590 -111.71480760
111  40.21790461 -111.71507204
111  40.21789682 -111.71508835
111  40.21783768 -111.71503603
111  40.21752323 -111.71563952
111  40.21699476 -111.71665377
111  40.21687959 -111.71655593
111  40.21686246 -111.71655729
111  40.21652376 -111.71718739
111  40.21686063 -111.71747370
111  40.21695571 -111.71728604
111  40.21720015 -111.71749957
111  40.21724454 -111.71741369
111  40.21726830 -111.71743303
111  40.21762161 -111.71674350
111  40.21816624 -111.71723074
111  40.21805941 -111.71743718
111  40.21806987 -111.71744696
111  40.21805791 -111.71747045
111  40.21766145 -111.71712269
111  40.21742587 -111.71757159
111  40.21747637 -111.71761998
111  40.21746857 -111.71763315
111  40.21779480 -111.71792246
111  40.21779008 -111.71793026
111  40.21782334 -111.71796090
111  40.21782806 -111.71795418
111  40.21787445 -111.71799773
111  40.21787713 -111.71799202
111  40.21807005 -111.71816820
111  40.21808350 -111.71816820
111  40.21869651 -111.71699484 20
111  40.21929529 -111.71584874
111  40.21952756 -111.71540415
111  40.21956066 -111.71543405
111  40.21960832 -111.71547710 20
111  40.21964153 -111.71550710
111  40.21967221 -111.71553482
111  40.21887162 -111.71707420
111  40.21887830 -111.71708800
111  40.21902357 -111.71717972
111  40.21899573 -111.71723800
111  40.21886360 -111.71712028
111  40.21857199 -111.71767655
111  40.21863613 -111.71773364
111  40.21864153 -111.71772326
111  40.21864694 -111.71773034
111  40.21864013 -111.71774306
111  40.21851940 -111.71796858
111  40.21844203 -111.71789971
111  40.21822762 -111.71830004
111  40.21829787 -111.71836846
111  40.21828185 -111.71839664
111  40.21829133 -111.71840815
111  40.21821228 -111.71856399
111  40.21838033 -111.71871306
111  40.21844031 -111.71876627
111  40.21852037 -111.71861521
111  40.21854739 -111.71863848
111  40.21855890 -111.71861718
111  40.21864353 -111.71869511
111  40.21861504 -111.71877328
111  40.21868277 -111.71884123
111  40.21870187 -111.71881905
111  40.21873010 -111.71884685
111  40.21863060 -111.71904519
111  40.21877944 -111.71917550
111  40.21880296 -111.71912804
111  40.21881305 -111.71913747
111  40.21890636 -111.71896148
111  40.21893591 -111.71898554
111  40.21897229 -111.71891665
111  40.21896473 -111.71890816
111  40.21902313 -111.71878647
111  40.21915985 -111.71891269
111  40.21890878 -111.71939504
111  40.21847922 -111.71901257
111  40.21832428 -111.71930871
111  40.21855754 -111.71951625
111  40.21927281 -111.72015269
111  40.21981933 -111.72000583
111  40.21972002 -111.71937631
111  40.21974379 -111.71936878
111  40.21973703 -111.71932749
111  40.21971363 -111.71933271
111  40.21965379 -111.71897303
111  40.21959363 -111.71898862
111  40.21961791 -111.71870814
111  40.21947768 -111.71868502
111  40.21948396 -111.71864392
111  40.21952251 -111.71865097
111  40.21952878 -111.71859344
111  40.21968836 -111.71864275
111  40.21967133 -111.71889988
111  40.21971526 -111.71917109
111  40.21973857 -111.71916405
111  40.21974753 -111.71917814
111  40.21980339 -111.71916356
111  40.21981990 -111.71925731
111  40.22010866 -111.71917827
111  40.22009365 -111.71908075
111  40.22015520 -111.71906463
111  40.22014673 -111.71902697
111  40.22011062 -111.71903757
111  40.22004712 -111.71863242
111  40.22037908 -111.71854050
111  40.22035380 -111.71837773
111  40.22032563 -111.71819627
111  40.22031517 -111.71812892
111  40.22028694 -111.71794714
111  40.22026869 -111.71782964
111  40.22024063 -111.71764891
111  40.22023574 -111.71761744
111  40.22020770 -111.71743683
111  40.22008737 -111.71747080
111  40.22006525 -111.71727847
111  40.22016130 -111.71726561
111  40.22036346 -111.71723852
111  40.22038385 -111.71738560
111  40.22037778 -111.71738695
111  40.22040854 -111.71760406
111  40.22041769 -111.71760190
111  40.22042371 -111.71763753
111  40.22044606 -111.71778618
111  40.22045132 -111.71782114
111  40.22047280 -111.71796395
111  40.22047761 -111.71799588
111  40.22049237 -111.71799400
111  40.22051818 -111.71814204
111  40.22052361 -111.71817319
111  40.22054975 -111.71832314
111  40.22055448 -111.71835028
111  40.22057947 -111.71849365
111  40.22058023 -111.71849802
111  40.22055475 -111.71850470
111  40.22067334 -111.71924608
111  40.22076630 -111.71922139
111  40.22078655 -111.71934282
111  40.22090957 -111.71930547
111  40.22090006 -111.71924432
111  40.22091433 -111.71923979
111  40.22090265 -111.71916392
111  40.22110292 -111.71910843
111  40.22108666 -111.71900176
111  40.22110900 -111.71899676
111  40.22110552 -111.71897277
111  40.22110010 -111.71897306
111  40.22109175 -111.71892901
111  40.22107459 -111.71893404
111  40.22105329 -111.71881067
111  40.22083755 -111.71887347
111  40.22080556 -111.71866849
111  40.22102241 -111.71860521
111  40.22098566 -111.71838608
111  40.22102241 -111.71837136
111  40.22097226 -111.71804591
111  40.22100931 -111.71803697
111  40.22097016 -111.71778268
111  40.22096818 -111.71776979
111  40.22096303 -111.71773640
111  40.22101384 -111.71772082
111  40.22097709 -111.71749858
111  40.22095259 -111.71750141
111  40.22094466 -111.71746508
111  40.22087548 -111.71747971
111  40.22086792 -111.71744338
111  40.22087654 -111.71744057
111  40.22087023 -111.71740596
111  40.22085612 -111.71740872
111  40.22085017 -111.71738240
111  40.22081125 -111.71739259
111  40.22071631 -111.71740006
111  40.22067740 -111.71741093
111  40.22068103 -111.71743811
111  40.22062524 -111.71742908
111  40.22060431 -111.71727960
112  40.22058875 -111.71696161  40.22059177 -111.71684137
111  40.22066605 -111.71683591
111  40.22103493 -111.71683727
111  40.22105580 -111.71699314
