I
1050 Generated by WorldEditor 1.6.0r1

1   7141 1 0 MMZC General Leobardo C Ruiz Intl
111  22.90151263 -102.68103112
111  22.90153129 -102.68106972
111  22.90153960 -102.68108693
111  22.90220361 -102.68069096
111  22.90223707 -102.68067126
111  22.90218093 -102.68056476
111  22.90215824 -102.68057645
111  22.90213159 -102.68052166
111  22.90226543 -102.68044593
111  22.90228397 -102.68044187
111  22.90230602 -102.68048322
111  22.90232019 -102.68047654 3 102
111  22.90263276 -102.68112750
111  22.90267954 -102.68123197 3 102
112  22.90266818 -102.68133136  22.90264345 -102.68137489 3 102
111  22.90258763 -102.68140707 3 102
111  22.90277644 -102.68180726 3 102
112  22.90261208 -102.68194211  22.90257198 -102.68200479 3 102
112  22.90260085 -102.68214930  22.90262170 -102.68219022 3 102
111  22.90288219 -102.68272000 3 102
112  22.90305610 -102.68295406  22.90315907 -102.68302719 3 102
112  22.90330053 -102.68299271  22.90336405 -102.68297495 3 102
113  22.90363157 -102.68287257
110 1 0.00 0.0000 New Taxiway 8
111  22.90186777 -102.68075646
111  22.90187585 -102.68077319
111  22.90189271 -102.68080810
111  22.90191087 -102.68084573
111  22.90155075 -102.68105012
111  22.90153392 -102.68101751
111  22.90151551 -102.68098184
111  22.90150445 -102.68096041
113  22.90157401 -102.68092268
110 2 0.00 0.0000 New Taxiway 11
111  22.90223861 -102.68039234
111  22.90239734 -102.68030037
111  22.90231047 -102.68010957
111  22.90238398 -102.68006677
111  22.90236727 -102.68003412
111  22.90255505 -102.67993038
111  22.90258112 -102.67998914
111  22.90264059 -102.67995795
111  22.90266933 -102.68001091
111  22.90257978 -102.68006314
111  22.90263792 -102.68017921
111  22.90262242 -102.68018760
111  22.90240687 -102.68031191
111  22.90244880 -102.68040556
111  22.90232019 -102.68047654
111  22.90230602 -102.68048322
111  22.90228397 -102.68044187
113  22.90226543 -102.68044593
110 2 0.00 0.0000 New Taxiway 4
111  22.90153960 -102.68108693
111  22.90153129 -102.68106972
111  22.90151263 -102.68103112
111  22.90149491 -102.68099443
111  22.90148734 -102.68097877
111  22.90135912 -102.68104615
111  22.90115884 -102.68092124
111  22.90136240 -102.68057490
111  22.90149721 -102.68049969
111  22.90149374 -102.68049160
111  22.90149957 -102.68048890
111  22.90147266 -102.68042406
111  22.90196480 -102.68014148
111  22.90198346 -102.68019944
111  22.90200236 -102.68019072
111  22.90205246 -102.68029743
111  22.90202835 -102.68031026
111  22.90204374 -102.68034846
111  22.90231643 -102.68018736
111  22.90235944 -102.68027663
111  22.90227531 -102.68032537
111  22.90225216 -102.68028279
111  22.90219970 -102.68031460
111  22.90223861 -102.68039234
111  22.90226543 -102.68044593
111  22.90213159 -102.68052166
111  22.90215824 -102.68057645
111  22.90218093 -102.68056476
111  22.90223707 -102.68067126
113  22.90220361 -102.68069096
111  22.90191087 -102.68084573
111  22.90189271 -102.68080810
111  22.90187585 -102.68077319
111  22.90186777 -102.68075646
111  22.90157401 -102.68092268
111  22.90151616 -102.68080694
111  22.90153714 -102.68079463
111  22.90148043 -102.68066904
111  22.90138232 -102.68072383
111  22.90138232 -102.68072383
111  22.90150445 -102.68096041
111  22.90151551 -102.68098184
111  22.90153392 -102.68101751
113  22.90155075 -102.68105012
110 1 0.00 0.0000 New Taxiway 76
111  22.88504012 -102.69355916 3 102
112  22.88499272 -102.69343585  22.88497692 -102.69339258 3 102
112  22.88507924 -102.69303328  22.88523121 -102.69286751 3 102
111  22.88541703 -102.69292467 3 102
112  22.88583080 -102.69305287  22.88586089 -102.69306186 3 102
113  22.88593537 -102.69304471
110 1 0.00 0.0000 New Taxiway 77
111  22.90802477 -102.68034623 3 102
112  22.90817222 -102.68009794  22.90819931 -102.68000320 3 102
111  22.90830237 -102.67966998 3 102
112  22.90858599 -102.67953358  22.90877482 -102.67952297 3 102
112  22.90891024 -102.67968305  22.90892980 -102.67970918 3 102
113  22.90897344 -102.67980065
130 Airport Boundary 80
111  22.88356536 -102.69679025
111  22.88159303 -102.69275493
111  22.89784072 -102.68339776
111  22.89806422 -102.67645638
111  22.90436056 -102.67668789
111  22.90432590 -102.67856543
111  22.90313241 -102.67927895
111  22.90325530 -102.67957891
111  22.90437369 -102.67892250
111  22.90456261 -102.67875758
111  22.90487461 -102.67844004
111  22.90516711 -102.67798420
111  22.90556491 -102.67760598
111  22.90567281 -102.67752554
111  22.90983512 -102.67510808
111  22.91235668 -102.68023862
111  22.90200140 -102.68622112
111  22.89954261 -102.68762893
111  22.89949526 -102.68909353
111  22.89769022 -102.68902927
113  22.89769744 -102.68868529
120 Linear Feature 4
111  22.90136503 -102.68106425 3
115  22.90149491 -102.68099443
120 Linear Feature 6
111  22.90035737 -102.68139439 51
111  22.90030350 -102.68142702 51
112  22.90028535 -102.68148427  22.90030066 -102.68151998 51
115  22.90031201 -102.68153968
120 Linear Feature 9
111  22.90189402 -102.68081163 22
115  22.90153392 -102.68101751
120 Linear Feature 10
111  22.90187585 -102.68077319 3
115  22.90151551 -102.68098184
120 Linear Feature 3
111  22.89879157 -102.68517710 3 102
112  22.89884351 -102.68544518  22.89888369 -102.68551646 3 102
116  22.89900618 -102.68553454  22.89902774 -102.68553348
120 Linear Feature 2
111  22.90094417 -102.68266311 51
116  22.90075861 -102.68262735  22.90071063 -102.68257067
120 Linear Feature 1
111  22.90054482 -102.68289255 51
116  22.90064713 -102.68270701  22.90066406 -102.68259518
120 Linear Feature 92
111  22.89877808 -102.68197892 20
115  22.89867134 -102.68197643
120 Linear Feature 91
111  22.89877347 -102.68212998 20
115  22.89866729 -102.68212751
120 Linear Feature 90
111  22.89876898 -102.68227698 20
115  22.89866326 -102.68227776
120 Linear Feature 89
111  22.89876440 -102.68242720 20
115  22.89865934 -102.68242397
120 Linear Feature 88
111  22.89875984 -102.68257670 20
115  22.89865532 -102.68257423
120 Linear Feature 87
111  22.89875533 -102.68272449 20
115  22.89865129 -102.68272447
120 Linear Feature 86
111  22.89875090 -102.68286986 20
115  22.89864746 -102.68286740
120 Linear Feature 85
111  22.89874629 -102.68302094 20
115  22.89864345 -102.68301685
120 Linear Feature 84
111  22.89874173 -102.68317042 20
115  22.89863940 -102.68316794
120 Linear Feature 83
111  22.89873725 -102.68331742 20
115  22.89863546 -102.68331492
120 Linear Feature 82
111  22.89890495 -102.68359550 20
115  22.89861335 -102.68394732
120 Linear Feature 79
111  22.90264925 -102.68284802 4 104
115  22.90288219 -102.68272000
120 Linear Feature 78
111  22.89859438 -102.68505412 4 104
115  22.89879439 -102.68506470
120 Linear Feature 75
111  22.90293537 -102.68312257 51 101
112  22.90290886 -102.68338561  22.90286643 -102.68353359 51 101
111  22.90272469 -102.68362964 51 101
115  22.90224893 -102.68390601
120 Linear Feature 74
111  22.90293537 -102.68312257 51 101
112  22.90313636 -102.68324939  22.90326094 -102.68329055 51 101
112  22.90342164 -102.68322782  22.90345594 -102.68321116 51 101
115  22.90384414 -102.68299066
120 Linear Feature 73
111  22.90841275 -102.67968166 51 101
111  22.90821324 -102.68031381 51 101
112  22.90802997 -102.68057842  22.90789456 -102.68065977 51 101
115  22.90752532 -102.68087147
120 Linear Feature 72
111  22.90891379 -102.68006781 51 101
112  22.90885060 -102.67974634  22.90873956 -102.67961697 51 101
116  22.90841275 -102.67968166  22.90824935 -102.67979241
120 Linear Feature 71
111  22.89904907 -102.68362927 3
116  22.89861574 -102.68427608  22.89856807 -102.68474530
120 Linear Feature 70
111  22.89866223 -102.68662705 20
115  22.89863025 -102.68667129
120 Linear Feature 69
111  22.89866661 -102.68666516 20
115  22.89862900 -102.68663726
120 Linear Feature 68
111  22.89869984 -102.68693943 20
115  22.89855628 -102.68728243
120 Linear Feature 67
111  22.89868918 -102.68729332 20
115  22.89856756 -102.68693466
120 Linear Feature 66
111  22.89883937 -102.68098746 20
115  22.89879914 -102.68102829
120 Linear Feature 65
111  22.89883780 -102.68103000 20
115  22.89880123 -102.68098916
120 Linear Feature 64
111  22.89895907 -102.67919695 20
115  22.89883055 -102.67884136
120 Linear Feature 63
111  22.89896899 -102.67884419 20
115  22.89881487 -102.67918901
120 Linear Feature 62
111  22.89891884 -102.67874665 20
115  22.89888540 -102.67878578
120 Linear Feature 61
111  22.89891623 -102.67878805 20
115  22.89888384 -102.67874721
120 Linear Feature 81
111  22.89873279 -102.68346360 20
115  22.89863154 -102.68346112
120 Linear Feature 60
111  22.89872839 -102.68360770 20
111  22.89873050 -102.68353870 20
111  22.89873279 -102.68346360 20
111  22.89873505 -102.68338956 20
111  22.89873725 -102.68331742 20
111  22.89873960 -102.68324038 20
111  22.89874173 -102.68317042 20
111  22.89874403 -102.68309493 20
111  22.89874629 -102.68302094 20
111  22.89874858 -102.68294582 20
111  22.89875090 -102.68286986 20
111  22.89875306 -102.68279904 20
111  22.89875533 -102.68272449 20
111  22.89875753 -102.68265241 20
111  22.89875984 -102.68257670 20
111  22.89876216 -102.68250083 20
111  22.89876440 -102.68242720 20
111  22.89876678 -102.68234908 20
111  22.89876898 -102.68227698 20
111  22.89877118 -102.68220498 20
111  22.89877347 -102.68212998 20
111  22.89877585 -102.68205205 20
111  22.89877808 -102.68197892 20
111  22.89878032 -102.68190534 20
111  22.89878256 -102.68183194 20
111  22.89867531 -102.68182841 20
111  22.89867134 -102.68197643 20
111  22.89866729 -102.68212751 20
111  22.89866326 -102.68227776 20
111  22.89865934 -102.68242397 20
111  22.89865532 -102.68257423 20
111  22.89865129 -102.68272447 20
111  22.89864746 -102.68286740 20
111  22.89864345 -102.68301685 20
111  22.89863940 -102.68316794 20
111  22.89863546 -102.68331492 20
111  22.89863154 -102.68346112 20
113  22.89862764 -102.68360653 20
120 Linear Feature 59
111  22.90078976 -102.68139311 20
116  22.90075885 -102.68149992  22.90076320 -102.68157413
120 Linear Feature 58
111  22.90123698 -102.68217264 20
112  22.90131023 -102.68214179  22.90135818 -102.68211423 20
115  22.90258763 -102.68140707
120 Linear Feature 57
111  22.90155668 -102.68181655 20
115  22.90153201 -102.68176810
120 Linear Feature 56
111  22.90246785 -102.68099972 20
115  22.90230837 -102.68067497
120 Linear Feature 55
111  22.90151263 -102.68103112 22
111  22.90084716 -102.68140717 22
112  22.90082678 -102.68153058  22.90086753 -102.68161088 22
111  22.90108319 -102.68204577 22
112  22.90127754 -102.68210634  22.90139603 -102.68203692 22
115  22.90150045 -102.68197636
120 Linear Feature 54
111  22.90229549 -102.68054762 22
111  22.90261679 -102.68120268 22
112  22.90258719 -102.68135439  22.90250708 -102.68139787 22
115  22.90223324 -102.68155329
120 Linear Feature 53
111  22.90168790 -102.68186815 22
115  22.90206998 -102.68165160
120 Linear Feature 52
111  22.90210849 -102.68150380 20
115  22.90208289 -102.68145275
120 Linear Feature 51
111  22.90168790 -102.68186815 20
115  22.90150045 -102.68197636
120 Linear Feature 50
111  22.90223324 -102.68155329 20
115  22.90206998 -102.68165160
120 Linear Feature 49
111  22.90168521 -102.68127078 51
115  22.90170360 -102.68126016
120 Linear Feature 49
111  22.90221387 -102.68096854 51
115  22.90223208 -102.68095758
120 Linear Feature 48
111  22.90221387 -102.68096854 58
115  22.90212864 -102.68079759
120 Linear Feature 47
111  22.90168521 -102.68127078 58
115  22.90159993 -102.68110041
120 Linear Feature 46
111  22.90117088 -102.68159896 58
115  22.90107250 -102.68140249
120 Linear Feature 45
111  22.90117088 -102.68159896 51
115  22.90119042 -102.68158730
120 Linear Feature 44
111  22.90152708 -102.68232919 51
115  22.90117088 -102.68159896
120 Linear Feature 43
111  22.90205459 -102.68202701 51
115  22.90168521 -102.68127078
120 Linear Feature 42
111  22.90257672 -102.68172316 51
115  22.90221387 -102.68096854
120 Linear Feature 8
111  22.90115235 -102.68135676 20
111  22.90127405 -102.68161278 20
111  22.90143374 -102.68160303 20
111  22.90154851 -102.68154128 20
111  22.90165131 -102.68139501 20
115  22.90152320 -102.68114436
120 Linear Feature 6
111  22.90149362 -102.68179425 20
111  22.90151835 -102.68184069 20
112  22.90149930 -102.68191980  22.90145585 -102.68194665 20
111  22.90125095 -102.68206530 20
112  22.90112204 -102.68201383  22.90107463 -102.68191903 20
111  22.90086709 -102.68150655 20
112  22.90087623 -102.68144176  22.90090078 -102.68142609 20
115  22.90153129 -102.68106972
120 Linear Feature 5
111  22.90204289 -102.68148195 20
111  22.90206896 -102.68152803 20
112  22.90204490 -102.68161040  22.90199008 -102.68164088 20
111  22.90167041 -102.68182321 20
112  22.90160089 -102.68179962  22.90157749 -102.68175354 20
115  22.90157415 -102.68174628
120 Linear Feature 7
111  22.90205989 -102.68083697 20
111  22.90218484 -102.68109247 20
111  22.90207775 -102.68123290 20
111  22.90197309 -102.68129309 20
111  22.90180952 -102.68131040 20
115  22.90168183 -102.68105350
120 Linear Feature 4
111  22.90105520 -102.68175822 20
111  22.90111296 -102.68166919 20
111  22.90100207 -102.68144284 20
111  22.90107250 -102.68140249 20
111  22.90115235 -102.68135676 20
111  22.90152320 -102.68114436 20
111  22.90159993 -102.68110041 20
111  22.90168183 -102.68105350 20
111  22.90205989 -102.68083697 20
111  22.90212864 -102.68079759 20
111  22.90220158 -102.68075581 20
111  22.90231999 -102.68099533 20
111  22.90246785 -102.68099972 20
111  22.90258741 -102.68124363 20
112  22.90256373 -102.68130947  22.90252445 -102.68133266 20
111  22.90221321 -102.68151326 20
112  22.90215866 -102.68149715  22.90214262 -102.68146711 20
115  22.90212256 -102.68143140
120 Linear Feature 3
111  22.90257672 -102.68172316 51 101
115  22.90206845 -102.68201908
120 Linear Feature 2
111  22.90242998 -102.68210685 51 101
116  22.90206845 -102.68201908  22.90177861 -102.68202688
120 Linear Feature 1
111  22.90257672 -102.68172316 51 101
116  22.90242998 -102.68210685  22.90243837 -102.68231488
120 Linear Feature 6
111  22.88650157 -102.69295892 51 101
111  22.88610389 -102.69317674 51 101
112  22.88581144 -102.69316745  22.88562178 -102.69311034 51 101
115  22.88527427 -102.69300541
120 Linear Feature 5
111  22.88529262 -102.69367348 51 101
112  22.88505891 -102.69335472  22.88503076 -102.69308909
111  22.88505891 -102.69335472
112  22.88505891 -102.69335472  22.88505891 -102.69307182 51 101
115  22.88527427 -102.69300541
120 Linear Feature 4
111  22.89867934 -102.68542647 51 101
111  22.89867114 -102.68575786 51 101
112  22.89846153 -102.68607622  22.89829697 -102.68617701 51 101
115  22.89806253 -102.68631274
120 Linear Feature 3
111  22.89867934 -102.68542647 51 101
112  22.89891066 -102.68567765  22.89910017 -102.68572586 51 101
111  22.89940814 -102.68553460 51 101
115  22.89982123 -102.68530316
120 Linear Feature 2
111  22.90206845 -102.68201908 51 101
111  22.90205459 -102.68202701 51 101
111  22.90152708 -102.68232919 51 101
111  22.90094417 -102.68266311 51 101
111  22.90054482 -102.68289255 51 101
111  22.89902704 -102.68376472 51 101
112  22.89871159 -102.68431211  22.89869905 -102.68466995 51 101
115  22.89867934 -102.68542647
120 Linear Feature 1
111  22.90293537 -102.68312257 51 101
115  22.90242998 -102.68210685
21  22.88781580 -102.69278756 2 27.9000 3.00 02  PAPI-4L
21  22.90638210 -102.68096318 2 207.9100 3.00 20  PAPI-4L
14  22.90161577 -102.68068315  49.21 0 ATC Tower
1300  22.89878032 -102.68190534  -1.89 tie_down turboprops|props FBO Stand 12
1301 A general_aviation 
1300  22.89877585 -102.68205205  -1.89 tie_down turboprops|props FBO Stand 11
1301 A general_aviation 
1300  22.89877118 -102.68220498  -1.89 tie_down turboprops|props FBO Stand 10
1301 A general_aviation 
1300  22.89876678 -102.68234908  -1.89 tie_down turboprops|props FBO Stand 09
1301 A general_aviation 
1300  22.89876216 -102.68250083  -1.89 tie_down turboprops|props FBO Stand 08
1301 A general_aviation 
1300  22.89875753 -102.68265241  -1.89 tie_down turboprops|props FBO Stand 07
1301 A general_aviation 
1300  22.89875306 -102.68279904  -1.89 tie_down turboprops|props FBO Stand 06
1301 A general_aviation 
1300  22.89874858 -102.68294582  -1.89 tie_down turboprops|props FBO Stand 05
1301 A general_aviation 
1300  22.89874403 -102.68309493  -1.89 tie_down turboprops|props FBO Stand 04
1301 A general_aviation 
1300  22.89873960 -102.68324038  -1.89 tie_down turboprops|props FBO Stand 03
1301 A general_aviation 
1300  22.89873505 -102.68338956  -1.89 tie_down turboprops|props FBO Stand 02
1301 A general_aviation 
1300  22.89873050 -102.68353870  -1.89 tie_down turboprops|props FBO Stand 01
1301 A general_aviation 
1300  22.90117088 -102.68159896 117.00 gate jets|turboprops Terminal - Gate 03
1301 C airline 
1300  22.90168521 -102.68127078 117.00 gate jets|turboprops Terminal - Gate 02
1301 C airline 
1300  22.90221387 -102.68096854 117.00 gate jets|turboprops Terminal - Gate 01
1301 C airline 
18  22.88868021 -102.69347638 1 BCN
54 11800 Zacatecas Tower
99
