I
1050 Generated by WorldEditor 1.6.1r1

1   1109 0 0 CYOJ HIGH LEVEL
110 1 0.00 0.0000 New Taxiway 266
111  58.61449725 -117.16276513
111  58.61432856 -117.16260959
111  58.61438765 -117.16237352
111  58.61442863 -117.16241195
111  58.61441339 -117.16247417
113  58.61454300 -117.16259129
110 1 0.00 0.0000 New Taxiway 249
111  58.61887962 -117.16255780
111  58.61857678 -117.16275809
111  58.61839756 -117.16347211
111  58.61796528 -117.16519683
111  58.61804582 -117.16527061
111  58.61811829 -117.16559414
111  58.61929531 -117.16664638
111  58.61926536 -117.16677607
111  58.61923552 -117.16690530
111  58.61915075 -117.16727246
111  58.61882802 -117.16700067
111  58.61873919 -117.16692586
111  58.61882900 -117.16655049
111  58.61854846 -117.16630215
111  58.61850651 -117.16626502
111  58.61841340 -117.16618260
111  58.61829636 -117.16665049
111  58.61812152 -117.16650323
111  58.61823294 -117.16602271
111  58.61815465 -117.16595510
111  58.61803064 -117.16647860
111  58.61783052 -117.16631353
111  58.61779781 -117.16628655
111  58.61786261 -117.16568775
111  58.61783248 -117.16560877
111  58.61715286 -117.16496917
111  58.61706042 -117.16531171
111  58.61702767 -117.16528763
111  58.61711869 -117.16493696
111  58.61691838 -117.16475304
111  58.61683538 -117.16508228
111  58.61684854 -117.16515174
111  58.61700549 -117.16529631
111  58.61697502 -117.16534507
111  58.61673371 -117.16512106
111  58.61675416 -117.16505936
111  58.61679469 -117.16505210
111  58.61687993 -117.16471794
111  58.61613057 -117.16403041
111  58.61616034 -117.16391279
111  58.61514092 -117.16293711
111  58.61523651 -117.16255995
111  58.61479414 -117.16213752
111  58.61474728 -117.16186302
111  58.61511355 -117.16043761
111  58.61512808 -117.16038106
111  58.61531117 -117.15966853
111  58.61534135 -117.15926897
111  58.61535644 -117.15920797
111  58.61582740 -117.15965785
111  58.61549383 -117.15984543
111  58.61530840 -117.16055014
111  58.61522698 -117.16085957
111  58.61546604 -117.16223515
111  58.61571701 -117.16245933
111  58.61564086 -117.16278233
111  58.61570907 -117.16312425
111  58.61622610 -117.16364429
111  58.61637620 -117.16307849
111  58.61770015 -117.16432297
111  58.61798448 -117.16415216
111  58.61821061 -117.16328281
111  58.61839747 -117.16256448
113  58.61829581 -117.16200170
110 1 0.00 0.0000 New Taxiway 277
111  58.61858771 -117.16695853
111  58.61862135 -117.16680352
111  58.61855781 -117.16674557
111  58.61851008 -117.16695400
111  58.61847124 -117.16692036
111  58.61851890 -117.16671201
111  58.61846171 -117.16666016
111  58.61847760 -117.16659610
111  58.61866980 -117.16676387
113  58.61861749 -117.16698577
110 1 0.00 0.0000 New Taxiway 276
111  58.61430703 -117.16232005
111  58.61427158 -117.16245620
111  58.61420067 -117.16239252
113  58.61423498 -117.16225418
110 2 0.00 0.0000 New Taxiway 275
111  58.61486399 -117.16430960
111  58.61481024 -117.16425909
111  58.61484226 -117.16412953
113  58.61489716 -117.16418223
110 2 0.00 0.0000 New Taxiway 274
111  58.61470388 -117.16415368
111  58.61460438 -117.16406145
111  58.61463526 -117.16392969
113  58.61473476 -117.16401753
110 2 0.00 0.0000 New Taxiway 273
111  58.61513275 -117.16455994
111  58.61498636 -117.16442818
111  58.61502296 -117.16428544
113  58.61516821 -117.16441940
110 2 0.00 0.0000 New Taxiway 272
111  58.61552617 -117.16526487
111  58.61534090 -117.16511334
111  58.61538550 -117.16491570
113  58.61557192 -117.16505844
110 2 0.00 0.0000 New Taxiway 271
111  58.61551474 -117.16452700
111  58.61553761 -117.16443257
111  58.61572517 -117.16460386
113  58.61570115 -117.16469829
110 4 0.00 0.0000 New Taxiway 285
111  58.61854846 -117.16630215
111  58.61847760 -117.16659610
111  58.61846171 -117.16666016
111  58.61842066 -117.16662631
113  58.61850651 -117.16626502
130 Airport Boundary
111  58.61002236 -117.14982094
111  58.63099771 -117.16926587
111  58.62958103 -117.17665618
111  58.62218045 -117.16967202
111  58.62173641 -117.17125551
111  58.61357463 -117.16398845
111  58.61431469 -117.16086276
111  58.60926116 -117.15574800
113  58.60909200 -117.15367773
120 Linear Feature 284
111  58.61787205 -117.16552556 1
115  58.61926536 -117.16677607
120 Linear Feature 283
112  58.61854725 -117.16242714  58.61867763 -117.16204763 1
111  58.61886153 -117.16218995 1
115  58.61919777 -117.16249566
120 Linear Feature 282
111  58.61802217 -117.16449333 1
111  58.61854725 -117.16242714
112  58.61854725 -117.16242714  58.61862548 -117.16201865 1
111  58.61845256 -117.16179463 1
115  58.61813004 -117.16149156
120 Linear Feature 281
111  58.61620897 -117.15969898 1
111  58.61591719 -117.15942280
112  58.61591719 -117.15942280  58.61556229 -117.15911711 1
111  58.61539349 -117.15978119 1
115  58.61521839 -117.16046574
120 Linear Feature 280
111  58.61839756 -117.16347211 4
115  58.61821061 -117.16328281
120 Linear Feature 279
111  58.61530840 -117.16055014 4
111  58.61521839 -117.16046574 4
115  58.61512808 -117.16038106
21  58.62527606 -117.16719316 2 153.0500 3.00 13  PAPI-4L
21  58.61775506 -117.16203387 2 334.6000 3.00 31  PAPI-4L
14  58.61701944 -117.16536728  82.02 0 Tower Viewpoint
1300  58.61969275 -117.16797314  65.68 hangar turboprops|props GA Hangar 8
1301 A none 
1300  58.61952312 -117.16872269 155.52 hangar turboprops|props GA Hangar 7
1301 A none 
1300  58.61911635 -117.16829573 -25.35 hangar turboprops|props GA Hangar 6
1301 A none 
1300  58.61918551 -117.16791938 -25.35 hangar turboprops|props GA Hangar 5
1301 A none 
1300  58.61894672 -117.16735960  65.49 hangar jets|turboprops|props GA Hangar 4
1301 B none 
1300  58.61847582 -117.16703284  66.14 hangar turboprops|props GA Hangar 3
1301 A none 
1300  58.61819574 -117.16662905  66.14 hangar turboprops|props GA Hangar 2
1301 A none 
1300  58.61792730 -117.16639818  66.14 hangar turboprops|props GA Hangar 1
1301 A none 
1300  58.61686773 -117.16444317 154.21 gate jets|turboprops|props Terminal Gate 2
1301 B airline 
1300  58.61719875 -117.16475625 154.21 gate jets|turboprops|props Terminal Gate 1
1301 B airline 
1300  58.61500570 -117.16261733 153.65 tie_down turboprops|props Firefighting Ramp 4
1301 A general_aviation 
1300  58.61477234 -117.16239329 153.65 tie_down turboprops|props Firefighting Ramp 3
1301 A general_aviation 
1300  58.61457256 -117.16169640  63.65 tie_down jets|turboprops|props Firefighting Ramp 2
1301 B general_aviation 
1300  58.61477669 -117.16090530  63.65 tie_down jets|turboprops|props Firefighting Ramp 1
1301 B general_aviation 
18  58.61701944 -117.16536728 1 BCN
19  58.62694824 -117.16794340 1 WS
19  58.61638597 -117.16149936 1 WS
54 12325 MF
54 12822 AWOS
99
