A
1050 Generated by WorldEditor

1   1832 1 0 LPVR Vila Real
111  41.27629347 -007.71846638
111  41.27665336 -007.71826338
111  41.27677463 -007.71866937
111  41.27688416 -007.71894003
111  41.27738487 -007.71871621
111  41.27838630 -007.71834144
111  41.27880487 -007.71958024
111  41.27848801 -007.71991336
111  41.27740443 -007.72059002
111  41.27704454 -007.72202139
111  41.27657904 -007.72204741
111  41.27641474 -007.72110010
111  41.27509645 -007.72177154
111  41.27405591 -007.72214628
113  41.27178704 -007.72276044
120 Linear Feature 39
112  41.27583280 -007.72017677  41.27598264 -007.72010699 3 102
112  41.27590937 -007.71963656  41.27577316 -007.71969418
111  41.27590937 -007.71963656 3 102
115  41.27553678 -007.71979802
120 Linear Feature 38
111  41.27647118 -007.71939309 3 102
111  41.27630685 -007.71946430
112  41.27630685 -007.71946430  41.27604558 -007.71957894 3 102
116  41.27626562 -007.71999433  41.27639392 -007.71994573
120 Linear Feature 34
111  41.27591731 -007.71915587 1
111  41.27602279 -007.71959882 1
115  41.27610812 -007.71995717
120 Linear Feature 40
111  41.27576801 -007.72037318 1
111  41.27599774 -007.72027634 1
112  41.27610812 -007.71995717  41.27605278 -007.71971476
111  41.27610812 -007.71995717
112  41.27610812 -007.71995717  41.27616771 -007.72020072 1
111  41.27633870 -007.72013262 1
115  41.27656947 -007.72003534
120 Linear Feature 34
111  41.27773403 -007.71914320 5
115  41.27776224 -007.71906966
120 Linear Feature 34
111  41.27692662 -007.71946286 5
115  41.27697815 -007.71951955
120 Linear Feature 34
111  41.27598395 -007.71980595 5
115  41.27614009 -007.71973828
120 Linear Feature 34
111  41.27602279 -007.71959882 1
112  41.27591711 -007.71952454  41.27583954 -007.71955800
111  41.27591711 -007.71952454 1
115  41.27560787 -007.71965856
120 Linear Feature 34
111  41.27647118 -007.71939309 1
111  41.27634181 -007.71884973 1
111  41.27632185 -007.71876590 1
111  41.27632185 -007.71876590 1
111  41.27538743 -007.71917088 1
115  41.27553678 -007.71979802
14  41.27597616 -007.71879121  30.00 0 New Tower Viewpoint 17
1300  41.27570015 -007.71929132 197.86 gate turboprops|props Gate 2
1301 A none 
1300  41.27615759 -007.71910723 197.86 gate turboprops|props Gate 1
1301 A none 
1300  41.27677873 -007.72113267 107.74 tie_down turboprops|props Hangar
1301 A none 
18  41.27526781 -007.71929414 1 New Airport Beacon 18
19  41.27673879 -007.71927693 1 New Windsock 19
54 12290 TWR Vila Real
99
