I
1050 Generated by WorldEditor 2.1.0r1

1   2620 0 0 LEOS Los Oteros
112  42.33424213 -005.44456812  42.33422438 -005.44451349 1
112  42.33413441 -005.44445892  42.33408632 -005.44444727
111  42.33413441 -005.44445892
112  42.33413441 -005.44445892  42.33407618 -005.44444482 1
112  42.33397619 -005.44457647  42.33394641 -005.44467156
111  42.33397619 -005.44457647 1
115  42.33393259 -005.44480167
120 Linear Feature 11
111  42.33392364 -005.44432676 3 102
111  42.33416331 -005.44441089 3 102
112  42.33428519 -005.44456315  42.33432703 -005.44469454
111  42.33428519 -005.44456315
112  42.33428519 -005.44456315  42.33432375 -005.44471127 3 102
111  42.33425149 -005.44481342 3 102
115  42.33395708 -005.44521476
120 Linear Feature 10
111  42.33156893 -005.45692454 1
111  42.33149539 -005.45729569 1
112  42.33149663 -005.45735525  42.33150193 -005.45738942
111  42.33149663 -005.45735525 1
111  42.33162893 -005.45801636
112  42.33162893 -005.45801636  42.33164492 -005.45812702 1
112  42.33151979 -005.45824301  42.33145274 -005.45826114
111  42.33151979 -005.45824301
112  42.33151979 -005.45824301  42.33143496 -005.45826594 1
112  42.33134434 -005.45802474  42.33135367 -005.45785599
111  42.33134434 -005.45802474 1
115  42.33136029 -005.45794326
120 Linear Feature 9
111  42.33155954 -005.45746003 3 102
111  42.33166877 -005.45799951 3 102
112  42.33161280 -005.45823874  42.33153282 -005.45833254 3 102
111  42.33144463 -005.45829715 3 102
115  42.33120562 -005.45821099
120 Linear Feature 17
111  42.33314813 -005.45057881 1
115  42.33292604 -005.45049989
120 Linear Feature 16
111  42.33309241 -005.45085682 1
115  42.33286849 -005.45077707
120 Linear Feature 15
112  42.33323886 -005.45071600  42.33324250 -005.45062947 1
111  42.33319207 -005.45059442 1
116  42.33327714 -005.45052062  42.33330412 -005.45044668
120 Linear Feature 15
112  42.33318502 -005.45099080  42.33318865 -005.45090427 1
111  42.33313652 -005.45087224 1
116  42.33322232 -005.45080042  42.33324930 -005.45072824
120 Linear Feature 8
111  42.33286219 -005.45030854 1
112  42.33292604 -005.45049989  42.33301502 -005.45056572
111  42.33292604 -005.45049989
112  42.33292604 -005.45049989  42.33279458 -005.45048324 1
112  42.33286849 -005.45077707  42.33298010 -005.45085042
111  42.33286849 -005.45077707
112  42.33286849 -005.45077707  42.33276684 -005.45077753 1
115  42.33274739 -005.45089613
120 Linear Feature 6
111  42.33350876 -005.45056456 20
115  42.33342449 -005.45053436
120 Linear Feature 6
111  42.33353712 -005.45041700 20
115  42.33345358 -005.45038700
120 Linear Feature 6
111  42.33362151 -005.44997793 20
115  42.33354034 -005.44994750
120 Linear Feature 6
111  42.33359341 -005.45012413 20
115  42.33351108 -005.45009568
120 Linear Feature 6
111  42.33339580 -005.45067969 20
111  42.33348125 -005.45070772 20
111  42.33350876 -005.45056456 20
111  42.33353712 -005.45041700 20
111  42.33356555 -005.45026909 20
111  42.33359341 -005.45012413 20
111  42.33362151 -005.44997793 20
111  42.33364803 -005.44983991 20
111  42.33356687 -005.44981307 20
111  42.33354034 -005.44994750 20
111  42.33351108 -005.45009568 20
111  42.33348260 -005.45023999 20
111  42.33348260 -005.45023999 20
111  42.33345358 -005.45038700 20
111  42.33342449 -005.45053436 20
115  42.33339580 -005.45067969
120 Linear Feature 23
111  42.33362848 -005.44991352 1
111  42.33362978 -005.44990722 1
115  42.33363109 -005.44990093
120 Linear Feature 23
111  42.33360014 -005.45005744 1
111  42.33360161 -005.45005074 1
115  42.33360310 -005.45004408
120 Linear Feature 23
111  42.33357154 -005.45020428 1
111  42.33357301 -005.45019758 1
115  42.33357451 -005.45019092
120 Linear Feature 23
111  42.33360014 -005.45005744 1
111  42.33360161 -005.45005074 1
115  42.33360310 -005.45004408
120 Linear Feature 23
111  42.33357154 -005.45020428 1
111  42.33357301 -005.45019758 1
115  42.33357451 -005.45019092
120 Linear Feature 23
111  42.33354333 -005.45034814 1
111  42.33354479 -005.45034144 1
115  42.33354629 -005.45033478
120 Linear Feature 23
111  42.33351426 -005.45049640 1
111  42.33351573 -005.45048976 1
115  42.33351722 -005.45048305
120 Linear Feature 6
111  42.33362978 -005.44990722 1
111  42.33360048 -005.44989674
111  42.33348897 -005.44985687 1
115  42.33341254 -005.44982957
120 Linear Feature 6
111  42.33360161 -005.45005074 1
111  42.33357230 -005.45004026
111  42.33346080 -005.45000039 1
115  42.33338441 -005.44997316
120 Linear Feature 6
111  42.33357301 -005.45019758 1
111  42.33354370 -005.45018710
111  42.33343220 -005.45014723 1
115  42.33335565 -005.45011991
120 Linear Feature 6
111  42.33360161 -005.45005074 1
111  42.33357230 -005.45004026
115  42.33346080 -005.45000039
120 Linear Feature 6
111  42.33357301 -005.45019758 1
111  42.33354370 -005.45018710
111  42.33343220 -005.45014723 1
115  42.33335565 -005.45011991
120 Linear Feature 6
111  42.33354479 -005.45034144 1
111  42.33351548 -005.45033096
111  42.33340398 -005.45029108 1
115  42.33332748 -005.45026373
120 Linear Feature 6
111  42.33351573 -005.45048976 1
111  42.33348642 -005.45047928
111  42.33337492 -005.45043941 1
115  42.33329841 -005.45041205
120 Linear Feature 22
111  42.33348723 -005.45064069 1
111  42.33348823 -005.45063572 1
115  42.33348931 -005.45063034
120 Linear Feature 6
111  42.33348823 -005.45063572 1
111  42.33347923 -005.45063256
111  42.33334757 -005.45058641 1
115  42.33326961 -005.45055908
120 Linear Feature 13
111  42.33374764 -005.44990273 1
111  42.33357885 -005.45075773 1
116  42.33337902 -005.45087393  42.33322513 -005.45081067
120 Linear Feature 12
112  42.33354607 -005.45110537  42.33354061 -005.45101630 1
111  42.33349057 -005.45096279 1
111  42.33337902 -005.45087393 1
115  42.33326791 -005.45078543
120 Linear Feature 14
112  42.33322232 -005.45080042  42.33324000 -005.45078982 1
111  42.33326791 -005.45078543 1
116  42.33323886 -005.45071600  42.33323355 -005.45067772
120 Linear Feature 11
111  42.33293223 -005.45228093 1
111  42.33301135 -005.45187714 1
111  42.33304060 -005.45172785 1
111  42.33307008 -005.45157738 1
111  42.33309949 -005.45142729 1
111  42.33312867 -005.45127839 1
111  42.33315758 -005.45113081 1
111  42.33318502 -005.45099080 1
111  42.33322232 -005.45080042 1
111  42.33323886 -005.45071600 1
111  42.33326961 -005.45055908 1
111  42.33327714 -005.45052062 1
111  42.33329841 -005.45041205 1
111  42.33332748 -005.45026373 1
111  42.33335565 -005.45011991 1
111  42.33335565 -005.45011991 1
111  42.33338441 -005.44997316 1
111  42.33341254 -005.44982957 1
115  42.33343546 -005.44971263
120 Linear Feature 10
111  42.33321000 -005.45242657 20
115  42.33328145 -005.45221474
120 Linear Feature 9
111  42.33304176 -005.45232869 20
115  42.33305217 -005.45229183
120 Linear Feature 9
111  42.33304064 -005.45228624 20
111  42.33305217 -005.45229183 20
115  42.33306296 -005.45229707
120 Linear Feature 8
111  42.33323603 -005.45187981 20
115  42.33316774 -005.45185423
120 Linear Feature 8
111  42.33328357 -005.45173423 20
115  42.33319721 -005.45170319
120 Linear Feature 8
111  42.33333094 -005.45159174 20
115  42.33322629 -005.45155413
120 Linear Feature 8
111  42.33337505 -005.45144744 20
115  42.33325563 -005.45140377
120 Linear Feature 8
111  42.33340459 -005.45129722 20
115  42.33328464 -005.45125507
120 Linear Feature 7
111  42.33337020 -005.45147211 20
111  42.33337505 -005.45144744 20
111  42.33340459 -005.45129722 20
111  42.33343363 -005.45114953 20
111  42.33331361 -005.45110655 20
111  42.33328464 -005.45125507 20
111  42.33325563 -005.45140377 20
111  42.33322629 -005.45155413 20
111  42.33319721 -005.45170319 20
111  42.33316774 -005.45185423 20
111  42.33313844 -005.45200443 20
115  42.33318879 -005.45202324
120 Linear Feature 6
111  42.33321367 -005.45195072 1
111  42.33321036 -005.45194951
111  42.33309077 -005.45190603 1
115  42.33301135 -005.45187714
120 Linear Feature 6
111  42.33326091 -005.45180635 1
111  42.33325677 -005.45180488
111  42.33312004 -005.45175616 2
115  42.33304060 -005.45172785
120 Linear Feature 6
111  42.33330822 -005.45166208 1
111  42.33329591 -005.45165770
111  42.33314820 -005.45160516 1
115  42.33307008 -005.45157738
120 Linear Feature 6
111  42.33335519 -005.45151928 1
111  42.33332568 -005.45150866
111  42.33317630 -005.45145492 1
115  42.33309949 -005.45142729
120 Linear Feature 20
111  42.33338577 -005.45137558 1
111  42.33338715 -005.45136949 1
115  42.33338843 -005.45136383
120 Linear Feature 6
111  42.33338715 -005.45136949 1
111  42.33335362 -005.45135767
111  42.33320739 -005.45130613 1
115  42.33312867 -005.45127839
120 Linear Feature 21
111  42.33341424 -005.45122827 1
111  42.33341562 -005.45122160 1
115  42.33341701 -005.45121487
120 Linear Feature 6
111  42.33341562 -005.45122160 1
111  42.33338298 -005.45121012
111  42.33323573 -005.45115830 1
115  42.33315758 -005.45113081
120 Linear Feature 6
111  42.33356555 -005.45026909 20
111  42.33348260 -005.45023999
115  42.33348260 -005.45023999
120 Linear Feature 5
111  42.33317385 -005.45053725 4
115  42.33310086 -005.45090597
21  42.33201197 -005.45608846 2 74.4218 3.00 New Light Fixture 9
21  42.33313494 -005.44743202 2 253.9487 3.00 New Light Fixture 9
14  42.33391827 -005.45038012   9.84 0 New Tower Viewpoint 10
1300  42.33321367 -005.45195072 -15.10 tie_down props Tie Down 01
1301 A general_aviation 
1300  42.33326091 -005.45180635 -14.64 tie_down props Tie Down 02
1301 A general_aviation 
1300  42.33330822 -005.45166208 -14.69 tie_down props Tie Down 03
1301 A general_aviation 
1300  42.33335519 -005.45151928 -14.89 tie_down props Tie Down 04
1301 A general_aviation 
1300  42.33338715 -005.45136949 -14.50 tie_down props Tie Down 05
1301 A general_aviation 
1300  42.33341562 -005.45122160 -14.51 tie_down props Tie Down 06
1301 A general_aviation 
1300  42.33348823 -005.45063572 -14.50 tie_down props Tie Down 07
1301 A general_aviation 
1300  42.33351573 -005.45048976 -13.88 tie_down props Tie Down 08
1301 A general_aviation 
1300  42.33354479 -005.45034144 -14.81 tie_down props Tie Down 09
1301 A general_aviation 
1300  42.33357301 -005.45019758 -14.83 tie_down props Tie Down 10
1301 A general_aviation 
1300  42.33360161 -005.45005074 -14.92 tie_down props Tie Down 11
1301 A general_aviation 
1300  42.33362978 -005.44990722 -14.53 tie_down props Tie Down 12
1301 A general_aviation 
1300  42.33376933 -005.44848461 -14.81 tie_down props Tie-Down 13
1301 A general_aviation 
1300  42.33446671 -005.44487796 -14.81 tie_down props Tie-Down 32
1301 A general_aviation 
1300  42.33442972 -005.44507076 -14.81 tie_down props Tie Down 31
1301 A general_aviation 
1300  42.33439273 -005.44526061 -14.81 tie_down props Tie Down 30
1301 A general_aviation 
1300  42.33435683 -005.44545047 -14.81 tie_down props Tie Down 29
1301 A general_aviation 
1300  42.33431983 -005.44564032 -14.81 tie_down props Tie Down 28
1301 A general_aviation 
1300  42.33428393 -005.44582871 -14.81 tie_down props Tie Down 27
1301 A general_aviation 
1300  42.33424694 -005.44601856 -14.81 tie_down props Tie Down 26
1301 A general_aviation 
1300  42.33420995 -005.44620842 -14.81 tie_down props Tie Down 25
1301 A general_aviation 
1300  42.33417296 -005.44639974 -14.81 tie_down props Tie Down 24
1301 A general_aviation 
1300  42.33413706 -005.44658960 -14.81 tie_down props Tie Down 23
1301 A general_aviation 
1300  42.33410007 -005.44677798 -14.81 tie_down props Tie Down 22
1301 A general_aviation 
1300  42.33406308 -005.44696783 -14.81 tie_down props Tie Down 21
1301 A general_aviation 
1300  42.33402500 -005.44715916 -14.81 tie_down props Tie Down 20
1301 A general_aviation 
1300  42.33398801 -005.44735049 -14.81 tie_down props Tie Down 19
1301 A general_aviation 
1300  42.33395210 -005.44753887 -14.81 tie_down props Tie Down 18
1301 A general_aviation 
1300  42.33391729 -005.44772872 -14.81 tie_down props Tie Down 17
1301 A general_aviation 
1300  42.33388030 -005.44791857 -14.81 tie_down props Tie Down 16
1301 A general_aviation 
1300  42.33384440 -005.44810696 -14.81 tie_down props Tie Down 15
1301 A general_aviation 
1300  42.33380632 -005.44829534 -14.81 tie_down props Tie Down 14
1301 A general_aviation 
18  42.33391827 -005.45038012 1 New Airport Beacon 8
19  42.33245296 -005.45038967 0 New Windsock 11
50 12350 ATIS
99
