I
1050 Generated by WorldEditor 2.3.0r2

1   1410 0 0 CBF9 Mabel Lake
112  50.60387208 -118.73148190  50.60385172 -118.73143253
111  50.60387208 -118.73148190
111  50.60374783 -118.73121014
112  50.60374783 -118.73121014  50.60369306 -118.73116274
111  50.60370624 -118.73103876
111  50.60377576 -118.73047870
111  50.60387998 -118.73044104
111  50.60389061 -118.73061213
111  50.60389413 -118.73067654
111  50.60384534 -118.73085800
112  50.60384534 -118.73085800  50.60382390 -118.73094884
111  50.60383414 -118.73103442
111  50.60387333 -118.73122723
112  50.60387333 -118.73122723  50.60389601 -118.73130307
111  50.60391960 -118.73134028
111  50.60461370 -118.73133353
111  50.60524326 -118.73130985
111  50.60560122 -118.73123494
111  50.60683154 -118.73124656
111  50.60683375 -118.73025730
111  50.60697081 -118.73025365
111  50.60697160 -118.73128362
111  50.61026657 -118.73124000
111  50.61049799 -118.73121724
111  50.61228164 -118.73121074
112  50.61236599 -118.73148248  50.61237357 -118.73161810
111  50.61236599 -118.73148248
111  50.61236544 -118.73157438
111  50.61235655 -118.73172143
112  50.61235655 -118.73172143  50.61234044 -118.73185622
111  50.61226812 -118.73190916
111  50.61183878 -118.73191704
112  50.61183878 -118.73191704  50.61184998 -118.73198384
113  50.61181879 -118.73205883
110 1 0.00 0.0000 New Taxiway 569
111  50.60683375 -118.73025730
111  50.60683384 -118.73021500
111  50.60697078 -118.73021281
113  50.60697081 -118.73025365
110 3 0.00 0.0000 New Taxiway 569
111  50.60683384 -118.73021500
111  50.60683442 -118.72995754
111  50.60683487 -118.72975187
111  50.60683505 -118.72967173
111  50.60683549 -118.72947514
111  50.60683591 -118.72928711
112  50.60678872 -118.72918377  50.60675340 -118.72917537
111  50.60678872 -118.72918377
111  50.60518247 -118.72917184
112  50.60518247 -118.72917184  50.60510963 -118.72943552
112  50.60501846 -118.72916938  50.60497982 -118.72897517
111  50.60501846 -118.72916938
112  50.60501846 -118.72916938  50.60494408 -118.72916560
112  50.60502086 -118.72897531  50.60508404 -118.72896775
111  50.60502086 -118.72897531
111  50.60682952 -118.72895483
111  50.60683490 -118.72787782
111  50.60698940 -118.72788308
111  50.60698885 -118.72894325
111  50.60812550 -118.72894163
112  50.60812550 -118.72894163  50.60821475 -118.72895525
112  50.60812454 -118.72927132  50.60800744 -118.72931971
111  50.60812454 -118.72927132
111  50.60796809 -118.72915487
111  50.60696997 -118.72916624
113  50.60697078 -118.73021281
110 1 0.00 0.0000 New Taxiway 569
111  50.60683490 -118.72787782
111  50.60683511 -118.72783495
111  50.60698943 -118.72784108
113  50.60698940 -118.72788308
110 3 0.00 0.0000 New Taxiway 569
111  50.60683511 -118.72783495
111  50.60683997 -118.72685900
112  50.60676031 -118.72671684  50.60670081 -118.72670474
111  50.60676031 -118.72671684
111  50.60565612 -118.72661196
112  50.60565612 -118.72661196  50.60559693 -118.72660566
112  50.60561005 -118.72633220  50.60567403 -118.72619987
111  50.60561005 -118.72633220
111  50.60833568 -118.72660155
112  50.60833568 -118.72660155  50.60849655 -118.72662507
112  50.60882961 -118.72704572  50.60893556 -118.72718365
111  50.60882961 -118.72704572
111  50.60923716 -118.72763880
111  50.60930722 -118.72783238
111  50.60951656 -118.72981747
112  50.60951656 -118.72981747  50.60952935 -118.72996493
112  50.60939023 -118.72996056  50.60935025 -118.72986981
111  50.60939023 -118.72996056
111  50.60917383 -118.72791177
112  50.60912344 -118.72772903  50.60909252 -118.72766966
111  50.60912344 -118.72772903
111  50.60860708 -118.72701853
112  50.60860708 -118.72701853  50.60859220 -118.72699899
112  50.60852513 -118.72693910  50.60849346 -118.72691832
111  50.60852513 -118.72693910
111  50.60844315 -118.72690655
112  50.60844315 -118.72690655  50.60842741 -118.72690509
111  50.60840769 -118.72691831
111  50.60698999 -118.72675548
113  50.60698943 -118.72784108
130 Airport Boundary 575
111  50.60734669 -118.73248537
111  50.60439663 -118.73233329
111  50.60370080 -118.73230097
111  50.60367214 -118.73106302
111  50.60376907 -118.72634960
111  50.60532410 -118.72619103
111  50.60836966 -118.72640055
111  50.60934085 -118.72749188
111  50.60980655 -118.73077842
111  50.60996414 -118.73079346
111  50.61056318 -118.73102239
111  50.61244345 -118.73102288
113  50.61245486 -118.73249818
1300  50.60677533 -118.72985053  -0.10 hangar props Hangar 16
1301 A none 
1300  50.60681932 -118.72957328  -0.10 tie_down props Driveway
1301 A general_aviation 
1300  50.60389450 -118.73047824 -174.43 hangar props Hangar 15
1301 A none 
1300  50.60737710 -118.73213589  90.00 hangar props Hangar 14
1301 A none 
1300  50.60754693 -118.73214341  90.00 hangar props Hangar 13
1301 A none 
1300  50.60773755 -118.73213816  90.00 hangar props Hangar 12
1301 A none 
1300  50.60827008 -118.73213046  90.00 hangar props Hangar 11
1301 A none 
1300  50.60862896 -118.73213496  90.00 hangar props Hangar 10
1301 A none 
1300  50.60882024 -118.73212971  90.00 hangar props Hangar 9
1301 A none 
1300  50.60898753 -118.73213286  90.00 hangar props Hangar 8
1301 A none 
1300  50.60916682 -118.73213181  90.00 hangar props Hangar 7
1301 A none 
1300  50.60935733 -118.73213443  90.00 hangar props Hangar 6
1301 A none 
1300  50.60970933 -118.73213934  90.00 hangar props Hangar 5
1301 A none 
1300  50.60989129 -118.73214249  90.00 hangar props Hangar 4
1301 A none 
1300  50.61008057 -118.73214039  90.00 hangar props Hangar 3
1301 A none 
1300  50.61079140 -118.73213700  90.00 hangar props Hangar 2
1301 A none 
1300  50.61096857 -118.73213612  90.00 hangar props Hangar 1
1301 A none 
19  50.60962590 -118.73118953 1 New Windsock 16
51 12320 Mabel Lake Traffic
99
