I
1100 Generated by WorldEditor 1.6.0r1

1    550 1 0 TRPG Montserrat - John A Osborne
21  16.79155348 -062.19421738 1 90.0000 3.00 xxx VASI
14  16.79208860 -062.19438631  49.21 0 Geralds AP Tower
1300  16.79235010 -062.19344211 132.00 gate props Gate 2
1301 A airline 
1300  16.79246538 -062.19316775 269.96 tie_down props GA 2
1301 A general_aviation 
1300  16.79245249 -062.19403559  90.00 tie_down props GA 1
1301 A general_aviation 
1300  16.79237991 -062.19382616 132.00 gate props Gate 1
1301 A airline 
18  16.79268486 -062.19319722 1 BCN
19  16.79159852 -062.19590090 1 WS
19  16.79210459 -062.19286032 1 WS
19  16.79162451 -062.19116095 1 WS
50 12965 Geralds ATIS ATIS
53 12190 Geralds GND
54 11880 Geralds Tower TWR
99
