A
1050 Generated by WorldEditor 2.2.0r2

1   7679 0 0 KGUC Gunnison-Crested Butte Regional
111  38.53612459 -106.93596477
111  38.53606464 -106.93594205
111  38.53590074 -106.93587994
111  38.53630577 -106.93413551
111  38.53631125 -106.93413857
111  38.53640592 -106.93373124
111  38.53640022 -106.93372873
111  38.53642954 -106.93360245
111  38.53659679 -106.93366365
111  38.53716678 -106.93387217
111  38.53697335 -106.93472344
111  38.53699558 -106.93473272
111  38.53699771 -106.93478716
111  38.53697596 -106.93477978
111  38.53692611 -106.93499877
111  38.53694941 -106.93500783
111  38.53689809 -106.93522873
111  38.53688200 -106.93522342
111  38.53682849 -106.93544547
111  38.53684530 -106.93545287
111  38.53673244 -106.93592835
111  38.53670833 -106.93591972
111  38.53667042 -106.93607666
111  38.53680962 -106.93613287
111  38.53680152 -106.93616277
111  38.53668990 -106.93616042
111  38.53669499 -106.93621017
111  38.53660540 -106.93622560
111  38.53659061 -106.93622026
111  38.53660680 -106.93615345
111  38.53655547 -106.93613401
111  38.53653969 -106.93620188
113  38.53612783 -106.93605321
110 2 0.00 0.0000 New Taxiway 18
111  38.53669007 -106.92787890
111  38.53665787 -106.92786720
111  38.53666274 -106.92784543
113  38.53669494 -106.92785712
110 2 0.00 0.0000 New Taxiway 18
111  38.53379889 -106.93816196
111  38.53376907 -106.93815119
111  38.53377395 -106.93813074
113  38.53380428 -106.93814019
110 2 0.00 0.0000 New Taxiway 18
111  38.53980773 -106.91443676
111  38.53977117 -106.91442267
111  38.53977604 -106.91440090
113  38.53981260 -106.91441498
110 2 0.00 0.0000 New Taxiway 18
111  38.53942459 -106.91611474
111  38.53938804 -106.91610066
111  38.53939291 -106.91607889
113  38.53942946 -106.91609297
110 2 0.00 0.0000 New Taxiway 18
111  38.53793369 -106.92251567
111  38.53790149 -106.92250397
111  38.53790636 -106.92248220
113  38.53793856 -106.92249390
110 2 0.00 0.0000 New Taxiway 18
111  38.53763941 -106.92379164
111  38.53760720 -106.92377994
111  38.53761208 -106.92375817
113  38.53764428 -106.92376986
110 2 0.00 0.0000 New Taxiway 18
111  38.53639984 -106.92915749
111  38.53636548 -106.92914468
111  38.53637036 -106.92912291
113  38.53640472 -106.92913571
110 2 0.00 0.0000 New Taxiway 18
111  38.53560372 -106.93259165
111  38.53556936 -106.93257885
111  38.53557423 -106.93255708
113  38.53560859 -106.93256988
110 2 0.00 0.0000 New Taxiway 18
111  38.53526694 -106.93403320
111  38.53523725 -106.93402178
111  38.53524428 -106.93399173
113  38.53527397 -106.93400315
110 2 0.00 0.0000 New Taxiway 18
111  38.53510462 -106.93473503
111  38.53507494 -106.93472360
111  38.53507938 -106.93470481
113  38.53510906 -106.93471624
110 2 0.00 0.0000 New Taxiway 18
111  38.53476968 -106.93617803
111  38.53473999 -106.93616661
111  38.53474443 -106.93614782
113  38.53477412 -106.93615924
110 2 0.00 0.0000 New Taxiway 18
111  38.53375281 -106.94057005
111  38.53372313 -106.94055863
111  38.53372757 -106.94053984
113  38.53375725 -106.94055126
110 2 0.00 0.0000 New Taxiway 18
111  38.53371134 -106.94074932
111  38.53368166 -106.94073790
111  38.53368610 -106.94071911
113  38.53371578 -106.94073053
110 2 0.00 0.0000 New Taxiway 18
111  38.53341696 -106.94202293
111  38.53338727 -106.94201150
111  38.53339171 -106.94199271
113  38.53342140 -106.94200413
110 2 0.00 0.0000 New Taxiway 18
111  38.53285816 -106.94441720
111  38.53282848 -106.94440578
111  38.53283292 -106.94438699
113  38.53286260 -106.94439841
110 1 0.00 0.0000 New Taxiway 17
111  38.53221093 -106.94500573
111  38.53222935 -106.94501281
111  38.53222627 -106.94502719
113  38.53220767 -106.94501994
110 1 0.00 0.0000 New Taxiway 17
111  38.53263261 -106.94516548
111  38.53265103 -106.94517256
111  38.53264795 -106.94518693
113  38.53262935 -106.94517969
110 1 0.00 0.0000 New Taxiway 17
111  38.53265759 -106.94517532
111  38.53266539 -106.94517814
111  38.53266231 -106.94519252
113  38.53265432 -106.94518953
110 1 0.00 0.0000 New Taxiway 17
111  38.53267029 -106.94518038
111  38.53267809 -106.94518320
111  38.53267501 -106.94519758
113  38.53266702 -106.94519459
110 1 0.00 0.0000 New Taxiway 17
111  38.53268652 -106.94518703
111  38.53269432 -106.94518985
111  38.53269124 -106.94520423
113  38.53268326 -106.94520124
110 2 0.00 0.0000 New Taxiway 16
111  38.53217100 -106.94499033
111  38.53217247 -106.94498159
111  38.53218294 -106.94498557
111  38.53269616 -106.94518127
111  38.53269432 -106.94518985
111  38.53268652 -106.94518703
111  38.53268326 -106.94520124
111  38.53269124 -106.94520423
111  38.53268923 -106.94521364
111  38.53218609 -106.94502372
111  38.53218858 -106.94501180
111  38.53220039 -106.94501657
113  38.53220287 -106.94500306
110 1 0.00 0.0000 New Taxiway 15
111  38.53220287 -106.94500306
111  38.53220039 -106.94501657
111  38.53218858 -106.94501180
111  38.53218609 -106.94502372
111  38.53268923 -106.94521364
111  38.53253995 -106.94585614
111  38.53201438 -106.94564816
113  38.53217100 -106.94499033
110 1 0.00 0.0000 New Taxiway 7
111  38.53269616 -106.94518127
111  38.53218294 -106.94498557
111  38.53267108 -106.94288205
111  38.53283655 -106.94217233
111  38.53284913 -106.94211768
111  38.53340142 -106.93973191
111  38.53355003 -106.93909722
111  38.53376907 -106.93815119
111  38.53377395 -106.93813074
111  38.53432761 -106.93573244
111  38.53948999 -106.91346332
111  38.53948483 -106.91342542
111  38.53962917 -106.91280263
111  38.54015419 -106.91300006
111  38.53999657 -106.91366118 102
111  38.54046022 -106.91384849
112  38.54046022 -106.91384849  38.54050540 -106.91387195 102
112  38.54057700 -106.91393211  38.54060999 -106.91396388
111  38.54057700 -106.91393211
112  38.54057700 -106.91393211  38.54081504 -106.91416134 102
111  38.54075990 -106.91456648 102
111  38.53761688 -106.92814937
111  38.53763130 -106.92815989
111  38.53787327 -106.92815935
111  38.53816133 -106.92815872
111  38.53815990 -106.92821857
111  38.53786565 -106.92822050
111  38.53765728 -106.92822186
111  38.53760157 -106.92820891 102
111  38.53665111 -106.93231446 102
111  38.53645283 -106.93324955
112  38.53645283 -106.93324955  38.53644979 -106.93328393 102
112  38.53645177 -106.93334616  38.53645386 -106.93337618
111  38.53645177 -106.93334616
112  38.53648721 -106.93337345  38.53650837 -106.93336804
111  38.53648721 -106.93337345
111  38.53670715 -106.93328489
111  38.53716126 -106.93309078
112  38.53718862 -106.93305112  38.53719855 -106.93303035
111  38.53718862 -106.93305112
111  38.53736286 -106.93262626
111  38.53743121 -106.93268638
111  38.53774557 -106.93280053
111  38.53773278 -106.93285257
111  38.53752231 -106.93277773
111  38.53747587 -106.93297110
111  38.53745591 -106.93296417
111  38.53744954 -106.93299279
111  38.53730477 -106.93293806
111  38.53725604 -106.93313640
111  38.53740251 -106.93319313
111  38.53750810 -106.93323508
111  38.53749094 -106.93330504
111  38.53714756 -106.93318381
111  38.53672951 -106.93335983
111  38.53651238 -106.93344356
112  38.53651238 -106.93344356  38.53648981 -106.93346250
111  38.53648628 -106.93350197
112  38.53648628 -106.93350197  38.53652705 -106.93360604 102
111  38.53659679 -106.93366365
111  38.53642954 -106.93360245
111  38.53640022 -106.93372873
111  38.53640592 -106.93373124
111  38.53631125 -106.93413857
111  38.53630577 -106.93413551
111  38.53590074 -106.93587994
111  38.53606464 -106.93594205
111  38.53612459 -106.93596477
112  38.53608058 -106.93596988  38.53605194 -106.93596210
111  38.53608058 -106.93596988 102
111  38.53604090 -106.93595586
112  38.53604090 -106.93595586  38.53590773 -106.93594350 102
111  38.53580477 -106.93609558 102
111  38.53572185 -106.93636139 102
111  38.53516021 -106.93874612 102
111  38.53494958 -106.93964047
112  38.53494958 -106.93964047  38.53492948 -106.93977095 102
111  38.53502552 -106.93985015
111  38.53515022 -106.93989752
111  38.53560096 -106.94006873
111  38.53566459 -106.93981266
111  38.53582995 -106.93988705
111  38.53576565 -106.94016123
111  38.53580116 -106.94017406
111  38.53578058 -106.94030254
111  38.53576753 -106.94038403
111  38.53576700 -106.94059617
111  38.53570374 -106.94059706
111  38.53570425 -106.94065217
111  38.53576685 -106.94065445
111  38.53576682 -106.94066791
111  38.53561802 -106.94124327
111  38.53558354 -106.94126278
111  38.53544855 -106.94121132
111  38.53540625 -106.94138936
111  38.53544860 -106.94140572
111  38.53543889 -106.94144167
111  38.53539991 -106.94142553
111  38.53538602 -106.94148549
111  38.53542287 -106.94150102
111  38.53541751 -106.94152089
111  38.53559249 -106.94159956
111  38.53555537 -106.94173993
112  38.53555537 -106.94173993  38.53553887 -106.94177716
111  38.53549089 -106.94181908
111  38.53546878 -106.94190154
112  38.53546878 -106.94190154  38.53545074 -106.94196744
111  38.53539842 -106.94198789
111  38.53538162 -106.94205047
111  38.53555973 -106.94213553
111  38.53553782 -106.94221606
111  38.53557498 -106.94228501
111  38.53549085 -106.94241117
111  38.53534297 -106.94233269
111  38.53523454 -106.94267443
111  38.53529668 -106.94273627
111  38.53541813 -106.94280137
111  38.53535823 -106.94299887
111  38.53533911 -106.94306192
111  38.53530764 -106.94316570
111  38.53527381 -106.94327722
111  38.53526292 -106.94331116
111  38.53520122 -106.94337744
111  38.53500562 -106.94327227
111  38.53499430 -106.94331297
111  38.53498395 -106.94335017
111  38.53518202 -106.94345695
111  38.53518392 -106.94353068
111  38.53507507 -106.94347233
111  38.53504912 -106.94345843
111  38.53502400 -106.94354560
111  38.53490391 -106.94348441
111  38.53487684 -106.94356919
111  38.53484641 -106.94366450
111  38.53478845 -106.94384605
111  38.53517983 -106.94405325
111  38.53513522 -106.94419525
111  38.53512684 -106.94419112
111  38.53453083 -106.94389714
111  38.53434774 -106.94448133
112  38.53434774 -106.94448133  38.53434020 -106.94451616
111  38.53436150 -106.94452914
111  38.53442476 -106.94456066
111  38.53440538 -106.94462631
111  38.53447528 -106.94466591
111  38.53439584 -106.94492018
111  38.53438342 -106.94500852
111  38.53436845 -106.94507384
111  38.53432553 -106.94526109
111  38.53423088 -106.94522238
111  38.53427548 -106.94500811
112  38.53426028 -106.94480954  38.53423709 -106.94475517
111  38.53426028 -106.94480954
111  38.53421126 -106.94476330
111  38.53446463 -106.94393383
111  38.53423651 -106.94385388
111  38.53410856 -106.94380904
112  38.53410856 -106.94380904  38.53402256 -106.94379601
111  38.53395787 -106.94392864 102
111  38.53370226 -106.94500999
111  38.53357018 -106.94556879
111  38.53334091 -106.94653875
111  38.53331474 -106.94664943
111  38.53325988 -106.94670301
111  38.53328381 -106.94654708
111  38.53329015 -106.94651909
111  38.53351063 -106.94554686
111  38.53358444 -106.94522139
111  38.53356052 -106.94521219
112  38.53356052 -106.94521219  38.53346856 -106.94530383 102
112  38.53329698 -106.94534761  38.53321920 -106.94535701
111  38.53329698 -106.94534761
112  38.53329698 -106.94534761  38.53320865 -106.94535828 102
112  38.53312008 -106.94533029  38.53309919 -106.94532383
111  38.53312008 -106.94533029 102
113  38.53269788 -106.94517384
111  38.53372975 -106.94397976 102
111  38.53418318 -106.94202187 102
112  38.53411543 -106.94182785  38.53403002 -106.94177467
111  38.53411543 -106.94182785
112  38.53411543 -106.94182785  38.53410957 -106.94182420 102
112  38.53409637 -106.94181822  38.53408951 -106.94181547
111  38.53409637 -106.94181822 102
111  38.53377687 -106.94169237 102
112  38.53347176 -106.94178994  38.53333129 -106.94193657
111  38.53347176 -106.94178994
111  38.53342140 -106.94200413
111  38.53339171 -106.94199271
111  38.53338727 -106.94201150
111  38.53341696 -106.94202293
111  38.53286260 -106.94439841
111  38.53283292 -106.94438699
111  38.53282848 -106.94440578
111  38.53285816 -106.94441720
111  38.53281061 -106.94462224 102
112  38.53301252 -106.94492565  38.53318650 -106.94501626
111  38.53301252 -106.94492565 102
111  38.53315857 -106.94498194 102
112  38.53329290 -106.94498197  38.53336396 -106.94496255
111  38.53329290 -106.94498197
112  38.53329290 -106.94498197  38.53334750 -106.94496705 102
112  38.53344532 -106.94484191  38.53348394 -106.94475463
113  38.53344532 -106.94484191 102
111  38.53428836 -106.94120675 102
111  38.53457575 -106.94030227 102
111  38.53465468 -106.93996442 102
111  38.53495678 -106.93867130 102
111  38.53534420 -106.93701302 102
111  38.53548709 -106.93601661
112  38.53548709 -106.93601661  38.53549230 -106.93594276 102
112  38.53541759 -106.93581179  38.53536890 -106.93575481
111  38.53541759 -106.93581179
112  38.53541759 -106.93581179  38.53530218 -106.93568701 102
112  38.53483697 -106.93588653  38.53459340 -106.93613206
111  38.53483697 -106.93588653
111  38.53477412 -106.93615924
111  38.53474443 -106.93614782
111  38.53473999 -106.93616661
111  38.53476968 -106.93617803
111  38.53375725 -106.94055126
111  38.53372757 -106.94053984
111  38.53372313 -106.94055863
111  38.53375281 -106.94057005
111  38.53371578 -106.94073053
111  38.53368610 -106.94071911
111  38.53368166 -106.94073790
111  38.53371134 -106.94074932
111  38.53366834 -106.94093617 102
112  38.53386604 -106.94125049  38.53404503 -106.94132714
111  38.53386604 -106.94125049 102
111  38.53404754 -106.94132519
112  38.53404754 -106.94132519  38.53408105 -106.94133163 102
112  38.53414110 -106.94131840  38.53416961 -106.94130898
111  38.53414110 -106.94131840
114  38.53414110 -106.94131840  38.53422910 -106.94128932 102
111  38.53568821 -106.93517430 102
111  38.53594648 -106.93409287 102
112  38.53587636 -106.93383117  38.53579713 -106.93372475
111  38.53587636 -106.93383117
112  38.53587636 -106.93383117  38.53585765 -106.93380605 102
112  38.53580420 -106.93376666  38.53577437 -106.93374967
111  38.53580420 -106.93376666 102
111  38.53560470 -106.93368956 102
112  38.53532170 -106.93379632  38.53520416 -106.93393471
111  38.53532170 -106.93379632
111  38.53527397 -106.93400315
111  38.53524428 -106.93399173
111  38.53523725 -106.93402178
111  38.53526694 -106.93403320
111  38.53510906 -106.93471624
111  38.53507938 -106.93470481
111  38.53507494 -106.93472360
111  38.53510462 -106.93473503
111  38.53505475 -106.93495477
112  38.53505475 -106.93495477  38.53511197 -106.93518213 102
111  38.53528967 -106.93525289 102
111  38.53543721 -106.93530812
112  38.53543721 -106.93530812  38.53547290 -106.93531464 102
112  38.53553344 -106.93530347  38.53556185 -106.93529511
111  38.53553344 -106.93530347
114  38.53553344 -106.93530347  38.53563427 -106.93527381 102
112  38.53613218 -106.93323825  38.53617358 -106.93318627
111  38.53613218 -106.93323825 102
111  38.53642756 -106.93234858 102
111  38.53694626 -106.93010254 102
111  38.53707802 -106.92918440 102
112  38.53700407 -106.92895897  38.53693577 -106.92886861
111  38.53700407 -106.92895897
112  38.53700407 -106.92895897  38.53698588 -106.92893492 102
112  38.53693513 -106.92889970  38.53690699 -106.92888538
111  38.53693513 -106.92889970 102
111  38.53674213 -106.92881904
112  38.53674213 -106.92881904  38.53656686 -106.92878609 102
111  38.53645634 -106.92891394
111  38.53640472 -106.92913571
111  38.53637036 -106.92912291
111  38.53636548 -106.92914468
111  38.53639984 -106.92915749
111  38.53560859 -106.93256988
111  38.53560372 -106.93259165
111  38.53554381 -106.93285266 102
112  38.53579898 -106.93329156  38.53600002 -106.93342798
111  38.53579898 -106.93329156 102
111  38.53590414 -106.93333308 102
112  38.53599183 -106.93332503  38.53604098 -106.93331319
111  38.53599183 -106.93332503
114  38.53599183 -106.93332503  38.53603685 -106.93331418 102
112  38.53734908 -106.92837051  38.53738895 -106.92823374
111  38.53734908 -106.92837051 102
111  38.53816881 -106.92485944 102
111  38.53831572 -106.92380829 102
112  38.53824571 -106.92359404  38.53818048 -106.92350350
111  38.53824571 -106.92359404
112  38.53824571 -106.92359404  38.53822767 -106.92356900 102
112  38.53817654 -106.92352985  38.53814807 -106.92351320
111  38.53817654 -106.92352985 102
111  38.53802962 -106.92347054
112  38.53802962 -106.92347054  38.53783864 -106.92341706 102
112  38.53769496 -106.92355292  38.53763813 -106.92362281
111  38.53769496 -106.92355292
111  38.53764428 -106.92376986
111  38.53761208 -106.92375817
111  38.53760720 -106.92377994
111  38.53763941 -106.92379164
111  38.53669494 -106.92785712
111  38.53666274 -106.92784543
111  38.53665787 -106.92786720
111  38.53669007 -106.92787890
111  38.53663831 -106.92810142 102
112  38.53683935 -106.92838645  38.53698411 -106.92848135
111  38.53683935 -106.92838645 102
111  38.53717829 -106.92851660
112  38.53719689 -106.92851923  38.53721549 -106.92852186
111  38.53719689 -106.92851923
114  38.53719689 -106.92851923  38.53723225 -106.92852082 102
111  38.53857545 -106.92305964 102
111  38.53996680 -106.91707992 102
111  38.54009596 -106.91613754 102
112  38.54002854 -106.91591352  38.53995024 -106.91581674
111  38.54002854 -106.91591352
112  38.54002854 -106.91591352  38.54001402 -106.91589558 102
112  38.53997515 -106.91586383  38.53995386 -106.91584899
111  38.53997515 -106.91586383 102
111  38.53974163 -106.91577091
112  38.53974163 -106.91577091  38.53960863 -106.91576300 102
111  38.53947873 -106.91588361
111  38.53942946 -106.91609297
111  38.53939291 -106.91607889
111  38.53938804 -106.91610066
111  38.53942459 -106.91611474
111  38.53793856 -106.92249390
111  38.53790636 -106.92248220
111  38.53790149 -106.92250397
111  38.53793369 -106.92251567
111  38.53788305 -106.92273558 102
112  38.53806934 -106.92300914  38.53819306 -106.92307504
111  38.53806934 -106.92300914 102
111  38.53841988 -106.92314918
112  38.53841988 -106.92314918  38.53842805 -106.92315124 102
112  38.53844354 -106.92315261  38.53845114 -106.92315289
111  38.53844354 -106.92315261
114  38.53844354 -106.92315261  38.53852704 -106.92315563 102
111  38.54031886 -106.91521006 102
111  38.54047351 -106.91453948
112  38.54047351 -106.91453948  38.54049360 -106.91439453 102
112  38.54041149 -106.91424208  38.54037082 -106.91418554
111  38.54041149 -106.91424208
112  38.54041149 -106.91424208  38.54037911 -106.91419707 102
111  38.54034721 -106.91417700 102
111  38.54016421 -106.91410286 102
112  38.53986394 -106.91419512  38.53972089 -106.91434176
111  38.53986394 -106.91419512
111  38.53981260 -106.91441498
111  38.53977604 -106.91440090
111  38.53977117 -106.91442267
111  38.53980773 -106.91443676
111  38.53966289 -106.91506342 102
112  38.53986523 -106.91533858  38.54001472 -106.91540942
111  38.53986523 -106.91533858 102
111  38.54005467 -106.91541272
112  38.54005467 -106.91541272  38.54008740 -106.91541774 102
112  38.54014259 -106.91540765  38.54016855 -106.91540005
111  38.54014259 -106.91540765
114  38.54014259 -106.91540765  38.54026995 -106.91537036 102
110 5 0.00 0.0000 New Taxiway 6
111  38.53244319 -106.94196900
111  38.53284913 -106.94211768
111  38.53283655 -106.94217233
113  38.53242828 -106.94201615
110 4 0.00 0.0000 New Taxiway 5
111  38.53261695 -106.94289984
111  38.53255200 -106.94317464
111  38.53247932 -106.94315091
111  38.53244993 -106.94327546
111  38.53208806 -106.94344350
111  38.53191640 -106.94347117
111  38.53215393 -106.94251519
111  38.53218456 -106.94250360
111  38.53224209 -106.94227078
111  38.53239735 -106.94212884
111  38.53242828 -106.94201615
111  38.53283655 -106.94217233
113  38.53267108 -106.94288205
110 4 0.00 0.0000 New Taxiway 4
111  38.53310374 -106.93910142
111  38.53385995 -106.93582021
111  38.53432761 -106.93573244
111  38.53377395 -106.93813074
111  38.53376907 -106.93815119
113  38.53355003 -106.93909722
110 4 0.00 0.0000 New Taxiway 3
111  38.53284913 -106.94211768
111  38.53244319 -106.94196900
111  38.53263922 -106.94092899
112  38.53263922 -106.94092899  38.53269044 -106.94080658
111  38.53273609 -106.94067791
111  38.53295899 -106.93973142
113  38.53340142 -106.93973191
110 5 0.00 0.0000 New Taxiway 2
111  38.53340142 -106.93973191
111  38.53295899 -106.93973142
111  38.52922873 -106.93972724
112  38.52900235 -106.93968559  38.52889842 -106.93968084
111  38.52900235 -106.93968559
111  38.52446454 -106.93971418
112  38.52446454 -106.93971418  38.52415370 -106.93970232
112  38.52462385 -106.93906373  38.52513883 -106.93904396
111  38.52462385 -106.93906373
111  38.52881918 -106.93907524
111  38.53011085 -106.93908998
111  38.53290119 -106.93910333
111  38.53310374 -106.93910142
113  38.53355003 -106.93909722
110 2 0.00 0.0000 New Taxiway 9
111  38.53725604 -106.93313640
111  38.53730477 -106.93293806
111  38.53744954 -106.93299279
113  38.53740251 -106.93319313
130 Airport Boundary 1
111  38.53660908 -106.94035063
111  38.53643849 -106.94039276
111  38.53638505 -106.94099630
111  38.53625366 -106.94176212
111  38.53611559 -106.94217777
111  38.53580211 -106.94295271
111  38.53596542 -106.94312827
111  38.53424748 -106.94734610
111  38.53406376 -106.94747514
111  38.53366291 -106.94744904
111  38.53341795 -106.94755105
111  38.53323794 -106.94787606
111  38.53308205 -106.94856404
111  38.53292060 -106.94882499
111  38.53268491 -106.94898394
111  38.53222468 -106.94903850
111  38.53199271 -106.94910255
111  38.53146381 -106.94933978
111  38.53112606 -106.94922828
111  38.53093677 -106.94910255
111  38.53070294 -106.94881551
111  38.53056932 -106.94851897
111  38.53059716 -106.94814890
111  38.53094419 -106.94661166
111  38.53086996 -106.94630326
111  38.53071407 -106.94612297
111  38.53079573 -106.94578611
111  38.53076975 -106.94548246
111  38.53059530 -106.94530454
111  38.53097564 -106.94324854
111  38.53100129 -106.94265415
111  38.53094678 -106.94216223
111  38.53080889 -106.94166622
111  38.53064213 -106.94128089
111  38.53045293 -106.94097346
111  38.52981157 -106.94014951
111  38.52628731 -106.94013319
111  38.52616866 -106.94008400
111  38.52368660 -106.94007173
111  38.52443378 -106.93851415
111  38.52708901 -106.93853868
111  38.52731348 -106.93850999
111  38.53295744 -106.93853039
111  38.53355390 -106.93597235
111  38.53350580 -106.93596825
111  38.53916508 -106.91152016
111  38.53938555 -106.91125538
111  38.53970846 -106.91121268
111  38.54085978 -106.91169952
111  38.54111811 -106.91175076
111  38.54125618 -106.91187319
111  38.54130294 -106.91210380
111  38.54109807 -106.91573101
111  38.54104239 -106.91738802
111  38.54105575 -106.92056824
111  38.54104016 -106.92073052
111  38.54100453 -106.92081594
111  38.54104907 -106.92086149
111  38.54080188 -106.92131703
111  38.54080188 -106.92137967
111  38.54076625 -106.92137682
111  38.54073953 -106.92155049
111  38.54076848 -106.92155049
111  38.54077071 -106.92190068
111  38.53940559 -106.92191491
111  38.53929870 -106.92237044
111  38.53923189 -106.92251279
111  38.53875978 -106.92453988
111  38.53878428 -106.92463668
111  38.53828989 -106.92671671
111  38.53837808 -106.92670646
111  38.53826139 -106.92809836
111  38.53827809 -106.92810547
111  38.53797745 -106.93133682
111  38.53787539 -106.93160491
111  38.53787910 -106.93336293
111  38.53782714 -106.93357646
111  38.53782755 -106.93734271
113  38.53663570 -106.93736663
120 Linear Feature 11
111  38.54057700 -106.91393211 54
111  38.54054459 -106.91408177 54
115  38.54041149 -106.91424208
120 Linear Feature 10
111  38.54014259 -106.91540765 54
