I
1050 Generated by WorldEditor 2.1.0r1

1    105 0 0 06FD Grass Roots Airpark
113  28.64095103 -081.88454165
110 2 0.00 0.0000 New Taxiway 97
111  28.64199095 -081.88376824
111  28.64195971 -081.88380383
111  28.64186777 -081.88369902
111  28.64189928 -081.88366313
111  28.64186793 -081.88362740
111  28.64195991 -081.88352264
111  28.64199126 -081.88355837
111  28.64202247 -081.88352283
111  28.64211441 -081.88362764
111  28.64208290 -081.88366353
111  28.64211424 -081.88369926
113  28.64202229 -081.88380398
110 2 0.00 0.0000 New Taxiway 97
111  28.64198959 -081.88450478
111  28.64195834 -081.88454036
111  28.64186640 -081.88443555
111  28.64189791 -081.88439967
111  28.64186657 -081.88436394
111  28.64195855 -081.88425918
111  28.64198989 -081.88429491
111  28.64202110 -081.88425936
111  28.64211304 -081.88436417
111  28.64208153 -081.88440006
111  28.64211288 -081.88443579
113  28.64202093 -081.88454051
110 2 0.00 0.0000 New Taxiway 96
111  28.64207580 -081.88333082
111  28.64165196 -081.88306249
111  28.64169832 -081.88296742
113  28.64212216 -081.88323575
110 2 0.00 0.0000 New Taxiway 96
111  28.64125721 -081.88306067
111  28.64083634 -081.88333592
111  28.64078846 -081.88324088
113  28.64120933 -081.88296563
110 3 0.00 0.0000 New Taxiway 95
111  28.63962099 -081.88547756
111  28.63964640 -081.88617641
112  28.63964640 -081.88617641  28.63959428 -081.88610523
112  28.63946243 -081.88621330  28.63943279 -081.88630089
112  28.63957970 -081.88637347  28.63966147 -081.88635754
111  28.63957970 -081.88637347
112  28.63957970 -081.88637347  28.63963404 -081.88635793
112  28.63970529 -081.88629687  28.63977099 -081.88628260
111  28.63970529 -081.88629687
111  28.63981209 -081.88629663
111  28.63981990 -081.88836689
111  28.63988479 -081.88844658
111  28.64125434 -081.88844042
111  28.64125432 -081.88838603
111  28.64136832 -081.88838554
111  28.64136863 -081.88844027
111  28.64152789 -081.88843967
111  28.64173554 -081.88843888
111  28.64270708 -081.88843521
111  28.64270427 -081.88875766
111  28.63954403 -081.88876002
111  28.63953919 -081.88655853
112  28.63939126 -081.88638529  28.63925503 -081.88636849
111  28.63939126 -081.88638529
111  28.63935724 -081.88547465
111  28.63697741 -081.88549729
112  28.63697741 -081.88549729  28.63688519 -081.88559960
112  28.63682703 -081.88527636  28.63688649 -081.88506621
111  28.63682703 -081.88527636
111  28.63703077 -081.88470098
111  28.63956737 -081.88471049
111  28.63956610 -081.88320667
111  28.63967289 -081.88320667
112  28.63975037 -081.88329486  28.63982411 -081.88329486
111  28.63983542 -081.88321254
111  28.63983361 -081.88314562
112  28.63983361 -081.88314562  28.63986027 -081.88308240
112  28.64016044 -081.88298807  28.64034257 -081.88297840
111  28.64016044 -081.88298807
111  28.64063706 -081.88299226
112  28.64070142 -081.88305885  28.64070922 -081.88311552
111  28.64070142 -081.88305885
111  28.64075113 -081.88305885
111  28.64075366 -081.88315774
112  28.64075366 -081.88315774  28.64074945 -081.88323375
112  28.64072169 -081.88328377  28.64072029 -081.88333897
111  28.64072169 -081.88328377
111  28.64076549 -081.88338225
111  28.64083634 -081.88333592
111  28.64125721 -081.88306067
112  28.64135549 -081.88321414  28.64148274 -081.88322854
111  28.64135549 -081.88321414
111  28.64160594 -081.88321304
112  28.64165196 -081.88306249  28.64160309 -081.88293288
111  28.64165196 -081.88306249
111  28.64207580 -081.88333082
111  28.64216397 -081.88338664
112  28.64216397 -081.88338664  28.64228228 -081.88344540
112  28.64238742 -081.88350157  28.64240837 -081.88362046
111  28.64238742 -081.88350157
111  28.64238690 -081.88357575
112  28.64238690 -081.88357575  28.64239226 -081.88362909
111  28.64242412 -081.88361670
111  28.64245150 -081.88366711
112  28.64239197 -081.88376384  28.64238855 -081.88381051
111  28.64239197 -081.88376384
111  28.64240658 -081.88434419
112  28.64240658 -081.88434419  28.64243085 -081.88468984
111  28.64267204 -081.88472013
111  28.64510547 -081.88472776
112  28.64510547 -081.88472776  28.64534660 -081.88472179
112  28.64551643 -081.88463313  28.64572786 -081.88461919
111  28.64551643 -081.88463313
111  28.64660320 -081.88462385
112  28.64680123 -081.88483029  28.64681943 -081.88503492
111  28.64680123 -081.88483029
111  28.64680375 -081.88542752
112  28.64680375 -081.88542752  28.64679402 -081.88547740
111  28.64671275 -081.88548898
111  28.64619580 -081.88548882
111  28.64619567 -081.88560662
111  28.64608264 -081.88560588
111  28.64608286 -081.88548795
111  28.64470505 -081.88548575
111  28.64470540 -081.88562508
111  28.64458657 -081.88562450
113  28.64458626 -081.88548554
130 Boundary
111  28.64706641 -081.88844251
111  28.64412741 -081.88848024
111  28.64412439 -081.88739996
111  28.64455013 -081.88739308
111  28.64455013 -081.88661210
111  28.64220160 -081.88664078
111  28.64218901 -081.88804846
111  28.64296148 -081.88804846
111  28.64296393 -081.88894990
111  28.63943343 -081.88898187
111  28.63943705 -081.88653298
111  28.63688446 -081.88653199
111  28.63648892 -081.88544490
111  28.63742090 -081.88302701
111  28.63885497 -081.88251363
111  28.64224119 -081.88251805
111  28.64311912 -081.88283491
111  28.64312900 -081.88431761
111  28.64688649 -081.88430245
111  28.64689256 -081.88547081
113  28.64705637 -081.88547542
14  28.64145584 -081.88305589   9.00 0 Viewpoint
1300  28.64614154 -081.88574909  89.68 hangar turboprops|props 20514 Grass Roots Road Hangar
1301 A none 
1300  28.64464805 -081.88577006  89.46 hangar turboprops|props 20490 Grass Roots Road Hangar
1301 A none 
1300  28.64130924 -081.88824521 269.87 hangar props 20151 Grass Roots Road Hangar
1301 A none 
1300  28.64167347 -081.88822208 269.87 hangar turboprops|props 20201 Grass Roots Road Hangar
1301 A none 
1300  28.63984043 -081.88347056 180.22 hangar turboprops|props 20210 Whistling Wire Lane Hangar
1301 A none 
1300  28.63982153 -081.88380515 -179.87 hangar props 20214 Whistling Wire Lane Hangar
1301 A none 
1300  28.63981577 -081.88411991 -179.87 hangar props 20218 Whistling Wire Lane Hangar
1301 A none 
1300  28.63986971 -081.88444295 179.89 hangar turboprops|props 20222 Whistling Wire Lane Hangar
1301 A none 
1300  28.64039147 -081.88317098  -0.27 hangar turboprops|props 20205 Whistling Wire Lane Hangar
1301 A none 
1300  28.64038101 -081.88348439  -0.27 hangar props 20209 Whistling Wire Lane Hangar
1301 A none 
1300  28.64050265 -081.88380446  -0.27 hangar props 20213 Whistling Wire Lane Hangar
1301 A none 
1300  28.64049354 -081.88411895  -0.27 hangar props 20217 Whistling Wire Lane Hangar
1301 A none 
1300  28.64040918 -081.88450208 -89.95 hangar turboprops|props 20221 Whistling Wire Lane Hangar
1301 A none 
1300  28.64088132 -081.88328001 -60.11 hangar props Hangar 8-1
1301 A none 
1300  28.64098510 -081.88321229 -60.11 hangar props Hangar 8-2
1301 A none 
1300  28.64108897 -081.88314462 -60.11 hangar props Hangar 8-3
1301 A none 
1300  28.64119263 -081.88307676 -60.11 hangar props Hangar 8-4
1301 A none 
1300  28.64171635 -081.88307754 -119.31 hangar props Hangar 7-1
1301 A none 
1300  28.64182055 -081.88314443 -119.31 hangar props Hangar 7-2
1301 A none 
1300  28.64192474 -081.88321144 -119.31 hangar props Hangar 7-3
1301 A none 
1300  28.64202899 -081.88327814 -119.31 hangar props Hangar 7-4
1301 A none 
1300  28.64098629 -081.88359211 404.00 hangar props Hangar 6-4
1301 A none 
1300  28.64098527 -081.88373872 314.60 hangar props Hangar 6-3
1301 A none 
1300  28.64085523 -081.88373755 224.12 hangar props Hangar 6-2
1301 A none 
1300  28.64085625 -081.88359094 134.72 hangar turboprops|props Hangar 6-1
1301 A none 
1300  28.64097373 -081.88403343   0.00 hangar turboprops|props Hangar 5
1301 A none 
1300  28.64098551 -081.88432839 404.00 hangar props Hangar 4-4
1301 A none 
1300  28.64098449 -081.88447501 314.60 hangar props Hangar 4-3
1301 A none 
1300  28.64085445 -081.88447384 224.12 hangar props Hangar 4-2
1301 A none 
1300  28.64085547 -081.88432722 134.72 hangar props Hangar 4-1
1301 A none 
1300  28.64205708 -081.88359120 404.00 hangar props Hangar 3-4
1301 A none 
1300  28.64205607 -081.88373782 314.60 hangar props Hangar 3-3
1301 A none 
1300  28.64192603 -081.88373665 224.12 hangar props Hangar 3-2
1301 A none 
1300  28.64192704 -081.88359003 134.72 hangar props Hangar 3-1
1301 A none 
1300  28.64192774 -081.88403358 179.96 hangar props Hangar 2
1301 A none 
1300  28.64205585 -081.88432688 404.00 hangar props Hangar 1-4
1301 A none 
1300  28.64205484 -081.88447349 314.60 hangar props Hangar 1-3
1301 A none 
1300  28.64192480 -081.88447232 224.12 hangar props Hangar 1-2
1301 A none 
1300  28.64192581 -081.88432571 134.72 hangar props Hangar 1-1
1301 A none 
19  28.64617742 -081.88456003 0 WS
19  28.63903121 -081.88456632 0 WS
99
