I
1050 Generated by WorldEditor 2.3.0r2

1     99 0 0 CCS3 St. Stephen
111  45.20915970 -067.25364542
111  45.20916594 -067.25361530
111  45.20919901 -067.25358519
111  45.20909488 -067.25328373
111  45.20927950 -067.25311169
111  45.20931122 -067.25319105
111  45.20933941 -067.25326157
111  45.20924280 -067.25335193
111  45.20925104 -067.25353476
111  45.20940706 -067.25339179
111  45.20947197 -067.25353582
111  45.20928025 -067.25372291
111  45.20928175 -067.25376436
111  45.20929972 -067.25379200
111  45.20970551 -067.25346252
111  45.20980515 -067.25349191
111  45.21000901 -067.25408290
111  45.20974265 -067.25424515
111  45.20969196 -067.25418086
111  45.20955518 -067.25419586
111  45.20946606 -067.25426601
113  45.20946082 -067.25429578
110 2 0.00 0.0000 New Taxiway 47
111  45.20978414 -067.25456112
111  45.20972697 -067.25438538
111  45.20983615 -067.25431406
113  45.20989332 -067.25448980
110 2 0.00 0.0000 New Taxiway 46
111  45.20984119 -067.25492523
111  45.20988814 -067.25490575
111  45.20989774 -067.25494943
111  45.20994217 -067.25493097
111  45.20995672 -067.25499716
111  45.20991230 -067.25501562
111  45.20992121 -067.25505615
113  45.20987426 -067.25507563
110 1 0.00 0.0000 New Taxiway 45
111  45.20782130 -067.25174138
111  45.20787163 -067.25173500
111  45.20836498 -067.25139907
111  45.20838180 -067.25132927
111  45.20820555 -067.25083738
111  45.20841380 -067.25070845
111  45.20845980 -067.25084352
111  45.20853584 -067.25106680
111  45.20856201 -067.25114366
111  45.20863555 -067.25135959
111  45.20871084 -067.25158068
111  45.20884765 -067.25198241
111  45.20887408 -067.25206004
111  45.20865141 -067.25220514
111  45.20838871 -067.25150899
111  45.20791115 -067.25184528
113  45.20788453 -067.25192081
130 Airport Boundary 58
111  45.20357310 -067.24176444
111  45.20423904 -067.24127188
111  45.20515140 -067.24158037
111  45.20650542 -067.24542728
111  45.20680682 -067.24555891
111  45.20813100 -067.25001138
111  45.20826454 -067.24993356
111  45.20844165 -067.24970960
111  45.20859943 -067.24956792
111  45.20941360 -067.25179795
111  45.21002542 -067.25177053
111  45.21035825 -067.25164035
111  45.21107594 -067.25101854
111  45.21110705 -067.25117607
111  45.21110705 -067.25138449
111  45.21019512 -067.25429140
111  45.21008692 -067.25523477
111  45.20990531 -067.25573387
111  45.21044388 -067.25831462
111  45.21015139 -067.25917542
113  45.20969521 -067.25996765
120 Linear Feature 56
111  45.20905411 -067.25433819 4
115  45.20910732 -067.25450196
120 Linear Feature 55
111  45.20936515 -067.25423442 1
115  45.20878654 -067.25462514
120 Linear Feature 57
111  45.20931122 -067.25319105 1
115  45.20914660 -067.25333953
1300  45.20853114 -067.25092691 -154.50 hangar turboprops|props Hangar 10
1301 A none 
1300  45.20863159 -067.25123764 -154.50 hangar props Hangar 9
1301 A none 
1300  45.20879352 -067.25166027 -154.50 hangar props Hangar 8
1301 A none 
1300  45.20886113 -067.25186548 -154.50 hangar props Hangar 7
1301 A none 
1300  45.20901338 -067.25238023 -151.39 hangar props Hangar 6
1301 A none 
1300  45.20910595 -067.25263195 -151.39 hangar props Hangar 5
1301 A none 
1300  45.20932537 -067.25317437 -147.42 hangar props Hangar 4
1301 A none 
1300  45.20945699 -067.25344901 -147.42 hangar props Hangar 3
1301 A none 
1300  45.20977009 -067.25446368 -155.13 hangar props Hangar 2
1301 A none 
1300  45.20986689 -067.25499812 -162.78 hangar props Hangar 1
1301 A none 
18  45.21005671 -067.25469590 1 New Airport Beacon 9
19  45.20932568 -067.25458455 1 New Windsock 8
51 12280 St Stephen Traffic
99
