I
1050 Generated by WorldEditor 2.1.0r1

1    715 0 0 GCGM La Gomera
112  28.03062184 -017.20771670  28.03067624 -017.20763695 1 101
112  28.03073063 -017.20759254  28.03074983 -017.20757714 1 101
111  28.03080823 -017.20754179 1 101
112  28.03087542 -017.20746114  28.03091142 -017.20739680 1 101
112  28.03082982 -017.20719924  28.03075703 -017.20714758 1 101
112  28.03066184 -017.20721283  28.03063224 -017.20723911 1 101
111  28.03062354 -017.20729553 1 101
115  28.03057385 -017.20765779
120 Linear Feature 27
111  28.02879517 -017.22069455 1 101
111  28.02871291 -017.22129407 1 101
112  28.02871697 -017.22142842  28.02872762 -017.22148632 1 101
112  28.02880235 -017.22164990  28.02885429 -017.22171853 1 101
112  28.02887626 -017.22198343  28.02879002 -017.22215712
111  28.02887626 -017.22198343
112  28.02887626 -017.22198343  28.02881927 -017.22207302 1 101
112  28.02867681 -017.22203693  28.02862620 -017.22198868
111  28.02867681 -017.22203693
112  28.02867681 -017.22203693  28.02862462 -017.22198247 1 101
111  28.02861784 -017.22191945 1 101
115  28.02867014 -017.22153807
120 Linear Feature 26
112  28.02883536 -017.22136985  28.02883135 -017.22144040 3 102
112  28.02889539 -017.22161769  28.02894543 -017.22169126 3 102
112  28.02894822 -017.22199124  28.02887156 -017.22215529 3 102
115  28.02872667 -017.22215027
120 Linear Feature 2
111  28.03131541 -017.21277711 20
115  28.03153674 -017.21117667
120 Linear Feature 14
111  28.03150316 -017.21117402 22
115  28.03128183 -017.21276966
120 Linear Feature 13
111  28.03146563 -017.21116773 20
111  28.03145589 -017.21123947 20
111  28.03141050 -017.21157368 20
111  28.03137574 -017.21182966 20
111  28.03134251 -017.21207439 20
111  28.03130441 -017.21235491 20
111  28.03127138 -017.21259813 20
115  28.03124855 -017.21276624
120 Linear Feature 12
111  28.03123277 -017.21170267 20
115  28.03096169 -017.21146039
120 Linear Feature 12
111  28.03125503 -017.21170653 20
115  28.03141050 -017.21157368
120 Linear Feature 11
111  28.03137574 -017.21182966 20
111  28.03125503 -017.21170653 20
111  28.03123277 -017.21170267 20
115  28.03093548 -017.21165059
120 Linear Feature 10
111  28.03086405 -017.21216906 20
111  28.03115719 -017.21222075 20
115  28.03134251 -017.21207439
120 Linear Feature 9
111  28.03130441 -017.21235491 20
115  28.03089037 -017.21197800
120 Linear Feature 8
111  28.03091066 -017.21269951 20
111  28.03110569 -017.21273163 20
115  28.03127138 -017.21259813
120 Linear Feature 7
111  28.03052828 -017.21254857 20
115  28.03050649 -017.21254490
120 Linear Feature 7
111  28.03064003 -017.21257376 20
115  28.03061824 -017.21257010
120 Linear Feature 7
111  28.03059452 -017.21259229 20
115  28.03061004 -017.21248066
120 Linear Feature 7
111  28.03062224 -017.21259716 20
115  28.03063901 -017.21248554
120 Linear Feature 6
111  28.03074970 -017.21261956 20
111  28.03062224 -017.21259716 20
111  28.03059452 -017.21259229 20
111  28.03044594 -017.21256617 20
111  28.03046017 -017.21245542 20
111  28.03061004 -017.21248066 20
111  28.03063901 -017.21248554 20
111  28.03068254 -017.21249287 20
113  28.03075586 -017.21256708 20
120 Linear Feature 4
111  28.03091066 -017.21269951 20
111  28.03093237 -017.21253562 20
111  28.03083381 -017.21238856 20
111  28.03086405 -017.21216906 20
111  28.03089037 -017.21197800 20
111  28.03093548 -017.21165059 20
111  28.03096169 -017.21146039 20
111  28.03096610 -017.21142839 20
112  28.03095250 -017.21124157  28.03092951 -017.21113279
111  28.03095250 -017.21124157
112  28.03095250 -017.21124157  28.03094199 -017.21120450 20
112  28.03091890 -017.21114913  28.03090655 -017.21112288
111  28.03091890 -017.21114913
112  28.03091890 -017.21114913  28.03089505 -017.21109843 20
111  28.03087091 -017.21106666 20
115  28.03146563 -017.21116773
120 Linear Feature 2
111  28.03026815 -017.21092675 3 102
112  28.03029787 -017.21100194  28.03032787 -017.21104251 3 102
111  28.03036622 -017.21105109 3 102
111  28.03046803 -017.21107004 3 102
111  28.03091890 -017.21114913 20
115  28.03145589 -017.21123947
120 Linear Feature 1
111  28.03091066 -017.21269951 3
111  28.03090007 -017.21277862 3
111  28.03048010 -017.21270250 3 102
111  28.03065439 -017.21141779 3 102
112  28.03063551 -017.21129817  28.03060782 -017.21124992 3 102
111  28.03055759 -017.21123474 3 102
111  28.03044880 -017.21121570 3 102
111  28.03036321 -017.21120121 3 102
112  28.03027442 -017.21122114  28.03023218 -017.21125105 3 102
115  28.03021880 -017.21128184
21  28.02919123 -017.22000558 2 81.8100 3.00 New Light Fixture 2
21  28.02857960 -017.21989312 3 80.9800 3.00 New Light Fixture 2
21  28.03066597 -017.20918407 3 261.4900 3.00 New Light Fixture 1
21  28.03007553 -017.20908064 2 260.6500 3.00 New Light Fixture 1
14  28.03055959 -017.21416924  82.02 0 New Tower Viewpoint 3
1300  28.03053570 -017.21256290 -98.90 gate turboprops|props Terminal Apron 05
1301 A airline 
1300  28.03067389 -017.21258698 -98.99 gate turboprops|props Terminal Apron 04
1301 A airline 
1300  28.03112372 -017.21243277 -40.15 gate jets|turboprops Terminal Apron 03
1301 B airline 
1300  28.03120051 -017.21189533 -37.61 gate jets|turboprops Terminal Apron 02
1301 B airline 
1300  28.03130450 -017.21132508  -8.75 gate jets|turboprops Terminal Apron 01
1301 C airline 
18  28.03055959 -017.21416924 1 New Airport Beacon 4
19  28.02849977 -017.21975087 0 New Windsock 3
19  28.02889262 -017.21602290 0 New Windsock 2
19  28.03021322 -017.20728116 0 New Windsock 1
50 11837 La Gomera Infomation
99
