I
1050 Generated by WorldEditor 2.2.0r2

1    253 0 0 7B9 Ellington
111  41.92301392 -072.45572103
113  41.92304585 -072.45572907
130 Airport Boundary 14
111  41.92644263 -072.45631431
111  41.92656847 -072.45574153
111  41.92706184 -072.45595104
111  41.92705040 -072.45626818
111  41.92713334 -072.45632969
111  41.92728207 -072.45623935
111  41.92744080 -072.45633738
111  41.92773110 -072.45640849
111  41.92800138 -072.45625088
111  41.92823305 -072.45597793
111  41.92837177 -072.45591066
111  41.92870354 -072.45624511
111  41.92887800 -072.45652766
111  41.92894808 -072.45678907
111  41.92892949 -072.45704664
111  41.92870783 -072.45760790
111  41.92831720 -072.45787992
111  41.92680622 -072.45781450
111  41.92552735 -072.45766313
111  41.92437209 -072.45744221
111  41.92361639 -072.45743473
111  41.92298518 -072.45731576
111  41.92259130 -072.45704254
111  41.92272962 -072.45505190
111  41.92402032 -072.45523484
111  41.92396257 -072.45553377
113  41.92517779 -072.45585428
120 Linear Feature 29
111  41.92314711 -072.45645688 1
112  41.92309022 -072.45639666  41.92307705 -072.45634784
111  41.92309022 -072.45639666 1
115  41.92309141 -072.45632210
120 Linear Feature 28
111  41.92275502 -072.45651897 4
115  41.92285842 -072.45652966
120 Linear Feature 27
111  41.92280591 -072.45676286 1
112  41.92280033 -072.45669542  41.92280199 -072.45665594
111  41.92280033 -072.45669542 1
111  41.92281209 -072.45645439 1
112  41.92284210 -072.45642763  41.92286642 -072.45642138
111  41.92284210 -072.45642763 1
111  41.92289045 -072.45642952 1
111  41.92314711 -072.45645688 1
115  41.92317865 -072.45645924
120 Linear Feature 26
111  41.92781743 -072.45710211 4
115  41.92792098 -072.45711187
120 Linear Feature 25
111  41.92785546 -072.45729718 1
112  41.92786068 -072.45726789  41.92786227 -072.45724911
111  41.92786068 -072.45726789 1
111  41.92787097 -072.45703531 1
112  41.92780603 -072.45696424  41.92773858 -072.45695405
111  41.92780603 -072.45696424 1
115  41.92771178 -072.45695266
14  41.92319573 -072.45612010  25.00 0 New Tower Viewpoint 11
1300  41.92654011 -072.45668670 -95.11 tie_down props GA 27
1301 A general_aviation 
1300  41.92641515 -072.45668610 -95.11 tie_down props GA 26
1301 A general_aviation 
1300  41.92628920 -072.45667017 -95.11 tie_down props GA 25
1301 A general_aviation 
1300  41.92616302 -072.45665341 -95.11 tie_down props GA 24
1301 A general_aviation 
1300  41.92603558 -072.45663835 -95.11 tie_down props GA 23
1301 A general_aviation 
1300  41.92590595 -072.45662203 -95.11 tie_down props GA 22
1301 A general_aviation 
1300  41.92577977 -072.45660526 -95.11 tie_down props GA 21
1301 A general_aviation 
1300  41.92565233 -072.45659020 -95.11 tie_down props GA 20
1301 A general_aviation 
1300  41.92553601 -072.45657661 -95.11 tie_down props GA 19
1301 A general_aviation 
1300  41.92540982 -072.45655984 -95.11 tie_down props GA 18
1301 A general_aviation 
1300  41.92528238 -072.45654478 -95.11 tie_down props GA 17
1301 A general_aviation 
1300  41.92515237 -072.45652966 -93.80 tie_down props GA 16
1301 A general_aviation 
1300  41.92502593 -072.45651678 -93.80 tie_down props GA 15
1301 A general_aviation 
1300  41.92489826 -072.45650565 -93.80 tie_down props GA 14
1301 A general_aviation 
1300  41.92472263 -072.45648187 -93.80 tie_down props GA 13
1301 A general_aviation 
1300  41.92459619 -072.45646899 -93.80 tie_down props GA 12
1301 A general_aviation 
1300  41.92446853 -072.45645786 -93.80 tie_down props GA 11
1301 A general_aviation 
1300  41.92431494 -072.45642836 -93.80 tie_down props GA 10
1301 A general_aviation 
1300  41.92416538 -072.45638127 -93.80 tie_down props GA 09
1301 A general_aviation 
1300  41.92402745 -072.45636829 -93.80 tie_down props GA 08
1301 A general_aviation 
1300  41.92388179 -072.45635013 -93.80 tie_down props GA 07
1301 A general_aviation 
1300  41.92374174 -072.45632779 -93.46 tie_down props GA 06
1301 A general_aviation 
1300  41.92335983 -072.45632086 -94.40 tie_down props GA 05
1301 A general_aviation 
1300  41.92323626 -072.45630773 -94.58 tie_down props GA 04
1301 A general_aviation 
1300  41.92318622 -072.45562708 -93.17 tie_down props GA 03
1301 A general_aviation 
1300  41.92330435 -072.45563620 -93.17 tie_down props GA 02
1301 A general_aviation 
1300  41.92306235 -072.45622041 -93.17 tie_down props GA 01
1301 A general_aviation 
1300  41.92342035 -072.45580291 -182.54 hangar props Hangar 01
1301 A none 
1300  41.92671598 -072.45668629 -93.93 hangar props Hangar 02
1301 A none 
1300  41.92300625 -072.45528119 -182.70 hangar helos Northeast Helicopters Hangar - 02
1301 A none 
1300  41.92300073 -072.45543691 -182.70 hangar helos Northeast Helicopters Hangar - 01
1301 A none 
19  41.92303260 -072.45570331 1 New Windsock 10
54 12300 CTAF
99
