I
1050 Generated by WorldEditor

1    649 1 0 KCNO Chino
111  33.98182143 -117.63952563
111  33.98168695 -117.63953086
113  33.98168262 -117.63996246
110 1 0.00 0.0000 New Taxiway 39
111  33.97816500 -117.64422844
111  33.97816765 -117.64395756
111  33.97845290 -117.64396254
113  33.97845401 -117.64423223
110 1 0.00 0.0000 New Taxiway 38
111  33.97816375 -117.64435736
111  33.97845101 -117.64436102
111  33.97844834 -117.64462452
113  33.97816117 -117.64462076
110 1 0.00 0.0000 New Taxiway 36
111  33.98245718 -117.63865073
111  33.98247627 -117.63670567
111  33.98280076 -117.63670567
113  33.98279121 -117.63865649
110 1 0.00 0.0000 New Taxiway 42
111  33.98251061 -117.63640565
111  33.98251809 -117.63499753
111  33.98272517 -117.63499452
113  33.98270771 -117.63641468
110 1 0.00 0.0000 New Taxiway 48
111  33.98189810 -117.63650791
111  33.98174785 -117.63650459
111  33.98175976 -117.63504066
113  33.98191014 -117.63504203
110 1 0.00 0.0000 New Taxiway 50
111  33.98155141 -117.63650396
111  33.98140513 -117.63650208
111  33.98141134 -117.63503796
113  33.98156099 -117.63504008
110 1 0.00 0.0000 New Taxiway 54
111  33.98085626 -117.63649419
111  33.98069356 -117.63649574
111  33.98070466 -117.63505350
113  33.98086413 -117.63505195
110 1 0.00 0.0000 New Taxiway 56
111  33.98035966 -117.63648989
111  33.98023105 -117.63648669
111  33.98024069 -117.63503937
113  33.98036883 -117.63504113
110 1 0.00 0.0000 New Taxiway 58
111  33.98003722 -117.63648606
111  33.97990043 -117.63648676
111  33.97991050 -117.63505089
113  33.98004602 -117.63505345
110 1 0.00 0.0000 New Taxiway 61
111  33.97969473 -117.63648415
111  33.97955711 -117.63648338
111  33.97956696 -117.63505049
113  33.97970265 -117.63505049
110 1 0.00 0.0000 New Taxiway 66
111  33.98130751 -117.63865319
111  33.98097093 -117.63864945
111  33.98099054 -117.63682894
113  33.98131988 -117.63683393
110 1 0.00 0.0000 New Taxiway 68
111  33.98076859 -117.63865139
111  33.98043530 -117.63865025
111  33.98045222 -117.63682408
113  33.98078058 -117.63682314
110 1 0.00 0.0000 New Taxiway 70
111  33.98022874 -117.63864112
111  33.98010292 -117.63864112
111  33.98011721 -117.63685328
113  33.98024231 -117.63685117
110 1 0.00 0.0000 New Taxiway 74
111  33.97945287 -117.63864330
111  33.97922769 -117.63864204
111  33.97924095 -117.63680883
113  33.97946447 -117.63681139
110 1 0.00 0.0000 New Taxiway 76
111  33.97880771 -117.63871418
111  33.97882194 -117.63681302
111  33.97901603 -117.63681851
113  33.97900037 -117.63872464
110 1 0.00 0.0000 New Taxiway 78
111  33.97899593 -117.63648038
111  33.97900278 -117.63605617
111  33.97924757 -117.63605720
111  33.97924500 -117.63613874
111  33.97929635 -117.63614390
113  33.97929550 -117.63648245
110 1 0.00 0.0000 New Taxiway 80
111  33.97907172 -117.63547332
111  33.97907561 -117.63531568
111  33.97918376 -117.63531568
111  33.97918610 -117.63520871
111  33.97932460 -117.63520871
113  33.97932460 -117.63547332
110 1 0.00 0.0000 New Taxiway 82
111  33.98003757 -117.63470179
111  33.98004378 -117.63436333
111  33.98009971 -117.63436458
111  33.98009971 -117.63429339
111  33.98038141 -117.63429464
113  33.98037727 -117.63470804
110 1 0.00 0.0000 New Taxiway 84
111  33.98092258 -117.63471848
111  33.98069003 -117.63471735
111  33.98069664 -117.63341007
113  33.98093484 -117.63313155
110 1 0.00 0.0000 New Taxiway 86
111  33.98145415 -117.63473799
111  33.98114675 -117.63473965
111  33.98116325 -117.63287232
113  33.98147106 -117.63250660
110 1 0.00 0.0000 New Taxiway 88
111  33.98197775 -117.63474589
111  33.98166446 -117.63474136
111  33.98168455 -117.63224038
113  33.98199533 -117.63187768
110 2 0.00 89.4000 Taxiways and pavement
111  33.97550793 -117.64674346 3 102
111  33.97504375 -117.64674541 3 102
112  33.97498076 -117.64682859  33.97498076 -117.64688867
111  33.97498076 -117.64682859 3 102
111  33.97497666 -117.64703485 3 102
112  33.97492482 -117.64715194  33.97487998 -117.64721002 3 102
111  33.97482322 -117.64721523 3 102
111  33.97442132 -117.64721151 3 102
112  33.97431189 -117.64715272  33.97427036 -117.64710866 3 102
111  33.97425761 -117.64704422 3 102
111  33.97425429 -117.64683324 3 102
112  33.97415451 -117.64672743  33.97406482 -117.64672542
111  33.97415451 -117.64672743 3 102
111  33.97371519 -117.64672133
111  33.97330684 -117.64671879 3 102
111  33.97276029 -117.64671529 3 102
112  33.97245690 -117.64652885  33.97233973 -117.64637957 3 102
111  33.97232404 -117.64610431 3 102
111  33.97233412 -117.64427728
112  33.97233412 -117.64427728  33.97233079 -117.64413508 3 102
111  33.97227329 -117.64404671 3 102
111  33.97203778 -117.64360975 3 102
112  33.97194895 -117.64355285  33.97189517 -117.64354488 3 102
111  33.97186364 -117.64355955 3 102
111  33.97177278 -117.64360810
112  33.97177278 -117.64360810  33.97171087 -117.64363177 3 102
111  33.97167697 -117.64361826 3 102
112  33.97145811 -117.64345299  33.97133899 -117.64328747 3 102
111  33.97133771 -117.64316646 3 102
112  33.97135228 -117.64302918  33.97137838 -117.64297856
111  33.97135228 -117.64302918 3 102
111  33.97140941 -117.64294117 3 102
112  33.97144705 -117.64281588  33.97144252 -117.64274749 3 102
111  33.97139400 -117.64269326 3 102
111  33.97077670 -117.64194064
111  33.97049213 -117.64159091 3 102
111  33.97014391 -117.64115523 3 102
112  33.97008330 -117.64112971  33.97005027 -117.64112992 3 102
111  33.97002785 -117.64114832 3 102
111  33.96996143 -117.64123513 3 102
112  33.96990061 -117.64125099  33.96986884 -117.64124825 3 102
111  33.96984205 -117.64122447 3 102
111  33.96963866 -117.64097123 3 102
111  33.96996523 -117.64059241 3 102
111  33.97227559 -117.63786650 3 102
112  33.97237200 -117.63772901  33.97240123 -117.63765190 3 102
111  33.97240076 -117.63753073 3 102
111  33.97249723 -117.62557276 3 102
111  33.97242826 -117.62473845 3 102
112  33.97234455 -117.62460802  33.97227220 -117.62456440 3 102
111  33.97221352 -117.62455918
111  33.97221307 -117.62462700 106
111  33.96887626 -117.62459411 106
111  33.96889363 -117.62180487 106
111  33.97206182 -117.62184515 106
111  33.97223102 -117.62319290 106
111  33.97221983 -117.62412440 3 102
111  33.97230017 -117.62412332
112  33.97230017 -117.62412332  33.97237005 -117.62411430 3 102
111  33.97245068 -117.62403871 3 102
111  33.97271132 -117.62374818 3 102
112  33.97284749 -117.62365948  33.97292112 -117.62362637 3 102
111  33.97301082 -117.62363148 3 102
111  33.97350870 -117.62364053
111  33.97391754 -117.62364782 3 102
111  33.97439142 -117.62364460
112  33.97439142 -117.62364460  33.97445574 -117.62362279 3 102
111  33.97446929 -117.62358637 3 102
111  33.97468493 -117.62333967 3 102
112  33.97479282 -117.62329234  33.97486883 -117.62328325 3 102
111  33.97490579 -117.62332301 3 102
111  33.97519224 -117.62366194 3 102
112  33.97523831 -117.62382845  33.97523378 -117.62391284 3 102
111  33.97516667 -117.62398054 3 102
111  33.97495293 -117.62424439
112  33.97495293 -117.62424439  33.97491971 -117.62428626 3 102
111  33.97490942 -117.62434111 3 102
111  33.97485961 -117.63001252 3 102
111  33.97487342 -117.63046036 3 102
112  33.97491398 -117.63060471  33.97495550 -117.63065678 3 102
111  33.97501911 -117.63066367 3 102
111  33.97540010 -117.63072035 3 102
111  33.97564931 -117.63072718
111  33.97605611 -117.63073055 3 102
111  33.97656969 -117.63074065 3 102
112  33.97665115 -117.63067758  33.97668105 -117.63061291
111  33.97665115 -117.63067758 3 102
111  33.97665497 -117.63042194 3 102
112  33.97671193 -117.63036314  33.97676556 -117.63036190
111  33.97671193 -117.63036314 3 102
111  33.97723690 -117.63036380 3 102
112  33.97729093 -117.63042264  33.97730150 -117.63048091
111  33.97729093 -117.63042264 3 102
111  33.97728791 -117.63068177 3 102
112  33.97734487 -117.63074592  33.97740253 -117.63074592
111  33.97734487 -117.63074592 3 102
111  33.97820448 -117.63075469 3 102
112  33.97833503 -117.63078488  33.97839343 -117.63081154 3 102
111  33.97845176 -117.63088024 3 102
111  33.97867836 -117.63116413 3 102
111  33.97894657 -117.63144669 3 102
112  33.97909813 -117.63145658  33.97916517 -117.63142176
111  33.97909813 -117.63145658
111  33.98042811 -117.63058553
111  33.98111652 -117.62977006
111  33.98144710 -117.63017303 102
111  33.98150279 -117.63024127 102
112  33.98159025 -117.63026611  33.98163392 -117.63024855
111  33.98159025 -117.63026611 102
111  33.98176452 -117.63004736 102
112  33.98184524 -117.63004295  33.98188178 -117.63005838
111  33.98184524 -117.63004295 102
112  33.98208852 -117.63075812  33.98204285 -117.63124506
111  33.98208852 -117.63075812 102
111  33.98183793 -117.63103455 102
112  33.98183784 -117.63117229  33.98189813 -117.63124720
111  33.98183784 -117.63117229 102
111  33.98220882 -117.63164396 106
111  33.98265153 -117.63111510 106
111  33.98266030 -117.63193446 106
111  33.98215942 -117.63193425 106
111  33.98214461 -117.63479632 106
111  33.98295357 -117.63479383 106
111  33.98294482 -117.63642034 106
111  33.98301148 -117.63641839 106
111  33.98299450 -117.63863942 106
111  33.98293793 -117.63863876 106
111  33.98293980 -117.63869896 106
112  33.98285664 -117.63880647  33.98276679 -117.63882152
111  33.98285664 -117.63880647 106
111  33.97900837 -117.63878042 106
111  33.97900664 -117.63912949 106
111  33.98262482 -117.63914874 106
112  33.98272015 -117.63918753  33.98276333 -117.63922384 106
111  33.98276522 -117.63930607 106
111  33.98276600 -117.64013716 106
111  33.98221290 -117.64013773 106
111  33.98162565 -117.64019251 106
111  33.98145032 -117.64019226 106
111  33.98145008 -117.64046150 106
111  33.98095661 -117.64046269 106
111  33.98095141 -117.64096147 106
111  33.98111302 -117.64097593 106
111  33.98111251 -117.64154853 106
111  33.98176567 -117.64156632 106
111  33.98176998 -117.64252704 106
111  33.98169845 -117.64252705
111  33.98127614 -117.64252795
111  33.98127029 -117.64319024
111  33.98169742 -117.64319240 106
111  33.98169431 -117.64351768
111  33.98126881 -117.64351334
111  33.98126555 -117.64417917
111  33.98168871 -117.64418442 106
111  33.98168172 -117.64450647
111  33.98125151 -117.64450350
111  33.98124518 -117.64517003
111  33.98167663 -117.64516941 106
111  33.98167409 -117.64550139
111  33.98125285 -117.64549322
111  33.98124874 -117.64616397
111  33.98166905 -117.64615843 106
111  33.98166015 -117.64731800 106
111  33.98105152 -117.64731661
111  33.98106507 -117.64627979
111  33.98078150 -117.64627909
111  33.98077321 -117.64731597 106
111  33.97995025 -117.64731408 106
111  33.97995158 -117.64697091
112  33.97995158 -117.64697091  33.97994903 -117.64692568 106
111  33.97991190 -117.64692963 106
111  33.97944523 -117.64693558 106
112  33.97940744 -117.64697458  33.97940356 -117.64701323
111  33.97940744 -117.64697458 106
111  33.97940245 -117.64738111 106
111  33.97910478 -117.64738966
111  33.97910504 -117.64735165
111  33.97910722 -117.64698447
111  33.97884407 -117.64697417
111  33.97884728 -117.64661323
111  33.97889920 -117.64661312
111  33.97889992 -117.64648678
111  33.97910482 -117.64648635
111  33.97910646 -117.64638907
111  33.97960604 -117.64638350
111  33.97960937 -117.64587978
111  33.97911362 -117.64588379
111  33.97911506 -117.64568464
111  33.97855369 -117.64568993 106
111  33.97855716 -117.64544333 106
111  33.97705632 -117.64542529 102
112  33.97693959 -117.64546264  33.97688880 -117.64549409 102
111  33.97689182 -117.64558373 102
111  33.97689258 -117.64616922 102
112  33.97696766 -117.64636481  33.97702504 -117.64641215 102
112  33.97714010 -117.64648646  33.97720352 -117.64658296
111  33.97714010 -117.64648646 102
112  33.97716027 -117.64668215  33.97712403 -117.64678958
111  33.97716027 -117.64668215 102
112  33.97696250 -117.64695715  33.97680157 -117.64711145 102
111  33.97666983 -117.64709792
112  33.97666983 -117.64709792  33.97658761 -117.64710233 102
111  33.97653886 -117.64697214 102
111  33.97653537 -117.64688009
112  33.97653537 -117.64688009  33.97652807 -117.64677654 102
112  33.97640164 -117.64674724  33.97632490 -117.64672080
111  33.97640164 -117.64674724 102
113  33.97591724 -117.64675028
111  33.97592306 -117.64624695 102
112  33.97599782 -117.64646348  33.97604530 -117.64652345 102
111  33.97609298 -117.64652334 102
111  33.97654322 -117.64649522 102
112  33.97664272 -117.64645218  33.97668280 -117.64641624 102
111  33.97669758 -117.64634402 102
111  33.97675057 -117.64581213 102
111  33.97675946 -117.64493884 102
111  33.97673167 -117.64446802 102
112  33.97668939 -117.64433158  33.97665856 -117.64428696 102
111  33.97658034 -117.64425015 102
112  33.97614417 -117.64418665  33.97598180 -117.64418294
111  33.97614417 -117.64418665 102
112  33.97603908 -117.64422212  33.97597434 -117.64426425 102
113  33.97593944 -117.64434657
111  33.97594193 -117.64402511 102
112  33.97616054 -117.64404008  33.97623658 -117.64403760 102
111  33.97654006 -117.64399745 102
112  33.97666197 -117.64393989  33.97671174 -117.64389219 102
111  33.97672926 -117.64381784 102
111  33.97678343 -117.64317014 102
111  33.97680320 -117.64000867 102
111  33.97675436 -117.63955574 102
112  33.97670667 -117.63939463  33.97666937 -117.63934365 102
111  33.97652821 -117.63933696 102
111  33.97610569 -117.63934109 102
112  33.97602987 -117.63937710  33.97599759 -117.63941095 102
113  33.97598189 -117.63946183
111  33.97598717 -117.63880594 102
112  33.97604846 -117.63901420  33.97608698 -117.63907024 102
111  33.97614795 -117.63907030 102
111  33.97655828 -117.63906891 102
112  33.97667590 -117.63903097  33.97673289 -117.63898929 102
111  33.97674976 -117.63888748 102
111  33.97680411 -117.63837895 102
111  33.97680721 -117.63748552 102
111  33.97677165 -117.63705669 102
112  33.97669642 -117.63685876  33.97663761 -117.63682742 102
111  33.97654323 -117.63688515 102
111  33.97623138 -117.63716060
112  33.97623138 -117.63716060  33.97606041 -117.63733873 102
113  33.97599886 -117.63752510
111  33.97600572 -117.63672460 102
112  33.97609128 -117.63684626  33.97616849 -117.63688165 102
111  33.97622600 -117.63683346 102
112  33.97652931 -117.63653823  33.97654714 -117.63651672 102
112  33.97675909 -117.63619021  33.97677013 -117.63616256 102
112  33.97681244 -117.63577292  33.97681413 -117.63573503 102
112  33.97679055 -117.63532430  33.97678036 -117.63528538
111  33.97679055 -117.63532430 102
112  33.97671608 -117.63511147  33.97665154 -117.63507972 102
111  33.97655393 -117.63513957
113  33.97601122 -117.63577575
111  33.97690017 -117.64513014 102
112  33.97694621 -117.64524774  33.97699759 -117.64528367 102
111  33.97705850 -117.64528640
111  33.97801043 -117.64529002
111  33.97836885 -117.64487147
111  33.97815874 -117.64486983
111  33.97816117 -117.64462076
111  33.97844834 -117.64462452
111  33.97845101 -117.64436102
111  33.97816375 -117.64435736
111  33.97816500 -117.64422844
111  33.97845401 -117.64423223
111  33.97845290 -117.64396254
111  33.97816765 -117.64395756
111  33.97817038 -117.64367814
111  33.97852461 -117.64367875
112  33.97850477 -117.64354612  33.97848109 -117.64347750
111  33.97835866 -117.64346204
111  33.97704210 -117.64346282 102
112  33.97695653 -117.64350930  33.97692507 -117.64354393 102
113  33.97691346 -117.64360090 102
111  33.97804786 -117.64333939
111  33.97839528 -117.64334211
112  33.97851119 -117.64325398  33.97854305 -117.64317963
111  33.97854428 -117.64314095
113  33.97804835 -117.64314095
111  33.97691651 -117.64318750 102
112  33.97696961 -117.64329096  33.97699970 -117.64331735 102
111  33.97705180 -117.64333040
111  33.97790218 -117.64333535
111  33.97790740 -117.64313502
111  33.97777062 -117.64313502
111  33.97777062 -117.64298493
111  33.97780990 -117.64298595
111  33.97784287 -117.63955745
111  33.97851208 -117.63956141
111  33.97851381 -117.63936489
111  33.97782543 -117.63935831
111  33.97780353 -117.64185631
111  33.97712886 -117.64185703
113  33.97692156 -117.64185592 102
111  33.97784531 -117.63909650
111  33.97853916 -117.63909431
111  33.97854438 -117.63785614
112  33.97854438 -117.63785614  33.97853986 -117.63782342
111  33.97851481 -117.63782291
111  33.97841355 -117.63782321
112  33.97834861 -117.63790166  33.97833956 -117.63794937
111  33.97834070 -117.63795973
113  33.97784798 -117.63795749 102
111  33.97834551 -117.63763589
112  33.97834551 -117.63763589  33.97836133 -117.63769723
111  33.97840973 -117.63771614
111  33.97848770 -117.63771944
112  33.97848770 -117.63771944  33.97853630 -117.63771807
111  33.97854651 -117.63767325
111  33.97855020 -117.63711081
112  33.97855020 -117.63711081  33.97854793 -117.63707401 102
111  33.97851576 -117.63707338
111  33.97839380 -117.63707338
112  33.97839380 -117.63707338  33.97834745 -117.63708156
113  33.97834610 -117.63713777
111  33.97833875 -117.63677257
112  33.97834339 -117.63687285  33.97835613 -117.63693635
111  33.97840314 -117.63694933
111  33.97853069 -117.63694933
112  33.97853069 -117.63694933  33.97854938 -117.63694113
111  33.97855235 -117.63691934
112  33.97856354 -117.63657147  33.97855505 -117.63646086
112  33.97848893 -117.63635555  33.97844987 -117.63629205
111  33.97832977 -117.63616661
111  33.97802186 -117.63652458
112  33.97802186 -117.63652458  33.97795392 -117.63659525
111  33.97786473 -117.63661495
111  33.97786100 -117.63680238
111  33.97807363 -117.63679938
111  33.97807487 -117.63661945
111  33.97843519 -117.63662095
113  33.97843547 -117.63677711
111  33.97708736 -117.63451158
112  33.97708736 -117.63451158  33.97705180 -117.63456931 102
111  33.97704354 -117.63466347 102
111  33.97704268 -117.63545577 102
112  33.97712018 -117.63559643  33.97719814 -117.63564756 102
111  33.97726747 -117.63559547 102
111  33.97769742 -117.63519009 102
111  33.97934874 -117.63321792 102
111  33.97957235 -117.63289169 102
112  33.97962333 -117.63275367  33.97962634 -117.63267928 102
111  33.97958969 -117.63260571 102
111  33.97925040 -117.63223326 102
112  33.97915205 -117.63219812  33.97909553 -117.63219688 102
113  33.97903826 -117.63221520
111  33.97951108 -117.63165908 102
112  33.97943792 -117.63184961  33.97941554 -117.63193958 102
111  33.97945448 -117.63201103 102
111  33.97976472 -117.63239563 102
112  33.97986249 -117.63245171  33.97991562 -117.63245444 102
111  33.97998078 -117.63242145 102
112  33.98024118 -117.63217784  33.98026379 -117.63215466 102
111  33.98075523 -117.63159702 102
112  33.98080833 -117.63147467  33.98081850 -117.63140379 102
111  33.98078532 -117.63135706 102
111  33.98043422 -117.63092132 102
112  33.98031207 -117.63086632  33.98023746 -117.63085950 102
113  33.98012763 -117.63093585
111  33.98043357 -117.63058329 102
111  33.98089349 -117.63114762 102
112  33.98099968 -117.63121543  33.98105391 -117.63122361 102
111  33.98111837 -117.63117890 102
111  33.98141773 -117.63073499 102
112  33.98146699 -117.63061658  33.98147491 -117.63055115 102
111  33.98144029 -117.63047461 102
111  33.98133634 -117.63030853
111  33.98119398 -117.63008322
112  33.98102202 -117.63000829  33.98092728 -117.63000616
113  33.98087809 -117.63006134
111  33.97906825 -117.63389673 102
112  33.97902665 -117.63402008  33.97902011 -117.63409894 102
111  33.97905247 -117.63415123 102
111  33.97927171 -117.63441847 102
112  33.97937613 -117.63448191  33.97944246 -117.63449318 102
111  33.97949239 -117.63444389 102
111  33.98016101 -117.63365885 102
112  33.98024147 -117.63347541  33.98024486 -117.63341135 102
111  33.98021435 -117.63336447 102
111  33.97997178 -117.63307826 102
112  33.97988127 -117.63302369  33.97983379 -117.63302233 102
111  33.97978653 -117.63305596 102
114  33.97949990 -117.63331743  33.97948181 -117.63333787 102
111  33.98015781 -117.63260901 102
112  33.98011634 -117.63271837  33.98011326 -117.63277517 102
111  33.98013798 -117.63284640 102
111  33.98041011 -117.63318594 102
112  33.98049331 -117.63319098  33.98055548 -117.63316917 102
111  33.98060657 -117.63313032 102
111  33.98177182 -117.63176050 102
112  33.98183845 -117.63162578  33.98184716 -117.63157330 102
111  33.98181859 -117.63152000 102
111  33.98154830 -117.63117419 102
112  33.98134232 -117.63120583  33.98121457 -117.63131666 3 102
111  33.98123264 -117.63142707 3 102
112  33.98127720 -117.63155271  33.98130772 -117.63162087
111  33.98127720 -117.63155271 3 102
112  33.98116326 -117.63194499  33.98098014 -117.63214402 3 102
111  33.98084564 -117.63208914 3 102
112  33.98072810 -117.63201119  33.98067836 -117.63196075
111  33.98072810 -117.63201119
112  33.98072810 -117.63201119  33.98066479 -117.63197166 3 102
111  33.98058843 -117.63201228 102
113  33.98035175 -117.63229717 102
111  33.97881343 -117.63179445
112  33.97881343 -117.63179445  33.97885446 -117.63172098 102
111  33.97880518 -117.63161387 102
112  33.97860904 -117.63132495  33.97858293 -117.63129496 102
111  33.97832306 -117.63103958
112  33.97832306 -117.63103958  33.97826462 -117.63099310 102
111  33.97818088 -117.63097222 102
111  33.97777397 -117.63092932 102
111  33.97759286 -117.63092580 102
111  33.97718988 -117.63097520
112  33.97718988 -117.63097520  33.97709041 -117.63097670 102
111  33.97706575 -117.63109746 102
112  33.97701397 -117.63161733  33.97701024 -117.63167281 102
112  33.97699808 -117.63297697  33.97700109 -117.63304228 102
111  33.97702566 -117.63341531 102
112  33.97708855 -117.63360037  33.97715023 -117.63368564 102
113  33.97727014 -117.63361107
111  33.97601872 -117.63493692
112  33.97601872 -117.63493692  33.97604646 -117.63501499
111  33.97611516 -117.63497133
111  33.97678476 -117.63418378
112  33.97678476 -117.63418378  33.97681074 -117.63414914 102
111  33.97682333 -117.63405935 102
112  33.97685592 -117.63373674  33.97685729 -117.63366911 102
112  33.97687729 -117.63167733  33.97687428 -117.63160657 102
111  33.97682583 -117.63112433 102
112  33.97676821 -117.63100658  33.97672909 -117.63097211 102
111  33.97666725 -117.63096467
112  33.97666725 -117.63096467  33.97654087 -117.63095016 102
111  33.97635897 -117.63099987 102
112  33.97617737 -117.63115626  33.97610515 -117.63124879 102
113  33.97605109 -117.63141286
111  33.97372218 -117.64601792 3 102
112  33.97382465 -117.64627719  33.97389938 -117.64636844 3 102
111  33.97400699 -117.64638442 3 102
112  33.97485545 -117.64646820  33.97489156 -117.64647001 3 102
111  33.97535930 -117.64647865 3 102
112  33.97545027 -117.64644231  33.97549959 -117.64640761 3 102
111  33.97551168 -117.64633533
111  33.97557223 -117.63944211
