A
1000 Generated by WorldEditor

1     17 1 0 KFMY Page Fld
111  26.58323213 -081.86203011 20
111  26.58323222 -081.86180241 20
111  26.58382424 -081.86180257 20
113  26.58382464 -081.86202921 20
110 1 0.00 0.0000 New Taxiway 22
111  26.58323494 -081.86163337 20
111  26.58323504 -081.86140567 20
111  26.58382705 -081.86140584 20
113  26.58382745 -081.86163248 20
110 1 0.00 0.0000 New Taxiway 22
111  26.58323776 -081.86124923 20
111  26.58323786 -081.86102153 20
111  26.58382987 -081.86102170 20
113  26.58383027 -081.86124833 20
110 1 0.00 0.0000 New Taxiway 22
111  26.58323601 -081.86084843 20
111  26.58323611 -081.86062073 20
111  26.58382812 -081.86062090 20
113  26.58382852 -081.86084754 20
110 1 0.00 0.0000 New Taxiway 22
111  26.58323776 -081.86045154 20
111  26.58323786 -081.86022384 20
111  26.58382987 -081.86022401 20
113  26.58383027 -081.86045065 20
110 1 0.00 0.0000 New Taxiway 22
111  26.58323951 -081.86009767 20
111  26.58323961 -081.85986997 20
111  26.58383162 -081.85987014 20
113  26.58383202 -081.86009678 20
110 1 0.00 0.0000 New Taxiway 22
111  26.58178203 -081.86101255 20
111  26.58178253 -081.86075368 20
111  26.58217670 -081.86076423 20
113  26.58217670 -081.86102204 20
110 1 0.00 0.0000 New Taxiway 21
111  26.58163517 -081.86053154 20
111  26.58163432 -081.86022197 20
111  26.58186311 -081.86022471 20
113  26.58185767 -081.86053416 20
110 2 0.00 0.0000 New Taxiway 20
111  26.58091524 -081.85873085 20
111  26.58046074 -081.85828489 20
111  26.58057895 -081.85812760 20
111  26.58093121 -081.85846919 20
111  26.58137607 -081.85848326 20
113  26.58137256 -081.85873403 20
110 1 0.00 0.0000 New Taxiway 19
111  26.58160608 -081.85879884 20
111  26.58160736 -081.85855382 20
111  26.58209578 -081.85856527 20
113  26.58209374 -081.85880571 20
110 1 0.00 0.0000 New Taxiway 18
111  26.58200807 -081.85957543 20
111  26.58200927 -081.85922019 20
111  26.58233518 -081.85923072 20
113  26.58233692 -081.85958372 20
110 2 0.00 0.0000 New Taxiway 17
111  26.58532996 -081.85729198 20
111  26.58510441 -081.85699479 20
111  26.58523730 -081.85686966 20
113  26.58545935 -081.85717271 20
110 2 0.00 0.0000 New Taxiway 17
111  26.58504464 -081.85677422 20
111  26.58491821 -081.85659989 20
111  26.58513469 -081.85639865 20
113  26.58526598 -081.85657083 20
110 2 0.00 0.0000 New Taxiway 17
111  26.58565867 -081.85693809 20
111  26.58543312 -081.85664091 20
111  26.58556600 -081.85651578 20
113  26.58578805 -081.85681883 20
110 2 0.00 0.0000 New Taxiway 13
111  26.58645830 -081.85919827 20
111  26.58694681 -081.85874017 20
111  26.58708913 -081.85893158 20
113  26.58661024 -081.85939613 20
110 2 0.00 0.0000 New Taxiway 13
111  26.58621981 -081.85889717 20
111  26.58670832 -081.85843908 20
111  26.58685449 -081.85863049 20
113  26.58637560 -081.85909503 20
110 2 0.00 0.0000 New Taxiway 13
111  26.58600056 -081.85859178 20
111  26.58648907 -081.85813368 20
111  26.58663524 -081.85832509 20
113  26.58615634 -081.85878964 20
110 2 0.00 0.0000 New Taxiway 12
111  26.58809155 -081.85723504 20
111  26.58822193 -081.85710899 20
111  26.58862575 -081.85760769 20
113  26.58849949 -081.85773989 20
110 2 0.00 0.0000 New Taxiway 12
111  26.58839175 -081.85694097 20
111  26.58852214 -081.85681493 20
111  26.58890370 -081.85730651 20
113  26.58877744 -081.85743872 20
110 1 0.00 0.0000 New Taxiway 12
111  26.58705569 -081.85822436 20
111  26.58720512 -081.85807702 20
111  26.58762994 -081.85863412 20
113  26.58748464 -081.85877816 20
110 1 0.00 0.0000 New Taxiway 12
111  26.58743015 -081.85796176 20
111  26.58757112 -081.85783098 20
111  26.58793459 -081.85828399 20
113  26.58780198 -081.85842093 20
110 1 0.00 0.0000 New Taxiway 12
111  26.58776294 -081.85766083 20
111  26.58789332 -081.85753479 20
111  26.58823141 -081.85795940 20
113  26.58810726 -081.85808925 20
110 2 0.00 0.0000 New Taxiway 12
111  26.58864571 -081.85675334 20
111  26.58877610 -081.85662729 20
111  26.58909725 -081.85704244 20
113  26.58897099 -081.85717465 20
110 1 0.00 0.0000 New Taxiway 8
111  26.59049542 -081.86315775 20
111  26.59090154 -081.86265880 20
111  26.59143490 -081.86323931 20
113  26.59103366 -081.86375158 20
110 1 0.00 0.0000 New Taxiway 8
111  26.59165435 -081.86065350 20
111  26.59221740 -081.85994531 20
111  26.59263004 -081.86038406 20
113  26.59207186 -081.86110559 20
110 1 0.00 0.0000 New Taxiway 8
111  26.59000047 -081.86270550 20
111  26.59130596 -081.86107930 20
111  26.59171859 -081.86151806 20
113  26.59041798 -081.86315758 20
110 2 0.00 0.0000 New Taxiway 7
111  26.58997971 -081.86269808 20
111  26.59223283 -081.85988573 20
111  26.59354807 -081.86128618 20
113  26.59126093 -081.86408785 20
110 1 0.00 0.0000 New Taxiway 5
111  26.58653174 -081.86805935 20
111  26.58671829 -081.86723348 20
111  26.58692216 -081.86728295 20
111  26.58686639 -081.86757114 20
112  26.58695870 -081.86774104  26.58692793 -081.86790450 20
111  26.58680484 -081.86786363 20
113  26.58674907 -081.86810881 20
110 2 0.00 0.0000 New Taxiway 4
111  26.58793412 -081.86839169 20
111  26.58651041 -081.86807143 20
111  26.58670461 -081.86721890 20
113  26.58808448 -081.86756694 20
110 2 0.00 0.0000 New Taxiway 1
111  26.58941848 -081.86844007 20
111  26.58977046 -081.86811888 20
111  26.58996194 -081.86837394 20
113  26.58960433 -081.86869513 20
110 1 0.25 47.7100 A-N
111  26.58657423 -081.86100797
111  26.58660703 -081.86093920 3 102
112  26.58672770 -081.86090329  26.58679679 -081.86082958
111  26.58672770 -081.86090329 3 102
111  26.58700527 -081.86055928
112  26.58700527 -081.86055928  26.58707256 -081.86046300 3 102
111  26.58700307 -081.86037291
111  26.58708910 -081.86028155 3 102
112  26.58724141 -081.86026886  26.58729144 -081.86020747
111  26.58724141 -081.86026886 3 102
111  26.58769273 -081.85971824 3 102
111  26.58794569 -081.85940450 3 102
111  26.58865198 -081.85853402
111  26.58892205 -081.85819924 3 102
111  26.58973726 -081.85721669 3 102
112  26.59030194 -081.85676814  26.59047088 -081.85669220
111  26.59030194 -081.85676814
112  26.59030194 -081.85676814  26.59046205 -081.85666962 3 102
112  26.59075995 -081.85655324  26.59098825 -081.85644891
111  26.59075995 -081.85655324 3 102
112  26.59116861 -081.85643374  26.59139045 -081.85639521 3 102
111  26.59165560 -081.85637353 3 102
111  26.59168081 -081.85640599
111  26.59174241 -081.85647907
111  26.59147381 -081.85679857
111  26.59136743 -081.85680266 3 102
112  26.59104854 -081.85662532  26.59065401 -081.85674667
111  26.59104854 -081.85662532 3 102
112  26.59080598 -081.85670234  26.59070331 -081.85674555
111  26.59080598 -081.85670234 3 102
111  26.59077166 -081.85671440
112  26.59077166 -081.85671440  26.59071264 -081.85673854 3 102
112  26.59061549 -081.85693853  26.59063246 -081.85712431
111  26.59061549 -081.85693853
112  26.59061549 -081.85693853  26.59067411 -081.85703116 3 102
111  26.59075444 -081.85709924
112  26.59075444 -081.85709924  26.59094793 -081.85733562 3 102
111  26.59105429 -081.85717589
111  26.59108795 -081.85720892
111  26.59076024 -081.85763450
111  26.59073383 -081.85759189 3 102
112  26.59050858 -081.85706260  26.59016364 -081.85676956
111  26.59050858 -081.85706260
112  26.59050858 -081.85706260  26.59035891 -081.85694234 3 102
111  26.59020291 -081.85701696 3 102
112  26.58979969 -081.85737896  26.58965973 -081.85754468
111  26.58979969 -081.85737896 3 102
112  26.58822517 -081.85929894  26.58808521 -081.85946466
111  26.58822517 -081.85929894 3 102
111  26.58744520 -081.86026700 3 102
112  26.58750448 -081.86077080  26.58771429 -081.86103073
111  26.58750448 -081.86077080 3 102
111  26.58767282 -081.86099097
112  26.58767282 -081.86099097  26.58779907 -081.86114341 3 102
111  26.58794315 -081.86100103
111  26.58798843 -081.86101806
111  26.58765281 -081.86143691
111  26.58761402 -081.86140190 3 102
112  26.58754339 -081.86112435  26.58742264 -081.86097826
111  26.58754339 -081.86112435 3 102
111  26.58737085 -081.86090242
112  26.58737085 -081.86090242  26.58725435 -081.86076900 3 102
112  26.58699429 -081.86083801  26.58693789 -081.86087260
111  26.58699429 -081.86083801 3 102
111  26.58696547 -081.86086211 3 102
111  26.58682725 -081.86101534
112  26.58682725 -081.86101534  26.58675864 -081.86109973 3 102
111  26.58680669 -081.86118933
113  26.58672066 -081.86118061
110 1 0.25 43.0000 A-S
111  26.58239241 -081.86539717
111  26.58255872 -081.86523852 53 102
111  26.58372891 -081.86405812 53 102
112  26.58391146 -081.86384926  26.58397349 -081.86377483 53 102
112  26.58398226 -081.86360860  26.58398519 -081.86350045
111  26.58398226 -081.86360860
112  26.58398226 -081.86360860  26.58396572 -081.86338061 53 102
111  26.58378876 -081.86335105
111  26.58380444 -081.86322659 53 102
112  26.58393239 -081.86317577  26.58397713 -081.86314033 53 102
111  26.58400149 -081.86308251 53 102
111  26.58401234 -081.86290182 53 102
111  26.58401181 -081.86257619
111  26.58401447 -081.86235769 53 102
111  26.58401362 -081.86227245
111  26.58401084 -081.86194544 53 102
111  26.58401058 -081.86188341
111  26.58401018 -081.86156777 53 102
111  26.58400983 -081.86149340
111  26.58401430 -081.86115916 53 102
111  26.58401437 -081.86108284
111  26.58401178 -081.86078878 53 102
111  26.58401162 -081.86069930
111  26.58401207 -081.86040363 53 102
111  26.58401211 -081.86028587
111  26.58401146 -081.86002632 53 102
111  26.58401215 -081.85992869
111  26.58396438 -081.85970022
111  26.58396557 -081.85929624 53 102
111  26.58397181 -081.85912438 53 102
111  26.58399622 -081.85838190
112  26.58399622 -081.85838190  26.58399216 -081.85822292 53 102
111  26.58395172 -081.85818801
111  26.58400075 -081.85805715
111  26.58442265 -081.85865637
111  26.58446504 -081.85884333 53 102
111  26.58431177 -081.85885223 53 102
112  26.58420839 -081.85898822  26.58420162 -081.85915023
111  26.58420839 -081.85898822 53 102
111  26.58420712 -081.85913708 53 102
111  26.58419177 -081.86304100 53 102
112  26.58434140 -081.86318544  26.58450322 -081.86328371
111  26.58434140 -081.86318544
112  26.58434140 -081.86318544  26.58446137 -081.86325563 53 102
111  26.58459695 -081.86316213 53 102
111  26.58612502 -081.86159390 53 102
111  26.58626650 -081.86144813
112  26.58626650 -081.86144813  26.58636798 -081.86133466 53 102
111  26.58631800 -081.86126782
111  26.58638145 -081.86118178
111  26.58660808 -081.86147256
111  26.58660117 -081.86164599 53 102
112  26.58633147 -081.86161421  26.58618234 -081.86169687
111  26.58633147 -081.86161421 53 102
111  26.58622729 -081.86172659 53 102
112  26.58617833 -081.86207585  26.58623285 -081.86237946
111  26.58617833 -081.86207585 53 102
111  26.58622396 -081.86235079 53 102
111  26.58628136 -081.86271234
112  26.58628136 -081.86271234  26.58630973 -081.86294034 53 102
111  26.58645640 -081.86282963
111  26.58646737 -081.86292490
111  26.58621343 -081.86325079
111  26.58610907 -081.86325064 53 102
112  26.58614904 -081.86288689  26.58611166 -081.86267709 53 102
111  26.58605923 -081.86237618
112  26.58605923 -081.86237618  26.58601023 -081.86210932 53 102
111  26.58576449 -081.86219071 53 102
111  26.58482630 -081.86316366 53 102
112  26.58492348 -081.86350033  26.58514676 -081.86363422
111  26.58492348 -081.86350033
112  26.58492348 -081.86350033  26.58515110 -081.86355913 53 102
111  26.58515110 -081.86355913 53 102
112  26.58554194 -081.86365489  26.58574229 -081.86369653 53 102
111  26.58585568 -081.86357898
111  26.58586891 -081.86370771
111  26.58556481 -081.86404800
111  26.58548618 -081.86403930 53 102
112  26.58537625 -081.86380191  26.58517944 -081.86375433
111  26.58537625 -081.86380191 53 102
111  26.58510980 -081.86372736 53 102
111  26.58465585 -081.86361171 53 102
112  26.58439797 -081.86360317  26.58429147 -081.86364040
111  26.58439797 -081.86360317 53 102
111  26.58427279 -081.86372224
112  26.58427279 -081.86372224  26.58420304 -081.86379711 53 102
111  26.58419078 -081.86383892 53 102
111  26.58417999 -081.86423987 53 102
111  26.58418618 -081.86485929 53 102
111  26.58418474 -081.86503623
112  26.58418474 -081.86503623  26.58418160 -081.86537692 53 102
111  26.58444991 -081.86529080
111  26.58455556 -081.86541700
111  26.58394638 -081.86610137
111  26.58387168 -081.86601194 53 102
112  26.58393899 -081.86572933  26.58394843 -081.86553405
111  26.58393899 -081.86572933 53 102
111  26.58394781 -081.86485892 53 102
111  26.58395426 -081.86460626 53 102
112  26.58380909 -081.86440744  26.58367541 -081.86436177 53 102
111  26.58359013 -081.86442902 53 102
111  26.58262227 -081.86541191 53 102
112  26.58250653 -081.86566118  26.58247855 -081.86579971 53 102
111  26.58213800 -081.86737688 53 102
112  26.58205681 -081.86783503  26.58202199 -081.86806867 53 102
111  26.58224483 -081.86800603
111  26.58230899 -081.86806440
111  26.58175894 -081.86874993
111  26.58170283 -081.86867184 53 102
111  26.58199813 -081.86733496 53 102
112  26.58203987 -081.86709127  26.58204477 -081.86700457 53 102
112  26.58193924 -081.86702778  26.58191340 -081.86705601
111  26.58193924 -081.86702778 53 102
111  26.58113699 -081.86801875 53 102
111  26.58022251 -081.86914510 53 102
111  26.57976222 -081.86976795 53 102
112  26.57971100 -081.87037434  26.57984737 -081.87064562
111  26.57971100 -081.87037434
112  26.57971100 -081.87037434  26.57996471 -081.87076973 53 102
111  26.58022743 -081.87048086
111  26.58026966 -081.87056977
111  26.57993422 -081.87101331
111  26.57985530 -081.87093975 53 102
112  26.57956181 -081.87050245  26.57952290 -081.87041332 53 102
112  26.57947111 -081.87008995  26.57947587 -081.86993570 53 102
112  26.57972999 -081.86950505  26.57992820 -081.86925150
111  26.57972999 -081.86950505 53 102
111  26.57980447 -081.86941059 53 102
111  26.58194171 -081.86678996 2
112  26.58214407 -081.86647436  26.58221643 -081.86630954
111  26.58214407 -081.86647436
112  26.58214407 -081.86647436  26.58221937 -081.86630149 2
111  26.58223215 -081.86623817 53 102
113  26.58226526 -081.86605737 2
110 1 0.00 0.0000 B
111  26.59189241 -081.86791722
111  26.59189857 -081.86783294 53 102
112  26.59208342 -081.86785213  26.59216943 -081.86776733
111  26.59208342 -081.86785213
112  26.59208342 -081.86785213  26.59215648 -081.86777560 53 102
112  26.59219879 -081.86766675  26.59223209 -081.86760159
111  26.59219879 -081.86766675
112  26.59219879 -081.86766675  26.59220255 -081.86751392 53 102
111  26.59207008 -081.86750304 53 102
112  26.59205806 -081.86732731  26.59202107 -081.86721561 53 102
111  26.59194635 -081.86715006
112  26.59194635 -081.86715006  26.59207861 -081.86704663 53 102
111  26.59203072 -081.86695636 53 102
111  26.59160088 -081.86638207 53 102
111  26.59108011 -081.86569954 53 102
112  26.59084800 -081.86564333  26.59072126 -081.86576276 53 102
111  26.59073945 -081.86573929 53 102
111  26.59056993 -081.86589783
112  26.59056993 -081.86589783  26.59049703 -081.86598192 53 102
111  26.59054802 -081.86607444
111  26.59049919 -081.86614498
111  26.59048772 -081.86613075
111  26.59029020 -081.86582040
111  26.59034870 -081.86581174 53 102
112  26.59049671 -081.86580409  26.59057354 -081.86574382
111  26.59049671 -081.86580409 53 102
111  26.59067069 -081.86564142 53 102
111  26.59077162 -081.86554011
112  26.59077162 -081.86554011  26.59085796 -081.86547105 53 102
111  26.59080585 -081.86534996 53 102
111  26.59018329 -081.86453103 53 102
111  26.58900470 -081.86298638 53 102
111  26.58893750 -081.86290802
111  26.58893606 -081.86276159
111  26.58869783 -081.86260726 53 102
111  26.58828029 -081.86206992 53 102
111  26.58817556 -081.86191794
111  26.58829364 -081.86181370 53 102
111  26.58840237 -081.86196306 53 102
111  26.58876480 -081.86237664
111  26.58898744 -081.86272752
111  26.58901985 -081.86280648 53 102
111  26.58906958 -081.86286707 53 102
111  26.58993954 -081.86400431 53 102
111  26.59014489 -081.86427930 53 102
111  26.59028375 -081.86444992 53 102
111  26.59052475 -081.86477546 53 102
111  26.59109681 -081.86552263 53 102
111  26.59182019 -081.86646064
111  26.59197028 -081.86665725 53 102
112  26.59228601 -081.86709140  26.59234520 -081.86718035 53 102
112  26.59237217 -081.86738328  26.59237542 -081.86746409 53 102
112  26.59231952 -081.86773167  26.59227790 -081.86780406 53 102
112  26.59223997 -081.86785838  26.59219808 -081.86791338 53 102
111  26.59206248 -081.86805246
113  26.59202297 -081.86806621
110 1 0.00 0.0000 B-SOUTH
111  26.58700307 -081.86037291 102
111  26.58515789 -081.85794720 102
112  26.58497250 -081.85795093  26.58487913 -081.85804211
111  26.58497250 -081.85795093 102
111  26.58486469 -081.85804946 102
111  26.58472603 -081.85818850
112  26.58472603 -081.85818850  26.58461134 -081.85829476 102
111  26.58463071 -081.85836707
111  26.58460000 -081.85843433
111  26.58436347 -081.85813534
111  26.58441281 -081.85808359 102
112  26.58464238 -081.85810017  26.58475703 -081.85798984
111  26.58464238 -081.85810017 102
111  26.58478748 -081.85795742 102
111  26.58490955 -081.85784338
112  26.58490955 -081.85784338  26.58501942 -081.85771937 102
111  26.58488374 -081.85759609 102
111  26.58404386 -081.85649704
112  26.58404386 -081.85649704  26.58393957 -081.85637924 102
111  26.58379476 -081.85656605 102
111  26.58375305 -081.85660281 102
112  26.58360986 -081.85673893  26.58350876 -081.85684533 102
111  26.58362843 -081.85706243
111  26.58351618 -081.85695490
111  26.58327946 -081.85668211
111  26.58329146 -081.85662449 102
111  26.58357953 -081.85636240 102
111  26.58373719 -081.85620503
112  26.58373719 -081.85620503  26.58379071 -081.85616069 102
112  26.58401796 -081.85620580  26.58406554 -081.85625900
111  26.58401796 -081.85620580 102
111  26.58498833 -081.85752428
112  26.58498833 -081.85752428  26.58510015 -081.85765364 102
111  26.58518593 -081.85757521
111  26.58526467 -081.85768566 102
112  26.58525299 -081.85788235  26.58530615 -081.85798366
111  26.58525299 -081.85788235 102
111  26.58594943 -081.85879752
111  26.58618890 -081.85911316 102
113  26.58708910 -081.86028155
110 1 0.00 90.0000 C
111  26.58935645 -081.86221239 3 102
111  26.58906182 -081.86257983
112  26.58906182 -081.86257983  26.58895341 -081.86270551 3 102
111  26.58901985 -081.86280648
111  26.58893750 -081.86290802 3 102
112  26.58875589 -081.86294042  26.58865955 -081.86305698
111  26.58875589 -081.86294042 3 102
112  26.58867272 -081.86303450  26.58857638 -081.86315106
111  26.58867272 -081.86303450 3 102
111  26.58855761 -081.86316469
112  26.58855761 -081.86316469  26.58843681 -081.86330362 3 102
111  26.58849838 -081.86340256
111  26.58815098 -081.86365883 3 102
112  26.58803661 -081.86366803  26.58796993 -081.86371639
111  26.58803661 -081.86366803 3 102
111  26.58789809 -081.86374747 3 102
111  26.58753581 -081.86398687 3 102
112  26.58740643 -081.86413566  26.58741314 -081.86420145
111  26.58740643 -081.86413566
111  26.58721588 -081.86431841
112  26.58721588 -081.86431841  26.58713058 -081.86429209 3 102
111  26.58704147 -081.86439879 3 102
111  26.58568576 -081.86613829 3 102
111  26.58558646 -081.86626405
112  26.58558646 -081.86626405  26.58555325 -081.86631299 3 102
112  26.58551270 -081.86640807  26.58550214 -081.86647558 3 102
112  26.58555202 -081.86653425  26.58557919 -081.86657476
111  26.58555202 -081.86653425 3 102
111  26.58561613 -081.86660253 3 102
112  26.58579357 -081.86668757  26.58591432 -081.86671120
111  26.58579357 -081.86668757
112  26.58579357 -081.86668757  26.58585999 -081.86669601
111  26.58596466 -081.86671008
111  26.58562201 -081.86698469 3 102
111  26.58562066 -081.86692063 3 102
112  26.58556480 -081.86684369  26.58550835 -081.86678799 3 102
111  26.58537157 -081.86679630 3 102
111  26.58523683 -081.86679338 3 102
112  26.58513172 -081.86683457  26.58507194 -081.86688284 3 102
111  26.58507005 -081.86689293 3 102
112  26.58486268 -081.86709466  26.58480125 -081.86716686 3 102
111  26.58471344 -081.86729145 3 102
111  26.58459357 -081.86746862 3 102
112  26.58453768 -081.86756370  26.58451087 -081.86761328
111  26.58453768 -081.86756370
112  26.58453768 -081.86756370  26.58451087 -081.86761443 3 102
112  26.58457087 -081.86779237  26.58465128 -081.86788344 3 102
111  26.58480623 -081.86778488 3 102
111  26.58543790 -081.86738758 3 102
112  26.58555611 -081.86730134  26.58559977 -081.86726508 3 102
111  26.58560607 -081.86721146
111  26.58558488 -081.86777977 3 102
111  26.58549247 -081.86766248 3 102
112  26.58540828 -081.86763441  26.58534840 -081.86763581 3 102
111  26.58529617 -081.86767491 3 102
111  26.58493790 -081.86793608 3 102
112  26.58464536 -081.86808590  26.58454083 -081.86808046 3 102
112  26.58441269 -081.86799792  26.58434408 -081.86796165 3 102
112  26.58420227 -081.86797243  26.58412798 -081.86803913 3 102
112  26.58387262 -081.86829632  26.58373416 -081.86847347
111  26.58387262 -081.86829632 3 102
111  26.58333149 -081.86895308 3 102
111  26.58240608 -081.87007957 3 102
112  26.58227461 -081.87030049  26.58227358 -081.87037773
111  26.58227461 -081.87030049 3 102
111  26.58227438 -081.87056424 3 102
112  26.58224518 -081.87074072  26.58220704 -081.87083064 3 102
111  26.58211779 -081.87091864 3 102
111  26.58196841 -081.87107886
112  26.58196841 -081.87107886  26.58189934 -081.87115033 3 102
111  26.58175096 -081.87114803 3 102
111  26.58154517 -081.87115920 3 102
111  26.58105453 -081.87118186 3 102
111  26.58091180 -081.87118503 3 102
112  26.58065524 -081.87109297  26.58052739 -081.87098881
111  26.58065524 -081.87109297 3 102
111  26.58045182 -081.87089027
111  26.58042336 -081.87086686
111  26.58073546 -081.87045488
111  26.58076776 -081.87050020 3 102
112  26.58079202 -081.87087638  26.58089995 -081.87097345 3 102
111  26.58105418 -081.87095756 3 102
111  26.58137200 -081.87094729 3 102
112  26.58153546 -081.87085030  26.58161470 -081.87075408
111  26.58153546 -081.87085030 3 102
111  26.58168158 -081.87069376 3 102
111  26.58237527 -081.86988102 3 102
111  26.58321645 -081.86883094 3 102
111  26.58388404 -081.86800136
112  26.58388404 -081.86800136  26.58394150 -081.86791735 3 102
112  26.58397825 -081.86768214  26.58398488 -081.86748198
111  26.58397825 -081.86768214 3 102
111  26.58397990 -081.86736885 3 102
111  26.58398285 -081.86707822
112  26.58398285 -081.86707822  26.58399390 -081.86666307 3 102
111  26.58372988 -081.86685472
111  26.58372264 -081.86665216
111  26.58413265 -081.86629429
111  26.58416180 -081.86633423 3 102
111  26.58414574 -081.86666373
112  26.58414574 -081.86666373  26.58414795 -081.86682188 3 102
111  26.58416682 -081.86703570
112  26.58416682 -081.86703570  26.58417651 -081.86722528 3 102
111  26.58421120 -081.86725645
112  26.58421120 -081.86725645  26.58432383 -081.86744197 3 102
111  26.58449166 -081.86721374
112  26.58449166 -081.86721374  26.58472656 -081.86699884 3 102
111  26.58588866 -081.86555402 3 102
111  26.58639356 -081.86494301
112  26.58639356 -081.86494301  26.58655886 -081.86474457 3 102
111  26.58674381 -081.86445468
112  26.58674381 -081.86445468  26.58688205 -081.86422687 3 102
111  26.58667514 -081.86419248 3 102
111  26.58622561 -081.86409341
112  26.58622561 -081.86409341  26.58598495 -081.86407710 3 102
111  26.58593967 -081.86415018
111  26.58591471 -081.86408253
111  26.58639402 -081.86350854
111  26.58642046 -081.86355397 3 102
112  26.58675828 -081.86395498  26.58722576 -081.86405058
111  26.58675828 -081.86395498
112  26.58675828 -081.86395498  26.58695655 -081.86399363 3 102
112  26.58711917 -081.86398366  26.58722920 -081.86397104 3 102
112  26.58753783 -081.86379886  26.58763787 -081.86374026
111  26.58753783 -081.86379886 3 102
111  26.58769761 -081.86369302 3 102
112  26.58786815 -081.86356226  26.58794362 -081.86348861 3 102
111  26.58792597 -081.86335955
111  26.58825949 -081.86308911
112  26.58825949 -081.86308911  26.58837394 -081.86320568 3 102
111  26.58847506 -081.86306912 3 102
111  26.58858523 -081.86294134 3 102
111  26.58867567 -081.86283608
112  26.58867567 -081.86283608  26.58878667 -081.86273531 3 102
111  26.58869783 -081.86260726
111  26.58876480 -081.86237664 3 102
112  26.58900696 -081.86233410  26.58912118 -081.86219921
111  26.58900696 -081.86233410
112  26.58900696 -081.86233410  26.58914614 -081.86222209 3 102
111  26.58941991 -081.86190040
112  26.58941991 -081.86190040  26.58957381 -081.86167456 3 102
111  26.58936694 -081.86161913 3 102
111  26.58879310 -081.86160419 3 102
112  26.58848739 -081.86159535  26.58839130 -081.86159535
111  26.58848739 -081.86159535
112  26.58848739 -081.86159535  26.58813505 -081.86157545 3 102
111  26.58829364 -081.86181370
111  26.58817556 -081.86191794
112  26.58817556 -081.86191794  26.58796201 -081.86163537 3 102
111  26.58786789 -081.86178386
111  26.58781012 -081.86166495
111  26.58832478 -081.86106706
111  26.58838405 -081.86113972 3 102
112  26.58867016 -081.86141188  26.58907256 -081.86139642
111  26.58867016 -081.86141188 3 102
111  26.58880370 -081.86141437 3 102
111  26.58955113 -081.86142901 3 102
112  26.58984250 -081.86132261  26.58993957 -081.86118874
111  26.58984250 -081.86132261 3 102
111  26.59121438 -081.85968191
112  26.59121438 -081.85968191  26.59141155 -081.85935029 3 102
112  26.59171706 -081.85885327  26.59182159 -081.85867385 3 102
111  26.59229486 -081.85775417 3 102
112  26.59233024 -081.85748889  26.59232020 -081.85736757 3 102
111  26.59222604 -081.85721667 3 102
111  26.59206741 -081.85707718 3 102
112  26.59166751 -081.85711177  26.59139765 -081.85727560
111  26.59166751 -081.85711177
111  26.59171534 -081.85698212
111  26.59184540 -081.85664534
111  26.59199305 -081.85670798 3 102
111  26.59235626 -081.85707901 3 102
112  26.59248108 -081.85731184  26.59257446 -081.85751083
111  26.59248108 -081.85731184
112  26.59248108 -081.85731184  26.59261737 -081.85767172 3 102
111  26.59234900 -081.85803219 3 102
111  26.59198843 -081.85864036 3 102
111  26.59188212 -081.85883496
111  26.59169256 -081.85916337 3 102
111  26.59165406 -081.85923214 2
111  26.59154863 -081.85942280 2
