I
1050 Generated by WorldEditor 2.2.0r2

1   1008 1 0 F35 Possum Kingdom
112  32.92321847 -098.43822687  32.92322936 -098.43825187
111  32.92321847 -098.43822687
111  32.92316911 -098.43826341
112  32.92316911 -098.43826341  32.92316110 -098.43825063
112  32.92312739 -098.43826206  32.92310561 -098.43827389
111  32.92312739 -098.43826206
111  32.92307317 -098.43830188
112  32.92307317 -098.43830188  32.92304859 -098.43832732
112  32.92306305 -098.43839125  32.92308285 -098.43843643
111  32.92306305 -098.43839125
111  32.92305472 -098.43839704
111  32.92290939 -098.43849812
111  32.92286086 -098.43853193
111  32.92270424 -098.43864081
111  32.92269885 -098.43864456
111  32.92252873 -098.43876288
111  32.92251735 -098.43877079
111  32.92235289 -098.43888516
111  32.92234203 -098.43889271
111  32.92217097 -098.43901169
111  32.92216440 -098.43901625
111  32.92199440 -098.43913449
111  32.92198689 -098.43913972
111  32.92181496 -098.43925930
111  32.92180890 -098.43926352
111  32.92163830 -098.43938217
111  32.92163041 -098.43938766
111  32.92160629 -098.43933927
112  32.92160629 -098.43933927  32.92159108 -098.43931367
112  32.92155875 -098.43932131  32.92154434 -098.43933021
111  32.92155875 -098.43932131
111  32.92150321 -098.43936202
112  32.92150321 -098.43936202  32.92138669 -098.43943388
112  32.92122704 -098.43932689  32.92115019 -098.43921761
111  32.92122704 -098.43932689
111  32.92103684 -098.43894260
111  32.92097797 -098.43882365
112  32.92097797 -098.43882365  32.92093507 -098.43874486
112  32.92079704 -098.43877191  32.92072758 -098.43880257
111  32.92079704 -098.43877191
111  32.92079425 -098.43876811
111  32.92110430 -098.43855162
111  32.92110589 -098.43855542
112  32.92110589 -098.43855542  32.92103366 -098.43862564
112  32.92105169 -098.43876621  32.92108158 -098.43883742
111  32.92105169 -098.43876621
111  32.92111291 -098.43888987
111  32.92129535 -098.43925845
112  32.92129535 -098.43925845  32.92133502 -098.43932631
112  32.92143427 -098.43928606  32.92147394 -098.43926380
111  32.92143427 -098.43928606
111  32.92152234 -098.43922339
112  32.92152234 -098.43922339  32.92153264 -098.43921381
112  32.92152789 -098.43917967  32.92152100 -098.43915452
111  32.92152789 -098.43917967
111  32.92149342 -098.43910895
111  32.92150433 -098.43910133
111  32.92162222 -098.43901900
111  32.92163158 -098.43901245
111  32.92175064 -098.43892930
111  32.92175788 -098.43892425
111  32.92187937 -098.43883940
111  32.92188695 -098.43883410
111  32.92200601 -098.43875095
111  32.92201462 -098.43874494
111  32.92213472 -098.43866106
111  32.92214243 -098.43865568
111  32.92226135 -098.43857263
111  32.92227178 -098.43856534
111  32.92239033 -098.43848254
111  32.92239628 -098.43847839
111  32.92252003 -098.43839196
111  32.92252627 -098.43838760
111  32.92277376 -098.43821475
111  32.92278450 -098.43820725
111  32.92290672 -098.43812190
111  32.92291730 -098.43811450
111  32.92292974 -098.43813712
112  32.92292974 -098.43813712  32.92293709 -098.43815050
112  32.92298022 -098.43815416  32.92300057 -098.43814568
111  32.92298022 -098.43815416
111  32.92301904 -098.43812783
112  32.92301904 -098.43812783  32.92305096 -098.43809696
112  32.92303538 -098.43799607  32.92301559 -098.43794360
111  32.92303538 -098.43799607
111  32.92287137 -098.43766412
111  32.92281667 -098.43755339
112  32.92281667 -098.43755339  32.92277748 -098.43748138
112  32.92264120 -098.43748333  32.92256249 -098.43751735
111  32.92264120 -098.43748333
113  32.92263832 -098.43747829
110 1 0.00 0.0000 Taxiway 2
111  32.92752021 -098.43406490
111  32.92763391 -098.43428856
111  32.92744249 -098.43442539
111  32.92739152 -098.43432702
112  32.92739152 -098.43432702  32.92736362 -098.43427510
112  32.92723147 -098.43427180  32.92716667 -098.43430147
111  32.92723147 -098.43427180
113  32.92722939 -098.43426823
110 1 0.00 0.0000 Taxiway 1
111  32.91951239 -098.43966477
111  32.91951451 -098.43966846
112  32.91951451 -098.43966846  32.91946747 -098.43973494
112  32.91949007 -098.43986407  32.91952097 -098.43994374
111  32.91949007 -098.43986407
111  32.91953573 -098.43995528
111  32.91934201 -098.44009155
113  32.91922577 -098.43986544
130 Airport Boundary
111  32.92901927 -098.43310188
111  32.92799032 -098.43438651
111  32.92491582 -098.43654125
111  32.92360311 -098.43840197
111  32.92004745 -098.44087697
111  32.91671140 -098.44057421
113  32.92860967 -098.43225252
120 Linear Feature 55
111  32.92111291 -098.43888987 54
115  32.92103684 -098.43894260
120 Linear Feature 54
111  32.92294732 -098.43761178 54
115  32.92287137 -098.43766412
120 Linear Feature 53
111  32.92362153 -098.43788255 1
115  32.92359776 -098.43783593
120 Linear Feature 52
111  32.92356938 -098.43785549 1
111  32.92359776 -098.43783593 1
115  32.92362239 -098.43781896
120 Linear Feature 51
111  32.92351592 -098.43795500 1
115  32.92349310 -098.43790805
120 Linear Feature 50
111  32.92346104 -098.43793025 1
111  32.92349310 -098.43790805 1
115  32.92351617 -098.43789209
120 Linear Feature 49
111  32.92341026 -098.43802885 1
115  32.92338616 -098.43798324
120 Linear Feature 48
111  32.92335331 -098.43800547 1
111  32.92338616 -098.43798324 1
115  32.92341052 -098.43796676
120 Linear Feature 47
111  32.92330484 -098.43810188 1
115  32.92328122 -098.43805525
120 Linear Feature 46
111  32.92324766 -098.43807877 1
111  32.92328122 -098.43805525 1
115  32.92330602 -098.43803786
120 Linear Feature 45
111  32.92404986 -098.43758474 1
115  32.92402609 -098.43753813
120 Linear Feature 44
111  32.92399771 -098.43755769 1
111  32.92402609 -098.43753813 1
115  32.92405072 -098.43752116
120 Linear Feature 43
111  32.92394425 -098.43765720 1
115  32.92392143 -098.43761025
120 Linear Feature 42
111  32.92388937 -098.43763245 1
111  32.92392143 -098.43761025 1
115  32.92394450 -098.43759428
120 Linear Feature 41
111  32.92383859 -098.43773105 1
115  32.92381449 -098.43768544
120 Linear Feature 40
111  32.92378164 -098.43770767 1
111  32.92381449 -098.43768544 1
115  32.92383885 -098.43766896
120 Linear Feature 39
111  32.92373317 -098.43780408 1
115  32.92370955 -098.43775745
120 Linear Feature 38
111  32.92367598 -098.43778097 1
111  32.92370955 -098.43775745 1
115  32.92373435 -098.43774006
120 Linear Feature 37
111  32.92314662 -098.43777912 1
115  32.92317041 -098.43782572
120 Linear Feature 36
111  32.92319878 -098.43780615 1
111  32.92317041 -098.43782572 1
115  32.92314578 -098.43784271
120 Linear Feature 35
111  32.92325221 -098.43770661 1
115  32.92327504 -098.43775355
120 Linear Feature 34
111  32.92330710 -098.43773133 1
111  32.92327504 -098.43775355 1
115  32.92325198 -098.43776952
120 Linear Feature 33
111  32.92335783 -098.43763270 1
115  32.92338195 -098.43767830
120 Linear Feature 32
111  32.92341480 -098.43765605 1
111  32.92338195 -098.43767830 1
115  32.92335760 -098.43769479
120 Linear Feature 31
111  32.92346323 -098.43755962 1
115  32.92348687 -098.43760624
120 Linear Feature 30
111  32.92352042 -098.43758270 1
111  32.92348687 -098.43760624 1
115  32.92346207 -098.43762363
120 Linear Feature 29
111  32.92356875 -098.43748542 1
115  32.92359254 -098.43753202
120 Linear Feature 28
111  32.92362092 -098.43751245 1
111  32.92359254 -098.43753202 1
115  32.92356791 -098.43754901
120 Linear Feature 27
111  32.92367434 -098.43741291 1
115  32.92369717 -098.43745985
120 Linear Feature 26
111  32.92372923 -098.43743764 1
111  32.92369717 -098.43745985 1
115  32.92367411 -098.43747583
120 Linear Feature 25
111  32.92377996 -098.43733900 1
115  32.92380409 -098.43738460
120 Linear Feature 24
111  32.92383693 -098.43736236 1
111  32.92380409 -098.43738460 1
115  32.92377973 -098.43740110
120 Linear Feature 23
111  32.92388536 -098.43726592 1
115  32.92390900 -098.43731254
120 Linear Feature 22
111  32.92394255 -098.43728900 1
111  32.92390900 -098.43731254 1
115  32.92388421 -098.43732994
120 Linear Feature 57
112  32.92101680 -098.43879872  32.92096539 -098.43866342 1
112  32.92108817 -098.43846788  32.92118979 -098.43838243
111  32.92108817 -098.43846788 1
115  32.92156195 -098.43813564
120 Linear Feature 56
111  32.92303752 -098.43789741 1
111  32.92308796 -098.43800170
112  32.92308796 -098.43800170  32.92311466 -098.43806674 1
112  32.92302818 -098.43822160  32.92294091 -098.43828950
111  32.92302818 -098.43822160 1
111  32.92146967 -098.43932113
112  32.92146967 -098.43932113  32.92138001 -098.43938475 1
112  32.92125686 -098.43928752  32.92120107 -098.43920444
111  32.92125686 -098.43928752 1
111  32.92101680 -098.43879872
112  32.92101680 -098.43879872  32.92094347 -098.43867197 1
112  32.92074565 -098.43870757  32.92065798 -098.43876074
111  32.92074565 -098.43870757 1
115  32.92026265 -098.43904711
120 Linear Feature 55
112  32.92285141 -098.43752330  32.92278605 -098.43740034 1
112  32.92257245 -098.43743073  32.92246804 -098.43749719
111  32.92257245 -098.43743073 1
115  32.92209383 -098.43776543
120 Linear Feature 54
111  32.92393394 -098.43744282 1
111  32.92321924 -098.43794964
112  32.92321924 -098.43794964  32.92315867 -098.43798619 1
112  32.92303752 -098.43789741  32.92298571 -098.43781433
111  32.92303752 -098.43789741 1
111  32.92285141 -098.43752330
112  32.92285141 -098.43752330  32.92279163 -098.43737423 1
112  32.92290920 -098.43719525  32.92298890 -098.43712498
111  32.92290920 -098.43719525 1
115  32.92339459 -098.43685247
21  32.92057194 -098.43915876 2 30.4100 3.50 2 2-light PAPI on left
21  32.92609470 -098.43459936 2 210.4100 3.50 20 2-light PAPI on left
14  32.92317834 -098.43852304  82.02 0 Tower Viewpoint
1300  32.92317041 -098.43782572 300.00 tie_down props GA Ramp 16
1301 A general_aviation 
1300  32.92327504 -098.43775355 300.00 tie_down props GA Ramp 15
1301 A general_aviation 
1300  32.92338195 -098.43767830 300.00 tie_down props GA Ramp 14
1301 A general_aviation 
1300  32.92348687 -098.43760624 300.00 tie_down props GA Ramp 13
1301 A general_aviation 
1300  32.92359254 -098.43753202 300.00 tie_down props GA Ramp 12
1301 A general_aviation 
1300  32.92369717 -098.43745985 300.00 tie_down props GA Ramp 11
1301 A general_aviation 
1300  32.92380409 -098.43738460 300.00 tie_down props GA Ramp 10
1301 A general_aviation 
1300  32.92390900 -098.43731254 300.00 tie_down props GA Ramp 09
1301 A general_aviation 
1300  32.92402609 -098.43753813 120.00 tie_down props GA Ramp 08
1301 A general_aviation 
1300  32.92392143 -098.43761025 120.00 tie_down props GA Ramp 07
1301 A general_aviation 
1300  32.92381449 -098.43768544 120.00 tie_down props GA Ramp 06
1301 A general_aviation 
1300  32.92370955 -098.43775745 120.00 tie_down props GA Ramp 05
1301 A general_aviation 
1300  32.92359776 -098.43783593 120.00 tie_down props GA Ramp 04
1301 A general_aviation 
1300  32.92349310 -098.43790805 120.00 tie_down props GA Ramp 03
1301 A general_aviation 
1300  32.92338616 -098.43798324 120.00 tie_down props GA Ramp 02
1301 A general_aviation 
1300  32.92328122 -098.43805525 120.00 tie_down props GA Ramp 01
1301 A general_aviation 
1300  32.92282489 -098.43812184 300.00 hangar props Hangar 19
1301 A none 
1300  32.92269161 -098.43821753 300.00 hangar props Hangar 18
1301 A none 
1300  32.92256958 -098.43830338 300.00 hangar props Hangar 17
1301 A none 
1300  32.92243839 -098.43839499 300.00 hangar props Hangar 16
1301 A none 
1300  32.92231021 -098.43848455 300.00 hangar props Hangar 15
1301 A none 
1300  32.92218186 -098.43857391 300.00 hangar props Hangar 14
1301 A none 
1300  32.92205314 -098.43866258 300.00 hangar props Hangar 13
1301 A none 
1300  32.92192715 -098.43875144 300.00 hangar props Hangar 12
1301 A none 
1300  32.92179787 -098.43884193 300.00 hangar props Hangar 11
1301 A none 
1300  32.92167169 -098.43893114 300.00 hangar props Hangar 10
1301 A none 
1300  32.92154330 -098.43902161 300.00 hangar props Hangar 09
1301 A none 
1300  32.92174358 -098.43936320 120.00 hangar props Hangar 08
1301 A none 
1300  32.92192477 -098.43924004 120.00 hangar props Hangar 07
1301 A none 
1300  32.92210208 -098.43911786 120.00 hangar props Hangar 06
1301 A none 
1300  32.92227725 -098.43899531 120.00 hangar props Hangar 05
1301 A none 
1300  32.92245144 -098.43886957 120.00 hangar props Hangar 04
1301 A none 
1300  32.92263133 -098.43874918 120.00 hangar props Hangar 03
1301 A none 
1300  32.92280273 -098.43862342 120.00 hangar props Hangar 02
1301 A none 
1300  32.92300419 -098.43848976 120.00 hangar props Hangar 01
1301 A none 
18  32.92317834 -098.43852304 1 Airport Beacon
19  32.92288370 -098.43661755 1 Windsock
51 12290 Possum Kingdom Unicom
55 12700 Fort Worth Approach
56 12700 Fort Worth Departure
99
