I
1050 Generated by WorldEditor

1    808 1 0 SKFL GUSTAVO ARTUNDUAGA PAREDES
112  01.58911489 -075.56113127  01.58907908 -075.56114309
111  01.58911489 -075.56113127 51
111  01.58902432 -075.56117480 51
111  01.58892449 -075.56122279 51
111  01.58881145 -075.56127712
112  01.58881145 -075.56127712  01.58877286 -075.56129357 51
115  01.58874032 -075.56127353
120 Linear Feature 10
111  01.58838854 -075.56027792 51 101
112  01.58817544 -075.56023120  01.58806249 -075.56013476
111  01.58817544 -075.56023120
112  01.58817544 -075.56023120  01.58810421 -075.56012036 51 101
111  01.58818343 -075.56005985 51
115  01.58858487 -075.55986956
120 Linear Feature 9
111  01.58869820 -075.56012630 51
111  01.58838854 -075.56027792
112  01.58838854 -075.56027792  01.58834785 -075.56030850 51 101
112  01.58831199 -075.56037175  01.58829941 -075.56040246
111  01.58831199 -075.56037175
112  01.58831199 -075.56037175  01.58828173 -075.56044560 51 101
111  01.58831332 -075.56050889 51 101
111  01.58867732 -075.56126364
112  01.58867732 -075.56126364  01.58868975 -075.56131718 51 101
115  01.58867456 -075.56140249
120 Linear Feature 7
111  01.58871042 -075.56018724 51
111  01.58839540 -075.56033634
112  01.58839540 -075.56033634  01.58833324 -075.56039582 51
115  01.58834688 -075.56045490
120 Linear Feature 6
111  01.58839067 -075.56054650 51
112  01.58845445 -075.56058335  01.58848983 -075.56058630 51
115  01.58852495 -075.56057794
120 Linear Feature 5
111  01.58883648 -075.56042896 51
111  01.58852495 -075.56057794
112  01.58852495 -075.56057794  01.58845013 -075.56063408 51
115  01.58846561 -075.56070322
120 Linear Feature 4
111  01.58863947 -075.56081312 51
112  01.58857370 -075.56082278  01.58854019 -075.56081831 51
115  01.58850138 -075.56077804
120 Linear Feature 3
111  01.58894721 -075.56066432 51
111  01.58863947 -075.56081312
112  01.58863947 -075.56081312  01.58856308 -075.56086273 51
115  01.58858254 -075.56094777
120 Linear Feature 2
111  01.58861530 -075.56101630 51
112  01.58868255 -075.56105963  01.58871578 -075.56106438 51
115  01.58875743 -075.56105346
120 Linear Feature 1
111  01.58906194 -075.56090785 51
111  01.58875743 -075.56105346
112  01.58875743 -075.56105346  01.58868937 -075.56110017 51
115  01.58869264 -075.56117805
120 Linear Feature 12
111  01.58704492 -075.55982719 51 101
111  01.58690616 -075.55954219
112  01.58690616 -075.55954219  01.58686405 -075.55936945 51 101
115  01.58700503 -075.55934323
120 Linear Feature 11
111  01.58797532 -075.56175721 51 101
111  01.58814282 -075.56209139
112  01.58814282 -075.56209139  01.58826303 -075.56230723 51 101
115  01.58842324 -075.56211744
120 Linear Feature 8
111  01.58839540 -075.56033634 51
112  01.58833054 -075.56033744  01.58830405 -075.56033095 51
115  01.58827628 -075.56030723
120 Linear Feature 10
111  01.58862897 -075.56308784 51 101
111  01.58837417 -075.56256657 51 101
112  01.58837162 -075.56226452  01.58843490 -075.56209517
111  01.58837162 -075.56226452 51 101
112  01.58842324 -075.56211744  01.58848652 -075.56194809
111  01.58842324 -075.56211744 51 101
111  01.58862147 -075.56155352 51 101
111  01.58867456 -075.56140249 51 101
112  01.58869264 -075.56117805  01.58865645 -075.56106936
111  01.58869264 -075.56117805 51 101
111  01.58861530 -075.56101630 51 101
111  01.58858254 -075.56094777 51 101
111  01.58850138 -075.56077804 51 101
111  01.58846561 -075.56070322 51 101
111  01.58839067 -075.56054650 51 101
111  01.58834688 -075.56045490 51 101
111  01.58830983 -075.56037741 51 101
111  01.58827628 -075.56030723 51 101
111  01.58787424 -075.55946639 51 101
112  01.58749186 -075.55931524  01.58718756 -075.55932450
111  01.58749186 -075.55931524 51 101
111  01.58700503 -075.55934323 51 101
112  01.58676814 -075.55924620  01.58671339 -075.55913666
111  01.58676814 -075.55924620 51 101
115  01.58667115 -075.55904468
21  01.59133270 -075.56778670 2 115.8200 3.00 12  PAPI-4L
21  01.58697703 -075.56057412 2 295.8200 3.00 30  PAPI-4L
14  01.58970075 -075.56151968  82.02 0 New Tower Viewpoint 1
1300  01.58917713 -075.56114917 113.61 tie_down props GA01
1301 A general_aviation 
1300  01.58898138 -075.56124458 116.25 tie_down props GA02
1301 A general_aviation 
1300  01.58858487 -075.55986956  25.38 gate jets|turboprops|props Gate 05
1301 B airline 
1300  01.58869820 -075.56012630  26.00 gate jets|turboprops|props Gate 04
1301 C airline 
1300  01.58871042 -075.56018724  25.25 gate jets|turboprops|props Gate 04B
1301 B airline 
1300  01.58883648 -075.56042896  25.56 gate jets|turboprops|props Gate 03
1301 B airline 
1300  01.58894721 -075.56066432  25.81 gate jets|turboprops|props Gate 02
1301 B airline 
1300  01.58906194 -075.56090785  25.66 gate jets|turboprops|props Gate 01
1301 B airline 
18  01.58970330 -075.56152350 1 New Airport Beacon 2
19  01.59199095 -075.56879698 1 WS
19  01.58648456 -075.55949738 1 WS
54 11830 TWR
99
