I
1050 Generated by WorldEditor 2.0.0r4

1   4517 1 0 FALA Lanseria
111 -25.93237733  027.93064258
111 -25.93214485  027.93040846
111 -25.93217175  027.93037050
111 -25.93214692  027.93034462
111 -25.93215365  027.93033484
111 -25.93209054  027.93027330
111 -25.93229589  027.93002712
111 -25.93231607  027.93004380
111 -25.93262022  027.92968833
111 -25.93265022  027.92972054
111 -25.93292984  027.92938767
111 -25.93318099  027.92963507
111 -25.93320168  027.92961091
111 -25.93332349  027.92974033
111 -25.93306062  027.93006859
111 -25.93311481  027.93012172
111 -25.93308105  027.93016007
113 -25.93302594  027.93010811
110 2 0.00 0.0000 Hangar 14
111 -25.93205159  027.93145741
111 -25.93207330  027.93145768
111 -25.93207280  027.93146268
111 -25.93204536  027.93147044
111 -25.93203937  027.93146212
111 -25.93200375  027.93142890
111 -25.93199527  027.93143738
111 -25.93194785  027.93138753
111 -25.93194311  027.93139424
111 -25.93188951  027.93134369
111 -25.93169001  027.93156541
111 -25.93143933  027.93131165
111 -25.93146950  027.93126852
111 -25.93146627  027.93126372
111 -25.93147502  027.93125225
111 -25.93141456  027.93119167
111 -25.93138761  027.93122263
111 -25.93137635  027.93122253
111 -25.93132794  027.93116870
111 -25.93150298  027.93095956
111 -25.93158243  027.93104308
111 -25.93159299  027.93105895
111 -25.93161347  027.93103548
111 -25.93160044  027.93101340
111 -25.93181521  027.93064896
111 -25.93186424  027.93072972
111 -25.93187045  027.93071867
111 -25.93205356  027.93089951
111 -25.93208086  027.93086875
111 -25.93232765  027.93112119
113 -25.93230472  027.93115063
110 2 0.00 0.0000 Hangar 17
111 -25.92920722  027.93255368
111 -25.92942589  027.93228998
111 -25.92945885  027.93232753
111 -25.92949422  027.93232127
111 -25.92974102  027.93256977
111 -25.92972173  027.93259123
111 -25.92974102  027.93260911
111 -25.92951986  027.93287318
111 -25.92949893  027.93285249
111 -25.92941193  027.93295957
111 -25.92939611  027.93298389
111 -25.92941146  027.93299992
111 -25.92919373  027.93326789
111 -25.92917280  027.93324564
111 -25.92912997  027.93329157
111 -25.92911882  027.93328096
111 -25.92907184  027.93334083
111 -25.92908441  027.93335428
111 -25.92906905  027.93337549
111 -25.92908813  027.93339463
111 -25.92886849  027.93365758
111 -25.92855231  027.93333811
111 -25.92877170  027.93307614
111 -25.92880532  027.93310835
111 -25.92884101  027.93310777
111 -25.92894343  027.93320957
111 -25.92898999  027.93315263
111 -25.92886998  027.93304047
111 -25.92891240  027.93298526
111 -25.92887929  027.93294787
111 -25.92909913  027.93268445
111 -25.92913172  027.93271551
111 -25.92916896  027.93271493
111 -25.92921603  027.93265339
113 -25.92925149  027.93259806
110 2 0.00 0.0000 Hangar 16
111 -25.92914318  027.93204108
111 -25.92910834  027.93204257
111 -25.92907217  027.93208056
111 -25.92883568  027.93183400
111 -25.92886583  027.93179899
111 -25.92913176  027.93149107
111 -25.92924725  027.93160891
111 -25.92936467  027.93172892
111 -25.92934808  027.93174734
113 -25.92936972  027.93177264
110 2 0.00 0.0000 Hangar 15
111 -25.92977730  027.93071651
111 -25.93002961  027.93097647
111 -25.92960929  027.93148123
111 -25.92958839  027.93150805
111 -25.92954739  027.93151252
111 -25.92951764  027.93154559
111 -25.92939717  027.93142682
113 -25.92927647  027.93130782
110 2 0.00 0.0000 Hangar 19
111 -25.94084718  027.92863793
111 -25.94116516  027.92897967
111 -25.94107826  027.92908597
111 -25.94133539  027.92935069
111 -25.94120542  027.92951056
111 -25.94106287  027.92967851
111 -25.94101637  027.92963996
111 -25.94095014  027.92971718
111 -25.94096057  027.92972702
111 -25.94094142  027.92975012
111 -25.94092173  027.92977435
111 -25.94121779  027.93007762
111 -25.94123145  027.93009363
111 -25.94121468  027.93011260
111 -25.94122516  027.93012825
111 -25.94117577  027.93018584
111 -25.94116409  027.93017519
111 -25.94099078  027.93038185
111 -25.94096129  027.93035309
111 -25.94092612  027.93039278
111 -25.94057587  027.93003862
111 -25.94060980  027.92999701
111 -25.94064829  027.93003652
111 -25.94068059  027.92998415
111 -25.94084315  027.92979071
111 -25.94090103  027.92977833
111 -25.94092794  027.92974631
111 -25.94092040  027.92973733
111 -25.94096024  027.92968712
111 -25.94089153  027.92961692
111 -25.94081139  027.92953505
111 -25.94077280  027.92958262
111 -25.94079839  027.92961159
111 -25.94074114  027.92968042
111 -25.94062760  027.92956399
111 -25.94065419  027.92953156
111 -25.94066314  027.92952064
111 -25.94068531  027.92949360
111 -25.94071508  027.92952309
111 -25.94075367  027.92947708
111 -25.94073646  027.92945793
111 -25.94074902  027.92944293
111 -25.94059657  027.92929057
111 -25.94046642  027.92916050
111 -25.94048968  027.92913248
111 -25.94019147  027.92882831
111 -25.94016123  027.92886107
111 -25.94001860  027.92871677
111 -25.93991466  027.92861160
111 -25.93987315  027.92856960
111 -25.94028450  027.92808136
111 -25.94060854  027.92840187
111 -25.94063055  027.92842365
113 -25.94072463  027.92851671
110 2 0.00 0.0000 Hangar 18
111 -25.94118489  027.92746806
111 -25.94124795  027.92753384
111 -25.94133560  027.92742520
111 -25.94136923  027.92746019
111 -25.94133070  027.92751126
111 -25.94144987  027.92763413
111 -25.94144553  027.92763896
111 -25.94152002  027.92771696
111 -25.94151319  027.92772662
111 -25.94152560  027.92774181
111 -25.94157979  027.92767916
111 -25.94168957  027.92779334
111 -25.94195298  027.92806125
111 -25.94170684  027.92835701
111 -25.94165857  027.92830668
111 -25.94162236  027.92834791
111 -25.94165512  027.92838290
111 -25.94156699  027.92848557
111 -25.94134043  027.92826399
111 -25.94132987  027.92822465
111 -25.94128456  027.92817702
111 -25.94134601  027.92809695
111 -25.94132324  027.92807456
111 -25.94129541  027.92810618
111 -25.94128373  027.92810452
111 -25.94123147  027.92816654
111 -25.94116231  027.92809710
111 -25.94119477  027.92806009
111 -25.94110078  027.92796312
111 -25.94106880  027.92800335
111 -25.94102047  027.92795384
111 -25.94100087  027.92793374
111 -25.94109082  027.92782488
111 -25.94105945  027.92779267
111 -25.94101302  027.92785418
111 -25.94099218  027.92783326
111 -25.94104019  027.92777429
111 -25.94081576  027.92754272
111 -25.94101787  027.92730182
111 -25.94107147  027.92717143
113 -25.94123736  027.92733830
110 2 0.00 0.0000 Hangar 20
111 -25.93839278  027.93034671
111 -25.93854322  027.93021729
111 -25.93865444  027.93017702
111 -25.93962227  027.93174038
112 -25.93962227  027.93174038 -25.93968187  027.93182321
112 -25.94012635  027.93193162 -25.94041587  027.93183304
111 -25.94012635  027.93193162
111 -25.94011846  027.93189747
112 -25.94025663  027.93182339 -25.94028745  027.93179434
111 -25.94025663  027.93182339
111 -25.94030791  027.93182734
111 -25.94065412  027.93141216
111 -25.94063624  027.93150825
111 -25.94068615  027.93159025
111 -25.94064369  027.93162504
111 -25.94061539  027.93156706
111 -25.94056026  027.93155629
111 -25.94055058  027.93161676
111 -25.94061762  027.93171947
111 -25.94056771  027.93176420
111 -25.94051185  027.93167557
111 -25.94047078  027.93167764
111 -25.94052564  027.93176722
111 -25.94048083  027.93180160
111 -25.94057617  027.93195566
111 -25.94027367  027.93219096
111 -25.94018503  027.93222824
111 -25.93980533  027.93225481
111 -25.93978752  027.93196235
111 -25.93968200  027.93204656
111 -25.93968883  027.93205968
113 -25.93953426  027.93218323
110 2 0.00 0.0000 Hangar 21
111 -25.93961721  027.92933224
111 -25.93966349  027.92938002
111 -25.93967562  027.92937983
111 -25.93988629  027.92959367
111 -25.93988496  027.92959598
111 -25.93991874  027.92963066
111 -25.93976116  027.92982382
111 -25.93978643  027.92984916
111 -25.93975806  027.92988192
111 -25.93973758  027.92986235
111 -25.93972465  027.92987713
111 -25.93968514  027.92983598
111 -25.93947359  027.92962371
111 -25.93945485  027.92964455
111 -25.93938628  027.92956698
111 -25.93949769  027.92943293
113 -25.93959719  027.92931320
110 2 0.00 0.0000 Hangar 22 + 23 (Grouped)
111 -25.93934898  027.92959692
111 -25.93936778  027.92961288
111 -25.93954135  027.92979358
111 -25.93945544  027.92989778
111 -25.93949495  027.92993806
111 -25.93958266  027.92983287
111 -25.93976040  027.93001129
111 -25.93952104  027.93029076
111 -25.93934891  027.93011600
111 -25.93943363  027.93001047
111 -25.93939561  027.92997186
111 -25.93930538  027.93008022
111 -25.93912728  027.92989855
113 -25.93911604  027.92988302
110 2 0.00 0.0000 Hangar 24
111 -25.93883101  027.93019422
111 -25.93898366  027.93001042
111 -25.93897618  027.93000376
111 -25.93903155  027.92996348
111 -25.93903575  027.92996781
111 -25.93904807  027.92995167
111 -25.93905131  027.92995488
111 -25.93905420  027.92995175
111 -25.93906538  027.92996248
111 -25.93907322  027.92995330
111 -25.93908197  027.92996185
111 -25.93908350  027.92996340
111 -25.93947735  027.93036383
111 -25.93947485  027.93036633
111 -25.93951027  027.93040600
111 -25.93934443  027.93060433
111 -25.93930402  027.93056660
113 -25.93916204  027.93073082
110 2 0.00 0.0000 Hangar 26
111 -25.94021570  027.93045848
111 -25.94022691  027.93044452
111 -25.94062000  027.93083501
111 -25.94060405  027.93085611
111 -25.94068173  027.93093212
111 -25.94060603  027.93101969
111 -25.94049130  027.93115240
111 -25.94043208  027.93122091
111 -25.93997398  027.93075450
111 -25.93995003  027.93073470
111 -25.94007871  027.93060091
113 -25.94008817  027.93061130
110 2 0.00 0.0000 Hangar 25
111 -25.94047485  027.93031174
111 -25.94051158  027.93026758
111 -25.94051722  027.93027345
111 -25.94052013  027.93027027
111 -25.94076595  027.93052498
111 -25.94058449  027.93075745
111 -25.94032160  027.93048968
111 -25.94034779  027.93045662
111 -25.94031449  027.93042540
111 -25.94037650  027.93034897
113 -25.94043668  027.93027476
110 2 0.00 0.0000 Hangar 27
111 -25.93965007  027.93109895
111 -25.93968083  027.93106241
111 -25.93971815  027.93109806
111 -25.93993856  027.93084057
111 -25.94000267  027.93090518
111 -25.94000018  027.93090768
111 -25.94031664  027.93122839
111 -25.94030164  027.93124968
111 -25.94036371  027.93130777
111 -25.94027498  027.93141473
111 -25.94018237  027.93152635
111 -25.94012147  027.93146600
111 -25.94011374  027.93145796
111 -25.94007618  027.93150070
111 -25.94005836  027.93148126
111 -25.94004115  027.93150373
111 -25.94006584  027.93153176
111 -25.93995373  027.93167153
111 -25.93993846  027.93167389
111 -25.93989190  027.93172422
111 -25.93989150  027.93177961
112 -25.93989150  027.93177961 -25.93978295  027.93172740
112 -25.93971860  027.93162958 -25.93968663  027.93158032
111 -25.93971860  027.93162958
111 -25.93949970  027.93128109
111 -25.93954389  027.93127166
111 -25.93961228  027.93118983
111 -25.93982430  027.93140643
113 -25.93987815  027.93133959
110 2 0.00 0.0000 Top 1
111 -25.93644874  027.92465360
111 -25.93665716  027.92486571
111 -25.93506287  027.92678910
111 -25.93485402  027.92657696
111 -25.93638304  027.92473295
113 -25.93642847  027.92467806
110 2 0.00 0.0000 Top 2
111 -25.93056040  027.93157950
111 -25.93064347  027.93166293
111 -25.93059092  027.93172614
111 -25.92996161  027.93248689
113 -25.92988256  027.93240793
110 2 0.00 0.0000 Top 3
111 -25.93087489  027.93189908
111 -25.93095591  027.93198056
111 -25.93090177  027.93204545
111 -25.93026959  027.93280349
111 -25.93019088  027.93272201
113 -25.93082123  027.93196363
110 2 0.00 0.0000 Top 4
111 -25.93118873  027.93221509
111 -25.93126820  027.93229657
111 -25.93121192  027.93236442
111 -25.93058209  027.93312325
111 -25.93050418  027.93303884
113 -25.93113289  027.93228270
110 2 0.00 0.0000 Top 5
111 -25.92996217  027.93355355
111 -25.93013942  027.93334145
111 -25.93022084  027.93342991
113 -25.93004684  027.93364045
110 2 0.00 0.0000 Top 6
111 -25.93114124  027.93165086
111 -25.93106828  027.93174126
111 -25.93097674  027.93164996
113 -25.93104961  027.93156144
110 1 0.00 0.0000 Main
111 -25.93479024  027.92804007
111 -25.93480152  027.92801777
111 -25.93479454  027.92798052
111 -25.93476430  027.92795259
111 -25.93501925  027.92765254
111 -25.93476802  027.92737628
111 -25.93472708  027.92740267
111 -25.93451819  027.92765926
111 -25.93449513  027.92767617
111 -25.93448815  027.92766731
111 -25.93449376  027.92765882
111 -25.93414525  027.92731107
111 -25.93361975  027.92675965
111 -25.93370331  027.92665553
111 -25.93368625  027.92663785
111 -25.93384714  027.92644213
111 -25.93384598  027.92643394
111 -25.93388514  027.92639040
111 -25.93389673  027.92640063
111 -25.93398441  027.92628588
111 -25.93397325  027.92627553
111 -25.93402335  027.92621795
111 -25.93400962  027.92620208
111 -25.93403439  027.92617334
111 -25.93405296  027.92619070
111 -25.93408742  027.92614520
111 -25.93407396  027.92612813
111 -25.93409012  027.92610628
111 -25.93411053  027.92612737
111 -25.93423321  027.92598596
111 -25.93428725  027.92603481
111 -25.93433604  027.92597307
111 -25.93440447  027.92604542
111 -25.93440896  027.92603980
111 -25.93475994  027.92639868
111 -25.93481422  027.92633617
111 -25.93482262  027.92634443
111 -25.93484846  027.92631533
111 -25.93487281  027.92633642
112 -25.93491266  027.92633326 -25.93493181  027.92631584
111 -25.93491266  027.92633326
111 -25.93496015  027.92627872
111 -25.93505974  027.92616265
111 -25.93518401  027.92601378
111 -25.93531345  027.92585853
111 -25.93534663  027.92581243
112 -25.93533990  027.92576124 -25.93531587  027.92573365
111 -25.93533990  027.92576124
111 -25.93537706  027.92571782
111 -25.93541430  027.92575920
111 -25.93554381  027.92560741
111 -25.93554785  027.92561100
111 -25.93555996  027.92559603
111 -25.93555673  027.92559214
111 -25.93643067  027.92453085
111 -25.93638692  027.92448619
111 -25.93630660  027.92458299
111 -25.93633936  027.92461667
111 -25.93632522  027.92463289
111 -25.93628456  027.92459148
111 -25.93606357  027.92485704
111 -25.93555721  027.92433999
112 -25.93554206  027.92430353 -25.93554605  027.92428981
111 -25.93554206  027.92430353
111 -25.93560636  027.92418098
111 -25.93565164  027.92409546
111 -25.93567963  027.92410064
111 -25.93568698  027.92410258
111 -25.93569200  027.92408900
111 -25.93587904  027.92358321
112 -25.93587904  027.92358321 -25.93589596  027.92347889
112 -25.93584544  027.92333675 -25.93584310  027.92331410
111 -25.93584544  027.92333675
112 -25.93587355  027.92330191 -25.93590618  027.92330334
111 -25.93587355  027.92330191
112 -25.93591105  027.92330784 -25.93593293  027.92331161
111 -25.93591105  027.92330784
112 -25.93591105  027.92330784 -25.93594525  027.92331374
112 -25.93602384  027.92333503 -25.93605291  027.92334653
111 -25.93602384  027.92333503
111 -25.93798292  027.92420131
111 -25.93820568  027.92428099
112 -25.93823727  027.92427155 -25.93824955  027.92425466
111 -25.93823727  027.92427155
111 -25.93864377  027.92367488
111 -25.93865230  027.92364772
112 -25.93852707  027.92342354 -25.93842964  027.92334416
111 -25.93852707  027.92342354
111 -25.93851040  027.92346450
111 -25.93848985  027.92345544
111 -25.93847086  027.92345070
111 -25.93844372  027.92352615
111 -25.93842658  027.92351959
111 -25.93689817  027.92283213
111 -25.93674507  027.92276327
111 -25.93675623  027.92273223
111 -25.93660198  027.92266292
111 -25.93661788  027.92261851
112 -25.93661788  027.92261851 -25.93662505  027.92259946
112 -25.93659401  027.92255536 -25.93656912  027.92253833
111 -25.93659401  027.92255536
111 -25.93658252  027.92254947
111 -25.93663416  027.92240770
111 -25.93664575  027.92241209
112 -25.93664575  027.92241209 -25.93666023  027.92241473
112 -25.93670123  027.92238959 -25.93671674  027.92236163
111 -25.93670123  027.92238959
111 -25.93682491  027.92205763
111 -25.93683402  027.92206164
111 -25.93758586  027.92239218
111 -25.93766302  027.92243357
112 -25.93766302  027.92243357 -25.93767185  027.92249927
111 -25.93775878  027.92255989
111 -25.93780181  027.92259007
111 -25.93849654  027.92290759
112 -25.93849654  027.92290759 -25.93842152  027.92318874
111 -25.93855856  027.92327334
111 -25.93857866  027.92328303
112 -25.93857866  027.92328303 -25.93868133  027.92334349
111 -25.93873085  027.92345325
111 -25.93880715  027.92367205
111 -25.93880188  027.92367880
111 -25.93870701  027.92380384
111 -25.93870333  027.92380870
111 -25.93867439  027.92372620
111 -25.93830144  027.92427773
111 -25.93824206  027.92433959
111 -25.93822708  027.92435520
111 -25.93786055  027.92467838
112 -25.93786055  027.92467838 -25.93780695  027.92473798
111 -25.93784526  027.92479126
111 -25.93797108  027.92475332
111 -25.93759046  027.92511725
111 -25.93758885  027.92511879
112 -25.93758084  027.92511289 -25.93757578  027.92510955
111 -25.93758084  027.92511289
112 -25.93758084  027.92511289 -25.93756263  027.92510085
112 -25.93748358  027.92512791 -25.93745008  027.92517731
111 -25.93748358  027.92512791
111 -25.93542773  027.92761609
111 -25.93540725  027.92762027
111 -25.93533256  027.92773195
111 -25.93529060  027.92779468
111 -25.93508743  027.92831158
111 -25.93516124  027.92804238
111 -25.93511637  027.92799512
113 -25.93494272  027.92820252
111 -25.93678525  027.92497264
111 -25.93682177  027.92492637
111 -25.93690619  027.92501458
111 -25.93698372  027.92491805
111 -25.93706963  027.92480587
111 -25.93705736  027.92473697
111 -25.93700034  027.92467802
111 -25.93682619  027.92460324
113 -25.93664471  027.92482949
110 1 0.00 0.0000 GA 1
111 -25.94127483  027.92539686
111 -25.94140804  027.92553395
111 -25.94159563  027.92563824
111 -25.94185315  027.92578340
111 -25.94217766  027.92596309
111 -25.94781950  027.92908726
112 -25.94797426  027.92909993 -25.94803466  027.92906468
111 -25.94797426  027.92909993
112 -25.94823150  027.92906417 -25.94838298  027.92912768
112 -25.94837485  027.92948359 -25.94830582  027.92963326
112 -25.94800508  027.92961099 -25.94786345  027.92953090
111 -25.94785971  027.92935917
112 -25.94777625  027.92923326 -25.94769755  027.92917505
111 -25.94777625  027.92923326
111 -25.94214635  027.92611798
112 -25.94214635  027.92611798 -25.94181427  027.92597042
111 -25.94150769  027.92621560
111 -25.94142252  027.92629822
111 -25.94116440  027.92660822
112 -25.94116440  027.92660822 -25.94112315  027.92666621
111 -25.94116947  027.92671296
111 -25.94221763  027.92777190
111 -25.94205072  027.92816050
111 -25.94195298  027.92806125
111 -25.94168957  027.92779334
111 -25.94157979  027.92767916
111 -25.94136923  027.92746019
111 -25.94133560  027.92742520
111 -25.94124795  027.92753384
111 -25.94118489  027.92746806
111 -25.94123736  027.92733830
111 -25.94107147  027.92717143
111 -25.94101787  027.92730182
111 -25.94081576  027.92754272
111 -25.94104019  027.92777429
111 -25.94099218  027.92783326
111 -25.94101302  027.92785418
111 -25.94105945  027.92779267
111 -25.94109082  027.92782488
111 -25.94100087  027.92793374
111 -25.94102047  027.92795384
111 -25.94106880  027.92800335
111 -25.94110078  027.92796312
111 -25.94119477  027.92806009
111 -25.94116231  027.92809710
111 -25.94110704  027.92816011
111 -25.94118809  027.92824293
111 -25.94145338  027.92851401
111 -25.94153571  027.92854194
111 -25.94133662  027.92882075
111 -25.94131614  027.92880031
111 -25.94126992  027.92885845
111 -25.94094099  027.92853090
111 -25.94084718  027.92863793
111 -25.94072463  027.92851671
111 -25.94063055  027.92842365
111 -25.94060854  027.92840187
111 -25.94060634  027.92839970
111 -25.94052471  027.92831896
111 -25.94041497  027.92821041
111 -25.94028450  027.92808136
111 -25.93987315  027.92856960
111 -25.93991466  027.92861160
111 -25.94001860  027.92871677
111 -25.94016123  027.92886107
111 -25.94019147  027.92882831
111 -25.94023933  027.92887712
111 -25.94033749  027.92897724
111 -25.94048968  027.92913248
111 -25.94046642  027.92916050
111 -25.94059657  027.92929057
111 -25.94074902  027.92944293
111 -25.94073646  027.92945793
111 -25.94075367  027.92947708
111 -25.94071508  027.92952309
111 -25.94068531  027.92949360
111 -25.94066314  027.92952064
111 -25.94065419  027.92953156
111 -25.94062747  027.92956396
111 -25.94074114  027.92968042
111 -25.94079839  027.92961159
111 -25.94077280  027.92958262
111 -25.94081139  027.92953505
111 -25.94089153  027.92961693
111 -25.94096024  027.92968712
111 -25.94092040  027.92973733
111 -25.94092794  027.92974631
